"","Municipal","County","State","Region","Year","Unemployment Rate (Avg)","Number of Unemployed (Avg)","Number of Employed (Avg)","Number in Labor Force (Avg)"
"7260",NA,"NA County",NA,"United States",1990,4,906,21944,22850
"7261",NA,"NA County",NA,"United States",1991,4.6,1000,20738,21738
"7262",NA,"NA County",NA,"United States",1992,3.7,806,20825,21631
"7263",NA,"NA County",NA,"United States",1993,3,660,21315,21975
"7264",NA,"NA County",NA,"United States",1994,2.6,581,21644,22225
"7265",NA,"NA County",NA,"United States",1995,2.3,523,21789,22312
"7266",NA,"NA County",NA,"United States",1996,2,450,22109,22559
"7267",NA,"NA County",NA,"United States",1997,1.8,417,22601,23018
"7268",NA,"NA County",NA,"United States",1998,1.7,402,23320,23722
"7269",NA,"NA County",NA,"United States",1999,1.6,381,23500,23881
"7270",NA,"NA County",NA,"United States",2000,1.9,453,22884,23337
"7271",NA,"NA County",NA,"United States",2001,2.2,513,22960,23473
"7272",NA,"NA County",NA,"United States",2002,2.7,649,22971,23620
"7273",NA,"NA County",NA,"United States",2003,3.3,795,23247,24042
"7274",NA,"NA County",NA,"United States",2004,3.3,792,23358,24150
"7275",NA,"NA County",NA,"United States",2005,3.4,817,23300,24117
"7276",NA,"NA County",NA,"United States",2006,3.3,798,23563,24361
"7277",NA,"NA County",NA,"United States",2007,3.1,760,23736,24496
"7278",NA,"NA County",NA,"United States",2008,3.8,927,23582,24509
"7279",NA,"NA County",NA,"United States",2009,5,1238,23303,24541
"7280",NA,"NA County",NA,"United States",2010,5.4,1346,23360,24706
"7281",NA,"NA County",NA,"United States",2011,4.8,1196,23516,24712
"7282",NA,"NA County",NA,"United States",2012,4.5,1117,23727,24844
"7283",NA,"NA County",NA,"United States",1990,9.2,937,9205,10142
"7284",NA,"NA County",NA,"United States",1991,13.5,1360,8742,10102
"7285",NA,"NA County",NA,"United States",1992,12.9,1284,8693,9977
"7286",NA,"NA County",NA,"United States",1993,9.9,976,8874,9850
"7287",NA,"NA County",NA,"United States",1994,8.5,813,8804,9617
"7288",NA,"NA County",NA,"United States",1995,7.2,672,8647,9319
"7289",NA,"NA County",NA,"United States",1996,6.3,573,8569,9142
"7290",NA,"NA County",NA,"United States",1997,6.4,593,8701,9294
"7291",NA,"NA County",NA,"United States",1998,5.3,492,8763,9255
"7292",NA,"NA County",NA,"United States",1999,4.9,446,8731,9177
"7293",NA,"NA County",NA,"United States",2000,3,321,10460,10781
"7294",NA,"NA County",NA,"United States",2001,4.2,446,10261,10707
"7295",NA,"NA County",NA,"United States",2002,5.4,583,10294,10877
"7296",NA,"NA County",NA,"United States",2003,6.3,688,10178,10866
"7297",NA,"NA County",NA,"United States",2004,6,643,10038,10681
"7298",NA,"NA County",NA,"United States",2005,5.6,598,10002,10600
"7299",NA,"NA County",NA,"United States",2006,5.6,589,9968,10557
"7300",NA,"NA County",NA,"United States",2007,5.7,599,9896,10495
"7301",NA,"NA County",NA,"United States",2008,6.7,715,9941,10656
"7302",NA,"NA County",NA,"United States",2009,10.4,1120,9614,10734
"7303",NA,"NA County",NA,"United States",2010,10.8,1139,9427,10566
"7304",NA,"NA County",NA,"United States",2011,9.4,971,9410,10381
"7305",NA,"NA County",NA,"United States",2012,8.7,903,9441,10344
"7306",NA,"NA County",NA,"United States",1990,7.1,7526,98177,105703
"7307",NA,"NA County",NA,"United States",1991,9.9,10516,95388,105904
"7308",NA,"NA County",NA,"United States",1992,10.3,10853,94815,105668
"7309",NA,"NA County",NA,"United States",1993,8.9,9550,98352,107902
"7310",NA,"NA County",NA,"United States",1994,7.9,8615,100723,109338
"7311",NA,"NA County",NA,"United States",1995,6.6,7330,102940,110270
"7312",NA,"NA County",NA,"United States",1996,5.7,6373,105366,111739
"7313",NA,"NA County",NA,"United States",1997,5.4,6126,107632,113758
"7314",NA,"NA County",NA,"United States",1998,4.5,5205,109894,115099
"7315",NA,"NA County",NA,"United States",1999,3.9,4650,113383,118033
"7316",NA,"NA County",NA,"United States",2000,3.2,3988,121133,125121
"7317",NA,"NA County",NA,"United States",2001,3.6,4628,122595,127223
"7318",NA,"NA County",NA,"United States",2002,4.5,5934,125112,131046
"7319",NA,"NA County",NA,"United States",2003,5.1,6836,127730,134566
"7320",NA,"NA County",NA,"United States",2004,4.9,6592,129091,135683
"7321",NA,"NA County",NA,"United States",2005,4.7,6371,128771,135142
"7322",NA,"NA County",NA,"United States",2006,4.8,6457,129143,135600
"7323",NA,"NA County",NA,"United States",2007,4.6,6252,128402,134654
"7324",NA,"NA County",NA,"United States",2008,5.7,7717,127660,135377
"7325",NA,"NA County",NA,"United States",2009,8.3,11204,124237,135441
"7326",NA,"NA County",NA,"United States",2010,8.7,11796,123695,135491
"7327",NA,"NA County",NA,"United States",2011,7.9,10595,123577,134172
"7328",NA,"NA County",NA,"United States",2012,7.1,9645,125650,135295
"7329",NA,"NA County",NA,"United States",1990,5.3,77622,1383193,1460815
"7330",NA,"NA County",NA,"United States",1991,7.4,106130,1334082,1440212
"7331",NA,"NA County",NA,"United States",1992,7.5,107991,1323256,1431247
"7332",NA,"NA County",NA,"United States",1993,6.2,87901,1338468,1426369
"7333",NA,"NA County",NA,"United States",1994,5.2,75206,1359901,1435107
"7334",NA,"NA County",NA,"United States",1995,4.6,67337,1384396,1451733
"7335",NA,"NA County",NA,"United States",1996,3.8,55671,1411124,1466795
"7336",NA,"NA County",NA,"United States",1997,3.4,50450,1442867,1493317
"7337",NA,"NA County",NA,"United States",1998,2.7,41372,1465073,1506445
"7338",NA,"NA County",NA,"United States",1999,2.7,40765,1479464,1520229
"7339",NA,"NA County",NA,"United States",2000,2.4,36669,1467251,1503920
"7340",NA,"NA County",NA,"United States",2001,3.4,51299,1465870,1517169
"7341",NA,"NA County",NA,"United States",2002,5,74993,1438923,1513916
"7342",NA,"NA County",NA,"United States",2003,5.4,81151,1412958,1494109
"7343",NA,"NA County",NA,"United States",2004,4.8,70241,1406190,1476431
"7344",NA,"NA County",NA,"United States",2005,4.3,64003,1413553,1477556
"7345",NA,"NA County",NA,"United States",2006,4.2,63500,1433097,1496597
"7346",NA,"NA County",NA,"United States",2007,3.9,59509,1451617,1511126
"7347",NA,"NA County",NA,"United States",2008,4.7,71612,1460175,1531787
"7348",NA,"NA County",NA,"United States",2009,7.2,109995,1421519,1531514
"7349",NA,"NA County",NA,"United States",2010,7.2,110343,1424563,1534906
"7350",NA,"NA County",NA,"United States",2011,6.2,95180,1443769,1538949
"7351",NA,"NA County",NA,"United States",2012,5.6,86859,1459579,1546438
"7352",NA,"NA County",NA,"United States",1990,5.9,137570,2212947,2350517
"7353",NA,"NA County",NA,"United States",1991,8,186312,2133160,2319472
"7354",NA,"NA County",NA,"United States",1992,8.3,191622,2119559,2311181
"7355",NA,"NA County",NA,"United States",1993,6.8,157199,2147283,2304482
"7356",NA,"NA County",NA,"United States",1994,5.7,132675,2185249,2317924
"7357",NA,"NA County",NA,"United States",1995,5,116263,2223571,2339834
"7358",NA,"NA County",NA,"United States",1996,4.1,97804,2273234,2371038
"7359",NA,"NA County",NA,"United States",1997,3.7,88674,2332775,2421449
"7360",NA,"NA County",NA,"United States",1998,3.1,74741,2374683,2449424
"7361",NA,"NA County",NA,"United States",1999,3,74114,2415208,2489322
"7362",NA,"NA County",NA,"United States",2000,2.6,63073,2398503,2461576
"7363",NA,"NA County",NA,"United States",2001,3.6,89508,2401266,2490774
"7364",NA,"NA County",NA,"United States",2002,5.3,131516,2362303,2493819
"7365",NA,"NA County",NA,"United States",2003,5.7,140199,2327684,2467883
"7366",NA,"NA County",NA,"United States",2004,5,122039,2323266,2445305
"7367",NA,"NA County",NA,"United States",2005,4.5,111080,2340282,2451362
"7368",NA,"NA County",NA,"United States",2006,4.4,109357,2369185,2478542
"7369",NA,"NA County",NA,"United States",2007,4.1,103296,2394508,2497804
"7370",NA,"NA County",NA,"United States",2008,4.9,123525,2402597,2526122
"7371",NA,"NA County",NA,"United States",2009,7.6,191132,2338517,2529649
"7372",NA,"NA County",NA,"United States",2010,7.6,191585,2343974,2535559
"7373",NA,"NA County",NA,"United States",2011,6.6,167089,2371219,2538308
"7374",NA,"NA County",NA,"United States",2012,6.1,155041,2395537,2550578
"7375",NA,"NA County",NA,"United States",1990,6,169482,2662698,2832180
"7376",NA,"NA County",NA,"United States",1991,8.2,229633,2565113,2794746
"7377",NA,"NA County",NA,"United States",1992,8.4,232555,2552531,2785086
"7378",NA,"NA County",NA,"United States",1993,6.8,189356,2589582,2778938
"7379",NA,"NA County",NA,"United States",1994,5.7,158890,2633914,2792804
"7380",NA,"NA County",NA,"United States",1995,5,140102,2677357,2817459
"7381",NA,"NA County",NA,"United States",1996,4.2,118695,2733530,2852225
"7382",NA,"NA County",NA,"United States",1997,3.7,107627,2805429,2913056
"7383",NA,"NA County",NA,"United States",1998,3.1,91008,2855530,2946538
"7384",NA,"NA County",NA,"United States",1999,3,89871,2898956,2988827
"7385",NA,"NA County",NA,"United States",2000,2.6,77009,2899702,2976711
"7386",NA,"NA County",NA,"United States",2001,3.6,108673,2904697,3013370
"7387",NA,"NA County",NA,"United States",2002,5.3,159145,2865234,3024379
"7388",NA,"NA County",NA,"United States",2003,5.7,170616,2831883,3002499
"7389",NA,"NA County",NA,"United States",2004,5,149360,2830463,2979823
"7390",NA,"NA County",NA,"United States",2005,4.6,136925,2849548,2986473
"7391",NA,"NA County",NA,"United States",2006,4.5,134816,2884309,3019125
"7392",NA,"NA County",NA,"United States",2007,4.2,128263,2912019,3040282
"7393",NA,"NA County",NA,"United States",2008,5,152819,2918342,3071161
"7394",NA,"NA County",NA,"United States",2009,7.7,236333,2840706,3077039
"7395",NA,"NA County",NA,"United States",2010,7.7,237692,2845407,3083099
"7396",NA,"NA County",NA,"United States",2011,6.7,208064,2875698,3083762
"7397",NA,"NA County",NA,"United States",2012,6.3,193884,2900493,3094377
"7398",NA,"NA County",NA,"United States",1990,8,9261,105913,115174
"7399",NA,"NA County",NA,"United States",1991,11.5,13136,100939,114075
"7400",NA,"NA County",NA,"United States",1992,11.4,12752,99337,112089
"7401",NA,"NA County",NA,"United States",1993,8.8,9958,102778,112736
"7402",NA,"NA County",NA,"United States",1994,7.1,8245,108487,116732
"7403",NA,"NA County",NA,"United States",1995,6.1,7297,111799,119096
"7404",NA,"NA County",NA,"United States",1996,5.6,6653,112806,119459
"7405",NA,"NA County",NA,"United States",1997,4.8,5866,116575,122441
"7406",NA,"NA County",NA,"United States",1998,3.8,4666,117853,122519
"7407",NA,"NA County",NA,"United States",1999,3.6,4499,119924,124423
"7408",NA,"NA County",NA,"United States",2000,2.9,3517,119720,123237
"7409",NA,"NA County",NA,"United States",2001,3.8,4682,119483,124165
"7410",NA,"NA County",NA,"United States",2002,5.3,6594,118595,125189
"7411",NA,"NA County",NA,"United States",2003,6,7498,116514,124012
"7412",NA,"NA County",NA,"United States",2004,5.7,7043,116526,123569
"7413",NA,"NA County",NA,"United States",2005,5.3,6545,116934,123479
"7414",NA,"NA County",NA,"United States",2006,5.3,6592,118348,124940
"7415",NA,"NA County",NA,"United States",2007,5.1,6388,119127,125515
"7416",NA,"NA County",NA,"United States",2008,6,7621,118751,126372
"7417",NA,"NA County",NA,"United States",2009,9.1,11586,115827,127413
"7418",NA,"NA County",NA,"United States",2010,9.5,12219,116020,128239
"7419",NA,"NA County",NA,"United States",2011,8.5,10823,117048,127871
"7420",NA,"NA County",NA,"United States",2012,7.6,9752,118085,127837
"7421",NA,"NA County","MA","United States",1990,7.1,69,907,976
"7422",NA,"NA County","MA","United States",1991,8.7,84,884,968
"7423",NA,"NA County","MA","United States",1992,9.9,97,881,978
"7424",NA,"NA County","MA","United States",1993,9.3,90,879,969
"7425",NA,"NA County","MA","United States",1994,8,77,885,962
"7426",NA,"NA County","MA","United States",1995,5.8,57,927,984
"7427",NA,"NA County","MA","United States",1996,5.5,54,929,983
"7428",NA,"NA County","MA","United States",1997,5.4,54,948,1002
"7429",NA,"NA County","MA","United States",1998,4.7,47,963,1010
"7430",NA,"NA County","MA","United States",1999,4.3,44,980,1024
"7431",NA,"NA County","MA","United States",2000,3,34,1106,1140
"7432",NA,"NA County","MA","United States",2001,3.1,36,1113,1149
"7433",NA,"NA County","MA","United States",2002,4.5,53,1126,1179
"7434",NA,"NA County","MA","United States",2003,5.4,64,1129,1193
"7435",NA,"NA County","MA","United States",2004,4.7,55,1115,1170
"7436",NA,"NA County","MA","United States",2005,4.2,49,1108,1157
"7437",NA,"NA County","MA","United States",2006,4.1,47,1109,1156
"7438",NA,"NA County","MA","United States",2007,4.8,55,1092,1147
"7439",NA,"NA County","MA","United States",2008,4.8,54,1081,1135
"7440",NA,"NA County","MA","United States",2009,7.3,83,1054,1137
"7441",NA,"NA County","MA","United States",2010,7.4,82,1030,1112
"7442",NA,"NA County","MA","United States",2011,6.7,74,1034,1108
"7443",NA,"NA County","MA","United States",2012,6.2,69,1036,1105
"7444",NA,"NA County",NA,"United States",1990,5.5,7320,126251,133571
"7445",NA,"NA County",NA,"United States",1991,7.4,9843,122331,132174
"7446",NA,"NA County",NA,"United States",1992,7.6,9975,121582,131557
"7447",NA,"NA County",NA,"United States",1993,5.9,7807,123705,131512
"7448",NA,"NA County",NA,"United States",1994,5,6720,126494,133214
"7449",NA,"NA County",NA,"United States",1995,4.5,6074,127713,133787
"7450",NA,"NA County",NA,"United States",1996,3.6,4847,130712,135559
"7451",NA,"NA County",NA,"United States",1997,3.1,4318,134593,138911
"7452",NA,"NA County",NA,"United States",1998,2.5,3539,137559,141098
"7453",NA,"NA County",NA,"United States",1999,2.6,3716,139680,143396
"7454",NA,"NA County",NA,"United States",2000,2.2,3159,139373,142532
"7455",NA,"NA County",NA,"United States",2001,3.1,4510,140650,145160
"7456",NA,"NA County",NA,"United States",2002,4.9,7103,137990,145093
"7457",NA,"NA County",NA,"United States",2003,5.2,7409,135776,143185
"7458",NA,"NA County",NA,"United States",2004,4.3,6163,136645,142808
"7459",NA,"NA County",NA,"United States",2005,3.9,5549,138549,144098
"7460",NA,"NA County",NA,"United States",2006,3.8,5543,139974,145517
"7461",NA,"NA County",NA,"United States",2007,3.5,5208,141797,147005
"7462",NA,"NA County",NA,"United States",2008,4.2,6294,143161,149455
"7463",NA,"NA County",NA,"United States",2009,6.6,9853,138950,148803
"7464",NA,"NA County",NA,"United States",2010,6.5,9689,138980,148669
"7465",NA,"NA County",NA,"United States",2011,5.5,8216,140107,148323
"7466",NA,"NA County",NA,"United States",2012,5.1,7648,141387,149035
"7467",NA,"NA County","MA","United States",1990,5.3,715,12843,13558
"7468",NA,"NA County","MA","United States",1991,7.8,1047,12422,13469
"7469",NA,"NA County","MA","United States",1992,8.4,1136,12371,13507
"7470",NA,"NA County","MA","United States",1993,6.9,945,12758,13703
"7471",NA,"NA County","MA","United States",1994,6,819,12789,13608
"7472",NA,"NA County","MA","United States",1995,5.2,731,13278,14009
"7473",NA,"NA County","MA","United States",1996,4.1,578,13549,14127
"7474",NA,"NA County","MA","United States",1997,3.7,525,13792,14317
"7475",NA,"NA County","MA","United States",1998,2.9,416,13762,14178
"7476",NA,"NA County","MA","United States",1999,2.8,392,13733,14125
"7477",NA,"NA County","MA","United States",2000,2.3,362,15094,15456
"7478",NA,"NA County","MA","United States",2001,2.6,417,15617,16034
"7479",NA,"NA County","MA","United States",2002,3.4,572,16065,16637
"7480",NA,"NA County","MA","United States",2003,4,664,16082,16746
"7481",NA,"NA County","MA","United States",2004,3.7,618,16003,16621
"7482",NA,"NA County","MA","United States",2005,3.3,566,16349,16915
"7483",NA,"NA County","MA","United States",2006,3.5,606,16481,17087
"7484",NA,"NA County","MA","United States",2007,3.5,593,16128,16721
"7485",NA,"NA County","MA","United States",2008,4.3,726,16100,16826
"7486",NA,"NA County","MA","United States",2009,6.3,1054,15604,16658
"7487",NA,"NA County","MA","United States",2010,6.4,1078,15639,16717
"7488",NA,"NA County","MA","United States",2011,5.5,918,15727,16645
"7489",NA,"NA County","MA","United States",2012,5.1,843,15597,16440
"7490",NA,"NA County",NA,"United States",1990,5,1081,20464,21545
"7491",NA,"NA County",NA,"United States",1991,7.8,1711,20292,22003
"7492",NA,"NA County",NA,"United States",1992,8.1,1737,19690,21427
"7493",NA,"NA County",NA,"United States",1993,6.4,1342,19685,21027
"7494",NA,"NA County",NA,"United States",1994,5.2,1124,20299,21423
"7495",NA,"NA County",NA,"United States",1995,5.1,1103,20724,21827
"7496",NA,"NA County",NA,"United States",1996,4.2,903,20795,21698
"7497",NA,"NA County",NA,"United States",1997,4,878,21231,22109
"7498",NA,"NA County",NA,"United States",1998,3.4,769,21585,22354
"7499",NA,"NA County",NA,"United States",1999,3.1,703,21956,22659
"7500",NA,"NA County",NA,"United States",2000,2.6,580,21662,22242
"7501",NA,"NA County",NA,"United States",2001,3.3,726,21577,22303
"7502",NA,"NA County",NA,"United States",2002,4.2,964,21852,22816
"7503",NA,"NA County",NA,"United States",2003,4.6,1066,21891,22957
"7504",NA,"NA County",NA,"United States",2004,4.5,1007,21532,22539
"7505",NA,"NA County",NA,"United States",2005,4.5,1021,21485,22506
"7506",NA,"NA County",NA,"United States",2006,4.6,1028,21539,22567
"7507",NA,"NA County",NA,"United States",2007,4.4,976,21187,22163
"7508",NA,"NA County",NA,"United States",2008,5.3,1174,20960,22134
"7509",NA,"NA County",NA,"United States",2009,8,1774,20334,22108
"7510",NA,"NA County",NA,"United States",2010,8.1,1800,20430,22230
"7511",NA,"NA County",NA,"United States",2011,7,1535,20461,21996
"7512",NA,"NA County",NA,"United States",2012,6.5,1431,20517,21948
"7513",NA,"NA County",NA,"United States",1990,6.9,7077,95707,102784
"7514",NA,"NA County",NA,"United States",1991,8.9,9207,94018,103225
"7515",NA,"NA County",NA,"United States",1992,9.1,9571,95315,104886
"7516",NA,"NA County",NA,"United States",1993,7.9,8404,97859,106263
"7517",NA,"NA County",NA,"United States",1994,6.4,6863,100387,107250
"7518",NA,"NA County",NA,"United States",1995,5.4,5768,101152,106920
"7519",NA,"NA County",NA,"United States",1996,4.7,5163,104898,110061
"7520",NA,"NA County",NA,"United States",1997,4.4,4985,107697,112682
"7521",NA,"NA County",NA,"United States",1998,3.8,4417,111568,115985
"7522",NA,"NA County",NA,"United States",1999,3.5,4264,117063,121327
"7523",NA,"NA County",NA,"United States",2000,2.7,3288,117462,120750
"7524",NA,"NA County",NA,"United States",2001,3.9,4782,117411,122193
"7525",NA,"NA County",NA,"United States",2002,5.8,7067,114905,121972
"7526",NA,"NA County",NA,"United States",2003,5.9,7015,112648,119663
"7527",NA,"NA County",NA,"United States",2004,5.3,6256,112332,118588
"7528",NA,"NA County",NA,"United States",2005,4.7,5615,113604,119219
"7529",NA,"NA County",NA,"United States",2006,4.4,5360,115277,120637
"7530",NA,"NA County",NA,"United States",2007,4.3,5191,116075,121266
"7531",NA,"NA County",NA,"United States",2008,5.2,6334,115628,121962
"7532",NA,"NA County",NA,"United States",2009,7.9,9702,113225,122927
"7533",NA,"NA County",NA,"United States",2010,7.7,9559,114572,124131
"7534",NA,"NA County",NA,"United States",2011,6.8,8487,115962,124449
"7535",NA,"NA County",NA,"United States",2012,6.5,8232,117486,125718
"7536",NA,"NA County",NA,"United States",1990,6.5,3979,57550,61529
"7537",NA,"NA County",NA,"United States",1991,8.8,5501,56717,62218
"7538",NA,"NA County",NA,"United States",1992,8.5,5370,57536,62906
"7539",NA,"NA County",NA,"United States",1993,7.5,4779,59041,63820
"7540",NA,"NA County",NA,"United States",1994,6.4,4162,60762,64924
"7541",NA,"NA County",NA,"United States",1995,5.4,3492,60956,64448
"7542",NA,"NA County",NA,"United States",1996,4.4,2937,63185,66122
"7543",NA,"NA County",NA,"United States",1997,4.4,2980,64538,67518
"7544",NA,"NA County",NA,"United States",1998,3.6,2523,67213,69736
"7545",NA,"NA County",NA,"United States",1999,3.4,2438,68898,71336
"7546",NA,"NA County",NA,"United States",2000,2.5,1780,70309,72089
"7547",NA,"NA County",NA,"United States",2001,3.7,2720,69978,72698
"7548",NA,"NA County",NA,"United States",2002,5.7,4090,68087,72177
"7549",NA,"NA County",NA,"United States",2003,5.9,4186,66911,71097
"7550",NA,"NA County",NA,"United States",2004,5.2,3669,66452,70121
"7551",NA,"NA County",NA,"United States",2005,4.8,3369,66985,70354
"7552",NA,"NA County",NA,"United States",2006,4.6,3258,67737,70995
"7553",NA,"NA County",NA,"United States",2007,4.3,3079,68002,71081
"7554",NA,"NA County",NA,"United States",2008,5.3,3789,68052,71841
"7555",NA,"NA County",NA,"United States",2009,8.3,5984,66523,72507
"7556",NA,"NA County",NA,"United States",2010,8.3,6018,66749,72767
"7557",NA,"NA County",NA,"United States",2011,7.1,5188,67604,72792
"7558",NA,"NA County",NA,"United States",2012,6.4,4721,68492,73213
"7559",NA,"NA County",NA,"United States",1990,9.6,6139,57718,63857
"7560",NA,"NA County",NA,"United States",1991,12.2,7724,55604,63328
"7561",NA,"NA County",NA,"United States",1992,12.6,7969,55364,63333
"7562",NA,"NA County",NA,"United States",1993,12,7598,55614,63212
"7563",NA,"NA County",NA,"United States",1994,10.4,6495,56085,62580
"7564",NA,"NA County",NA,"United States",1995,8.5,5466,59073,64539
"7565",NA,"NA County",NA,"United States",1996,7.9,5184,60696,65880
"7566",NA,"NA County",NA,"United States",1997,7.1,4698,61507,66205
"7567",NA,"NA County",NA,"United States",1998,6.7,4473,62618,67091
"7568",NA,"NA County",NA,"United States",1999,6.1,4294,66051,70345
"7569",NA,"NA County",NA,"United States",2000,4.4,2988,64454,67442
"7570",NA,"NA County",NA,"United States",2001,6.5,4530,64649,69179
"7571",NA,"NA County",NA,"United States",2002,9.4,6639,63918,70557
"7572",NA,"NA County",NA,"United States",2003,9.5,6664,63674,70338
"7573",NA,"NA County",NA,"United States",2004,8.5,5943,63895,69838
"7574",NA,"NA County",NA,"United States",2005,7.6,5295,64245,69540
"7575",NA,"NA County",NA,"United States",2006,7.2,4996,64768,69764
"7576",NA,"NA County",NA,"United States",2007,6.8,4744,65285,70029
"7577",NA,"NA County",NA,"United States",2008,8,5652,64951,70603
"7578",NA,"NA County",NA,"United States",2009,12,8640,63132,71772
"7579",NA,"NA County",NA,"United States",2010,12.2,8905,64116,73021
"7580",NA,"NA County",NA,"United States",2011,11.5,8473,65353,73826
"7581",NA,"NA County",NA,"United States",2012,11,8160,66251,74411
"7582",NA,"NA County",NA,"United States",1990,10.1,4831,43173,48004
"7583",NA,"NA County",NA,"United States",1991,13.1,6305,41772,48077
"7584",NA,"NA County",NA,"United States",1992,13,6187,41354,47541
"7585",NA,"NA County",NA,"United States",1993,12.2,5773,41372,47145
"7586",NA,"NA County",NA,"United States",1994,11.1,5174,41433,46607
"7587",NA,"NA County",NA,"United States",1995,9,4380,44176,48556
"7588",NA,"NA County",NA,"United States",1996,8.4,4122,45222,49344
"7589",NA,"NA County",NA,"United States",1997,7.7,3788,45722,49510
"7590",NA,"NA County",NA,"United States",1998,7.1,3560,46502,50062
"7591",NA,"NA County",NA,"United States",1999,6.8,3479,47642,51121
"7592",NA,"NA County",NA,"United States",2000,4.6,2315,48532,50847
"7593",NA,"NA County",NA,"United States",2001,7,3629,48550,52179
"7594",NA,"NA County",NA,"United States",2002,10.1,5391,47851,53242
"7595",NA,"NA County",NA,"United States",2003,10.2,5442,47741,53183
"7596",NA,"NA County",NA,"United States",2004,9.2,4827,47714,52541
"7597",NA,"NA County",NA,"United States",2005,8.3,4323,47830,52153
"7598",NA,"NA County",NA,"United States",2006,7.9,4143,48046,52189
"7599",NA,"NA County",NA,"United States",2007,7.4,3864,48276,52140
"7600",NA,"NA County",NA,"United States",2008,8.9,4688,48069,52757
"7601",NA,"NA County",NA,"United States",2009,13.4,7219,46760,53979
"7602",NA,"NA County",NA,"United States",2010,13.4,7517,48568,56085
"7603",NA,"NA County",NA,"United States",2011,12.7,7198,49524,56722
"7604",NA,"NA County",NA,"United States",2012,11.8,6737,50204,56941
"7605",NA,"NA County",NA,"United States",1990,8.3,5923,65491,71414
"7606",NA,"NA County",NA,"United States",1991,10.8,7656,63184,70840
"7607",NA,"NA County",NA,"United States",1992,9.5,6729,63812,70541
"7608",NA,"NA County",NA,"United States",1993,7.5,5277,64688,69965
"7609",NA,"NA County",NA,"United States",1994,6.9,4838,64819,69657
"7610",NA,"NA County",NA,"United States",1995,6.4,4512,66003,70515
"7611",NA,"NA County",NA,"United States",1996,5.7,4010,65950,69960
"7612",NA,"NA County",NA,"United States",1997,5.1,3601,67580,71181
"7613",NA,"NA County",NA,"United States",1998,4.1,2889,67510,70399
"7614",NA,"NA County",NA,"United States",1999,4.2,2977,67559,70536
"7615",NA,"NA County",NA,"United States",2000,3.2,2313,70426,72739
"7616",NA,"NA County",NA,"United States",2001,4.4,3222,69703,72925
"7617",NA,"NA County",NA,"United States",2002,6.5,4789,69316,74105
"7618",NA,"NA County",NA,"United States",2003,7,5208,68871,74079
"7619",NA,"NA County",NA,"United States",2004,6.5,4791,68529,73320
"7620",NA,"NA County",NA,"United States",2005,6.4,4626,67974,72600
"7621",NA,"NA County",NA,"United States",2006,6.1,4425,68560,72985
"7622",NA,"NA County",NA,"United States",2007,5.7,4168,68441,72609
"7623",NA,"NA County",NA,"United States",2008,6.8,4949,67727,72676
"7624",NA,"NA County",NA,"United States",2009,10.4,7634,65728,73362
"7625",NA,"NA County",NA,"United States",2010,10.7,7823,65240,73063
"7626",NA,"NA County",NA,"United States",2011,9.8,7121,65212,72333
"7627",NA,"NA County",NA,"United States",2012,9.1,6495,65165,71660
"7628",NA,"NA County",NA,"United States",1990,7.1,10664,138800,149464
"7629",NA,"NA County",NA,"United States",1991,9.9,14583,133433,148016
"7630",NA,"NA County",NA,"United States",1992,10.6,15674,132468,148142
"7631",NA,"NA County",NA,"United States",1993,8.8,12810,132403,145213
"7632",NA,"NA County",NA,"United States",1994,7.1,10181,133382,143563
"7633",NA,"NA County",NA,"United States",1995,5.8,8346,135976,144322
"7634",NA,"NA County",NA,"United States",1996,4.4,6523,140914,147437
"7635",NA,"NA County",NA,"United States",1997,4,6167,146928,153095
"7636",NA,"NA County",NA,"United States",1998,3.5,5421,150855,156276
"7637",NA,"NA County",NA,"United States",1999,3.4,5553,155548,161101
"7638",NA,"NA County",NA,"United States",2000,2.7,4012,147079,151091
"7639",NA,"NA County",NA,"United States",2001,4.1,6323,147843,154166
"7640",NA,"NA County",NA,"United States",2002,6.4,9874,145211,155085
"7641",NA,"NA County",NA,"United States",2003,6.7,10300,143064,153364
"7642",NA,"NA County",NA,"United States",2004,5.7,8652,142438,151090
"7643",NA,"NA County",NA,"United States",2005,5.1,7765,143367,151132
"7644",NA,"NA County",NA,"United States",2006,4.8,7352,144703,152055
"7645",NA,"NA County",NA,"United States",2007,4.6,7049,145909,152958
"7646",NA,"NA County",NA,"United States",2008,5.5,8419,145866,154285
"7647",NA,"NA County",NA,"United States",2009,8.7,13542,141736,155278
"7648",NA,"NA County",NA,"United States",2010,8.6,13336,142187,155523
"7649",NA,"NA County",NA,"United States",2011,7.5,11672,143658,155330
"7650",NA,"NA County",NA,"United States",2012,7,10965,145242,156207
"7651",NA,"NA County",NA,"United States",1990,7,10062,133377,143439
"7652",NA,"NA County",NA,"United States",1991,9.8,13936,128318,142254
"7653",NA,"NA County",NA,"United States",1992,10.5,14907,127379,142286
"7654",NA,"NA County",NA,"United States",1993,8.7,12118,127268,139386
"7655",NA,"NA County",NA,"United States",1994,7,9715,128164,137879
"7656",NA,"NA County",NA,"United States",1995,5.7,7947,130464,138411
"7657",NA,"NA County",NA,"United States",1996,4.4,6191,135141,141332
"7658",NA,"NA County",NA,"United States",1997,4,5866,140815,146681
"7659",NA,"NA County",NA,"United States",1998,3.4,5114,144491,149605
