"Municipal","County","State","Region","Five_Year_Range","Total_Population","Margin_Error_Total_Population","Male_Pct","Margin_Error_Male","Female_Pct","Margin_Error_Female","Age_under_5_Pct","Margin_Error_under_5_Pct","Age_5_9_Pct","Margin_Error_5_9_Pct","Age_10_14_Pct","Margin_Error_10_14_Pct","Age_15_19_Pct","Margin_Error_15_19_Pct","Age_20_24_Pct","Margin_Error_20_24_Pct","Age_25_34_Pct","Margin_Error_25_34_Pct","Age_35_44_Pct","Margin_Error_35_44_Pct","Age_45_54_Pct","Margin_Error_45_54_Pct","Age_55_59_Pct","Margin_Error_55_59_Pct","Age_60_64_Pct","Margin_Error_60_64_Pct","Age_65_74_Pct","Margin_Error_65_74_Pct","Age_75_84_Pct","Margin_Error_75_84_Pct","Age_over_85_Pct","Margin_Error_85._Pct","White_Pct","Margin_Error_White_Pct","Black_Pct","Margin_Error_Black_Pct","American_Indian_and_Alaska_Native_Pct","Margin_Error_American_Indian_and_Alaska_Native_Pct","Asian_Pct","Margin_Error_Asian_Pct","Hawaiian_and_Other_Pacific_Islander_Pct","Margin_Error_Hawaiian_and_Other_Pacific_Islander_Pct","Others_Pct","Margin_Error_Others_Pct","Hispanic_Pct","Margin_Error_Hispanic_Pct","Not_Hispanic_Pct","Margin_Error_Not_Hispanic_Pct","Age_under_20_Pct_plot","Age_20_34_Pct_plot","Age_35_54_Pct_plot","Age_55_64_Pct_plot","Age_65_74_Pct_plot","Age_over_75_Pct_plot"
"Southbridge","Worcester County","MA","Southbridge","2005-2009",17516,"29",46.3,"2.4",53.7,"2.4",8.1,"1.6",6.1,1.3,8.3,1.5,6.1,1.4,6.1,1.2,13.7,"1.5",15.1,"1.5",12.9,"1.5",5.7,1.3,5.4,1,5.1,"1",4.8,0.9,2.6,0.7,92.4,1.7,3.6,1.2,2.9,2.1,2.6,1.5,0.1,0.1,3,1.2,25.2,"2.8",74.8,"2.8",28.6,19.8,28,11.1,5.1,7.4
"Southbridge","Worcester County","MA","Southbridge","2006-2010",16851,"32",48.1,"1.8",51.9,"1.8",7.4,"1.5",6.2,1.3,8.9,1.4,6.3,1.3,6.9,1.5,13.5,"2",13.3,"1.5",13.9,"1.5",5.9,1.2,5.7,1.3,4.7,"0.8",4.9,1,2.4,0.6,91.3,2.5,3,1.4,2.3,1.8,4.5,2,0,0.2,3.3,1.4,27,"3.8",73,"3.8",28.8,20.4,27.2,11.6,4.7,7.3
"Southbridge","Worcester County","MA","Southbridge","2007-2011",16800,"31",48.6,"2.4",51.4,"2.4",6.8,"1.3",5.6,1.2,8.8,1.6,6.4,1.2,6.9,1.4,13.6,"2",12.9,"1.6",13.6,"1.7",6.2,1.1,6.3,1.2,5.3,"0.9",4.8,0.9,2.8,0.9,89,3,3.6,1.5,2.1,1.5,3.6,1.5,0,0.2,6.7,2.8,30.6,"3.1",69.4,"3.1",27.6,20.5,26.5,12.5,5.3,7.6
"Southbridge","Worcester County","MA","Southbridge","2008-2012",16775,"25",47.7,"2.3",52.3,"2.3",8.1,"1.5",6.1,1.3,6.7,1.4,6.9,1.2,6.9,1.3,12.9,"1.6",13.3,"1.5",13.5,"1.7",6.5,1.2,6.2,1.1,5.1,"0.9",5,1,2.7,0.7,84.9,3.3,4.1,1.8,1.8,1.7,2.5,1.1,0,0.2,10.2,3.3,32.2,"3.8",67.8,"3.8",27.8,19.8,26.8,12.7,5.1,7.7
"Southwick","Hampden County","MA","Southwick","2005-2009",9720,"25",47.5,"2.4",52.5,"2.4",4.3,"1.5",6.8,1.5,7.8,1.8,6.4,1.8,3.7,1.3,11.1,"3.2",15.6,"2.5",17.2,"3.4",7.6,2.1,6,2.1,5.1,"1.7",6.2,2,2.2,1,98.6,1.2,0,0.4,0,0.4,0.3,0.4,0,0.4,1.5,1.2,3.2,"1.9",96.8,"1.9",25.3,14.8,32.8,13.6,5.1,8.4
"Southwick","Hampden County","MA","Southwick","2006-2010",9378,"21",47.4,"2.2",52.6,"2.2",5,"1.7",7.1,1.4,7.9,1.8,5.1,1.6,3.5,1.6,11.4,"2.4",14.4,"2.4",17.8,"2.6",8,1.8,6.3,2.4,6.3,"1.9",5.4,1.8,1.9,0.9,98.4,1.3,0,0.4,0,0.4,0.5,0.6,0,0.4,1.6,1.4,3.6,"2.2",96.4,"2.2",25.1,14.9,32.2,14.3,6.3,7.3
"Southwick","Hampden County","MA","Southwick","2007-2011",9425,"17",48.9,"2.3",51.1,"2.3",3.9,"1.3",5.4,1.4,8.5,2.1,6.5,1.7,6.3,2,9.6,"2.7",13,"2",19.7,"2.7",7.1,1.6,5.9,2,7.2,"1.8",5.4,1.7,1.5,0.9,96.9,2.1,0.2,0.2,0,0.4,1.6,1.6,0,0.4,1.3,1.3,3.1,"2.1",96.9,"2.1",24.3,15.9,32.7,13,7.2,6.9
"Southwick","Hampden County","MA","Southwick","2008-2012",9496,"25",48.2,"2.3",51.8,"2.3",4.5,"1.7",5.7,1.5,7.4,1.8,6.2,1.6,6.7,2.2,9.7,"2.2",12.9,"2.1",18.9,"2.9",6.8,1.9,5.8,1.9,7.5,"1.6",5.8,1.5,2,1,97.4,1.9,0.1,0.2,0.1,0.2,2.5,1.9,0,0.4,0.7,1,2.8,"1.8",97.2,"1.8",23.8,16.4,31.8,12.6,7.5,7.8
"Spencer","Worcester County","MA","Spencer","2005-2009",12032,"25",47.4,"2.2",52.6,"2.2",5.1,"1.5",4.8,1.4,5.9,1.4,8.3,2.1,5,1.8,13.2,"2.6",13.8,"2.2",14.7,"2.3",7.7,1.6,7.3,1.5,8.2,"1.5",4,1.3,1.9,0.8,95,3.7,1.3,0.9,0.9,0.7,0.4,0.4,0.2,0.4,3.9,3.6,5.4,"3.7",94.6,"3.7",24.1,18.2,28.5,15,8.2,5.9
"Spencer","Worcester County","MA","Spencer","2006-2010",11724,"29",47.6,"2.3",52.4,"2.3",5.9,"1.6",4.9,1.2,6.2,1.5,7.7,1.9,5.4,1.6,15.8,"2.7",12.7,"1.9",15.3,"1.9",6.9,1.3,6,1.5,7.4,"1.5",4.1,1.4,1.7,0.7,95,4.1,1.4,0.9,0.8,0.6,0.1,0.2,0,0.3,4.3,4,6.3,"4.2",93.7,"4.2",24.7,21.2,28,12.9,7.4,5.8
