"","Municipal","County","State","Region","Five.year.average","Population","Never_Married","Now_Married","Separated","Widowed","Divorced","Never_Married_Pct","Now_Married_Pct","Separated_Pct","Widowed_Pct","Divorced_Pct","Year"
"746","Peru","Berkshire","MA","N/A","2007-2011",720,166,469,3,10,72,23.0555555555556,65.1388888888889,0.416666666666667,1.38888888888889,10,"2011"
"747","Peru","Berkshire","MA","N/A","2008-2012",743,183,486,4,12,58,24.6298788694482,65.4104979811575,0.53835800807537,1.61507402422611,7.80619111709287,"2012"
"748","Petersham","Worcester","MA","N/A","2006-2010",1158,425,608,15,57,53,36.7012089810017,52.5043177892919,1.29533678756477,4.92227979274611,4.57685664939551,"2010"
"749","Petersham","Worcester","MA","N/A","2007-2011",1093,367,589,12,70,55,33.5773101555352,53.8883806038426,1.09789569990851,6.40439158279963,5.032021957914,"2011"
"750","Petersham","Worcester","MA","N/A","2008-2012",1089,338,589,3,77,82,31.0376492194674,54.0863177226814,0.275482093663912,7.07070707070707,7.52984389348026,"2012"
"751","Phillipston","Worcester","MA","N/A","2006-2010",1506,476,882,21,36,91,31.6069057104914,58.5657370517928,1.39442231075697,2.39043824701195,6.04249667994688,"2010"
"752","Phillipston","Worcester","MA","N/A","2007-2011",1574,526,867,22,31,128,33.418043202033,55.0825921219822,1.39771283354511,1.96950444726811,8.13214739517154,"2011"
"753","Phillipston","Worcester","MA","N/A","2008-2012",1594,538,858,21,32,145,33.7515683814304,53.8268506900878,1.31744040150565,2.00752823086575,9.09661229611041,"2012"
"754","Pittsfield","Berkshire","MA","N/A","2006-2010",37129,12136,15590,765,3405,5233,32.6860405612863,41.9887419537289,2.06038406636322,9.17072907969512,14.0941043389264,"2010"
"755","Pittsfield","Berkshire","MA","N/A","2007-2011",37044,11810,15677,770,3444,5343,31.8810063708023,42.3199438505561,2.07860922146636,9.29705215419501,14.4233884029802,"2011"
"756","Pittsfield","Berkshire","MA","N/A","2008-2012",37013,12347,15208,858,3301,5299,33.3585496987545,41.0882662848189,2.31810444978791,8.91848809877611,14.3165914678626,"2012"
"757","Plainfield","Hampshire","MA","N/A","2006-2010",536,124,317,3,51,41,23.134328358209,59.1417910447761,0.559701492537313,9.51492537313433,7.64925373134328,"2010"
"758","Plainfield","Hampshire","MA","N/A","2007-2011",530,127,296,4,59,44,23.9622641509434,55.8490566037736,0.754716981132076,11.1320754716981,8.30188679245283,"2011"
"759","Plainfield","Hampshire","MA","N/A","2008-2012",480,103,256,6,51,64,21.4583333333333,53.3333333333333,1.25,10.625,13.3333333333333,"2012"
"760","Plainville","Norfolk","MA","N/A","2006-2010",6434,1808,3276,26,586,738,28.1007149518185,50.9170034193348,0.404103201740752,9.10786447000311,11.4703139571029,"2010"
"761","Plainville","Norfolk","MA","N/A","2007-2011",6518,1941,3153,13,601,810,29.7790733353789,48.3737342743173,0.199447683338447,9.2206198220313,12.427124884934,"2011"
