"Municipal","County","State","F_year","","","","","","","",""
"Barnstable","Barnstable","MA","2003",6496915232,0,767960498,56678770,188114795,7509669295,86.5,13.5
"Barnstable","Barnstable","MA","2004",10023257151,0,967131329,75686020,214717352,11280791852,88.9,11.1
"Barnstable","Barnstable","MA","2005",11381231761,0,1129516623,80250820,228014240,12819013444,88.8,11.2
"Barnstable","Barnstable","MA","2006",12710161443,0,1230557567,77084090,245409010,14263212110,89.1,10.9
"Barnstable","Barnstable","MA","2007",13443704362,0,1275048264,77011100,149981380,14945745106,90,10
"Barnstable","Barnstable","MA","2008",13323872172,0,1286489328,73265400,151079850,14834706750,89.8,10.2
"Barnstable","Barnstable","MA","2009",12983016619,0,1303893716,78598400,179274450,14544783185,89.3,10.7
"Barnstable","Barnstable","MA","2010",11822832710,0,1279251935,81780400,176352980,13360218025,88.5,11.5
"Barnstable","Barnstable","MA","2011",11474497625,0,1235696120,82267300,194882820,12987343865,88.4,11.6
"Barnstable","Barnstable","MA","2012",11343180287,0,1205426293,79571600,196937290,12825115470,88.4,11.6
"Barnstable","Barnstable","MA","2013",11220887767,0,1223179078,80290800,197055870,12721413515,88.2,11.8
"Bourne","Barnstable","MA","2003",2600848928,806100,263052832,20572900,64764890,2950045650,88.2,11.8
"Bourne","Barnstable","MA","2004",3032972582,454780,285432968,22982800,73250330,3415093460,88.8,11.2
"Bourne","Barnstable","MA","2005",3572807952,609460,319706968,26922220,80046050,4000092650,89.3,10.7
"Bourne","Barnstable","MA","2006",4073243219,280600,355491436,31210720,70262030,4530488005,89.9,10.1
"Bourne","Barnstable","MA","2007",4298715115,311500,376809785,34114210,72729670,4782680280,89.9,10.1
"Bourne","Barnstable","MA","2008",4377051879,316000,385936461,33163110,81476190,4877943640,89.7,10.3
"Bourne","Barnstable","MA","2009",4089345385,0,400553265,33376210,92112520,4615387380,88.6,11.4
"Bourne","Barnstable","MA","2010",4085719149,0,394574831,33374510,96212450,4609880940,88.6,11.4
"Bourne","Barnstable","MA","2011",3870024721,0,391147829,33203910,99747500,4394123960,88.1,11.9
"Bourne","Barnstable","MA","2012",3578236558,0,378290712,31454500,100014230,4087996000,87.5,12.5
"Bourne","Barnstable","MA","2013",3577954295,0,374249795,31253700,99433210,4082891000,87.6,12.4
"Brewster","Barnstable","MA","2003",2105255727,0,115858013,5405000,43301830,2269820570,92.7,7.3
"Brewster","Barnstable","MA","2004",2412448967,0,122625053,9865600,47489480,2592429100,93.1,6.9
"Brewster","Barnstable","MA","2005",3026822332,0,127322428,10423700,55439560,3220008020,94,6
"Brewster","Barnstable","MA","2006",3446053665,0,141716615,8155000,56318470,3652243750,94.4,5.6
"Brewster","Barnstable","MA","2007",3663604330,0,156038020,9314100,32062000,3861018450,94.9,5.1
"Brewster","Barnstable","MA","2008",3659276435,0,159793855,9391500,30530330,3858992120,94.8,5.2
"Brewster","Barnstable","MA","2009",3587865966,0,161870154,10129700,33795470,3793661290,94.6,5.4
"Brewster","Barnstable","MA","2010",3539749545,0,164629445,10086100,38376280,3752841370,94.3,5.7
"Brewster","Barnstable","MA","2011",3227010196,0,151680284,9300200,39616660,3427607340,94.1,5.9
"Brewster","Barnstable","MA","2012",3153569867,0,146327053,8886500,37398990,3346182410,94.2,5.8
"Brewster","Barnstable","MA","2013",3062749028,0,141858222,9755400,37604460,3251967110,94.2,5.8
"Chatham","Barnstable","MA","2003",2776375719,0,214719273,10624808,25229879,3026949679,91.7,8.3
"Chatham","Barnstable","MA","2004",4185750418,0,242724514,13741782,31752057,4473968771,93.6,6.4
"Chatham","Barnstable","MA","2005",4958749595,0,257174782,15806944,37296723,5269028044,94.1,5.9
"Chatham","Barnstable","MA","2006",5451938845,0,289532590,17502565,45418605,5804392605,93.9,6.1
"Chatham","Barnstable","MA","2007",6090554615,0,313558515,26341470,22308418,6452763018,94.4,5.6
"Chatham","Barnstable","MA","2008",5990905365,0,320954765,30436670,25254372,6367551172,94.1,5.9
"Chatham","Barnstable","MA","2009",6004324648,0,347582892,30881660,28908316,6411697516,93.6,6.4
"Chatham","Barnstable","MA","2010",5949895817,0,347898048,35056635,31198734,6364049234,93.5,6.5
"Chatham","Barnstable","MA","2011",5440065307,0,342716473,35972020,33322350,5852076150,93,7
"Chatham","Barnstable","MA","2012",5459707886,0,339064694,36444220,34877010,5870093810,93,7
"Chatham","Barnstable","MA","2013",5380886064,0,355685721,20640735,34676510,5791889030,92.9,7.1
"Dennis","Barnstable","MA","2003",3666004438,722400,232608952,15080600,102233860,4016650250,91.3,8.7
"Dennis","Barnstable","MA","2004",4691564860,846700,263784150,16723200,86093430,5059012340,92.8,7.2
"Dennis","Barnstable","MA","2005",5218353458,817200,300671472,19965800,53752018,5593559948,93.3,6.7
"Dennis","Barnstable","MA","2006",5816462064,1150500,348175836,23850800,57212810,6246852010,93.1,6.9
"Dennis","Barnstable","MA","2007",6200949945,995500,368213355,23761800,59883330,6653803930,93.2,6.8
"Dennis","Barnstable","MA","2008",6239624772,711900,375053658,24657600,64537400,6704585330,93.1,6.9
"Dennis","Barnstable","MA","2009",6112060169,643000,374631391,24667700,73257800,6585260060,92.8,7.2
"Dennis","Barnstable","MA","2010",5841481823,596600,370363207,23827200,75170130,6311438960,92.6,7.4
"Dennis","Barnstable","MA","2011",5590054555,618100,369666405,23750200,77341010,6061430270,92.2,7.8
"Dennis","Barnstable","MA","2012",5398029939,603400,358649671,24683000,76212090,5858178100,92.2,7.8
"Dennis","Barnstable","MA","2013",5385094151,595200,354865229,23894000,76659520,5841108100,92.2,7.8
"Eastham","Barnstable","MA","2003",1130571770,0,41588160,3867100,32884110,1208911140,93.5,6.5
"Eastham","Barnstable","MA","2004",2227075828,0,71684342,5140700,33706460,2337607330,95.3,4.7
"Eastham","Barnstable","MA","2005",2371353615,0,76009385,5523500,33640829,2486527329,95.4,4.6
"Eastham","Barnstable","MA","2006",2767099470,0,78692740,6194400,39140070,2891126680,95.7,4.3
"Eastham","Barnstable","MA","2007",2914772131,0,83187389,6474800,20691470,3025125790,96.4,3.6
"Eastham","Barnstable","MA","2008",2889346584,0,81671456,8515900,22104760,3001638700,96.3,3.7
"Eastham","Barnstable","MA","2009",2814907929,0,80024771,8223800,23942760,2927099260,96.2,3.8
"Eastham","Barnstable","MA","2010",2780889462,0,83440708,8149000,25383070,2897862240,96,4
"Eastham","Barnstable","MA","2011",2646405606,0,79825324,7879300,26141630,2760251860,95.9,4.1
"Eastham","Barnstable","MA","2012",2600605580,0,76951430,7665500,25725850,2710948360,95.9,4.1
"Eastham","Barnstable","MA","2013",2571863541,0,75497179,7808600,25322040,2680491360,95.9,4.1
"Falmouth","Barnstable","MA","2003",6264933373,1252400,368669777,40830300,105301207,6780987057,92.4,7.6
"Falmouth","Barnstable","MA","2004",6942896293,1222400,399394792,43988300,120445775,7507947560,92.5,7.5
"Falmouth","Barnstable","MA","2005",9479964258,1830600,579542007,67068900,136301470,10264707235,92.4,7.6
"Falmouth","Barnstable","MA","2006",10458674310,2530300,615703183,70771100,152775550,11300454443,92.6,7.4
"Falmouth","Barnstable","MA","2007",11425681586,2777100,640047878,75112600,162771218,12306390382,92.9,7.1
"Falmouth","Barnstable","MA","2008",11307501583,5732500,678241088,82961700,179101752,12253538623,92.3,7.7
"Falmouth","Barnstable","MA","2009",10899153336,5316700,670114194,80525000,193049863,11848159093,92,8
"Falmouth","Barnstable","MA","2010",10288846988,3877700,611416088,76338300,195273690,11175752766,92.1,7.9
"Falmouth","Barnstable","MA","2011",10196026282,3504000,590585951,72056800,183094344,11045267377,92.3,7.7
"Falmouth","Barnstable","MA","2012",9758565141,3314900,568619409,70768200,178594045,10579861695,92.3,7.7
"Falmouth","Barnstable","MA","2013",9783235733,3289200,574980651,72537600,180898159,10614941343,92.2,7.8
"Harwich","Barnstable","MA","2003",3040782578,0,191782642,19158400,82046670,3333770290,91.2,8.8
"Harwich","Barnstable","MA","2004",3901234657,0,217336943,22042600,70760200,4211374400,92.6,7.4
"Harwich","Barnstable","MA","2005",4237802944,0,236309606,25151700,75104258,4574368508,92.6,7.4
"Harwich","Barnstable","MA","2006",4669815549,0,256590121,27914000,76029550,5030349220,92.8,7.2
"Harwich","Barnstable","MA","2007",5059750538,0,270633552,32411700,46236960,5409032750,93.5,6.5
"Harwich","Barnstable","MA","2008",4862651347,0,279565583,33621000,51404500,5227242430,93,7
"Harwich","Barnstable","MA","2009",4863309939,0,281477201,34247500,60282580,5239317220,92.8,7.2
"Harwich","Barnstable","MA","2010",4586390128,0,263347052,32410500,62764060,4944911740,92.7,7.3
"Harwich","Barnstable","MA","2011",4302286678,0,254909182,30476500,64157150,4651829510,92.5,7.5
"Harwich","Barnstable","MA","2012",4257186934,0,254536416,22985400,63646450,4598355200,92.6,7.4
"Harwich","Barnstable","MA","2013",4154166443,0,237620107,18169700,69888320,4479844570,92.7,7.3
"Mashpee","Barnstable","MA","2003",2468612845,2253100,177297815,14054100,72656060,2734873920,90.3,9.7
"Mashpee","Barnstable","MA","2004",2541272895,2003800,182264365,14425400,77208320,2817174780,90.3,9.7
"Mashpee","Barnstable","MA","2005",4086223238,3725000,261041982,20854700,53120300,4424965220,92.4,7.6
"Mashpee","Barnstable","MA","2006",4356232935,3902600,284557485,22179300,57020850,4723893170,92.3,7.7
"Mashpee","Barnstable","MA","2007",4759066185,4323700,306096175,20446600,56903230,5146835890,92.5,7.5
"Mashpee","Barnstable","MA","2008",4672336921,3347000,322719949,24260100,59617700,5082281670,92,8
"Mashpee","Barnstable","MA","2009",4558229119,3287900,335150831,27968700,63310180,4987946730,91.5,8.5
"Mashpee","Barnstable","MA","2010",4275890499,2825000,318773551,26932600,52279640,4676701290,91.5,8.5
"Mashpee","Barnstable","MA","2011",4075412867,1836500,295445083,23864300,58112560,4454671310,91.5,8.5
"Mashpee","Barnstable","MA","2012",4073637011,1796800,293156639,24549700,57299090,4450439240,91.6,8.4
"Mashpee","Barnstable","MA","2013",4025689935,1797600,284115485,24468200,55294060,4391365280,91.7,8.3
"Orleans","Barnstable","MA","2003",2294011496,0,174331805,10053700,34052130,2512449131,91.3,8.7
"Orleans","Barnstable","MA","2004",2879107910,0,198014000,11816000,39452770,3128390680,92,8
"Orleans","Barnstable","MA","2005",3084629905,0,214501195,10166600,26837515,3336135215,92.5,7.5
"Orleans","Barnstable","MA","2006",3562766412,0,216583118,8816300,27043440,3815209270,93.4,6.6
"Orleans","Barnstable","MA","2007",3568888628,0,239147062,9847100,29306570,3847189360,92.8,7.2
"Orleans","Barnstable","MA","2008",3640591750,0,244538250,9589900,32727530,3927447430,92.7,7.3
"Orleans","Barnstable","MA","2009",3593788279,0,242255361,8692400,42480110,3887216150,92.5,7.5
"Orleans","Barnstable","MA","2010",3493272772,0,238607708,8201500,43779010,3783860990,92.3,7.7
"Orleans","Barnstable","MA","2011",3321382898,0,233106322,7772700,44633420,3606895340,92.1,7.9
"Orleans","Barnstable","MA","2012",3318697565,0,230665255,7699300,43318420,3600380540,92.2,7.8
"Orleans","Barnstable","MA","2013",3270370561,0,229044469,8008600,43596510,3551020140,92.1,7.9
"Provincetown","Barnstable","MA","2003",1320061800,0,370884800,1396500,29613825,1721956925,76.7,23.3
"Provincetown","Barnstable","MA","2004",1516318500,0,411278100,1569800,31964900,1961131300,77.3,22.7
"Provincetown","Barnstable","MA","2005",1636276486,0,410649814,1639400,30709860,2079275560,78.7,21.3
"Provincetown","Barnstable","MA","2006",1971265339,0,460434861,1851200,19496730,2453048130,80.4,19.6
"Provincetown","Barnstable","MA","2007",2112981409,0,461852891,1940000,20712770,2597487070,81.3,18.7
"Provincetown","Barnstable","MA","2008",2126280768,0,458570132,1940000,21823920,2608614820,81.5,18.5
"Provincetown","Barnstable","MA","2009",2084902958,0,442020842,1899900,22695300,2551519000,81.7,18.3
"Provincetown","Barnstable","MA","2010",1983140288,0,416541412,1785800,22836910,2424304410,81.8,18.2
"Provincetown","Barnstable","MA","2011",1853551590,0,383996660,1607800,22924760,2262080810,81.9,18.1
"Provincetown","Barnstable","MA","2012",1863498019,0,379927531,1592500,22413050,2267431100,82.2,17.8
"Provincetown","Barnstable","MA","2013",1888428961,0,381214239,1610900,24907050,2296161150,82.2,17.8
"Sandwich","Barnstable","MA","2003",2371597450,0,161940350,55124800,232725200,2821387800,84.1,15.9
"Sandwich","Barnstable","MA","2004",2891802145,0,183591055,59545300,236281400,3371219900,85.8,14.2
"Sandwich","Barnstable","MA","2005",3397699126,0,187806874,62074900,229808700,3877389600,87.6,12.4
"Sandwich","Barnstable","MA","2006",3779931721,0,202693379,72047600,277046100,4331718800,87.3,12.7
"Sandwich","Barnstable","MA","2007",3950274614,0,214097386,76434100,280026700,4520832800,87.4,12.6
"Sandwich","Barnstable","MA","2008",3947189506,0,219905194,80407400,286889100,4534391200,87.1,12.9
"Sandwich","Barnstable","MA","2009",3768165586,0,214108914,75986000,289206100,4347466600,86.7,13.3
"Sandwich","Barnstable","MA","2010",3486941405,0,199808495,68915900,275178800,4030844600,86.5,13.5
"Sandwich","Barnstable","MA","2011",3310950727,0,190979973,60135000,267241100,3829306800,86.5,13.5
"Sandwich","Barnstable","MA","2012",3262505841,0,190374259,56402900,259219800,3768502800,86.6,13.4
"Sandwich","Barnstable","MA","2013",3170635103,0,181510797,53151000,245170700,3650467600,86.9,13.1
"Truro","Barnstable","MA","2003",1210921762,0,70292908,1256800,24100650,1306572120,92.7,7.3
"Truro","Barnstable","MA","2004",1235546027,0,69609953,1280700,25886920,1332323600,92.7,7.3
"Truro","Barnstable","MA","2005",1662938788,0,97533742,1746100,15049770,1777268400,93.6,6.4
"Truro","Barnstable","MA","2006",1946204401,0,107956109,1435500,17028980,2072624990,93.9,6.1
"Truro","Barnstable","MA","2007",2106892071,0,116601559,1807200,18427500,2243728330,93.9,6.1
"Truro","Barnstable","MA","2008",2113614829,0,113980681,1796500,21102340,2250494350,93.9,6.1
"Truro","Barnstable","MA","2009",2103960398,0,110536832,1789800,23326880,2239613910,93.9,6.1
"Truro","Barnstable","MA","2010",2015473602,0,103854678,1782600,23706430,2144817310,94,6
"Truro","Barnstable","MA","2011",1878696039,0,99115771,1685200,24836500,2004333510,93.7,6.3
"Truro","Barnstable","MA","2012",1865983939,0,98495361,1679400,24158860,1990317560,93.8,6.2
"Truro","Barnstable","MA","2013",1881736603,0,102319287,1633300,24283230,2009972420,93.6,6.4
"Wellfleet","Barnstable","MA","2003",1212640009,0,60498841,105900,35249730,1308494480,92.7,7.3
"Wellfleet","Barnstable","MA","2004",1732981574,0,73492866,487700,41324220,1848286360,93.8,6.2
"Wellfleet","Barnstable","MA","2005",1923479659,0,77500091,639100,44623040,2046241890,94,6
"Wellfleet","Barnstable","MA","2006",2162747853,0,81987297,731100,46761640,2292227890,94.4,5.6
"Wellfleet","Barnstable","MA","2007",2397293114,0,85170686,1035100,20486660,2503985560,95.7,4.3
"Wellfleet","Barnstable","MA","2008",2351063972,0,86551128,992200,22734240,2461341540,95.5,4.5
"Wellfleet","Barnstable","MA","2009",2221411819,0,81755891,947300,24993460,2329108470,95.4,4.6
"Wellfleet","Barnstable","MA","2010",2081989976,0,80885424,1146600,25876760,2189898760,95.1,4.9
"Wellfleet","Barnstable","MA","2011",2082489049,0,80752291,1146700,26768850,2191156890,95,5
"Wellfleet","Barnstable","MA","2012",2079845842,0,79083538,1146700,26644440,2186720520,95.1,4.9
"Wellfleet","Barnstable","MA","2013",2058671329,0,78665181,1146700,31055750,2169538960,94.9,5.1
"Yarmouth","Barnstable","MA","2003",2494008300,519600,323705800,17727400,79957700,2915918800,85.5,14.5
"Yarmouth","Barnstable","MA","2004",4812011700,804600,395342400,24627800,89047449,5321833949,90.4,9.6
"Yarmouth","Barnstable","MA","2005",4814176970,804600,406282400,22227900,89069319,5332561189,90.3,9.7
"Yarmouth","Barnstable","MA","2006",5770197178,729200,466533422,25177800,90011226,6352648826,90.8,9.2
"Yarmouth","Barnstable","MA","2007",6225795406,1126700,505343194,40965800,67254800,6840485900,91,9
"Yarmouth","Barnstable","MA","2008",5846684518,1070700,520999982,41811700,71844300,6482411200,90.2,9.8
"Yarmouth","Barnstable","MA","2009",5673860526,1032800,510012974,40689100,92639900,6318235300,89.8,10.2
"Yarmouth","Barnstable","MA","2010",5162288421,0,467611379,38132500,98770100,5766802400,89.5,10.5
"Yarmouth","Barnstable","MA","2011",4869310110,0,430318290,34319800,101440100,5435388300,89.6,10.4
"Yarmouth","Barnstable","MA","2012",4677794031,0,408335069,32427600,101888200,5220444900,89.6,10.4
"Yarmouth","Barnstable","MA","2013",4573445040,0,397263360,30791800,100798300,5102298500,89.6,10.4
"Adams","Berkshire","MA","2003",275008610,0,29060890,20243700,16143000,340456200,80.8,19.2
"Adams","Berkshire","MA","2004",276418765,0,28468735,20368600,15982700,341238800,81,19
"Adams","Berkshire","MA","2005",293196845,0,28804855,20298100,15634700,357934500,81.9,18.1
"Adams","Berkshire","MA","2006",380683102,0,32366350,22517477,15575588,451142517,84.4,15.6
"Adams","Berkshire","MA","2007",381233202,0,32191350,22654877,15791118,451870547,84.4,15.6
"Adams","Berkshire","MA","2008",398484165,0,32238967,25237133,16501506,472461771,84.3,15.7
"Adams","Berkshire","MA","2009",409584325,0,34224465,26966300,21233788,492008878,83.2,16.8
"Adams","Berkshire","MA","2010",410355404,0,34389186,27448200,21818172,494010962,83.1,16.9
"Adams","Berkshire","MA","2011",413526388,0,34167659,27573900,21629242,496897189,83.2,16.8
"Adams","Berkshire","MA","2012",410328060,0,33960404,27666000,22084635,494039099,83.1,16.9
"Adams","Berkshire","MA","2013",385154436,0,32735524,26102505,21565982,465558447,82.7,17.3
"Alford","Berkshire","MA","2003",118446684,0,1648054,21000,2296587,122412325,96.8,3.2
"Alford","Berkshire","MA","2004",122946663,0,1452578,21000,3006854,127427095,96.5,3.5
"Alford","Berkshire","MA","2005",175483200,0,1905400,0,3346350,180734950,97.1,2.9
"Alford","Berkshire","MA","2006",181845261,0,1887206,27498,3459742,187219707,97.1,2.9
"Alford","Berkshire","MA","2007",188378711,0,1828756,27498,4108026,194342991,96.9,3.1
"Alford","Berkshire","MA","2008",241208742,0,2393632,27499,3586364,247216237,97.6,2.4
"Alford","Berkshire","MA","2009",243881112,0,2084975,27499,4123590,250117176,97.5,2.5
"Alford","Berkshire","MA","2010",242919097,0,2051781,27499,4108000,249106377,97.5,2.5
"Alford","Berkshire","MA","2011",248003297,0,2055893,27499,3756654,253843343,97.7,2.3
"Alford","Berkshire","MA","2012",251261497,0,1597846,27499,3786276,256673118,97.9,2.1
"Alford","Berkshire","MA","2013",256573599,0,1601572,30000,3867990,262073161,97.9,2.1
"Becket","Berkshire","MA","2003",217200714,0,7569050,795236,11097600,236662600,91.8,8.2
"Becket","Berkshire","MA","2004",287964164,0,9255972,974464,14431300,312625900,92.1,7.9
"Becket","Berkshire","MA","2005",302471700,0,10362300,952100,14514600,328300700,92.1,7.9
"Becket","Berkshire","MA","2006",368429638,0,17490059,1062403,14136300,401118400,91.9,8.1
"Becket","Berkshire","MA","2007",428400514,0,18103978,1403708,14073600,461981800,92.7,7.3
"Becket","Berkshire","MA","2008",466258172,0,18251220,1401108,14894900,500805400,93.1,6.9
"Becket","Berkshire","MA","2009",488598657,0,18904534,1418909,18248000,527170100,92.7,7.3
"Becket","Berkshire","MA","2010",512959775,0,18912222,1196303,18919500,551987800,92.9,7.1
"Becket","Berkshire","MA","2011",492183344,0,18830752,1165504,18586200,530765800,92.7,7.3
"Becket","Berkshire","MA","2012",479470104,0,18675592,1158704,20715027,520019427,92.2,7.8
"Becket","Berkshire","MA","2013",478522608,0,19123462,1161230,24870226,523677526,91.4,8.6
"Cheshire","Berkshire","MA","2003",158926000,244500,11061800,714800,3510000,174457100,91.2,8.8
"Cheshire","Berkshire","MA","2004",159963800,285800,11398800,714800,3590300,175953500,91.1,8.9
"Cheshire","Berkshire","MA","2005",193104700,285400,13449589,789600,3387700,211016989,91.6,8.4
"Cheshire","Berkshire","MA","2006",217478400,296700,15624144,832500,3291741,237523485,91.7,8.3
"Cheshire","Berkshire","MA","2007",267895699,0,16590891,1648270,3611425,289746285,92.5,7.5
"Cheshire","Berkshire","MA","2008",268746599,0,16064564,1470270,3993850,290275283,92.6,7.4
"Cheshire","Berkshire","MA","2009",267146199,0,17393747,1470270,6460620,292470836,91.3,8.7
"Cheshire","Berkshire","MA","2010",277107178,0,18676763,1548370,7550776,304883087,90.9,9.1
"Cheshire","Berkshire","MA","2011",277750082,0,18301083,1623170,7241531,304915866,91.1,8.9
"Cheshire","Berkshire","MA","2012",279835882,0,18229417,1624670,7920037,307610006,91,9
"Cheshire","Berkshire","MA","2013",266771357,0,17858831,1769565,8416067,294815820,90.5,9.5
"Clarksburg","Berkshire","MA","2003",64273980,0,1180977,761500,1028225,67244682,95.6,4.4
"Clarksburg","Berkshire","MA","2004",79442026,0,1401972,880900,1091357,82816255,95.9,4.1
"Clarksburg","Berkshire","MA","2005",80832926,0,1354872,880900,1000366,84069064,96.2,3.8
"Clarksburg","Berkshire","MA","2006",91679820,0,1609876,919500,1006632,95215828,96.3,3.7
"Clarksburg","Berkshire","MA","2007",114296600,0,2152395,945000,967289,118361284,96.6,3.4
"Clarksburg","Berkshire","MA","2008",115174300,0,1997395,945000,1018828,119135523,96.7,3.3
"Clarksburg","Berkshire","MA","2009",116207900,0,1994995,949000,1542655,120694550,96.3,3.7
"Clarksburg","Berkshire","MA","2010",118102900,0,1992817,906500,1698177,122700394,96.3,3.7
"Clarksburg","Berkshire","MA","2011",118583800,0,1963050,906500,1651664,123105014,96.3,3.7
"Clarksburg","Berkshire","MA","2012",118863680,0,1958974,906500,2013714,123742868,96.1,3.9
"Clarksburg","Berkshire","MA","2013",114361260,0,1792319,879400,1682531,118715510,96.3,3.7
"Dalton","Berkshire","MA","2003",308903337,0,19817835,45002600,10397400,384121172,80.4,19.6
"Dalton","Berkshire","MA","2004",349930751,0,20867173,46295700,11247430,428341054,81.7,18.3
"Dalton","Berkshire","MA","2005",369063136,0,21112282,46210700,10725200,447111318,82.5,17.5
"Dalton","Berkshire","MA","2006",422763526,0,22428241,50766100,11472970,507430837,83.3,16.7
"Dalton","Berkshire","MA","2007",511281112,0,26049323,56336700,12276660,605943795,84.4,15.6
"Dalton","Berkshire","MA","2008",519590765,0,26212435,56390400,12284290,614477890,84.6,15.4
"Dalton","Berkshire","MA","2009",520323780,0,26966649,56536900,13871830,617699159,84.2,15.8
"Dalton","Berkshire","MA","2010",517069288,0,26603639,55748300,15978970,615400197,84,16
"Dalton","Berkshire","MA","2011",493588583,0,26404444,55872200,16488910,592354137,83.3,16.7
"Dalton","Berkshire","MA","2012",506148758,0,26291314,56104475,16344795,604889342,83.7,16.3
"Dalton","Berkshire","MA","2013",496672494,0,26591135,53914100,16758280,593936009,83.6,16.4
"Egremont","Berkshire","MA","2003",223911327,0,11724501,0,6217601,241853429,92.6,7.4
"Egremont","Berkshire","MA","2004",274389261,0,14375260,0,6452339,295216860,92.9,7.1
"Egremont","Berkshire","MA","2005",292023978,0,14536037,0,5967923,312527938,93.4,6.6
"Egremont","Berkshire","MA","2006",342826202,0,17332807,0,5776555,365935564,93.7,6.3
"Egremont","Berkshire","MA","2007",377398847,0,19081861,0,8401931,404882639,93.2,6.8
"Egremont","Berkshire","MA","2008",449814116,0,22083849,0,8721165,480619130,93.6,6.4
"Egremont","Berkshire","MA","2009",439393207,0,20361906,0,8233125,467988238,93.9,6.1
"Egremont","Berkshire","MA","2010",414837561,0,20105935,5200,8088675,443037371,93.6,6.4
"Egremont","Berkshire","MA","2011",385335853,0,16685905,5200,8031670,410058628,94,6
"Egremont","Berkshire","MA","2012",366843366,0,15419923,5000,7785029,390053318,94,6
"Egremont","Berkshire","MA","2013",360330920,0,14367548,5000,8313829,383017297,94.1,5.9
"Florida","Berkshire","MA","2003",28009000,104200,648200,60075400,8227200,97064000,29,71
"Florida","Berkshire","MA","2004",28836100,104300,654000,60083500,8353500,98031400,29.5,70.5
"Florida","Berkshire","MA","2005",29771800,105500,730375,60098700,8241800,98948175,30.2,69.8
"Florida","Berkshire","MA","2006",49822956,0,1182187,52172260,14037799,117215202,42.5,57.5
"Florida","Berkshire","MA","2007",54731193,0,1275268,52098060,15400428,123504949,44.3,55.7
"Florida","Berkshire","MA","2008",60748296,0,1150428,52157160,15135124,129191008,47,53
"Florida","Berkshire","MA","2009",61882239,0,1203577,53123000,16264651,132473467,46.7,53.3
"Florida","Berkshire","MA","2010",62060304,0,1093387,45885800,14249211,123288702,50.3,49.7
"Florida","Berkshire","MA","2011",60366228,0,1137350,45885800,14185947,121575325,49.7,50.3
"Florida","Berkshire","MA","2012",59100667,0,1028763,57193643,9061958,126385031,46.8,53.2
"Florida","Berkshire","MA","2013",59236567,0,1038703,50800962,8469193,119545425,49.6,50.4
"Great Barrington","Berkshire","MA","2003",535462000,0,124539887,9088400,24003235,693093522,77.3,22.7
"Great Barrington","Berkshire","MA","2004",627663709,0,142877691,11042400,23567770,805151570,78,22
"Great Barrington","Berkshire","MA","2005",679111395,0,156093815,11344700,24888952,871438862,77.9,22.1
"Great Barrington","Berkshire","MA","2006",804660584,0,189038060,13607500,25122439,1032428583,77.9,22.1
"Great Barrington","Berkshire","MA","2007",991458816,0,210501084,17401000,26994781,1246355681,79.5,20.5
"Great Barrington","Berkshire","MA","2008",1081612586,0,220406415,18572600,30554209,1351145810,80.1,19.9
"Great Barrington","Berkshire","MA","2009",1141106847,0,232139978,19191500,34919098,1427357423,79.9,20.1
"Great Barrington","Berkshire","MA","2010",1165281179,0,236697931,12548200,36538285,1451065595,80.3,19.7
"Great Barrington","Berkshire","MA","2011",1110132706,0,234655868,10393500,36838772,1392020846,79.7,20.3
"Great Barrington","Berkshire","MA","2012",1070876282,0,233296342,10054400,37394783,1351621807,79.2,20.8
"Great Barrington","Berkshire","MA","2013",1078673891,0,235289215,9982800,36937621,1360883527,79.3,20.7
"Hancock","Berkshire","MA","2003",90127500,0,9791800,500400,7455300,107875000,83.5,16.5
"Hancock","Berkshire","MA","2004",115485625,0,65387302,925420,14446980,196245327,58.8,41.2
"Hancock","Berkshire","MA","2005",125340525,0,88205143,916900,9544150,224006718,56,44
"Hancock","Berkshire","MA","2006",138487510,0,99093255,909490,11506270,249996525,55.4,44.6
"Hancock","Berkshire","MA","2007",179748443,0,119929782,974150,11591320,312243695,57.6,42.4
"Hancock","Berkshire","MA","2008",183371083,0,119437590,973270,11322350,315104293,58.2,41.8
"Hancock","Berkshire","MA","2009",184322293,0,122426736,973270,11374920,319097219,57.8,42.2
"Hancock","Berkshire","MA","2010",186193575,0,127943995,1091260,11706619,326935449,57,43
"Hancock","Berkshire","MA","2011",186937510,0,126925303,1111500,11741060,326715373,57.2,42.8
"Hancock","Berkshire","MA","2012",175541120,0,111823407,791300,11913830,300069657,58.5,41.5
"Hancock","Berkshire","MA","2013",176993165,0,106719438,647900,11081190,295441693,59.9,40.1
"Hinsdale","Berkshire","MA","2003",118405779,17700,8831853,1662255,8015135,136932722,86.5,13.5
"Hinsdale","Berkshire","MA","2004",133714779,17700,8980723,1584955,8491900,152790057,87.5,12.5
"Hinsdale","Berkshire","MA","2005",148221855,17700,9591601,1445934,8219735,167496825,88.5,11.5
"Hinsdale","Berkshire","MA","2006",195255544,0,15304654,1667088,8737730,220965016,88.4,11.6
"Hinsdale","Berkshire","MA","2007",210501279,0,15216457,1724673,9162725,236605134,89,11
"Hinsdale","Berkshire","MA","2008",224849185,0,15783116,1883695,10540767,253056763,88.9,11.1
"Hinsdale","Berkshire","MA","2009",239641655,0,16266717,2188470,11617784,269714626,88.9,11.1
"Hinsdale","Berkshire","MA","2010",237078507,0,16666764,2195970,20129811,276071052,85.9,14.1
