"","Municipal","County","State","Region","Year","No.Unemployed.Avg","No.Employed.Avg","No.Labor.Avg"
"1",NA,"NA County County",NA,"NA County County",1990,906,21944,22850
"2",NA,"NA County County",NA,"NA County County",1991,1000,20738,21738
"3",NA,"NA County County",NA,"NA County County",1992,806,20825,21631
"4",NA,"NA County County",NA,"NA County County",1993,660,21315,21975
"5",NA,"NA County County",NA,"NA County County",1994,581,21644,22225
"6",NA,"NA County County",NA,"NA County County",1995,523,21789,22312
"7",NA,"NA County County",NA,"NA County County",1996,450,22109,22559
"8",NA,"NA County County",NA,"NA County County",1997,417,22601,23018
"9",NA,"NA County County",NA,"NA County County",1998,402,23320,23722
"10",NA,"NA County County",NA,"NA County County",1999,381,23500,23881
"11",NA,"NA County County",NA,"NA County County",2000,453,22884,23337
"12",NA,"NA County County",NA,"NA County County",2001,513,22960,23473
"13",NA,"NA County County",NA,"NA County County",2002,649,22971,23620
"14",NA,"NA County County",NA,"NA County County",2003,795,23247,24042
"15",NA,"NA County County",NA,"NA County County",2004,792,23358,24150
"16",NA,"NA County County",NA,"NA County County",2005,817,23300,24117
"17",NA,"NA County County",NA,"NA County County",2006,798,23563,24361
"18",NA,"NA County County",NA,"NA County County",2007,760,23736,24496
"19",NA,"NA County County",NA,"NA County County",2008,927,23582,24509
"20",NA,"NA County County",NA,"NA County County",2009,1238,23303,24541
"21",NA,"NA County County",NA,"NA County County",2010,1346,23360,24706
"22",NA,"NA County County",NA,"NA County County",2011,1196,23516,24712
"23",NA,"NA County County",NA,"NA County County",2012,1117,23727,24844
"24",NA,"NA County County",NA,"NA County County",1990,937,9205,10142
"25",NA,"NA County County",NA,"NA County County",1991,1360,8742,10102
"26",NA,"NA County County",NA,"NA County County",1992,1284,8693,9977
"27",NA,"NA County County",NA,"NA County County",1993,976,8874,9850
"28",NA,"NA County County",NA,"NA County County",1994,813,8804,9617
"29",NA,"NA County County",NA,"NA County County",1995,672,8647,9319
"30",NA,"NA County County",NA,"NA County County",1996,573,8569,9142
"31",NA,"NA County County",NA,"NA County County",1997,593,8701,9294
"32",NA,"NA County County",NA,"NA County County",1998,492,8763,9255
"33",NA,"NA County County",NA,"NA County County",1999,446,8731,9177
"34",NA,"NA County County",NA,"NA County County",2000,321,10460,10781
"35",NA,"NA County County",NA,"NA County County",2001,446,10261,10707
"36",NA,"NA County County",NA,"NA County County",2002,583,10294,10877
"37",NA,"NA County County",NA,"NA County County",2003,688,10178,10866
"38",NA,"NA County County",NA,"NA County County",2004,643,10038,10681
"39",NA,"NA County County",NA,"NA County County",2005,598,10002,10600
"40",NA,"NA County County",NA,"NA County County",2006,589,9968,10557
"41",NA,"NA County County",NA,"NA County County",2007,599,9896,10495
"42",NA,"NA County County",NA,"NA County County",2008,715,9941,10656
"43",NA,"NA County County",NA,"NA County County",2009,1120,9614,10734
"44",NA,"NA County County",NA,"NA County County",2010,1139,9427,10566
"45",NA,"NA County County",NA,"NA County County",2011,971,9410,10381
"46",NA,"NA County County",NA,"NA County County",2012,903,9441,10344
"47",NA,"NA County County",NA,"NA County County",1990,7526,98177,105703
"48",NA,"NA County County",NA,"NA County County",1991,10516,95388,105904
"49",NA,"NA County County",NA,"NA County County",1992,10853,94815,105668
"50",NA,"NA County County",NA,"NA County County",1993,9550,98352,107902
"51",NA,"NA County County",NA,"NA County County",1994,8615,100723,109338
"52",NA,"NA County County",NA,"NA County County",1995,7330,102940,110270
"53",NA,"NA County County",NA,"NA County County",1996,6373,105366,111739
"54",NA,"NA County County",NA,"NA County County",1997,6126,107632,113758
"55",NA,"NA County County",NA,"NA County County",1998,5205,109894,115099
"56",NA,"NA County County",NA,"NA County County",1999,4650,113383,118033
"57",NA,"NA County County",NA,"NA County County",2000,3988,121133,125121
"58",NA,"NA County County",NA,"NA County County",2001,4628,122595,127223
"59",NA,"NA County County",NA,"NA County County",2002,5934,125112,131046
"60",NA,"NA County County",NA,"NA County County",2003,6836,127730,134566
"61",NA,"NA County County",NA,"NA County County",2004,6592,129091,135683
"62",NA,"NA County County",NA,"NA County County",2005,6371,128771,135142
"63",NA,"NA County County",NA,"NA County County",2006,6457,129143,135600
"64",NA,"NA County County",NA,"NA County County",2007,6252,128402,134654
"65",NA,"NA County County",NA,"NA County County",2008,7717,127660,135377
"66",NA,"NA County County",NA,"NA County County",2009,11204,124237,135441
"67",NA,"NA County County",NA,"NA County County",2010,11796,123695,135491
"68",NA,"NA County County",NA,"NA County County",2011,10595,123577,134172
"69",NA,"NA County County",NA,"NA County County",2012,9645,125650,135295
"70",NA,"NA County County",NA,"NA County County",1990,77622,1383193,1460815
"71",NA,"NA County County",NA,"NA County County",1991,106130,1334082,1440212
"72",NA,"NA County County",NA,"NA County County",1992,107991,1323256,1431247
"73",NA,"NA County County",NA,"NA County County",1993,87901,1338468,1426369
"74",NA,"NA County County",NA,"NA County County",1994,75206,1359901,1435107
"75",NA,"NA County County",NA,"NA County County",1995,67337,1384396,1451733
"76",NA,"NA County County",NA,"NA County County",1996,55671,1411124,1466795
"77",NA,"NA County County",NA,"NA County County",1997,50450,1442867,1493317
"78",NA,"NA County County",NA,"NA County County",1998,41372,1465073,1506445
"79",NA,"NA County County",NA,"NA County County",1999,40765,1479464,1520229
"80",NA,"NA County County",NA,"NA County County",2000,36669,1467251,1503920
"81",NA,"NA County County",NA,"NA County County",2001,51299,1465870,1517169
"82",NA,"NA County County",NA,"NA County County",2002,74993,1438923,1513916
"83",NA,"NA County County",NA,"NA County County",2003,81151,1412958,1494109
"84",NA,"NA County County",NA,"NA County County",2004,70241,1406190,1476431
"85",NA,"NA County County",NA,"NA County County",2005,64003,1413553,1477556
"86",NA,"NA County County",NA,"NA County County",2006,63500,1433097,1496597
"87",NA,"NA County County",NA,"NA County County",2007,59509,1451617,1511126
"88",NA,"NA County County",NA,"NA County County",2008,71612,1460175,1531787
"89",NA,"NA County County",NA,"NA County County",2009,109995,1421519,1531514
"90",NA,"NA County County",NA,"NA County County",2010,110343,1424563,1534906
"91",NA,"NA County County",NA,"NA County County",2011,95180,1443769,1538949
"92",NA,"NA County County",NA,"NA County County",2012,86859,1459579,1546438
"93",NA,"NA County County",NA,"NA County County",1990,137570,2212947,2350517
"94",NA,"NA County County",NA,"NA County County",1991,186312,2133160,2319472
"95",NA,"NA County County",NA,"NA County County",1992,191622,2119559,2311181
"96",NA,"NA County County",NA,"NA County County",1993,157199,2147283,2304482
"97",NA,"NA County County",NA,"NA County County",1994,132675,2185249,2317924
"98",NA,"NA County County",NA,"NA County County",1995,116263,2223571,2339834
"99",NA,"NA County County",NA,"NA County County",1996,97804,2273234,2371038
"100",NA,"NA County County",NA,"NA County County",1997,88674,2332775,2421449
"101",NA,"NA County County",NA,"NA County County",1998,74741,2374683,2449424
"102",NA,"NA County County",NA,"NA County County",1999,74114,2415208,2489322
"103",NA,"NA County County",NA,"NA County County",2000,63073,2398503,2461576
"104",NA,"NA County County",NA,"NA County County",2001,89508,2401266,2490774
"105",NA,"NA County County",NA,"NA County County",2002,131516,2362303,2493819
"106",NA,"NA County County",NA,"NA County County",2003,140199,2327684,2467883
"107",NA,"NA County County",NA,"NA County County",2004,122039,2323266,2445305
"108",NA,"NA County County",NA,"NA County County",2005,111080,2340282,2451362
"109",NA,"NA County County",NA,"NA County County",2006,109357,2369185,2478542
"110",NA,"NA County County",NA,"NA County County",2007,103296,2394508,2497804
"111",NA,"NA County County",NA,"NA County County",2008,123525,2402597,2526122
"112",NA,"NA County County",NA,"NA County County",2009,191132,2338517,2529649
"113",NA,"NA County County",NA,"NA County County",2010,191585,2343974,2535559
"114",NA,"NA County County",NA,"NA County County",2011,167089,2371219,2538308
"115",NA,"NA County County",NA,"NA County County",2012,155041,2395537,2550578
"116",NA,"NA County County",NA,"NA County County",1990,169482,2662698,2832180
"117",NA,"NA County County",NA,"NA County County",1991,229633,2565113,2794746
"118",NA,"NA County County",NA,"NA County County",1992,232555,2552531,2785086
"119",NA,"NA County County",NA,"NA County County",1993,189356,2589582,2778938
"120",NA,"NA County County",NA,"NA County County",1994,158890,2633914,2792804
"121",NA,"NA County County",NA,"NA County County",1995,140102,2677357,2817459
"122",NA,"NA County County",NA,"NA County County",1996,118695,2733530,2852225
"123",NA,"NA County County",NA,"NA County County",1997,107627,2805429,2913056
"124",NA,"NA County County",NA,"NA County County",1998,91008,2855530,2946538
"125",NA,"NA County County",NA,"NA County County",1999,89871,2898956,2988827
"126",NA,"NA County County",NA,"NA County County",2000,77009,2899702,2976711
"127",NA,"NA County County",NA,"NA County County",2001,108673,2904697,3013370
"128",NA,"NA County County",NA,"NA County County",2002,159145,2865234,3024379
"129",NA,"NA County County",NA,"NA County County",2003,170616,2831883,3002499
"130",NA,"NA County County",NA,"NA County County",2004,149360,2830463,2979823
"131",NA,"NA County County",NA,"NA County County",2005,136925,2849548,2986473
"132",NA,"NA County County",NA,"NA County County",2006,134816,2884309,3019125
"133",NA,"NA County County",NA,"NA County County",2007,128263,2912019,3040282
"134",NA,"NA County County",NA,"NA County County",2008,152819,2918342,3071161
"135",NA,"NA County County",NA,"NA County County",2009,236333,2840706,3077039
"136",NA,"NA County County",NA,"NA County County",2010,237692,2845407,3083099
"137",NA,"NA County County",NA,"NA County County",2011,208064,2875698,3083762
"138",NA,"NA County County",NA,"NA County County",2012,193884,2900493,3094377
"139",NA,"NA County County",NA,"NA County County",1990,9261,105913,115174
"140",NA,"NA County County",NA,"NA County County",1991,13136,100939,114075
"141",NA,"NA County County",NA,"NA County County",1992,12752,99337,112089
"142",NA,"NA County County",NA,"NA County County",1993,9958,102778,112736
"143",NA,"NA County County",NA,"NA County County",1994,8245,108487,116732
"144",NA,"NA County County",NA,"NA County County",1995,7297,111799,119096
"145",NA,"NA County County",NA,"NA County County",1996,6653,112806,119459
"146",NA,"NA County County",NA,"NA County County",1997,5866,116575,122441
"147",NA,"NA County County",NA,"NA County County",1998,4666,117853,122519
"148",NA,"NA County County",NA,"NA County County",1999,4499,119924,124423
"149",NA,"NA County County",NA,"NA County County",2000,3517,119720,123237
"150",NA,"NA County County",NA,"NA County County",2001,4682,119483,124165
"151",NA,"NA County County",NA,"NA County County",2002,6594,118595,125189
"152",NA,"NA County County",NA,"NA County County",2003,7498,116514,124012
"153",NA,"NA County County",NA,"NA County County",2004,7043,116526,123569
"154",NA,"NA County County",NA,"NA County County",2005,6545,116934,123479
"155",NA,"NA County County",NA,"NA County County",2006,6592,118348,124940
"156",NA,"NA County County",NA,"NA County County",2007,6388,119127,125515
"157",NA,"NA County County",NA,"NA County County",2008,7621,118751,126372
"158",NA,"NA County County",NA,"NA County County",2009,11586,115827,127413
"159",NA,"NA County County",NA,"NA County County",2010,12219,116020,128239
"160",NA,"NA County County",NA,"NA County County",2011,10823,117048,127871
"161",NA,"NA County County",NA,"NA County County",2012,9752,118085,127837
"162",NA,"NA County County","MA","NA County County",1990,69,907,976
"163",NA,"NA County County","MA","NA County County",1991,84,884,968
"164",NA,"NA County County","MA","NA County County",1992,97,881,978
"165",NA,"NA County County","MA","NA County County",1993,90,879,969
"166",NA,"NA County County","MA","NA County County",1994,77,885,962
"167",NA,"NA County County","MA","NA County County",1995,57,927,984
"168",NA,"NA County County","MA","NA County County",1996,54,929,983
"169",NA,"NA County County","MA","NA County County",1997,54,948,1002
"170",NA,"NA County County","MA","NA County County",1998,47,963,1010
"171",NA,"NA County County","MA","NA County County",1999,44,980,1024
"172",NA,"NA County County","MA","NA County County",2000,34,1106,1140
"173",NA,"NA County County","MA","NA County County",2001,36,1113,1149
"174",NA,"NA County County","MA","NA County County",2002,53,1126,1179
"175",NA,"NA County County","MA","NA County County",2003,64,1129,1193
"176",NA,"NA County County","MA","NA County County",2004,55,1115,1170
"177",NA,"NA County County","MA","NA County County",2005,49,1108,1157
"178",NA,"NA County County","MA","NA County County",2006,47,1109,1156
"179",NA,"NA County County","MA","NA County County",2007,55,1092,1147
"180",NA,"NA County County","MA","NA County County",2008,54,1081,1135
"181",NA,"NA County County","MA","NA County County",2009,83,1054,1137
"182",NA,"NA County County","MA","NA County County",2010,82,1030,1112
"183",NA,"NA County County","MA","NA County County",2011,74,1034,1108
"184",NA,"NA County County","MA","NA County County",2012,69,1036,1105
"185",NA,"NA County County",NA,"NA County County",1990,7320,126251,133571
"186",NA,"NA County County",NA,"NA County County",1991,9843,122331,132174
"187",NA,"NA County County",NA,"NA County County",1992,9975,121582,131557
"188",NA,"NA County County",NA,"NA County County",1993,7807,123705,131512
"189",NA,"NA County County",NA,"NA County County",1994,6720,126494,133214
"190",NA,"NA County County",NA,"NA County County",1995,6074,127713,133787
"191",NA,"NA County County",NA,"NA County County",1996,4847,130712,135559
"192",NA,"NA County County",NA,"NA County County",1997,4318,134593,138911
"193",NA,"NA County County",NA,"NA County County",1998,3539,137559,141098
"194",NA,"NA County County",NA,"NA County County",1999,3716,139680,143396
"195",NA,"NA County County",NA,"NA County County",2000,3159,139373,142532
"196",NA,"NA County County",NA,"NA County County",2001,4510,140650,145160
"197",NA,"NA County County",NA,"NA County County",2002,7103,137990,145093
"198",NA,"NA County County",NA,"NA County County",2003,7409,135776,143185
"199",NA,"NA County County",NA,"NA County County",2004,6163,136645,142808
"200",NA,"NA County County",NA,"NA County County",2005,5549,138549,144098
"201",NA,"NA County County",NA,"NA County County",2006,5543,139974,145517
"202",NA,"NA County County",NA,"NA County County",2007,5208,141797,147005
"203",NA,"NA County County",NA,"NA County County",2008,6294,143161,149455
"204",NA,"NA County County",NA,"NA County County",2009,9853,138950,148803
"205",NA,"NA County County",NA,"NA County County",2010,9689,138980,148669
"206",NA,"NA County County",NA,"NA County County",2011,8216,140107,148323
"207",NA,"NA County County",NA,"NA County County",2012,7648,141387,149035
"208",NA,"NA County County","MA","NA County County",1990,715,12843,13558
"209",NA,"NA County County","MA","NA County County",1991,1047,12422,13469
"210",NA,"NA County County","MA","NA County County",1992,1136,12371,13507
"211",NA,"NA County County","MA","NA County County",1993,945,12758,13703
"212",NA,"NA County County","MA","NA County County",1994,819,12789,13608
"213",NA,"NA County County","MA","NA County County",1995,731,13278,14009
"214",NA,"NA County County","MA","NA County County",1996,578,13549,14127
"215",NA,"NA County County","MA","NA County County",1997,525,13792,14317
"216",NA,"NA County County","MA","NA County County",1998,416,13762,14178
"217",NA,"NA County County","MA","NA County County",1999,392,13733,14125
"218",NA,"NA County County","MA","NA County County",2000,362,15094,15456
"219",NA,"NA County County","MA","NA County County",2001,417,15617,16034
"220",NA,"NA County County","MA","NA County County",2002,572,16065,16637
"221",NA,"NA County County","MA","NA County County",2003,664,16082,16746
"222",NA,"NA County County","MA","NA County County",2004,618,16003,16621
"223",NA,"NA County County","MA","NA County County",2005,566,16349,16915
"224",NA,"NA County County","MA","NA County County",2006,606,16481,17087
"225",NA,"NA County County","MA","NA County County",2007,593,16128,16721
"226",NA,"NA County County","MA","NA County County",2008,726,16100,16826
"227",NA,"NA County County","MA","NA County County",2009,1054,15604,16658
"228",NA,"NA County County","MA","NA County County",2010,1078,15639,16717
"229",NA,"NA County County","MA","NA County County",2011,918,15727,16645
"230",NA,"NA County County","MA","NA County County",2012,843,15597,16440
"231",NA,"NA County County",NA,"NA County County",1990,1081,20464,21545
"232",NA,"NA County County",NA,"NA County County",1991,1711,20292,22003
"233",NA,"NA County County",NA,"NA County County",1992,1737,19690,21427
"234",NA,"NA County County",NA,"NA County County",1993,1342,19685,21027
"235",NA,"NA County County",NA,"NA County County",1994,1124,20299,21423
"236",NA,"NA County County",NA,"NA County County",1995,1103,20724,21827
"237",NA,"NA County County",NA,"NA County County",1996,903,20795,21698
"238",NA,"NA County County",NA,"NA County County",1997,878,21231,22109
"239",NA,"NA County County",NA,"NA County County",1998,769,21585,22354
"240",NA,"NA County County",NA,"NA County County",1999,703,21956,22659
"241",NA,"NA County County",NA,"NA County County",2000,580,21662,22242
"242",NA,"NA County County",NA,"NA County County",2001,726,21577,22303
"243",NA,"NA County County",NA,"NA County County",2002,964,21852,22816
"244",NA,"NA County County",NA,"NA County County",2003,1066,21891,22957
"245",NA,"NA County County",NA,"NA County County",2004,1007,21532,22539
"246",NA,"NA County County",NA,"NA County County",2005,1021,21485,22506
"247",NA,"NA County County",NA,"NA County County",2006,1028,21539,22567
"248",NA,"NA County County",NA,"NA County County",2007,976,21187,22163
"249",NA,"NA County County",NA,"NA County County",2008,1174,20960,22134
"250",NA,"NA County County",NA,"NA County County",2009,1774,20334,22108
"251",NA,"NA County County",NA,"NA County County",2010,1800,20430,22230
"252",NA,"NA County County",NA,"NA County County",2011,1535,20461,21996
"253",NA,"NA County County",NA,"NA County County",2012,1431,20517,21948
"254",NA,"NA County County",NA,"NA County County",1990,7077,95707,102784
"255",NA,"NA County County",NA,"NA County County",1991,9207,94018,103225
"256",NA,"NA County County",NA,"NA County County",1992,9571,95315,104886
"257",NA,"NA County County",NA,"NA County County",1993,8404,97859,106263
"258",NA,"NA County County",NA,"NA County County",1994,6863,100387,107250
"259",NA,"NA County County",NA,"NA County County",1995,5768,101152,106920
"260",NA,"NA County County",NA,"NA County County",1996,5163,104898,110061
"261",NA,"NA County County",NA,"NA County County",1997,4985,107697,112682
"262",NA,"NA County County",NA,"NA County County",1998,4417,111568,115985
"263",NA,"NA County County",NA,"NA County County",1999,4264,117063,121327
"264",NA,"NA County County",NA,"NA County County",2000,3288,117462,120750
"265",NA,"NA County County",NA,"NA County County",2001,4782,117411,122193
"266",NA,"NA County County",NA,"NA County County",2002,7067,114905,121972
"267",NA,"NA County County",NA,"NA County County",2003,7015,112648,119663
"268",NA,"NA County County",NA,"NA County County",2004,6256,112332,118588
"269",NA,"NA County County",NA,"NA County County",2005,5615,113604,119219
"270",NA,"NA County County",NA,"NA County County",2006,5360,115277,120637
"271",NA,"NA County County",NA,"NA County County",2007,5191,116075,121266
"272",NA,"NA County County",NA,"NA County County",2008,6334,115628,121962
"273",NA,"NA County County",NA,"NA County County",2009,9702,113225,122927
"274",NA,"NA County County",NA,"NA County County",2010,9559,114572,124131
"275",NA,"NA County County",NA,"NA County County",2011,8487,115962,124449
"276",NA,"NA County County",NA,"NA County County",2012,8232,117486,125718
"277",NA,"NA County County",NA,"NA County County",1990,3979,57550,61529
"278",NA,"NA County County",NA,"NA County County",1991,5501,56717,62218
"279",NA,"NA County County",NA,"NA County County",1992,5370,57536,62906
"280",NA,"NA County County",NA,"NA County County",1993,4779,59041,63820
"281",NA,"NA County County",NA,"NA County County",1994,4162,60762,64924
"282",NA,"NA County County",NA,"NA County County",1995,3492,60956,64448
"283",NA,"NA County County",NA,"NA County County",1996,2937,63185,66122
"284",NA,"NA County County",NA,"NA County County",1997,2980,64538,67518
"285",NA,"NA County County",NA,"NA County County",1998,2523,67213,69736
"286",NA,"NA County County",NA,"NA County County",1999,2438,68898,71336
"287",NA,"NA County County",NA,"NA County County",2000,1780,70309,72089
"288",NA,"NA County County",NA,"NA County County",2001,2720,69978,72698
"289",NA,"NA County County",NA,"NA County County",2002,4090,68087,72177
"290",NA,"NA County County",NA,"NA County County",2003,4186,66911,71097
"291",NA,"NA County County",NA,"NA County County",2004,3669,66452,70121
"292",NA,"NA County County",NA,"NA County County",2005,3369,66985,70354
"293",NA,"NA County County",NA,"NA County County",2006,3258,67737,70995
"294",NA,"NA County County",NA,"NA County County",2007,3079,68002,71081
"295",NA,"NA County County",NA,"NA County County",2008,3789,68052,71841
"296",NA,"NA County County",NA,"NA County County",2009,5984,66523,72507
"297",NA,"NA County County",NA,"NA County County",2010,6018,66749,72767
"298",NA,"NA County County",NA,"NA County County",2011,5188,67604,72792
"299",NA,"NA County County",NA,"NA County County",2012,4721,68492,73213
"300",NA,"NA County County",NA,"NA County County",1990,6139,57718,63857
"301",NA,"NA County County",NA,"NA County County",1991,7724,55604,63328
"302",NA,"NA County County",NA,"NA County County",1992,7969,55364,63333
"303",NA,"NA County County",NA,"NA County County",1993,7598,55614,63212
"304",NA,"NA County County",NA,"NA County County",1994,6495,56085,62580
"305",NA,"NA County County",NA,"NA County County",1995,5466,59073,64539
"306",NA,"NA County County",NA,"NA County County",1996,5184,60696,65880
"307",NA,"NA County County",NA,"NA County County",1997,4698,61507,66205
"308",NA,"NA County County",NA,"NA County County",1998,4473,62618,67091
"309",NA,"NA County County",NA,"NA County County",1999,4294,66051,70345
"310",NA,"NA County County",NA,"NA County County",2000,2988,64454,67442
"311",NA,"NA County County",NA,"NA County County",2001,4530,64649,69179
"312",NA,"NA County County",NA,"NA County County",2002,6639,63918,70557
"313",NA,"NA County County",NA,"NA County County",2003,6664,63674,70338
"314",NA,"NA County County",NA,"NA County County",2004,5943,63895,69838
"315",NA,"NA County County",NA,"NA County County",2005,5295,64245,69540
"316",NA,"NA County County",NA,"NA County County",2006,4996,64768,69764
"317",NA,"NA County County",NA,"NA County County",2007,4744,65285,70029
"318",NA,"NA County County",NA,"NA County County",2008,5652,64951,70603
"319",NA,"NA County County",NA,"NA County County",2009,8640,63132,71772
"320",NA,"NA County County",NA,"NA County County",2010,8905,64116,73021
"321",NA,"NA County County",NA,"NA County County",2011,8473,65353,73826
"322",NA,"NA County County",NA,"NA County County",2012,8160,66251,74411
"323",NA,"NA County County",NA,"NA County County",1990,4831,43173,48004
"324",NA,"NA County County",NA,"NA County County",1991,6305,41772,48077
"325",NA,"NA County County",NA,"NA County County",1992,6187,41354,47541
"326",NA,"NA County County",NA,"NA County County",1993,5773,41372,47145
"327",NA,"NA County County",NA,"NA County County",1994,5174,41433,46607
"328",NA,"NA County County",NA,"NA County County",1995,4380,44176,48556
"329",NA,"NA County County",NA,"NA County County",1996,4122,45222,49344
"330",NA,"NA County County",NA,"NA County County",1997,3788,45722,49510
"331",NA,"NA County County",NA,"NA County County",1998,3560,46502,50062
"332",NA,"NA County County",NA,"NA County County",1999,3479,47642,51121
"333",NA,"NA County County",NA,"NA County County",2000,2315,48532,50847
"334",NA,"NA County County",NA,"NA County County",2001,3629,48550,52179
"335",NA,"NA County County",NA,"NA County County",2002,5391,47851,53242
"336",NA,"NA County County",NA,"NA County County",2003,5442,47741,53183
"337",NA,"NA County County",NA,"NA County County",2004,4827,47714,52541
"338",NA,"NA County County",NA,"NA County County",2005,4323,47830,52153
"339",NA,"NA County County",NA,"NA County County",2006,4143,48046,52189
"340",NA,"NA County County",NA,"NA County County",2007,3864,48276,52140
"341",NA,"NA County County",NA,"NA County County",2008,4688,48069,52757
"342",NA,"NA County County",NA,"NA County County",2009,7219,46760,53979
"343",NA,"NA County County",NA,"NA County County",2010,7517,48568,56085
"344",NA,"NA County County",NA,"NA County County",2011,7198,49524,56722
"345",NA,"NA County County",NA,"NA County County",2012,6737,50204,56941
"346",NA,"NA County County",NA,"NA County County",1990,5923,65491,71414
"347",NA,"NA County County",NA,"NA County County",1991,7656,63184,70840
"348",NA,"NA County County",NA,"NA County County",1992,6729,63812,70541
"349",NA,"NA County County",NA,"NA County County",1993,5277,64688,69965
"350",NA,"NA County County",NA,"NA County County",1994,4838,64819,69657
"351",NA,"NA County County",NA,"NA County County",1995,4512,66003,70515
"352",NA,"NA County County",NA,"NA County County",1996,4010,65950,69960
"353",NA,"NA County County",NA,"NA County County",1997,3601,67580,71181
"354",NA,"NA County County",NA,"NA County County",1998,2889,67510,70399
"355",NA,"NA County County",NA,"NA County County",1999,2977,67559,70536
"356",NA,"NA County County",NA,"NA County County",2000,2313,70426,72739
"357",NA,"NA County County",NA,"NA County County",2001,3222,69703,72925
"358",NA,"NA County County",NA,"NA County County",2002,4789,69316,74105
"359",NA,"NA County County",NA,"NA County County",2003,5208,68871,74079
"360",NA,"NA County County",NA,"NA County County",2004,4791,68529,73320
"361",NA,"NA County County",NA,"NA County County",2005,4626,67974,72600
"362",NA,"NA County County",NA,"NA County County",2006,4425,68560,72985
"363",NA,"NA County County",NA,"NA County County",2007,4168,68441,72609
"364",NA,"NA County County",NA,"NA County County",2008,4949,67727,72676
"365",NA,"NA County County",NA,"NA County County",2009,7634,65728,73362
"366",NA,"NA County County",NA,"NA County County",2010,7823,65240,73063
"367",NA,"NA County County",NA,"NA County County",2011,7121,65212,72333
"368",NA,"NA County County",NA,"NA County County",2012,6495,65165,71660
"369",NA,"NA County County",NA,"NA County County",1990,10664,138800,149464
"370",NA,"NA County County",NA,"NA County County",1991,14583,133433,148016
"371",NA,"NA County County",NA,"NA County County",1992,15674,132468,148142
"372",NA,"NA County County",NA,"NA County County",1993,12810,132403,145213
"373",NA,"NA County County",NA,"NA County County",1994,10181,133382,143563
"374",NA,"NA County County",NA,"NA County County",1995,8346,135976,144322
"375",NA,"NA County County",NA,"NA County County",1996,6523,140914,147437
"376",NA,"NA County County",NA,"NA County County",1997,6167,146928,153095
"377",NA,"NA County County",NA,"NA County County",1998,5421,150855,156276
"378",NA,"NA County County",NA,"NA County County",1999,5553,155548,161101
"379",NA,"NA County County",NA,"NA County County",2000,4012,147079,151091
"380",NA,"NA County County",NA,"NA County County",2001,6323,147843,154166
"381",NA,"NA County County",NA,"NA County County",2002,9874,145211,155085
"382",NA,"NA County County",NA,"NA County County",2003,10300,143064,153364
"383",NA,"NA County County",NA,"NA County County",2004,8652,142438,151090
"384",NA,"NA County County",NA,"NA County County",2005,7765,143367,151132
"385",NA,"NA County County",NA,"NA County County",2006,7352,144703,152055
"386",NA,"NA County County",NA,"NA County County",2007,7049,145909,152958
"387",NA,"NA County County",NA,"NA County County",2008,8419,145866,154285
"388",NA,"NA County County",NA,"NA County County",2009,13542,141736,155278
"389",NA,"NA County County",NA,"NA County County",2010,13336,142187,155523
"390",NA,"NA County County",NA,"NA County County",2011,11672,143658,155330
"391",NA,"NA County County",NA,"NA County County",2012,10965,145242,156207
"392",NA,"NA County County",NA,"NA County County",1990,10062,133377,143439
"393",NA,"NA County County",NA,"NA County County",1991,13936,128318,142254
"394",NA,"NA County County",NA,"NA County County",1992,14907,127379,142286
"395",NA,"NA County County",NA,"NA County County",1993,12118,127268,139386
"396",NA,"NA County County",NA,"NA County County",1994,9715,128164,137879
"397",NA,"NA County County",NA,"NA County County",1995,7947,130464,138411
"398",NA,"NA County County",NA,"NA County County",1996,6191,135141,141332
"399",NA,"NA County County",NA,"NA County County",1997,5866,140815,146681
"400",NA,"NA County County",NA,"NA County County",1998,5114,144491,149605
"401",NA,"NA County County",NA,"NA County County",1999,5233,149044,154277
"402",NA,"NA County County",NA,"NA County County",2000,3780,140988,144768
"403",NA,"NA County County",NA,"NA County County",2001,6012,141534,147546
"404",NA,"NA County County",NA,"NA County County",2002,9369,138843,148212
"405",NA,"NA County County",NA,"NA County County",2003,9820,136686,146506
"406",NA,"NA County County",NA,"NA County County",2004,8250,135919,144169
"407",NA,"NA County County",NA,"NA County County",2005,7387,136708,144095
"408",NA,"NA County County",NA,"NA County County",2006,7008,137996,145004
"409",NA,"NA County County",NA,"NA County County",2007,6699,139157,145856
"410",NA,"NA County County",NA,"NA County County",2008,8044,139091,147135
"411",NA,"NA County County",NA,"NA County County",2009,12942,135039,147981
"412",NA,"NA County County",NA,"NA County County",2010,12760,135340,148100
"413",NA,"NA County County",NA,"NA County County",2011,11139,136771,147910
"414",NA,"NA County County",NA,"NA County County",2012,10420,138280,148700
"415",NA,"NA County County",NA,"NA County County",1990,600,9780,10380
"416",NA,"NA County County",NA,"NA County County",1991,832,9463,10295
"417",NA,"NA County County",NA,"NA County County",1992,787,9588,10375
"418",NA,"NA County County",NA,"NA County County",1993,685,9745,10430
"419",NA,"NA County County",NA,"NA County County",1994,578,10046,10624
"420",NA,"NA County County",NA,"NA County County",1995,515,9855,10370
"421",NA,"NA County County",NA,"NA County County",1996,426,10212,10638
"422",NA,"NA County County",NA,"NA County County",1997,370,10648,11018
"423",NA,"NA County County",NA,"NA County County",1998,329,10978,11307
