"Municipal","County","State","C_year","Number of Months Reported","Area Name","Single Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Buildings- Reported Data Only","Single Family Units- Reported Data Only","Single Family Valuation- Reported Data Only","2 Family Buildings- Reported Data Only","2 Family Units- Reported Data Only","2 Family Valuation- Reported Data Only","3+4 Family Buildings- Reported Data Only","3+4 Family Units- Reported Data Only","3+4 Family Valuation- Reported Data Only","5+ Family Buildings- Reported Data Only","5+ Family Units- Reported Data Only","5+ Family Valuation- Reported Data Only","Total_Buildings_Reported_Imputed","Total_Units_Reported_Imputed","Total_Valuation_Reported_Imputed","Average_Valuation_PerUnits_Reported_Imputed","Total_Buildings_Reported","Total_Units_Reported","Total_Valuation_Reported","Average_Valuation_PerUnits_Reported","Region","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation"
"Abington","Plymouth","MA","2000"," 12","Abington town",60,60,7247000,1,2,105000,0,0,0,3,34,2550000,60,60,7247000,1,2,105000,0,0,0,3,34,2550000,64,96,9902000,103145.833333333,64,96,9902000,103145.833333333,"Abington",9466509,137158,0,3330978,12934645,134735.885416667
"Abington","Plymouth","MA","2001"," 12","Abington town",90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,102041.744444444,90,90,9183757,102041.744444444,"Abington",11664512,0,0,0,11664512,129605.688888889
"Abington","Plymouth","MA","2002"," 12","Abington town",137,137,17293185,0,0,0,0,0,0,8,192,13069808,137,137,17293185,0,0,0,0,0,0,8,192,13069808,145,329,30362993,92288.7325227964,145,329,30362993,92288.7325227964,"Abington",21622633,0,0,16341910,37964543,115393.747720365
"Abington","Plymouth","MA","2003"," 12","Abington town",37,37,6403010,0,0,0,0,0,0,6,72,10200000,37,37,6403010,0,0,0,0,0,0,6,72,10200000,43,109,16603010,152321.19266055,43,109,16603010,152321.19266055,"Abington",7827645,0,0,12469445,20297090,186211.834862385
"Abington","Plymouth","MA","2004"," 12","Abington town",31,31,6024000,0,0,0,0,0,0,4,48,6800000,31,31,6024000,0,0,0,0,0,0,4,48,6800000,35,79,12824000,162329.113924051,35,79,12824000,162329.113924051,"Abington",7173280,0,0,8097328,15270608,193298.835443038
"Abington","Plymouth","MA","2005"," 12","Abington town",23,23,4569000,0,0,0,1,3,210000,9,52,6500000,23,23,4569000,0,0,0,1,3,210000,9,52,6500000,33,78,11279000,144602.564102564,33,78,11279000,144602.564102564,"Abington",5262398,0,241870,7486449,12990717,166547.653846154
"Abington","Plymouth","MA","2006"," 12","Abington town",29,29,5404769,3,6,853000,0,0,0,5,60,6412575,29,29,5404769,3,6,853000,0,0,0,5,60,6412575,37,95,12670344,133372.042105263,37,95,12670344,133372.042105263,"Abington",6030473,951751,0,7154951,14137175,148812.368421053
"Abington","Plymouth","MA","2007"," 12","Abington town",27,27,5868000,2,4,486000,0,0,0,10,120,12850000,27,27,5868000,2,4,486000,0,0,0,10,120,12850000,39,151,19204000,127178.80794702,39,151,19204000,127178.80794702,"Abington",6366014,527247,0,13940572,20833833,137972.40397351
"Abington","Plymouth","MA","2008"," 12","Abington town",18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,231555.555555556,18,18,4168000,231555.555555556,"Abington",4354541,0,0,0,4354541,241918.944444444
"Abington","Plymouth","MA","2009","  5","Abington town",12,12,3106383,0,0,0,0,0,0,0,0,0,4,4,1253936,0,0,0,0,0,0,0,0,0,12,12,3106383,258865.25,4,4,1253936,313484,"Abington",3256998,0,0,0,3256998,271416.5
"Abington","Plymouth","MA","2010","  0","Abington town",15,15,3773738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3773738,251582.533333333,0,0,0,NA,"Abington",3892857,0,0,0,3892857,259523.8
"Abington","Plymouth","MA","2011"," 12","Abington town",14,14,3141366,0,0,0,0,0,0,0,0,0,14,14,3141366,0,0,0,0,0,0,0,0,0,14,14,3141366,224383.285714286,14,14,3141366,224383.285714286,"Abington",3141366,0,0,0,3141366,224383.285714286
"Acton","Middlesex","MA","2000"," 12","Acton town",96,96,14663800,7,14,1680000,5,16,1920000,0,0,0,96,96,14663800,7,14,1680000,5,16,1920000,0,0,0,108,126,18263800,144950.793650794,108,126,18263800,144950.793650794,"Acton",19154823,2194527,2508031,0,23857381,189344.293650794
"Acton","Middlesex","MA","2001"," 12","Acton town",47,47,7348500,0,0,0,0,0,0,1,24,4e+06,47,47,7348500,0,0,0,0,0,0,1,24,4e+06,48,71,11348500,159838.028169014,48,71,11348500,159838.028169014,"Acton",9333508,0,0,5080497,14414005,203014.154929577
"Acton","Middlesex","MA","2002"," 12","Acton town",42,42,7055300,0,0,0,0,0,0,0,0,0,42,42,7055300,0,0,0,0,0,0,0,0,0,42,42,7055300,167983.333333333,42,42,7055300,167983.333333333,"Acton",8821635,0,0,0,8821635,210038.928571429
"Acton","Middlesex","MA","2003"," 12","Acton town",30,30,4225000,0,0,0,0,0,0,0,0,0,30,30,4225000,0,0,0,0,0,0,0,0,0,30,30,4225000,140833.333333333,30,30,4225000,140833.333333333,"Acton",5165040,0,0,0,5165040,172168
"Acton","Middlesex","MA","2004"," 12","Acton town",30,30,6596500,6,12,1872000,0,0,0,0,0,0,30,30,6596500,6,12,1872000,0,0,0,0,0,0,36,42,8468500,201630.952380952,36,42,8468500,201630.952380952,"Acton",7855003,2229147,0,0,10084150,240098.80952381
"Acton","Middlesex","MA","2005"," 12","Acton town",58,58,10658000,0,0,0,0,0,0,0,0,0,58,58,10658000,0,0,0,0,0,0,0,0,0,58,58,10658000,183758.620689655,58,58,10658000,183758.620689655,"Acton",12275473,0,0,0,12275473,211646.086206897
"Acton","Middlesex","MA","2006"," 12","Acton town",71,71,13257720,0,0,0,0,0,0,0,0,0,71,71,13257720,0,0,0,0,0,0,0,0,0,71,71,13257720,186728.450704225,71,71,13257720,186728.450704225,"Acton",14792551,0,0,0,14792551,208345.788732394
"Acton","Middlesex","MA","2007"," 12","Acton town",70,70,16162420,0,0,0,0,0,0,0,0,0,70,70,16162420,0,0,0,0,0,0,0,0,0,70,70,16162420,230891.714285714,70,70,16162420,230891.714285714,"Acton",17534116,0,0,0,17534116,250487.371428571
"Acton","Middlesex","MA","2008"," 12","Acton town",49,49,16070551,0,0,0,0,0,0,0,0,0,49,49,16070551,0,0,0,0,0,0,0,0,0,49,49,16070551,327970.428571429,49,49,16070551,327970.428571429,"Acton",16789797,0,0,0,16789797,342648.918367347
"Acton","Middlesex","MA","2009"," 12","Acton town",32,32,8144275,0,0,0,1,3,774000,0,0,0,32,32,8144275,0,0,0,1,3,774000,0,0,0,33,35,8918275,254807.857142857,33,35,8918275,254807.857142857,"Acton",8539157,0,811528,0,9350685,267162.428571429
"Acton","Middlesex","MA","2010"," 12","Acton town",48,48,9336000,0,0,0,0,0,0,0,0,0,48,48,9336000,0,0,0,0,0,0,0,0,0,48,48,9336000,194500,48,48,9336000,194500,"Acton",9630694,0,0,0,9630694,200639.458333333
"Acton","Middlesex","MA","2011"," 12","Acton town",62,62,14035981,0,0,0,0,0,0,0,0,0,62,62,14035981,0,0,0,0,0,0,0,0,0,62,62,14035981,226386.790322581,62,62,14035981,226386.790322581,"Acton",14035981,0,0,0,14035981,226386.790322581
"Acushnet","Bristol","MA","2000"," 12","Acushnet town",43,43,6165392,0,0,0,0,0,0,0,0,0,43,43,6165392,0,0,0,0,0,0,0,0,0,43,43,6165392,143381.209302326,43,43,6165392,143381.209302326,"Acushnet",8053642,0,0,0,8053642,187294
"Acushnet","Bristol","MA","2001"," 12","Acushnet town",55,55,8713502,0,0,0,0,0,0,0,0,0,55,55,8713502,0,0,0,0,0,0,0,0,0,55,55,8713502,158427.309090909,55,55,8713502,158427.309090909,"Acushnet",11067230,0,0,0,11067230,201222.363636364
"Acushnet","Bristol","MA","2002"," 12","Acushnet town",48,48,8585443,0,0,0,0,0,0,0,0,0,48,48,8585443,0,0,0,0,0,0,0,0,0,48,48,8585443,178863.395833333,48,48,8585443,178863.395833333,"Acushnet",10734858,0,0,0,10734858,223642.875
"Acushnet","Bristol","MA","2003"," 12","Acushnet town",32,32,5464700,0,0,0,0,0,0,0,0,0,32,32,5464700,0,0,0,0,0,0,0,0,0,32,32,5464700,170771.875,32,32,5464700,170771.875,"Acushnet",6680566,0,0,0,6680566,208767.6875
"Acushnet","Bristol","MA","2004"," 12","Acushnet town",35,35,7086507,0,0,0,0,0,0,0,0,0,35,35,7086507,0,0,0,0,0,0,0,0,0,35,35,7086507,202471.628571429,35,35,7086507,202471.628571429,"Acushnet",8438495,0,0,0,8438495,241099.857142857
"Acushnet","Bristol","MA","2005"," 12","Acushnet town",31,31,6222540,0,0,0,0,0,0,0,0,0,31,31,6222540,0,0,0,0,0,0,0,0,0,31,31,6222540,200727.096774194,31,31,6222540,200727.096774194,"Acushnet",7166881,0,0,0,7166881,231189.709677419
"Acushnet","Bristol","MA","2006"," 12","Acushnet town",14,14,2332000,0,0,0,0,0,0,0,0,0,14,14,2332000,0,0,0,0,0,0,0,0,0,14,14,2332000,166571.428571429,14,14,2332000,166571.428571429,"Acushnet",2601973,0,0,0,2601973,185855.214285714
"Acushnet","Bristol","MA","2007"," 12","Acushnet town",9,9,3150000,0,0,0,0,0,0,0,0,0,9,9,3150000,0,0,0,0,0,0,0,0,0,9,9,3150000,350000,9,9,3150000,350000,"Acushnet",3417339,0,0,0,3417339,379704.333333333
"Acushnet","Bristol","MA","2008"," 12","Acushnet town",10,10,2397932,0,0,0,0,0,0,0,0,0,10,10,2397932,0,0,0,0,0,0,0,0,0,10,10,2397932,239793.2,10,10,2397932,239793.2,"Acushnet",2505253,0,0,0,2505253,250525.3
"Acushnet","Bristol","MA","2009"," 12","Acushnet town",5,5,1394286,0,0,0,0,0,0,0,0,0,5,5,1394286,0,0,0,0,0,0,0,0,0,5,5,1394286,278857.2,5,5,1394286,278857.2,"Acushnet",1461889,0,0,0,1461889,292377.8
"Acushnet","Bristol","MA","2010"," 12","Acushnet town",7,7,1732741,0,0,0,0,0,0,0,0,0,7,7,1732741,0,0,0,0,0,0,0,0,0,7,7,1732741,247534.428571429,7,7,1732741,247534.428571429,"Acushnet",1787435,0,0,0,1787435,255347.857142857
"Acushnet","Bristol","MA","2011"," 12","Acushnet town",5,5,1219624,0,0,0,0,0,0,0,0,0,5,5,1219624,0,0,0,0,0,0,0,0,0,5,5,1219624,243924.8,5,5,1219624,243924.8,"Acushnet",1219624,0,0,0,1219624,243924.8
"Adams","Berkshire","MA","2000"," 12","Adams town",6,6,720500,0,0,0,0,0,0,0,0,0,6,6,720500,0,0,0,0,0,0,0,0,0,6,6,720500,120083.333333333,6,6,720500,120083.333333333,"Adams",941165,0,0,0,941165,156860.833333333
"Adams","Berkshire","MA","2001","  0","Adams town",6,6,720500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,720500,120083.333333333,0,0,0,NA,"Adams",915125,0,0,0,915125,152520.833333333
"Adams","Berkshire","MA","2002","  0","Adams town",7,7,840583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,840583,120083.285714286,0,0,0,NA,"Adams",1051028,0,0,0,1051028,150146.857142857
"Adams","Berkshire","MA","2003"," 12","Adams town",8,8,1253575,0,0,0,0,0,0,0,0,0,8,8,1253575,0,0,0,0,0,0,0,0,0,8,8,1253575,156696.875,8,8,1253575,156696.875,"Adams",1532489,0,0,0,1532489,191561.125
"Adams","Berkshire","MA","2004"," 12","Adams town",9,9,1368277,0,0,0,1,4,254000,1,12,860000,9,9,1368277,0,0,0,1,4,254000,1,12,860000,11,25,2482277,99291.08,11,25,2482277,99291.08,"Adams",1629322,0,302459,1024074,2955855,118234.2
"Adams","Berkshire","MA","2005"," 12","Adams town",10,10,2421068,0,0,0,0,0,0,0,0,0,10,10,2421068,0,0,0,0,0,0,0,0,0,10,10,2421068,242106.8,10,10,2421068,242106.8,"Adams",2788493,0,0,0,2788493,278849.3
"Adams","Berkshire","MA","2006","  0","Adams town",9,9,2178961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2178961,242106.777777778,0,0,0,NA,"Adams",2431217,0,0,0,2431217,270135.222222222
"Adams","Berkshire","MA","2007"," 12","Adams town",6,6,845321,0,0,0,0,0,0,0,0,0,6,6,845321,0,0,0,0,0,0,0,0,0,6,6,845321,140886.833333333,6,6,845321,140886.833333333,"Adams",917063,0,0,0,917063,152843.833333333
"Adams","Berkshire","MA","2008"," 12","Adams town",3,3,820000,0,0,0,0,0,0,0,0,0,3,3,820000,0,0,0,0,0,0,0,0,0,3,3,820000,273333.333333333,3,3,820000,273333.333333333,"Adams",856700,0,0,0,856700,285566.666666667
"Adams","Berkshire","MA","2009"," 12","Adams town",6,6,1722500,0,0,0,0,0,0,0,0,0,6,6,1722500,0,0,0,0,0,0,0,0,0,6,6,1722500,287083.333333333,6,6,1722500,287083.333333333,"Adams",1806017,0,0,0,1806017,301002.833333333
"Adams","Berkshire","MA","2010"," 12","Adams town",1,1,4e+05,0,0,0,0,0,0,0,0,0,1,1,4e+05,0,0,0,0,0,0,0,0,0,1,1,4e+05,4e+05,1,1,4e+05,4e+05,"Adams",412626,0,0,0,412626,412626
"Adams","Berkshire","MA","2011"," 12","Adams town",4,4,489900,0,0,0,0,0,0,0,0,0,4,4,489900,0,0,0,0,0,0,0,0,0,4,4,489900,122475,4,4,489900,122475,"Adams",489900,0,0,0,489900,122475
"Agawam","Hampden","MA","2000"," 12","Agawam",51,51,6955390,0,0,0,1,4,150000,0,0,0,51,51,6955390,0,0,0,1,4,150000,0,0,0,52,55,7105390,129188.909090909,52,55,7105390,129188.909090909,"Agawam",9085589,0,195940,0,9281529,168755.072727273
"Agawam","Hampden","MA","2001"," 12","Agawam",50,50,6943500,0,0,0,0,0,0,0,0,0,50,50,6943500,0,0,0,0,0,0,0,0,0,50,50,6943500,138870,50,50,6943500,138870,"Agawam",8819108,0,0,0,8819108,176382.16
"Agawam","Hampden","MA","2002"," 12","Agawam",50,50,7888000,1,2,1e+05,1,4,185000,0,0,0,50,50,7888000,1,2,1e+05,1,4,185000,0,0,0,52,56,8173000,145946.428571429,52,56,8173000,145946.428571429,"Agawam",9862806,125036,231316,0,10219158,182484.964285714
"Agawam","Hampden","MA","2003"," 12","Agawam",69,69,15836500,1,2,150000,0,0,0,0,0,0,69,69,15836500,1,2,150000,0,0,0,0,0,0,70,71,15986500,225161.971830986,70,71,15986500,225161.971830986,"Agawam",19360035,183374,0,0,19543409,275259.281690141
"Agawam","Hampden","MA","2004"," 12","Agawam",48,48,10386500,0,0,0,0,0,0,1,5,425000,48,48,10386500,0,0,0,0,0,0,1,5,425000,49,53,10811500,203990.566037736,49,53,10811500,203990.566037736,"Agawam",12368073,0,0,506083,12874156,242908.603773585
"Agawam","Hampden","MA","2005"," 12","Agawam",29,29,5675400,3,6,525000,0,0,0,1,5,680000,29,29,5675400,3,6,525000,0,0,0,1,5,680000,33,40,6880400,172010,33,40,6880400,172010,"Agawam",6536707,604675,0,783198,7924580,198114.5
"Agawam","Hampden","MA","2006"," 12","Agawam",58,58,9695600,1,2,195000,0,0,0,0,0,0,58,58,9695600,1,2,195000,0,0,0,0,0,0,59,60,9890600,164843.333333333,59,60,9890600,164843.333333333,"Agawam",10818048,217575,0,0,11035623,183927.05
"Agawam","Hampden","MA","2007"," 12","Agawam",33,33,5536000,1,2,125000,0,0,0,0,0,0,33,33,5536000,1,2,125000,0,0,0,0,0,0,34,35,5661000,161742.857142857,34,35,5661000,161742.857142857,"Agawam",6005837,135609,0,0,6141446,175469.885714286
"Agawam","Hampden","MA","2008"," 12","Agawam",20,20,5172500,0,0,0,0,0,0,0,0,0,20,20,5172500,0,0,0,0,0,0,0,0,0,20,20,5172500,258625,20,20,5172500,258625,"Agawam",5403998,0,0,0,5403998,270199.9
"Agawam","Hampden","MA","2009"," 12","Agawam",30,30,6976600,2,4,2e+05,0,0,0,0,0,0,30,30,6976600,2,4,2e+05,0,0,0,0,0,0,32,34,7176600,211076.470588235,32,34,7176600,211076.470588235,"Agawam",7314866,209697,0,0,7524563,221310.676470588
"Agawam","Hampden","MA","2010"," 12","Agawam Town",29,29,5778414,6,12,1021000,0,0,0,0,0,0,29,29,5778414,6,12,1021000,0,0,0,0,0,0,35,41,6799414,165839.365853659,35,41,6799414,165839.365853659,"Agawam",5960811,1053228,0,0,7014039,171074.12195122
"Agawam","Hampden","MA","2011"," 12","Agawam Town",19,19,5345000,0,0,0,0,0,0,0,0,0,19,19,5345000,0,0,0,0,0,0,0,0,0,19,19,5345000,281315.789473684,19,19,5345000,281315.789473684,"Agawam",5345000,0,0,0,5345000,281315.789473684
"Alford","Berkshire","MA","2000","  0","Alford town",1,1,71524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,71524,71524,0,0,0,NA,"Alford",93429,0,0,0,93429,93429
"Alford","Berkshire","MA","2001","  0","Alford town",1,1,71524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,71524,71524,0,0,0,NA,"Alford",90844,0,0,0,90844,90844
"Alford","Berkshire","MA","2002","  0","Alford town",2,2,143048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,143048,71524,0,0,0,NA,"Alford",178861,0,0,0,178861,89430.5
"Alford","Berkshire","MA","2003","  0","Alford town",2,2,143048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,143048,71524,0,0,0,NA,"Alford",174875,0,0,0,174875,87437.5
"Alford","Berkshire","MA","2004"," 12","Alford town",8,8,2526000,0,0,0,0,0,0,0,0,0,8,8,2526000,0,0,0,0,0,0,0,0,0,8,8,2526000,315750,8,8,2526000,315750,"Alford",3007919,0,0,0,3007919,375989.875
"Alford","Berkshire","MA","2005"," 12","Alford town",2,2,1760000,0,0,0,0,0,0,0,0,0,2,2,1760000,0,0,0,0,0,0,0,0,0,2,2,1760000,880000,2,2,1760000,880000,"Alford",2027100,0,0,0,2027100,1013550
"Alford","Berkshire","MA","2006"," 12","Alford town",2,2,2182285,0,0,0,0,0,0,0,0,0,2,2,2182285,0,0,0,0,0,0,0,0,0,2,2,2182285,1091142.5,2,2,2182285,1091142.5,"Alford",2434926,0,0,0,2434926,1217463
"Alford","Berkshire","MA","2007"," 12","Alford town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"Alford",0,0,0,0,0,NA
"Alford","Berkshire","MA","2008"," 12","Alford town",3,3,3165000,0,0,0,0,0,0,0,0,0,3,3,3165000,0,0,0,0,0,0,0,0,0,3,3,3165000,1055000,3,3,3165000,1055000,"Alford",3306651,0,0,0,3306651,1102217
"Alford","Berkshire","MA","2009"," 12","Alford town",2,2,1274000,0,0,0,0,0,0,0,0,0,2,2,1274000,0,0,0,0,0,0,0,0,0,2,2,1274000,637000,2,2,1274000,637000,"Alford",1335771,0,0,0,1335771,667885.5
"Alford","Berkshire","MA","2010"," 12","Alford town",3,3,4287899,0,0,0,0,0,0,0,0,0,3,3,4287899,0,0,0,0,0,0,0,0,0,3,3,4287899,1429299.66666667,3,3,4287899,1429299.66666667,"Alford",4423248,0,0,0,4423248,1474416
"Alford","Berkshire","MA","2011"," 12","Alford town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"Alford",0,0,0,0,0,NA
"Amesbury","Essex","MA","2000"," 12","Amesbury town",46,46,2785970,0,0,0,0,0,0,0,0,0,46,46,2785970,0,0,0,0,0,0,0,0,0,46,46,2785970,60564.5652173913,46,46,2785970,60564.5652173913,"Amesbury",3639218,0,0,0,3639218,79113.4347826087
"Amesbury","Essex","MA","2001"," 12","Amesbury town",30,30,2036418,0,0,0,0,0,0,0,0,0,30,30,2036418,0,0,0,0,0,0,0,0,0,30,30,2036418,67880.6,30,30,2036418,67880.6,"Amesbury",2586504,0,0,0,2586504,86216.8
"Amesbury","Essex","MA","2002"," 11","Amesbury town",36,36,5070920,0,0,0,0,0,0,0,0,0,33,33,4867278,0,0,0,0,0,0,0,0,0,36,36,5070920,140858.888888889,33,33,4867278,147493.272727273,"Amesbury",6340454,0,0,0,6340454,176123.722222222
"Amesbury","Essex","MA","2003"," 12","Amesbury town",32,32,2747140,0,0,0,0,0,0,0,0,0,32,32,2747140,0,0,0,0,0,0,0,0,0,32,32,2747140,85848.125,32,32,2747140,85848.125,"Amesbury",3358364,0,0,0,3358364,104948.875
"Amesbury","Essex","MA","2004"," 11","Amesbury town",32,32,2551424,0,0,0,0,0,0,0,0,0,29,29,2293880,0,0,0,0,0,0,0,0,0,32,32,2551424,79732,29,29,2293880,79099.3103448276,"Amesbury",3038194,0,0,0,3038194,94943.5625
"Amesbury","Essex","MA","2005"," 12","Amesbury town",38,38,3045032,0,0,0,0,0,0,0,0,0,14,14,1107000,0,0,0,0,0,0,0,0,0,38,38,3045032,80132.4210526316,14,14,1107000,79071.4285714286,"Amesbury",3507150,0,0,0,3507150,92293.4210526316
"Amesbury","Essex","MA","2006","  0","Amesbury town",29,29,2321436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,2321436,80049.5172413793,0,0,0,NA,"Amesbury",2590186,0,0,0,2590186,89316.7586206897
"Amesbury","Essex","MA","2007","  3","Amesbury town",23,23,1797291,0,0,0,0,0,0,0,0,0,7,7,516000,0,0,0,0,0,0,0,0,0,23,23,1797291,78143.0869565217,7,7,516000,73714.2857142857,"Amesbury",1949826,0,0,0,1949826,84775.0434782609
"Amesbury","Essex","MA","2008","  1","Amesbury town",17,17,1334151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,1334151,78479.4705882353,0,0,0,NA,"Amesbury",1393862,0,0,0,1393862,81991.8823529412
"Amesbury","Essex","MA","2009"," 11","Amesbury town",9,9,1282884,0,0,0,0,0,0,0,0,0,7,7,1125925,0,0,0,0,0,0,0,0,0,9,9,1282884,142542.666666667,7,7,1125925,160846.428571429,"Amesbury",1345086,0,0,0,1345086,149454
"Amesbury","Essex","MA","2010"," 12","Amesbury Town",22,22,2916810,0,0,0,0,0,0,0,0,0,22,22,2916810,0,0,0,0,0,0,0,0,0,22,22,2916810,132582.272727273,22,22,2916810,132582.272727273,"Amesbury",3008880,0,0,0,3008880,136767.272727273
"Amesbury","Essex","MA","2011"," 12","Amesbury Town",11,11,1906250,0,0,0,0,0,0,0,0,0,11,11,1906250,0,0,0,0,0,0,0,0,0,11,11,1906250,173295.454545455,11,11,1906250,173295.454545455,"Amesbury",1906250,0,0,0,1906250,173295.454545455
"Amherst","Hampshire","MA","2000"," 12","Amherst town",32,32,5983258,0,0,0,0,0,0,1,12,467000,32,32,5983258,0,0,0,0,0,0,1,12,467000,33,44,6450258,146596.772727273,33,44,6450258,146596.772727273,"Amherst",7815726,0,0,610026,8425752,191494.363636364
"Amherst","Hampshire","MA","2001"," 12","Amherst town",37,37,7164529,0,0,0,0,0,0,0,0,0,37,37,7164529,0,0,0,0,0,0,0,0,0,37,37,7164529,193635.918918919,37,37,7164529,193635.918918919,"Amherst",9099842,0,0,0,9099842,245941.675675676
"Amherst","Hampshire","MA","2002","  2","Amherst town",37,37,6873063,0,0,0,0,0,0,0,0,0,5,5,690029,0,0,0,0,0,0,0,0,0,37,37,6873063,185758.459459459,5,5,690029,138005.8,"Amherst",8593774,0,0,0,8593774,232264.162162162
"Amherst","Hampshire","MA","2003","  0","Amherst town",36,36,6742445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,6742445,187290.138888889,0,0,0,NA,"Amherst",8242602,0,0,0,8242602,228961.166666667
"Amherst","Hampshire","MA","2004"," 12","Amherst town",31,31,8554352,0,0,0,0,0,0,0,0,0,31,31,8554352,0,0,0,0,0,0,0,0,0,31,31,8554352,275946.838709677,31,31,8554352,275946.838709677,"Amherst",10186381,0,0,0,10186381,328592.935483871
"Amherst","Hampshire","MA","2005"," 12","Amherst town",38,38,8713475,0,0,0,0,0,0,1,39,2400000,38,38,8713475,0,0,0,0,0,0,1,39,2400000,39,77,11113475,144330.844155844,39,77,11113475,144330.844155844,"Amherst",10035844,0,0,2764227,12800071,166234.688311688
"Amherst","Hampshire","MA","2006"," 12","Amherst town",24,24,4891362,0,0,0,0,0,0,2,44,2642000,24,24,4891362,0,0,0,0,0,0,2,44,2642000,26,68,7533362,110784.735294118,26,68,7533362,110784.735294118,"Amherst",5457629,0,0,2947861,8405490,123610.147058824
"Amherst","Hampshire","MA","2007"," 12","Amherst town",33,33,7306500,0,0,0,1,4,720000,1,7,1259000,33,33,7306500,0,0,0,1,4,720000,1,7,1259000,35,44,9285500,211034.090909091,35,44,9285500,211034.090909091,"Amherst",7926599,0,781106,1365851,10073556,228944.454545455
"Amherst","Hampshire","MA","2008"," 12","Amherst town",24,24,7145984,0,0,0,0,0,0,0,0,0,24,24,7145984,0,0,0,0,0,0,0,0,0,24,24,7145984,297749.333333333,24,24,7145984,297749.333333333,"Amherst",7465806,0,0,0,7465806,311075.25
"Amherst","Hampshire","MA","2009","  0","Amherst town",36,36,10718976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,10718976,297749.333333333,0,0,0,NA,"Amherst",11238694,0,0,0,11238694,312185.944444444
"Amherst","Hampshire","MA","2010","  0","Amherst town",35,35,10421227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,10421227,297749.342857143,0,0,0,NA,"Amherst",10750176,0,0,0,10750176,307147.885714286
"Amherst","Hampshire","MA","2011"," 12","Amherst town",8,8,2513400,0,0,0,0,0,0,2,18,2992000,8,8,2513400,0,0,0,0,0,0,2,18,2992000,10,26,5505400,211746.153846154,10,26,5505400,211746.153846154,"Amherst",2513400,0,0,2992000,5505400,211746.153846154
"Andover","Essex","MA","2000","  9","Andover town",55,55,15587773,0,0,0,2,6,1264059,0,0,0,44,44,13001645,0,0,0,1,3,761000,0,0,0,57,61,16851832,276259.540983607,45,47,13762645,292822.234042553,"Andover",20361777,0,1651197,0,22012974,360868.426229508
"Andover","Essex","MA","2001","  9","Andover town",39,39,10225951,0,0,0,3,10,1582030,1,15,291500,26,26,6541569,0,0,0,2,7,950000,1,15,291500,43,64,12099481,189054.390625,29,48,7783069,162147.270833333,"Andover",12988228,0,2009375,370241,15367844,240122.5625
