"Municipal","County","State","C_year","Number of Months Reported","Area Name","Single Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Buildings- Reported Data Only","Single Family Units- Reported Data Only","Single Family Valuation- Reported Data Only","2 Family Buildings- Reported Data Only","2 Family Units- Reported Data Only","2 Family Valuation- Reported Data Only","3+4 Family Buildings- Reported Data Only","3+4 Family Units- Reported Data Only","3+4 Family Valuation- Reported Data Only","5+ Family Buildings- Reported Data Only","5+ Family Units- Reported Data Only","5+ Family Valuation- Reported Data Only","Total Buildings- Reported plus Imputed Data","Total Units- Reported plus Imputed Data","Total Valuation- Reported plus Imputed Data","Average Valuation Per Unit- Reported plus Imputed Data","Total Buildings- Reported Data Only","Total Units- Reported Data Only","Total Valuation- Reported Data Only","Average Valuation Per Unit- Reported Data Only"
"Barnstable","Barnstable","MA","2000",12,"Barnstable",205,205,50829877,1,2,280000,0,0,0,0,0,0,205,205,50829877,1,2,280000,0,0,0,0,0,0,206,207,51109877,246907.6184,206,207,51109877,246907.6184
"Barnstable","Barnstable","MA","2001",12,"Barnstable",204,204,57848393,0,0,0,0,0,0,0,0,0,204,204,57848393,0,0,0,0,0,0,0,0,0,204,204,57848393,283570.5539,204,204,57848393,283570.5539
"Barnstable","Barnstable","MA","2002",12,"Barnstable",121,121,28914475,1,2,253440,1,3,185600,1,8,1454624,121,121,28914475,1,2,253440,1,3,185600,1,8,1454624,124,134,30808139,229911.4851,124,134,30808139,229911.4851
"Barnstable","Barnstable","MA","2003",12,"Barnstable",114,114,30205342,1,2,156864,4,14,1904280,0,0,0,114,114,30205342,1,2,156864,4,14,1904280,0,0,0,119,130,32266486,248203.7385,119,130,32266486,248203.7385
"Barnstable","Barnstable","MA","2004",12,"Barnstable",99,99,30149362,0,0,0,0,0,0,0,0,0,99,99,30149362,0,0,0,0,0,0,0,0,0,99,99,30149362,304539.0101,99,99,30149362,304539.0101
"Barnstable","Barnstable","MA","2005",12,"Barnstable",128,128,39656715,2,4,500040,1,4,610560,2,36,3127408,128,128,39656715,2,4,500040,1,4,610560,2,36,3127408,133,172,43894723,255201.8779,133,172,43894723,255201.8779
"Barnstable","Barnstable","MA","2006",12,"Barnstable",77,77,33290876,0,0,0,0,0,0,1,16,3251020,77,77,33290876,0,0,0,0,0,0,1,16,3251020,78,93,36541896,392923.6129,78,93,36541896,392923.6129
"Barnstable","Barnstable","MA","2007",12,"Barnstable Town",51,51,20938566,0,0,0,0,0,0,0,0,0,51,51,20938566,0,0,0,0,0,0,0,0,0,51,51,20938566,410560.1176,51,51,20938566,410560.1176
"Barnstable","Barnstable","MA","2008",12,"Barnstable Town",37,37,13442596,0,0,0,0,0,0,0,0,0,37,37,13442596,0,0,0,0,0,0,0,0,0,37,37,13442596,363313.4054,37,37,13442596,363313.4054
"Barnstable","Barnstable","MA","2009",12,"Barnstable Town",30,30,9284000,0,0,0,0,0,0,0,0,0,30,30,9284000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Barnstable","Barnstable","MA","2010",12,"Barnstable Town",32,32,8654354,0,0,0,0,0,0,0,0,0,32,32,8654354,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Barnstable","Barnstable","MA","2011",12,"Barnstable Town",25,25,18628500,0,0,0,0,0,0,0,0,0,25,25,18628500,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Bourne","Barnstable","MA","2000",8,"Bourne town",178,178,24387791,0,0,0,0,0,0,0,0,0,100,100,14634539,0,0,0,0,0,0,0,0,0,178,178,24387791,137010.0618,100,100,14634539,146345.39
"Bourne","Barnstable","MA","2001",12,"Bourne town",107,107,19744508,0,0,0,0,0,0,0,0,0,107,107,19744508,0,0,0,0,0,0,0,0,0,107,107,19744508,184528.1121,107,107,19744508,184528.1121
"Bourne","Barnstable","MA","2002",1,"Bourne town",132,132,23037721,0,0,0,0,0,0,0,0,0,6,6,1022650,0,0,0,0,0,0,0,0,0,132,132,23037721,174528.1894,6,6,1022650,170441.6667
"Bourne","Barnstable","MA","2003",12,"Bourne town",82,82,13130100,2,4,408000,15,48,5130000,0,0,0,82,82,13130100,2,4,408000,15,48,5130000,0,0,0,99,134,18668100,139314.1791,99,134,18668100,139314.1791
"Bourne","Barnstable","MA","2004",12,"Bourne town",113,113,27868596,0,0,0,0,0,0,0,0,0,113,113,27868596,0,0,0,0,0,0,0,0,0,113,113,27868596,246624.7434,113,113,27868596,246624.7434
"Bourne","Barnstable","MA","2005",12,"Bourne town",89,89,18119713,0,0,0,4,14,1496250,0,0,0,31,31,5113000,0,0,0,0,0,0,0,0,0,93,103,19615963,190446.2427,31,31,5113000,164935.4839
"Bourne","Barnstable","MA","2006",12,"Bourne town",73,73,13984000,0,0,0,0,0,0,0,0,0,73,73,13984000,0,0,0,0,0,0,0,0,0,73,73,13984000,191561.6438,73,73,13984000,191561.6438
"Bourne","Barnstable","MA","2007",12,"Bourne town",62,62,14204000,0,0,0,1,3,250000,0,0,0,62,62,14204000,0,0,0,1,3,250000,0,0,0,63,65,14454000,222369.2308,63,65,14454000,222369.2308
"Bourne","Barnstable","MA","2008",12,"Bourne town",23,23,5469200,0,0,0,0,0,0,1,28,3090000,23,23,5469200,0,0,0,0,0,0,1,28,3090000,24,51,8559200,167827.451,24,51,8559200,167827.451
"Bourne","Barnstable","MA","2009",12,"Bourne town",40,40,10380604,0,0,0,0,0,0,0,0,0,40,40,10380604,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Bourne","Barnstable","MA","2010",12,"Bourne town",27,27,8943876,0,0,0,0,0,0,0,0,0,27,27,8943876,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Bourne","Barnstable","MA","2011",10,"Bourne town",24,24,7232150,0,0,0,0,0,0,0,0,0,20,20,5907132,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Brewster","Barnstable","MA","2000",12,"Brewster town",95,95,18589620,0,0,0,0,0,0,0,0,0,95,95,18589620,0,0,0,0,0,0,0,0,0,95,95,18589620,195680.2105,95,95,18589620,195680.2105
"Brewster","Barnstable","MA","2001",12,"Brewster town",75,75,15472000,0,0,0,0,0,0,0,0,0,75,75,15472000,0,0,0,0,0,0,0,0,0,75,75,15472000,206293.3333,75,75,15472000,206293.3333
"Brewster","Barnstable","MA","2002",5,"Brewster town",68,68,14715879,0,0,0,0,0,0,0,0,0,20,20,4813800,0,0,0,0,0,0,0,0,0,68,68,14715879,216409.9853,20,20,4813800,240690
"Brewster","Barnstable","MA","2003",12,"Brewster town",51,51,16056700,0,0,0,0,0,0,0,0,0,51,51,16056700,0,0,0,0,0,0,0,0,0,51,51,16056700,314837.2549,51,51,16056700,314837.2549
"Brewster","Barnstable","MA","2004",8,"Brewster town",47,47,12887233,0,0,0,0,0,0,0,0,0,30,30,7535000,0,0,0,0,0,0,0,0,0,47,47,12887233,274196.4468,30,30,7535000,251166.6667
"Brewster","Barnstable","MA","2005",0,"Brewster town",49,49,13801392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,13801392,281661.0612,0,0,0,NA
"Brewster","Barnstable","MA","2006",12,"Brewster town",38,38,6497897,0,0,0,0,0,0,0,0,0,38,38,6497897,0,0,0,0,0,0,0,0,0,38,38,6497897,170997.2895,38,38,6497897,170997.2895
"Brewster","Barnstable","MA","2007",1,"Brewster town",31,31,6101248,0,0,0,0,0,0,0,0,0,1,1,750000,0,0,0,0,0,0,0,0,0,31,31,6101248,196814.4516,1,1,750000,750000
"Brewster","Barnstable","MA","2008",0,"Brewster town",19,19,3662022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,3662022,192738,0,0,0,NA
"Brewster","Barnstable","MA","2009",12,"Brewster town",13,13,5474117,0,0,0,0,0,0,0,0,0,13,13,5474117,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Brewster","Barnstable","MA","2010",9,"Brewster town",17,17,5355228,0,0,0,0,0,0,0,0,0,13,13,3670884,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Brewster","Barnstable","MA","2011",0,"Brewster town",12,12,4098375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Chatham","Barnstable","MA","2000",12,"Chatham town",101,101,27501660,0,0,0,0,0,0,0,0,0,101,101,27501660,0,0,0,0,0,0,0,0,0,101,101,27501660,272293.6634,101,101,27501660,272293.6634
"Chatham","Barnstable","MA","2001",12,"Chatham town",64,64,19251300,0,0,0,0,0,0,0,0,0,64,64,19251300,0,0,0,0,0,0,0,0,0,64,64,19251300,300801.5625,64,64,19251300,300801.5625
"Chatham","Barnstable","MA","2002",12,"Chatham town",84,84,31152000,0,0,0,0,0,0,0,0,0,84,84,31152000,0,0,0,0,0,0,0,0,0,84,84,31152000,370857.1429,84,84,31152000,370857.1429
"Chatham","Barnstable","MA","2003",0,"Chatham town",91,91,33748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,33748001,370857.1538,0,0,0,NA
"Chatham","Barnstable","MA","2004",10,"Chatham town",109,109,40311130,0,0,0,0,0,0,0,0,0,96,96,35770035,0,0,0,0,0,0,0,0,0,109,109,40311130,369826.8807,96,96,35770035,372604.5312
"Chatham","Barnstable","MA","2005",12,"Chatham town",65,65,34904309,2,4,4e+05,0,0,0,0,0,0,65,65,34904309,2,4,4e+05,0,0,0,0,0,0,67,69,35304309,511656.6522,67,69,35304309,511656.6522
"Chatham","Barnstable","MA","2006",12,"Chatham town",58,58,34797300,0,0,0,2,7,609000,0,0,0,58,58,34797300,0,0,0,2,7,609000,0,0,0,60,65,35406300,544712.3077,60,65,35406300,544712.3077
"Chatham","Barnstable","MA","2007",11,"Chatham town",54,54,39011860,0,0,0,0,0,0,0,0,0,51,51,37212000,0,0,0,0,0,0,0,0,0,54,54,39011860,722441.8519,51,51,37212000,729647.0588
"Chatham","Barnstable","MA","2008",11,"Chatham town",32,32,21327458,0,0,0,0,0,0,0,0,0,28,28,18437690,0,0,0,0,0,0,0,0,0,32,32,21327458,666483.0625,28,28,18437690,658488.9286
"Chatham","Barnstable","MA","2009",12,"Chatham town",24,24,15266000,0,0,0,0,0,0,0,0,0,24,24,15266000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Chatham","Barnstable","MA","2010",12,"Chatham town",30,30,19619500,0,0,0,0,0,0,0,0,0,30,30,19619500,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Chatham","Barnstable","MA","2011",12,"Chatham town",33,33,15989000,0,0,0,0,0,0,2,10,2e+06,33,33,15989000,0,0,0,0,0,0,2,10,2e+06,NA,NA,NA,NA,NA,NA,NA,NA
"Dennis","Barnstable","MA","2000",11,"Dennis town",89,89,17922318,0,0,0,0,0,0,0,0,0,85,85,17179240,0,0,0,0,0,0,0,0,0,89,89,17922318,201374.3596,85,85,17179240,202108.7059
"Dennis","Barnstable","MA","2001",12,"Dennis town",77,77,17983900,0,0,0,0,0,0,0,0,0,77,77,17983900,0,0,0,0,0,0,0,0,0,77,77,17983900,233557.1429,77,77,17983900,233557.1429
"Dennis","Barnstable","MA","2002",12,"Dennis town",108,108,19541046,0,0,0,0,0,0,0,0,0,108,108,19541046,0,0,0,0,0,0,0,0,0,108,108,19541046,180935.6111,108,108,19541046,180935.6111
"Dennis","Barnstable","MA","2003",12,"Dennis town",59,59,15564975,0,0,0,0,0,0,0,0,0,59,59,15564975,0,0,0,0,0,0,0,0,0,59,59,15564975,263813.1356,59,59,15564975,263813.1356
"Dennis","Barnstable","MA","2004",12,"Dennis town",69,69,19007830,0,0,0,0,0,0,0,0,0,69,69,19007830,0,0,0,0,0,0,0,0,0,69,69,19007830,275475.7971,69,69,19007830,275475.7971
"Dennis","Barnstable","MA","2005",12,"Dennis town",60,60,16672264,0,0,0,0,0,0,0,0,0,60,60,16672264,0,0,0,0,0,0,0,0,0,60,60,16672264,277871.0667,60,60,16672264,277871.0667
"Dennis","Barnstable","MA","2006",12,"Dennis town",50,50,15202554,0,0,0,1,4,350000,0,0,0,50,50,15202554,0,0,0,1,4,350000,0,0,0,51,54,15552554,288010.2593,51,54,15552554,288010.2593
"Dennis","Barnstable","MA","2007",12,"Dennis town",56,56,17420000,0,0,0,0,0,0,0,0,0,56,56,17420000,0,0,0,0,0,0,0,0,0,56,56,17420000,311071.4286,56,56,17420000,311071.4286
"Dennis","Barnstable","MA","2008",12,"Dennis town",36,36,16492000,0,0,0,0,0,0,0,0,0,36,36,16492000,0,0,0,0,0,0,0,0,0,36,36,16492000,458111.1111,36,36,16492000,458111.1111
"Dennis","Barnstable","MA","2009",12,"Dennis town",18,18,7835000,0,0,0,0,0,0,0,0,0,18,18,7835000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Dennis","Barnstable","MA","2010",12,"Dennis town",27,27,11103000,0,0,0,0,0,0,0,0,0,27,27,11103000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Dennis","Barnstable","MA","2011",12,"Dennis town",27,27,11577662,0,0,0,1,4,750000,0,0,0,27,27,11577662,0,0,0,1,4,750000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Eastham","Barnstable","MA","2000",12,"Eastham town",94,94,17160000,0,0,0,0,0,0,0,0,0,94,94,17160000,0,0,0,0,0,0,0,0,0,94,94,17160000,182553.1915,94,94,17160000,182553.1915
"Eastham","Barnstable","MA","2001",12,"Eastham town",52,52,8730800,0,0,0,0,0,0,0,0,0,52,52,8730800,0,0,0,0,0,0,0,0,0,52,52,8730800,167900,52,52,8730800,167900
"Eastham","Barnstable","MA","2002",12,"Eastham town",47,47,9788700,0,0,0,0,0,0,0,0,0,47,47,9788700,0,0,0,0,0,0,0,0,0,47,47,9788700,208270.2128,47,47,9788700,208270.2128
"Eastham","Barnstable","MA","2003",11,"Eastham town",40,40,8896811,0,0,0,0,0,0,0,0,0,37,37,8272000,0,0,0,0,0,0,0,0,0,40,40,8896811,222420.275,37,37,8272000,223567.5676
"Eastham","Barnstable","MA","2004",12,"Eastham town",37,37,8104850,0,0,0,0,0,0,0,0,0,37,37,8104850,0,0,0,0,0,0,0,0,0,37,37,8104850,219050,37,37,8104850,219050
"Eastham","Barnstable","MA","2005",12,"Eastham town",52,52,11652200,0,0,0,0,0,0,0,0,0,48,48,10776000,0,0,0,0,0,0,0,0,0,52,52,11652200,224080.7692,48,48,10776000,224500
"Eastham","Barnstable","MA","2006",12,"Eastham town",33,33,10298600,0,0,0,0,0,0,0,0,0,33,33,10298600,0,0,0,0,0,0,0,0,0,33,33,10298600,312078.7879,33,33,10298600,312078.7879
"Eastham","Barnstable","MA","2007",12,"Eastham town",52,52,11860400,5,10,1020000,0,0,0,0,0,0,52,52,11860400,5,10,1020000,0,0,0,0,0,0,57,62,12880400,207748.3871,57,62,12880400,207748.3871
"Eastham","Barnstable","MA","2008",12,"Eastham town",12,12,3795000,1,2,4e+05,0,0,0,0,0,0,12,12,3795000,1,2,4e+05,0,0,0,0,0,0,13,14,4195000,299642.8571,13,14,4195000,299642.8571
"Eastham","Barnstable","MA","2009",12,"Eastham town",11,11,2172500,0,0,0,0,0,0,0,0,0,11,11,2172500,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Eastham","Barnstable","MA","2010",12,"Eastham town",14,14,4622000,0,0,0,0,0,0,0,0,0,14,14,4622000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Eastham","Barnstable","MA","2011",12,"Eastham town",14,14,5098000,0,0,0,0,0,0,0,0,0,14,14,5098000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Falmouth","Barnstable","MA","2000",12,"Falmouth town",252,252,42948060,0,0,0,5,20,444000,0,0,0,252,252,42948060,0,0,0,5,20,444000,0,0,0,257,272,43392060,159529.6324,257,272,43392060,159529.6324
"Falmouth","Barnstable","MA","2001",12,"Falmouth town",228,228,37565600,3,6,375000,0,0,0,0,0,0,228,228,37565600,3,6,375000,0,0,0,0,0,0,231,234,37940600,162139.3162,231,234,37940600,162139.3162
"Falmouth","Barnstable","MA","2002",12,"Falmouth town",208,208,42998900,0,0,0,5,19,1135800,0,0,0,208,208,42998900,0,0,0,5,19,1135800,0,0,0,213,227,44134700,194425.9912,213,227,44134700,194425.9912
"Falmouth","Barnstable","MA","2003",12,"Falmouth town",186,186,42143699,4,8,973600,19,57,3350000,0,0,0,186,186,42143699,4,8,973600,19,57,3350000,0,0,0,209,251,46467299,185128.6813,209,251,46467299,185128.6813
"Falmouth","Barnstable","MA","2004",12,"Falmouth town",184,184,43237532,1,2,140000,1,3,140000,3,122,16661649,184,184,43237532,1,2,140000,1,3,140000,3,122,16661649,189,311,60179181,193502.1897,189,311,60179181,193502.1897
"Falmouth","Barnstable","MA","2005",12,"Falmouth town",203,203,45413217,0,0,0,3,9,492632,9,119,16251937,48,48,9108000,0,0,0,0,0,0,0,0,0,215,331,62157786,187787.8731,48,48,9108000,189750
"Falmouth","Barnstable","MA","2006",7,"Falmouth town",111,111,26153755,0,0,0,2,6,328422,5,41,5599407,48,48,12060000,0,0,0,0,0,0,0,0,0,118,158,32081584,203048,48,48,12060000,251250
"Falmouth","Barnstable","MA","2007",0,"Falmouth town",97,97,22509723,0,0,0,3,9,492633,12,70,9559967,0,0,0,0,0,0,0,0,0,0,0,0,112,176,32562323,185013.1989,0,0,0,NA
"Falmouth","Barnstable","MA","2008",0,"Falmouth town",63,63,16192510,0,0,0,1,3,164211,5,50,6828549,0,0,0,0,0,0,0,0,0,0,0,0,69,116,23185270,199873.0172,0,0,0,NA
"Falmouth","Barnstable","MA","2009",1,"Falmouth town",49,49,12742609,0,0,0,0,0,0,4,20,2731420,2,2,460000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Falmouth","Barnstable","MA","2010",0,"Falmouth town",55,55,14266578,0,0,0,0,0,0,4,21,2867991,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Falmouth","Barnstable","MA","2011",0,"Falmouth town",44,44,11418548,0,0,0,0,0,0,4,20,2731420,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Harwich","Barnstable","MA","2000",12,"Harwich town",118,118,22425500,0,0,0,0,0,0,0,0,0,118,118,22425500,0,0,0,0,0,0,0,0,0,118,118,22425500,190046.6102,118,118,22425500,190046.6102
"Harwich","Barnstable","MA","2001",12,"Harwich town",105,105,21826530,0,0,0,0,0,0,3,65,4379500,105,105,21826530,0,0,0,0,0,0,3,65,4379500,108,170,26206030,154153.1176,108,170,26206030,154153.1176
"Harwich","Barnstable","MA","2002",12,"Harwich town",98,98,20569550,0,0,0,0,0,0,0,0,0,98,98,20569550,0,0,0,0,0,0,0,0,0,98,98,20569550,209893.3673,98,98,20569550,209893.3673
"Harwich","Barnstable","MA","2003",12,"Harwich town",66,66,17690000,0,0,0,0,0,0,0,0,0,66,66,17690000,0,0,0,0,0,0,0,0,0,66,66,17690000,268030.303,66,66,17690000,268030.303
"Harwich","Barnstable","MA","2004",6,"Harwich town",81,81,25032032,2,4,5e+05,0,0,0,0,0,0,47,47,15919000,2,4,5e+05,0,0,0,0,0,0,83,85,25532032,300376.8471,49,51,16419000,321941.1765
"Harwich","Barnstable","MA","2005",12,"Harwich town",55,55,17046761,0,0,0,0,0,0,0,0,0,51,51,15974640,0,0,0,0,0,0,0,0,0,55,55,17046761,309941.1091,51,51,15974640,313228.2353
"Harwich","Barnstable","MA","2006",12,"Harwich town",52,52,17376295,1,2,4e+05,0,0,0,0,0,0,52,52,17376295,1,2,4e+05,0,0,0,0,0,0,53,54,17776295,329190.6481,53,54,17776295,329190.6481
"Harwich","Barnstable","MA","2007",12,"Harwich town",42,42,12179033,0,0,0,0,0,0,1,13,1625000,42,42,12179033,0,0,0,0,0,0,1,13,1625000,43,55,13804033,250982.4182,43,55,13804033,250982.4182
"Harwich","Barnstable","MA","2008",12,"Harwich town",28,28,11131100,0,0,0,0,0,0,0,0,0,28,28,11131100,0,0,0,0,0,0,0,0,0,28,28,11131100,397539.2857,28,28,11131100,397539.2857
"Harwich","Barnstable","MA","2009",12,"Harwich town",50,50,13993038,1,2,264695,0,0,0,0,0,0,50,50,13993038,1,2,264695,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Harwich","Barnstable","MA","2010",12,"Harwich town",37,37,16271950,0,0,0,0,0,0,0,0,0,37,37,16271950,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Harwich","Barnstable","MA","2011",12,"Harwich town",37,37,14346000,4,8,1250000,0,0,0,0,0,0,37,37,14346000,4,8,1250000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mashpee","Barnstable","MA","2000",12,"Mashpee town",288,288,50371585,5,10,1222000,0,0,0,0,0,0,288,288,50371585,5,10,1222000,0,0,0,0,0,0,293,298,51593585,173132.8356,293,298,51593585,173132.8356
"Mashpee","Barnstable","MA","2001",11,"Mashpee town",290,290,55193437,1,2,244400,0,0,0,0,0,0,270,270,51695410,0,0,0,0,0,0,0,0,0,291,292,55437837,189855.6062,270,270,51695410,191464.4815
"Mashpee","Barnstable","MA","2002",12,"Mashpee town",187,187,36484780,0,0,0,0,0,0,0,0,0,187,187,36484780,0,0,0,0,0,0,0,0,0,187,187,36484780,195105.7754,187,187,36484780,195105.7754
"Mashpee","Barnstable","MA","2003",12,"Mashpee town",158,158,31723281,0,0,0,0,0,0,0,0,0,158,158,31723281,0,0,0,0,0,0,0,0,0,158,158,31723281,200780.2595,158,158,31723281,200780.2595
"Mashpee","Barnstable","MA","2004",12,"Mashpee town",164,164,37408909,0,0,0,0,0,0,0,0,0,164,164,37408909,0,0,0,0,0,0,0,0,0,164,164,37408909,228103.1037,164,164,37408909,228103.1037
"Mashpee","Barnstable","MA","2005",12,"Mashpee town",200,200,59572182,0,0,0,0,0,0,0,0,0,188,188,56834945,0,0,0,0,0,0,0,0,0,200,200,59572182,297860.91,188,188,56834945,302313.5372
"Mashpee","Barnstable","MA","2006",12,"Mashpee town",112,112,29695690,0,0,0,0,0,0,0,0,0,112,112,29695690,0,0,0,0,0,0,0,0,0,112,112,29695690,265140.0893,112,112,29695690,265140.0893
"Mashpee","Barnstable","MA","2007",12,"Mashpee town",85,85,28138599,0,0,0,0,0,0,0,0,0,85,85,28138599,0,0,0,0,0,0,0,0,0,85,85,28138599,331042.3412,85,85,28138599,331042.3412
"Mashpee","Barnstable","MA","2008",12,"Mashpee town",61,61,29600500,0,0,0,0,0,0,0,0,0,61,61,29600500,0,0,0,0,0,0,0,0,0,61,61,29600500,485254.0984,61,61,29600500,485254.0984
"Mashpee","Barnstable","MA","2009",12,"Mashpee town",16,16,8846410,0,0,0,0,0,0,0,0,0,16,16,8846410,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mashpee","Barnstable","MA","2010",12,"Mashpee town",26,26,10520780,0,0,0,0,0,0,0,0,0,26,26,10520780,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mashpee","Barnstable","MA","2011",12,"Mashpee town",32,32,12904915,0,0,0,0,0,0,0,0,0,32,32,12904915,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Barnstable","MA","2000",NA,"Barnstable County",1782,1782,355122284,24,48,4337470,14,47,3577416,1,5,378792,1650,1650,336831580,24,48,4337470,14,47,3577416,1,5,378792,1821,1882,363415962,193100.9362,1689,1750,345125258,197214.4331
NA,"Barnstable","MA","2001",NA,"Barnstable County",1500,1500,323792937,6,12,1118850,0,0,0,4,107,8784500,1480,1480,320294910,5,10,874450,0,0,0,4,107,8784500,1510,1619,333696287,206112.5923,1489,1597,329953860,206608.5535
NA,"Barnstable","MA","2002",NA,"Barnstable County",1325,1325,291253402,1,2,253440,15,58,3040553,1,8,1454624,1139,1139,257282267,1,2,253440,15,58,3040553,1,8,1454624,1342,1393,296002019,212492.476,1156,1207,262030884,217092.6959
NA,"Barnstable","MA","2003",NA,"Barnstable County",1095,1095,272830180,7,14,1538464,38,119,10384280,0,0,0,989,989,236403383,7,14,1538464,38,119,10384280,0,0,0,1140,1228,284752924,231883.4886,1034,1122,248326127,221324.5339
NA,"Barnstable","MA","2004",NA,"Barnstable County",1265,1265,331410767,3,6,640000,4,13,804266,7,191,26773456,1201,1201,312404407,3,6,640000,4,13,804266,7,191,26773456,1279,1475,359628489,243815.9247,1215,1411,340622129,241404.769
NA,"Barnstable","MA","2005",NA,"Barnstable County",1152,1152,333961734,4,8,900040,12,40,4573308,16,188,22890875,845,845,262250411,4,8,900040,4,13,2410560,3,41,4102408,1184,1388,362325957,261041.7558,856,907,269663419,297313.5821
NA,"Barnstable","MA","2006",NA,"Barnstable County",788,788,243997556,1,2,4e+05,6,21,1461288,8,75,10481053,703,703,226460851,1,2,4e+05,3,11,959000,1,16,3251020,803,886,256339897,289322.6828,708,732,231070871,315670.5888
NA,"Barnstable","MA","2007",NA,"Barnstable County",679,679,216859593,5,10,1020000,7,22,1552499,16,107,13359135,531,531,184381803,5,10,1020000,3,9,886000,1,13,1625000,707,818,232791227,284585.8521,540,563,187912803,333770.5204
NA,"Barnstable","MA","2008",NA,"Barnstable County",447,447,168978783,2,4,795000,1,3,164211,8,105,12364488,347,347,144043515,2,4,795000,0,0,0,1,28,3090000,458,559,182302482,326122.5081,350,379,147928515,390312.7045
NA,"Barnstable","MA","2009",NA,"Barnstable County",337,337,109874635,2,4,664595,0,0,0,5,36,4180865,270,270,94462072,2,4,664595,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Barnstable","MA","2010",NA,"Barnstable County",381,381,134726474,0,0,0,1,3,350000,5,34,4045665,302,302,115645598,0,0,0,1,3,350000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Barnstable","MA","2011",NA,"Barnstable County",342,342,132239859,4,8,1250000,2,7,1100000,7,47,6271455,264,264,112221212,4,8,1250000,2,7,1100000,2,10,2e+06,NA,NA,NA,NA,NA,NA,NA,NA
"Orleans","Barnstable","MA","2000",12,"Orleans town",48,48,14859400,0,0,0,0,0,0,0,0,0,48,48,14859400,0,0,0,0,0,0,0,0,0,48,48,14859400,309570.8333,48,48,14859400,309570.8333
