"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"36","Clarksburg","Berkshire County","MA","Clarksburg","2005-2009",1881,75,"4","1.4"
"37","Dalton","Berkshire County","MA","Dalton","2005-2009",6358,614,"9.7","4.3"
"38","Egremont","Berkshire County","MA","Egremont","2005-2009",1289,79,"6.1","3.1"
"39","Florida","Berkshire County","MA","Florida","2005-2009",820,33,"4","2.9"
"40","Great Barrington","Berkshire County","MA","Great Barrington","2005-2009",6956,423,"6.1","2.5"
"41","Hancock","Berkshire County","MA","Hancock","2005-2009",733,61,"8.3","7.4"
"42","Hinsdale","Berkshire County","MA","Hinsdale","2005-2009",2181,97,"4.4","2.6"
"43","Lanesborough","Berkshire County","MA","Lanesborough","2005-2009",2877,58,"2","1.6"
"44","Lee","Berkshire County","MA","Lee","2005-2009",5774,676,"11.7","10."
"45","Lenox","Berkshire County","MA","Lenox","2005-2009",4967,287,"5.8","3.8"
"46","Monterey","Berkshire County","MA","Monterey","2005-2009",855,194,"22.7","22."
"47","Mount Washington","Berkshire County","MA","Mount Washington","2005-2009",135,5,"3.7","4.8"
"48","New Ashford","Berkshire County","MA","New Ashford","2005-2009",245,15,"6.1","7.2"
"49","New Marlborough","Berkshire County","MA","New Marlborough","2005-2009",1538,100,"6.5","3.1"
"50","North Adams","Berkshire County","MA","North Adams","2005-2009",12454,1659,"13.3","2.6"
"51","Otis","Berkshire County","MA","Otis","2005-2009",1245,123,"9.9","5"
"52","Peru","Berkshire County","MA","Peru","2005-2009",909,74,"8.1","4.6"
"53","Pittsfield","Berkshire County","MA","Pittsfield","2005-2009",41754,6833,"16.4","2.1"
"54","Richmond","Berkshire County","MA","Richmond","2005-2009",1830,45,"2.5","1.5"
"55","Sandisfield","Berkshire County","MA","Sandisfield","2005-2009",786,49,"6.2","3.5"
"56","Savoy","Berkshire County","MA","Savoy","2005-2009",763,48,"6.3","3.8"
"57","Sheffield","Berkshire County","MA","Sheffield","2005-2009",3319,282,"8.5","4.1"
"58","Stockbridge","Berkshire County","MA","Stockbridge","2005-2009",1533,144,"9.4","7.5"
"59","Tyringham","Berkshire County","MA","Tyringham","2005-2009",412,21,"5.1","5.8"
"60","Washington","Berkshire County","MA","Washington","2005-2009",612,14,"2.3","2.4"
"61","West Stockbridge","Berkshire County","MA","West Stockbridge","2005-2009",1466,76,"5.2","2.3"
"62","Williamstown","Berkshire County","MA","Williamstown","2005-2009",6481,729,"11.2","5.9"
"63","Windsor","Berkshire County","MA","Windsor","2005-2009",1086,16,"1.5","1.3"
"64","Acushnet","Bristol County","MA","Acushnet","2005-2009",10363,448,"4.3","2.3"
"65","Attleboro","Bristol County","MA","Attleboro","2005-2009",42820,3328,"7.8","1.6"
"66","Berkley","Bristol County","MA","Berkley","2005-2009",6402,313,"4.9","3"
"67","Dartmouth","Bristol County","MA","Dartmouth","2005-2009",30327,1407,"4.6","1"
"68","Dighton","Bristol County","MA","Dighton","2005-2009",6645,159,"2.4","1.5"
"69","Easton","Bristol County","MA","Easton","2005-2009",20087,618,"3.1","1.1"
"70","Fairhaven","Bristol County","MA","Fairhaven","2005-2009",15622,1383,"8.9","2.4"
"71","Fall River","Bristol County","MA","Fall River","2005-2009",88971,16876,"19","1.5"
"72","Freetown","Bristol County","MA","Freetown","2005-2009",8966,441,"4.9","2.7"
"73","Mansfield","Bristol County","MA","Mansfield","2005-2009",23304,1103,"4.7","1.6"
"74","New Bedford","Bristol County","MA","New Bedford","2005-2009",89003,19776,"22.2","1.8"
"75","North Attleborough","Bristol County","MA","North Attleborough","2005-2009",27585,980,"3.6","1.1"
"76","Norton","Bristol County","MA","Norton","2005-2009",17555,723,"4.1","1.7"
"77","Raynham","Bristol County","MA","Raynham","2005-2009",13480,397,"2.9","1.7"
"78","Rehoboth","Bristol County","MA","Rehoboth","2005-2009",11290,624,"5.5","2.9"
"79","Seekonk","Bristol County","MA","Seekonk","2005-2009",13533,607,"4.5","1.9"
"80","Somerset","Bristol County","MA","Somerset","2005-2009",17772,602,"3.4","1.6"
"81","Swansea","Bristol County","MA","Swansea","2005-2009",16084,740,"4.6","1.9"
"82","Taunton","Bristol County","MA","Taunton","2005-2009",55026,5634,"10.2","1.6"
"83","Westport","Bristol County","MA","Westport","2005-2009",15239,716,"4.7","1.4"
"84","Aquinnah","Dukes County","MA","Aquinnah","2005-2009",456,64,"14","9"
"85","Chilmark","Dukes County","MA","Chilmark","2005-2009",1028,94,"9.1","7.1"
"86","Edgartown","Dukes County","MA","Edgartown","2005-2009",3992,456,"11.4","5.3"
"87","Gosnold","Dukes County","MA","Gosnold","2005-2009",156,0,"0","21."
"88","Oak Bluffs","Dukes County","MA","Oak Bluffs","2005-2009",3835,374,"9.8","9"
"89","Tisbury","Dukes County","MA","Tisbury","2005-2009",3874,165,"4.3","2.6"
"90","West Tisbury","Dukes County","MA","West Tisbury","2005-2009",2313,105,"4.5","3.5"
"91","Amesbury","Essex County","MA","Amesbury","2005-2009",16221,631,"3.9","1.2"
"92","Andover","Essex County","MA","Andover","2005-2009",32056,892,"2.8","1.1"
"93","Beverly","Essex County","MA","Beverly","2005-2009",37139,3033,"8.2","1.6"
"94","Boxford","Essex County","MA","Boxford","2005-2009",8175,136,"1.7","2.3"
"95","Danvers","Essex County","MA","Danvers","2005-2009",26419,1316,"5","1.5"
"96","Essex","Essex County","MA","Essex","2005-2009",3294,76,"2.3","3.1"
"97","Georgetown","Essex County","MA","Georgetown","2005-2009",8493,112,"1.3","0.8"
"98","Gloucester","Essex County","MA","Gloucester","2005-2009",30017,2104,"7","1.6"
"99","Groveland","Essex County","MA","Groveland","2005-2009",6865,392,"5.7","4.5"
"100","Hamilton","Essex County","MA","Hamilton","2005-2009",7835,554,"7.1","3.7"
"101","Haverhill","Essex County","MA","Haverhill","2005-2009",59795,7033,"11.8","1.8"
"102","Ipswich","Essex County","MA","Ipswich","2005-2009",12985,707,"5.4","2.1"
"103","Lawrence","Essex County","MA","Lawrence","2005-2009",69432,18948,"27.3","2.3"
"104","Lynn","Essex County","MA","Lynn","2005-2009",86578,16781,"19.4","1.9"
"105","Lynnfield","Essex County","MA","Lynnfield","2005-2009",11492,638,"5.6","3"
"106","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","2005-2009",5169,190,"3.7","2.3"
"107","Marblehead","Essex County","MA","Marblehead","2005-2009",19849,899,"4.5","1.6"
"108","Merrimac","Essex County","MA","Merrimac","2005-2009",6475,250,"3.9","2.9"
"109","Methuen","Essex County","MA","Methuen","2005-2009",43162,3077,"7.1","1.3"
"110","Middleton","Essex County","MA","Middleton","2005-2009",7703,271,"3.5","3.4"
"111","Nahant","Essex County","MA","Nahant","2005-2009",3602,188,"5.2","4.5"
"112","Newbury","Essex County","MA","Newbury","2005-2009",6814,267,"3.9","2.6"
"113","Newburyport","Essex County","MA","Newburyport","2005-2009",17075,1013,"5.9","1.9"
"114","North Andover","Essex County","MA","North Andover","2005-2009",26768,972,"3.6","1.1"
"115","Peabody","Essex County","MA","Peabody","2005-2009",50673,3414,"6.7","1.2"
"116","Rockport","Essex County","MA","Rockport","2005-2009",7621,366,"4.8","1.8"
"117","Rowley","Essex County","MA","Rowley","2005-2009",5726,204,"3.6","3.3"
"118","Salem","Essex County","MA","Salem","2005-2009",40478,4571,"11.3","2"
"119","Salisbury","Essex County","MA","Salisbury","2005-2009",8414,785,"9.3","3.6"
"120","Saugus","Essex County","MA","Saugus","2005-2009",26741,1320,"4.9","1.4"
"121","Swampscott","Essex County","MA","Swampscott","2005-2009",13673,690,"5","2.6"
"122","Topsfield","Essex County","MA","Topsfield","2005-2009",5932,158,"2.7","1.7"
"123","Wenham","Essex County","MA","Wenham","2005-2009",3567,104,"2.9","1.9"
"124","West Newbury","Essex County","MA","West Newbury","2005-2009",4295,89,"2.1","1.6"
"125","Ashfield","Franklin County","MA","Ashfield","2005-2009",1664,115,"6.9","5.5"
"126","Bernardston","Franklin County","MA","Bernardston","2005-2009",2336,131,"5.6","2.9"
"127","Buckland","Franklin County","MA","Buckland","2005-2009",2113,171,"8.1","4.6"
"128","Charlemont","Franklin County","MA","Charlemont","2005-2009",1130,116,"10.3","5.1"
"129","Colrain","Franklin County","MA","Colrain","2005-2009",1815,115,"6.3","2.2"
"130","Conway","Franklin County","MA","Conway","2005-2009",1911,159,"8.3","3.1"
"131","Deerfield","Franklin County","MA","Deerfield","2005-2009",4688,393,"8.4","4.6"
"132","Erving","Franklin County","MA","Erving","2005-2009",1847,181,"9.8","3.7"
"133","Gill","Franklin County","MA","Gill","2005-2009",1499,69,"4.6","2.6"
"134","Greenfield","Franklin County","MA","Greenfield","2005-2009",17019,2783,"16.4","3.2"
"135","Hawley","Franklin County","MA","Hawley","2005-2009",384,19,"4.9","3"
"136","Heath","Franklin County","MA","Heath","2005-2009",499,71,"14.2","7.2"
"137","Leverett","Franklin County","MA","Leverett","2005-2009",1914,392,"20.5","12"
"138","Leyden","Franklin County","MA","Leyden","2005-2009",741,19,"2.6","1.9"
"139","Monroe","Franklin County","MA","Monroe","2005-2009",144,12,"8.3","8.2"
"140","Montague","Franklin County","MA","Montague","2005-2009",8135,1228,"15.1","4.3"
"141","New Salem","Franklin County","MA","New Salem","2005-2009",857,35,"4.1","2.8"
"142","Northfield","Franklin County","MA","Northfield","2005-2009",3001,104,"3.5","2.3"
"143","Orange","Franklin County","MA","Orange","2005-2009",7659,1140,"14.9","4.9"
"144","Rowe","Franklin County","MA","Rowe","2005-2009",418,38,"9.1","4.4"
"145","Shelburne","Franklin County","MA","Shelburne","2005-2009",1973,175,"8.9","4.2"
"146","Shutesbury","Franklin County","MA","Shutesbury","2005-2009",1932,156,"8.1","2.7"
"147","Sunderland","Franklin County","MA","Sunderland","2005-2009",3644,781,"21.4","7.7"
"148","Warwick","Franklin County","MA","Warwick","2005-2009",644,33,"5.1","3.5"
"149","Wendell","Franklin County","MA","Wendell","2005-2009",951,72,"7.6","5"
"150","Whately","Franklin County","MA","Whately","2005-2009",1588,56,"3.5","2.8"
"151","Agawam","Hampden County","MA","Agawam","2005-2009",27840,1691,"6.1","1.6"
"152","Blandford","Hampden County","MA","Blandford","2005-2009",1206,62,"5.1","3.3"
"153","Brimfield","Hampden County","MA","Brimfield","2005-2009",3785,152,"4","2.9"
"154","Chester","Hampden County","MA","Chester","2005-2009",1251,71,"5.7","2.6"
"155","Chicopee","Hampden County","MA","Chicopee","2005-2009",55046,8464,"15.4","1.8"
"156","East Longmeadow","Hampden County","MA","East Longmeadow","2005-2009",15098,327,"2.2","0.9"
"157","Granville","Hampden County","MA","Granville","2005-2009",1659,18,"1.1","0.6"
"158","Hampden","Hampden County","MA","Hampden","2005-2009",5215,156,"3","2"
"159","Holland","Hampden County","MA","Holland","2005-2009",2563,180,"7","4"
"160","Holyoke","Hampden County","MA","Holyoke","2005-2009",39474,11226,"28.4","2.7"
"161","Longmeadow","Hampden County","MA","Longmeadow","2005-2009",15067,266,"1.8","0.9"
"162","Ludlow","Hampden County","MA","Ludlow","2005-2009",20355,1040,"5.1","1.4"
"163","Monson","Hampden County","MA","Monson","2005-2009",8894,657,"7.4","4.3"
"164","Montgomery","Hampden County","MA","Montgomery","2005-2009",560,25,"4.5","4.4"
"165","Palmer","Hampden County","MA","Palmer","2005-2009",13010,1315,"10.1","3.1"
"166","Russell","Hampden County","MA","Russell","2005-2009",1827,132,"7.2","3.4"
"167","Southwick","Hampden County","MA","Southwick","2005-2009",9705,554,"5.7","3.5"
"168","Springfield","Hampden County","MA","Springfield","2005-2009",146860,40299,"27.4","1.4"
"169","Tolland","Hampden County","MA","Tolland","2005-2009",443,21,"4.7","4.8"
"170","Wales","Hampden County","MA","Wales","2005-2009",2140,96,"4.5","2"
"171","Westfield","Hampden County","MA","Westfield","2005-2009",38538,4611,"12","2.2"
"172","West Springfield","Hampden County","MA","West Springfield","2005-2009",27934,3209,"11.5","2.3"
"173","Wilbraham","Hampden County","MA","Wilbraham","2005-2009",13984,548,"3.9","1.8"
"174","Amherst","Hampshire County","MA","Amherst","2005-2009",21016,6150,"29.3","3.7"
"175","Belchertown","Hampshire County","MA","Belchertown","2005-2009",14014,697,"5","1.9"
"176","Chesterfield","Hampshire County","MA","Chesterfield","2005-2009",1103,40,"3.6","2.8"
"177","Cummington","Hampshire County","MA","Cummington","2005-2009",938,138,"14.7","5.7"
"178","Easthampton","Hampshire County","MA","Easthampton","2005-2009",16086,1090,"6.8","1.7"
"179","Goshen","Hampshire County","MA","Goshen","2005-2009",1140,14,"1.2","0.9"
"180","Granby","Hampshire County","MA","Granby","2005-2009",6243,266,"4.3","2.1"
"181","Hadley","Hampshire County","MA","Hadley","2005-2009",4256,302,"7.1","2.9"
"182","Hatfield","Hampshire County","MA","Hatfield","2005-2009",3237,177,"5.5","4.1"
"183","Huntington","Hampshire County","MA","Huntington","2005-2009",1993,179,"9","4.4"
"184","Middlefield","Hampshire County","MA","Middlefield","2005-2009",386,3,"0.8","1.1"
"185","Northampton","Hampshire County","MA","Northampton","2005-2009",24909,3172,"12.7","2.4"
"186","Pelham","Hampshire County","MA","Pelham","2005-2009",1340,63,"4.7","2.8"
"187","Plainfield","Hampshire County","MA","Plainfield","2005-2009",646,49,"7.6","5.1"
"188","Southampton","Hampshire County","MA","Southampton","2005-2009",5790,271,"4.7","2.6"
"189","South Hadley","Hampshire County","MA","South Hadley","2005-2009",14939,996,"6.7","2.4"
"190","Ware","Hampshire County","MA","Ware","2005-2009",9805,1400,"14.3","4.5"
"191","Westhampton","Hampshire County","MA","Westhampton","2005-2009",1815,66,"3.6","2"
"192","Williamsburg","Hampshire County","MA","Williamsburg","2005-2009",2477,112,"4.5","2.3"
"193","Worthington","Hampshire County","MA","Worthington","2005-2009",1193,96,"8","4.6"
"194","Acton","Middlesex County","MA","Acton","2005-2009",20681,798,"3.9","1.8"
"195","Arlington","Middlesex County","MA","Arlington","2005-2009",41158,1869,"4.5","1"
"196","Ashby","Middlesex County","MA","Ashby","2005-2009",2997,149,"5","2.1"
"197","Ashland","Middlesex County","MA","Ashland","2005-2009",15093,426,"2.8","1.1"
"198","Ayer","Middlesex County","MA","Ayer","2005-2009",7308,891,"12.2","5.8"
"199","Bedford","Middlesex County","MA","Bedford","2005-2009",12716,517,"4.1","2.5"
"200","Belmont","Middlesex County","MA","Belmont","2005-2009",23025,708,"3.1","0.9"
"201","Billerica","Middlesex County","MA","Billerica","2005-2009",38448,946,"2.5","0.9"
"202","Boxborough","Middlesex County","MA","Boxborough","2005-2009",5101,261,"5.1","3.1"
"203","Burlington","Middlesex County","MA","Burlington","2005-2009",24983,579,"2.3","0.9"
"204","Cambridge","Middlesex County","MA","Cambridge","2005-2009",98866,14789,"15","1.3"
"205","Carlisle","Middlesex County","MA","Carlisle","2005-2009",4817,132,"2.7","2.2"
"206","Chelmsford","Middlesex County","MA","Chelmsford","2005-2009",33529,1346,"4","1.9"
"207","Concord","Middlesex County","MA","Concord","2005-2009",15664,815,"5.2","2"
"208","Dracut","Middlesex County","MA","Dracut","2005-2009",28892,852,"2.9","1"
"209","Dunstable","Middlesex County","MA","Dunstable","2005-2009",3281,173,"5.3","4.6"
"210","Everett","Middlesex County","MA","Everett","2005-2009",37177,4274,"11.5","1.8"
"211","Framingham","Middlesex County","MA","Framingham","2005-2009",62643,5089,"8.1","1.3"
"212","Groton","Middlesex County","MA","Groton","2005-2009",10491,192,"1.8","1"
"213","Holliston","Middlesex County","MA","Holliston","2005-2009",13771,306,"2.2","1.2"
"214","Hopkinton","Middlesex County","MA","Hopkinton","2005-2009",14326,159,"1.1","0.8"
"215","Hudson","Middlesex County","MA","Hudson","2005-2009",19541,1210,"6.2","1.9"
"216","Lexington","Middlesex County","MA","Lexington","2005-2009",30036,837,"2.8","0.7"
"217","Lincoln","Middlesex County","MA","Lincoln","2005-2009",8214,174,"2.1","1.6"
"218","Littleton","Middlesex County","MA","Littleton","2005-2009",8498,338,"4","2.1"
"219","Lowell","Middlesex County","MA","Lowell","2005-2009",99348,17550,"17.7","1.8"
"220","Malden","Middlesex County","MA","Malden","2005-2009",55493,6348,"11.4","1.8"
"221","Marlborough","Middlesex County","MA","Marlborough","2005-2009",37831,2961,"7.8","2.1"
"222","Maynard","Middlesex County","MA","Maynard","2005-2009",10385,432,"4.2","2.4"
"223","Medford","Middlesex County","MA","Medford","2005-2009",53533,4624,"8.6","1.4"
"224","Melrose","Middlesex County","MA","Melrose","2005-2009",26066,1149,"4.4","1.3"
"225","Natick","Middlesex County","MA","Natick","2005-2009",31190,1059,"3.4","0.8"
"226","Newton","Middlesex County","MA","Newton","2005-2009",73470,4104,"5.6","1"
"227","North Reading","Middlesex County","MA","North Reading","2005-2009",13179,464,"3.5","1.5"
"228","Pepperell","Middlesex County","MA","Pepperell","2005-2009",11285,342,"3","1.3"
"229","Reading","Middlesex County","MA","Reading","2005-2009",23036,370,"1.6","0.6"
"230","Sherborn","Middlesex County","MA","Sherborn","2005-2009",4230,86,"2","1.8"
"231","Shirley","Middlesex County","MA","Shirley","2005-2009",6349,446,"7","3.5"
"232","Somerville","Middlesex County","MA","Somerville","2005-2009",73291,10942,"14.9","1.6"
"233","Stoneham","Middlesex County","MA","Stoneham","2005-2009",21064,1447,"6.9","1.7"
"234","Stow","Middlesex County","MA","Stow","2005-2009",6364,145,"2.3","1.7"
"235","Sudbury","Middlesex County","MA","Sudbury","2005-2009",16875,419,"2.5","0.9"
"236","Tewksbury","Middlesex County","MA","Tewksbury","2005-2009",28275,1072,"3.8","1.6"
"237","Townsend","Middlesex County","MA","Townsend","2005-2009",9410,482,"5.1","2.4"
"238","Tyngsborough","Middlesex County","MA","Tyngsborough","2005-2009",11594,234,"2","1.2"
"239","Wakefield","Middlesex County","MA","Wakefield","2005-2009",24434,732,"3","1.1"
"240","Waltham","Middlesex County","MA","Waltham","2005-2009",52937,6298,"11.9","1.6"
"241","Watertown","Middlesex County","MA","Watertown","2005-2009",31256,1956,"6.3","1.5"
"242","Wayland","Middlesex County","MA","Wayland","2005-2009",13219,239,"1.8","0.8"
"243","Westford","Middlesex County","MA","Westford","2005-2009",21717,248,"1.1","0.6"
"244","Weston","Middlesex County","MA","Weston","2005-2009",11262,533,"4.7","1.8"
"245","Wilmington","Middlesex County","MA","Wilmington","2005-2009",21718,568,"2.6","1.2"
"246","Winchester","Middlesex County","MA","Winchester","2005-2009",20734,567,"2.7","0.9"
"247","Woburn","Middlesex County","MA","Woburn","2005-2009",38158,2245,"5.9","1.6"
"248","Nantucket","Nantucket County","MA","Nantucket","2005-2009",10767,789,"7.3","2.9"
"249","Avon","Norfolk County","MA","Avon","2005-2009",4349,150,"3.4","2.1"
"250","Bellingham","Norfolk County","MA","Bellingham","2005-2009",15682,763,"4.9","1.9"
"251","Braintree","Norfolk County","MA","Braintree","2005-2009",33979,1776,"5.2","1.3"
"252","Brookline","Norfolk County","MA","Brookline","2005-2009",54282,7042,"13","1.8"
"253","Canton","Norfolk County","MA","Canton","2005-2009",21181,1078,"5.1","1.7"
"254","Cohasset","Norfolk County","MA","Cohasset","2005-2009",7213,79,"1.1","1"
"255","Dedham","Norfolk County","MA","Dedham","2005-2009",23279,1162,"5","1.4"
"256","Dover","Norfolk County","MA","Dover","2005-2009",5663,132,"2.3","1.7"
"257","Foxborough","Norfolk County","MA","Foxborough","2005-2009",16407,308,"1.9","1.3"
"258","Franklin","Norfolk County","MA","Franklin","2005-2009",30865,1163,"3.8","1.2"
"259","Holbrook","Norfolk County","MA","Holbrook","2005-2009",10603,387,"3.6","1.5"
"260","Medfield","Norfolk County","MA","Medfield","2005-2009",12057,237,"2","1.2"
"261","Medway","Norfolk County","MA","Medway","2005-2009",12553,440,"3.5","2.1"
"262","Millis","Norfolk County","MA","Millis","2005-2009",7947,218,"2.7","1.7"
"263","Milton","Norfolk County","MA","Milton","2005-2009",25554,1000,"3.9","1.5"
"264","Needham","Norfolk County","MA","Needham","2005-2009",28209,952,"3.4","1.2"
"265","Norfolk","Norfolk County","MA","Norfolk","2005-2009",8256,279,"3.4","1.9"
"266","Norwood","Norfolk County","MA","Norwood","2005-2009",27683,1783,"6.4","1.8"
"267","Plainville","Norfolk County","MA","Plainville","2005-2009",8167,306,"3.7","1.9"
"268","Quincy","Norfolk County","MA","Quincy","2005-2009",88868,8060,"9.1","1.1"
"269","Randolph","Norfolk County","MA","Randolph","2005-2009",30076,1585,"5.3","1.7"
"270","Sharon","Norfolk County","MA","Sharon","2005-2009",17274,771,"4.5","1.6"
"271","Stoughton","Norfolk County","MA","Stoughton","2005-2009",25730,2091,"8.1","1.8"
"272","Walpole","Norfolk County","MA","Walpole","2005-2009",22658,897,"4","1"
"273","Wellesley","Norfolk County","MA","Wellesley","2005-2009",22112,1165,"5.3","1.5"
"274","Westwood","Norfolk County","MA","Westwood","2005-2009",13973,385,"2.8","1.2"
"275","Weymouth","Norfolk County","MA","Weymouth","2005-2009",53007,3550,"6.7","1.2"
"276","Wrentham","Norfolk County","MA","Wrentham","2005-2009",10984,354,"3.2","2.4"
"277","Abington","Plymouth County","MA","Abington","2005-2009",16232,652,"4","1.5"
"278","Bridgewater","Plymouth County","MA","Bridgewater","2005-2009",21381,1143,"5.3","1.9"
"279","Brockton","Plymouth County","MA","Brockton","2005-2009",91549,12037,"13.1","1.5"
"280","Carver","Plymouth County","MA","Carver","2005-2009",11734,507,"4.3","2"
"281","Duxbury","Plymouth County","MA","Duxbury","2005-2009",14030,399,"2.8","1.6"
"282","East Bridgewater","Plymouth County","MA","East Bridgewater","2005-2009",13377,826,"6.2","3.6"
"283","Halifax","Plymouth County","MA","Halifax","2005-2009",7735,544,"7","3.6"
"284","Hanover","Plymouth County","MA","Hanover","2005-2009",13961,500,"3.6","1.4"
"285","Hanson","Plymouth County","MA","Hanson","2005-2009",9958,261,"2.6","1.8"
"286","Hingham","Plymouth County","MA","Hingham","2005-2009",21679,756,"3.5","1.4"
"287","Hull","Plymouth County","MA","Hull","2005-2009",11067,986,"8.9","3.6"
"288","Kingston","Plymouth County","MA","Kingston","2005-2009",11983,651,"5.4","2"
"289","Lakeville","Plymouth County","MA","Lakeville","2005-2009",10246,258,"2.5","1.4"
"290","Marion","Plymouth County","MA","Marion","2005-2009",4922,185,"3.8","2.7"
"291","Marshfield","Plymouth County","MA","Marshfield","2005-2009",24499,1123,"4.6","1.3"
"292","Mattapoisett","Plymouth County","MA","Mattapoisett","2005-2009",6440,271,"4.2","2.3"
"293","Middleborough","Plymouth County","MA","Middleborough","2005-2009",17778,1165,"6.6","1.7"
"294","Norwell","Plymouth County","MA","Norwell","2005-2009",9920,208,"2.1","1"
"295","Pembroke","Plymouth County","MA","Pembroke","2005-2009",18355,635,"3.5","1.5"
"296","Plymouth","Plymouth County","MA","Plymouth","2005-2009",53713,2964,"5.5","1.1"
"297","Plympton","Plymouth County","MA","Plympton","2005-2009",2754,101,"3.7","1.7"
"298","Rochester","Plymouth County","MA","Rochester","2005-2009",5173,154,"3","2.6"
"299","Rockland","Plymouth County","MA","Rockland","2005-2009",17803,1621,"9.1","3.3"
"300","Scituate","Plymouth County","MA","Scituate","2005-2009",18083,629,"3.5","1.7"
"301","Wareham","Plymouth County","MA","Wareham","2005-2009",21016,1797,"8.6","2.4"
"302","West Bridgewater","Plymouth County","MA","West Bridgewater","2005-2009",6538,297,"4.5","2.7"
"303","Whitman","Plymouth County","MA","Whitman","2005-2009",14042,773,"5.5","1.8"
"304","Boston","Suffolk County","MA","Boston","2005-2009",591056,112677,"19.1","0.7"
"305","Chelsea","Suffolk County","MA","Chelsea","2005-2009",35549,8501,"23.9","3.2"
"306","Revere","Suffolk County","MA","Revere","2005-2009",50105,5558,"11.1","1.6"
"307","Winthrop","Suffolk County","MA","Winthrop","2005-2009",18578,1768,"9.5","2.6"
"308","Ashburnham","Worcester County","MA","Ashburnham","2005-2009",6006,267,"4.4","2.9"
"309","Athol","Worcester County","MA","Athol","2005-2009",11590,980,"8.5","2.6"
"310","Auburn","Worcester County","MA","Auburn","2005-2009",16422,999,"6.1","2.1"
"311","Barre","Worcester County","MA","Barre","2005-2009",5564,381,"6.8","4.3"
"312","Berlin","Worcester County","MA","Berlin","2005-2009",2785,42,"1.5","0.9"
"313","Blackstone","Worcester County","MA","Blackstone","2005-2009",9161,450,"4.9","2.6"
"314","Bolton","Worcester County","MA","Bolton","2005-2009",4529,74,"1.6","1.4"
"315","Boylston","Worcester County","MA","Boylston","2005-2009",4352,66,"1.5","1.3"
"316","Brookfield","Worcester County","MA","Brookfield","2005-2009",3399,80,"2.4","1.4"
"317","Charlton","Worcester County","MA","Charlton","2005-2009",12354,438,"3.5","1.5"
"318","Clinton","Worcester County","MA","Clinton","2005-2009",13819,970,"7","2.2"
"319","Douglas","Worcester County","MA","Douglas","2005-2009",8020,166,"2.1","1.3"
"320","Dudley","Worcester County","MA","Dudley","2005-2009",10645,676,"6.4","3.3"
"321","East Brookfield","Worcester County","MA","East Brookfield","2005-2009",2121,172,"8.1","6.4"
"322","Fitchburg","Worcester County","MA","Fitchburg","2005-2009",38333,7354,"19.2","2.9"
"323","Gardner","Worcester County","MA","Gardner","2005-2009",19689,2146,"10.9","2.3"
"324","Grafton","Worcester County","MA","Grafton","2005-2009",17354,1074,"6.2","2.1"
"325","Hardwick","Worcester County","MA","Hardwick","2005-2009",2662,183,"6.9","2.8"
"326","Harvard","Worcester County","MA","Harvard","2005-2009",5206,150,"2.9","1.9"
"327","Holden","Worcester County","MA","Holden","2005-2009",17173,671,"3.9","1.5"
"328","Hopedale","Worcester County","MA","Hopedale","2005-2009",6276,592,"9.4","5.3"
"329","Hubbardston","Worcester County","MA","Hubbardston","2005-2009",4439,434,"9.8","7.4"
"330","Lancaster","Worcester County","MA","Lancaster","2005-2009",5692,488,"8.6","5.4"
"331","Leicester","Worcester County","MA","Leicester","2005-2009",10547,441,"4.2","1.8"
"332","Leominster","Worcester County","MA","Leominster","2005-2009",41579,3576,"8.6","1.9"
"333","Lunenburg","Worcester County","MA","Lunenburg","2005-2009",10107,405,"4","2.2"
"334","Mendon","Worcester County","MA","Mendon","2005-2009",5708,176,"3.1","3.9"
"335","Milford","Worcester County","MA","Milford","2005-2009",27160,1901,"7","2"
"336","Millbury","Worcester County","MA","Millbury","2005-2009",13300,402,"3","1.3"
"337","Millville","Worcester County","MA","Millville","2005-2009",2938,105,"3.6","2.3"
"338","New Braintree","Worcester County","MA","New Braintree","2005-2009",1104,50,"4.5","2.8"
"339","Northborough","Worcester County","MA","Northborough","2005-2009",14642,800,"5.5","2.3"
"340","Northbridge","Worcester County","MA","Northbridge","2005-2009",14251,607,"4.3","1.8"
"341","North Brookfield","Worcester County","MA","North Brookfield","2005-2009",5048,259,"5.1","2.8"
"342","Oakham","Worcester County","MA","Oakham","2005-2009",1898,77,"4.1","2.8"
"343","Oxford","Worcester County","MA","Oxford","2005-2009",13756,771,"5.6","2.1"
"344","Paxton","Worcester County","MA","Paxton","2005-2009",4293,59,"1.4","1.1"
"345","Petersham","Worcester County","MA","Petersham","2005-2009",1246,305,"24.5","14."
"346","Phillipston","Worcester County","MA","Phillipston","2005-2009",1864,81,"4.3","2"
"347","Princeton","Worcester County","MA","Princeton","2005-2009",3539,85,"2.4","1.9"
"348","Royalston","Worcester County","MA","Royalston","2005-2009",1342,56,"4.2","2.5"
"349","Rutland","Worcester County","MA","Rutland","2005-2009",7745,397,"5.1","2.9"
"350","Shrewsbury","Worcester County","MA","Shrewsbury","2005-2009",33650,1196,"3.6","1.1"
