"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"1331","Sherborn","Middlesex County","MA","Sherborn","2008-2012",4128,102,"2.5","1.9"
"1332","Shirley","Middlesex County","MA","Shirley","2008-2012",5585,640,"11.5","6.6"
"1333","Somerville","Middlesex County","MA","Somerville","2008-2012",73047,11628,"15.9","2.2"
"1334","Stoneham","Middlesex County","MA","Stoneham","2008-2012",21237,1088,"5.1","1.4"
"1335","Stow","Middlesex County","MA","Stow","2008-2012",6603,136,"2.1","1.4"
"1336","Sudbury","Middlesex County","MA","Sudbury","2008-2012",17513,251,"1.4","0.6"
"1337","Tewksbury","Middlesex County","MA","Tewksbury","2008-2012",28821,734,"2.5","1.1"
"1338","Townsend","Middlesex County","MA","Townsend","2008-2012",8955,407,"4.5","1.7"
"1339","Tyngsborough","Middlesex County","MA","Tyngsborough","2008-2012",11457,572,"5","1.7"
"1340","Wakefield","Middlesex County","MA","Wakefield","2008-2012",24806,968,"3.9","1.4"
"1341","Waltham","Middlesex County","MA","Waltham","2008-2012",53925,5871,"10.9","1.6"
"1342","Watertown","Middlesex County","MA","Watertown","2008-2012",31216,2001,"6.4","1.4"
"1343","Wayland","Middlesex County","MA","Wayland","2008-2012",12977,348,"2.7","1.2"
"1344","Westford","Middlesex County","MA","Westford","2008-2012",22017,358,"1.6","0.8"
"1345","Weston","Middlesex County","MA","Weston","2008-2012",10731,297,"2.8","1.1"
"1346","Wilmington","Middlesex County","MA","Wilmington","2008-2012",22100,606,"2.7","1.6"
"1347","Winchester","Middlesex County","MA","Winchester","2008-2012",21231,829,"3.9","1.9"
"1348","Woburn","Middlesex County","MA","Woburn","2008-2012",38046,2562,"6.7","1.5"
"1349","Nantucket","Nantucket County","MA","Nantucket","2008-2012",9956,883,"8.9","2.4"
"1350","Avon","Norfolk County","MA","Avon","2008-2012",4349,62,"1.4","1.1"
"1351","Bellingham","Norfolk County","MA","Bellingham","2008-2012",16283,520,"3.2","1.5"
"1352","Braintree","Norfolk County","MA","Braintree","2008-2012",35202,1797,"5.1","1"
"1353","Brookline","Norfolk County","MA","Brookline","2008-2012",57088,6990,"12.2","1.5"
"1354","Canton","Norfolk County","MA","Canton","2008-2012",21264,1173,"5.5","1.7"
"1355","Cohasset","Norfolk County","MA","Cohasset","2008-2012",7695,293,"3.8","2.2"
"1356","Dedham","Norfolk County","MA","Dedham","2008-2012",23720,1183,"5","1.3"
"1357","Dover","Norfolk County","MA","Dover","2008-2012",5608,79,"1.4","1.8"
