"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"310","Auburn","Worcester County","MA","Auburn","2006-2010",11489,"286",10.7,2,91.3,1.5,29.5,3.1,2010
"677","Auburn","Worcester County","MA","Auburn","2007-2011",11459,"299",11.3,1.8,90.9,1.6,30.5,3,2011
"1044","Auburn","Worcester County","MA","Auburn","2008-2012",11415,"253",11.3,1.8,91.2,1.5,30.7,2.9,2012
"249","Avon","Norfolk County","MA","Avon","2006-2010",2982,"162",4.1,1.8,90.5,3.5,18.6,4.3,2010
"616","Avon","Norfolk County","MA","Avon","2007-2011",2935,"171",6,1.8,90.9,3.4,18.8,4.6,2011
"983","Avon","Norfolk County","MA","Avon","2008-2012",3061,"164",6.5,2.4,93.7,2.4,21.4,4.8,2012
"198","Ayer","Middlesex County","MA","Ayer","2006-2010",4994,"619",13.7,3.6,92.1,3.3,35.5,5.3,2010
"565","Ayer","Middlesex County","MA","Ayer","2007-2011",5381,"258",14.7,4,92.5,3.4,36.4,5.3,2011
"932","Ayer","Middlesex County","MA","Ayer","2008-2012",5346,"303",12.4,3.1,93.8,2.4,36.4,5.4,2012
"17","Barnstable","Barnstable County","MA","Barnstable","2006-2010",33930,"620",14.2,1.6,94.2,1,37,2.4,2010
"384","Barnstable","Barnstable County","MA","Barnstable","2007-2011",33962,"585",14.2,1.5,94.2,1.1,36.7,2.1,2011
"751","Barnstable","Barnstable County","MA","Barnstable","2008-2012",34273,"531",14.9,1.5,94,1,37.1,2.1,2012
"3",NA,"Barnstable County","MA","Barnstable County","2006-2010",164152,"254",16.1,0.6,94.7,0.4,40.5,1,2010
"370",NA,"Barnstable County","MA","Barnstable County","2007-2011",164014,"230",16.3,0.6,94.9,0.5,40.5,0.9,2011
"737",NA,"Barnstable County","MA","Barnstable County","2008-2012",164127,"239",16.4,0.6,94.8,0.4,39.9,0.9,2012
