"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"37","Dalton","Berkshire County","MA","Dalton","2006-2010",4773,"160",13.3,4.3,93.1,2.7,28.1,5.5,2010
"404","Dalton","Berkshire County","MA","Dalton","2007-2011",4828,"162",12.2,3.8,92.8,3.1,26.3,4.8,2011
"771","Dalton","Berkshire County","MA","Dalton","2008-2012",4784,"152",11.9,4.8,92.6,3.1,26.9,5.6,2012
"95","Danvers","Essex County","MA","Danvers","2006-2010",18795,"398",14.6,1.8,92.4,1.8,40.4,2.7,2010
"462","Danvers","Essex County","MA","Danvers","2007-2011",18785,"416",13.3,1.5,92.8,1.2,40.2,2.6,2011
"829","Danvers","Essex County","MA","Danvers","2008-2012",19054,"376",12.2,1.8,93.4,1.5,39.3,2.6,2012
"67","Dartmouth","Bristol County","MA","Dartmouth","2006-2010",22790,"1228",10.2,1.5,82.2,1.8,29.8,2.2,2010
"434","Dartmouth","Bristol County","MA","Dartmouth","2007-2011",23495,"445",11,1.5,80.8,2.1,29,2.1,2011
"801","Dartmouth","Bristol County","MA","Dartmouth","2008-2012",23285,"537",10.5,1.2,80.5,2.2,28.7,2.1,2012
"255","Dedham","Norfolk County","MA","Dedham","2006-2010",17343,"369",17,1.9,92.5,1.5,42.4,2.2,2010
"622","Dedham","Norfolk County","MA","Dedham","2007-2011",17442,"310",18.1,1.8,93.7,1.3,44.2,2.8,2011
"989","Dedham","Norfolk County","MA","Dedham","2008-2012",17674,"298",18.5,1.8,94.1,1.3,45.4,3,2012
"131","Deerfield","Franklin County","MA","Deerfield","2006-2010",3508,"172",17.2,4.5,96.9,1.7,41.3,7.5,2010
"498","Deerfield","Franklin County","MA","Deerfield","2007-2011",3538,"170",16.7,4,95.8,2.3,40,6.6,2011
"865","Deerfield","Franklin County","MA","Deerfield","2008-2012",3565,"185",19.9,4.4,96.6,2,44.5,6.8,2012
"21","Dennis","Barnstable County","MA","Dennis","2006-2010",11272,"336",13.5,2.2,93,2.3,36.8,3.3,2010
"388","Dennis","Barnstable County","MA","Dennis","2007-2011",11115,"408",14.2,2.1,94.9,1.6,38.5,3.3,2011
"755","Dennis","Barnstable County","MA","Dennis","2008-2012",10948,"325",13.7,2.2,94.4,1.6,37.6,3.1,2012
"68","Dighton","Bristol County","MA","Dighton","2006-2010",4821,"211",10.3,2.9,91.1,3.4,33.1,5,2010
"435","Dighton","Bristol County","MA","Dighton","2007-2011",4773,"212",10,3.7,90,3.6,34.2,5.8,2011
"802","Dighton","Bristol County","MA","Dighton","2008-2012",4642,"208",10.6,3.5,90.3,3.7,33.2,6.2,2012
"319","Douglas","Worcester County","MA","Douglas","2006-2010",5449,"214",14.8,3.7,94.5,2.1,36.2,6,2010
"686","Douglas","Worcester County","MA","Douglas","2007-2011",5420,"241",12,2.7,94.3,2.5,33.5,4.9,2011
"1053","Douglas","Worcester County","MA","Douglas","2008-2012",5559,"316",10.2,2.7,94.7,2.2,32.6,4.6,2012
"256","Dover","Norfolk County","MA","Dover","2006-2010",3519,"109",41.9,5.4,99,0.9,80.3,4.3,2010
"623","Dover","Norfolk County","MA","Dover","2007-2011",3545,"95",40.7,5.4,99,0.9,80.7,3.7,2011
"990","Dover","Norfolk County","MA","Dover","2008-2012",3595,"129",44.4,4.9,98.5,1.1,83.1,3.7,2012
"208","Dracut","Middlesex County","MA","Dracut","2006-2010",20238,"524",7.7,1.4,87.9,1.7,24.4,2.2,2010
"575","Dracut","Middlesex County","MA","Dracut","2007-2011",20420,"438",8,1.6,88.6,1.8,23.9,2.8,2011
"942","Dracut","Middlesex County","MA","Dracut","2008-2012",20436,"425",8.2,1.4,89.2,1.7,25.1,2.4,2012
"320","Dudley","Worcester County","MA","Dudley","2006-2010",7206,"359",10.2,2.5,91.5,1.9,27.7,3.7,2010
"687","Dudley","Worcester County","MA","Dudley","2007-2011",6959,"437",10.4,2.5,91.5,2.9,29.7,4.2,2011
"1054","Dudley","Worcester County","MA","Dudley","2008-2012",7037,"342",9.1,2.7,91.7,2.3,28,4.4,2012
"6",NA,"Dukes County","MA","Dukes County","2006-2010",11298,"449",18.1,2.8,93.5,2.4,40,4.6,2010
"373",NA,"Dukes County","MA","Dukes County","2007-2011",11863,"232",17.6,3,92.7,2.2,42.5,4.2,2011
"740",NA,"Dukes County","MA","Dukes County","2008-2012",12393,"*****",17.2,2.3,92.2,3,40.2,3.9,2012
"209","Dunstable","Middlesex County","MA","Dunstable","2006-2010",2017,"66",14.7,3.5,95.3,2.4,42.5,5.9,2010
"576","Dunstable","Middlesex County","MA","Dunstable","2007-2011",2064,"86",16.3,3.3,96.5,1.4,45.9,5.3,2011
"943","Dunstable","Middlesex County","MA","Dunstable","2008-2012",2157,"73",17.5,3.4,96.3,1.5,47.7,5.3,2012
"281","Duxbury","Plymouth County","MA","Duxbury","2006-2010",9617,"240",26.1,3,99,0.6,68.2,3.4,2010
"648","Duxbury","Plymouth County","MA","Duxbury","2007-2011",9762,"226",26.4,2.8,98.6,0.7,67.2,3.1,2011
"1015","Duxbury","Plymouth County","MA","Duxbury","2008-2012",9959,"221",26.4,2.9,98,0.7,66,2.5,2012
"282","East Bridgewater","Plymouth County","MA","East Bridgewater","2006-2010",8958,"351",9.7,2,93.2,2,25.4,2.8,2010
"649","East Bridgewater","Plymouth County","MA","East Bridgewater","2007-2011",9121,"290",9.5,2,94.2,1.9,25.5,3.1,2011
"1016","East Bridgewater","Plymouth County","MA","East Bridgewater","2008-2012",9227,"410",9.6,2.4,94,1.9,25.1,3.1,2012
"321","East Brookfield","Worcester County","MA","East Brookfield","2006-2010",1368,"106",7.9,4,92.2,4,25,6.2,2010
"688","East Brookfield","Worcester County","MA","East Brookfield","2007-2011",1371,"110",7.4,3.3,93.7,3.2,25.7,5.1,2011
"1055","East Brookfield","Worcester County","MA","East Brookfield","2008-2012",1471,"119",6.9,3,92.9,3.2,25.4,5.2,2012
"156","East Longmeadow","Hampden County","MA","East Longmeadow","2006-2010",11006,"266",16.7,2.7,94,1.4,40.2,3.7,2010
"523","East Longmeadow","Hampden County","MA","East Longmeadow","2007-2011",10842,"323",16.7,2.6,94,1.8,38.9,3.2,2011
"890","East Longmeadow","Hampden County","MA","East Longmeadow","2008-2012",11054,"273",17.2,2.4,95.3,1.4,39.5,3,2012
"22","Eastham","Barnstable County","MA","Eastham","2006-2010",4181,"212",23.5,4,97.2,1.5,46.2,5.2,2010
"389","Eastham","Barnstable County","MA","Eastham","2007-2011",4080,"248",21,5.6,97.4,1.4,43.1,6.5,2011
"756","Eastham","Barnstable County","MA","Eastham","2008-2012",3982,"290",23,5.8,97.6,1.4,45.9,7.1,2012
"178","Easthampton","Hampshire County","MA","Easthampton","2006-2010",11635,"290",14.6,2.4,89.9,2.2,30,3.2,2010
"545","Easthampton","Hampshire County","MA","Easthampton","2007-2011",12015,"325",14.7,2.3,89.8,2.6,31.1,2.7,2011
"912","Easthampton","Hampshire County","MA","Easthampton","2008-2012",12241,"299",12.6,2.6,91.2,1.9,30.8,3.1,2012
"69","Easton","Bristol County","MA","Easton","2006-2010",14184,"355",16.8,2.2,94.9,1.8,47.4,3.1,2010
"436","Easton","Bristol County","MA","Easton","2007-2011",14507,"505",16.8,2.1,94.5,1.6,47.4,3,2011
"803","Easton","Bristol County","MA","Easton","2008-2012",14425,"391",16.9,2,95.4,1.1,48,3.4,2012
"86","Edgartown","Dukes County","MA","Edgartown","2006-2010",2982,"297",13.1,5.2,89.3,6.4,33.7,9,2010
"453","Edgartown","Dukes County","MA","Edgartown","2007-2011",3200,"194",12,5.9,88.2,5.8,35.3,9.3,2011
"820","Edgartown","Dukes County","MA","Edgartown","2008-2012",3278,"186",12.3,4.8,82.5,10.8,32.2,9.7,2012
"38","Egremont","Berkshire County","MA","Egremont","2006-2010",970,"106",22.3,5.3,94.6,2.9,43.3,6.6,2010
"405","Egremont","Berkshire County","MA","Egremont","2007-2011",869,"81",22.2,5.8,94,2.9,42.1,6.7,2011
"772","Egremont","Berkshire County","MA","Egremont","2008-2012",884,"99",20.6,5.4,92.6,4.3,44,6.9,2012
"132","Erving","Franklin County","MA","Erving","2006-2010",1234,"110",2.4,1.2,88.8,4,15.4,4.2,2010
"499","Erving","Franklin County","MA","Erving","2007-2011",1178,"95",4.1,1.9,87.7,3.8,17.7,3.7,2011
"866","Erving","Franklin County","MA","Erving","2008-2012",1200,"88",5,2.2,88.8,3.7,19.2,4.1,2012
"96","Essex","Essex County","MA","Essex","2006-2010",2441,"129",16,4.5,94,3.7,45.4,7,2010
"463","Essex","Essex County","MA","Essex","2007-2011",2564,"131",16.5,4.1,93.5,3.9,45.1,7,2011
"830","Essex","Essex County","MA","Essex","2008-2012",2593,"107",16.1,4.2,92.8,3.9,43.4,7.3,2012
"7",NA,"Essex County","MA","Essex County","2006-2010",498319,"127",14.4,0.3,88.2,0.4,36.1,0.5,2010
"374",NA,"Essex County","MA","Essex County","2007-2011",502544,"60",14.5,0.3,88.4,0.3,36.4,0.5,2011
"741",NA,"Essex County","MA","Essex County","2008-2012",507496,"63",14.8,0.4,88.7,0.4,36.4,0.5,2012
"210","Everett","Middlesex County","MA","Everett","2006-2010",28034,"607",5.1,1,78.9,2.3,15.8,1.9,2010
"577","Everett","Middlesex County","MA","Everett","2007-2011",28542,"699",5.2,1,80.1,2.4,16.5,1.7,2011
"944","Everett","Middlesex County","MA","Everett","2008-2012",28774,"750",4.2,1,79.5,2.2,15.8,1.8,2012
"70","Fairhaven","Bristol County","MA","Fairhaven","2006-2010",11724,"330",7.5,1.6,84.8,2.4,19.9,2.5,2010
"437","Fairhaven","Bristol County","MA","Fairhaven","2007-2011",11546,"336",7.6,1.5,83.5,2.9,21.2,3,2011
"804","Fairhaven","Bristol County","MA","Fairhaven","2008-2012",11741,"372",8.7,1.6,83.8,2.3,22.7,2.7,2012
"71","Fall River","Bristol County","MA","Fall River","2006-2010",61080,"818",4.5,0.5,67.6,1.3,14.1,1.2,2010
"438","Fall River","Bristol County","MA","Fall River","2007-2011",61561,"992",4.4,0.6,68,1.5,14.1,1,2011
"805","Fall River","Bristol County","MA","Fall River","2008-2012",61637,"987",4.3,0.6,69.9,1.5,14.5,1.1,2012
"23","Falmouth","Barnstable County","MA","Falmouth","2006-2010",24401,"395",21.2,2,93.2,1.4,43.5,2.8,2010
"390","Falmouth","Barnstable County","MA","Falmouth","2007-2011",24103,"459",20.7,1.9,93.2,1.4,42.7,2.5,2011
"757","Falmouth","Barnstable County","MA","Falmouth","2008-2012",24163,"469",20.3,1.8,93.4,1.4,43,2.5,2012
"322","Fitchburg","Worcester County","MA","Fitchburg","2006-2010",24657,"717",6.7,1.2,84.4,1.8,20.7,2.2,2010
"689","Fitchburg","Worcester County","MA","Fitchburg","2007-2011",25531,"673",6.1,1,83.7,1.8,20.2,1.8,2011
"1056","Fitchburg","Worcester County","MA","Fitchburg","2008-2012",25872,"693",6.8,0.9,82.6,1.9,20.5,2,2012
"39","Florida","Berkshire County","MA","Florida","2006-2010",509,"70",3.7,2.5,95.7,3.1,20.2,6,2010
"406","Florida","Berkshire County","MA","Florida","2007-2011",497,"86",6.2,4.1,91.3,5,18.7,6.7,2011
"773","Florida","Berkshire County","MA","Florida","2008-2012",524,"81",6.5,3.6,87.8,9,19.8,5.9,2012
"257","Foxborough","Norfolk County","MA","Foxborough","2006-2010",11203,"289",16.4,2.2,94.6,1.1,40.6,3.3,2010
"624","Foxborough","Norfolk County","MA","Foxborough","2007-2011",11362,"324",15.3,2.4,93.7,1.6,42.7,3.9,2011
"991","Foxborough","Norfolk County","MA","Foxborough","2008-2012",11497,"366",14.6,2.1,94.4,1.5,41.4,3.8,2012
"211","Framingham","Middlesex County","MA","Framingham","2006-2010",46652,"846",18.2,1.4,90.2,1.1,43.8,1.8,2010
"578","Framingham","Middlesex County","MA","Framingham","2007-2011",46948,"604",18.4,1.6,89.9,1.2,43.8,2,2011
"945","Framingham","Middlesex County","MA","Framingham","2008-2012",47909,"620",19.3,1.5,90.1,1.2,45.1,1.9,2012
"258","Franklin","Norfolk County","MA","Franklin","2006-2010",19494,"483",16.4,1.8,96.3,0.9,46.9,2.1,2010
"625","Franklin","Norfolk County","MA","Franklin","2007-2011",19626,"357",17.4,1.9,97.1,0.9,48,2.5,2011
"992","Franklin","Norfolk County","MA","Franklin","2008-2012",19995,"375",18.7,1.9,97.3,0.7,50.2,2.6,2012
"8",NA,"Franklin County","MA","Franklin County","2006-2010",51066,"126",14.3,0.9,91.1,0.9,32.5,1.4,2010
"375",NA,"Franklin County","MA","Franklin County","2007-2011",51302,"127",14,0.9,91.2,0.8,32.3,1.2,2011
"742",NA,"Franklin County","MA","Franklin County","2008-2012",51643,"120",14.3,0.8,91.8,0.6,32.9,1.1,2012
"72","Freetown","Bristol County","MA","Freetown","2006-2010",6118,"187",8.4,2.4,88.7,3.6,27.9,3.8,2010
"439","Freetown","Bristol County","MA","Freetown","2007-2011",6156,"206",8.3,2.2,89.1,2.8,28.1,4,2011
"806","Freetown","Bristol County","MA","Freetown","2008-2012",6180,"168",8.5,2.3,86.8,3.8,27.9,4.2,2012
"323","Gardner","Worcester County","MA","Gardner","2006-2010",14448,"428",5.7,1.2,82,2,19.5,2.3,2010
"690","Gardner","Worcester County","MA","Gardner","2007-2011",14243,"427",5.9,1.3,83.2,2.2,19.3,2.3,2011
"1057","Gardner","Worcester County","MA","Gardner","2008-2012",14254,"401",6,1.3,82.6,2.2,18.3,2.4,2012
"97","Georgetown","Essex County","MA","Georgetown","2006-2010",5157,"182",16.4,2.7,98.4,0.9,46.8,4.2,2010
"464","Georgetown","Essex County","MA","Georgetown","2007-2011",5372,"110",19.9,2.9,97.9,1.1,48.3,4.3,2011
"831","Georgetown","Essex County","MA","Georgetown","2008-2012",5446,"147",21.6,3.3,98.2,0.8,46.3,4.2,2012
"133","Gill","Franklin County","MA","Gill","2006-2010",1051,"95",11,3.2,92.9,2.7,24.7,5,2010
"500","Gill","Franklin County","MA","Gill","2007-2011",1101,"202",15.6,6.1,93.6,2.9,32.4,11.1,2011
"867","Gill","Franklin County","MA","Gill","2008-2012",1150,"171",15.8,4.9,94.7,2.1,34.3,8.8,2012
"98","Gloucester","Essex County","MA","Gloucester","2006-2010",21560,"390",13.5,1.6,90.5,1.4,33.6,2.4,2010
"465","Gloucester","Essex County","MA","Gloucester","2007-2011",21629,"393",13.5,1.9,89.5,1.4,33,2.2,2011
"832","Gloucester","Essex County","MA","Gloucester","2008-2012",21876,"415",13.6,1.8,89,1.3,34,2.5,2012
"179","Goshen","Hampshire County","MA","Goshen","2006-2010",786,"134",9.9,4.8,95.3,3.1,28.6,7.1,2010
"546","Goshen","Hampshire County","MA","Goshen","2007-2011",834,"111",13.8,5.4,97.6,1.9,32.9,6.9,2011
"913","Goshen","Hampshire County","MA","Goshen","2008-2012",823,"123",13.5,5.1,96.4,2.7,34.6,7.1,2012
"87","Gosnold","Dukes County","MA","Gosnold","2006-2010",164,"73",9.8,8.5,84.1,18.5,21.3,15.3,2010
"454","Gosnold","Dukes County","MA","Gosnold","2007-2011",171,"89",17,17,77.8,25.1,22.2,17.5,2011
"821","Gosnold","Dukes County","MA","Gosnold","2008-2012",152,"68",17.8,17.1,78.3,27,25.7,17.6,2012
"324","Grafton","Worcester County","MA","Grafton","2006-2010",11270,"398",18.3,2.9,95.5,1.2,54.3,3.3,2010
"691","Grafton","Worcester County","MA","Grafton","2007-2011",11492,"348",18.5,2.6,95.7,1.2,52,3.1,2011
"1058","Grafton","Worcester County","MA","Grafton","2008-2012",11657,"382",19.3,2.6,94.8,1.3,52.2,3.3,2012
"180","Granby","Hampshire County","MA","Granby","2006-2010",4486,"150",10.1,3.1,89.2,3.7,27.5,4.4,2010
"547","Granby","Hampshire County","MA","Granby","2007-2011",4513,"160",10.4,3.5,88.2,3.7,27.7,5.1,2011
"914","Granby","Hampshire County","MA","Granby","2008-2012",4578,"182",11.4,3.3,90.6,3.3,26.8,5.4,2012
"157","Granville","Hampden County","MA","Granville","2006-2010",1087,"102",9.5,2.8,95.4,2.1,33,4.4,2010
"524","Granville","Hampden County","MA","Granville","2007-2011",1024,"106",11.7,3,95.2,2,33,4.4,2011
"891","Granville","Hampden County","MA","Granville","2008-2012",1005,"90",10.8,3.4,94.8,2.1,31.5,4.8,2012
"40","Great Barrington","Berkshire County","MA","Great Barrington","2006-2010",5455,"257",13.3,3.6,92.8,2.7,36.4,6,2010
"407","Great Barrington","Berkshire County","MA","Great Barrington","2007-2011",5090,"274",14.8,4,90.6,4.4,38.5,5.6,2011
"774","Great Barrington","Berkshire County","MA","Great Barrington","2008-2012",5101,"224",14.9,3.9,90.4,4.4,38.6,5.7,2012
"134","Greenfield","Franklin County","MA","Greenfield","2006-2010",12586,"380",10.6,1.4,91.5,1.8,26.1,2.6,2010
"501","Greenfield","Franklin County","MA","Greenfield","2007-2011",12631,"345",10.5,1.6,91.2,1.4,26.5,2.8,2011
"868","Greenfield","Franklin County","MA","Greenfield","2008-2012",12743,"327",10.1,1.6,91.4,1.5,25.6,2.6,2012
"212","Groton","Middlesex County","MA","Groton","2006-2010",6404,"204",28.1,4.1,97.5,1.3,69,4.2,2010
"579","Groton","Middlesex County","MA","Groton","2007-2011",6638,"210",29.4,4.2,96.2,1.8,70.6,3.8,2011
"946","Groton","Middlesex County","MA","Groton","2008-2012",6875,"205",29.3,3.6,96.4,1.9,69,4.1,2012
"99","Groveland","Essex County","MA","Groveland","2006-2010",4134,"260",12.1,3.5,95.2,2.4,34.1,5.7,2010
"466","Groveland","Essex County","MA","Groveland","2007-2011",4390,"135",12.6,3,95.6,2.3,34.6,5.2,2011
"833","Groveland","Essex County","MA","Groveland","2008-2012",4560,"119",14.3,3.4,97,2,37.5,5.1,2012
"181","Hadley","Hampshire County","MA","Hadley","2006-2010",3828,"202",15.6,4.3,93.7,3,39.9,6.6,2010
"548","Hadley","Hampshire County","MA","Hadley","2007-2011",3827,"187",16.1,4.2,95.3,1.8,42.7,6.1,2011
"915","Hadley","Hampshire County","MA","Hadley","2008-2012",3938,"164",19.5,5.3,94.8,1.8,46.2,5.8,2012
"283","Halifax","Plymouth County","MA","Halifax","2006-2010",5208,"229",11.1,3.1,94.3,2.6,23,4.6,2010
"650","Halifax","Plymouth County","MA","Halifax","2007-2011",5165,"217",11.5,3.4,94.9,2.7,22,4.7,2011
"1017","Halifax","Plymouth County","MA","Halifax","2008-2012",5108,"220",10.1,3.1,95.7,2.1,22.9,4.2,2012
"100","Hamilton","Essex County","MA","Hamilton","2006-2010",5206,"226",31.3,5.3,97.9,1.1,71,5.4,2010
"467","Hamilton","Essex County","MA","Hamilton","2007-2011",4941,"201",30.6,5.2,97.8,1.2,71.3,4.5,2011
"834","Hamilton","Essex County","MA","Hamilton","2008-2012",4994,"217",31.7,5.4,97.6,1.2,69.5,4.2,2012
"158","Hampden","Hampden County","MA","Hampden","2006-2010",3754,"108",14.6,3.5,92.8,2.4,29.5,4.8,2010
"525","Hampden","Hampden County","MA","Hampden","2007-2011",3748,"102",15.3,3.8,94.8,2,32.3,5,2011
"892","Hampden","Hampden County","MA","Hampden","2008-2012",3640,"133",15.4,3.1,93.8,2.1,34.2,4.8,2012
"9",NA,"Hampden County","MA","Hampden County","2006-2010",302877,"121",8.8,0.3,83.2,0.5,23.8,0.5,2010
"376",NA,"Hampden County","MA","Hampden County","2007-2011",303689,"80",8.9,0.3,83.5,0.5,23.9,0.5,2011
"743",NA,"Hampden County","MA","Hampden County","2008-2012",305343,"63",9.1,0.3,83.7,0.5,24.2,0.5,2012
"10",NA,"Hampshire County","MA","Hampshire County","2006-2010",96015,"195",20.8,1,92.4,0.6,41.3,1.2,2010
"377",NA,"Hampshire County","MA","Hampshire County","2007-2011",96345,"227",21,1,92.3,0.6,42,1.1,2011
"744",NA,"Hampshire County","MA","Hampshire County","2008-2012",97486,"102",21.3,1,92.9,0.6,42.4,1.1,2012
"41","Hancock","Berkshire County","MA","Hancock","2006-2010",462,"79",14.9,5.6,93.1,4.2,29.7,7.5,2010
"408","Hancock","Berkshire County","MA","Hancock","2007-2011",483,"74",14.3,4.8,94.6,3.5,30.2,7.5,2011
"775","Hancock","Berkshire County","MA","Hancock","2008-2012",475,"89",17.7,6.4,93.3,3.8,31.6,7.7,2012
"284","Hanover","Plymouth County","MA","Hanover","2006-2010",9047,"254",13.2,2.6,96,1.5,42.1,3.3,2010
"651","Hanover","Plymouth County","MA","Hanover","2007-2011",9114,"254",11.4,2.4,95.7,1.4,41.7,4.1,2011
"1018","Hanover","Plymouth County","MA","Hanover","2008-2012",9108,"239",12.1,2.3,94.7,1.8,43.6,4.1,2012
"285","Hanson","Plymouth County","MA","Hanson","2006-2010",6598,"191",8.7,2.2,93.6,2,28.7,3.5,2010
"652","Hanson","Plymouth County","MA","Hanson","2007-2011",6724,"184",10,2.2,94.4,1.8,29.8,3.5,2011
"1019","Hanson","Plymouth County","MA","Hanson","2008-2012",6691,"224",8.2,2.2,95.2,1.5,25.4,3.6,2012
"325","Hardwick","Worcester County","MA","Hardwick","2006-2010",2097,"107",16.1,7.9,90.3,4,34.1,7.9,2010
"692","Hardwick","Worcester County","MA","Hardwick","2007-2011",2089,"151",18.1,6.7,90.4,3.5,34.5,6.5,2011
"1059","Hardwick","Worcester County","MA","Hardwick","2008-2012",2104,"148",20.2,7,91.9,2.8,33,7.2,2012
"326","Harvard","Worcester County","MA","Harvard","2006-2010",4512,"168",30.7,4,92.6,1.9,58.6,4.7,2010
"693","Harvard","Worcester County","MA","Harvard","2007-2011",4494,"171",32.9,4,92.9,1.8,60.2,4.3,2011
"1060","Harvard","Worcester County","MA","Harvard","2008-2012",4668,"187",32.9,4.8,94.5,2.4,60.5,4.6,2012
"24","Harwich","Barnstable County","MA","Harwich","2006-2010",9788,"221",16.3,2.5,95.7,1.5,40.6,3.4,2010
"391","Harwich","Barnstable County","MA","Harwich","2007-2011",9659,"237",15.7,2.7,94.9,2.1,39.1,3.6,2011
"758","Harwich","Barnstable County","MA","Harwich","2008-2012",9680,"285",16.1,2.5,93.9,1.9,38.8,2.9,2012
"182","Hatfield","Hampshire County","MA","Hatfield","2006-2010",2541,"124",17,4.7,93,4.2,34.8,6.2,2010
"549","Hatfield","Hampshire County","MA","Hatfield","2007-2011",2571,"123",14.4,5.1,90.6,4.3,34.9,6.8,2011
"916","Hatfield","Hampshire County","MA","Hatfield","2008-2012",2509,"136",15.5,5,92.7,3.6,35.7,6.6,2012
"101","Haverhill","Essex County","MA","Haverhill","2006-2010",41046,"639",9,1,88.3,1.1,29.7,1.8,2010
"468","Haverhill","Essex County","MA","Haverhill","2007-2011",41723,"605",9.3,0.9,87.9,1.4,30.1,1.7,2011
"835","Haverhill","Essex County","MA","Haverhill","2008-2012",41934,"624",9.7,1.1,87.6,1.2,28.7,1.9,2012
"135","Hawley","Franklin County","MA","Hawley","2006-2010",277,"53",18.4,6.7,86.3,6.8,36.8,9.7,2010
"502","Hawley","Franklin County","MA","Hawley","2007-2011",288,"68",23.3,16.6,86.1,6.3,41.7,15.6,2011
"869","Hawley","Franklin County","MA","Hawley","2008-2012",285,"56",15.8,9.1,85.6,6.2,33.3,10.6,2012
"136","Heath","Franklin County","MA","Heath","2006-2010",341,"69",21.1,7.5,96.5,2.6,33.7,9.2,2010
"503","Heath","Franklin County","MA","Heath","2007-2011",384,"66",16.7,6.8,96.6,2.3,31.5,9.1,2011
"870","Heath","Franklin County","MA","Heath","2008-2012",422,"72",14.2,6.2,95.7,2.3,26.8,7.7,2012
"286","Hingham","Plymouth County","MA","Hingham","2006-2010",14686,"261",26.9,2.6,97.4,0.9,59.4,3.3,2010
"653","Hingham","Plymouth County","MA","Hingham","2007-2011",14834,"238",26.4,2.3,97.4,0.7,60.7,2.6,2011
"1020","Hingham","Plymouth County","MA","Hingham","2008-2012",15142,"244",26.5,2.4,96.8,1,60.1,3,2012
"42","Hinsdale","Berkshire County","MA","Hinsdale","2006-2010",1575,"129",10.5,3.9,95.7,2.2,28.8,6,2010
"409","Hinsdale","Berkshire County","MA","Hinsdale","2007-2011",1588,"112",10.1,3.4,93.6,2.6,29.5,5.7,2011
"776","Hinsdale","Berkshire County","MA","Hinsdale","2008-2012",1640,"122",8.4,4.2,93.7,3.1,24.3,6.5,2012
"259","Holbrook","Norfolk County","MA","Holbrook","2006-2010",7716,"221",5.6,2.1,89.2,2.5,21,3.5,2010
"626","Holbrook","Norfolk County","MA","Holbrook","2007-2011",7704,"244",7.5,2.4,90.7,2.3,24.8,3.8,2011
"993","Holbrook","Norfolk County","MA","Holbrook","2008-2012",7892,"277",6.2,2.2,91.3,2.1,23.4,4.1,2012
"327","Holden","Worcester County","MA","Holden","2006-2010",11664,"245",22.4,2.2,96.4,0.9,50,3.2,2010
"694","Holden","Worcester County","MA","Holden","2007-2011",11602,"208",22.4,2.5,96,0.9,51.1,3.1,2011
"1061","Holden","Worcester County","MA","Holden","2008-2012",11872,"207",23.4,2.7,95.5,1.3,52.3,3,2012
"159","Holland","Hampden County","MA","Holland","2006-2010",1905,"163",5.8,2.5,91.8,3,24.2,5.5,2010
"526","Holland","Hampden County","MA","Holland","2007-2011",1845,"155",6.7,3.1,93,2.7,26.7,4.9,2011
"893","Holland","Hampden County","MA","Holland","2008-2012",1777,"161",6.9,2.8,92.5,2.5,28.5,5.4,2012
"213","Holliston","Middlesex County","MA","Holliston","2006-2010",9235,"218",24.8,2.6,95.8,1.5,58.6,3.6,2010
"580","Holliston","Middlesex County","MA","Holliston","2007-2011",9221,"262",25.3,3,96.3,1.1,59.8,3.6,2011
"947","Holliston","Middlesex County","MA","Holliston","2008-2012",9265,"246",23.7,2.6,97.2,0.9,60.2,3.6,2012
"160","Holyoke","Hampden County","MA","Holyoke","2006-2010",25905,"577",6.6,1,74,2,19.8,2.1,2010
"527","Holyoke","Hampden County","MA","Holyoke","2007-2011",25898,"723",6.3,1,74.4,2.2,20.4,2.1,2011
"894","Holyoke","Hampden County","MA","Holyoke","2008-2012",26231,"584",6.8,1,74.1,1.9,20.6,1.9,2012
"328","Hopedale","Worcester County","MA","Hopedale","2006-2010",4273,"260",12.3,4.1,84.8,8,40.4,6.7,2010
"695","Hopedale","Worcester County","MA","Hopedale","2007-2011",4095,"190",13.8,4.2,94.6,2.7,44.6,5.1,2011
"1062","Hopedale","Worcester County","MA","Hopedale","2008-2012",4023,"156",12.2,4.4,94,3,46.1,6.2,2012
"214","Hopkinton","Middlesex County","MA","Hopkinton","2006-2010",9016,"178",27,3.4,97.2,1.2,67,3.7,2010
"581","Hopkinton","Middlesex County","MA","Hopkinton","2007-2011",9169,"214",27.1,3.3,96.8,1.2,68,3.3,2011
"948","Hopkinton","Middlesex County","MA","Hopkinton","2008-2012",9295,"214",28.8,3.1,97.8,1.1,68.6,3.3,2012
"329","Hubbardston","Worcester County","MA","Hubbardston","2006-2010",2937,"103",7.4,3.3,93.7,2.9,28,6.4,2010
"696","Hubbardston","Worcester County","MA","Hubbardston","2007-2011",2982,"103",9.2,3.3,94.6,3.2,27.7,5.5,2011
"1063","Hubbardston","Worcester County","MA","Hubbardston","2008-2012",2952,"113",8.6,2.9,93.6,3.4,26.2,5.7,2012
"215","Hudson","Middlesex County","MA","Hudson","2006-2010",13388,"248",12.9,2,88.5,2.3,36.1,3.2,2010
"582","Hudson","Middlesex County","MA","Hudson","2007-2011",13547,"262",13.3,1.8,88.7,2.2,37.5,2.8,2011
"949","Hudson","Middlesex County","MA","Hudson","2008-2012",13828,"254",13.3,2.4,88.7,2.3,35.9,3.2,2012
