"Municipal","State","C_year","Industry.Title","Average.Monthly.Employment","Average.Weekly.Wage","Number.of.Employer.Establishments.in.the.Industry..reporting.units.","Total.Wages.Paid.to.All.Workers.in.the.Industry"
"Acton","MA",2003,"Total, All Industries",9340,890,842,432088799
"Acushnet","MA",2003,"Total, All Industries",2116,700,188,77047115
"Adams","MA",2003,"Total, All Industries",2061,596,200,63830678
"Agawam","MA",2003,"Total, All Industries",11301,599,733,352278838
"Alford","MA",2003,"Total, All Industries",41,542,11,1164553
"Amesbury","MA",2003,"Total, All Industries",4551,690,409,163366551
"Amherst","MA",2003,"Total, All Industries",12545,804,744,524694883
"Andover","MA",2003,"Total, All Industries",31769,1110,1108,1833764007
"Aquinnah","MA",2003,"Total, All Industries",71,580,11,2135288
"Arlington","MA",2003,"Total, All Industries",7861,724,973,295975032
"Ashburnham","MA",2003,"Total, All Industries",1088,630,111,35640182
"Ashby","MA",2003,"Total, All Industries",251,574,64,7486807
"Ashfield","MA",2003,"Total, All Industries",241,363,43,4549251
"Ashland","MA",2003,"Total, All Industries",4502,712,447,166605442
"Athol","MA",2003,"Total, All Industries",3534,546,262,100296249
"Attleboro","MA",2003,"Total, All Industries",19744,683,1049,701378281
"Auburn","MA",2003,"Total, All Industries",10776,650,609,364436145
"Avon","MA",2003,"Total, All Industries",6163,894,263,286459908
"Ayer","MA",2003,"Total, All Industries",6234,835,326,270650111
"Barnstable","MA",2003,"Total, All Industries",28323,682,2279,1003999555
"Barre","MA",2003,"Total, All Industries",1238,644,122,41447841
"Becket","MA",2003,"Total, All Industries",330,472,33,8089304
"Bedford","MA",2003,"Total, All Industries",18799,1312,645,1282910579
"Belchertown","MA",2003,"Total, All Industries",2316,499,284,60094800
"Bellingham","MA",2003,"Total, All Industries",5144,537,424,143689444
"Belmont","MA",2003,"Total, All Industries",6342,719,675,237224551
"Berkley","MA",2003,"Total, All Industries",626,575,97,18700863
"Berlin","MA",2003,"Total, All Industries",600,514,102,16034495
"Bernardston","MA",2003,"Total, All Industries",429,411,65,9149047
"Beverly","MA",2003,"Total, All Industries",19785,895,1278,920274859
"Billerica","MA",2003,"Total, All Industries",22805,1059,1190,1256190283
"Blackstone","MA",2003,"Total, All Industries",1062,587,152,32425743
"Blandford","MA",2003,"Total, All Industries",188,272,22,2649768
"Bolton","MA",2003,"Total, All Industries",1918,776,141,77390390
"Boston","MA",2003,"Total, All Industries",537895,1177,20264,32908583430
"Bourne","MA",2003,"Total, All Industries",7082,640,709,235692069
"Boxborough","MA",2003,"Total, All Industries",3161,1897,162,311846683
"Boxford","MA",2003,"Total, All Industries",971,684,177,34516968
"Boylston","MA",2003,"Total, All Industries",1597,693,125,57510304
"Braintree","MA",2003,"Total, All Industries",29173,784,1547,1188666115
"Brewster","MA",2003,"Total, All Industries",2582,532,276,71381308
"Bridgewater","MA",2003,"Total, All Industries",6991,715,496,259997224
"Brimfield","MA",2003,"Total, All Industries",540,604,78,16969620
"Brockton","MA",2003,"Total, All Industries",38575,715,2188,1434773309
"Brookfield","MA",2003,"Total, All Industries",512,521,67,13846723
"Brookline","MA",2003,"Total, All Industries",14301,752,1639,559173282
"Buckland","MA",2003,"Total, All Industries",493,525,40,13472976
"Burlington","MA",2003,"Total, All Industries",32962,1220,1516,2090492303
"Cambridge","MA",2003,"Total, All Industries",103177,1133,3969,6081303417
"Canton","MA",2003,"Total, All Industries",20198,1013,983,1064047936
"Carlisle","MA",2003,"Total, All Industries",960,839,147,41881351
"Carver","MA",2003,"Total, All Industries",2600,543,229,73415788
"Charlemont","MA",2003,"Total, All Industries",363,289,43,5452994
"Charlton","MA",2003,"Total, All Industries",3084,653,293,104723872
"Chatham","MA",2003,"Total, All Industries",3042,578,415,91477661
"Chelmsford","MA",2003,"Total, All Industries",21113,952,1143,1044722330
"Chelsea","MA",2003,"Total, All Industries",13210,766,763,525946970
"Cheshire","MA",2003,"Total, All Industries",340,597,55,10551944
"Chester","MA",2003,"Total, All Industries",136,413,31,2920202
"Chesterfield","MA",2003,"Total, All Industries",118,458,20,2813739
"Chicopee","MA",2003,"Total, All Industries",19384,665,1168,670207197
"Chilmark","MA",2003,"Total, All Industries",265,601,60,8296891
"Clarksburg","MA",2003,"Total, All Industries",208,520,26,5622004
"Clinton","MA",2003,"Total, All Industries",4731,765,329,188116448
"Cohasset","MA",2003,"Total, All Industries",2509,661,301,86261320
"Colrain","MA",2003,"Total, All Industries",237,562,47,6917954
"Concord","MA",2003,"Total, All Industries",12294,1043,942,666957480
"Conway","MA",2003,"Total, All Industries",180,444,40,4149675
"Cummington","MA",2003,"Total, All Industries",244,505,24,6410918
"Dalton","MA",2003,"Total, All Industries",2227,754,155,87294549
"Danvers","MA",2003,"Total, All Industries",23684,774,1150,953823002
"Dartmouth","MA",2003,"Total, All Industries",14152,586,953,431262539
"Dedham","MA",2003,"Total, All Industries",14414,820,908,614350752
"Deerfield","MA",2003,"Total, All Industries",3836,644,181,128462370
"Dennis","MA",2003,"Total, All Industries",5092,539,587,142733753
"Dighton","MA",2003,"Total, All Industries",1973,668,145,68582097
"Douglas","MA",2003,"Total, All Industries",820,637,142,27148402
"Dover","MA",2003,"Total, All Industries",852,905,168,40084819
"Dracut","MA",2003,"Total, All Industries",4947,665,587,170988295
"Dudley","MA",2003,"Total, All Industries",2728,637,166,90304922
"Dunstable","MA",2003,"Total, All Industries",287,585,58,8719412
"Duxbury","MA",2003,"Total, All Industries",2726,787,420,111568641
"East Bridgewater","MA",2003,"Total, All Industries",2755,543,265,77791776
"East Brookfield","MA",2003,"Total, All Industries",419,595,47,12952231
"East Longmeadow","MA",2003,"Total, All Industries",9106,715,540,338406066
"Eastham","MA",2003,"Total, All Industries",1196,502,188,31202865
"Easthampton","MA",2003,"Total, All Industries",4688,590,385,143778767
"Easton","MA",2003,"Total, All Industries",9027,728,768,341649875
"Edgartown","MA",2003,"Total, All Industries",2267,598,349,70475816
"Egremont","MA",2003,"Total, All Industries",232,409,52,4941598
"Erving","MA",2003,"Total, All Industries",323,635,24,10652069
"Essex","MA",2003,"Total, All Industries",1384,589,175,42350113
"Everett","MA",2003,"Total, All Industries",12886,859,801,575769378
"Fairhaven","MA",2003,"Total, All Industries",7228,570,496,214315804
"Fall River","MA",2003,"Total, All Industries",38610,624,2396,1253802497
"Falmouth","MA",2003,"Total, All Industries",14874,690,1230,533662153
"Fitchburg","MA",2003,"Total, All Industries",13806,647,944,464220496
"Florida","MA",2003,"Total, All Industries",74,397,11,1515728
"Foxborough","MA",2003,"Total, All Industries",9580,1125,561,560393500
"Framingham","MA",2003,"Total, All Industries",45085,1034,2274,2423473412
"Franklin","MA",2003,"Total, All Industries",16206,846,864,712812952
"Freetown","MA",2003,"Total, All Industries",2164,591,243,66536736
"Gardner","MA",2003,"Total, All Industries",8644,619,485,278307334
"Georgetown","MA",2003,"Total, All Industries",2433,771,225,97539491
"Gill","MA",2003,"Total, All Industries",194,420,32,4229949
"Gloucester","MA",2003,"Total, All Industries",10741,788,1067,440265112
"Goshen","MA",2003,"Total, All Industries",100,460,22,2403673
"Gosnold","MA",2003,"Total, All Industries",47,324,9,787885
"Grafton","MA",2003,"Total, All Industries",4698,784,333,191526697
"Granby","MA",2003,"Total, All Industries",839,534,128,23281599
"Granville","MA",2003,"Total, All Industries",167,351,22,3037896
"Great Barrington","MA",2003,"Total, All Industries",5390,554,505,155403439
"Greenfield","MA",2003,"Total, All Industries",10386,554,705,298963540
"Groton","MA",2003,"Total, All Industries",3018,798,250,125241861
"Groveland","MA",2003,"Total, All Industries",1199,760,140,47347966
"Hadley","MA",2003,"Total, All Industries",4919,513,311,131319518
"Halifax","MA",2003,"Total, All Industries",1069,435,110,24158794
"Hamilton","MA",2003,"Total, All Industries",1428,612,220,45439365
"Hampden","MA",2003,"Total, All Industries",768,653,119,26079780
"Hancock","MA",2003,"Total, All Industries",455,340,21,8047061
"Hanover","MA",2003,"Total, All Industries",7797,678,698,274775580
"Hanson","MA",2003,"Total, All Industries",1758,540,199,49396107
"Hardwick","MA",2003,"Total, All Industries",346,592,56,10657412
"Harvard","MA",2003,"Total, All Industries",1004,821,187,42837071
"Harwich","MA",2003,"Total, All Industries",3549,553,390,102045166
"Hatfield","MA",2003,"Total, All Industries",2314,810,114,97467403
"Haverhill","MA",2003,"Total, All Industries",17923,684,1254,637130578
"Hawley","MA",2003,"Total, All Industries",12,358,5,226299
"Heath","MA",2003,"Total, All Industries",100,350,16,1819933
"Hingham","MA",2003,"Total, All Industries",10896,912,889,516975820
"Hinsdale","MA",2003,"Total, All Industries",236,401,48,4914484
"Holbrook","MA",2003,"Total, All Industries",2941,727,319,111216331
"Holden","MA",2003,"Total, All Industries",3643,679,327,128642978
"Holland","MA",2003,"Total, All Industries",143,467,23,3456807
"Holliston","MA",2003,"Total, All Industries",5126,890,460,237200203
"Holyoke","MA",2003,"Total, All Industries",22741,604,1470,714528127
"Hopedale","MA",2003,"Total, All Industries",1551,778,158,62724852
"Hopkinton","MA",2003,"Total, All Industries",7391,1476,434,567212929
"Hubbardston","MA",2003,"Total, All Industries",549,535,76,15260578
"Hudson","MA",2003,"Total, All Industries",9796,1016,560,517474749
"Hull","MA",2003,"Total, All Industries",1421,573,198,42351118
"Huntington","MA",2003,"Total, All Industries",412,538,45,11525774
"Ipswich","MA",2003,"Total, All Industries",3855,651,443,130538566
"Kingston","MA",2003,"Total, All Industries",5697,544,458,161047558
"Lakeville","MA",2003,"Total, All Industries",3226,654,301,109770039
"Lancaster","MA",2003,"Total, All Industries",1989,526,157,54416416
"Lanesborough","MA",2003,"Total, All Industries",1862,348,158,33737376
"Lawrence","MA",2003,"Total, All Industries",22540,700,1304,819973920
"Lee","MA",2003,"Total, All Industries",3736,667,319,129531832
"Leicester","MA",2003,"Total, All Industries",2121,592,207,65287110
"Lenox","MA",2003,"Total, All Industries",3850,498,299,99727053
"Leominster","MA",2003,"Total, All Industries",18060,618,1210,580029892
"Leverett","MA",2003,"Total, All Industries",190,427,41,4219754
"Lexington","MA",2003,"Total, All Industries",19691,1266,1277,1295987625
"Lincoln","MA",2003,"Total, All Industries",1774,1111,206,102435567
"Littleton","MA",2003,"Total, All Industries",5252,1196,351,326692324
"Longmeadow","MA",2003,"Total, All Industries",3295,554,305,94938987
"Lowell","MA",2003,"Total, All Industries",32519,802,1866,1356514728
"Ludlow","MA",2003,"Total, All Industries",5980,657,498,204185657
"Lunenburg","MA",2003,"Total, All Industries",2436,619,229,78401925
"Lynn","MA",2003,"Total, All Industries",24491,847,1352,1078601545
"Lynnfield","MA",2003,"Total, All Industries",4810,769,379,192285673
"Malden","MA",2003,"Total, All Industries",15976,698,1113,579836801
"Manchester-by-the-Sea","MA",2003,"Total, All Industries",1638,731,239,62298841
"Mansfield","MA",2003,"Total, All Industries",10712,966,599,537807618
"Marblehead","MA",2003,"Total, All Industries",4957,717,703,184866291
"Marion","MA",2003,"Total, All Industries",1899,745,221,73539839
"Marlborough","MA",2003,"Total, All Industries",25808,1056,1370,1416525649
"Marshfield","MA",2003,"Total, All Industries",5307,650,597,179416793
"Mashpee","MA",2003,"Total, All Industries",4034,561,404,117725422
"Mattapoisett","MA",2003,"Total, All Industries",1751,561,224,51113323
"Maynard","MA",2003,"Total, All Industries",4495,1185,317,276962117
"Medfield","MA",2003,"Total, All Industries",3267,780,380,132461525
"Medford","MA",2003,"Total, All Industries",18392,865,1199,827734842
"Medway","MA",2003,"Total, All Industries",2649,681,311,93734624
"Melrose","MA",2003,"Total, All Industries",6290,682,566,223234789
"Mendon","MA",2003,"Total, All Industries",1323,609,170,41868137
"Merrimac","MA",2003,"Total, All Industries",844,643,129,28217437
"Methuen","MA",2003,"Total, All Industries",15360,658,987,525271886
"Middleborough","MA",2003,"Total, All Industries",8027,761,579,317607734
"Middlefield","MA",2003,"Total, All Industries",47,418,12,1019844
"Middleton","MA",2003,"Total, All Industries",4708,857,313,209753572
"Milford","MA",2003,"Total, All Industries",15066,997,794,781425272
"Millbury","MA",2003,"Total, All Industries",3992,667,271,138374984
"Millis","MA",2003,"Total, All Industries",2068,623,238,66980483
"Millville","MA",2003,"Total, All Industries",237,463,44,5713854
"Milton","MA",2003,"Total, All Industries",6000,690,510,215247554
"Monroe","MA",2003,"Total, All Industries",49,930,5,2357727
"Monson","MA",2003,"Total, All Industries",1291,594,184,39884002
"Montague","MA",2003,"Total, All Industries",2903,584,210,88091165
"Monterey","MA",2003,"Total, All Industries",119,478,26,2948013
"Montgomery","MA",2003,"Total, All Industries",68,397,11,1400303
"Mount Washington","MA",2003,"Total, All Industries",11,518,6,307734
"Nahant","MA",2003,"Total, All Industries",418,531,70,11528614
"Nantucket","MA",2003,"Total, All Industries",5854,715,905,217627219
"Natick","MA",2003,"Total, All Industries",23333,1045,1495,1268162355
"Needham","MA",2003,"Total, All Industries",19053,1189,1410,1178096204
"New Ashford","MA",2003,"Total, All Industries",46,381,9,914416
"New Bedford","MA",2003,"Total, All Industries",35429,681,2525,1254893103
"New Braintree","MA",2003,"Total, All Industries",133,847,19,5870461
"New Marlborough","MA",2003,"Total, All Industries",381,557,40,11013151
"New Salem","MA",2003,"Total, All Industries",149,455,24,3527177
"Newbury","MA",2003,"Total, All Industries",1407,647,172,47298008
"Newburyport","MA",2003,"Total, All Industries",9677,730,837,367093480
"Newton","MA",2003,"Total, All Industries",46308,924,3699,2224421272
"Norfolk","MA",2003,"Total, All Industries",2839,787,275,116212122
"North Adams","MA",2003,"Total, All Industries",5796,595,425,179477807
"North Andover","MA",2003,"Total, All Industries",13611,913,905,646210580
"North Attleborough","MA",2003,"Total, All Industries",12640,509,891,334836396
"North Brookfield","MA",2003,"Total, All Industries",1182,682,96,41919329
"North Reading","MA",2003,"Total, All Industries",7078,900,492,331386095
"Northampton","MA",2003,"Total, All Industries",17545,633,1101,577643851
"Northborough","MA",2003,"Total, All Industries",6571,860,555,293729962
"Northbridge","MA",2003,"Total, All Industries",4502,595,293,139366853
"Northfield","MA",2003,"Total, All Industries",1169,572,47,34779324
"Norton","MA",2003,"Total, All Industries",6093,698,420,221058187
"Norwell","MA",2003,"Total, All Industries",8345,873,538,378674282
"Norwood","MA",2003,"Total, All Industries",24767,1012,1284,1302945735
"Oak Bluffs","MA",2003,"Total, All Industries",2010,619,224,64650935
"Oakham","MA",2003,"Total, All Industries",159,472,27,3905485
"Orange","MA",2003,"Total, All Industries",2060,545,190,58423840
"Orleans","MA",2003,"Total, All Industries",4357,595,479,134783756
"Otis","MA",2003,"Total, All Industries",304,462,55,7310285
"Oxford","MA",2003,"Total, All Industries",3470,648,301,116906060
"Palmer","MA",2003,"Total, All Industries",5128,643,408,171551814
"Paxton","MA",2003,"Total, All Industries",586,636,69,19367826
"Peabody","MA",2003,"Total, All Industries",25994,778,1489,1051573718
"Pelham","MA",2003,"Total, All Industries",134,456,28,3171655
"Pembroke","MA",2003,"Total, All Industries",5208,627,536,169911915
"Pepperell","MA",2003,"Total, All Industries",1452,627,212,47340930
"Peru","MA",2003,"Total, All Industries",41,238,8,509691
"Petersham","MA",2003,"Total, All Industries",109,417,27,2354625
"Phillipston","MA",2003,"Total, All Industries",193,332,20,3321447
"Pittsfield","MA",2003,"Total, All Industries",26210,703,1581,958116692
"Plainfield","MA",2003,"Total, All Industries",64,520,20,1728885
"Plainville","MA",2003,"Total, All Industries",3180,737,291,121928774
"Plymouth","MA",2003,"Total, All Industries",19940,724,1407,750505459
"Plympton","MA",2003,"Total, All Industries",303,566,66,8915578
"Princeton","MA",2003,"Total, All Industries",698,449,74,16308137
"Provincetown","MA",2003,"Total, All Industries",2538,518,490,68356787
"Quincy","MA",2003,"Total, All Industries",45835,934,2280,2225766988
"Randolph","MA",2003,"Total, All Industries",9633,767,679,384414062
"Raynham","MA",2003,"Total, All Industries",7627,699,501,277246786
"Reading","MA",2003,"Total, All Industries",7064,803,642,295138556
"Rehoboth","MA",2003,"Total, All Industries",1702,632,304,55954170
"Revere","MA",2003,"Total, All Industries",8784,567,787,258937077
"Richmond","MA",2003,"Total, All Industries",223,493,42,5722942
"Rochester","MA",2003,"Total, All Industries",717,648,123,24172835
"Rockland","MA",2003,"Total, All Industries",8064,904,542,378896517
"Rockport","MA",2003,"Total, All Industries",1452,480,241,36249909
"Rowe","MA",2003,"Total, All Industries",146,753,19,5706584
"Rowley","MA",2003,"Total, All Industries",2463,621,237,79578359
"Royalston","MA",2003,"Total, All Industries",150,308,24,2409897
"Russell","MA",2003,"Total, All Industries",195,796,31,8077931
"Rutland","MA",2003,"Total, All Industries",1079,609,126,34203449
"Salem","MA",2003,"Total, All Industries",18415,783,1296,750011827
"Salisbury","MA",2003,"Total, All Industries",2954,634,329,97347641
"Sandisfield","MA",2003,"Total, All Industries",130,511,24,3439742
"Sandwich","MA",2003,"Total, All Industries",5160,619,587,166144472
"Saugus","MA",2003,"Total, All Industries",11029,510,848,292508513
"Scituate","MA",2003,"Total, All Industries",3208,569,454,94910026
"Seekonk","MA",2003,"Total, All Industries",9231,463,622,222149118
"Sharon","MA",2003,"Total, All Industries",3832,812,455,161835142
"Sheffield","MA",2003,"Total, All Industries",1355,636,135,44789582
"Shelburne","MA",2003,"Total, All Industries",859,472,125,21089743
"Sherborn","MA",2003,"Total, All Industries",588,995,153,30437848
"Shirley","MA",2003,"Total, All Industries",2000,911,118,94685662
"Shrewsbury","MA",2003,"Total, All Industries",13089,792,854,539009546
"Shutesbury","MA",2003,"Total, All Industries",139,374,26,2707510
"Somerset","MA",2003,"Total, All Industries",4492,607,355,141882855
"Somerville","MA",2003,"Total, All Industries",21898,703,1392,800819962
"South Hadley","MA",2003,"Total, All Industries",4742,643,321,158645977
"Southampton","MA",2003,"Total, All Industries",1066,439,134,24324967
"Southborough","MA",2003,"Total, All Industries",6259,1042,386,339044545
"Southbridge","MA",2003,"Total, All Industries",5844,636,442,193227778
"Southwick","MA",2003,"Total, All Industries",2728,555,261,78784982
"Spencer","MA",2003,"Total, All Industries",3530,635,267,116577456
"Springfield","MA",2003,"Total, All Industries",77902,762,5235,3088673412
"Sterling","MA",2003,"Total, All Industries",2210,685,234,78685695
"Stockbridge","MA",2003,"Total, All Industries",1483,559,111,43091224
"Stoneham","MA",2003,"Total, All Industries",8313,732,652,316528896
"Stoughton","MA",2003,"Total, All Industries",12298,764,966,488693618
"Stow","MA",2003,"Total, All Industries",1510,680,192,53367996
"Sturbridge","MA",2003,"Total, All Industries",4995,518,331,134516406
"Sudbury","MA",2003,"Total, All Industries",7508,959,651,374337289
"Sunderland","MA",2003,"Total, All Industries",701,680,77,24756110
"Sutton","MA",2003,"Total, All Industries",1548,677,203,54521361
"Swampscott","MA",2003,"Total, All Industries",3314,598,370,103042231
"Swansea","MA",2003,"Total, All Industries",5914,555,510,170547631
"Taunton","MA",2003,"Total, All Industries",24232,720,1386,907230414
"Templeton","MA",2003,"Total, All Industries",1831,622,114,59211821
"Tewksbury","MA",2003,"Total, All Industries",15843,1043,830,858968673
"Tisbury","MA",2003,"Total, All Industries",2128,658,365,72836472
"Topsfield","MA",2003,"Total, All Industries",2471,768,286,98625434
"Townsend","MA",2003,"Total, All Industries",2284,620,189,73597478
"Truro","MA",2003,"Total, All Industries",503,593,113,15502155
"Tyngsborough","MA",2003,"Total, All Industries",4622,622,356,149417816
"Tyringham","MA",2003,"Total, All Industries",28,539,12,773313
"Upton","MA",2003,"Total, All Industries",1051,797,169,43582410
"Uxbridge","MA",2003,"Total, All Industries",2892,638,292,95992702
"Wakefield","MA",2003,"Total, All Industries",13857,1017,997,732556995
"Wales","MA",2003,"Total, All Industries",136,473,44,3336830
"Walpole","MA",2003,"Total, All Industries",10140,748,776,394523758
"Waltham","MA",2003,"Total, All Industries",52273,1250,2496,3396488272
"Ware","MA",2003,"Total, All Industries",2696,579,235,81228513
"Wareham","MA",2003,"Total, All Industries",7716,630,613,252836155
"Warren","MA",2003,"Total, All Industries",1310,628,81,42768372
"Warwick","MA",2003,"Total, All Industries",36,452,5,855281
"Washington","MA",2003,"Total, All Industries",137,431,17,3080132
"Watertown","MA",2003,"Total, All Industries",18429,951,1075,911508573
"Wayland","MA",2003,"Total, All Industries",3570,854,412,158619301
"Webster","MA",2003,"Total, All Industries",6706,664,404,231573509
"Wellesley","MA",2003,"Total, All Industries",17676,1131,1472,1039761414
"Wellfleet","MA",2003,"Total, All Industries",918,575,171,27441191
"Wendell","MA",2003,"Total, All Industries",271,437,13,6151395
"Wenham","MA",2003,"Total, All Industries",1148,890,86,53111833
"West Boylston","MA",2003,"Total, All Industries",3864,651,246,130822631
"West Bridgewater","MA",2003,"Total, All Industries",6542,799,345,271822266
"West Brookfield","MA",2003,"Total, All Industries",878,571,91,26052501
"West Newbury","MA",2003,"Total, All Industries",754,644,103,25254034
"West Springfield","MA",2003,"Total, All Industries",17316,642,1121,577634242
"West Stockbridge","MA",2003,"Total, All Industries",247,510,65,6550297
"West Tisbury","MA",2003,"Total, All Industries",729,771,129,29210770
"Westborough","MA",2003,"Total, All Industries",23644,1059,958,1301780422
"Westfield","MA",2003,"Total, All Industries",15555,643,1006,520235378
"Westford","MA",2003,"Total, All Industries",11003,1322,676,756621952
"Westhampton","MA",2003,"Total, All Industries",265,610,28,8391182
"Westminster","MA",2003,"Total, All Industries",3164,923,173,151808710
"Weston","MA",2003,"Total, All Industries",3606,881,412,165248211
"Westport","MA",2003,"Total, All Industries",3307,524,450,90097002
"Westwood","MA",2003,"Total, All Industries",8935,1197,520,556372456
"Weymouth","MA",2003,"Total, All Industries",17573,768,1371,701577464
"Whately","MA",2003,"Total, All Industries",1969,698,49,71468947
"Whitman","MA",2003,"Total, All Industries",3435,603,276,107730573
"Wilbraham","MA",2003,"Total, All Industries",3909,683,363,138796940
"Williamsburg","MA",2003,"Total, All Industries",588,492,95,15048895
"Williamstown","MA",2003,"Total, All Industries",4170,666,268,144488198
"Wilmington","MA",2003,"Total, All Industries",19776,1126,797,1157795342
"Winchendon","MA",2003,"Total, All Industries",1749,540,172,49071120
"Winchester","MA",2003,"Total, All Industries",7797,776,684,314726851
"Windsor","MA",2003,"Total, All Industries",50,763,16,1969743
"Winthrop","MA",2003,"Total, All Industries",2296,551,298,65766787
"Woburn","MA",2003,"Total, All Industries",38062,953,2036,1886923212
"Worcester","MA",2003,"Total, All Industries",98073,771,4607,3930460578
"Worthington","MA",2003,"Total, All Industries",255,533,38,7061464
"Wrentham","MA",2003,"Total, All Industries",5443,575,433,162880611
"Yarmouth","MA",2003,"Total, All Industries",9250,662,790,318380806
"Abington","MA",2004,"Total, All Industries",3985,638,345,132115662
"Acton","MA",2004,"Total, All Industries",9302,864,862,417773879
"Acushnet","MA",2004,"Total, All Industries",1442,677,203,50753989
"Adams","MA",2004,"Total, All Industries",1912,613,205,60922310
"Agawam","MA",2004,"Total, All Industries",11823,622,753,382434722
"Alford","MA",2004,"Total, All Industries",38,635,10,1246274
"Amesbury","MA",2004,"Total, All Industries",4700,713,426,174236890
"Amherst","MA",2004,"Total, All Industries",14156,761,755,559955833
"Andover","MA",2004,"Total, All Industries",31600,1154,1148,1895886217
"Aquinnah","MA",2004,"Total, All Industries",87,492,10,2214689
"Arlington","MA",2004,"Total, All Industries",7913,758,981,311768678
"Ashburnham","MA",2004,"Total, All Industries",1125,635,121,37169648
"Ashby","MA",2004,"Total, All Industries",270,572,70,8017757
"Ashfield","MA",2004,"Total, All Industries",230,477,49,5710523
"Ashland","MA",2004,"Total, All Industries",4832,724,474,181974405
"Athol","MA",2004,"Total, All Industries",3339,577,253,100124993
"Attleboro","MA",2004,"Total, All Industries",19710,715,1087,732734541
"Auburn","MA",2004,"Total, All Industries",10681,676,613,375491228
"Avon","MA",2004,"Total, All Industries",6135,972,278,310123192
"Ayer","MA",2004,"Total, All Industries",6608,834,333,286456938
"Barnstable","MA",2004,"Total, All Industries",28930,697,2324,1049076713
"Barre","MA",2004,"Total, All Industries",1293,657,120,44200653
"Becket","MA",2004,"Total, All Industries",333,527,36,9138201
"Bedford","MA",2004,"Total, All Industries",18653,1389,659,1346910071
"Belchertown","MA",2004,"Total, All Industries",2339,529,294,64344821
"Bellingham","MA",2004,"Total, All Industries",5337,561,440,155549447
"Belmont","MA",2004,"Total, All Industries",6435,743,676,248750237
"Berkley","MA",2004,"Total, All Industries",642,565,109,18866205
"Berlin","MA",2004,"Total, All Industries",608,549,102,17351861
"Bernardston","MA",2004,"Total, All Industries",453,433,66,10199040
"Beverly","MA",2004,"Total, All Industries",20006,935,1337,972565302
"Billerica","MA",2004,"Total, All Industries",22674,1171,1203,1380841759
"Blackstone","MA",2004,"Total, All Industries",1172,611,157,37264841
"Blandford","MA",2004,"Total, All Industries",215,261,19,2922855
"Bolton","MA",2004,"Total, All Industries",1896,830,144,81827403
"Boston","MA",2004,"Total, All Industries",533884,1303,20647,36182392647
"Bourne","MA",2004,"Total, All Industries",7021,664,732,242336637
"Boxborough","MA",2004,"Total, All Industries",3040,2178,168,344185917
"Boxford","MA",2004,"Total, All Industries",982,695,176,35505564
"Boylston","MA",2004,"Total, All Industries",1593,724,149,59999278
"Braintree","MA",2004,"Total, All Industries",29043,806,1581,1216826718
"Brewster","MA",2004,"Total, All Industries",2661,538,295,74482532
"Bridgewater","MA",2004,"Total, All Industries",7251,753,516,284011051
"Brimfield","MA",2004,"Total, All Industries",544,630,80,17809654
"Brockton","MA",2004,"Total, All Industries",38707,734,2258,1476741752
"Brookfield","MA",2004,"Total, All Industries",530,470,71,12942975
"Brookline","MA",2004,"Total, All Industries",14498,758,1634,571348540
"Buckland","MA",2004,"Total, All Industries",456,531,42,12590823
"Burlington","MA",2004,"Total, All Industries",32805,1269,1548,2164017679
"Cambridge","MA",2004,"Total, All Industries",99591,1220,3970,6318523578
"Canton","MA",2004,"Total, All Industries",20591,1073,1010,1148748626
"Carlisle","MA",2004,"Total, All Industries",912,900,146,42679181
"Carver","MA",2004,"Total, All Industries",2592,566,255,76252311
"Charlemont","MA",2004,"Total, All Industries",320,339,42,5645317
"Charlton","MA",2004,"Total, All Industries",3146,676,298,110619499
"Chatham","MA",2004,"Total, All Industries",3040,611,419,96632453
"Chelmsford","MA",2004,"Total, All Industries",20383,1021,1182,1081744815
"Chelsea","MA",2004,"Total, All Industries",13124,786,758,536184434
"Cheshire","MA",2004,"Total, All Industries",432,608,57,13641980
"Chester","MA",2004,"Total, All Industries",132,435,28,2976775
"Chesterfield","MA",2004,"Total, All Industries",126,441,20,2896510
"Chicopee","MA",2004,"Total, All Industries",19738,690,1193,708420308
"Chilmark","MA",2004,"Total, All Industries",250,650,65,8466714
"Clarksburg","MA",2004,"Total, All Industries",221,486,27,5575203
"Clinton","MA",2004,"Total, All Industries",4736,788,352,193965225
"Cohasset","MA",2004,"Total, All Industries",2459,660,303,84387225
"Colrain","MA",2004,"Total, All Industries",227,570,44,6730584
"Concord","MA",2004,"Total, All Industries",12204,1088,962,690368634
"Conway","MA",2004,"Total, All Industries",170,480,41,4245355
"Cummington","MA",2004,"Total, All Industries",225,549,23,6429240
"Dalton","MA",2004,"Total, All Industries",2157,833,163,93454952
"Danvers","MA",2004,"Total, All Industries",23929,806,1210,1002715640
"Dartmouth","MA",2004,"Total, All Industries",15105,599,979,470851282
"Dedham","MA",2004,"Total, All Industries",14232,820,919,607186258
"Deerfield","MA",2004,"Total, All Industries",3764,680,184,133005442
"Dennis","MA",2004,"Total, All Industries",4710,569,589,139434032
"Dighton","MA",2004,"Total, All Industries",1858,623,148,60195505
"Douglas","MA",2004,"Total, All Industries",968,641,151,32276046
"Dover","MA",2004,"Total, All Industries",907,951,179,44839730
"Dracut","MA",2004,"Total, All Industries",5021,686,618,178972363
"Dudley","MA",2004,"Total, All Industries",2585,654,175,87945746
