"","Municipal","State","C_year","AP003_001","AP003_002","AP003_003","AP003_004","AP003_005"
"47762","Richmond","MA",2002,389,"Richmond","10","Total, All Industries",216
"47775","Rochester","MA",2002,315,"Rochester","10","Total, All Industries",695
"47809","Rockland","MA",2002,132,"Rockland","10","Total, All Industries",8332
"47919","Rockport","MA",2002,422,"Rockport","10","Total, All Industries",1487
"47980","Rowe","MA",2002,198,"Rowe","10","Total, All Industries",147
"47986","Rowley","MA",2002,325,"Rowley","10","Total, All Industries",2342
"48048","Royalston","MA",2002,9,"Royalston","10","Total, All Industries",159
"48056","Russell","MA",2002,446,"Russell","10","Total, All Industries",203
"48067","Rutland","MA",2002,515,"Rutland","10","Total, All Industries",999
"48107","Salem","MA",2002,411,"Salem","10","Total, All Industries",18667
"48270","Salisbury","MA",2002,326,"Salisbury","10","Total, All Industries",2857
"48356","Sandisfield","MA",2002,390,"Sandisfield","10","Total, All Industries",120
"48362","Sandwich","MA",2002,43,"Sandwich","10","Total, All Industries",5104
"48472","Saugus","MA",2002,254,"Saugus","10","Total, All Industries",11425
"48591","Scituate","MA",2002,408,"Scituate","10","Total, All Industries",3220
"48678","Seekonk","MA",2002,466,"Seekonk","10","Total, All Industries",8296
"48798","Sharon","MA",2002,368,"Sharon","10","Total, All Industries",3959
"48887","Sheffield","MA",2002,392,"Sheffield","10","Total, All Industries",1351
"48933","Shelburne","MA",2002,199,"Shelburne","10","Total, All Industries",802
"48977","Sherborn","MA",2002,270,"Sherborn","10","Total, All Industries",560
"49021","Shirley","MA",2002,176,"Shirley","10","Total, All Industries",2048
"49060","Shrewsbury","MA",2002,516,"Shrewsbury","10","Total, All Industries",13395
"49193","Shutesbury","MA",2002,200,"Shutesbury","10","Total, All Industries",128
"49201","Somerset","MA",2002,153,"Somerset","10","Total, All Industries",4397
"49275","Somerville","MA",2002,101,"Somerville","10","Total, All Industries",22098
"49439","South Hadley","MA",2002,223,"South Hadley","10","Total, All Industries",4796
"49531","Southampton","MA",2002,357,"Southampton","10","Total, All Industries",1141
"49572","Southborough","MA",2002,272,"Southborough","10","Total, All Industries",6284
"49646","Southbridge","MA",2002,486,"Southbridge","10","Total, All Industries",6140
"49752","Southwick","MA",2002,447,"Southwick","10","Total, All Industries",2785
"49829","Spencer","MA",2002,517,"Spencer","10","Total, All Industries",3451
"49900","Springfield","MA",2002,431,"Springfield","10","Total, All Industries",78755
"50133","Sterling","MA",2002,177,"Sterling","10","Total, All Industries",2194
"50194","Stockbridge","MA",2002,393,"Stockbridge","10","Total, All Industries",1543
"50231","Stoneham","MA",2002,495,"Stoneham","10","Total, All Industries",8529
"50348","Stoughton","MA",2002,133,"Stoughton","10","Total, All Industries",12622
"50500","Stow","MA",2002,273,"Stow","10","Total, All Industries",2037
"50559","Sturbridge","MA",2002,487,"Sturbridge","10","Total, All Industries",5271
"50644","Sudbury","MA",2002,274,"Sudbury","10","Total, All Industries",7350
"50744","Sunderland","MA",2002,202,"Sunderland","10","Total, All Industries",637
"50770","Sutton","MA",2002,488,"Sutton","10","Total, All Industries",1540
"50819","Swampscott","MA",2002,255,"Swampscott","10","Total, All Industries",3331
"50898","Swansea","MA",2002,154,"Swansea","10","Total, All Industries",5867
"50999","Taunton","MA",2002,461,"Taunton","10","Total, All Industries",24073
"51176","Templeton","MA",2002,10,"Templeton","10","Total, All Industries",1657
"51215","Tewksbury","MA",2002,247,"Tewksbury","10","Total, All Industries",15868
"51351","Tisbury","MA",2002,316,"Tisbury","10","Total, All Industries",2168
"51447","Tolland","MA",2002,448,"Tolland","10","Total, All Industries",55
"51449","Topsfield","MA",2002,423,"Topsfield","10","Total, All Industries",2399
"51524","Townsend","MA",2002,178,"Townsend","10","Total, All Industries",2274
"51577","Truro","MA",2002,44,"Truro","10","Total, All Industries",516
"51604","Tyngsborough","MA",2002,248,"Tyngsborough","10","Total, All Industries",4488
"51684","Tyringham","MA",2002,394,"Tyringham","10","Total, All Industries",29
"51686","Upton","MA",2002,293,"Upton","10","Total, All Industries",1087
"51743","Uxbridge","MA",2002,294,"Uxbridge","10","Total, All Industries",2866
"51825","Wakefield","MA",2002,74,"Wakefield","10","Total, All Industries",13935
"51982","Wales","MA",2002,449,"Wales","10","Total, All Industries",121
"51994","Walpole","MA",2002,369,"Walpole","10","Total, All Industries",9995
"52125","Waltham","MA",2002,471,"Waltham","10","Total, All Industries",55704
"52328","Ware","MA",2002,450,"Ware","10","Total, All Industries",2676
"52391","Wareham","MA",2002,317,"Wareham","10","Total, All Industries",7214
"52518","Warren","MA",2002,452,"Warren","10","Total, All Industries",1246
"52546","Warwick","MA",2002,12,"Warwick","10","Total, All Industries",47
"52547","Washington","MA",2002,395,"Washington","10","Total, All Industries",127
"52550","Watertown","MA",2002,93,"Watertown","10","Total, All Industries",20083
"52707","Wayland","MA",2002,478,"Wayland","10","Total, All Industries",3698
"52783","Webster","MA",2002,481,"Webster","10","Total, All Industries",6836
"52883","Wellesley","MA",2002,94,"Wellesley","10","Total, All Industries",18328
"53019","Wellfleet","MA",2002,45,"Wellfleet","10","Total, All Industries",943
"53056","Wendell","MA",2002,203,"Wendell","10","Total, All Industries",254
"53061","Wenham","MA",2002,424,"Wenham","10","Total, All Industries",1203
"53090","West Boylston","MA",2002,519,"West Boylston","10","Total, All Industries",3706
"53159","West Bridgewater","MA",2002,134,"West Bridgewater","10","Total, All Industries",6678
"53242","West Brookfield","MA",2002,520,"West Brookfield","10","Total, All Industries",903
"53269","West Newbury","MA",2002,327,"West Newbury","10","Total, All Industries",731
"53301","West Springfield","MA",2002,454,"West Springfield","10","Total, All Industries",18045
"53460","West Stockbridge","MA",2002,396,"West Stockbridge","10","Total, All Industries",252
"53486","West Tisbury","MA",2002,318,"West Tisbury","10","Total, All Industries",735
"53524","Westborough","MA",2002,518,"Westborough","10","Total, All Industries",23366
"53667","Westfield","MA",2002,453,"Westfield","10","Total, All Industries",15880
"53817","Westford","MA",2002,249,"Westford","10","Total, All Industries",12131
"53925","Westhampton","MA",2002,358,"Westhampton","10","Total, All Industries",277
"53936","Westminster","MA",2002,179,"Westminster","10","Total, All Industries",3218
"53992","Weston","MA",2002,479,"Weston","10","Total, All Industries",3531
"54058","Westport","MA",2002,155,"Westport","10","Total, All Industries",3190
"54149","Westwood","MA",2002,370,"Westwood","10","Total, All Industries",9523
"54241","Weymouth","MA",2002,409,"Weymouth","10","Total, All Industries",18028
"54405","Whately","MA",2002,204,"Whately","10","Total, All Industries",1999
"54423","Whitman","MA",2002,135,"Whitman","10","Total, All Industries",3133
"54497","Wilbraham","MA",2002,455,"Wilbraham","10","Total, All Industries",3981
"54580","Williamsburg","MA",2002,359,"Williamsburg","10","Total, All Industries",596
"54612","Williamstown","MA",2002,338,"Williamstown","10","Total, All Industries",4184
"54677","Wilmington","MA",2002,496,"Wilmington","10","Total, All Industries",21039
"54821","Winchendon","MA",2002,180,"Winchendon","10","Total, All Industries",1790
"54873","Winchester","MA",2002,497,"Winchester","10","Total, All Industries",7824
"54970","Windsor","MA",2002,397,"Windsor","10","Total, All Industries",52
"54977","Winthrop","MA",2002,143,"Winthrop","10","Total, All Industries",2339
"55052","Woburn","MA",2002,491,"Woburn","10","Total, All Industries",39364
"55270","Worcester","MA",2002,501,"Worcester","10","Total, All Industries",98584
"55526","Worthington","MA",2002,360,"Worthington","10","Total, All Industries",223
"55532","Wrentham","MA",2002,27,"Wrentham","10","Total, All Industries",5181
"55621","Yarmouth","MA",2002,46,"Yarmouth","10","Total, All Industries",9090
"55748","Abington","MA",2003,112,"Abington","10","Total, All Industries",3980
"55820","Acton","MA",2003,472,"Acton","10","Total, All Industries",9340
"55963","Acushnet","MA",2003,302,"Acushnet","10","Total, All Industries",2116
"56012","Adams","MA",2003,332,"Adams","10","Total, All Industries",2061
"56074","Agawam","MA",2003,432,"Agawam","10","Total, All Industries",11301
"56198","Alford","MA",2003,372,"Alford","10","Total, All Industries",41
"56203","Amesbury","MA",2003,322,"Amesbury","10","Total, All Industries",4551
"56296","Amherst","MA",2003,342,"Amherst","10","Total, All Industries",12545
"56422","Andover","MA",2003,232,"Andover","10","Total, All Industries",31769
"56562","Aquinnah","MA",2003,307,"Aquinnah","10","Total, All Industries",71
"56564","Arlington","MA",2003,62,"Arlington","10","Total, All Industries",7861
"56694","Ashburnham","MA",2003,162,"Ashburnham","10","Total, All Industries",1088
"56729","Ashby","MA",2003,163,"Ashby","10","Total, All Industries",251
"56755","Ashfield","MA",2003,182,"Ashfield","10","Total, All Industries",241
"56770","Ashland","MA",2003,262,"Ashland","10","Total, All Industries",4502
"56865","Athol","MA",2003,1,"Athol","10","Total, All Industries",3534
"56945","Attleboro","MA",2003,21,"Attleborough","10","Total, All Industries",19744
"57091","Auburn","MA",2003,502,"Auburn","10","Total, All Industries",10776
"57207","Avon","MA",2003,113,"Avon","10","Total, All Industries",6163
"57276","Ayer","MA",2003,164,"Ayer","10","Total, All Industries",6234
"57368","Barnstable","MA",2003,31,"Barnstable","10","Total, All Industries",28323
"57561","Barre","MA",2003,2,"Barre","10","Total, All Industries",1238
"57605","Becket","MA",2003,373,"Becket","10","Total, All Industries",330
"57618","Bedford","MA",2003,473,"Bedford","10","Total, All Industries",18799
"57737","Belchertown","MA",2003,343,"Belchertown","10","Total, All Industries",2316
"57806","Bellingham","MA",2003,282,"Bellingham","10","Total, All Industries",5144
"57891","Belmont","MA",2003,63,"Belmont","10","Total, All Industries",6342
"57997","Berkley","MA",2003,462,"Berkley","10","Total, All Industries",626
"58029","Berlin","MA",2003,263,"Berlin","10","Total, All Industries",600
"58061","Bernardston","MA",2003,183,"Bernardston","10","Total, All Industries",429
"58082","Beverly","MA",2003,412,"Beverly","10","Total, All Industries",19785
"58246","Billerica","MA",2003,242,"Billerica","10","Total, All Industries",22805
"58405","Blackstone","MA",2003,283,"Blackstone","10","Total, All Industries",1062
"58442","Blandford","MA",2003,433,"Blandford","10","Total, All Industries",188
"58445","Bolton","MA",2003,264,"Bolton","10","Total, All Industries",1918
"58486","Boston","MA",2003,51,"Boston","10","Total, All Industries",537895
"58806","Bourne","MA",2003,32,"Bourne","10","Total, All Industries",7082
"58942","Boxborough","MA",2003,165,"Boxborough","10","Total, All Industries",3161
"58987","Boxford","MA",2003,212,"Boxford","10","Total, All Industries",971
"59025","Boylston","MA",2003,503,"Boylston","10","Total, All Industries",1597
"59068","Braintree","MA",2003,402,"Braintree","10","Total, All Industries",29173
"59242","Brewster","MA",2003,33,"Brewster","10","Total, All Industries",2582
"59306","Bridgewater","MA",2003,114,"Bridgewater","10","Total, All Industries",6991
"59408","Brimfield","MA",2003,434,"Brimfield","10","Total, All Industries",540
"59433","Brockton","MA",2003,111,"Brockton","10","Total, All Industries",38575
"59627","Brookfield","MA",2003,504,"Brookfield","10","Total, All Industries",512
"59653","Brookline","MA",2003,52,"Brookline","10","Total, All Industries",14301
"59810","Buckland","MA",2003,184,"Buckland","10","Total, All Industries",493
"59833","Burlington","MA",2003,492,"Burlington","10","Total, All Industries",32962
"59998","Cambridge","MA",2003,61,"Cambridge","10","Total, All Industries",103177
"60208","Canton","MA",2003,362,"Canton","10","Total, All Industries",20198
"60364","Carlisle","MA",2003,474,"Carlisle","10","Total, All Industries",960
"60396","Carver","MA",2003,115,"Carver","10","Total, All Industries",2600
"60455","Charlemont","MA",2003,185,"Charlemont","10","Total, All Industries",363
"60467","Charlton","MA",2003,482,"Charlton","10","Total, All Industries",3084
"60535","Chatham","MA",2003,34,"Chatham","10","Total, All Industries",3042
"60623","Chelmsford","MA",2003,243,"Chelmsford","10","Total, All Industries",21113
"60774","Chelsea","MA",2003,141,"Chelsea","10","Total, All Industries",13210
"60899","Cheshire","MA",2003,374,"Cheshire","10","Total, All Industries",340
"60913","Chester","MA",2003,344,"Chester","10","Total, All Industries",136
"60928","Chesterfield","MA",2003,345,"Chesterfield","10","Total, All Industries",118
"60938","Chicopee","MA",2003,435,"Chicopee","10","Total, All Industries",19384
"61100","Chilmark","MA",2003,303,"Chilmark","10","Total, All Industries",265
"61116","Clarksburg","MA",2003,333,"Clarksburg","10","Total, All Industries",208
"61130","Clinton","MA",2003,166,"Clinton","10","Total, All Industries",4731
"61218","Cohasset","MA",2003,403,"Cohasset","10","Total, All Industries",2509
"61294","Colrain","MA",2003,186,"Colrain","10","Total, All Industries",237
"61309","Concord","MA",2003,475,"Concord","10","Total, All Industries",12294
"61453","Conway","MA",2003,187,"Conway","10","Total, All Industries",180
"61471","Cummington","MA",2003,346,"Cummington","10","Total, All Industries",244
"61477","Dalton","MA",2003,375,"Dalton","10","Total, All Industries",2227
"61517","Danvers","MA",2003,413,"Danvers","10","Total, All Industries",23684
"61681","Dartmouth","MA",2003,304,"Dartmouth","10","Total, All Industries",14152
"61816","Dedham","MA",2003,363,"Dedham","10","Total, All Industries",14414
"61964","Deerfield","MA",2003,188,"Deerfield","10","Total, All Industries",3836
"62028","Dennis","MA",2003,35,"Dennis","10","Total, All Industries",5092
"62131","Dighton","MA",2003,463,"Dighton","10","Total, All Industries",1973
"62174","Douglas","MA",2003,483,"Douglas","10","Total, All Industries",820
"62222","Dover","MA",2003,364,"Dover","10","Total, All Industries",852
"62255","Dracut","MA",2003,244,"Dracut","10","Total, All Industries",4947
"62348","Dudley","MA",2003,484,"Dudley","10","Total, All Industries",2728
"62398","Dunstable","MA",2003,245,"Dunstable","10","Total, All Industries",287
"62414","Duxbury","MA",2003,116,"Duxbury","10","Total, All Industries",2726
"62502","East Bridgewater","MA",2003,117,"East Bridgewater","10","Total, All Industries",2755
"62574","East Brookfield","MA",2003,505,"East Brookfield","10","Total, All Industries",419
"62589","East Longmeadow","MA",2003,436,"East Longmeadow","10","Total, All Industries",9106
"62697","Eastham","MA",2003,36,"Eastham","10","Total, All Industries",1196
"62744","Easthampton","MA",2003,347,"Easthampton","10","Total, All Industries",4688
"62844","Easton","MA",2003,118,"Easton","10","Total, All Industries",9027
"62963","Edgartown","MA",2003,305,"Edgartown","10","Total, All Industries",2267
"63040","Egremont","MA",2003,376,"Egremont","10","Total, All Industries",232
"63065","Erving","MA",2003,189,"Erving","10","Total, All Industries",323
"63072","Essex","MA",2003,414,"Essex","10","Total, All Industries",1384
"63122","Everett","MA",2003,72,"Everett","10","Total, All Industries",12886
"63243","Fairhaven","MA",2003,306,"Fairhaven","10","Total, All Industries",7228
"63350","Fall River","MA",2003,151,"Fall River","10","Total, All Industries",38610
"63552","Falmouth","MA",2003,37,"Falmouth","10","Total, All Industries",14874
"63700","Fitchburg","MA",2003,161,"Fitchburg","10","Total, All Industries",13806
"63865","Florida","MA",2003,334,"Florida","10","Total, All Industries",74
"63866","Foxborough","MA",2003,22,"Foxborough","10","Total, All Industries",9580
"63971","Framingham","MA",2003,265,"Framingham","10","Total, All Industries",45085
"64164","Franklin","MA",2003,284,"Franklin","10","Total, All Industries",16206
"64303","Freetown","MA",2003,152,"Freetown","10","Total, All Industries",2164
"64372","Gardner","MA",2003,167,"Gardner","10","Total, All Industries",8644
"64493","Georgetown","MA",2003,213,"Georgetown","10","Total, All Industries",2433
"64558","Gill","MA",2003,190,"Gill","10","Total, All Industries",194
"64571","Gloucester","MA",2003,415,"Gloucester","10","Total, All Industries",10741
"64721","Goshen","MA",2003,348,"Goshen","10","Total, All Industries",100
"64728","Gosnold","MA",2003,308,"Gosnold","10","Total, All Industries",47
"64730","Grafton","MA",2003,506,"Grafton","10","Total, All Industries",4698
"64815","Granby","MA",2003,349,"Granby","10","Total, All Industries",839
"64856","Granville","MA",2003,437,"Granville","10","Total, All Industries",167
"64862","Great Barrington","MA",2003,377,"Great Barrington","10","Total, All Industries",5390
"64980","Greenfield","MA",2003,181,"Greenfield","10","Total, All Industries",10386
"65117","Groton","MA",2003,168,"Groton","10","Total, All Industries",3018
"65178","Groveland","MA",2003,214,"Groveland","10","Total, All Industries",1199
"65215","Hadley","MA",2003,350,"Hadley","10","Total, All Industries",4919
"65307","Halifax","MA",2003,119,"Halifax","10","Total, All Industries",1069
"65344","Hamilton","MA",2003,416,"Hamilton","10","Total, All Industries",1428
"65409","Hampden","MA",2003,438,"Hampden","10","Total, All Industries",768
"65449","Hancock","MA",2003,378,"Hancock","10","Total, All Industries",455
"65455","Hanover","MA",2003,120,"Hanover","10","Total, All Industries",7797
"65579","Hanson","MA",2003,122,"Hanson","10","Total, All Industries",1758
"65636","Hardwick","MA",2003,3,"Hardwick","10","Total, All Industries",346
"65656","Harvard","MA",2003,169,"Harvard","10","Total, All Industries",1004
"65712","Harwich","MA",2003,38,"Harwich","10","Total, All Industries",3549
"65802","Hatfield","MA",2003,352,"Hatfield","10","Total, All Industries",2314
"65841","Haverhill","MA",2003,211,"Haverhill","10","Total, All Industries",17923
"66012","Hawley","MA",2003,192,"Hawley","10","Total, All Industries",12
"66016","Heath","MA",2003,193,"Heath","10","Total, All Industries",100
"66023","Hingham","MA",2003,404,"Hingham","10","Total, All Industries",10896
"66158","Hinsdale","MA",2003,379,"Hinsdale","10","Total, All Industries",236
"66176","Holbrook","MA",2003,123,"Holbrook","10","Total, All Industries",2941
"66253","Holden","MA",2003,507,"Holden","10","Total, All Industries",3643
"66337","Holland","MA",2003,439,"Holland","10","Total, All Industries",143
"66342","Holliston","MA",2003,285,"Holliston","10","Total, All Industries",5126
"66436","Holyoke","MA",2003,221,"Holyoke","10","Total, All Industries",22741
"66596","Hopedale","MA",2003,286,"Hopedale","10","Total, All Industries",1551
"66644","Hopkinton","MA",2003,287,"Hopkinton","10","Total, All Industries",7391
"66725","Hubbardston","MA",2003,4,"Hubbardston","10","Total, All Industries",549
"66752","Hudson","MA",2003,266,"Hudson","10","Total, All Industries",9796
"66866","Hull","MA",2003,405,"Hull","10","Total, All Industries",1421
"66916","Huntington","MA",2003,353,"Huntington","10","Total, All Industries",412
"66930","Ipswich","MA",2003,323,"Ipswich","10","Total, All Industries",3855
"67022","Kingston","MA",2003,124,"Kingston","10","Total, All Industries",5697
"67119","Lakeville","MA",2003,309,"Lakeville","10","Total, All Industries",3226
"67198","Lancaster","MA",2003,170,"Lancaster","10","Total, All Industries",1989
"67250","Lanesborough","MA",2003,380,"Lanesborough","10","Total, All Industries",1862
"67298","Lawrence","MA",2003,231,"Lawrence","10","Total, All Industries",22540
"67472","Lee","MA",2003,382,"Lee","10","Total, All Industries",3736
"67551","Leicester","MA",2003,508,"Leicester","10","Total, All Industries",2121
"67608","Lenox","MA",2003,383,"Lenox","10","Total, All Industries",3850
"67683","Leominster","MA",2003,172,"Leominster","10","Total, All Industries",18060
"67854","Leverett","MA",2003,194,"Leverett","10","Total, All Industries",190
"67869","Lexington","MA",2003,476,"Lexington","10","Total, All Industries",19691
"68006","Lincoln","MA",2003,477,"Lincoln","10","Total, All Industries",1774
"68050","Littleton","MA",2003,246,"Littleton","10","Total, All Industries",5252
"68141","Longmeadow","MA",2003,440,"Longmeadow","10","Total, All Industries",3295
"68206","Lowell","MA",2003,241,"Lowell","10","Total, All Industries",32519
"68399","Ludlow","MA",2003,442,"Ludlow","10","Total, All Industries",5980
"68497","Lunenburg","MA",2003,173,"Lunenburg","10","Total, All Industries",2436
"68564","Lynn","MA",2003,251,"Lynn","10","Total, All Industries",24491
"68715","Lynnfield","MA",2003,252,"Lynnfield","10","Total, All Industries",4810
"68787","Malden","MA",2003,71,"Malden","10","Total, All Industries",15976
"68938","Manchester-by-the-Sea","MA",2003,417,"Manchester","10","Total, All Industries",1638
"69009","Mansfield","MA",2003,23,"Mansfield","10","Total, All Industries",10712
"69115","Marblehead","MA",2003,418,"Marblehead","10","Total, All Industries",4957
"69234","Marion","MA",2003,310,"Marion","10","Total, All Industries",1899
"69296","Marlborough","MA",2003,261,"Marlborough","10","Total, All Industries",25808
"69459","Marshfield","MA",2003,125,"Marshfield","10","Total, All Industries",5307
"69563","Mashpee","MA",2003,39,"Mashpee","10","Total, All Industries",4034
"69651","Mattapoisett","MA",2003,312,"Mattapoisett","10","Total, All Industries",1751
"69716","Maynard","MA",2003,267,"Maynard","10","Total, All Industries",4495
"69790","Medfield","MA",2003,365,"Medfield","10","Total, All Industries",3267
"69871","Medford","MA",2003,81,"Medford","10","Total, All Industries",18392
"70014","Medway","MA",2003,288,"Medway","10","Total, All Industries",2649
"70096","Melrose","MA",2003,73,"Melrose","10","Total, All Industries",6290
"70196","Mendon","MA",2003,289,"Mendon","10","Total, All Industries",1323
"70242","Merrimac","MA",2003,215,"Merrimac","10","Total, All Industries",844
"70286","Methuen","MA",2003,233,"Methuen","10","Total, All Industries",15360
"70430","Middleborough","MA",2003,126,"Middleborough","10","Total, All Industries",8027
"70535","Middlefield","MA",2003,354,"Middlefield","10","Total, All Industries",47
"70537","Middleton","MA",2003,419,"Middleton","10","Total, All Industries",4708
"70615","Milford","MA",2003,281,"Milford","10","Total, All Industries",15066
"70754","Millbury","MA",2003,509,"Millbury","10","Total, All Industries",3992
"70830","Millis","MA",2003,366,"Millis","10","Total, All Industries",2068
"70892","Millville","MA",2003,290,"Millville","10","Total, All Industries",237
"70905","Milton","MA",2003,406,"Milton","10","Total, All Industries",6000
"70988","Monroe","MA",2003,335,"Monroe","10","Total, All Industries",49
"70990","Monson","MA",2003,443,"Monson","10","Total, All Industries",1291
"71033","Montague","MA",2003,196,"Montague","10","Total, All Industries",2903
"71095","Monterey","MA",2003,384,"Monterey","10","Total, All Industries",119
"71104","Montgomery","MA",2003,444,"Montgomery","10","Total, All Industries",68
"71105","Mount Washington","MA",2003,385,"Mount Washington","10","Total, All Industries",11
"71107","Nahant","MA",2003,253,"Nahant","10","Total, All Industries",418
"71135","Nantucket","MA",2003,313,"Nantucket","10","Total, All Industries",5854
"71248","Natick","MA",2003,268,"Natick","10","Total, All Industries",23333
"71406","Needham","MA",2003,92,"Needham","10","Total, All Industries",19053
"71553","New Ashford","MA",2003,336,"New Ashford","10","Total, All Industries",46
"71555","New Bedford","MA",2003,301,"New Bedford","10","Total, All Industries",35429
"71772","New Braintree","MA",2003,510,"New Braintree","10","Total, All Industries",133
"71778","New Marlborough","MA",2003,386,"New Marlborough","10","Total, All Industries",381
"71796","New Salem","MA",2003,5,"New Salem","10","Total, All Industries",149
"71803","Newbury","MA",2003,324,"Newbury","10","Total, All Industries",1407
"71853","Newburyport","MA",2003,321,"Newburyport","10","Total, All Industries",9677
"71998","Newton","MA",2003,91,"Newton","10","Total, All Industries",46308
"72203","Norfolk","MA",2003,367,"Norfolk","10","Total, All Industries",2839
"72263","North Adams","MA",2003,331,"North Adams","10","Total, All Industries",5796
"72362","North Andover","MA",2003,234,"North Andover","10","Total, All Industries",13611
"72491","North Attleborough","MA",2003,24,"North Attleborough","10","Total, All Industries",12640
"72627","North Brookfield","MA",2003,512,"North Brookfield","10","Total, All Industries",1182
"72665","North Reading","MA",2003,493,"North Reading","10","Total, All Industries",7078
"72757","Northampton","MA",2003,341,"Northampton","10","Total, All Industries",17545
"72917","Northborough","MA",2003,269,"Northborough","10","Total, All Industries",6571
"73022","Northbridge","MA",2003,292,"Northbridge","10","Total, All Industries",4502
"73090","Northfield","MA",2003,197,"Northfield","10","Total, All Industries",1169
"73108","Norton","MA",2003,25,"Norton","10","Total, All Industries",6093
"73200","Norwell","MA",2003,407,"Norwell","10","Total, All Industries",8345
"73303","Norwood","MA",2003,361,"Norwood","10","Total, All Industries",24767
"73468","Oak Bluffs","MA",2003,314,"Oak Bluffs","10","Total, All Industries",2010
"73520","Oakham","MA",2003,513,"Oakham","10","Total, All Industries",159
"73528","Orange","MA",2003,6,"Orange","10","Total, All Industries",2060
"73589","Orleans","MA",2003,40,"Orleans","10","Total, All Industries",4357
"73697","Otis","MA",2003,387,"Otis","10","Total, All Industries",304
"73718","Oxford","MA",2003,485,"Oxford","10","Total, All Industries",3470
"73800","Palmer","MA",2003,445,"Palmer","10","Total, All Industries",5128
"73910","Paxton","MA",2003,514,"Paxton","10","Total, All Industries",586
"73932","Peabody","MA",2003,420,"Peabody","10","Total, All Industries",25994
"74117","Pelham","MA",2003,355,"Pelham","10","Total, All Industries",134
"74127","Pembroke","MA",2003,127,"Pembroke","10","Total, All Industries",5208
"74239","Pepperell","MA",2003,174,"Pepperell","10","Total, All Industries",1452
"74299","Peru","MA",2003,388,"Peru","10","Total, All Industries",41
"74303","Petersham","MA",2003,7,"Petersham","10","Total, All Industries",109
"74313","Phillipston","MA",2003,8,"Phillipston","10","Total, All Industries",193
"74318","Pittsfield","MA",2003,371,"Pittsfield","10","Total, All Industries",26210
"74508","Plainfield","MA",2003,356,"Plainfield","10","Total, All Industries",64
"74512","Plainville","MA",2003,26,"Plainville","10","Total, All Industries",3180
"74595","Plymouth","MA",2003,128,"Plymouth","10","Total, All Industries",19940
"74768","Plympton","MA",2003,129,"Plympton","10","Total, All Industries",303
"74794","Princeton","MA",2003,175,"Princeton","10","Total, All Industries",698
"74820","Provincetown","MA",2003,42,"Provincetown","10","Total, All Industries",2538
"74902","Quincy","MA",2003,401,"Quincy","10","Total, All Industries",45835
"75080","Randolph","MA",2003,130,"Randolph","10","Total, All Industries",9633
"75206","Raynham","MA",2003,464,"Raynham","10","Total, All Industries",7627
"75329","Reading","MA",2003,494,"Reading","10","Total, All Industries",7064
"75431","Rehoboth","MA",2003,465,"Rehoboth","10","Total, All Industries",1702
"75498","Revere","MA",2003,142,"Revere","10","Total, All Industries",8784
"75618","Richmond","MA",2003,389,"Richmond","10","Total, All Industries",223
"75631","Rochester","MA",2003,315,"Rochester","10","Total, All Industries",717
"75667","Rockland","MA",2003,132,"Rockland","10","Total, All Industries",8064
"75783","Rockport","MA",2003,422,"Rockport","10","Total, All Industries",1452
"75845","Rowe","MA",2003,198,"Rowe","10","Total, All Industries",146
"75851","Rowley","MA",2003,325,"Rowley","10","Total, All Industries",2463
"75917","Royalston","MA",2003,9,"Royalston","10","Total, All Industries",150
"75927","Russell","MA",2003,446,"Russell","10","Total, All Industries",195
"75938","Rutland","MA",2003,515,"Rutland","10","Total, All Industries",1079
"75979","Salem","MA",2003,411,"Salem","10","Total, All Industries",18415
"76146","Salisbury","MA",2003,326,"Salisbury","10","Total, All Industries",2954
"76234","Sandisfield","MA",2003,390,"Sandisfield","10","Total, All Industries",130
"76242","Sandwich","MA",2003,43,"Sandwich","10","Total, All Industries",5160
"76353","Saugus","MA",2003,254,"Saugus","10","Total, All Industries",11029
"76469","Scituate","MA",2003,408,"Scituate","10","Total, All Industries",3208
"76551","Seekonk","MA",2003,466,"Seekonk","10","Total, All Industries",9231
"76666","Sharon","MA",2003,368,"Sharon","10","Total, All Industries",3832
"76756","Sheffield","MA",2003,392,"Sheffield","10","Total, All Industries",1355
"76799","Shelburne","MA",2003,199,"Shelburne","10","Total, All Industries",859
"76851","Sherborn","MA",2003,270,"Sherborn","10","Total, All Industries",588
"76890","Shirley","MA",2003,176,"Shirley","10","Total, All Industries",2000
"76927","Shrewsbury","MA",2003,516,"Shrewsbury","10","Total, All Industries",13089
"77062","Shutesbury","MA",2003,200,"Shutesbury","10","Total, All Industries",139
"77070","Somerset","MA",2003,153,"Somerset","10","Total, All Industries",4492
"77148","Somerville","MA",2003,101,"Somerville","10","Total, All Industries",21898
"77309","South Hadley","MA",2003,223,"South Hadley","10","Total, All Industries",4742
"77389","Southampton","MA",2003,357,"Southampton","10","Total, All Industries",1066
"77427","Southborough","MA",2003,272,"Southborough","10","Total, All Industries",6259
"77507","Southbridge","MA",2003,486,"Southbridge","10","Total, All Industries",5844
"77607","Southwick","MA",2003,447,"Southwick","10","Total, All Industries",2728
"77681","Spencer","MA",2003,517,"Spencer","10","Total, All Industries",3530
"77750","Springfield","MA",2003,431,"Springfield","10","Total, All Industries",77902
"77986","Sterling","MA",2003,177,"Sterling","10","Total, All Industries",2210
