"","Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"265","Pembroke town, MA",NA,"MA","Pembroke",2013,6.4625,649.5,9380.25,10029.75,NA
"266","Pepperell town, MA",NA,"MA","Pepperell",2013,6.05,392.875,6098,6490.875,NA
"267","Peru town, MA",NA,"MA","Peru",2013,5.9,28.25,450.25,478.5,NA
"268","Petersham town, MA",NA,"MA","Petersham",2013,7.0375,45.125,594.375,639.5,NA
"269","Phillipston town, MA",NA,"MA","Phillipston",2013,8.7625,78,811.875,889.875,NA
"270","Pittsfield-North Adams, MA-VT Combined NECTA",NA,"MA","Pittsfield-North Adams, MA-VT Combined NECTA",2013,7.475,4105.625,50746.75,54852.375,NA
"271","Pittsfield city, MA",NA,"MA","Pittsfield city, MA",2013,7.7,1774.375,21232,23006.375,NA
"272","Pittsfield, MA Metropolitan NECTA",NA,"MA","Pittsfield, MA Metropolitan NECTA",2013,7.2375,2755.875,35356.875,38112.75,NA
"273","Plainfield town, MA",NA,"MA","Plainfield",2013,8.9875,29,290.75,319.75,NA
"274","Plainville town, MA",NA,"MA","Plainville",2013,8.3625,414,4529.25,4943.25,NA
"275","Plymouth County, MA",NA,"MA","Plymouth County, MA",2013,7.075,18814.75,246914.625,265729.375,NA
"276","Plymouth town, MA",NA,"MA","Plymouth",2013,7.05,2137.375,28206.875,30344.25,NA
"277","Plympton town, MA",NA,"MA","Plympton",2013,7.025,116.5,1545.75,1662.25,NA
"278","Princeton town, MA",NA,"MA","Princeton",2013,6.55,123.375,1758.375,1881.75,NA
"279","Providence-Fall River-Warwick, RI-MA Metropolitan NECTA, MA part",NA,"MA","Providence-Fall River-Warwick, RI-MA Metropolitan NECTA, MA part",2013,10.225,15193,133584.375,148777.375,NA
"280","Provincetown town, MA",NA,"MA","Provincetown",2013,21.9125,488.25,1614.125,2102.375,NA
"281","Quincy city, MA",NA,"MA","Quincy city, MA",2013,6.075,3256.125,50247.625,53503.75,NA
"282","Randolph town, MA",NA,"MA","Randolph",2013,7.5,1362,16748,18110,NA
"283","Raynham town, MA",NA,"MA","Raynham",2013,6.9,534.25,7208.875,7743.125,NA
"284","Reading town, MA",NA,"MA","Reading",2013,4.95,685.25,13101.375,13786.625,NA
"285","Rehoboth town, MA",NA,"MA","Rehoboth",2013,8.325,570.625,6295.75,6866.375,NA
"286","Revere city, MA",NA,"MA","Revere city, MA",2013,7.5375,1905.375,23353.75,25259.125,NA
"287","Richmond town, MA",NA,"MA","Richmond",2013,3.6875,31.5,824.375,855.875,NA
"288","Rochester town, MA",NA,"MA","Rochester",2013,6.8875,205.75,2782.75,2988.5,NA
"289","Rockland town, MA",NA,"MA","Rockland",2013,6.8625,681.875,9253,9934.875,NA
"290","Rockport town, MA",NA,"MA","Rockport",2013,7.1875,274.875,3549.125,3824,NA
"291","Rowe town, MA",NA,"MA","Rowe",2013,4.6875,9.5,192.5,202,NA
"292","Rowley town, MA",NA,"MA","Rowley",2013,5.725,197,3235.25,3432.25,NA
"293","Royalston town, MA",NA,"MA","Royalston",2013,9.1625,55.5,547.75,603.25,NA
"294","Russell town, MA",NA,"MA","Russell",2013,8.2875,80.5,889.125,969.625,NA
"295","Rutland town, MA",NA,"MA","Rutland",2013,6.8375,299.5,4066.125,4365.625,NA
"296","Salem city, MA",NA,"MA","Salem city, MA",2013,6.7375,1621.75,22416.5,24038.25,NA
"297","Salisbury town, MA",NA,"MA","Salisbury",2013,6.975,314.75,4197,4511.75,NA
"298","Sandisfield town, MA",NA,"MA","Sandisfield",2013,5.3875,28.875,506.875,535.75,NA
"299","Sandwich town, MA",NA,"MA","Sandwich",2013,6.4375,790.75,11549.75,12340.5,NA
"300","Saugus town, MA",NA,"MA","Saugus",2013,5.9375,870,13765,14635,NA
"301","Savoy town, MA",NA,"MA","Savoy",2013,10.1375,40.25,356.625,396.875,NA
"302","Scituate town, MA",NA,"MA","Scituate",2013,5.675,550.25,9132.5,9682.75,NA
"303","Seekonk town, MA",NA,"MA","Seekonk",2013,9,682.125,6899.875,7582,NA
"304","Sharon town, MA",NA,"MA","Sharon",2013,4.9375,469.125,9024.25,9493.375,NA
"305","Sheffield town, MA",NA,"MA","Sheffield",2013,5.4,107.625,1885.125,1992.75,NA
"306","Shelburne town, MA",NA,"MA","Shelburne",2013,9.1,92.75,925.375,1018.125,NA
"307","Sherborn town, MA",NA,"MA","Sherborn",2013,4.3625,84.5,1843.25,1927.75,NA
"308","Shirley town, MA",NA,"MA","Shirley",2013,6.7,231.375,3228.375,3459.75,NA
"309","Shrewsbury town, MA",NA,"MA","Shrewsbury",2013,5.9125,1079.75,17091.375,18171.125,NA
"310","Shutesbury town, MA",NA,"MA","Shutesbury",2013,5.1875,52,964.5,1016.5,NA
"311","Somerset town, MA",NA,"MA","Somerset",2013,9.55,928.125,8787.75,9715.875,NA
"312","Somerville city, MA",NA,"MA","Somerville city, MA",2013,4.7125,2229.625,45109.875,47339.5,NA
"313","South Hadley town, MA",NA,"MA","South Hadley",2013,6.7125,626,8692.25,9318.25,NA
"314","Southampton town, MA",NA,"MA","Southampton",2013,6.1125,200.375,3087.25,3287.625,NA
"315","Southborough town, MA",NA,"MA","Southborough",2013,5.0125,251.625,4758.5,5010.125,NA
"316","Southbridge Town city, MA",NA,"MA","Southbridge",2013,9.9,782.625,7102,7884.625,NA
"317","Southwick town, MA",NA,"MA","Southwick",2013,7.35,367.125,4618.875,4986,NA
"318","Spencer town, MA",NA,"MA","Spencer",2013,7.5125,479.375,5914.5,6393.875,NA
"319","Springfield-Amherst Center-Greenfield, MA-CT Combined NECTA",NA,"MA","Springfield-Amherst Center-Greenfield, MA-CT Combined NECTA",2013,7.975,30339.75,349315.75,379655.5,NA
"320","Springfield city, MA",NA,"MA","Springfield city, MA",2013,11.1875,7239.875,57471.375,64711.25,NA
"321","Springfield, MA-CT Metropolitan NECTA",NA,"MA","Springfield, MA-CT Metropolitan NECTA",2013,8.275,27612,306247.875,333859.875,NA
"322","Springfield, MA-CT Metropolitan NECTA, MA part",NA,"MA","Springfield, MA-CT Metropolitan NECTA, MA part",2013,8.325,23793.625,261823.125,285616.75,NA
"323","Sterling town, MA",NA,"MA","Sterling",2013,5.9125,257.125,4097.5,4354.625,NA
"324","Stockbridge town, MA",NA,"MA","Stockbridge",2013,4.65,55,1128.5,1183.5,NA
"325","Stoneham town, MA",NA,"MA","Stoneham",2013,5.9125,707.375,11265,11972.375,NA
"326","Stoughton town, MA",NA,"MA","Stoughton",2013,6.55,1009,14401.875,15410.875,NA
"327","Stow town, MA",NA,"MA","Stow",2013,4.8125,179.125,3527.5,3706.625,NA
"328","Sturbridge town, MA",NA,"MA","Sturbridge",2013,6.675,339.375,4745.875,5085.25,NA
"329","Sudbury town, MA",NA,"MA","Sudbury",2013,4.7125,419.125,8441.125,8860.25,NA
"330","Suffolk County, MA",NA,"MA","Suffolk County, MA",2013,6.825,25379.125,347250.25,372629.375,NA
"331","Sunderland town, MA",NA,"MA","Sunderland",2013,5.5125,116.75,2022.25,2139,NA
"332","Sutton town, MA",NA,"MA","Sutton",2013,6.65,319.25,4483.875,4803.125,NA
"333","Swampscott town, MA",NA,"MA","Swampscott",2013,5.775,443.5,7237.625,7681.125,NA
"334","Swansea town, MA",NA,"MA","Swansea",2013,9.6375,878.5,8230.875,9109.375,NA
"335","Taunton-Norton-Raynham, MA NECTA Division",NA,"MA","Taunton-Norton-Raynham, MA NECTA Division",2013,7.2625,4523.625,57664.125,62187.75,NA
"336","Taunton city, MA",NA,"MA","Taunton city, MA",2013,7.775,2363.625,28130,30493.625,NA
"337","Templeton town, MA",NA,"MA","Templeton",2013,8.8125,340.125,3523.875,3864,NA
"338","Tewksbury town, MA",NA,"MA","Tewksbury",2013,6.325,1057,15614.375,16671.375,NA
"339","Tisbury town, MA",NA,"MA","Tisbury",2013,10.3,278,2620.5,2898.5,NA
"340","Tisbury, MA LMA",NA,"MA","Tisbury, MA LMA",2013,7.8125,858.875,11074.125,11933,NA
"341","Tolland town, MA",NA,"MA","Tolland",2013,4.525,11.625,244.625,256.25,NA
"342","Topsfield town, MA",NA,"MA","Topsfield",2013,5.35,162.5,2873.5,3036,NA
"343","Townsend town, MA",NA,"MA","Townsend",2013,6.1625,309.625,4718.375,5028,NA
"344","Truro town, MA",NA,"MA","Truro",2013,13.05,162.75,1075.75,1238.5,NA
"345","Tyngsborough town, MA",NA,"MA","Tyngsborough",2013,6.5875,425.125,6025.375,6450.5,NA
"346","Tyringham town, MA",NA,"MA","Tyringham",2013,2.2625,5.375,230.875,236.25,NA
"347","Upton town, MA",NA,"MA","Upton",2013,5.975,236,3710.25,3946.25,NA
"348","Uxbridge town, MA",NA,"MA","Uxbridge",2013,7.2875,532.5,6760.25,7292.75,NA
"349","Wakefield town, MA",NA,"MA","Wakefield",2013,5.225,735.375,13337.875,14073.25,NA
"350","Wales town, MA",NA,"MA","Wales",2013,7.55,77,944.875,1021.875,NA
"351","Walpole town, MA",NA,"MA","Walpole",2013,5.8125,750.375,12180.125,12930.5,NA
"352","Waltham city, MA",NA,"MA","Waltham city, MA",2013,5.2625,1908.375,34170.75,36079.125,NA
"353","Ware town, MA",NA,"MA","Ware",2013,8.5,431.875,4649.375,5081.25,NA
"354","Wareham town, MA",NA,"MA","Wareham",2013,7.85,1036.125,12165.125,13201.25,NA
"355","Warren town, MA",NA,"MA","Warren",2013,8.6,213,2263.25,2476.25,NA
"356","Warwick town, MA",NA,"MA","Warwick",2013,6.8,24.25,331.625,355.875,NA
"357","Washington town, MA",NA,"MA","Washington",2013,7.375,23.125,290.25,313.375,NA
"358","Watertown Town city, MA",NA,"MA","Watertown",2013,4.7,922.875,18766.875,19689.75,NA
"359","Wayland town, MA",NA,"MA","Wayland",2013,4.325,292.25,6472.625,6764.875,NA
"360","Webster town, MA",NA,"MA","Webster",2013,8.9875,746.25,7542.75,8289,NA
"361","Wellesley town, MA",NA,"MA","Wellesley",2013,4.4,605.125,13133.125,13738.25,NA
"362","Wellfleet town, MA",NA,"MA","Wellfleet",2013,10.375,178.625,1564,1742.625,NA
"363","Wendell town, MA",NA,"MA","Wendell",2013,7.4875,36.75,452.75,489.5,NA
"364","Wenham town, MA",NA,"MA","Wenham",2013,6.925,133.5,1788.5,1922,NA
"365","West Boylston town, MA",NA,"MA","West Boylston",2013,7.975,262.5,3024.5,3287,NA
"366","West Bridgewater town, MA",NA,"MA","West Bridgewater",2013,6.7625,245.5,3382.375,3627.875,NA
"367","West Brookfield town, MA",NA,"MA","West Brookfield",2013,8.7875,158.75,1646.375,1805.125,NA
"368","West Newbury town, MA",NA,"MA","West Newbury",2013,4.8125,110.375,2191.875,2302.25,NA
"369","West Springfield Town city, MA",NA,"MA","West Springfield",2013,7.775,1103,13092,14195,NA
"370","West Stockbridge town, MA",NA,"MA","West Stockbridge",2013,4.9375,38.75,748.875,787.625,NA
"371","West Tisbury town, MA",NA,"MA","West",2013,4.6375,88.75,1992.75,2081.5,NA
"372","Westborough town, MA",NA,"MA","Westborough",2013,5.6125,498.5,8385.625,8884.125,NA
"373","Westfield city, MA",NA,"MA","Westfield city, MA",2013,7.8875,1643.5,19158.25,20801.75,NA
"374","Westford town, MA",NA,"MA","Westford",2013,5.2875,640.25,11473.875,12114.125,NA
"375","Westhampton town, MA",NA,"MA","Westhampton",2013,7.4875,70.75,873.125,943.875,NA
"376","Westminster town, MA",NA,"MA","Westminster",2013,8.375,312.625,3421.25,3733.875,NA
"377","Weston town, MA",NA,"MA","Weston",2013,4.075,216.375,5067.5,5283.875,NA
"378","Westport town, MA",NA,"MA","Westport",2013,10.325,898.25,7788.375,8686.625,NA
"379","Westwood town, MA",NA,"MA","Westwood",2013,4.625,329.625,6776.75,7106.375,NA
"380","Weymouth Town city, MA",NA,"MA","Weymouth",2013,6.575,1990.5,28287.375,30277.875,NA
"381","Whately town, MA",NA,"MA","Whately",2013,4.6375,40.75,838.25,879,NA
"382","Whitman town, MA",NA,"MA","Whitman",2013,7.025,585.875,7737.375,8323.25,NA
"383","Wilbraham town, MA",NA,"MA","Wilbraham",2013,6.2125,418,6309.75,6727.75,NA
"384","Williamsburg town, MA",NA,"MA","Williamsburg",2013,6.675,97.75,1367.25,1465,NA
"385","Williamstown town, MA",NA,"MA","Williamstown",2013,6.0125,220.375,3436.75,3657.125,NA
"386","Wilmington town, MA",NA,"MA","Wilmington",2013,5.7125,734.25,12057.75,12792,NA
"387","Winchendon town, MA",NA,"MA","Winchendon",2013,9.15,444.375,4411.875,4856.25,NA
"388","Winchester town, MA",NA,"MA","Winchester",2013,4.4625,493.125,10533.875,11027,NA
"389","Windsor town, MA",NA,"MA","Windsor",2013,6.3125,32.75,482.125,514.875,NA
"390","Winthrop Town city, MA",NA,"MA","Winthrop",2013,6.0625,596.875,9220.125,9817,NA
"391","Woburn city, MA",NA,"MA","Woburn city, MA",2013,5.7375,1266.625,20840.625,22107.25,NA
"392","Worcester city, MA",NA,"MA","Worcester city, MA",2013,8.5875,7262.5,77378.875,84641.375,NA
"393","Worcester County, MA",NA,"MA","Worcester County, MA",2013,7.775,31271,370865.125,402136.125,NA
"394","Worcester, MA-CT Metropolitan NECTA",NA,"MA","Worcester, MA-CT Metropolitan NECTA",2013,7.5875,22239.75,270691.75,292931.5,NA
"395","Worcester, MA-CT Metropolitan NECTA, MA part",NA,"MA","Worcester, MA-CT Metropolitan NECTA, MA part",2013,7.575,21063.125,256833,277896.125,NA
"396","Worthington town, MA",NA,"MA","Worthington",2013,6.925,41.25,553.375,594.625,NA
"397","Wrentham town, MA",NA,"MA","Wrentham",2013,6.3,367.875,5466,5833.875,NA
"398","Yarmouth town, MA",NA,"MA","Yarmouth",2013,7.85,971.5,11573,12544.5,NA
