"","Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"60","Cambridge city, MA",NA,"MA","Cambridge city, MA",2013,4.2625,2607.75,58466.5,61074.25,NA
"61","Canton town, MA",NA,"MA","Canton",2013,5.75,669.25,10973.875,11643.125,NA
"62","Carlisle town, MA",NA,"MA","Carlisle",2013,4.6375,119,2446.25,2565.25,NA
"63","Carver town, MA",NA,"MA","Carver",2013,7.2,452.75,5829.625,6282.375,NA
"64","Charlemont town, MA",NA,"MA","Charlemont",2013,7.55,54.75,668.625,723.375,NA
"65","Charlemont, MA Adjacent LMA",NA,"MA","Charlemont, MA Adjacent LMA",2013,6.75,73.875,1019.125,1093,NA
"66","Charlton town, MA",NA,"MA","Charlton",2013,7.2625,506.75,6460.25,6967,NA
"67","Chatham town, MA",NA,"MA","Chatham",2013,7.3875,236.875,3027.875,3264.75,NA
"68","Chelmsford town, MA",NA,"MA","Chelmsford",2013,5.5875,1068.375,18076.375,19144.75,NA
"69","Chelsea city, MA",NA,"MA","Chelsea city, MA",2013,8.9,1301.625,13302,14603.625,NA
"70","Cheshire town, MA",NA,"MA","Cheshire",2013,7.1125,127.875,1675.75,1803.625,NA
"71","Chester town, MA",NA,"MA","Chester",2013,9.0125,64.625,652.125,716.75,NA
"72","Chesterfield town, MA",NA,"MA","Chesterfield",2013,5.65,39,653.125,692.125,NA
"73","Chicopee city, MA",NA,"MA","Chicopee city, MA",2013,8.6,2315.375,24581.875,26897.25,NA
"74","Chilmark town, MA",NA,"MA","Chilmark",2013,4.1625,22.25,571.625,593.875,NA
"75","Clarksburg town, MA",NA,"MA","Clarksburg",2013,7.325,68.375,865.625,934,NA
"76","Clinton town, MA",NA,"MA","Clinton",2013,9.0625,661.5,6628.375,7289.875,NA
"77","Cohasset town, MA",NA,"MA","Cohasset",2013,4.8375,184.625,3646.625,3831.25,NA
"78","Colrain town, MA",NA,"MA","Colrain",2013,7.65,68.125,824,892.125,NA
"79","Concord town, MA",NA,"MA","Concord",2013,4.675,382.125,7787.25,8169.375,NA
"80","Conway town, MA",NA,"MA","Conway",2013,4.3375,47.625,1051.875,1099.5,NA
"81","Cummington town, MA",NA,"MA","Cummington",2013,8.925,40,406.375,446.375,NA
"82","Dalton town, MA",NA,"MA","Dalton",2013,6.6125,245,3465.625,3710.625,NA
"83","Danvers town, MA",NA,"MA","Danvers",2013,5.6625,827,13765,14592,NA
"84","Dartmouth town, MA",NA,"MA","Dartmouth",2013,8.5125,1462,15671.25,17133.25,NA
"85","Dedham town, MA",NA,"MA","Dedham",2013,6,792.25,12396.875,13189.125,NA
"86","Deerfield town, MA",NA,"MA","Deerfield",2013,6.1875,179.25,2714.5,2893.75,NA
"87","Dennis town, MA",NA,"MA","Dennis",2013,7.8875,608.75,7200.25,7809,NA
"88","Dighton town, MA",NA,"MA","Dighton",2013,6.4375,258.125,3745.75,4003.875,NA
"89","Douglas town, MA",NA,"MA","Douglas",2013,6.275,297.875,4453.375,4751.25,NA
"90","Dover town, MA",NA,"MA","Dover",2013,4.4,125.5,2718.75,2844.25,NA
"91","Dracut town, MA",NA,"MA","Dracut",2013,6.7625,1138.625,15711.375,16850,NA
"92","Dudley town, MA",NA,"MA","Dudley",2013,7.7,473.5,5676,6149.5,NA
"93","Dukes County, MA",NA,"MA","Dukes County, MA",2013,7.8,861.125,11103.5,11964.625,NA
"94","Dunstable town, MA",NA,"MA","Dunstable",2013,4.9625,91.75,1756.625,1848.375,NA
"95","Duxbury town, MA",NA,"MA","Duxbury",2013,5.55,422.25,7194.125,7616.375,NA
"96","East Bridgewater town, MA",NA,"MA","East Bridgewater",2013,7.2375,548.25,7024.75,7573,NA
"97","East Brookfield town, MA",NA,"MA","East Brookfield",2013,7.5625,91.875,1125.125,1217,NA
"98","East Longmeadow town, MA",NA,"MA","East Longmeadow",2013,6.275,489.5,7301.625,7791.125,NA
"99","Eastham town, MA",NA,"MA","Eastham",2013,9.2125,244.125,2441.625,2685.75,NA
"100","Easthampton Town city, MA",NA,"MA","Easthampton",2013,6.825,619.5,8456.375,9075.875,NA
"101","Easton town, MA",NA,"MA","Easton",2013,6.0125,801.75,12526.25,13328,NA
"102","Edgartown town, MA",NA,"MA","Edgartown",2013,8.6625,237.375,2752.125,2989.5,NA
"103","Egremont town, MA",NA,"MA","Egremont",2013,4.0875,31.375,734.375,765.75,NA
"104","Erving town, MA",NA,"MA","Erving",2013,6.3125,60.875,902.375,963.25,NA
"105","Essex County, MA",NA,"MA","Essex County, MA",2013,7.2625,28130.375,359448.125,387578.5,NA
"106","Essex town, MA",NA,"MA","Essex",2013,5.875,115,1842.25,1957.25,NA
"107","Everett city, MA",NA,"MA","Everett city, MA",2013,7.1625,1547.375,20050.75,21598.125,NA
"108","Fairhaven town, MA",NA,"MA","Fairhaven",2013,9.425,795.875,7643.625,8439.5,NA
"109","Fall River city, MA",NA,"MA","Fall River city, MA",2013,13.3375,5792.625,37652.5,43445.125,NA
"110","Falmouth town, MA",NA,"MA","Falmouth",2013,6.625,1177,16768.875,17945.875,NA
