"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct"
"Somerset","MA",2003,4492,607,355,141882855,757,1.08423847453536,108.423847453536,1.07250755287009,107.250755287009,1.01747311827957,101.747311827957
"Somerset","MA",2004,4618,652,386,156476228,792,1.11465121892349,111.465121892349,1.16616314199396,116.616314199396,1.06451612903226,106.451612903226
"Somerset","MA",2005,4606,659,393,157769128,775,1.111754767077,111.1754767077,1.18731117824773,118.731117824773,1.04166666666667,104.166666666667
"Somerset","MA",2006,4451,701,396,162296916,798,1.07434226405986,107.434226405986,1.1963746223565,119.63746223565,1.07258064516129,107.258064516129
"Somerset","MA",2007,4608,751,404,179977052,832,1.11223750905141,111.223750905141,1.22054380664653,122.054380664653,1.11827956989247,111.827956989247
"Somerset","MA",2008,4462,792,391,183746025,845,1.07699734491914,107.699734491914,1.18126888217523,118.126888217523,1.13575268817204,113.575268817204
"Somerset","MA",2009,4420,735,393,168889221,787,1.06685976345643,106.685976345643,1.18731117824773,118.731117824773,1.05779569892473,105.779569892473
"Somerset","MA",2010,4629,747,416,179737607,787,1.11730629978277,111.730629978277,1.25679758308157,125.679758308157,1.05779569892473,105.779569892473
"Somerset","MA",2011,4676,741,407,180236234,756,1.12865073618151,112.865073618151,1.22960725075529,122.960725075529,1.01612903225806,101.612903225806
"Somerset","MA",2012,4681,724,396,176201736,724,1.12985759111755,112.985759111755,1.1963746223565,119.63746223565,0.973118279569892,97.3118279569892
"Somerville","MA",2001,22948,652,1300,777582304,845,1,100,1,100,1,100
"Somerville","MA",2002,22098,684,1354,786341110,873,0.962959735053164,96.2959735053164,1.04153846153846,104.153846153846,1.03313609467456,103.313609467456
"Somerville","MA",2003,21898,703,1392,800819962,877,0.954244378595084,95.4244378595084,1.07076923076923,107.076923076923,1.03786982248521,103.786982248521
"Somerville","MA",2004,21411,719,1470,800987646,874,0.933022485619662,93.3022485619662,1.13076923076923,113.076923076923,1.03431952662722,103.431952662722
"Somerville","MA",2005,21038,758,1433,828988607,891,0.916768345825344,91.6768345825344,1.10230769230769,110.230769230769,1.05443786982249,105.443786982249
"Somerville","MA",2006,21102,788,1454,864814274,897,0.91955725989193,91.955725989193,1.11846153846154,111.846153846154,1.06153846153846,106.153846153846
"Somerville","MA",2007,21451,837,1485,934015665,927,0.934765556911278,93.4765556911278,1.14230769230769,114.230769230769,1.09704142011834,109.704142011834
"Somerville","MA",2008,21856,844,1498,958699021,900,0.952414153738888,95.2414153738888,1.15230769230769,115.230769230769,1.06508875739645,106.508875739645
"Somerville","MA",2009,21082,850,1512,931447870,910,0.918685724246122,91.8685724246122,1.16307692307692,116.307692307692,1.07692307692308,107.692307692308
"Somerville","MA",2010,21258,789,1573,872537691,831,0.926355237929231,92.6355237929231,1.21,121,0.983431952662722,98.3431952662722
"Somerville","MA",2011,22402,801,1646,932994616,818,0.976207076869444,97.6207076869444,1.26615384615385,126.615384615385,0.968047337278107,96.8047337278107
"Somerville","MA",2012,23031,845,1577,1011644703,845,1.0036168729301,100.36168729301,1.21307692307692,121.307692307692,1,100
"South Hadley","MA",2001,4897,636,299,162021104,825,1,100,1,100,1,100
"South Hadley","MA",2002,4796,657,322,163741162,838,0.979375127629161,97.9375127629161,1.07692307692308,107.692307692308,1.01575757575758,101.575757575758
"South Hadley","MA",2003,4742,643,321,158645977,802,0.968347968143761,96.8347968143761,1.07357859531773,107.357859531773,0.972121212121212,97.2121212121212
"South Hadley","MA",2004,4879,649,334,164708676,789,0.996324280171534,99.6324280171534,1.11705685618729,111.705685618729,0.956363636363636,95.6363636363636
"South Hadley","MA",2005,4777,657,314,163296425,772,0.975495201143557,97.5495201143557,1.05016722408027,105.016722408027,0.935757575757576,93.5757575757576
"South Hadley","MA",2006,4661,694,314,168091816,790,0.951807228915663,95.1807228915663,1.05016722408027,105.016722408027,0.957575757575758,95.7575757575758
"South Hadley","MA",2007,4578,723,308,172127456,801,0.93485807637329,93.485807637329,1.03010033444816,103.010033444816,0.970909090909091,97.0909090909091
"South Hadley","MA",2008,4582,748,323,178146553,798,0.935674903001838,93.5674903001838,1.08026755852843,108.026755852843,0.967272727272727,96.7272727272727
"South Hadley","MA",2009,4401,753,327,172356714,806,0.898713498060037,89.8713498060037,1.09364548494983,109.364548494983,0.976969696969697,97.6969696969697
