"","Municipal","State","Year","Region","Industry_Title","Average_Monthly_Employment"
"102","Franklin","MA",2001,"Franklin","Total, All Industries",16096
"103","Freetown","MA",2001,"Freetown","Total, All Industries",2137
"104","Gardner","MA",2001,"Gardner","Total, All Industries",8463
"105","Georgetown","MA",2001,"Georgetown","Total, All Industries",2435
"106","Gill","MA",2001,"Gill","Total, All Industries",198
"107","Gloucester","MA",2001,"Gloucester","Total, All Industries",11701
"108","Goshen","MA",2001,"Goshen","Total, All Industries",90
"109","Gosnold","MA",2001,"Gosnold","Total, All Industries",50
"110","Grafton","MA",2001,"Grafton","Total, All Industries",4684
"111","Granby","MA",2001,"Granby","Total, All Industries",849
"112","Granville","MA",2001,"Granville","Total, All Industries",164
"113","Great Barrington","MA",2001,"Great Barrington","Total, All Industries",5076
"114","Greenfield","MA",2001,"Greenfield","Total, All Industries",10510
"115","Groton","MA",2001,"Groton","Total, All Industries",2958
"116","Groveland","MA",2001,"Groveland","Total, All Industries",1122
"117","Hadley","MA",2001,"Hadley","Total, All Industries",4333
"118","Halifax","MA",2001,"Halifax","Total, All Industries",1113
"119","Hamilton","MA",2001,"Hamilton","Total, All Industries",1444
"120","Hampden","MA",2001,"Hampden","Total, All Industries",727
"121","Hanover","MA",2001,"Hanover","Total, All Industries",7352
"122","Hanson","MA",2001,"Hanson","Total, All Industries",1821
"123","Hardwick","MA",2001,"Hardwick","Total, All Industries",317
"124","Harvard","MA",2001,"Harvard","Total, All Industries",963
"125","Harwich","MA",2001,"Harwich","Total, All Industries",3373
"126","Hatfield","MA",2001,"Hatfield","Total, All Industries",2653
"127","Haverhill","MA",2001,"Haverhill","Total, All Industries",18960
"128","Hawley","MA",2001,"Hawley","Total, All Industries",12
"129","Heath","MA",2001,"Heath","Total, All Industries",81
"130","Hingham","MA",2001,"Hingham","Total, All Industries",11339
"131","Hinsdale","MA",2001,"Hinsdale","Total, All Industries",208
"132","Holbrook","MA",2001,"Holbrook","Total, All Industries",2876
"133","Holden","MA",2001,"Holden","Total, All Industries",3544
"134","Holland","MA",2001,"Holland","Total, All Industries",127
"135","Holliston","MA",2001,"Holliston","Total, All Industries",5247
"136","Holyoke","MA",2001,"Holyoke","Total, All Industries",24045
"137","Hopedale","MA",2001,"Hopedale","Total, All Industries",1687
"138","Hopkinton","MA",2001,"Hopkinton","Total, All Industries",8731
"139","Hubbardston","MA",2001,"Hubbardston","Total, All Industries",632
"140","Hudson","MA",2001,"Hudson","Total, All Industries",10702
"141","Hull","MA",2001,"Hull","Total, All Industries",1315
"142","Huntington","MA",2001,"Huntington","Total, All Industries",419
"143","Ipswich","MA",2001,"Ipswich","Total, All Industries",3912
"144","Kingston","MA",2001,"Kingston","Total, All Industries",5118
"145","Lakeville","MA",2001,"Lakeville","Total, All Industries",3061
"146","Lancaster","MA",2001,"Lancaster","Total, All Industries",2395
"147","Lanesborough","MA",2001,"Lanesborough","Total, All Industries",1703
"148","Lawrence","MA",2001,"Lawrence","Total, All Industries",23942
"149","Lee","MA",2001,"Lee","Total, All Industries",3677
"150","Leicester","MA",2001,"Leicester","Total, All Industries",2118
"151","Lenox","MA",2001,"Lenox","Total, All Industries",3718
"152","Leominster","MA",2001,"Leominster","Total, All Industries",18685
"153","Leverett","MA",2001,"Leverett","Total, All Industries",181
"154","Lexington","MA",2001,"Lexington","Total, All Industries",21426
"155","Lincoln","MA",2001,"Lincoln","Total, All Industries",2051
"156","Littleton","MA",2001,"Littleton","Total, All Industries",5766
