"","Municipal","Year","Average_Monthly_Employment"
"4156","Worthington",2012,198
"4157","Wrentham",2001,5246
"4158","Wrentham",2002,5181
"4159","Wrentham",2003,5443
"4160","Wrentham",2004,5819
"4161","Wrentham",2005,5915
"4162","Wrentham",2006,6164
"4163","Wrentham",2007,6337
"4164","Wrentham",2008,6424
"4165","Wrentham",2009,5993
"4166","Wrentham",2010,6177
"4167","Wrentham",2011,6454
"4168","Wrentham",2012,6681
"4169","Yarmouth",2001,8877
"4170","Yarmouth",2002,9090
"4171","Yarmouth",2003,9250
"4172","Yarmouth",2004,9154
"4173","Yarmouth",2005,9068
"4174","Yarmouth",2006,9090
"4175","Yarmouth",2007,9088
"4176","Yarmouth",2008,8926
"4177","Yarmouth",2009,8456
"4178","Yarmouth",2010,8436
"4179","Yarmouth",2011,8210
"4180","Yarmouth",2012,8260
