"","Org.Name","Org.Code","Address.1","Address.2","Town","Zip","query","lon","lat","loc"
"963","Marlborough: Marlborough High","01700505","431 Bolton Street","","Marlborough","01752","431 Bolton Street, , Marlborough, 01752, Massachusetts",-71.5530226,42.3623828,"-71.5530226 42.3623828"
"964","Marlborough: Richer","01700025","80 Foley Road","","Marlborough","01752","80 Foley Road, , Marlborough, 01752, Massachusetts",-71.5786961,42.3383888,"-71.5786961 42.3383888"
"965","Marshfield: Daniel Webster","01710015","1456 Ocean Street","","Marshfield","02050","1456 Ocean Street, , Marshfield, 02050, Massachusetts",-70.686731,42.0955442,"-70.686731 42.0955442"
"966","Marshfield: Eames Way School","01710005","165 Eames Way","","Marshfield","02050","165 Eames Way, , Marshfield, 02050, Massachusetts",-70.7286378,42.1320894,"-70.7286378 42.1320894"
"967","Marshfield: Furnace Brook Middle","01710310","500 Furnace Street","","Marshfield","02050","500 Furnace Street, , Marshfield, 02050, Massachusetts",-70.7380439,42.1067923,"-70.7380439 42.1067923"
"968","Marshfield: Gov Edward Winslow","01710020","60 Regis Rd","","Marshfield","02050","60 Regis Rd, , Marshfield, 02050, Massachusetts",-70.6690634,42.0712481,"-70.6690634 42.0712481"
"969","Marshfield: Marshfield High","01710505","167 Forest Street","","Marshfield","02050","167 Forest Street, , Marshfield, 02050, Massachusetts",-70.7372924,42.1103029,"-70.7372924 42.1103029"
"970","Marshfield: Martinson Elementary","01710025","275 Forest Street","","Marshfield","02050","275 Forest Street, , Marshfield, 02050, Massachusetts",-70.7397086,42.1121337,"-70.7397086 42.1121337"
"971","Marshfield: South River","01710010","59 Hatch Street","","Marshfield","02050","59 Hatch Street, , Marshfield, 02050, Massachusetts",-70.7141011,42.0947042,"-70.7141011 42.0947042"
"972","Martha's Vineyard: Martha's Vineyard Regional High","07000505","Box 1385","","Oak Bluffs","02557","Box 1385, , Oak Bluffs, 02557, Massachusetts",-70.572137,41.420162,"-70.572137 41.420162"
"973","Martha's Vineyard Charter (District): Martha's Vineyard Charter School","04660550","PO Box 1150","","West Tisbury","02575","PO Box 1150, , West Tisbury, 02575, Massachusetts",-70.6474739,41.4223551,"-70.6474739 41.4223551"
"974","Martin Luther King Jr. Charter School of Excellence (District): Martin Luther King Jr. Charter School of Excellence","04920005","285 Dorset Street","","Springfield","01108","285 Dorset Street, , Springfield, 01108, Massachusetts",-72.5359027,42.0839081,"-72.5359027 42.0839081"
"975","Masconomet: Masconomet Regional High School","07050505","20 Endicott Rd","","Boxford","01921","20 Endicott Rd, , Boxford, 01921, Massachusetts",-70.9764462,42.6278179,"-70.9764462 42.6278179"
"976","Masconomet: Masconomet Regional Middle School","07050405","20 Endicott Rd","","Boxford","01921","20 Endicott Rd, , Boxford, 01921, Massachusetts",-70.9764462,42.6278179,"-70.9764462 42.6278179"
"977","Mashpee: Kenneth Coombs School","01720005","152 Old Barnstable Road","","Mashpee","02649","152 Old Barnstable Road, , Mashpee, 02649, Massachusetts",-70.4930766,41.6202095,"-70.4930766 41.6202095"
"978","Mashpee: Mashpee High","01720505","500 Old Barnstable Road","","Mashpee","02649","500 Old Barnstable Road, , Mashpee, 02649, Massachusetts",-70.5067921,41.6148556,"-70.5067921 41.6148556"
"979","Mashpee: Mashpee Middle School","01720020","500 Old Barnstable Road","","Mashpee","02649","500 Old Barnstable Road, , Mashpee, 02649, Massachusetts",-70.5067921,41.6148556,"-70.5067921 41.6148556"
"980","Mashpee: Quashnet School","01720035","150 Old Barnstable Road","","Mashpee","02649","150 Old Barnstable Road, , Mashpee, 02649, Massachusetts",-70.4940355,41.6234687,"-70.4940355 41.6234687"
"981","Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District: Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School","39010900","278 Main St.","Ste. 205","Greenfield","01301","278 Main St., Ste. 205, Greenfield, 01301, Massachusetts",-72.6012361,42.5882673,"-72.6012361 42.5882673"
"982","Mattapoisett: Center","01730005","17 Barstow Street","","Mattapoisett","02739","17 Barstow Street, , Mattapoisett, 02739, Massachusetts",-70.8130448,41.65995,"-70.8130448 41.65995"
"983","Mattapoisett: Old Hammondtown","01730010","20 Shaw Street","","Mattapoisett","02739","20 Shaw Street, , Mattapoisett, 02739, Massachusetts",-70.8320492,41.6596385,"-70.8320492 41.6596385"
"984","Maynard: Fowler School","01740305","3 Tiger Drive","","Maynard","01754","3 Tiger Drive, , Maynard, 01754, Massachusetts",-71.4566352,42.4220045,"-71.4566352 42.4220045"
"985","Maynard: Green Meadow","01740010","5 Tiger Drive","","Maynard","01754","5 Tiger Drive, , Maynard, 01754, Massachusetts",-71.4582786,42.423659,"-71.4582786 42.423659"
"986","Maynard: Maynard High","01740505","1 Tiger Drive","","Maynard","01754","1 Tiger Drive, , Maynard, 01754, Massachusetts",-71.4526534,42.4226962,"-71.4526534 42.4226962"
"987","Medfield: Dale Street","01750005","45 Adams Street","","Medfield","02052","45 Adams Street, , Medfield, 02052, Massachusetts",-71.311418,42.1922099,"-71.311418 42.1922099"
"988","Medfield: Medfield Senior High","01750505","88R South Street","","Medfield","02052","88R South Street, , Medfield, 02052, Massachusetts",-71.2961819,42.1856406,"-71.2961819 42.1856406"
"989","Medfield: Memorial School","01750003","59 Adams Street","","Medfield","02052","59 Adams Street, , Medfield, 02052, Massachusetts",-71.3124449,42.1944375,"-71.3124449 42.1944375"
"990","Medfield: Ralph Wheelock School","01750007","17 Elm Street","","Medfield","02052","17 Elm Street, , Medfield, 02052, Massachusetts",-71.2901678,42.1746819,"-71.2901678 42.1746819"
"991","Medfield: Thomas Blake Middle","01750305","24 Pound Street","","Medfield","02052","24 Pound Street, , Medfield, 02052, Massachusetts",-71.295116,42.1863641,"-71.295116 42.1863641"
"992","Medford: Brooks School","01760130","388 High Street","","Medford","02155","388 High Street, , Medford, 02155, Massachusetts",-71.1281428,42.4210634,"-71.1281428 42.4210634"
"993","Medford: Christopher Columbus","01760140","37 Hicks Avenue","","Medford","02155","37 Hicks Avenue, , Medford, 02155, Massachusetts",-71.1019159,42.4014612,"-71.1019159 42.4014612"
"994","Medford: Curtis-Tufts","01760510","437 Main Street","","Medford","02155","437 Main Street, , Medford, 02155, Massachusetts",-71.1065196,42.4022057,"-71.1065196 42.4022057"
"995","Medford: John J McGlynn Elementary School","01760068","3002 Mystic Valley Pkwy","","Medford","02155","3002 Mystic Valley Pkwy, , Medford, 02155, Massachusetts",-71.0978958,42.4089868,"-71.0978958 42.4089868"
"996","Medford: John J. McGlynn Middle School","01760320","3004 Mystic Valley Parkway","","Medford","02155","3004 Mystic Valley Parkway, , Medford, 02155, Massachusetts",-71.1078975,42.4158499,"-71.1078975 42.4158499"
"997","Medford: Madeleine Dugger Andrews","01760315","3000 Mystic Valley Pkwy","","Medford","02155","3000 Mystic Valley Pkwy, , Medford, 02155, Massachusetts",-71.0983136,42.411943,"-71.0983136 42.411943"
"998","Medford: Medford High","01760505","489 Winthrop Street","","Medford","02155","489 Winthrop Street, , Medford, 02155, Massachusetts",-71.1252183,42.4304019,"-71.1252183 42.4304019"
"999","Medford: Medford Vocational Technical High","01760605","489 Winthrop Street","","Medford","02155","489 Winthrop Street, , Medford, 02155, Massachusetts",-71.1252183,42.4304019,"-71.1252183 42.4304019"
"1000","Medford: Milton Fuller Roberts","01760150","35 Court Street","","Medford","02155","35 Court Street, , Medford, 02155, Massachusetts",-71.0993041,42.4217831,"-71.0993041 42.4217831"
