"","school","org.code","lon","lat"
"93","Pakachoag School Auburn MA","00170015",-71.81161,42.230413
"94","Avon Middle High School School Avon MA","00180510",-71.039677,42.119992
"95","Ralph D Butler School Avon MA","00180010",-71.03872,42.13131
"96","Ayer Shirley Regional High School School Ayer MA","06160505",-71.592298,42.559562
"97","Ayer Shirley Regional Middle School School Shirley MA","06160305",-71.592298,42.559562
"98","Lura A. White Elementary School School Shirley MA","06160001",-71.657395,42.539825
"99","Page Hilltop School School Ayer MA","06160002",-71.583576,42.556402
"100","Barnstable Community Horace Mann Charter Public School School Barnstable MA","04270010",-70.323314,41.702206
"101","Barnstable High School Barnstable MA","00200505",-70.282366,41.65347
"102","Barnstable Intermediate School School Barnstable MA","00200315",-70.282366,41.65347
"103","Barnstable United Elementary School School Barnstable MA","00200050",-70.282366,41.65347
"104","Centerville Elementary School Barnstable MA","00200010",-70.327038,41.638463
"105","Hyannis West Elementary School Barnstable MA","00200025",-70.303608,41.693436
"106","West Barnstable Elementary School Barnstable MA","00200005",-72.137321,42.237116
"107","West Villages Elementary School School Barnstable MA","00200045",-72.753903,42.12222
"108","Baystate Academy Charter Public School School Springfield MA","35020405",-72.632117,42.199625
"109","Bedford High School Bedford MA","00230505",-71.275019,42.493369
"110","John Glenn Middle School Bedford MA","00230305",-71.280858,42.498199
"111","Lt Elezer Davis School Bedford MA","00230010",-71.291249,42.492651
"112","Lt Job Lane School School Bedford MA","00230012",-71.280529,42.492453
"113","Belchertown High School Belchertown MA","00240505",-72.36771,42.182262
"114","Chestnut Hill Community School School Belchertown MA","00240006",-71.162678,42.333396
"115","Cold Spring School Belchertown MA","00240005",-72.367573,42.254852
"116","Jabish Middle School School Belchertown MA","00240025",-72.400489,42.277231
"117","Swift River Elementary School Belchertown MA","00240018",-72.858927,42.446284
"118","Bellingham Early Childhood Center School Bellingham MA","00250003",-72.008224,42.067091
"119","Bellingham High School School Bellingham MA","00250505",-71.47451,42.08676
"120","Bellingham Memorial Middle School School Bellingham MA","00250315",-71.47451,42.08676
"121","Clara Macy Elementary School Bellingham MA","00250009",-71.47451,42.08676
"122","Primavera Junior/Senior High School School Bellingham MA","00250510",-71.47451,42.08676
"123","South Elementary School Bellingham MA","00250020",-71.47451,42.08676
"124","Stall Brook School Bellingham MA","00250025",-71.283313,41.939569
"125","Belmont High School Belmont MA","00260505",-71.192556,42.384634
"126","Daniel Butler School Belmont MA","00260015",-71.174371,42.392647
"127","Mary Lee Burbank School Belmont MA","00260010",-71.15747,42.37589
