Municipal,County,State,Region,Year,Five_Year_Average,Median_Annual_Household_Income,Margin_Error_Median
NA,NA County,NA,United States,2006-2010,2008,51914,89
NA,NA County,NA,United States,2007-2011,2009,52762,99
NA,NA County,NA,United States,2008-2012,2010,53046,85
NA,NA County,NA,United States,2009-2013,2011,53046,89
NA,NA County,NA,United States,2010-2014,2012,53482,95
NA,NA County,NA,United States,2011-2015,2013,53889,110
NA,NA County,NA,United States,2012-2016,2014,55322,120
NA,NA County,NA,United States,2013-2017,2015,57652,138
NA,NA County,NA,United States,2014-2018,2016,60293,140
NA,NA County,MA,MA,2006-2010,2008,64509,344
NA,NA County,MA,MA,2007-2011,2009,65981,328
NA,NA County,MA,MA,2008-2012,2010,66658,306
NA,NA County,MA,MA,2009-2013,2011,66866,318
NA,NA County,MA,MA,2010-2014,2012,67846,387
NA,NA County,MA,MA,2011-2015,2013,68563,384
NA,NA County,MA,MA,2012-2016,2014,70954,343
NA,NA County,MA,MA,2013-2017,2015,74167,380
NA,NA County,MA,MA,2014-2018,2016,77378,425
NA,Barnstable County,MA,Barnstable County,2006-2010,2008,60317,1168
NA,Barnstable County,MA,Barnstable County,2007-2011,2009,60525,1544
NA,Barnstable County,MA,Barnstable County,2009-2013,2011,60526,1348
NA,Barnstable County,MA,Barnstable County,2010-2014,2012,61597,1142
NA,Barnstable County,MA,Barnstable County,2012-2016,2014,65382,1119
NA,Barnstable County,MA,Barnstable County,2011-2015,2013,63251,1533
NA,Barnstable County,MA,Barnstable County,2014-2018,2016,70621,1245
NA,Barnstable County,MA,Barnstable County,2013-2017,2015,68048,1279
NA,Barnstable County,MA,Barnstable County,2008-2012,2010,60424,1478
NA,Berkshire County,MA,Berkshire County,2013-2017,2015,55190,1350
NA,Berkshire County,MA,Berkshire County,2012-2016,2014,52253,1386
NA,Berkshire County,MA,Berkshire County,2014-2018,2016,56674,1559
NA,Berkshire County,MA,Berkshire County,2007-2011,2009,48705,1494
NA,Berkshire County,MA,Berkshire County,2009-2013,2011,48450,1647
NA,Berkshire County,MA,Berkshire County,2006-2010,2008,48907,1429
NA,Berkshire County,MA,Berkshire County,2011-2015,2013,49956,1524
NA,Berkshire County,MA,Berkshire County,2010-2014,2012,49737,1509
NA,Berkshire County,MA,Berkshire County,2008-2012,2010,47513,1532
NA,Bristol County,MA,Bristol County,2014-2018,2016,66157,880
NA,Bristol County,MA,Bristol County,2011-2015,2013,56842,935
NA,Bristol County,MA,Bristol County,2013-2017,2015,62514,883
NA,Bristol County,MA,Bristol County,2012-2016,2014,59343,1234
NA,Bristol County,MA,Bristol County,2009-2013,2011,55298,906
NA,Bristol County,MA,Bristol County,2008-2012,2010,55995,928
NA,Bristol County,MA,Bristol County,2010-2014,2012,55957,1007
NA,Bristol County,MA,Bristol County,2007-2011,2009,55813,882
NA,Bristol County,MA,Bristol County,2006-2010,2008,54955,849
NA,Dukes County,MA,Dukes County,2014-2018,2016,71224,12123
NA,Dukes County,MA,Dukes County,2011-2015,2013,64222,8996
NA,Dukes County,MA,Dukes County,2012-2016,2014,63534,10331
NA,Dukes County,MA,Dukes County,2008-2012,2010,65896,5828
NA,Dukes County,MA,Dukes County,2010-2014,2012,65518,6121
NA,Dukes County,MA,Dukes County,2006-2010,2008,62407,8087
NA,Dukes County,MA,Dukes County,2013-2017,2015,67535,8612
NA,Dukes County,MA,Dukes County,2007-2011,2009,69760,9374
NA,Dukes County,MA,Dukes County,2009-2013,2011,66288,4857
NA,Essex County,MA,Essex County,2008-2012,2010,66918,856
NA,Essex County,MA,Essex County,2011-2015,2013,69068,1020
NA,Essex County,MA,Essex County,2012-2016,2014,70886,792
NA,Essex County,MA,Essex County,2014-2018,2016,75878,1022
NA,Essex County,MA,Essex County,2006-2010,2008,64153,773
NA,Essex County,MA,Essex County,2007-2011,2009,65785,866
NA,Essex County,MA,Essex County,2010-2014,2012,68776,865
NA,Essex County,MA,Essex County,2013-2017,2015,73533,773
NA,Essex County,MA,Essex County,2009-2013,2011,67311,895
NA,Franklin County,MA,Franklin County,2011-2015,2013,55221,1954
NA,Franklin County,MA,Franklin County,2014-2018,2016,59522,1827
NA,Franklin County,MA,Franklin County,2012-2016,2014,56347,1704
NA,Franklin County,MA,Franklin County,2009-2013,2011,53663,1333
NA,Franklin County,MA,Franklin County,2010-2014,2012,54072,1378
NA,Franklin County,MA,Franklin County,2008-2012,2010,53298,1687
NA,Franklin County,MA,Franklin County,2013-2017,2015,57307,2221
NA,Franklin County,MA,Franklin County,2007-2011,2009,52246,1241
NA,Franklin County,MA,Franklin County,2006-2010,2008,52002,1718
NA,Hampden County,MA,Hampden County,2014-2018,2016,53403,860
NA,Hampden County,MA,Hampden County,2008-2012,2010,49729,934
NA,Hampden County,MA,Hampden County,2011-2015,2013,50461,855
NA,Hampden County,MA,Hampden County,2007-2011,2009,48866,839
NA,Hampden County,MA,Hampden County,2006-2010,2008,47724,852
NA,Hampden County,MA,Hampden County,2012-2016,2014,51005,783
NA,Hampden County,MA,Hampden County,2010-2014,2012,50036,916
NA,Hampden County,MA,Hampden County,2009-2013,2011,49094,769
NA,Hampden County,MA,Hampden County,2013-2017,2015,52205,1036
NA,Hampshire County,MA,Hampshire County,2013-2017,2015,64974,1932
NA,Hampshire County,MA,Hampshire County,2011-2015,2013,61368,1419
NA,Hampshire County,MA,Hampshire County,2008-2012,2010,61264,1578
NA,Hampshire County,MA,Hampshire County,2012-2016,2014,62608,1855
NA,Hampshire County,MA,Hampshire County,2010-2014,2012,61460,1617
NA,Hampshire County,MA,Hampshire County,2006-2010,2008,59505,1652
NA,Hampshire County,MA,Hampshire County,2007-2011,2009,60331,1693
NA,Hampshire County,MA,Hampshire County,2009-2013,2011,61227,1309
NA,Hampshire County,MA,Hampshire County,2014-2018,2016,67044,1955
NA,Middlesex County,MA,Middlesex County,2010-2014,2012,83488,882
NA,Middlesex County,MA,Middlesex County,2008-2012,2010,81420,636
NA,Middlesex County,MA,Middlesex County,2011-2015,2013,85118,757
NA,Middlesex County,MA,Middlesex County,2006-2010,2008,77377,719
NA,Middlesex County,MA,Middlesex County,2007-2011,2009,79691,690
NA,Middlesex County,MA,Middlesex County,2014-2018,2016,97012,1021
NA,Middlesex County,MA,Middlesex County,2012-2016,2014,89019,875
NA,Middlesex County,MA,Middlesex County,2013-2017,2015,92878,735
NA,Middlesex County,MA,Middlesex County,2009-2013,2011,82090,812
NA,Nantucket County,MA,Nantucket County,2012-2016,2014,89428,7915
NA,Nantucket County,MA,Nantucket County,2011-2015,2013,84057,7361
NA,Nantucket County,MA,Nantucket County,2008-2012,2010,83546,5281
NA,Nantucket County,MA,Nantucket County,2014-2018,2016,105171,5612
NA,Nantucket County,MA,Nantucket County,2010-2014,2012,86529,4175
NA,Nantucket County,MA,Nantucket County,2007-2011,2009,84979,5174
NA,Nantucket County,MA,Nantucket County,2013-2017,2015,91942,11350
NA,Nantucket County,MA,Nantucket County,2009-2013,2011,85478,4052
NA,Nantucket County,MA,Nantucket County,2006-2010,2008,83347,7132
NA,Norfolk County,MA,Norfolk County,2010-2014,2012,86469,1261
NA,Norfolk County,MA,Norfolk County,2012-2016,2014,90226,1188
NA,Norfolk County,MA,Norfolk County,2013-2017,2015,95668,1134
NA,Norfolk County,MA,Norfolk County,2008-2012,2010,84087,1309
NA,Norfolk County,MA,Norfolk County,2014-2018,2016,99511,1321
NA,Norfolk County,MA,Norfolk County,2011-2015,2013,88262,1348
NA,Norfolk County,MA,Norfolk County,2007-2011,2009,83733,1184
NA,Norfolk County,MA,Norfolk County,2009-2013,2011,84916,1225
NA,Norfolk County,MA,Norfolk County,2006-2010,2008,81027,1039
NA,Plymouth County,MA,Plymouth County,2012-2016,2014,77627,1209
NA,Plymouth County,MA,Plymouth County,2011-2015,2013,75459,1061
NA,Plymouth County,MA,Plymouth County,2014-2018,2016,85654,1241
NA,Plymouth County,MA,Plymouth County,2007-2011,2009,74698,1004
NA,Plymouth County,MA,Plymouth County,2010-2014,2012,75816,1026
NA,Plymouth County,MA,Plymouth County,2008-2012,2010,74722,1182
NA,Plymouth County,MA,Plymouth County,2013-2017,2015,82081,1195
NA,Plymouth County,MA,Plymouth County,2009-2013,2011,75092,1042
NA,Plymouth County,MA,Plymouth County,2006-2010,2008,73131,895
NA,Suffolk County,MA,Suffolk County,2009-2013,2011,53540,902
NA,Suffolk County,MA,Suffolk County,2013-2017,2015,61242,825
NA,Suffolk County,MA,Suffolk County,2007-2011,2009,51638,717
NA,Suffolk County,MA,Suffolk County,2010-2014,2012,54169,878
NA,Suffolk County,MA,Suffolk County,2012-2016,2014,57439,937
NA,Suffolk County,MA,Suffolk County,2011-2015,2013,55044,992
NA,Suffolk County,MA,Suffolk County,2006-2010,2008,50597,809
NA,Suffolk County,MA,Suffolk County,2008-2012,2010,52700,613
NA,Suffolk County,MA,Suffolk County,2014-2018,2016,64582,805
NA,Worcester County,MA,Worcester County,2013-2017,2015,69313,924
NA,Worcester County,MA,Worcester County,2012-2016,2014,67005,924
NA,Worcester County,MA,Worcester County,2006-2010,2008,64152,768
NA,Worcester County,MA,Worcester County,2009-2013,2011,65223,757
NA,Worcester County,MA,Worcester County,2008-2012,2010,65968,893
NA,Worcester County,MA,Worcester County,2010-2014,2012,65453,863
NA,Worcester County,MA,Worcester County,2011-2015,2013,65313,682
NA,Worcester County,MA,Worcester County,2007-2011,2009,65772,757
NA,Worcester County,MA,Worcester County,2014-2018,2016,71895,745
Abington,Plymouth County,MA,Abington,2011-2015,2013,80148,5782
Abington,Plymouth County,MA,Abington,2013-2017,2015,91643,9033
Abington,Plymouth County,MA,Abington,2008-2012,2010,76164,7710
Abington,Plymouth County,MA,Abington,2007-2011,2009,81677,9830
Abington,Plymouth County,MA,Abington,2006-2010,2008,74589,7143
Abington,Plymouth County,MA,Abington,2014-2018,2016,90873,9890
Abington,Plymouth County,MA,Abington,2012-2016,2014,76989,5595
Abington,Plymouth County,MA,Abington,2010-2014,2012,81500,7077
Abington,Plymouth County,MA,Abington,2009-2013,2011,78395,9303
Acton,Middlesex County,MA,Acton,2007-2011,2009,109491,11409
Acton,Middlesex County,MA,Acton,2006-2010,2008,105523,7844
Acton,Middlesex County,MA,Acton,2009-2013,2011,110592,7595
Acton,Middlesex County,MA,Acton,2012-2016,2014,131099,5833
Acton,Middlesex County,MA,Acton,2014-2018,2016,137910,6063
Acton,Middlesex County,MA,Acton,2008-2012,2010,114458,10250
Acton,Middlesex County,MA,Acton,2011-2015,2013,125635,6776
Acton,Middlesex County,MA,Acton,2010-2014,2012,120865,10967
Acton,Middlesex County,MA,Acton,2013-2017,2015,133713,4474
Acushnet,Bristol County,MA,Acushnet,2010-2014,2012,69570,7396
Acushnet,Bristol County,MA,Acushnet,2014-2018,2016,72125,5556
Acushnet,Bristol County,MA,Acushnet,2011-2015,2013,67421,10113
Acushnet,Bristol County,MA,Acushnet,2012-2016,2014,70375,9198
Acushnet,Bristol County,MA,Acushnet,2009-2013,2011,66367,4351
Acushnet,Bristol County,MA,Acushnet,2008-2012,2010,65222,4494
Acushnet,Bristol County,MA,Acushnet,2013-2017,2015,69402,5832
Acushnet,Bristol County,MA,Acushnet,2006-2010,2008,62457,6510
Acushnet,Bristol County,MA,Acushnet,2007-2011,2009,64695,6947
Adams,Berkshire County,MA,Adams,2006-2010,2008,38340,2119
Adams,Berkshire County,MA,Adams,2013-2017,2015,49777,2823
Adams,Berkshire County,MA,Adams,2014-2018,2016,49191,3593
Adams,Berkshire County,MA,Adams,2011-2015,2013,45893,3840
Adams,Berkshire County,MA,Adams,2008-2012,2010,40039,2801
Adams,Berkshire County,MA,Adams,2007-2011,2009,39080,2204
Adams,Berkshire County,MA,Adams,2012-2016,2014,48422,3201
Adams,Berkshire County,MA,Adams,2010-2014,2012,41807,2354
Adams,Berkshire County,MA,Adams,2009-2013,2011,40318,2373
Agawam,Hampden County,MA,Agawam,2008-2012,2010,66409,3383
Agawam,Hampden County,MA,Agawam,2007-2011,2009,65339,2786
Agawam,Hampden County,MA,Agawam,2010-2014,2012,63561,5061
Agawam,Hampden County,MA,Agawam,2006-2010,2008,62664,3075
Agawam,Hampden County,MA,Agawam,2009-2013,2011,63609,5763
Agawam,Hampden County,MA,Agawam,2014-2018,2016,67219,4646
Agawam,Hampden County,MA,Agawam,2013-2017,2015,61919,4875
Agawam,Hampden County,MA,Agawam,2011-2015,2013,61494,4027
Agawam,Hampden County,MA,Agawam,2012-2016,2014,60201,4855
Alford,Berkshire County,MA,Alford,2007-2011,2009,85833,19359
Alford,Berkshire County,MA,Alford,2009-2013,2011,76750,31708
Alford,Berkshire County,MA,Alford,2006-2010,2008,82500,19452
Alford,Berkshire County,MA,Alford,2014-2018,2016,106406,11314
Alford,Berkshire County,MA,Alford,2008-2012,2010,75417,30861
Alford,Berkshire County,MA,Alford,2010-2014,2012,91250,35780
Alford,Berkshire County,MA,Alford,2013-2017,2015,105625,14932
Alford,Berkshire County,MA,Alford,2012-2016,2014,98056,7670
Alford,Berkshire County,MA,Alford,2011-2015,2013,95313,19630
Amesbury,Essex County,MA,Amesbury,2013-2017,2015,78638,3781
Amesbury,Essex County,MA,Amesbury,2011-2015,2013,76558,4694
Amesbury,Essex County,MA,Amesbury,2014-2018,2016,80721,4536
Amesbury,Essex County,MA,Amesbury,2010-2014,2012,76463,4969
Amesbury,Essex County,MA,Amesbury,2009-2013,2011,78486,4254
Amesbury,Essex County,MA,Amesbury,2012-2016,2014,75861,4373
Amesbury,Essex County,MA,Amesbury,2008-2012,2010,80062,4333
Amesbury,Essex County,MA,Amesbury,2007-2011,2009,79293,5124
Amesbury,Essex County,MA,Amesbury,2006-2010,2008,74968,5097
Amherst,Hampshire County,MA,Amherst,2011-2015,2013,48059,4643
Amherst,Hampshire County,MA,Amherst,2010-2014,2012,52537,5086
Amherst,Hampshire County,MA,Amherst,2012-2016,2014,45999,4361
Amherst,Hampshire County,MA,Amherst,2014-2018,2016,51878,4524
Amherst,Hampshire County,MA,Amherst,2008-2012,2010,53733,5250
Amherst,Hampshire County,MA,Amherst,2009-2013,2011,53191,3896
Amherst,Hampshire County,MA,Amherst,2007-2011,2009,52281,4065
Amherst,Hampshire County,MA,Amherst,2013-2017,2015,50203,5829
Amherst,Hampshire County,MA,Amherst,2006-2010,2008,50063,6681
Andover,Essex County,MA,Andover,2012-2016,2014,134627,6226
Andover,Essex County,MA,Andover,2011-2015,2013,129082,5270
Andover,Essex County,MA,Andover,2013-2017,2015,143292,7925
Andover,Essex County,MA,Andover,2010-2014,2012,125321,6628
Andover,Essex County,MA,Andover,2009-2013,2011,112681,8782
Andover,Essex County,MA,Andover,2008-2012,2010,118324,6988
Andover,Essex County,MA,Andover,2014-2018,2016,148125,9205
Andover,Essex County,MA,Andover,2007-2011,2009,113936,6651
Andover,Essex County,MA,Andover,2006-2010,2008,111002,6786
Aquinnah,Dukes County,MA,Aquinnah,2009-2013,2011,76667,53732
Aquinnah,Dukes County,MA,Aquinnah,2007-2011,2009,82500,29608
Aquinnah,Dukes County,MA,Aquinnah,2013-2017,2015,80250,29520
Aquinnah,Dukes County,MA,Aquinnah,2006-2010,2008,57500,31269
Aquinnah,Dukes County,MA,Aquinnah,2008-2012,2010,91875,56686
Aquinnah,Dukes County,MA,Aquinnah,2011-2015,2013,64688,15383
Aquinnah,Dukes County,MA,Aquinnah,2014-2018,2016,87000,14264
Aquinnah,Dukes County,MA,Aquinnah,2012-2016,2014,62500,18770
Aquinnah,Dukes County,MA,Aquinnah,2010-2014,2012,65833,14607
Arlington,Middlesex County,MA,Arlington,2006-2010,2008,82771,3670
Arlington,Middlesex County,MA,Arlington,2012-2016,2014,98103,5671
Arlington,Middlesex County,MA,Arlington,2011-2015,2013,93787,5808
Arlington,Middlesex County,MA,Arlington,2007-2011,2009,85059,4001
Arlington,Middlesex County,MA,Arlington,2014-2018,2016,107085,3735
Arlington,Middlesex County,MA,Arlington,2009-2013,2011,89841,4593
Arlington,Middlesex County,MA,Arlington,2013-2017,2015,103594,4898
Arlington,Middlesex County,MA,Arlington,2010-2014,2012,92338,5017
Arlington,Middlesex County,MA,Arlington,2008-2012,2010,87525,3213
Ashburnham,Worcester County,MA,Ashburnham,2013-2017,2015,85064,15216
Ashburnham,Worcester County,MA,Ashburnham,2011-2015,2013,87615,10170
Ashburnham,Worcester County,MA,Ashburnham,2006-2010,2008,80000,10272
Ashburnham,Worcester County,MA,Ashburnham,2010-2014,2012,85662,8976
Ashburnham,Worcester County,MA,Ashburnham,2012-2016,2014,86219,9732
Ashburnham,Worcester County,MA,Ashburnham,2014-2018,2016,97561,19299
Ashburnham,Worcester County,MA,Ashburnham,2008-2012,2010,81690,7673
Ashburnham,Worcester County,MA,Ashburnham,2007-2011,2009,81842,9251
Ashburnham,Worcester County,MA,Ashburnham,2009-2013,2011,83532,8395
Ashby,Middlesex County,MA,Ashby,2013-2017,2015,95833,9510
Ashby,Middlesex County,MA,Ashby,2014-2018,2016,101357,9196
Ashby,Middlesex County,MA,Ashby,2006-2010,2008,80143,9661
Ashby,Middlesex County,MA,Ashby,2008-2012,2010,75435,8741
Ashby,Middlesex County,MA,Ashby,2007-2011,2009,82614,8408
Ashby,Middlesex County,MA,Ashby,2012-2016,2014,89934,10597
Ashby,Middlesex County,MA,Ashby,2011-2015,2013,82019,8969
Ashby,Middlesex County,MA,Ashby,2009-2013,2011,82778,6629
Ashby,Middlesex County,MA,Ashby,2010-2014,2012,83917,7096
Ashfield,Franklin County,MA,Ashfield,2009-2013,2011,69583,12851
Ashfield,Franklin County,MA,Ashfield,2007-2011,2009,66429,9296
Ashfield,Franklin County,MA,Ashfield,2006-2010,2008,63438,7597
Ashfield,Franklin County,MA,Ashfield,2008-2012,2010,69000,10891
Ashfield,Franklin County,MA,Ashfield,2010-2014,2012,71364,15419
Ashfield,Franklin County,MA,Ashfield,2014-2018,2016,70956,6401
Ashfield,Franklin County,MA,Ashfield,2013-2017,2015,72422,8260
Ashfield,Franklin County,MA,Ashfield,2012-2016,2014,77031,8769
Ashfield,Franklin County,MA,Ashfield,2011-2015,2013,71364,11430
Ashland,Middlesex County,MA,Ashland,2011-2015,2013,102911,9203
Ashland,Middlesex County,MA,Ashland,2014-2018,2016,121406,14153
Ashland,Middlesex County,MA,Ashland,2006-2010,2008,92974,11118
Ashland,Middlesex County,MA,Ashland,2007-2011,2009,93770,9746
Ashland,Middlesex County,MA,Ashland,2012-2016,2014,103700,8694
Ashland,Middlesex County,MA,Ashland,2010-2014,2012,102721,9949
Ashland,Middlesex County,MA,Ashland,2013-2017,2015,120309,7535
Ashland,Middlesex County,MA,Ashland,2009-2013,2011,93233,9472
Ashland,Middlesex County,MA,Ashland,2008-2012,2010,95296,8812
Athol,Worcester County,MA,Athol,2012-2016,2014,47642,5341
Athol,Worcester County,MA,Athol,2011-2015,2013,47598,5464
Athol,Worcester County,MA,Athol,2010-2014,2012,47122,5475
Athol,Worcester County,MA,Athol,2007-2011,2009,50866,3371
Athol,Worcester County,MA,Athol,2008-2012,2010,48414,4997
Athol,Worcester County,MA,Athol,2006-2010,2008,47099,3270
Athol,Worcester County,MA,Athol,2013-2017,2015,50417,4937
Athol,Worcester County,MA,Athol,2009-2013,2011,46964,5547
Athol,Worcester County,MA,Athol,2014-2018,2016,54028,6583
Attleboro,Bristol County,MA,Attleboro,2012-2016,2014,69732,5884
Attleboro,Bristol County,MA,Attleboro,2008-2012,2010,65767,2925
Attleboro,Bristol County,MA,Attleboro,2007-2011,2009,65298,2833
Attleboro,Bristol County,MA,Attleboro,2011-2015,2013,67736,4097
Attleboro,Bristol County,MA,Attleboro,2010-2014,2012,65141,4767
Attleboro,Bristol County,MA,Attleboro,2009-2013,2011,67039,4540
Attleboro,Bristol County,MA,Attleboro,2014-2018,2016,74255,3732
Attleboro,Bristol County,MA,Attleboro,2013-2017,2015,70136,5909
Attleboro,Bristol County,MA,Attleboro,2006-2010,2008,64634,3376
Auburn,Worcester County,MA,Auburn,2012-2016,2014,71522,3540
Auburn,Worcester County,MA,Auburn,2013-2017,2015,74174,4460
Auburn,Worcester County,MA,Auburn,2011-2015,2013,72432,4969
Auburn,Worcester County,MA,Auburn,2008-2012,2010,73068,4575
Auburn,Worcester County,MA,Auburn,2010-2014,2012,72695,5679
Auburn,Worcester County,MA,Auburn,2014-2018,2016,83014,4461
Auburn,Worcester County,MA,Auburn,2009-2013,2011,73263,5384
Auburn,Worcester County,MA,Auburn,2007-2011,2009,73559,6177
Auburn,Worcester County,MA,Auburn,2006-2010,2008,71375,5284
Avon,Norfolk County,MA,Avon,2010-2014,2012,78750,10496
Avon,Norfolk County,MA,Avon,2012-2016,2014,68021,7999
Avon,Norfolk County,MA,Avon,2011-2015,2013,76065,11154
Avon,Norfolk County,MA,Avon,2007-2011,2009,72880,12832
Avon,Norfolk County,MA,Avon,2014-2018,2016,69868,8753
Avon,Norfolk County,MA,Avon,2013-2017,2015,69709,19651
Avon,Norfolk County,MA,Avon,2009-2013,2011,73194,8960
Avon,Norfolk County,MA,Avon,2008-2012,2010,70481,8673
Avon,Norfolk County,MA,Avon,2006-2010,2008,67313,14936
Ayer,Middlesex County,MA,Ayer,2013-2017,2015,78762,7154
Ayer,Middlesex County,MA,Ayer,2011-2015,2013,74659,8398
Ayer,Middlesex County,MA,Ayer,2012-2016,2014,77112,8445
Ayer,Middlesex County,MA,Ayer,2008-2012,2010,59144,8631
Ayer,Middlesex County,MA,Ayer,2006-2010,2008,55863,8295
Ayer,Middlesex County,MA,Ayer,2010-2014,2012,67110,9404
Ayer,Middlesex County,MA,Ayer,2007-2011,2009,54899,7818
Ayer,Middlesex County,MA,Ayer,2014-2018,2016,84917,19894
Ayer,Middlesex County,MA,Ayer,2009-2013,2011,60345,9420
Barnstable,Barnstable County,MA,Barnstable,2006-2010,2008,62264,2640
Barnstable,Barnstable County,MA,Barnstable,2013-2017,2015,66864,2134
Barnstable,Barnstable County,MA,Barnstable,2014-2018,2016,68919,2495
Barnstable,Barnstable County,MA,Barnstable,2009-2013,2011,60135,3363
Barnstable,Barnstable County,MA,Barnstable,2012-2016,2014,63549,2594
Barnstable,Barnstable County,MA,Barnstable,2011-2015,2013,59711,3672
Barnstable,Barnstable County,MA,Barnstable,2010-2014,2012,58933,3015
Barnstable,Barnstable County,MA,Barnstable,2008-2012,2010,60745,2747
Barnstable,Barnstable County,MA,Barnstable,2007-2011,2009,62191,2931
Barre,Worcester County,MA,Barre,2010-2014,2012,66250,9326
Barre,Worcester County,MA,Barre,2011-2015,2013,67536,7920
Barre,Worcester County,MA,Barre,2008-2012,2010,76234,9655
Barre,Worcester County,MA,Barre,2007-2011,2009,73687,8265
Barre,Worcester County,MA,Barre,2012-2016,2014,67500,9338
Barre,Worcester County,MA,Barre,2013-2017,2015,69432,11859
Barre,Worcester County,MA,Barre,2006-2010,2008,75423,8316
Barre,Worcester County,MA,Barre,2009-2013,2011,69016,8604
Barre,Worcester County,MA,Barre,2014-2018,2016,68139,9879
Becket,Berkshire County,MA,Becket,2009-2013,2011,50438,11585
Becket,Berkshire County,MA,Becket,2008-2012,2010,43397,6172
Becket,Berkshire County,MA,Becket,2010-2014,2012,64152,7510
Becket,Berkshire County,MA,Becket,2013-2017,2015,75000,9708
Becket,Berkshire County,MA,Becket,2011-2015,2013,64886,3493
Becket,Berkshire County,MA,Becket,2007-2011,2009,41852,5732
Becket,Berkshire County,MA,Becket,2014-2018,2016,74659,10930
Becket,Berkshire County,MA,Becket,2006-2010,2008,42031,4053
Becket,Berkshire County,MA,Becket,2012-2016,2014,70750,11200
Bedford,Middlesex County,MA,Bedford,2013-2017,2015,125208,8323
Bedford,Middlesex County,MA,Bedford,2009-2013,2011,107705,11134
Bedford,Middlesex County,MA,Bedford,2006-2010,2008,107639,11347
Bedford,Middlesex County,MA,Bedford,2012-2016,2014,117688,15147
Bedford,Middlesex County,MA,Bedford,2010-2014,2012,114676,18191
Bedford,Middlesex County,MA,Bedford,2008-2012,2010,104623,11017
Bedford,Middlesex County,MA,Bedford,2011-2015,2013,113729,13082
Bedford,Middlesex County,MA,Bedford,2014-2018,2016,129726,10296
Bedford,Middlesex County,MA,Bedford,2007-2011,2009,101886,13065
Belchertown,Hampshire County,MA,Belchertown,2010-2014,2012,74221,7748
Belchertown,Hampshire County,MA,Belchertown,2013-2017,2015,86165,6131
Belchertown,Hampshire County,MA,Belchertown,2009-2013,2011,71875,5671
Belchertown,Hampshire County,MA,Belchertown,2014-2018,2016,93300,4630
Belchertown,Hampshire County,MA,Belchertown,2012-2016,2014,80502,6457
Belchertown,Hampshire County,MA,Belchertown,2011-2015,2013,76881,6970
Belchertown,Hampshire County,MA,Belchertown,2008-2012,2010,77617,7061
Belchertown,Hampshire County,MA,Belchertown,2007-2011,2009,75502,6437
Belchertown,Hampshire County,MA,Belchertown,2006-2010,2008,77090,6451
Bellingham,Norfolk County,MA,Bellingham,2014-2018,2016,99569,7626
Bellingham,Norfolk County,MA,Bellingham,2007-2011,2009,83534,4139
Bellingham,Norfolk County,MA,Bellingham,2012-2016,2014,90630,5857
Bellingham,Norfolk County,MA,Bellingham,2010-2014,2012,87417,6664
Bellingham,Norfolk County,MA,Bellingham,2013-2017,2015,95533,4865
Bellingham,Norfolk County,MA,Bellingham,2011-2015,2013,88460,4396
Bellingham,Norfolk County,MA,Bellingham,2009-2013,2011,80179,8961
Bellingham,Norfolk County,MA,Bellingham,2008-2012,2010,82859,7072
Bellingham,Norfolk County,MA,Bellingham,2006-2010,2008,78290,7242
Belmont,Middlesex County,MA,Belmont,2013-2017,2015,118370,7501
Belmont,Middlesex County,MA,Belmont,2011-2015,2013,110685,7163
Belmont,Middlesex County,MA,Belmont,2009-2013,2011,110584,7050
Belmont,Middlesex County,MA,Belmont,2012-2016,2014,114141,7346
Belmont,Middlesex County,MA,Belmont,2014-2018,2016,120208,10992
Belmont,Middlesex County,MA,Belmont,2007-2011,2009,99529,6374
Belmont,Middlesex County,MA,Belmont,2008-2012,2010,105717,4326
Belmont,Middlesex County,MA,Belmont,2010-2014,2012,105859,6318
Belmont,Middlesex County,MA,Belmont,2006-2010,2008,95197,5314
Berkley,Bristol County,MA,Berkley,2013-2017,2015,89597,18137
Berkley,Bristol County,MA,Berkley,2011-2015,2013,86288,11734
Berkley,Bristol County,MA,Berkley,2010-2014,2012,84423,10015
Berkley,Bristol County,MA,Berkley,2006-2010,2008,81125,8386
Berkley,Bristol County,MA,Berkley,2014-2018,2016,94516,15326
Berkley,Bristol County,MA,Berkley,2009-2013,2011,90741,11339
Berkley,Bristol County,MA,Berkley,2008-2012,2010,89549,9089
Berkley,Bristol County,MA,Berkley,2012-2016,2014,95186,10756
Berkley,Bristol County,MA,Berkley,2007-2011,2009,81094,6937
Berlin,Worcester County,MA,Berlin,2011-2015,2013,88816,10422
Berlin,Worcester County,MA,Berlin,2010-2014,2012,88681,8355
Berlin,Worcester County,MA,Berlin,2013-2017,2015,97417,13384
Berlin,Worcester County,MA,Berlin,2014-2018,2016,104063,15724
Berlin,Worcester County,MA,Berlin,2008-2012,2010,95438,14240
Berlin,Worcester County,MA,Berlin,2009-2013,2011,95962,10728
Berlin,Worcester County,MA,Berlin,2006-2010,2008,92917,10266
Berlin,Worcester County,MA,Berlin,2007-2011,2009,94712,8909
Berlin,Worcester County,MA,Berlin,2012-2016,2014,97614,14700
Bernardston,Franklin County,MA,Bernardston,2007-2011,2009,50556,11302
Bernardston,Franklin County,MA,Bernardston,2013-2017,2015,64647,2730
Bernardston,Franklin County,MA,Bernardston,2006-2010,2008,52875,12852
Bernardston,Franklin County,MA,Bernardston,2008-2012,2010,46776,7163
Bernardston,Franklin County,MA,Bernardston,2012-2016,2014,63625,3709
