Municipal,County,State,Region,Five_Year_Range,Civililan_Pop,Vet_Pop,Percent_Vet,Margin_Error_Percent
NA,NA County,NA,United States,2006-2010,228808831,22652496,9.9,0.1
NA,NA County,NA,United States,2007-2011,231421987,22215303,9.6,0.1
NA,NA County,NA,United States,2008-2012,234029580,21853912,9.3,0.1
NA,NA County,NA,United States,2009-2013,236576902,21263779,9,0.1
NA,NA County,NA,United States,2010-2014,239305217,20700711,8.7,0.1
NA,NA County,NA,United States,2011-2015,241816698,20108332,8.3,0.1
NA,NA County,NA,United States,2012-2016,243935157,19535341,8,0.1
NA,NA County,NA,United States,2013-2017,246379319,18939219,7.7,0.1
NA,NA County,NA,United States,2014-2018,248322822,18611432,7.5,0.1
NA,NA County,MA,MA,2006-2010,5039038,425979,8.5,0.1
NA,NA County,MA,MA,2007-2011,5083130,412617,8.1,0.1
NA,NA County,MA,MA,2008-2012,5138208,400874,7.8,0.1
NA,NA County,MA,MA,2009-2013,5191938,383087,7.4,0.1
NA,NA County,MA,MA,2010-2014,5250153,368593,7,0.1
NA,NA County,MA,MA,2011-2015,5303395,355083,6.7,0.1
NA,NA County,MA,MA,2012-2016,5346964,340288,6.4,0.1
NA,NA County,MA,MA,2013-2017,5400834,325299,6,0.1
NA,NA County,MA,MA,2014-2018,5445375,315859,5.8,0.1
NA,Barnstable County,MA,Barnstable County,2006-2010,177640,25566,14.4,0.4
NA,Barnstable County,MA,Barnstable County,2007-2011,177715,24097,13.6,0.4
NA,Barnstable County,MA,Barnstable County,2009-2013,178410,21360,12,0.4
NA,Barnstable County,MA,Barnstable County,2010-2014,178969,20754,11.6,0.3
NA,Barnstable County,MA,Barnstable County,2012-2016,180011,19803,11,0.4
NA,Barnstable County,MA,Barnstable County,2011-2015,179448,20052,11.2,0.4
NA,Barnstable County,MA,Barnstable County,2014-2018,180069,18006,10,0.4
NA,Barnstable County,MA,Barnstable County,2013-2017,179883,18519,10.3,0.4
NA,Barnstable County,MA,Barnstable County,2008-2012,177957,22648,12.7,0.4
NA,Berkshire County,MA,Berkshire County,2013-2017,105184,9294,8.8,0.5
NA,Berkshire County,MA,Berkshire County,2012-2016,105460,9718,9.2,0.5
NA,Berkshire County,MA,Berkshire County,2014-2018,105165,8851,8.4,0.4
NA,Berkshire County,MA,Berkshire County,2007-2011,105292,11153,10.6,0.5
NA,Berkshire County,MA,Berkshire County,2009-2013,105709,10389,9.8,0.4
NA,Berkshire County,MA,Berkshire County,2006-2010,105100,11713,11.1,0.5
NA,Berkshire County,MA,Berkshire County,2011-2015,105622,10062,9.5,0.5
NA,Berkshire County,MA,Berkshire County,2010-2014,105709,10419,9.9,0.5
NA,Berkshire County,MA,Berkshire County,2008-2012,105429,10880,10.3,0.5
NA,Bristol County,MA,Bristol County,2014-2018,442123,29340,6.6,0.3
NA,Bristol County,MA,Bristol County,2011-2015,434348,31725,7.3,0.2
NA,Bristol County,MA,Bristol County,2013-2017,439894,30277,6.9,0.3
NA,Bristol County,MA,Bristol County,2012-2016,437197,30961,7.1,0.2
NA,Bristol County,MA,Bristol County,2009-2013,429110,33409,7.8,0.2
NA,Bristol County,MA,Bristol County,2008-2012,426363,35363,8.3,0.3
NA,Bristol County,MA,Bristol County,2010-2014,431651,32674,7.6,0.2
NA,Bristol County,MA,Bristol County,2007-2011,423505,36141,8.5,0.3
NA,Bristol County,MA,Bristol County,2006-2010,421000,37276,8.9,0.3
NA,Dukes County,MA,Dukes County,2014-2018,14024,709,5.1,1.3
NA,Dukes County,MA,Dukes County,2011-2015,13869,733,5.3,1.1
NA,Dukes County,MA,Dukes County,2012-2016,14016,673,4.8,1
NA,Dukes County,MA,Dukes County,2008-2012,13414,1212,9,1.7
NA,Dukes County,MA,Dukes County,2010-2014,13720,806,5.9,1.4
NA,Dukes County,MA,Dukes County,2006-2010,13005,1343,10.3,1.6
NA,Dukes County,MA,Dukes County,2013-2017,14009,622,4.4,1.3
NA,Dukes County,MA,Dukes County,2007-2011,12843,1204,9.4,1.4
NA,Dukes County,MA,Dukes County,2009-2013,13556,966,7.1,1.4
NA,Essex County,MA,Essex County,2008-2012,572677,44748,7.8,0.2
NA,Essex County,MA,Essex County,2011-2015,593636,39966,6.7,0.1
NA,Essex County,MA,Essex County,2012-2016,599554,37573,6.3,0.2
NA,Essex County,MA,Essex County,2014-2018,611551,34152,5.6,0.2
NA,Essex County,MA,Essex County,2006-2010,561417,47802,8.5,0.2
NA,Essex County,MA,Essex County,2007-2011,566602,46486,8.2,0.2
NA,Essex County,MA,Essex County,2010-2014,586853,41374,7.1,0.2
NA,Essex County,MA,Essex County,2013-2017,606457,35277,5.8,0.2
NA,Essex County,MA,Essex County,2009-2013,579535,43065,7.4,0.2
NA,Franklin County,MA,Franklin County,2011-2015,57900,5599,9.7,0.5
NA,Franklin County,MA,Franklin County,2014-2018,58372,5270,9,0.5
NA,Franklin County,MA,Franklin County,2012-2016,57918,5352,9.2,0.6
NA,Franklin County,MA,Franklin County,2009-2013,57613,5542,9.6,0.5
NA,Franklin County,MA,Franklin County,2010-2014,57777,5577,9.7,0.5
NA,Franklin County,MA,Franklin County,2008-2012,57444,6134,10.7,0.5
NA,Franklin County,MA,Franklin County,2013-2017,58130,5165,8.9,0.5
NA,Franklin County,MA,Franklin County,2007-2011,57202,6292,11,0.6
NA,Franklin County,MA,Franklin County,2006-2010,56982,6672,11.7,0.7
NA,Hampden County,MA,Hampden County,2014-2018,365812,26372,7.2,0.3
NA,Hampden County,MA,Hampden County,2008-2012,354185,34026,9.6,0.3
NA,Hampden County,MA,Hampden County,2011-2015,361046,30575,8.5,0.3
NA,Hampden County,MA,Hampden County,2007-2011,351911,34380,9.8,0.3
NA,Hampden County,MA,Hampden County,2006-2010,350495,35687,10.2,0.3
NA,Hampden County,MA,Hampden County,2012-2016,362527,28938,8,0.2
NA,Hampden County,MA,Hampden County,2010-2014,358596,32189,9,0.3
NA,Hampden County,MA,Hampden County,2009-2013,356372,32603,9.1,0.3
NA,Hampden County,MA,Hampden County,2013-2017,364822,27547,7.6,0.3
NA,Hampshire County,MA,Hampshire County,2013-2017,136450,8933,6.5,0.4
NA,Hampshire County,MA,Hampshire County,2011-2015,135365,9639,7.1,0.4
NA,Hampshire County,MA,Hampshire County,2008-2012,132281,10339,7.8,0.5
NA,Hampshire County,MA,Hampshire County,2012-2016,135902,9491,7,0.4
NA,Hampshire County,MA,Hampshire County,2010-2014,134417,9644,7.2,0.4
NA,Hampshire County,MA,Hampshire County,2006-2010,129806,10935,8.4,0.4
NA,Hampshire County,MA,Hampshire County,2007-2011,130645,10582,8.1,0.4
NA,Hampshire County,MA,Hampshire County,2009-2013,133071,10038,7.5,0.4
NA,Hampshire County,MA,Hampshire County,2014-2018,136649,8323,6.1,0.4
NA,Middlesex County,MA,Middlesex County,2010-2014,1216763,70723,5.8,0.1
NA,Middlesex County,MA,Middlesex County,2008-2012,1185792,78649,6.6,0.1
NA,Middlesex County,MA,Middlesex County,2011-2015,1232059,67017,5.4,0.1
NA,Middlesex County,MA,Middlesex County,2006-2010,1158304,83499,7.2,0.1
NA,Middlesex County,MA,Middlesex County,2007-2011,1170644,81460,7,0.1
NA,Middlesex County,MA,Middlesex County,2014-2018,1272483,59816,4.7,0.1
NA,Middlesex County,MA,Middlesex County,2012-2016,1243726,64180,5.2,0.1
NA,Middlesex County,MA,Middlesex County,2013-2017,1259923,61777,4.9,0.1
NA,Middlesex County,MA,Middlesex County,2009-2013,1200369,74275,6.2,0.1
NA,Nantucket County,MA,Nantucket County,2012-2016,8545,558,6.5,1.3
NA,Nantucket County,MA,Nantucket County,2011-2015,8311,498,6,1.2
NA,Nantucket County,MA,Nantucket County,2008-2012,7966,565,7.1,2
NA,Nantucket County,MA,Nantucket County,2014-2018,8742,560,6.4,1.4
NA,Nantucket County,MA,Nantucket County,2010-2014,8236,495,6,1.4
NA,Nantucket County,MA,Nantucket County,2007-2011,7991,619,7.7,1.8
NA,Nantucket County,MA,Nantucket County,2013-2017,8672,590,6.8,1.3
NA,Nantucket County,MA,Nantucket County,2009-2013,8079,510,6.3,1.5
NA,Nantucket County,MA,Nantucket County,2006-2010,7951,599,7.5,1.7
NA,Norfolk County,MA,Norfolk County,2010-2014,531752,36323,6.8,0.2
NA,Norfolk County,MA,Norfolk County,2012-2016,541160,33027,6.1,0.2
NA,Norfolk County,MA,Norfolk County,2013-2017,544875,31923,5.9,0.2
NA,Norfolk County,MA,Norfolk County,2008-2012,520538,39656,7.6,0.2
NA,Norfolk County,MA,Norfolk County,2014-2018,549124,30450,5.5,0.2
NA,Norfolk County,MA,Norfolk County,2011-2015,536974,35124,6.5,0.2
NA,Norfolk County,MA,Norfolk County,2007-2011,514491,40877,7.9,0.2
NA,Norfolk County,MA,Norfolk County,2009-2013,525762,38108,7.2,0.2
NA,Norfolk County,MA,Norfolk County,2006-2010,509712,41798,8.2,0.2
NA,Plymouth County,MA,Plymouth County,2012-2016,392370,31824,8.1,0.3
NA,Plymouth County,MA,Plymouth County,2011-2015,388134,32475,8.4,0.3
NA,Plymouth County,MA,Plymouth County,2014-2018,399428,29831,7.5,0.3
NA,Plymouth County,MA,Plymouth County,2007-2011,372491,38083,10.2,0.3
NA,Plymouth County,MA,Plymouth County,2010-2014,383989,34058,8.9,0.3
NA,Plymouth County,MA,Plymouth County,2008-2012,376259,36845,9.8,0.2
NA,Plymouth County,MA,Plymouth County,2013-2017,395725,30402,7.7,0.3
NA,Plymouth County,MA,Plymouth County,2009-2013,379385,35024,9.2,0.3
NA,Plymouth County,MA,Plymouth County,2006-2010,368950,38895,10.5,0.3
NA,Suffolk County,MA,Suffolk County,2009-2013,606995,23808,3.9,0.2
NA,Suffolk County,MA,Suffolk County,2013-2017,646813,19646,3,0.1
NA,Suffolk County,MA,Suffolk County,2007-2011,585724,24628,4.2,0.2
NA,Suffolk County,MA,Suffolk County,2010-2014,617707,22327,3.6,0.2
NA,Suffolk County,MA,Suffolk County,2012-2016,634747,20658,3.3,0.2
NA,Suffolk County,MA,Suffolk County,2011-2015,627159,22034,3.5,0.2
NA,Suffolk County,MA,Suffolk County,2006-2010,577307,25698,4.5,0.2
NA,Suffolk County,MA,Suffolk County,2008-2012,595949,24215,4.1,0.1
NA,Suffolk County,MA,Suffolk County,2014-2018,656745,19788,3,0.1
NA,Worcester County,MA,Worcester County,2013-2017,639997,45327,7.1,0.2
NA,Worcester County,MA,Worcester County,2012-2016,633831,47532,7.5,0.2
NA,Worcester County,MA,Worcester County,2006-2010,601369,58496,9.7,0.2
NA,Worcester County,MA,Worcester County,2009-2013,617972,53990,8.7,0.2
NA,Worcester County,MA,Worcester County,2008-2012,611954,55594,9.1,0.2
NA,Worcester County,MA,Worcester County,2010-2014,624014,51230,8.2,0.2
NA,Worcester County,MA,Worcester County,2011-2015,629524,49584,7.9,0.2
NA,Worcester County,MA,Worcester County,2007-2011,606074,56615,9.3,0.2
NA,Worcester County,MA,Worcester County,2014-2018,645088,44391,6.9,0.2
Abington,Plymouth County,MA,Abington,2011-2015,12865,1080,8.4,1.7
Abington,Plymouth County,MA,Abington,2013-2017,13072,991,7.6,1.6
Abington,Plymouth County,MA,Abington,2008-2012,12157,1245,10.2,1.7
Abington,Plymouth County,MA,Abington,2007-2011,12081,1195,9.9,1.9
Abington,Plymouth County,MA,Abington,2006-2010,12004,1241,10.3,1.6
Abington,Plymouth County,MA,Abington,2014-2018,13291,973,7.3,1.4
Abington,Plymouth County,MA,Abington,2012-2016,13018,1159,8.9,1.7
Abington,Plymouth County,MA,Abington,2010-2014,12627,1086,8.6,1.7
Abington,Plymouth County,MA,Abington,2009-2013,12109,1194,9.9,1.7
Acton,Middlesex County,MA,Acton,2007-2011,15270,950,6.2,1.1
Acton,Middlesex County,MA,Acton,2006-2010,14948,900,6,1.1
Acton,Middlesex County,MA,Acton,2009-2013,16194,874,5.4,1.3
Acton,Middlesex County,MA,Acton,2012-2016,17291,776,4.5,1.1
Acton,Middlesex County,MA,Acton,2014-2018,17744,697,3.9,0.9
Acton,Middlesex County,MA,Acton,2008-2012,15849,959,6.1,1.1
Acton,Middlesex County,MA,Acton,2011-2015,17008,838,4.9,1.1
Acton,Middlesex County,MA,Acton,2010-2014,16471,847,5.1,1.2
Acton,Middlesex County,MA,Acton,2013-2017,17602,767,4.4,1.2
Acushnet,Bristol County,MA,Acushnet,2010-2014,8417,577,6.9,1.6
Acushnet,Bristol County,MA,Acushnet,2014-2018,8692,657,7.6,1.8
Acushnet,Bristol County,MA,Acushnet,2011-2015,8450,646,7.6,1.7
Acushnet,Bristol County,MA,Acushnet,2012-2016,8584,708,8.2,1.8
Acushnet,Bristol County,MA,Acushnet,2009-2013,8387,712,8.5,1.8
Acushnet,Bristol County,MA,Acushnet,2008-2012,8361,813,9.7,2.1
Acushnet,Bristol County,MA,Acushnet,2013-2017,8601,699,8.1,1.9
Acushnet,Bristol County,MA,Acushnet,2006-2010,8113,825,10.2,2.2
Acushnet,Bristol County,MA,Acushnet,2007-2011,8191,808,9.9,2.1
Adams,Berkshire County,MA,Adams,2006-2010,6603,818,12.4,2.1
Adams,Berkshire County,MA,Adams,2013-2017,6663,602,9,1.5
Adams,Berkshire County,MA,Adams,2014-2018,6728,619,9.2,1.6
Adams,Berkshire County,MA,Adams,2011-2015,6674,645,9.7,1.6
Adams,Berkshire County,MA,Adams,2008-2012,6615,712,10.8,2.3
Adams,Berkshire County,MA,Adams,2007-2011,6611,707,10.7,2
Adams,Berkshire County,MA,Adams,2012-2016,6713,617,9.2,1.6
Adams,Berkshire County,MA,Adams,2010-2014,6581,673,10.2,1.9
Adams,Berkshire County,MA,Adams,2009-2013,6583,684,10.4,2.1
Agawam,Hampden County,MA,Agawam,2008-2012,22551,2483,11,1.4
Agawam,Hampden County,MA,Agawam,2007-2011,22457,2580,11.5,1.3
Agawam,Hampden County,MA,Agawam,2010-2014,22878,2311,10.1,1.2
Agawam,Hampden County,MA,Agawam,2006-2010,22419,2957,13.2,1.5
Agawam,Hampden County,MA,Agawam,2009-2013,22609,2194,9.7,1.3
Agawam,Hampden County,MA,Agawam,2014-2018,23126,2115,9.1,1.2
Agawam,Hampden County,MA,Agawam,2013-2017,23056,2175,9.4,1.2
Agawam,Hampden County,MA,Agawam,2011-2015,22928,2214,9.7,1.3
Agawam,Hampden County,MA,Agawam,2012-2016,23049,2242,9.7,1
Alford,Berkshire County,MA,Alford,2007-2011,433,56,12.9,4.1
Alford,Berkshire County,MA,Alford,2009-2013,407,61,15,4.7
Alford,Berkshire County,MA,Alford,2006-2010,381,58,15.2,4
Alford,Berkshire County,MA,Alford,2014-2018,363,31,8.5,3.3
Alford,Berkshire County,MA,Alford,2008-2012,400,57,14.3,4.1
Alford,Berkshire County,MA,Alford,2010-2014,406,53,13.1,3.9
Alford,Berkshire County,MA,Alford,2013-2017,360,40,11.1,4.3
Alford,Berkshire County,MA,Alford,2012-2016,360,46,12.8,4.4
Alford,Berkshire County,MA,Alford,2011-2015,406,51,12.6,4.6
Amesbury,Essex County,MA,Amesbury,2013-2017,13576,850,6.3,1.1
Amesbury,Essex County,MA,Amesbury,2011-2015,13500,898,6.7,1.5
Amesbury,Essex County,MA,Amesbury,2014-2018,13712,866,6.3,1.2
Amesbury,Essex County,MA,Amesbury,2010-2014,13181,965,7.3,1.3
Amesbury,Essex County,MA,Amesbury,2009-2013,12979,1027,7.9,1.5
Amesbury,Essex County,MA,Amesbury,2012-2016,13552,796,5.9,1.3
Amesbury,Essex County,MA,Amesbury,2008-2012,12839,1126,8.8,1.6
Amesbury,Essex County,MA,Amesbury,2007-2011,12598,1241,9.9,1.5
Amesbury,Essex County,MA,Amesbury,2006-2010,12453,1216,9.8,1.5
Amherst,Hampshire County,MA,Amherst,2011-2015,36071,744,2.1,0.5
Amherst,Hampshire County,MA,Amherst,2010-2014,35678,745,2.1,0.5
Amherst,Hampshire County,MA,Amherst,2012-2016,36256,681,1.9,0.5
Amherst,Hampshire County,MA,Amherst,2014-2018,36204,568,1.6,0.4
Amherst,Hampshire County,MA,Amherst,2008-2012,34691,806,2.3,0.6
Amherst,Hampshire County,MA,Amherst,2009-2013,34965,839,2.4,0.4
Amherst,Hampshire County,MA,Amherst,2007-2011,34052,902,2.6,0.5
Amherst,Hampshire County,MA,Amherst,2013-2017,36223,658,1.8,0.4
Amherst,Hampshire County,MA,Amherst,2006-2010,33817,917,2.7,0.6
Andover,Essex County,MA,Andover,2012-2016,26098,1276,4.9,0.8
Andover,Essex County,MA,Andover,2011-2015,25783,1342,5.2,0.7
Andover,Essex County,MA,Andover,2013-2017,26331,1253,4.8,0.9
Andover,Essex County,MA,Andover,2010-2014,25211,1347,5.3,0.8
Andover,Essex County,MA,Andover,2009-2013,24794,1362,5.5,0.9
Andover,Essex County,MA,Andover,2008-2012,24640,1543,6.3,0.9
Andover,Essex County,MA,Andover,2014-2018,26680,1244,4.7,0.7
Andover,Essex County,MA,Andover,2007-2011,24052,1784,7.4,0.9
Andover,Essex County,MA,Andover,2006-2010,23841,1841,7.7,0.9
Aquinnah,Dukes County,MA,Aquinnah,2009-2013,311,6,1.9,1.9
Aquinnah,Dukes County,MA,Aquinnah,2007-2011,308,2,0.6,1.1
Aquinnah,Dukes County,MA,Aquinnah,2013-2017,357,9,2.5,1.8
Aquinnah,Dukes County,MA,Aquinnah,2006-2010,326,3,0.9,2
Aquinnah,Dukes County,MA,Aquinnah,2008-2012,318,5,1.6,1.6
Aquinnah,Dukes County,MA,Aquinnah,2011-2015,372,7,1.9,1.7
Aquinnah,Dukes County,MA,Aquinnah,2014-2018,319,7,2.2,2.1
Aquinnah,Dukes County,MA,Aquinnah,2012-2016,438,11,2.5,1.9
Aquinnah,Dukes County,MA,Aquinnah,2010-2014,284,7,2.5,2.1
Arlington,Middlesex County,MA,Arlington,2006-2010,33848,2071,6.1,0.9
Arlington,Middlesex County,MA,Arlington,2012-2016,34906,1600,4.6,0.5
Arlington,Middlesex County,MA,Arlington,2011-2015,34579,1735,5,0.7
Arlington,Middlesex County,MA,Arlington,2007-2011,33700,1999,5.9,0.7
Arlington,Middlesex County,MA,Arlington,2014-2018,35227,1480,4.2,0.7
Arlington,Middlesex County,MA,Arlington,2009-2013,34114,1897,5.6,0.8
Arlington,Middlesex County,MA,Arlington,2013-2017,35300,1620,4.6,0.8
Arlington,Middlesex County,MA,Arlington,2010-2014,34303,1820,5.3,0.8
Arlington,Middlesex County,MA,Arlington,2008-2012,33967,1971,5.8,0.7
Ashburnham,Worcester County,MA,Ashburnham,2013-2017,4543,318,7,2.3
Ashburnham,Worcester County,MA,Ashburnham,2011-2015,4741,467,9.9,2.7
Ashburnham,Worcester County,MA,Ashburnham,2006-2010,4348,457,10.5,3.1
Ashburnham,Worcester County,MA,Ashburnham,2010-2014,4759,405,8.5,2.7
Ashburnham,Worcester County,MA,Ashburnham,2012-2016,4697,411,8.8,2.6
Ashburnham,Worcester County,MA,Ashburnham,2014-2018,4766,251,5.3,1.9
Ashburnham,Worcester County,MA,Ashburnham,2008-2012,4559,502,11,3.1
Ashburnham,Worcester County,MA,Ashburnham,2007-2011,4365,439,10.1,3
Ashburnham,Worcester County,MA,Ashburnham,2009-2013,4719,469,9.9,2.5
Ashby,Middlesex County,MA,Ashby,2013-2017,2575,200,7.8,2.3
Ashby,Middlesex County,MA,Ashby,2014-2018,2589,183,7.1,2.5
Ashby,Middlesex County,MA,Ashby,2006-2010,2202,189,8.6,2.3
Ashby,Middlesex County,MA,Ashby,2008-2012,2342,260,11.1,2.5
Ashby,Middlesex County,MA,Ashby,2007-2011,2256,251,11.1,2.8
Ashby,Middlesex County,MA,Ashby,2012-2016,2555,223,8.7,2.4
Ashby,Middlesex County,MA,Ashby,2011-2015,2549,245,9.6,2.2
Ashby,Middlesex County,MA,Ashby,2009-2013,2412,239,9.9,2.6
Ashby,Middlesex County,MA,Ashby,2010-2014,2522,225,8.9,2.3
Ashfield,Franklin County,MA,Ashfield,2009-2013,1383,109,7.9,2.4
Ashfield,Franklin County,MA,Ashfield,2007-2011,1397,135,9.7,2.6
Ashfield,Franklin County,MA,Ashfield,2006-2010,1352,124,9.2,2.9
Ashfield,Franklin County,MA,Ashfield,2008-2012,1327,111,8.4,2.8
Ashfield,Franklin County,MA,Ashfield,2010-2014,1390,141,10.1,3
Ashfield,Franklin County,MA,Ashfield,2014-2018,1336,124,9.3,2.5
Ashfield,Franklin County,MA,Ashfield,2013-2017,1348,108,8,2.4
Ashfield,Franklin County,MA,Ashfield,2012-2016,1356,109,8,2
Ashfield,Franklin County,MA,Ashfield,2011-2015,1336,126,9.4,2.6
Ashland,Middlesex County,MA,Ashland,2011-2015,13032,823,6.3,1.5
Ashland,Middlesex County,MA,Ashland,2014-2018,13514,892,6.6,1.2
Ashland,Middlesex County,MA,Ashland,2006-2010,11859,952,8,1.4
Ashland,Middlesex County,MA,Ashland,2007-2011,12146,955,7.9,1.6
Ashland,Middlesex County,MA,Ashland,2012-2016,13416,915,6.8,1.4
Ashland,Middlesex County,MA,Ashland,2010-2014,13024,879,6.7,1.4
Ashland,Middlesex County,MA,Ashland,2013-2017,13445,875,6.5,1.4
Ashland,Middlesex County,MA,Ashland,2009-2013,13213,832,6.3,1.4
Ashland,Middlesex County,MA,Ashland,2008-2012,12430,896,7.2,1.5
Athol,Worcester County,MA,Athol,2012-2016,9121,840,9.2,1.6
Athol,Worcester County,MA,Athol,2011-2015,9148,937,10.2,1.5
Athol,Worcester County,MA,Athol,2010-2014,9149,993,10.9,1.6
Athol,Worcester County,MA,Athol,2007-2011,8856,1109,12.5,1.9
Athol,Worcester County,MA,Athol,2008-2012,8726,1040,11.9,1.7
Athol,Worcester County,MA,Athol,2006-2010,8836,1197,13.5,2
Athol,Worcester County,MA,Athol,2013-2017,9294,799,8.6,1.8
Athol,Worcester County,MA,Athol,2009-2013,8907,1045,11.7,1.6
Athol,Worcester County,MA,Athol,2014-2018,9337,832,8.9,1.5
Attleboro,Bristol County,MA,Attleboro,2012-2016,33629,2497,7.4,0.9
Attleboro,Bristol County,MA,Attleboro,2008-2012,33516,2948,8.8,1.2
Attleboro,Bristol County,MA,Attleboro,2007-2011,33317,3093,9.3,1
Attleboro,Bristol County,MA,Attleboro,2011-2015,33580,2530,7.5,0.9
Attleboro,Bristol County,MA,Attleboro,2010-2014,33789,2831,8.4,1.1
Attleboro,Bristol County,MA,Attleboro,2009-2013,33663,2827,8.4,1
Attleboro,Bristol County,MA,Attleboro,2014-2018,34590,2631,7.6,1.1
Attleboro,Bristol County,MA,Attleboro,2013-2017,34126,2627,7.7,1.2
Attleboro,Bristol County,MA,Attleboro,2006-2010,33233,3067,9.2,1.1
Auburn,Worcester County,MA,Auburn,2012-2016,13304,1280,9.6,1.1
Auburn,Worcester County,MA,Auburn,2013-2017,13483,1228,9.1,1.1
Auburn,Worcester County,MA,Auburn,2011-2015,13115,1182,9,1.3
Auburn,Worcester County,MA,Auburn,2008-2012,12808,1347,10.5,1.4
Auburn,Worcester County,MA,Auburn,2010-2014,13037,1200,9.2,1.4
Auburn,Worcester County,MA,Auburn,2014-2018,13639,1173,8.6,1.3
Auburn,Worcester County,MA,Auburn,2009-2013,12871,1320,10.3,1.6
Auburn,Worcester County,MA,Auburn,2007-2011,12795,1372,10.7,1.7
Auburn,Worcester County,MA,Auburn,2006-2010,12656,1436,11.3,1.4
Avon,Norfolk County,MA,Avon,2010-2014,3565,327,9.2,2.3
Avon,Norfolk County,MA,Avon,2012-2016,3719,282,7.6,2.7
Avon,Norfolk County,MA,Avon,2011-2015,3640,352,9.7,2.6
Avon,Norfolk County,MA,Avon,2007-2011,3411,368,10.8,2.9
Avon,Norfolk County,MA,Avon,2014-2018,3707,236,6.4,2
Avon,Norfolk County,MA,Avon,2013-2017,3715,239,6.4,2.1
Avon,Norfolk County,MA,Avon,2009-2013,3581,409,11.4,3.3
Avon,Norfolk County,MA,Avon,2008-2012,3495,404,11.6,3.3
Avon,Norfolk County,MA,Avon,2006-2010,3412,399,11.7,3
Ayer,Middlesex County,MA,Ayer,2013-2017,6350,793,12.5,4.2
Ayer,Middlesex County,MA,Ayer,2011-2015,6223,605,9.7,3.1
Ayer,Middlesex County,MA,Ayer,2012-2016,6254,747,11.9,4
Ayer,Middlesex County,MA,Ayer,2008-2012,5917,690,11.7,3.3
Ayer,Middlesex County,MA,Ayer,2006-2010,5782,746,12.9,4.1
Ayer,Middlesex County,MA,Ayer,2010-2014,6103,621,10.2,2.9
Ayer,Middlesex County,MA,Ayer,2007-2011,5943,756,12.7,3.8
Ayer,Middlesex County,MA,Ayer,2014-2018,6360,628,9.9,3.4
Ayer,Middlesex County,MA,Ayer,2009-2013,6126,799,13,3.8
Barnstable,Barnstable County,MA,Barnstable,2006-2010,36976,4794,13,1
Barnstable,Barnstable County,MA,Barnstable,2013-2017,36695,3452,9.4,1
Barnstable,Barnstable County,MA,Barnstable,2014-2018,36839,3306,9,0.9
Barnstable,Barnstable County,MA,Barnstable,2009-2013,36894,3996,10.8,0.9
Barnstable,Barnstable County,MA,Barnstable,2012-2016,36977,3755,10.2,0.8
Barnstable,Barnstable County,MA,Barnstable,2011-2015,36927,3824,10.4,0.8
Barnstable,Barnstable County,MA,Barnstable,2010-2014,36905,3917,10.6,1
Barnstable,Barnstable County,MA,Barnstable,2008-2012,36801,4124,11.2,1
Barnstable,Barnstable County,MA,Barnstable,2007-2011,36764,4402,12,1
Barre,Worcester County,MA,Barre,2010-2014,3985,368,9.2,2.8
Barre,Worcester County,MA,Barre,2011-2015,4115,384,9.3,3.2
Barre,Worcester County,MA,Barre,2008-2012,4054,366,9,3.4
Barre,Worcester County,MA,Barre,2007-2011,4138,416,10.1,3.4
Barre,Worcester County,MA,Barre,2012-2016,4237,431,10.2,3.3
Barre,Worcester County,MA,Barre,2013-2017,4262,421,9.9,4.1
Barre,Worcester County,MA,Barre,2006-2010,4179,426,10.2,3.8
Barre,Worcester County,MA,Barre,2009-2013,4031,362,9,3
Barre,Worcester County,MA,Barre,2014-2018,4366,372,8.5,3.3
Becket,Berkshire County,MA,Becket,2009-2013,1573,150,9.5,2.7
Becket,Berkshire County,MA,Becket,2008-2012,1603,135,8.4,3.7
Becket,Berkshire County,MA,Becket,2010-2014,1553,157,10.1,3.2
Becket,Berkshire County,MA,Becket,2013-2017,1534,147,9.6,2.4
Becket,Berkshire County,MA,Becket,2011-2015,1518,145,9.6,2.3
Becket,Berkshire County,MA,Becket,2007-2011,1485,117,7.9,3.5
Becket,Berkshire County,MA,Becket,2014-2018,1568,137,8.7,2.2
Becket,Berkshire County,MA,Becket,2006-2010,1315,122,9.3,3.8
Becket,Berkshire County,MA,Becket,2012-2016,1452,132,9.1,2.3
Bedford,Middlesex County,MA,Bedford,2013-2017,10524,831,7.9,1.6
Bedford,Middlesex County,MA,Bedford,2009-2013,10243,1092,10.7,2.3
Bedford,Middlesex County,MA,Bedford,2006-2010,9820,1412,14.4,2.1
Bedford,Middlesex County,MA,Bedford,2012-2016,10512,824,7.8,1.8
Bedford,Middlesex County,MA,Bedford,2010-2014,10250,952,9.3,2.3
Bedford,Middlesex County,MA,Bedford,2008-2012,9887,1166,11.8,2.7
Bedford,Middlesex County,MA,Bedford,2011-2015,10399,870,8.4,2.1
Bedford,Middlesex County,MA,Bedford,2014-2018,10469,758,7.2,1.9
Bedford,Middlesex County,MA,Bedford,2007-2011,9762,1257,12.9,3.4
Belchertown,Hampshire County,MA,Belchertown,2010-2014,11140,1283,11.5,2.1
Belchertown,Hampshire County,MA,Belchertown,2013-2017,11555,1066,9.2,1.7
Belchertown,Hampshire County,MA,Belchertown,2009-2013,11139,1363,12.2,2
