school.name,ORG.CODE,Municipal,County,State,Google_Place,Lat,Lng,Loc.Type,Address,loc
Center Elementary School,10002,Abington,Plymouth,Massachusetts,Center School,42.1041551,-70.9443314,school,"65 Thaxter Ave, Abington, MA 02351, United States",42.1041551_-70.9443314
Beaver Brook Elementary School,10003,Abington,Plymouth,Massachusetts,Beaver Brook Elementary,42.119108,-70.9439993,school,"1 Ralph G Hamlin Jr Ln, Abington, MA 02351, United States",42.1191080_-70.9439993
Center,10005,Abington,Plymouth,Massachusetts,Center School,42.1041551,-70.9443314,school,"65 Thaxter Ave, Abington, MA 02351, United States",42.1041551_-70.9443314
North,10010,Abington,Plymouth,Massachusetts,Abington Public School District,42.1262336,-70.9430176,school,"171 Adams St, Abington, MA 02351, United States",42.1262336_-70.9430176
Woodsdale Elementary School,10015,Abington,Plymouth,Massachusetts,Woodsdale Elementary School,42.1304268,-70.972681,school,"128 Chestnut St, Abington, MA 02351, United States",42.1304268_-70.9726810
Frolio Middle School,10405,Abington,Plymouth,Massachusetts,Charles M. Frolio School,42.120066,-70.9460189,school,"1071 Washington St, Abington, MA 02351, United States",42.1200660_-70.9460189
Abington High,10505,Abington,Plymouth,Massachusetts,Abington High School,42.1184826,-70.9535277,school,"201 Gliniewicz Way, Abington, MA 02351, United States",42.1184826_-70.9535277
Merriam,20010,Acton,Middlesex,Massachusetts,Merriam Elementary School,42.4769084,-71.4535894,school,"11 Charter Rd, Acton, MA 01720, United States",42.4769084_-71.4535894
McCarthy-Towne,20015,Acton,Middlesex,Massachusetts,McCarthy-Towne School,42.4769577,-71.4539435,school,"11 Charter Rd, Acton, MA 01720, United States",42.4769577_-71.4539435
Douglas,20020,Acton,Middlesex,Massachusetts,Douglas Elementary School,42.4816957,-71.4716724,school,"21 Elm St, Acton, MA 01720, United States",42.4816957_-71.4716724
Gates,20025,Acton,Middlesex,Massachusetts,Paul P Gates Elementary School,42.4792045,-71.4736581,school,"75 Spruce St, Acton, MA 01720, United States",42.4792045_-71.4736581
Luther Conant,20030,Acton,Middlesex,Massachusetts,Luther Conant School,42.4751878,-71.4363831,school,"80 Taylor Rd, Acton, MA 01720, United States",42.4751878_-71.4363831
Acushnet Elementary School,30025,Acushnet,Bristol,Massachusetts,Acushnet Elementary School,41.7254237,-70.9059014,school,"800 Middle Rd, Acushnet, MA 02743, United States",41.7254237_-70.9059014
Albert F Ford Middle School,30305,Acushnet,Bristol,Massachusetts,Ford Middle School,41.7233555,-70.9049794,school,"708 Middle Rd, Acushnet, MA 02743, United States",41.7233555_-70.9049794
Agawam Early Childhood Center,50003,Agawam,Hampden,Massachusetts,Early Childhood Center,42.0670045,-72.6281712,school,"108 Perry Ln, Agawam, MA 01001, United States",42.0670045_-72.6281712
Clifford M Granger,50010,Agawam,Hampden,Massachusetts,Clifford Granger Elementary,42.0660162,-72.6774382,school,"31 S Westfield St, Feeding Hills, MA 01030, United States",42.0660162_-72.6774382
Benjamin J Phelps,50020,Agawam,Hampden,Massachusetts,Benjamin Phelps Elementary,42.07028,-72.6134115,school,"689 Main St, Agawam, MA 01001, United States",42.0702800_-72.6134115
Robinson Park,50025,Agawam,Hampden,Massachusetts,Robinson Park,42.0898205,-72.6418162,school,"Agawam, MA 01001, United States",42.0898205_-72.6418162
James Clark School,50030,Agawam,Hampden,Massachusetts,James Clark Elementary School,42.0454725,-72.6314773,school,"65 Oxford St, Agawam, MA 01001, United States",42.0454725_-72.6314773
Roberta G. Doering School,50303,Agawam,Hampden,Massachusetts,Doering School,42.0878628,-72.6249679,school,"68 Main St, Agawam, MA 01001, United States",42.0878628_-72.6249679
Agawam Junior High,50405,Agawam,Hampden,Massachusetts,Agawam Junior High School,42.0639714,-72.6739284,school,"1305 Springfield St, Feeding Hills, MA 01030, United States",42.0639714_-72.6739284
Agawam High,50505,Agawam,Hampden,Massachusetts,Agawam High School,42.0742612,-72.6448127,school,"760 Cooper St, Agawam, MA 01001, United States",42.0742612_-72.6448127
Amesbury Elementary,70005,Amesbury,Essex,Massachusetts,Amesbury Elementary School,42.8659891,-70.9318918,school,"Amesbury, MA 01913, United States",42.8659891_-70.9318918
Charles C Cashman Elementary,70010,Amesbury,Essex,Massachusetts,Charles C Cashman Elem School,42.8567245,-70.9492396,school,"193 Lions Mouth Rd, Amesbury, MA 01913, United States",42.8567245_-70.9492396
Amesbury Middle,70013,Amesbury,Essex,Massachusetts,Amesbury Middle School,42.8489847,-70.9294998,school,"220 Main St, Amesbury, MA 01913, United States",42.8489847_-70.9294998
Amesbury High,70505,Amesbury,Essex,Massachusetts,Amesbury High School,42.8510349,-70.9421191,school,"5 Highland St, Amesbury, MA 01913, United States",42.8510349_-70.9421191
Crocker Farm Elementary,80009,Amherst,Hampshire,Massachusetts,Crocker Farm Elementary School,42.3472776,-72.5175329,school,"280 West St, Amherst, MA 01002, United States",42.3472776_-72.5175329
Fort River Elementary,80020,Amherst,Hampshire,Massachusetts,Fort River Elementary School,42.374791,-72.497669,school,"70 S East St, Amherst, MA 01002, United States",42.3747910_-72.4976690
Marks Meadow Laboratory,80030,Amherst,Hampshire,Massachusetts,Marks Meadow Elementary School,42.3981844,-72.5266365,university,"813 N Pleasant St, Amherst, MA 01002, United States",42.3981844_-72.5266365
Wildwood Elementary,80050,Amherst,Hampshire,Massachusetts,Wildwood Elementary School,42.3872429,-72.5132239,school,"Amherst, MA 01002, United States",42.3872429_-72.5132239
Bancroft Elementary,90003,Andover,Essex,Massachusetts,Bancroft School,42.6370369,-71.1258895,school,"15 Bancroft Rd, Andover, MA 01810, United States",42.6370369_-71.1258895
High Plain Elementary,90004,Andover,Essex,Massachusetts,High Plain Elementary School,42.664198,-71.212349,school,"333 High Plain Rd, Andover, MA 01810, United States",42.6641980_-71.2123490
Shawsheen School,90005,Andover,Essex,Massachusetts,Shawsheen School,42.6762646,-71.1549564,school,"18 Magnolia Ave, Andover, MA 01810, United States",42.6762646_-71.1549564
Henry C Sanborn Elementary,90010,Andover,Essex,Massachusetts,Henry C Sanborn Elementary School,42.6420646,-71.1786014,school,"90 Lovejoy Rd, Andover, MA 01810, United States",42.6420646_-71.1786014
South Elementary,90020,Andover,Essex,Massachusetts,South Elementary School,42.6262663,-71.1498191,school,"01810, 55 Woburn St, Andover, MA 01810, United States",42.6262663_-71.1498191
West Elementary,90025,Andover,Essex,Massachusetts,West Elementary School,42.6645343,-71.1717153,school,"58 Beacon St, Andover, MA 01810, United States",42.6645343_-71.1717153
Doherty Middle,90305,Andover,Essex,Massachusetts,Doherty Middle School,42.6534254,-71.1361678,school,"50 Bartlet St, Andover, MA 01810, United States",42.6534254_-71.1361678
Andover West Middle,90310,Andover,Essex,Massachusetts,West Middle School,42.6590223,-71.1524391,school,"70 Shawsheen Rd, Andover, MA 01810, United States",42.6590223_-71.1524391
Wood Hill Middle School,90350,Andover,Essex,Massachusetts,Wood Hill Middle School,42.6653,-71.2133,school,"11 Cross St, Andover, MA 01810, United States",42.6653000_-71.2133000
Andover High,90505,Andover,Essex,Massachusetts,Andover High School,42.6571642,-71.1554961,school,"80 Shawsheen Rd, Andover, MA 01810, United States",42.6571642_-71.1554961
John A Bishop,100005,Arlington,Middlesex,Massachusetts,Bishop Elementary School,42.4243203,-71.1546251,school,"25 Columbia Rd, Arlington, MA 02474, United States",42.4243203_-71.1546251
Brackett,100010,Arlington,Middlesex,Massachusetts,Brackett Elementary School,42.4124585,-71.1764565,school,"66 Eastern Ave, Arlington, MA 02476, United States",42.4124585_-71.1764565
Cyrus E Dallin,100025,Arlington,Middlesex,Massachusetts,Dallin Elementary School,42.4176518,-71.1878321,school,"185 Florence Ave, Arlington, MA 02476, United States",42.4176518_-71.1878321
Hardy,100030,Arlington,Middlesex,Massachusetts,Hardy Elementary School,42.4043155,-71.1456317,school,"52 Lake St, Arlington, MA 02474, United States",42.4043155_-71.1456317
Menotomy Preschool,100038,Arlington,Middlesex,Massachusetts,Menotomy Preschool,42.4183376,-71.1608683,school,"Millbrook Drive, Arlington, MA 02476, United States",42.4183376_-71.1608683
Peirce,100045,Arlington,Middlesex,Massachusetts,Peirce School,42.4287056,-71.1783327,school,"85 Park Avenue Extension, Arlington, MA 02474, United States",42.4287056_-71.1783327
Thompson,100050,Arlington,Middlesex,Massachusetts,Thompson Elementary School,42.4119797,-71.1386793,school,"187 Everett St, Arlington, MA 02474, United States",42.4119797_-71.1386793
M Norcross Stratton,100055,Arlington,Middlesex,Massachusetts,Stratton Elementary School,42.4289318,-71.1673266,school,"180 Mountain Ave, Arlington, MA 02474, United States",42.4289318_-71.1673266
Ottoson Middle,100410,Arlington,Middlesex,Massachusetts,Ottoson Middle School,42.421107,-71.175771,school,"63 Acton St, Arlington, MA 02476, United States",42.4211070_-71.1757710
Arlington High,100505,Arlington,Middlesex,Massachusetts,Arlington High School,42.4181532,-71.1617188,school,"869 Massachusetts Ave, Arlington, MA 02476, United States",42.4181532_-71.1617188
William Pittaway Elementary,140005,Ashland,Middlesex,Massachusetts,William Pittaway Elementary School,42.2581367,-71.4598417,school,"75 Central St, Ashland, MA 01721, United States",42.2581367_-71.4598417
Henry E Warren Elementary,140010,Ashland,Middlesex,Massachusetts,Henry E. Warren Elementary School,42.2420478,-71.4450587,school,"73 Fruit St, Ashland, MA 01721, United States",42.2420478_-71.4450587
David Mindess,140015,Ashland,Middlesex,Massachusetts,David Mindess School,42.2635401,-71.4601323,school,"90 Concord St, Ashland, MA 01721, United States",42.2635401_-71.4601323
Ashland Middle,140405,Ashland,Middlesex,Massachusetts,Ashland Middle School,42.2516651,-71.4749157,school,"87 W Union St, Ashland, MA 01721, United States",42.2516651_-71.4749157
Ashland High,140505,Ashland,Middlesex,Massachusetts,Ashland High School,42.2623135,-71.4457498,school,"65 E Union St, Ashland, MA 01721, United States",42.2623135_-71.4457498
A. Irvin Studley Elementary School,160001,Attleboro,Bristol,Massachusetts,A. Irvin Studley Elementary School,41.9370406,-71.3056095,school,United States,41.9370406_-71.3056095
Early Learning Center,160008,Attleboro,Bristol,Massachusetts,Early Childhood Center,41.9319863,-71.2805209,school,"7 James St, Attleboro, MA 02703, United States",41.9319863_-71.2805209
Thomas E. Willett School,160035,Attleboro,Bristol,Massachusetts,City of Attleboro: Willett Elementary School,41.9462107,-71.2914418,school,"100 Rathbun Willard Dr, Attleboro, MA 02703, United States",41.9462107_-71.2914418
Hyman Fine Elementary School,160040,Attleboro,Bristol,Massachusetts,Hyman Fine Elementary School,41.9161716,-71.2720138,school,"790 Oak Hill Ave, Attleboro, MA 02703, United States",41.9161716_-71.2720138
Hill-Roberts Elementary School,160045,Attleboro,Bristol,Massachusetts,Hill Roberts Elementary School,41.9189599,-71.3523086,school,"80 Roy Ave, Attleboro, MA 02703, United States",41.9189599_-71.3523086
Peter Thacher Elementary School,160050,Attleboro,Bristol,Massachusetts,Peter Thacher Elementary School,41.9317562,-71.280343,school,"7 James St, Attleboro, MA 02703, United States",41.9317562_-71.2803430
Robert J. Coelho Middle School,160305,Attleboro,Bristol,Massachusetts,Robert J Coelho Middle School,41.9096054,-71.3688613,school,"99 Brown St, Attleboro, MA 02703, United States",41.9096054_-71.3688613
Cyril K. Brennan Middle School,160315,Attleboro,Bristol,Massachusetts,Cyril K. Brennan Middle School,41.9376387,-71.3079575,school,"320 Rathbun Willard Dr, Attleboro, MA 02703, United States",41.9376387_-71.3079575
Wamsutta Middle School,160320,Attleboro,Bristol,Massachusetts,Wamsutta Middle School,41.9133007,-71.2806793,school,"300 Locust St, Attleboro, MA 02703, United States",41.9133007_-71.2806793
Attleboro High,160505,Attleboro,Bristol,Massachusetts,Attleboro High School,41.9387002,-71.3030112,school,"100 Rathbun Willard Dr, Attleboro, MA 02703, United States",41.9387002_-71.3030112
Julia Bancroft,170005,Auburn,Worcester,Massachusetts,Julia Bancroft,42.2197293,-71.844685,school,"3 Vinal St, Auburn, MA 01501, United States",42.2197293_-71.8446850
Bryn Mawr,170010,Auburn,Worcester,Massachusetts,Bryn Mawr School,42.2046641,-71.8451388,school,"35 Swanson Rd, Auburn, MA 01501, United States",42.2046641_-71.8451388
Pakachoag,170015,Auburn,Worcester,Massachusetts,Pakachoag School,42.2237963,-71.8151002,school,"110 Pakachoag St, Auburn, MA 01501, United States",42.2237963_-71.8151002
Mary D Stone,170025,Auburn,Worcester,Massachusetts,Mary D Stone,42.1951773,-71.8365643,school,"Auburn, MA 01501, United States",42.1951773_-71.8365643
Auburn Middle,170305,Auburn,Worcester,Massachusetts,Auburn Middle School,42.1836095,-71.8681497,school,"9 West St, Auburn, MA 01501, United States",42.1836095_-71.8681497
Auburn Senior High,170505,Auburn,Worcester,Massachusetts,Auburn High School,42.2077771,-71.8369818,school,"99 Auburn St, Auburn, MA 01501, United States",42.2077771_-71.8369818
Ralph D Butler,180010,Avon,Norfolk,Massachusetts,Ralph D. Butler Elementary,42.1160049,-71.0457402,school,"1 Patrick Clark Dr, Avon, MA 02322, United States",42.1160049_-71.0457402
Avon Middle High School,180510,Avon,Norfolk,Massachusetts,Avon Middle High School,42.1294654,-71.0430606,school,"285 W Main St, Avon, MA 02322, United States",42.1294654_-71.0430606
Page-Hilltop,190025,Ayer,Middlesex,Massachusetts,Page Hilltop Elementary School,42.5666766,-71.5790712,school,"115 Washington St, Ayer, MA 01432, United States",42.5666766_-71.5790712
Ayer Middle,190305,Shirley,Middlesex,Massachusetts,Ayer Shirley Regional Middle School,42.5460261,-71.6391742,school,"1 Hospital Rd, Shirley, MA 01464, United States",42.5460261_-71.6391742
Ayer High,190510,Ayer,Middlesex,Massachusetts,Ayer Shirley Regional High School,42.5667399,-71.5757882,school,"141 Washington St, Ayer, MA 01432, United States",42.5667399_-71.5757882
Barnstable Early Learning Center,200004,Barnstable,Barnstable,Massachusetts,Barnstable Early Learning,41.6545982,-70.321461,school,"744 W Main St, Hyannis, MA 02601, United States",41.6545982_-70.3214610
West Barnstable Elementary,200005,Barnstable,Barnstable,Massachusetts,West Barnstable Elementary School,41.6987314,-70.3269705,school,"2463 Main St, West Barnstable, MA 02668, United States",41.6987314_-70.3269705
Centerville Elementary,200010,Barnstable,Barnstable,Massachusetts,Centerville Elementary School,41.646175,-70.353557,school,"658 Bay Ln, Centerville, MA 02632, United States",41.6461750_-70.3535570
Cotuit Elem,200015,Barnstable,Barnstable,Massachusetts,Barnstable Intermediate School,41.6591465,-70.320823,school,"895 Falmouth Rd, Hyannis, MA 02601, United States",41.6591465_-70.3208230
Hyannis Elementary,200020,Barnstable,Barnstable,Massachusetts,Hyannis West Elementary School,41.6497299,-70.3162316,school,"549 W Main St, Hyannis, MA 02601, United States",41.6497299_-70.3162316
Hyannis West Elementary,200025,Barnstable,Barnstable,Massachusetts,Hyannis West Elementary School,41.6497299,-70.3162316,school,"549 W Main St, Hyannis, MA 02601, United States",41.6497299_-70.3162316
Marstons Mills Elem,200030,Barnstable,Barnstable,Massachusetts,West Villages Elementary School,41.6626884,-70.3872852,school,"760 Osterville West Barnstable Rd, Marstons Mills, MA 02648, United States",41.6626884_-70.3872852
Marstons Mills East,200032,Barnstable,Barnstable,Massachusetts,West Villages Elementary School,41.6626884,-70.3872852,school,"760 Osterville West Barnstable Rd, Marstons Mills, MA 02648, United States",41.6626884_-70.3872852
Osterville Elementary,200035,Barnstable,Barnstable,Massachusetts,West Villages Elementary School,41.6626884,-70.3872852,school,"760 Osterville West Barnstable Rd, Marstons Mills, MA 02648, United States",41.6626884_-70.3872852
Osterville Bay Elementary,200040,Barnstable,Barnstable,Massachusetts,Barnstable Public School District,41.6768833,-70.3598758,political,"Barnstable Public School District, Barnstable, MA, USA",41.6768833_-70.3598758
West Villages Elementary School,200045,Barnstable,Barnstable,Massachusetts,West Villages Elementary School,41.6626884,-70.3872852,school,"760 Osterville West Barnstable Rd, Marstons Mills, MA 02648, United States",41.6626884_-70.3872852
Barnstable United Elementary School,200050,Barnstable,Barnstable,Massachusetts,United elementary,41.6610982,-70.3891146,school,"730 Osterville West Barnstable Rd, Marstons Mills, MA 02648, United States",41.6610982_-70.3891146
Middle School/Hyannis,200305,Barnstable,Barnstable,Massachusetts,Barnstable Intermediate School,41.6591465,-70.320823,school,"895 Falmouth Rd, Hyannis, MA 02601, United States",41.6591465_-70.3208230
Barnstable Intermediate School,200315,Barnstable,Barnstable,Massachusetts,Barnstable Intermediate School,41.6591465,-70.320823,school,"895 Falmouth Rd, Hyannis, MA 02601, United States",41.6591465_-70.3208230
Barnstable High,200505,Barnstable,Barnstable,Massachusetts,Barnstable High School,41.6549357,-70.3213375,school,"744 W Main St, Hyannis, MA 02601, United States",41.6549357_-70.3213375
Lt Elezer Davis,230010,Bedford,Middlesex,Massachusetts,Davis Elementary School,42.4848356,-71.3093214,school,"410 Davis Rd, Bedford, MA 01730, United States",42.4848356_-71.3093214
Lt Job Lane School,230012,Bedford,Middlesex,Massachusetts,Lt. Job Lane Elementary School,42.5155035,-71.2796272,school,"66 Sweetwater Ave, Bedford, MA 01730, United States",42.5155035_-71.2796272
John Glenn Middle,230305,Bedford,Middlesex,Massachusetts,John Glenn Middle School,42.4883698,-71.2860113,school,"99 McMahon Rd, Bedford, MA 01730, United States",42.4883698_-71.2860113
Bedford High,230505,Bedford,Middlesex,Massachusetts,Bedford High School,42.4913203,-71.2853963,school,"9 Mudge Way, Bedford, MA 01730, United States",42.4913203_-71.2853963
Berkshire Avenue School,240002,Belchertown,Hampshire,Massachusetts,Belchertown State School,42.2731423,-72.4166346,health,"6 Berkshire Ave, Belchertown, MA 01007, United States",42.2731423_-72.4166346
Chestnut Hill Community,240004,Belchertown,Hampshire,Massachusetts,Chestnut Hill Community School,42.2677803,-72.4121855,school,"59 State St, Belchertown, MA 01007, United States",42.2677803_-72.4121855
Cold Spring,240005,Belchertown,Hampshire,Massachusetts,Cold Spring School,42.2744371,-72.3961552,school,"57 S Main St, Belchertown, MA 01007, United States",42.2744371_-72.3961552
Chestnut Hill Community School,240006,Belchertown,Hampshire,Massachusetts,Chestnut Hill Community School,42.2677803,-72.4121855,school,"59 State St, Belchertown, MA 01007, United States",42.2677803_-72.4121855
Swift River Elementary,240018,Belchertown,Hampshire,Massachusetts,Swift River Elementary School,42.2682754,-72.4102978,school,"57 State St, Belchertown, MA 01007, United States",42.2682754_-72.4102978
Tadgell Hall,240020,Belchertown,Hampshire,Massachusetts,7 Berkshire Ave,42.271974,-72.4150341,street_address,"7 Berkshire Ave, Belchertown, MA 01007, USA",42.2719740_-72.4150341
Jabish Middle School,240025,Belchertown,Hampshire,Massachusetts,Jabish Middle School,42.2674528,-72.3993497,school,"62 N Washington St, Belchertown, MA 01007, United States",42.2674528_-72.3993497
Belchertown High,240505,Belchertown,Hampshire,Massachusetts,Belchertown High School,42.266482,-72.4101518,school,"142 Springfield Rd, Belchertown, MA 01007, United States",42.2664820_-72.4101518
Bellingham Early Childhood Center,250003,Bellingham,Norfolk,Massachusetts,Bellingham Early Childhood,42.123497,-71.459341,school,"342 Hartford Ave, Bellingham, MA 02019, United States",42.1234970_-71.4593410
Clara Macy Elementary,250009,Bellingham,Norfolk,Massachusetts,Clara Macy Elementary School,42.107377,-71.478494,school,"60 Monique Dr, Bellingham, MA 02019, United States",42.1073770_-71.4784940
South Elementary,250020,Bellingham,Norfolk,Massachusetts,South Elementary School,42.0344267,-71.4894753,school,"70 Harpin St, Bellingham, MA 02019, United States",42.0344267_-71.4894753
Stall Brook,250025,Bellingham,Norfolk,Massachusetts,Stall Brook School,42.1226955,-71.4573412,school,"342 Hartford Ave, Bellingham, MA 02019, United States",42.1226955_-71.4573412
Bellingham Memorial Middle School,250315,Bellingham,Norfolk,Massachusetts,Bellingham Memorial Middle School,42.0746206,-71.4749687,school,"130 Blackstone St, Bellingham, MA 02019, United States",42.0746206_-71.4749687
Bellingham High School,250505,Bellingham,Norfolk,Massachusetts,Bellingham High School,42.0751635,-71.4684972,school,"60 Blackstone St, Bellingham, MA 02019, United States",42.0751635_-71.4684972
Primavera Junior/Senior High School,250510,Bellingham,Norfolk,Massachusetts,Primavera Junior/Senior High School,42.0334772,-71.4878697,school,"80 Harpin St, Bellingham, MA 02019, United States",42.0334772_-71.4878697
Winn Brook,260005,Belmont,Middlesex,Massachusetts,Winn Brook Elementary School,42.3995481,-71.1650347,school,"97 Waterhouse Rd, Belmont, MA 02478, United States",42.3995481_-71.1650347
Mary Lee Burbank,260010,Belmont,Middlesex,Massachusetts,Burbank Elementary,42.3884725,-71.1641812,school,"266 School St, Belmont, MA 02478, United States",42.3884725_-71.1641812
Daniel Butler,260015,Belmont,Middlesex,Massachusetts,Daniel Butler School,42.3859776,-71.1878295,school,"90 White St, Belmont, MA 02478, United States",42.3859776_-71.1878295
Roger E Wellington,260035,Belmont,Middlesex,Massachusetts,Roger E Wellington School,42.3922261,-71.1720168,school,"121 Orchard St, Belmont, MA 02478, United States",42.3922261_-71.1720168
Winthrop L Chenery Middle,260305,Belmont,Middlesex,Massachusetts,W L Chenery Middle School,42.3856501,-71.1711185,school,"95 Washington St, Belmont, MA 02478, United States",42.3856501_-71.1711185
Belmont High,260505,Belmont,Middlesex,Massachusetts,Belmont High School,42.39523,-71.1652225,school,"221 Concord Ave, Belmont, MA 02478, United States",42.3952300_-71.1652225
Berkley Community School,270010,Berkley,Bristol,Massachusetts,Berkley Community School,41.8332992,-71.0883288,school,"59 S Main St, Berkley, MA 02779, United States",41.8332992_-71.0883288
Berkley Middle School,270305,Berkley,Bristol,Massachusetts,Berkley Middle School,41.8483366,-71.086016,school,"21 N Main St, Berkley, MA 02779, United States",41.8483366_-71.0860160
Berlin Memorial,280005,Berlin,Worcester,Massachusetts,Berlin Memorial School,42.3780187,-71.6386453,school,"34 South St, Berlin, MA 01503, United States",42.3780187_-71.6386453
Centerville Elementary,300010,Beverly,Essex,Massachusetts,Centerville Elementary,42.5801084,-70.8415917,school,"17 Hull St, Beverly, MA 01915, United States",42.5801084_-70.8415917
Cove Elementary,300015,Beverly,Essex,Massachusetts,Cove Elementary School,42.5560175,-70.8584402,school,"20 Eisenhower Ave, Beverly, MA 01915, United States",42.5560175_-70.8584402
Hannah Elementary,300033,Beverly,Essex,Massachusetts,Hannah Elementary School,42.5673172,-70.8683822,school,"R41 Brimbal Ave, Beverly, MA 01915, United States",42.5673172_-70.8683822
McKeown Elementary,300037,Beverly,Essex,Massachusetts,Mc Keown School,42.5632725,-70.8900668,school,"70 Balch St, Beverly, MA 01915, United States",42.5632725_-70.8900668
North Beverly Elementary,300040,Beverly,Essex,Massachusetts,North Beverly Elementary School,42.5805,-70.8793,school,"48 Putnam St, Beverly, MA 01915, United States",42.5805000_-70.8793000
Ayers/Ryal Side School,300055,Beverly,Essex,Massachusetts,Ayers/Ryal Side School,42.5512062,-70.890327,school,"40 Woodland Ave, Beverly, MA 01915, United States",42.5512062_-70.8903270
Briscoe Middle,300305,Beverly,Essex,Massachusetts,Briscoe Middle School,42.5597465,-70.8787894,school,"7 Sohier Rd, Beverly, MA 01915, United States",42.5597465_-70.8787894
Memorial Middle,300310,Beverly,Essex,Massachusetts,Briscoe Middle School,42.5597465,-70.8787894,school,"7 Sohier Rd, Beverly, MA 01915, United States",42.5597465_-70.8787894
Beverly High,300505,Beverly,Essex,Massachusetts,Beverly High School,42.5647755,-70.8811725,school,"100 Sohier Rd, Beverly, MA 01915, United States",42.5647755_-70.8811725
Thomas Ditson,310005,Billerica,Middlesex,Massachusetts,Thomas Ditson School,42.5369964,-71.2239296,school,"39 Cook St, Billerica, MA 01821, United States",42.5369964_-71.2239296
Frederick J Dutile,310007,Billerica,Middlesex,Massachusetts,FREDERICK J. DUTILE ELEMENTARY SCHOOL,42.5635618,-71.2940433,school,"10 Biagiotti Way, Billerica, MA 01821, United States",42.5635618_-71.2940433
John F Kennedy,310012,Billerica,Middlesex,Massachusetts,John F. Kennedy Elementary School,42.5663329,-71.2320578,school,"20 Kimbrough Rd, Billerica, MA 01821, United States",42.5663329_-71.2320578
Parker,310015,Billerica,Middlesex,Massachusetts,Parker Elementary School,42.5576962,-71.2727046,school,"52 River St, Billerica, MA 01821, United States",42.5576962_-71.2727046
Hajjar Elementary,310026,Billerica,Middlesex,Massachusetts,Hajjar Elementary School,42.585425,-71.2797329,school,"59 Rogers St, North Billerica, MA 01862, United States",42.5854250_-71.2797329
Eugene C Vining,310030,Billerica,Middlesex,Massachusetts,Eugene C. Vining Elementary School,42.533805,-71.258837,school,"121 Lexington Rd, Billerica, MA 01821, United States",42.5338050_-71.2588370
Marshall Middle School,310305,Billerica,Middlesex,Massachusetts,Marshall Middle School,42.5706407,-71.27183,school,"15 Floyd St, Billerica, MA 01821, United States",42.5706407_-71.2718300
Locke Middle,310310,Billerica,Middlesex,Massachusetts,Cyril D. Locke Middle School,42.5510887,-71.2454724,school,"110 Allen Rd, Billerica, MA 01821, United States",42.5510887_-71.2454724
Billerica Memorial High School,310505,Billerica,Middlesex,Massachusetts,Billerica Memorial High School,42.5609642,-71.2731919,school,"35 River St, Billerica, MA 01821, United States",42.5609642_-71.2731919
Lee Academy,350001,Boston,Suffolk,Massachusetts,Joseph Lee Elementary School,42.2922853,-71.0804479,school,"155 Talbot Ave, Dorchester, MA 02124, United States",42.2922853_-71.0804479
Early Childhood Center at Fifield (ECC-Fifield),350002,Boston,Suffolk,Massachusetts,25 Dunbar Ave,42.286794,-71.072708,street_address,"25 Dunbar Ave, Dorchester Center, MA 02124, USA",42.2867940_-71.0727080
Baldwin Early Learning Center,350003,Boston,Suffolk,Massachusetts,Baldwin Early Learning Center,42.342044,-71.1405238,school,"121 Corey Rd, Brighton, MA 02135, United States",42.3420440_-71.1405238
Lyon K-8,350004,Boston,Suffolk,Massachusetts,Mary Lyon School,42.3510304,-71.161459,school,"Beechcroft St, Boston, MA 02135, United States",42.3510304_-71.1614590
ELC,350005,Boston,Suffolk,Massachusetts,English Language Center - ELC Boston,42.358329,-71.061769,point_of_interest,"11 Beacon St, Boston, MA 02108, United States",42.3583290_-71.0617690
ELC,350006,Boston,Suffolk,Massachusetts,English Language Center - ELC Boston,42.358329,-71.061769,point_of_interest,"11 Beacon St, Boston, MA 02108, United States",42.3583290_-71.0617690
Agassiz,350007,Boston,Suffolk,Massachusetts,Agassiz School,42.306963,-71.114212,school,"20 Child St, Jamaica Plain, MA 02130, United States",42.3069630_-71.1142120
Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,Boston,Suffolk,Massachusetts,Ellison Parks Early Education School,42.2717653,-71.0916852,school,"108 Babson St, Mattapan, MA 02126, United States",42.2717653_-71.0916852
East Boston Early Childhood Center,350009,Boston,Suffolk,Massachusetts,East Boston EEC,42.3698437,-71.0342062,school,"135 Gove St, East Boston, MA 02128, United States",42.3698437_-71.0342062
Haynes Early Education Center,350010,Boston,Suffolk,Massachusetts,Haynes Early Education Center,42.3150654,-71.0788919,school,"263 Blue Hill Avenue, Roxbury, MA 02119, United States",42.3150654_-71.0788919
Alexander Hamilton,350011,Boston,Suffolk,Massachusetts,Alexander Hamilton School,42.3401102,-71.1547061,school,"198 Strathmore Rd, Brighton, MA 02135, United States",42.3401102_-71.1547061
Boston Teachers Union School,350012,Boston,Suffolk,Massachusetts,Boston Teachers Union School,42.2946217,-71.1159852,school,"25 Walk Hill St, Boston, MA 02130, United States",42.2946217_-71.1159852
Jackson Mann,350013,Boston,Suffolk,Massachusetts,Jackson/Mann K-8 School,42.3530757,-71.1376695,school,"40 Armington St, Allston, MA 02134, United States",42.3530757_-71.1376695
Curley K-8 School,350020,Boston,Suffolk,Massachusetts,Mary E Curley School,42.3185557,-71.1132315,school,"493 Centre St, Jamaica Plain, MA 02130, United States",42.3185557_-71.1132315
