"","x"
"Municipal",0
"County",0
"State",0
"Region",0
"Five_Year_Range",1
"Pop_25",324
"Margin_Error_Pop",31
"HS_Pct",5
"Margin_Error_HS",3
"Bachelors_Pct",14
"Margin_Error_Bach",3
"Grad_Pct",8
"Margin_Error_Grad",2
