Municipal,County,State,Region,Five_Year_Range,Pop_25,Margin_Error_Pop,HS_Pct,Margin_Error_HS,Bachelors_Pct,Margin_Error_Bach,Grad_Pct,Margin_Error_Grad
NA,NA County,NA,United States,2006-2010,199726659,18056,85,0.1,27.9,0.1,10.3,0.1
NA,NA County,NA,United States,2007-2011,202048123,16972,85.4,0.1,28.2,0.1,10.5,0.1
NA,NA County,NA,United States,2008-2012,204336017,15340,85.7,0.1,28.5,0.1,10.6,0.1
NA,NA County,NA,United States,2009-2013,206587852,15585,86,0.1,28.8,0.1,10.8,0.1
NA,NA County,NA,United States,2010-2014,209056129,15007,86.3,0.1,29.3,0.1,11,0.1
NA,NA County,NA,United States,2011-2015,211462522,16135,86.7,0.1,29.8,0.1,11.2,0.1
NA,NA County,NA,United States,2012-2016,213649147,15761,87,0.1,30.3,0.1,11.5,0.1
NA,NA County,NA,United States,2013-2017,216271644,15647,87.3,0.1,30.9,0.1,11.8,0.1
NA,NA County,NA,United States,2014-2018,218446071,16291,87.7,0.1,31.5,0.1,12.1,0.1
NA,NA County,MA,MA,2006-2010,4382378,675,88.7,0.1,38.3,0.2,16.4,0.1
NA,NA County,MA,MA,2007-2011,4419291,629,88.9,0.1,38.7,0.2,16.6,0.1
NA,NA County,MA,MA,2008-2012,4465898,555,89.1,0.1,39,0.2,16.8,0.1
NA,NA County,MA,MA,2009-2013,4510714,521,89.4,0.1,39.4,0.2,17.1,0.2
NA,NA County,MA,MA,2010-2014,4561346,533,89.5,0.1,40,0.2,17.4,0.1
NA,NA County,MA,MA,2011-2015,4610510,593,89.8,0.1,40.5,0.2,17.7,0.1
NA,NA County,MA,MA,2012-2016,4649997,519,90.1,0.1,41.2,0.2,18.2,0.1
NA,NA County,MA,MA,2013-2017,4706536,653,90.3,0.1,42.1,0.2,18.7,0.2
NA,NA County,MA,MA,2014-2018,4748795,565,90.4,0.1,42.9,0.2,19.1,0.2
NA,Barnstable County,MA,Barnstable County,2006-2010,164152,254,94.7,0.4,40.5,1,16.1,0.6
NA,Barnstable County,MA,Barnstable County,2007-2011,164014,230,94.9,0.5,40.5,0.9,16.3,0.6
NA,Barnstable County,MA,Barnstable County,2009-2013,164230,232,94.5,0.5,39.1,1,16.1,0.7
NA,Barnstable County,MA,Barnstable County,2010-2014,164363,241,95,0.4,39.9,0.7,16.9,0.5
NA,Barnstable County,MA,Barnstable County,2012-2016,164809,223,95.4,0.3,41.1,0.9,17.4,0.6
NA,Barnstable County,MA,Barnstable County,2011-2015,164458,238,95.1,0.4,40.1,0.9,17,0.5
NA,Barnstable County,MA,Barnstable County,2014-2018,165336,223,95.5,0.4,42.8,0.7,18.3,0.6
NA,Barnstable County,MA,Barnstable County,2013-2017,165101,215,95.6,0.4,41.7,0.8,17.8,0.6
NA,Barnstable County,MA,Barnstable County,2008-2012,164127,239,94.8,0.4,39.9,0.9,16.4,0.6
NA,Berkshire County,MA,Berkshire County,2013-2017,92897,143,90.8,0.7,33.2,1.1,14.9,0.8
NA,Berkshire County,MA,Berkshire County,2012-2016,92918,183,90.6,0.6,32.6,0.9,14.2,0.7
NA,Berkshire County,MA,Berkshire County,2014-2018,92946,204,91.1,0.7,33.4,1.3,14.7,0.8
NA,Berkshire County,MA,Berkshire County,2007-2011,93241,203,90.7,0.8,30.2,1.1,12.8,0.7
NA,Berkshire County,MA,Berkshire County,2009-2013,93121,198,90.6,0.6,30.3,1,13.4,0.7
NA,Berkshire County,MA,Berkshire County,2006-2010,93038,194,90.2,0.7,29.6,1.2,12.6,0.8
NA,Berkshire County,MA,Berkshire County,2011-2015,93114,189,90.7,0.6,31.6,1.1,13.8,0.7
NA,Berkshire County,MA,Berkshire County,2010-2014,93321,165,90.6,0.7,31.3,1.1,13.7,0.7
NA,Berkshire County,MA,Berkshire County,2008-2012,93083,200,91,0.6,29.8,1,12.6,0.8
NA,Bristol County,MA,Bristol County,2014-2018,390230,87,84.9,0.5,28,0.5,10.2,0.4
NA,Bristol County,MA,Bristol County,2011-2015,380990,149,82.8,0.5,25.9,0.5,9.3,0.3
NA,Bristol County,MA,Bristol County,2013-2017,387417,99,84.3,0.4,27.3,0.5,10.1,0.3
NA,Bristol County,MA,Bristol County,2012-2016,383924,113,83.7,0.4,26.5,0.5,9.7,0.3
NA,Bristol County,MA,Bristol County,2009-2013,376222,149,81.9,0.5,25.3,0.5,8.8,0.3
NA,Bristol County,MA,Bristol County,2008-2012,374421,76,81.3,0.5,25.2,0.5,8.6,0.3
NA,Bristol County,MA,Bristol County,2010-2014,378358,155,82.2,0.5,25.6,0.6,9,0.3
NA,Bristol County,MA,Bristol County,2007-2011,372139,72,80.6,0.5,25.1,0.5,8.4,0.3
NA,Bristol County,MA,Bristol County,2006-2010,370326,79,80.1,0.5,24.7,0.5,8.1,0.3
NA,Dukes County,MA,Dukes County,2014-2018,12731,211,95.5,1.8,44.2,4.2,19.1,2.5
NA,Dukes County,MA,Dukes County,2011-2015,12774,164,93.2,4.4,40.3,3.6,15.2,2.5
NA,Dukes County,MA,Dukes County,2012-2016,12726,189,92.8,3.8,39.8,3.6,15.8,2.1
NA,Dukes County,MA,Dukes County,2008-2012,12393,NA,92.2,3,40.2,3.9,17.2,2.3
NA,Dukes County,MA,Dukes County,2010-2014,12674,NA,93.4,3.7,41.2,3.8,14.1,2.4
NA,Dukes County,MA,Dukes County,2006-2010,11298,449,93.5,2.4,40,4.6,18.1,2.8
NA,Dukes County,MA,Dukes County,2013-2017,12727,213,96.6,1.2,46.3,4.4,18.1,2.6
NA,Dukes County,MA,Dukes County,2007-2011,11863,232,92.7,2.2,42.5,4.2,17.6,3
NA,Dukes County,MA,Dukes County,2009-2013,12544,NA,93.4,3.2,40.7,3.3,15.8,2.5
NA,Essex County,MA,Essex County,2008-2012,507496,63,88.7,0.4,36.4,0.5,14.8,0.4
NA,Essex County,MA,Essex County,2011-2015,523024,159,89.3,0.3,37.5,0.5,15.2,0.3
NA,Essex County,MA,Essex County,2012-2016,527506,113,89.3,0.3,38,0.5,15.4,0.4
NA,Essex County,MA,Essex County,2014-2018,538981,142,89.3,0.3,39.4,0.5,15.9,0.3
NA,Essex County,MA,Essex County,2006-2010,498319,127,88.2,0.4,36.1,0.5,14.4,0.3
NA,Essex County,MA,Essex County,2007-2011,502544,60,88.4,0.3,36.4,0.5,14.5,0.3
NA,Essex County,MA,Essex County,2010-2014,517701,71,89.2,0.3,37.2,0.5,15.1,0.3
NA,Essex County,MA,Essex County,2013-2017,534288,117,89.4,0.3,38.8,0.5,15.6,0.4
NA,Essex County,MA,Essex County,2009-2013,512201,68,89,0.3,36.6,0.5,14.8,0.4
NA,Franklin County,MA,Franklin County,2011-2015,52268,132,92.2,0.8,35.2,1.3,16.4,0.9
NA,Franklin County,MA,Franklin County,2014-2018,53210,176,93.1,0.7,37.2,1.3,17.5,1
NA,Franklin County,MA,Franklin County,2012-2016,52404,132,92.8,0.7,35.9,1.2,17.3,1
NA,Franklin County,MA,Franklin County,2009-2013,51771,115,92,0.7,34,1.3,15.1,1
NA,Franklin County,MA,Franklin County,2010-2014,52063,134,91.9,0.6,34.4,1.1,15.8,0.9
NA,Franklin County,MA,Franklin County,2008-2012,51643,120,91.8,0.6,32.9,1.1,14.3,0.8
NA,Franklin County,MA,Franklin County,2013-2017,52862,115,92.8,0.6,36.8,1.2,18,1
NA,Franklin County,MA,Franklin County,2007-2011,51302,127,91.2,0.8,32.3,1.2,14,0.9
NA,Franklin County,MA,Franklin County,2006-2010,51066,126,91.1,0.9,32.5,1.4,14.3,0.9
NA,Hampden County,MA,Hampden County,2014-2018,316312,80,85.3,0.4,27.2,0.6,10.8,0.4
NA,Hampden County,MA,Hampden County,2008-2012,305343,63,83.7,0.5,24.2,0.5,9.1,0.3
NA,Hampden County,MA,Hampden County,2011-2015,310367,99,84.8,0.5,25.8,0.5,10.2,0.3
NA,Hampden County,MA,Hampden County,2007-2011,303689,80,83.5,0.5,23.9,0.5,8.9,0.3
NA,Hampden County,MA,Hampden County,2006-2010,302877,121,83.2,0.5,23.8,0.5,8.8,0.3
NA,Hampden County,MA,Hampden County,2012-2016,311830,88,85.4,0.5,26.2,0.6,10.5,0.4
NA,Hampden County,MA,Hampden County,2010-2014,308398,117,84.1,0.5,25.4,0.6,10.1,0.4
NA,Hampden County,MA,Hampden County,2009-2013,306698,70,83.7,0.5,24.5,0.6,9.5,0.4
NA,Hampden County,MA,Hampden County,2013-2017,314809,85,85.4,0.5,26.5,0.5,10.8,0.4
NA,Hampshire County,MA,Hampshire County,2013-2017,99070,327,94.5,0.5,45.6,1.2,23,0.9
NA,Hampshire County,MA,Hampshire County,2011-2015,98119,211,93.9,0.6,44.2,1.1,22.6,0.9
NA,Hampshire County,MA,Hampshire County,2008-2012,97486,102,92.9,0.6,42.4,1.1,21.3,1
NA,Hampshire County,MA,Hampshire County,2012-2016,98409,210,94.3,0.5,44.7,1.1,22.9,0.9
NA,Hampshire County,MA,Hampshire County,2010-2014,97721,143,93.6,0.6,43.2,1,22.1,0.9
NA,Hampshire County,MA,Hampshire County,2006-2010,96015,195,92.4,0.6,41.3,1.2,20.8,1
NA,Hampshire County,MA,Hampshire County,2007-2011,96345,227,92.3,0.6,42,1.1,21,1
NA,Hampshire County,MA,Hampshire County,2009-2013,97415,169,93.3,0.5,42.3,1.3,21.9,0.9
NA,Hampshire County,MA,Hampshire County,2014-2018,99377,269,94.4,0.5,46.5,0.9,23.5,1
NA,Middlesex County,MA,Middlesex County,2010-2014,1070142,NA,92.1,0.2,51.3,0.4,25.1,0.3
NA,Middlesex County,MA,Middlesex County,2008-2012,1043896,124,91.9,0.2,50.2,0.4,24.5,0.3
NA,Middlesex County,MA,Middlesex County,2011-2015,1083024,153,92.4,0.2,52,0.4,25.8,0.3
NA,Middlesex County,MA,Middlesex County,2006-2010,1019083,152,91.6,0.2,49.3,0.4,23.7,0.3
NA,Middlesex County,MA,Middlesex County,2007-2011,1030224,138,91.8,0.2,49.8,0.4,24.1,0.3
NA,Middlesex County,MA,Middlesex County,2014-2018,1116442,79,93.1,0.2,55.2,0.4,28,0.3
NA,Middlesex County,MA,Middlesex County,2012-2016,1092070,87,92.6,0.2,53,0.4,26.4,0.3
NA,Middlesex County,MA,Middlesex County,2013-2017,1106543,103,92.8,0.2,54.1,0.4,27.2,0.3
NA,Middlesex County,MA,Middlesex County,2009-2013,1056080,71,92.1,0.2,50.7,0.4,24.8,0.3
NA,Nantucket County,MA,Nantucket County,2012-2016,7785,203,94.7,1.8,42,4,18.3,2.3
NA,Nantucket County,MA,Nantucket County,2011-2015,7617,154,94.8,1.9,43.7,3.8,17.5,1.8
NA,Nantucket County,MA,Nantucket County,2008-2012,7346,310,93.2,1.9,43.6,4.4,15,2.5
NA,Nantucket County,MA,Nantucket County,2014-2018,8025,NA,95.3,1.5,51.7,4.3,22,3.2
NA,Nantucket County,MA,Nantucket County,2010-2014,7532,127,94.3,2.2,45.7,4.3,17.6,2.4
NA,Nantucket County,MA,Nantucket County,2007-2011,7312,195,93.1,2.3,42.1,4.9,14,3.2
NA,Nantucket County,MA,Nantucket County,2013-2017,7931,207,94.1,1.8,45.1,3.6,20.4,2.6
NA,Nantucket County,MA,Nantucket County,2009-2013,7442,118,94,1.9,44,4.2,16,2.3
NA,Nantucket County,MA,Nantucket County,2006-2010,7303,143,93.4,2.5,40.2,5.6,15.2,2.7
NA,Norfolk County,MA,Norfolk County,2010-2014,474564,100,93.7,0.3,49.9,0.5,22.2,0.4
NA,Norfolk County,MA,Norfolk County,2012-2016,481812,93,93.9,0.3,51.2,0.5,23.1,0.4
NA,Norfolk County,MA,Norfolk County,2013-2017,485216,104,93.9,0.3,52.5,0.5,24,0.4
NA,Norfolk County,MA,Norfolk County,2008-2012,465774,132,93.6,0.3,48.3,0.6,21.3,0.4
NA,Norfolk County,MA,Norfolk County,2014-2018,488612,101,93.9,0.3,53,0.5,24.4,0.5
NA,Norfolk County,MA,Norfolk County,2011-2015,478767,92,93.9,0.3,50.6,0.5,22.6,0.4
NA,Norfolk County,MA,Norfolk County,2007-2011,460421,58,93.5,0.3,48.2,0.5,21.2,0.5
NA,Norfolk County,MA,Norfolk County,2009-2013,469777,116,93.7,0.3,49.2,0.5,22,0.4
NA,Norfolk County,MA,Norfolk County,2006-2010,456151,103,93.1,0.3,47.4,0.6,20.9,0.5
NA,Plymouth County,MA,Plymouth County,2012-2016,348844,136,92.5,0.3,35,0.7,12.5,0.5
NA,Plymouth County,MA,Plymouth County,2011-2015,345295,107,92.3,0.3,34.4,0.6,12.3,0.4
NA,Plymouth County,MA,Plymouth County,2014-2018,355335,153,92.9,0.3,36.7,0.7,13.6,0.4
NA,Plymouth County,MA,Plymouth County,2007-2011,333185,112,91.9,0.3,32.9,0.7,11.5,0.4
NA,Plymouth County,MA,Plymouth County,2010-2014,342175,192,92.1,0.3,34,0.6,12,0.4
NA,Plymouth County,MA,Plymouth County,2008-2012,336325,112,91.8,0.3,33,0.7,11.6,0.4
NA,Plymouth County,MA,Plymouth County,2013-2017,352035,198,92.7,0.3,35.7,0.7,13,0.5
NA,Plymouth County,MA,Plymouth County,2009-2013,338889,68,92.1,0.3,33.5,0.7,11.8,0.4
NA,Plymouth County,MA,Plymouth County,2006-2010,330142,97,91.8,0.3,32.5,0.6,11.4,0.4
NA,Suffolk County,MA,Suffolk County,2009-2013,484292,118,83.9,0.4,40.4,0.5,17.6,0.4
NA,Suffolk County,MA,Suffolk County,2013-2017,536354,97,85.2,0.3,43.6,0.5,19.3,0.4
NA,Suffolk County,MA,Suffolk County,2007-2011,461552,122,83.1,0.4,39.2,0.5,17.3,0.4
NA,Suffolk County,MA,Suffolk County,2010-2014,497530,140,84,0.4,41,0.5,18.1,0.4
NA,Suffolk County,MA,Suffolk County,2012-2016,522045,117,84.8,0.4,42.7,0.4,18.8,0.4
NA,Suffolk County,MA,Suffolk County,2011-2015,511404,109,84.3,0.4,41.7,0.5,18.5,0.4
NA,Suffolk County,MA,Suffolk County,2006-2010,454713,140,83.1,0.6,38.9,0.5,17.1,0.4
NA,Suffolk County,MA,Suffolk County,2008-2012,470810,123,83.3,0.5,39.7,0.5,17.4,0.4
NA,Suffolk County,MA,Suffolk County,2014-2018,546850,149,85.5,0.4,44.8,0.5,20,0.4
NA,Worcester County,MA,Worcester County,2013-2017,559286,100,90.3,0.3,35.3,0.5,13.7,0.3
NA,Worcester County,MA,Worcester County,2012-2016,552915,115,90,0.3,34.8,0.5,13.6,0.3
NA,Worcester County,MA,Worcester County,2006-2010,527895,83,88.6,0.3,32.9,0.5,12.7,0.3
NA,Worcester County,MA,Worcester County,2009-2013,540032,94,89.4,0.3,33.8,0.5,13.1,0.3
NA,Worcester County,MA,Worcester County,2008-2012,535755,78,89.1,0.3,33.8,0.5,13,0.3
NA,Worcester County,MA,Worcester County,2010-2014,544804,107,89.6,0.3,34.1,0.5,12.9,0.3
NA,Worcester County,MA,Worcester County,2011-2015,549289,102,89.8,0.3,34.4,0.5,13.1,0.3
NA,Worcester County,MA,Worcester County,2007-2011,531460,97,88.7,0.3,33.3,0.5,12.8,0.3
NA,Worcester County,MA,Worcester County,2014-2018,564408,80,90.4,0.3,35.9,0.5,14,0.3
Abington,Plymouth County,MA,Abington,2011-2015,11257,349,96.3,1.3,31.3,3.8,7.6,2
Abington,Plymouth County,MA,Abington,2013-2017,11377,380,94.6,1.4,33.9,3.5,8.9,2
Abington,Plymouth County,MA,Abington,2008-2012,10989,289,95.1,1.4,25.9,2.7,7.1,1.5
Abington,Plymouth County,MA,Abington,2007-2011,10983,291,95.2,1.4,27.5,3.1,7.2,1.5
Abington,Plymouth County,MA,Abington,2006-2010,10864,315,94.4,1.6,25.7,3.1,6.9,1.7
Abington,Plymouth County,MA,Abington,2014-2018,11444,382,94.9,1.6,37.7,3.7,10.5,2
Abington,Plymouth County,MA,Abington,2012-2016,11270,355,95.5,1.3,30.4,3.4,7.8,1.6
Abington,Plymouth County,MA,Abington,2010-2014,11233,365,96.8,1.1,30.4,3.4,8.3,1.8
Abington,Plymouth County,MA,Abington,2009-2013,11023,286,96.5,1.3,28.4,3.1,7.7,1.4
Acton,Middlesex County,MA,Acton,2007-2011,14185,295,97.2,1.1,72,2.6,40.5,2.6
Acton,Middlesex County,MA,Acton,2006-2010,13923,235,96.9,1.2,73.9,2.6,40.8,2.8
Acton,Middlesex County,MA,Acton,2009-2013,15099,238,97,1.1,73.2,2.7,42.4,2.8
Acton,Middlesex County,MA,Acton,2012-2016,15937,273,97.9,0.8,77.3,2.2,46.2,2.8
Acton,Middlesex County,MA,Acton,2014-2018,16315,294,97.1,1,75.7,3,44.3,2.6
Acton,Middlesex County,MA,Acton,2008-2012,14771,230,97.4,0.9,73.9,2.6,43.5,2.8
Acton,Middlesex County,MA,Acton,2011-2015,15633,267,97.4,1,76.1,2.7,44.5,2.9
Acton,Middlesex County,MA,Acton,2010-2014,15271,276,97.2,1.2,74.3,2.7,44.1,3.3
Acton,Middlesex County,MA,Acton,2013-2017,16161,324,97.5,0.8,76.5,2.4,43.9,2.8
Acushnet,Bristol County,MA,Acushnet,2010-2014,7327,300,81.3,3.4,23.1,3.9,6,1.6
Acushnet,Bristol County,MA,Acushnet,2014-2018,7755,324,83.6,3.7,20.5,3.7,5.3,1.8
Acushnet,Bristol County,MA,Acushnet,2011-2015,7309,350,83,3.4,23.1,4.2,6.4,2.1
Acushnet,Bristol County,MA,Acushnet,2012-2016,7583,283,82.1,3.2,20.1,3.6,5.2,2.1
Acushnet,Bristol County,MA,Acushnet,2009-2013,7448,248,81.3,3.3,20.5,3.5,5.6,1.8
Acushnet,Bristol County,MA,Acushnet,2008-2012,7321,283,81.1,3,22.4,3.3,6.3,1.6
Acushnet,Bristol County,MA,Acushnet,2013-2017,7635,292,81.7,3.4,18.7,3.7,5.1,1.9
Acushnet,Bristol County,MA,Acushnet,2006-2010,7265,234,79.7,3.1,20.3,2.9,5.4,1.9
Acushnet,Bristol County,MA,Acushnet,2007-2011,7276,235,81.6,3,20.7,3.7,5.8,1.8
Adams,Berkshire County,MA,Adams,2006-2010,5911,223,84.6,2.9,20.4,3.3,6.3,1.9
Adams,Berkshire County,MA,Adams,2013-2017,6095,194,88.1,2.2,22.6,3.3,8.6,2
Adams,Berkshire County,MA,Adams,2014-2018,6203,256,89,2.6,23.9,3.7,9.1,2.1
Adams,Berkshire County,MA,Adams,2011-2015,5968,212,89.4,2.2,22.4,2.9,6.6,1.6
Adams,Berkshire County,MA,Adams,2008-2012,5906,203,85.5,2.9,21,3.8,6.1,1.6
Adams,Berkshire County,MA,Adams,2007-2011,5916,249,85.1,3,21.1,4.1,5.8,1.9
Adams,Berkshire County,MA,Adams,2012-2016,6046,258,88.8,2.4,22.7,2.8,7.8,1.9
Adams,Berkshire County,MA,Adams,2010-2014,5936,179,86.3,2.8,20.6,3.6,5.5,1.6
Adams,Berkshire County,MA,Adams,2009-2013,5898,210,85.4,2.5,19.5,3.1,5.7,1.6
Agawam,Hampden County,MA,Agawam,2008-2012,20476,424,92.2,1.4,26.4,2.4,10.3,1.3
Agawam,Hampden County,MA,Agawam,2007-2011,20456,398,92.9,1.3,25.4,2.3,9.3,1.4
Agawam,Hampden County,MA,Agawam,2010-2014,20610,404,91.6,1.3,27.8,2.4,10.2,1.6
Agawam,Hampden County,MA,Agawam,2006-2010,20464,433,92.5,1.2,25.6,2.4,9.7,1.2
Agawam,Hampden County,MA,Agawam,2009-2013,20441,439,92,1.5,26.6,2.4,10.5,1.5
Agawam,Hampden County,MA,Agawam,2014-2018,21728,515,92.7,1.3,33.1,2.8,12.3,1.8
Agawam,Hampden County,MA,Agawam,2013-2017,21363,515,92.3,1.3,30.6,2.1,11.4,1.5
Agawam,Hampden County,MA,Agawam,2011-2015,20733,488,92.4,1.3,28.4,2.3,10.4,1.5
Agawam,Hampden County,MA,Agawam,2012-2016,21034,399,92.1,1.5,28.8,2.6,11.6,1.6
Alford,Berkshire County,MA,Alford,2007-2011,404,54,95.8,2.7,49,7.5,25.5,5.1
Alford,Berkshire County,MA,Alford,2009-2013,376,57,95.5,3.1,50.3,8.2,21,5.5
Alford,Berkshire County,MA,Alford,2006-2010,360,49,96.1,2.4,57.2,7.8,32.2,7
Alford,Berkshire County,MA,Alford,2014-2018,360,67,97.2,3.5,51.7,11.2,27.8,8.8
Alford,Berkshire County,MA,Alford,2008-2012,378,49,96,3.4,47.9,7.7,21.2,4.7
Alford,Berkshire County,MA,Alford,2010-2014,379,53,99.5,0.7,50.4,8.3,19.5,5.9
Alford,Berkshire County,MA,Alford,2013-2017,344,50,98.5,1.4,59.3,6.5,27.9,7
Alford,Berkshire County,MA,Alford,2012-2016,349,50,98.3,1.7,51.6,8.1,26.4,6.4
Alford,Berkshire County,MA,Alford,2011-2015,382,49,99.7,0.6,49.5,6.7,23,6.3
Amesbury,Essex County,MA,Amesbury,2013-2017,12292,296,94.2,1.4,41.8,2.9,17,2.3
Amesbury,Essex County,MA,Amesbury,2011-2015,12295,294,93.6,1.6,42.8,3.1,16.8,2.4
Amesbury,Essex County,MA,Amesbury,2014-2018,12363,322,93.9,1.4,41.3,3.3,16.4,1.9
Amesbury,Essex County,MA,Amesbury,2010-2014,11909,279,94,1.5,41.9,3.1,17.3,2.3
Amesbury,Essex County,MA,Amesbury,2009-2013,11698,283,93.4,1.6,41.3,2.7,16.4,2.2
Amesbury,Essex County,MA,Amesbury,2012-2016,12273,320,93.8,1.7,41.7,3.2,16.3,2.2
Amesbury,Essex County,MA,Amesbury,2008-2012,11807,195,93.5,1.4,42.3,3.6,17.7,2.3
Amesbury,Essex County,MA,Amesbury,2007-2011,11582,243,93.6,1.5,41.4,3,16,2.1
Amesbury,Essex County,MA,Amesbury,2006-2010,11316,236,92.6,1.4,39,3.1,15.2,2.3
Amherst,Hampshire County,MA,Amherst,2011-2015,12353,588,95.4,1.1,67.6,3.4,43.3,3.4
Amherst,Hampshire County,MA,Amherst,2010-2014,12103,696,96,1.2,69.4,3.1,43.8,4.1
Amherst,Hampshire County,MA,Amherst,2012-2016,12253,613,94.5,1.3,65.5,3,42,3.4
Amherst,Hampshire County,MA,Amherst,2014-2018,12778,584,94.7,1.7,66.6,3.1,41.4,3.9
Amherst,Hampshire County,MA,Amherst,2008-2012,12030,746,95.6,1.4,67.7,2.8,40.6,3.2
Amherst,Hampshire County,MA,Amherst,2009-2013,11821,653,95.7,1.3,66.9,3.4,42.6,3.3
Amherst,Hampshire County,MA,Amherst,2007-2011,12294,691,96.1,1.1,70.6,2.8,42.2,3.3
Amherst,Hampshire County,MA,Amherst,2013-2017,12760,621,95,1.3,66.7,3.1,42.3,3.2
Amherst,Hampshire County,MA,Amherst,2006-2010,12570,754,95.3,1.5,68,3.1,41.4,2.8
Andover,Essex County,MA,Andover,2012-2016,22717,349,97.1,0.6,73.3,1.8,39.1,1.9
Andover,Essex County,MA,Andover,2011-2015,22576,385,97.5,0.7,71.9,1.7,39.1,1.8
Andover,Essex County,MA,Andover,2013-2017,23207,377,97.4,0.7,73.7,2.2,39.2,2.3
Andover,Essex County,MA,Andover,2010-2014,22268,428,97.2,0.7,70.5,2.3,36.2,1.8
Andover,Essex County,MA,Andover,2009-2013,22194,465,96.6,0.9,69.1,2,35.6,2.1
Andover,Essex County,MA,Andover,2008-2012,22322,350,96.2,1,68,2.3,34.9,1.9
Andover,Essex County,MA,Andover,2014-2018,23648,436,97.4,0.7,73.9,2,39.4,2.2
Andover,Essex County,MA,Andover,2007-2011,21949,342,96.4,1,67.1,2.2,32.9,2.1
Andover,Essex County,MA,Andover,2006-2010,21794,425,96,0.8,65.4,2.3,31.9,2
Aquinnah,Dukes County,MA,Aquinnah,2009-2013,256,79,94.9,5.9,41.4,13.9,19.5,13.6
Aquinnah,Dukes County,MA,Aquinnah,2007-2011,240,91,99.6,1.3,41.3,14.2,20,11
Aquinnah,Dukes County,MA,Aquinnah,2013-2017,331,76,90.3,10.9,51.4,15.6,17.2,8
Aquinnah,Dukes County,MA,Aquinnah,2006-2010,276,88,100,12.7,36.6,13.1,22.5,9.5
Aquinnah,Dukes County,MA,Aquinnah,2008-2012,274,96,98.5,1.7,39.8,13.1,19.3,12.5
Aquinnah,Dukes County,MA,Aquinnah,2011-2015,325,86,90.2,10.9,44,11.1,15.7,5.3
Aquinnah,Dukes County,MA,Aquinnah,2014-2018,294,82,99,1.4,58.5,11.9,21.8,8.3
Aquinnah,Dukes County,MA,Aquinnah,2012-2016,402,67,86.3,10.6,42,9.9,15.2,6.3
Aquinnah,Dukes County,MA,Aquinnah,2010-2014,249,72,93.2,7.9,46.2,13.6,13.7,6.7
Arlington,Middlesex County,MA,Arlington,2006-2010,31827,491,95.6,0.9,62.3,2.3,34.5,2.1
Arlington,Middlesex County,MA,Arlington,2012-2016,32930,379,96.5,0.6,68.8,1.8,38.7,1.8
Arlington,Middlesex County,MA,Arlington,2011-2015,32832,502,95.9,0.8,67.6,1.7,37,1.8
Arlington,Middlesex County,MA,Arlington,2007-2011,31636,458,95.8,0.9,63.7,2.1,34.6,1.9
Arlington,Middlesex County,MA,Arlington,2014-2018,33177,473,96.6,0.6,71.1,1.8,40.5,1.9
Arlington,Middlesex County,MA,Arlington,2009-2013,32127,515,95.7,0.8,66.2,2,36.3,1.9
Arlington,Middlesex County,MA,Arlington,2013-2017,33199,486,97,0.6,70,2.1,39.8,1.6
Arlington,Middlesex County,MA,Arlington,2010-2014,32514,484,95.9,0.8,67.3,2.2,36.5,2.2
Arlington,Middlesex County,MA,Arlington,2008-2012,32186,386,95.3,0.8,64.3,2.1,35.5,1.8
Ashburnham,Worcester County,MA,Ashburnham,2013-2017,4057,215,97.2,1.7,36.9,7.1,10.9,3.7
Ashburnham,Worcester County,MA,Ashburnham,2011-2015,4225,223,96.1,2.2,41.3,5.7,12.1,3.5
Ashburnham,Worcester County,MA,Ashburnham,2006-2010,3989,233,96.1,2.3,34.8,6.4,15.9,4.6
Ashburnham,Worcester County,MA,Ashburnham,2010-2014,4196,224,95.6,2.5,36,7.1,11.9,3.6
Ashburnham,Worcester County,MA,Ashburnham,2012-2016,4177,228,96.2,2.1,38.6,7.1,12.2,3.6
Ashburnham,Worcester County,MA,Ashburnham,2014-2018,4176,249,97.2,2.1,38.5,7.1,10.9,4.1
Ashburnham,Worcester County,MA,Ashburnham,2008-2012,4143,244,95.9,2,35.3,5.4,14.5,4.2
Ashburnham,Worcester County,MA,Ashburnham,2007-2011,4018,216,96.6,1.9,34.5,5.5,14.3,4.4
Ashburnham,Worcester County,MA,Ashburnham,2009-2013,4239,199,96.6,2,34.3,5.5,13.8,3.6
Ashby,Middlesex County,MA,Ashby,2013-2017,2338,99,91.6,2.8,28.6,5.6,9.5,2.6
Ashby,Middlesex County,MA,Ashby,2014-2018,2337,89,91.7,2.2,28.7,5.4,11.1,3.3
Ashby,Middlesex County,MA,Ashby,2006-2010,2046,85,93.9,2.4,29.9,6.1,12.4,4.1
Ashby,Middlesex County,MA,Ashby,2008-2012,2157,76,93.1,2.5,27.7,5.7,10.9,3.8
Ashby,Middlesex County,MA,Ashby,2007-2011,2096,73,92.6,2.9,28.3,4.8,11.7,3.3
Ashby,Middlesex County,MA,Ashby,2012-2016,2270,115,93,2.6,25.4,5.1,10.3,2.6
Ashby,Middlesex County,MA,Ashby,2011-2015,2238,94,92.8,2.4,24.3,5.1,9.4,2.9
Ashby,Middlesex County,MA,Ashby,2009-2013,2193,75,94.8,2.2,29.2,4.6,12.3,3.3
Ashby,Middlesex County,MA,Ashby,2010-2014,2275,96,93.2,2.5,25.5,4.5,10,2.9
Ashfield,Franklin County,MA,Ashfield,2009-2013,1294,120,95.7,1.9,49.8,6,21.4,5.2
