Municipal,County,State,Region,Five_Year_Range,Total_Pop,Pov_Pop,Percent_Pov,Margin_Error_Percent
NA,NA County,NA,United States,2006-2010,296141149,40917513,13.8,0.1
NA,NA County,NA,United States,2007-2011,298787998,42739924,14.3,0.1
NA,NA County,NA,United States,2008-2012,301333410,44852527,14.9,0.1
NA,NA County,NA,United States,2009-2013,303692076,46663433,15.4,0.1
NA,NA County,NA,United States,2010-2014,306226394,47755606,15.6,0.1
NA,NA County,NA,United States,2011-2015,308619550,47749043,15.5,0.1
NA,NA County,NA,United States,2012-2016,310629645,46932225,15.1,0.1
NA,NA County,NA,United States,2013-2017,313048563,45650345,14.6,0.1
NA,NA County,NA,United States,2014-2018,314943184,44257979,14.1,0.1
NA,NA County,MA,MA,2006-2010,6253462,658391,10.5,0.2
NA,NA County,MA,MA,2007-2011,6288679,673467,10.7,0.2
NA,NA County,MA,MA,2008-2012,6333378,698286,11,0.1
NA,NA County,MA,MA,2009-2013,6375042,725351,11.4,0.2
NA,NA County,MA,MA,2010-2014,6424688,742784,11.6,0.2
NA,NA County,MA,MA,2011-2015,6471313,748905,11.6,0.1
NA,NA County,MA,MA,2012-2016,6506029,740836,11.4,0.2
NA,NA County,MA,MA,2013-2017,6552347,727546,11.1,0.1
NA,NA County,MA,MA,2014-2018,6593960,710305,10.8,0.2
NA,Barnstable County,MA,Barnstable County,2006-2010,213500,15284,7.2,0.6
NA,Barnstable County,MA,Barnstable County,2007-2011,212789,17884,8.4,0.5
NA,Barnstable County,MA,Barnstable County,2008-2012,212567,19204,9,0.7
NA,Barnstable County,MA,Barnstable County,2009-2013,212189,19743,9.3,0.7
NA,Barnstable County,MA,Barnstable County,2010-2014,212184,20588,9.7,0.7
NA,Barnstable County,MA,Barnstable County,2011-2015,211827,18392,8.7,0.7
NA,Barnstable County,MA,Barnstable County,2012-2016,211875,17433,8.2,0.7
NA,Barnstable County,MA,Barnstable County,2013-2017,210968,15810,7.5,0.6
NA,Barnstable County,MA,Barnstable County,2014-2018,210671,14799,7,0.6
NA,Berkshire County,MA,Berkshire County,2006-2010,126219,14598,11.6,1.1
NA,Berkshire County,MA,Berkshire County,2007-2011,125881,14915,11.8,0.9
NA,Berkshire County,MA,Berkshire County,2008-2012,125353,15533,12.4,0.9
NA,Berkshire County,MA,Berkshire County,2009-2013,124709,16004,12.8,1
NA,Berkshire County,MA,Berkshire County,2010-2014,124013,15746,12.7,0.9
NA,Berkshire County,MA,Berkshire County,2011-2015,122987,16038,13,0.9
NA,Berkshire County,MA,Berkshire County,2012-2016,122336,15136,12.4,0.9
NA,Berkshire County,MA,Berkshire County,2013-2017,121393,13778,11.3,0.8
NA,Berkshire County,MA,Berkshire County,2014-2018,120939,13759,11.4,0.9
NA,Bristol County,MA,Bristol County,2006-2010,531848,60215,11.3,0.6
NA,Bristol County,MA,Bristol County,2007-2011,534131,60607,11.3,0.5
NA,Bristol County,MA,Bristol County,2008-2012,534527,64191,12,0.4
NA,Bristol County,MA,Bristol County,2009-2013,534527,66529,12.4,0.5
NA,Bristol County,MA,Bristol County,2010-2014,535181,67782,12.7,0.5
NA,Bristol County,MA,Bristol County,2011-2015,536309,68016,12.7,0.5
NA,Bristol County,MA,Bristol County,2012-2016,538921,67338,12.5,0.5
NA,Bristol County,MA,Bristol County,2013-2017,541142,65842,12.2,0.4
NA,Bristol County,MA,Bristol County,2014-2018,543583,62439,11.5,0.5
NA,Dukes County,MA,Dukes County,2006-2010,16145,1395,8.6,3
NA,Dukes County,MA,Dukes County,2007-2011,16217,1649,10.2,2.7
NA,Dukes County,MA,Dukes County,2008-2012,16440,1778,10.8,2.9
NA,Dukes County,MA,Dukes County,2009-2013,16598,1673,10.1,2.6
NA,Dukes County,MA,Dukes County,2010-2014,16786,1891,11.3,3.4
NA,Dukes County,MA,Dukes County,2011-2015,16894,1970,11.7,2.8
NA,Dukes County,MA,Dukes County,2012-2016,16985,1544,9.1,2.8
NA,Dukes County,MA,Dukes County,2013-2017,17124,1438,8.4,2.6
NA,Dukes County,MA,Dukes County,2014-2018,17170,1368,8,2.9
NA,Essex County,MA,Essex County,2006-2010,722167,72705,10.1,0.4
NA,Essex County,MA,Essex County,2007-2011,723679,76489,10.6,0.5
NA,Essex County,MA,Essex County,2008-2012,728991,80049,11,0.4
NA,Essex County,MA,Essex County,2009-2013,734837,82656,11.2,0.4
NA,Essex County,MA,Essex County,2010-2014,741324,83516,11.3,0.4
NA,Essex County,MA,Essex County,2011-2015,747718,85417,11.4,0.5
NA,Essex County,MA,Essex County,2012-2016,752929,84757,11.3,0.4
NA,Essex County,MA,Essex County,2013-2017,759365,82434,10.9,0.4
NA,Essex County,MA,Essex County,2014-2018,764716,81801,10.7,0.4
NA,Franklin County,MA,Franklin County,2006-2010,70464,7951,11.3,1.2
NA,Franklin County,MA,Franklin County,2007-2011,70254,8333,11.9,1.1
NA,Franklin County,MA,Franklin County,2008-2012,70288,8345,11.9,1.2
NA,Franklin County,MA,Franklin County,2009-2013,70266,8528,12.1,1.3
NA,Franklin County,MA,Franklin County,2010-2014,70131,8321,11.9,1.1
NA,Franklin County,MA,Franklin County,2011-2015,69969,8210,11.7,1.1
NA,Franklin County,MA,Franklin County,2012-2016,69749,7881,11.3,1
NA,Franklin County,MA,Franklin County,2013-2017,69807,7635,10.9,1.1
NA,Franklin County,MA,Franklin County,2014-2018,69705,7226,10.4,1
NA,Hampden County,MA,Hampden County,2006-2010,446866,76875,17.2,0.7
NA,Hampden County,MA,Hampden County,2007-2011,446946,74413,16.6,0.5
NA,Hampden County,MA,Hampden County,2008-2012,448940,76839,17.1,0.6
NA,Hampden County,MA,Hampden County,2009-2013,450622,79855,17.7,0.6
NA,Hampden County,MA,Hampden County,2010-2014,452084,79997,17.7,0.6
NA,Hampden County,MA,Hampden County,2011-2015,454023,79308,17.5,0.6
NA,Hampden County,MA,Hampden County,2012-2016,453966,80119,17.6,0.6
NA,Hampden County,MA,Hampden County,2013-2017,454651,78315,17.2,0.7
NA,Hampden County,MA,Hampden County,2014-2018,454525,77830,17.1,0.6
NA,Hampshire County,MA,Hampshire County,2006-2010,134316,15751,11.7,0.8
NA,Hampshire County,MA,Hampshire County,2007-2011,134122,15842,11.8,0.9
NA,Hampshire County,MA,Hampshire County,2008-2012,135058,16066,11.9,1
NA,Hampshire County,MA,Hampshire County,2009-2013,136134,17701,13,0.8
NA,Hampshire County,MA,Hampshire County,2010-2014,137392,19044,13.9,0.9
NA,Hampshire County,MA,Hampshire County,2011-2015,138273,20317,14.7,1
NA,Hampshire County,MA,Hampshire County,2012-2016,138217,20315,14.7,0.9
NA,Hampshire County,MA,Hampshire County,2013-2017,138558,19052,13.8,0.9
NA,Hampshire County,MA,Hampshire County,2014-2018,138384,18349,13.3,0.9
NA,Middlesex County,MA,Middlesex County,2006-2010,1428271,108660,7.6,0.3
NA,Middlesex County,MA,Middlesex County,2007-2011,1442079,111267,7.7,0.3
NA,Middlesex County,MA,Middlesex County,2008-2012,1455718,115308,7.9,0.3
NA,Middlesex County,MA,Middlesex County,2009-2013,1468535,119658,8.1,0.3
NA,Middlesex County,MA,Middlesex County,2010-2014,1484479,124813,8.4,0.3
NA,Middlesex County,MA,Middlesex County,2011-2015,1500602,124958,8.3,0.3
NA,Middlesex County,MA,Middlesex County,2012-2016,1511503,124652,8.2,0.3
NA,Middlesex County,MA,Middlesex County,2013-2017,1526465,125491,8.2,0.2
NA,Middlesex County,MA,Middlesex County,2014-2018,1539582,122070,7.9,0.2
NA,Nantucket County,MA,Nantucket County,2006-2010,9967,714,7.2,3.1
NA,Nantucket County,MA,Nantucket County,2007-2011,9990,880,8.8,3.2
NA,Nantucket County,MA,Nantucket County,2008-2012,9956,883,8.9,2.4
NA,Nantucket County,MA,Nantucket County,2009-2013,10078,1048,10.4,3.8
NA,Nantucket County,MA,Nantucket County,2010-2014,10289,947,9.2,3
NA,Nantucket County,MA,Nantucket County,2011-2015,10409,1205,11.6,3.2
NA,Nantucket County,MA,Nantucket County,2012-2016,10555,1083,10.3,3.5
NA,Nantucket County,MA,Nantucket County,2013-2017,10751,1205,11.2,4.2
NA,Nantucket County,MA,Nantucket County,2014-2018,10995,947,8.6,3.3
NA,Norfolk County,MA,Norfolk County,2006-2010,644183,39902,6.2,0.4
NA,Norfolk County,MA,Norfolk County,2007-2011,648317,40857,6.3,0.4
NA,Norfolk County,MA,Norfolk County,2008-2012,653710,42258,6.5,0.3
NA,Norfolk County,MA,Norfolk County,2009-2013,659238,43436,6.6,0.3
NA,Norfolk County,MA,Norfolk County,2010-2014,664937,42940,6.5,0.3
NA,Norfolk County,MA,Norfolk County,2011-2015,669933,44199,6.6,0.4
NA,Norfolk County,MA,Norfolk County,2012-2016,673446,45372,6.7,0.3
NA,Norfolk County,MA,Norfolk County,2013-2017,676707,44279,6.5,0.3
NA,Norfolk County,MA,Norfolk County,2014-2018,680253,44011,6.5,0.4
NA,Plymouth County,MA,Plymouth County,2006-2010,477030,33604,7,0.4
NA,Plymouth County,MA,Plymouth County,2007-2011,481335,34422,7.2,0.4
NA,Plymouth County,MA,Plymouth County,2008-2012,484074,36251,7.5,0.4
NA,Plymouth County,MA,Plymouth County,2009-2013,485830,37069,7.6,0.5
NA,Plymouth County,MA,Plymouth County,2010-2014,489113,37625,7.7,0.4
NA,Plymouth County,MA,Plymouth County,2011-2015,492339,40309,8.2,0.5
NA,Plymouth County,MA,Plymouth County,2012-2016,495308,39602,8,0.4
NA,Plymouth County,MA,Plymouth County,2013-2017,497683,39748,8,0.5
NA,Plymouth County,MA,Plymouth County,2014-2018,501052,38264,7.6,0.5
NA,Suffolk County,MA,Suffolk County,2006-2010,667668,137697,20.6,0.5
NA,Suffolk County,MA,Suffolk County,2007-2011,674038,140057,20.8,0.5
NA,Suffolk County,MA,Suffolk County,2008-2012,684327,141698,20.7,0.6
NA,Suffolk County,MA,Suffolk County,2009-2013,694265,144381,20.8,0.5
NA,Suffolk County,MA,Suffolk County,2010-2014,705431,149227,21.2,0.6
NA,Suffolk County,MA,Suffolk County,2011-2015,715178,148278,20.7,0.6
NA,Suffolk County,MA,Suffolk County,2012-2016,723544,145744,20.1,0.5
NA,Suffolk County,MA,Suffolk County,2013-2017,736921,144661,19.6,0.4
NA,Suffolk County,MA,Suffolk County,2014-2018,747962,144697,19.3,0.5
NA,Worcester County,MA,Worcester County,2006-2010,764818,73040,9.5,0.4
NA,Worcester County,MA,Worcester County,2007-2011,768901,75852,9.9,0.4
NA,Worcester County,MA,Worcester County,2008-2012,773429,79883,10.3,0.4
NA,Worcester County,MA,Worcester County,2009-2013,777214,87070,11.2,0.4
NA,Worcester County,MA,Worcester County,2010-2014,781344,90347,11.6,0.4
NA,Worcester County,MA,Worcester County,2011-2015,784852,92288,11.8,0.5
NA,Worcester County,MA,Worcester County,2012-2016,786695,89860,11.4,0.4
NA,Worcester County,MA,Worcester County,2013-2017,790812,87858,11.1,0.4
NA,Worcester County,MA,Worcester County,2014-2018,794423,82745,10.4,0.4
Abington,Plymouth County,MA,Abington,2006-2010,15521,685,4.4,1.6
Abington,Plymouth County,MA,Abington,2007-2011,15690,690,4.4,1.5
Abington,Plymouth County,MA,Abington,2008-2012,15780,599,3.8,1.5
Abington,Plymouth County,MA,Abington,2009-2013,15907,551,3.5,1.3
Abington,Plymouth County,MA,Abington,2010-2014,15986,470,2.9,0.9
Abington,Plymouth County,MA,Abington,2011-2015,16028,462,2.9,1
Abington,Plymouth County,MA,Abington,2012-2016,16112,513,3.2,1.1
Abington,Plymouth County,MA,Abington,2013-2017,16194,579,3.6,1.3
Abington,Plymouth County,MA,Abington,2014-2018,16231,607,3.7,1.3
Acton,Middlesex County,MA,Acton,2006-2010,21243,800,3.8,1.6
Acton,Middlesex County,MA,Acton,2007-2011,21550,731,3.4,1.7
Acton,Middlesex County,MA,Acton,2008-2012,21859,631,2.9,1.3
Acton,Middlesex County,MA,Acton,2009-2013,22175,535,2.4,0.8
Acton,Middlesex County,MA,Acton,2010-2014,22497,682,3,0.8
Acton,Middlesex County,MA,Acton,2011-2015,22806,705,3.1,0.9
Acton,Middlesex County,MA,Acton,2012-2016,23053,707,3.1,0.9
Acton,Middlesex County,MA,Acton,2013-2017,23307,893,3.8,0.9
Acton,Middlesex County,MA,Acton,2014-2018,23417,842,3.6,1.1
Acushnet,Bristol County,MA,Acushnet,2006-2010,10278,470,4.6,2.6
Acushnet,Bristol County,MA,Acushnet,2007-2011,10299,513,5,3
Acushnet,Bristol County,MA,Acushnet,2008-2012,10250,557,5.4,2.8
Acushnet,Bristol County,MA,Acushnet,2009-2013,10195,383,3.8,1.3
Acushnet,Bristol County,MA,Acushnet,2010-2014,10210,420,4.1,1.6
Acushnet,Bristol County,MA,Acushnet,2011-2015,10230,474,4.6,1.9
Acushnet,Bristol County,MA,Acushnet,2012-2016,10294,461,4.5,1.6
Acushnet,Bristol County,MA,Acushnet,2013-2017,10336,422,4.1,1.8
Acushnet,Bristol County,MA,Acushnet,2014-2018,10450,512,4.9,1.9
Adams,Berkshire County,MA,Adams,2006-2010,8517,876,10.3,3
Adams,Berkshire County,MA,Adams,2007-2011,8489,956,11.3,3
Adams,Berkshire County,MA,Adams,2008-2012,8450,1001,11.8,3.2
Adams,Berkshire County,MA,Adams,2009-2013,8404,952,11.3,3
Adams,Berkshire County,MA,Adams,2010-2014,8368,956,11.4,3.1
Adams,Berkshire County,MA,Adams,2011-2015,8306,812,9.8,3
Adams,Berkshire County,MA,Adams,2012-2016,8257,852,10.3,2.9
Adams,Berkshire County,MA,Adams,2013-2017,8209,910,11.1,3.1
Adams,Berkshire County,MA,Adams,2014-2018,8170,1037,12.7,4
Agawam,Hampden County,MA,Agawam,2006-2010,27762,2235,8.1,2.1
Agawam,Hampden County,MA,Agawam,2007-2011,27742,2196,7.9,2.3
Agawam,Hampden County,MA,Agawam,2008-2012,27856,2118,7.6,2.1
Agawam,Hampden County,MA,Agawam,2009-2013,27943,2780,9.9,2.2
Agawam,Hampden County,MA,Agawam,2010-2014,28011,2605,9.3,2
Agawam,Hampden County,MA,Agawam,2011-2015,28048,2375,8.5,2
Agawam,Hampden County,MA,Agawam,2012-2016,27889,2586,9.3,2.1
Agawam,Hampden County,MA,Agawam,2013-2017,27904,2614,9.4,1.9
Agawam,Hampden County,MA,Agawam,2014-2018,27949,2256,8.1,1.8
Alford,Berkshire County,MA,Alford,2006-2010,432,16,3.7,1.8
Alford,Berkshire County,MA,Alford,2007-2011,501,18,3.6,2.3
Alford,Berkshire County,MA,Alford,2008-2012,469,20,4.3,2.5
Alford,Berkshire County,MA,Alford,2009-2013,474,25,5.3,2.9
Alford,Berkshire County,MA,Alford,2010-2014,471,29,6.2,3.3
Alford,Berkshire County,MA,Alford,2011-2015,484,26,5.4,3.2
Alford,Berkshire County,MA,Alford,2012-2016,418,23,5.5,3.5
Alford,Berkshire County,MA,Alford,2013-2017,411,20,4.9,3.1
Alford,Berkshire County,MA,Alford,2014-2018,421,29,6.9,4.3
Amesbury,Essex County,MA,Amesbury,2006-2010,15949,595,3.7,1.4
Amesbury,Essex County,MA,Amesbury,2007-2011,15979,630,3.9,1.1
Amesbury,Essex County,MA,Amesbury,2008-2012,16073,761,4.7,1.1
Amesbury,Essex County,MA,Amesbury,2009-2013,16177,892,5.5,1.7
Amesbury,Essex County,MA,Amesbury,2010-2014,16329,694,4.3,1.2
Amesbury,Essex County,MA,Amesbury,2011-2015,16687,861,5.2,1.4
Amesbury,Essex County,MA,Amesbury,2012-2016,16858,942,5.6,1.5
Amesbury,Essex County,MA,Amesbury,2013-2017,16992,835,4.9,1.4
Amesbury,Essex County,MA,Amesbury,2014-2018,17146,1068,6.2,2.1
Amherst,Hampshire County,MA,Amherst,2006-2010,21415,6113,28.5,3.3
Amherst,Hampshire County,MA,Amherst,2007-2011,21007,5726,27.3,2.8
Amherst,Hampshire County,MA,Amherst,2008-2012,21399,6222,29.1,3.4
Amherst,Hampshire County,MA,Amherst,2009-2013,22137,7323,33.1,3.4
Amherst,Hampshire County,MA,Amherst,2010-2014,22773,7689,33.8,3.5
Amherst,Hampshire County,MA,Amherst,2011-2015,23302,8081,34.7,3
Amherst,Hampshire County,MA,Amherst,2012-2016,23304,8317,35.7,3.3
Amherst,Hampshire County,MA,Amherst,2013-2017,23602,7842,33.2,3.3
Amherst,Hampshire County,MA,Amherst,2014-2018,23393,7115,30.4,3.4
Andover,Essex County,MA,Andover,2006-2010,32239,1193,3.7,1
Andover,Essex County,MA,Andover,2007-2011,32343,1197,3.7,1
Andover,Essex County,MA,Andover,2008-2012,32649,1381,4.2,1.1
Andover,Essex County,MA,Andover,2009-2013,32862,1404,4.3,1.2
Andover,Essex County,MA,Andover,2010-2014,33211,1459,4.4,1.3
Andover,Essex County,MA,Andover,2011-2015,33442,1536,4.6,0.9
Andover,Essex County,MA,Andover,2012-2016,33682,1494,4.4,1.1
Andover,Essex County,MA,Andover,2013-2017,34036,1512,4.4,0.9
Andover,Essex County,MA,Andover,2014-2018,34242,1402,4.1,1
Aquinnah,Dukes County,MA,Aquinnah,2006-2010,404,41,10.1,6.9
Aquinnah,Dukes County,MA,Aquinnah,2007-2011,466,61,13.1,11
Aquinnah,Dukes County,MA,Aquinnah,2008-2012,385,37,9.6,6.7
Aquinnah,Dukes County,MA,Aquinnah,2009-2013,397,25,6.3,5.2
Aquinnah,Dukes County,MA,Aquinnah,2010-2014,363,56,15.4,12.8
Aquinnah,Dukes County,MA,Aquinnah,2011-2015,460,62,13.5,9.1
Aquinnah,Dukes County,MA,Aquinnah,2012-2016,596,102,17.1,9.4
Aquinnah,Dukes County,MA,Aquinnah,2013-2017,640,139,21.7,12.3
Aquinnah,Dukes County,MA,Aquinnah,2014-2018,492,75,15.2,10.6
Arlington,Middlesex County,MA,Arlington,2006-2010,42195,2052,4.9,1.1
Arlington,Middlesex County,MA,Arlington,2007-2011,42421,1861,4.4,0.9
Arlington,Middlesex County,MA,Arlington,2008-2012,42816,1929,4.5,0.8
Arlington,Middlesex County,MA,Arlington,2009-2013,43133,1666,3.9,0.8
Arlington,Middlesex County,MA,Arlington,2010-2014,43482,1928,4.4,0.7
Arlington,Middlesex County,MA,Arlington,2011-2015,43864,2189,5,0.9
Arlington,Middlesex County,MA,Arlington,2012-2016,44137,2252,5.1,0.9
Arlington,Middlesex County,MA,Arlington,2013-2017,44689,2313,5.2,1
Arlington,Middlesex County,MA,Arlington,2014-2018,44844,2405,5.4,1.1
Ashburnham,Worcester County,MA,Ashburnham,2006-2010,5991,325,5.4,3.9
Ashburnham,Worcester County,MA,Ashburnham,2007-2011,5987,430,7.2,4.3
Ashburnham,Worcester County,MA,Ashburnham,2008-2012,6015,344,5.7,2.5
Ashburnham,Worcester County,MA,Ashburnham,2009-2013,6018,422,7,3
Ashburnham,Worcester County,MA,Ashburnham,2010-2014,6015,508,8.4,4
Ashburnham,Worcester County,MA,Ashburnham,2011-2015,6026,447,7.4,3.1
Ashburnham,Worcester County,MA,Ashburnham,2012-2016,6029,375,6.2,2.2
Ashburnham,Worcester County,MA,Ashburnham,2013-2017,6072,290,4.8,2.5
Ashburnham,Worcester County,MA,Ashburnham,2014-2018,6144,203,3.3,1.9
Ashby,Middlesex County,MA,Ashby,2006-2010,2951,123,4.2,2
Ashby,Middlesex County,MA,Ashby,2007-2011,2993,119,4,2
Ashby,Middlesex County,MA,Ashby,2008-2012,3066,108,3.5,1.6
Ashby,Middlesex County,MA,Ashby,2009-2013,3114,174,5.6,2.7
Ashby,Middlesex County,MA,Ashby,2010-2014,3141,201,6.4,3
Ashby,Middlesex County,MA,Ashby,2011-2015,3157,253,8,3.7
Ashby,Middlesex County,MA,Ashby,2012-2016,3176,246,7.7,3.7
Ashby,Middlesex County,MA,Ashby,2013-2017,3157,248,7.9,3.2
Ashby,Middlesex County,MA,Ashby,2014-2018,3183,148,4.6,2.5
Ashfield,Franklin County,MA,Ashfield,2006-2010,1732,159,9.2,4.7
Ashfield,Franklin County,MA,Ashfield,2007-2011,1769,192,10.9,5.4
Ashfield,Franklin County,MA,Ashfield,2008-2012,1603,109,6.8,2.7
Ashfield,Franklin County,MA,Ashfield,2009-2013,1692,130,7.7,3.3
Ashfield,Franklin County,MA,Ashfield,2010-2014,1739,134,7.7,2.8
Ashfield,Franklin County,MA,Ashfield,2011-2015,1589,117,7.4,3
Ashfield,Franklin County,MA,Ashfield,2012-2016,1604,96,6,2.4
Ashfield,Franklin County,MA,Ashfield,2013-2017,1598,123,7.7,3.1
Ashfield,Franklin County,MA,Ashfield,2014-2018,1531,130,8.5,3.3
Ashland,Middlesex County,MA,Ashland,2006-2010,16021,496,3.1,1.4
Ashland,Middlesex County,MA,Ashland,2007-2011,16254,646,4,1.8
Ashland,Middlesex County,MA,Ashland,2008-2012,16531,723,4.4,2
Ashland,Middlesex County,MA,Ashland,2009-2013,16739,809,4.8,2.3
Ashland,Middlesex County,MA,Ashland,2010-2014,16938,680,4,1.8
Ashland,Middlesex County,MA,Ashland,2011-2015,17111,672,3.9,1.7
Ashland,Middlesex County,MA,Ashland,2012-2016,17372,655,3.8,1.6
Ashland,Middlesex County,MA,Ashland,2013-2017,17429,555,3.2,1.3
Ashland,Middlesex County,MA,Ashland,2014-2018,17521,642,3.7,1.2
Athol,Worcester County,MA,Athol,2006-2010,11270,1021,9.1,3
Athol,Worcester County,MA,Athol,2007-2011,11328,1233,10.9,4.3
Athol,Worcester County,MA,Athol,2008-2012,11372,1596,14,3.9
Athol,Worcester County,MA,Athol,2009-2013,11425,1807,15.8,5.1
Athol,Worcester County,MA,Athol,2010-2014,11450,1991,17.4,5.7
Athol,Worcester County,MA,Athol,2011-2015,11468,1922,16.8,5.3
Athol,Worcester County,MA,Athol,2012-2016,11460,1944,17,4.8
Athol,Worcester County,MA,Athol,2013-2017,11510,1693,14.7,4.7
Athol,Worcester County,MA,Athol,2014-2018,11531,1626,14.1,4.3
Attleboro,Bristol County,MA,Attleboro,2006-2010,42866,3094,7.2,1.4
Attleboro,Bristol County,MA,Attleboro,2007-2011,42963,2770,6.4,1.2
Attleboro,Bristol County,MA,Attleboro,2008-2012,43117,3556,8.2,1.5
Attleboro,Bristol County,MA,Attleboro,2009-2013,43150,3871,9,2
Attleboro,Bristol County,MA,Attleboro,2010-2014,43229,3982,9.2,1.7
Attleboro,Bristol County,MA,Attleboro,2011-2015,43351,4367,10.1,2.1
Attleboro,Bristol County,MA,Attleboro,2012-2016,43589,4541,10.4,2.1
Attleboro,Bristol County,MA,Attleboro,2013-2017,43807,4013,9.2,1.8
Attleboro,Bristol County,MA,Attleboro,2014-2018,44022,3903,8.9,1.7
Auburn,Worcester County,MA,Auburn,2006-2010,16131,930,5.8,2.2
Auburn,Worcester County,MA,Auburn,2007-2011,15993,848,5.3,1.9
Auburn,Worcester County,MA,Auburn,2008-2012,16019,1000,6.2,2.2
Auburn,Worcester County,MA,Auburn,2009-2013,16126,604,3.7,1.2
Auburn,Worcester County,MA,Auburn,2010-2014,16180,712,4.4,1.3
Auburn,Worcester County,MA,Auburn,2011-2015,16257,693,4.3,1
Auburn,Worcester County,MA,Auburn,2012-2016,16296,750,4.6,0.9
Auburn,Worcester County,MA,Auburn,2013-2017,16446,757,4.6,1
Auburn,Worcester County,MA,Auburn,2014-2018,16517,593,3.6,0.9
Avon,Norfolk County,MA,Avon,2006-2010,4335,135,3.1,2
Avon,Norfolk County,MA,Avon,2007-2011,4341,99,2.3,1.5
Avon,Norfolk County,MA,Avon,2008-2012,4349,62,1.4,1.1
Avon,Norfolk County,MA,Avon,2009-2013,4400,50,1.1,0.7
Avon,Norfolk County,MA,Avon,2010-2014,4421,47,1.1,0.7
Avon,Norfolk County,MA,Avon,2011-2015,4453,141,3.2,2.1
Avon,Norfolk County,MA,Avon,2012-2016,4476,325,7.3,3.6
Avon,Norfolk County,MA,Avon,2013-2017,4468,379,8.5,4
Avon,Norfolk County,MA,Avon,2014-2018,4465,457,10.2,4.8
Ayer,Middlesex County,MA,Ayer,2006-2010,7073,1215,17.2,8.8
Ayer,Middlesex County,MA,Ayer,2007-2011,7169,917,12.8,4.9
Ayer,Middlesex County,MA,Ayer,2008-2012,7339,967,13.2,5.7
Ayer,Middlesex County,MA,Ayer,2009-2013,7491,904,12.1,4.9
Ayer,Middlesex County,MA,Ayer,2010-2014,7669,983,12.8,4.3
Ayer,Middlesex County,MA,Ayer,2011-2015,7810,939,12,3.8
Ayer,Middlesex County,MA,Ayer,2012-2016,7919,1018,12.9,3.4
Ayer,Middlesex County,MA,Ayer,2013-2017,8001,1074,13.4,3.4
Ayer,Middlesex County,MA,Ayer,2014-2018,8012,884,11,3.6
Barnstable,Barnstable County,MA,Barnstable,2006-2010,45389,3211,7.1,1.5
Barnstable,Barnstable County,MA,Barnstable,2007-2011,45111,3849,8.5,1.5
Barnstable,Barnstable County,MA,Barnstable,2008-2012,44753,4752,10.6,1.7
Barnstable,Barnstable County,MA,Barnstable,2009-2013,44556,5191,11.7,1.9
Barnstable,Barnstable County,MA,Barnstable,2010-2014,44409,5784,13,2.3
Barnstable,Barnstable County,MA,Barnstable,2011-2015,44250,5166,11.7,1.9
Barnstable,Barnstable County,MA,Barnstable,2012-2016,44217,4735,10.7,2.1
Barnstable,Barnstable County,MA,Barnstable,2013-2017,44086,4018,9.1,1.7
Barnstable,Barnstable County,MA,Barnstable,2014-2018,43986,3823,8.7,1.5
Barre,Worcester County,MA,Barre,2006-2010,5335,399,7.5,4.3
Barre,Worcester County,MA,Barre,2007-2011,5364,223,4.2,2.1
Barre,Worcester County,MA,Barre,2008-2012,5353,237,4.4,1.9
Barre,Worcester County,MA,Barre,2009-2013,5356,251,4.7,1.9
Barre,Worcester County,MA,Barre,2010-2014,5335,224,4.2,2.1
Barre,Worcester County,MA,Barre,2011-2015,5356,270,5,2.3
Barre,Worcester County,MA,Barre,2012-2016,5350,230,4.3,2.2
Barre,Worcester County,MA,Barre,2013-2017,5366,307,5.7,3.3
Barre,Worcester County,MA,Barre,2014-2018,5397,333,6.2,3.4
Becket,Berkshire County,MA,Becket,2006-2010,1593,219,13.7,7.2
Becket,Berkshire County,MA,Becket,2007-2011,1739,255,14.7,7.9
Becket,Berkshire County,MA,Becket,2008-2012,1859,248,13.3,6.4
Becket,Berkshire County,MA,Becket,2009-2013,1851,184,9.9,4.1
Becket,Berkshire County,MA,Becket,2010-2014,1779,95,5.3,2
Becket,Berkshire County,MA,Becket,2011-2015,1729,127,7.3,2.7
Becket,Berkshire County,MA,Becket,2012-2016,1706,109,6.4,2.2
Becket,Berkshire County,MA,Becket,2013-2017,1834,127,6.9,2.8
Becket,Berkshire County,MA,Becket,2014-2018,1849,135,7.3,3.3
Bedford,Middlesex County,MA,Bedford,2006-2010,12581,580,4.6,2.5
Bedford,Middlesex County,MA,Bedford,2007-2011,12658,571,4.5,2.6
Bedford,Middlesex County,MA,Bedford,2008-2012,12904,666,5.2,2.6
Bedford,Middlesex County,MA,Bedford,2009-2013,13086,538,4.1,1.9
Bedford,Middlesex County,MA,Bedford,2010-2014,13337,555,4.2,1.8
Bedford,Middlesex County,MA,Bedford,2011-2015,13521,499,3.7,1.4
Bedford,Middlesex County,MA,Bedford,2012-2016,13709,385,2.8,1
Bedford,Middlesex County,MA,Bedford,2013-2017,13721,348,2.5,1
Bedford,Middlesex County,MA,Bedford,2014-2018,13748,457,3.3,1.3
Belchertown,Hampshire County,MA,Belchertown,2006-2010,14196,814,5.7,2.2
Belchertown,Hampshire County,MA,Belchertown,2007-2011,14329,660,4.6,1.9
Belchertown,Hampshire County,MA,Belchertown,2008-2012,14471,870,6,2.5
Belchertown,Hampshire County,MA,Belchertown,2009-2013,14561,1220,8.4,2.6
