"","Municipal","County","State","Region"," Five_Year_Range"," Estimate; VETERAN STATUS - Civilian population 18 years and over"," Estimate; VETERAN STATUS - Civilian veterans"," Percent; VETERAN STATUS - Civilian veterans"," Percent Margin of Error; VETERAN STATUS - Civilian veterans"
"700","Lunenburg","Worcester County","MA","Lunenburg","2007-2011","7676","759","9.9","1.9"
"701","Mendon","Worcester County","MA","Mendon","2007-2011","4224","368","8.7","2.1"
"702","Milford","Worcester County","MA","Milford","2007-2011","21394","1683","7.9","1.3"
"703","Millbury","Worcester County","MA","Millbury","2007-2011","10522","1014","9.6","1.7"
"704","Millville","Worcester County","MA","Millville","2007-2011","2273","182","8","2.5"
"705","New Braintree","Worcester County","MA","New Braintree","2007-2011","825","79","9.6","3.8"
"706","Northborough","Worcester County","MA","Northborough","2007-2011","10330","741","7.2","1.4"
"707","Northbridge","Worcester County","MA","Northbridge","2007-2011","11369","1228","10.8","1.9"
"708","North Brookfield","Worcester County","MA","North Brookfield","2007-2011","3544","420","11.9","3.9"
"709","Oakham","Worcester County","MA","Oakham","2007-2011","1412","149","10.6","2.5"
"710","Oxford","Worcester County","MA","Oxford","2007-2011","10501","1073","10.2","2"
"711","Paxton","Worcester County","MA","Paxton","2007-2011","3701","476","12.9","3.1"
"712","Petersham","Worcester County","MA","Petersham","2007-2011","1028","108","10.5","3.1"
"713","Phillipston","Worcester County","MA","Phillipston","2007-2011","1445","140","9.7","2.2"
"714","Princeton","Worcester County","MA","Princeton","2007-2011","2515","185","7.4","2.6"
"715","Royalston","Worcester County","MA","Royalston","2007-2011","858","118","13.8","3.1"
"716","Rutland","Worcester County","MA","Rutland","2007-2011","5569","912","16.4","3.1"
"717","Shrewsbury","Worcester County","MA","Shrewsbury","2007-2011","25633","2433","9.5","1"
"718","Southborough","Worcester County","MA","Southborough","2007-2011","6791","559","8.2","1.8"
"719","Southbridge","Worcester County","MA","Southbridge","2007-2011","12486","1336","10.7","1.6"
"720","Spencer","Worcester County","MA","Spencer","2007-2011","9274","1182","12.7","2.2"
"721","Sterling","Worcester County","MA","Sterling","2007-2011","5772","440","7.6","2.1"
"722","Sturbridge","Worcester County","MA","Sturbridge","2007-2011","6925","695","10","2.3"
"723","Sutton","Worcester County","MA","Sutton","2007-2011","6642","790","11.9","2.4"
"724","Templeton","Worcester County","MA","Templeton","2007-2011","5978","699","11.7","3"
"725","Upton","Worcester County","MA","Upton","2007-2011","5282","361","6.8","1.8"
"726","Uxbridge","Worcester County","MA","Uxbridge","2007-2011","9878","1173","11.9","1.8"
"727","Warren","Worcester County","MA","Warren","2007-2011","3875","467","12.1","3.5"
"728","Webster","Worcester County","MA","Webster","2007-2011","13183","1388","10.5","1.6"
"729","Westborough","Worcester County","MA","Westborough","2007-2011","13449","920","6.8","1.4"
"730","West Boylston","Worcester County","MA","West Boylston","2007-2011","6310","673","10.7","2.6"
"731","West Brookfield","Worcester County","MA","West Brookfield","2007-2011","3047","310","10.2","3"
"732","Westminster","Worcester County","MA","Westminster","2007-2011","5479","637","11.6","2.9"
"733","Winchendon","Worcester County","MA","Winchendon","2007-2011","7705","973","12.6","2.4"
"734","Worcester","Worcester County","MA","Worcester","2007-2011","140993","10173","7.2","0.4"
"735",NA,"NA County",NA,"United States","2008-2012","234029580","21853912","9.3","0.1"
"736",NA,"NA County","MA","MA","2008-2012","5138208","400874","7.8","0.1"
"737",NA,"Barnstable County","MA","Barnstable County","2008-2012","177957","22648","12.7","0.4"
"738",NA,"Berkshire County","MA","Berkshire County","2008-2012","105429","10880","10.3","0.5"
"739",NA,"Bristol County","MA","Bristol County","2008-2012","426363","35363","8.3","0.3"
"740",NA,"Dukes County","MA","Dukes County","2008-2012","13414","1212","9","1.7"
