"","X","Municipal","State","Year","Six_Digit_Code","Region","NAICS_Code","Industry_Title","Average_Monthly_Employment"
"143",11197,"Ipswich","MA",2001,323,"Ipswich",10,"Total, All Industries",3912
"144",11290,"Kingston","MA",2001,124,"Kingston",10,"Total, All Industries",5118
"145",11385,"Lakeville","MA",2001,309,"Lakeville",10,"Total, All Industries",3061
"146",11462,"Lancaster","MA",2001,170,"Lancaster",10,"Total, All Industries",2395
"147",11513,"Lanesborough","MA",2001,380,"Lanesborough",10,"Total, All Industries",1703
"148",11561,"Lawrence","MA",2001,231,"Lawrence",10,"Total, All Industries",23942
"149",11736,"Lee","MA",2001,382,"Lee",10,"Total, All Industries",3677
"150",11813,"Leicester","MA",2001,508,"Leicester",10,"Total, All Industries",2118
"151",11864,"Lenox","MA",2001,383,"Lenox",10,"Total, All Industries",3718
"152",11935,"Leominster","MA",2001,172,"Leominster",10,"Total, All Industries",18685
"153",12099,"Leverett","MA",2001,194,"Leverett",10,"Total, All Industries",181
"154",12111,"Lexington","MA",2001,476,"Lexington",10,"Total, All Industries",21426
"155",12258,"Lincoln","MA",2001,477,"Lincoln",10,"Total, All Industries",2051
"156",12295,"Littleton","MA",2001,246,"Littleton",10,"Total, All Industries",5766
"157",12381,"Longmeadow","MA",2001,440,"Longmeadow",10,"Total, All Industries",3261
"158",12447,"Lowell","MA",2001,241,"Lowell",10,"Total, All Industries",34556
"159",12637,"Ludlow","MA",2001,442,"Ludlow",10,"Total, All Industries",5937
"160",12736,"Lunenburg","MA",2001,173,"Lunenburg",10,"Total, All Industries",2464
"161",12800,"Lynn","MA",2001,251,"Lynn",10,"Total, All Industries",25258
"162",12962,"Lynnfield","MA",2001,252,"Lynnfield",10,"Total, All Industries",5168
"163",13041,"Malden","MA",2001,71,"Malden",10,"Total, All Industries",17482
"164",13196,"Manchester-by-the-Sea","MA",2001,417,"Manchester",10,"Total, All Industries",1496
"165",13261,"Mansfield","MA",2001,23,"Mansfield",10,"Total, All Industries",11711
"166",13375,"Marblehead","MA",2001,418,"Marblehead",10,"Total, All Industries",4931
"167",13491,"Marion","MA",2001,310,"Marion",10,"Total, All Industries",2042
"168",13548,"Marlborough","MA",2001,261,"Marlborough",10,"Total, All Industries",30368
"169",13712,"Marshfield","MA",2001,125,"Marshfield",10,"Total, All Industries",4988
"170",13816,"Mashpee","MA",2001,39,"Mashpee",10,"Total, All Industries",3524
"171",13898,"Mattapoisett","MA",2001,312,"Mattapoisett",10,"Total, All Industries",1705
"172",13959,"Maynard","MA",2001,267,"Maynard",10,"Total, All Industries",5617
"173",14029,"Medfield","MA",2001,365,"Medfield",10,"Total, All Industries",3604
"174",14113,"Medford","MA",2001,81,"Medford",10,"Total, All Industries",18931
"175",14267,"Medway","MA",2001,288,"Medway",10,"Total, All Industries",2730
"176",14348,"Melrose","MA",2001,73,"Melrose",10,"Total, All Industries",6549
"177",14453,"Mendon","MA",2001,289,"Mendon",10,"Total, All Industries",1355
"178",14507,"Merrimac","MA",2001,215,"Merrimac",10,"Total, All Industries",924
"179",14552,"Methuen","MA",2001,233,"Methuen",10,"Total, All Industries",14586
"180",14689,"Middleborough","MA",2001,126,"Middleborough",10,"Total, All Industries",7698
"181",14797,"Middlefield","MA",2001,354,"Middlefield",10,"Total, All Industries",47
"182",14800,"Middleton","MA",2001,419,"Middleton",10,"Total, All Industries",4867
"183",14877,"Milford","MA",2001,281,"Milford",10,"Total, All Industries",14653
"184",15019,"Millbury","MA",2001,509,"Millbury",10,"Total, All Industries",3814
"185",15092,"Millis","MA",2001,366,"Millis",10,"Total, All Industries",2146
"186",15156,"Millville","MA",2001,290,"Millville",10,"Total, All Industries",213
"187",15171,"Milton","MA",2001,406,"Milton",10,"Total, All Industries",6067
"188",15254,"Monroe","MA",2001,335,"Monroe",10,"Total, All Industries",37
"189",15256,"Monson","MA",2001,443,"Monson",10,"Total, All Industries",1374
"190",15304,"Montague","MA",2001,196,"Montague",10,"Total, All Industries",2713
"191",15371,"Monterey","MA",2001,384,"Monterey",10,"Total, All Industries",175
"192",15381,"Montgomery","MA",2001,444,"Montgomery",10,"Total, All Industries",66
"193",15383,"Nahant","MA",2001,253,"Nahant",10,"Total, All Industries",407
"194",15405,"Nantucket","MA",2001,313,"Nantucket",10,"Total, All Industries",5591
"195",15519,"Natick","MA",2001,268,"Natick",10,"Total, All Industries",23872
"196",15685,"Needham","MA",2001,92,"Needham",10,"Total, All Industries",20006
"197",15839,"New Ashford","MA",2001,336,"New Ashford",10,"Total, All Industries",111
"198",15843,"New Bedford","MA",2001,301,"New Bedford",10,"Total, All Industries",36293
"199",16056,"New Braintree","MA",2001,510,"New Braintree",10,"Total, All Industries",141
"200",16066,"New Marlborough","MA",2001,386,"New Marlborough",10,"Total, All Industries",382
"201",16083,"New Salem","MA",2001,5,"New Salem",10,"Total, All Industries",160
"202",16090,"Newbury","MA",2001,324,"Newbury",10,"Total, All Industries",1256
"203",16141,"Newburyport","MA",2001,321,"Newburyport",10,"Total, All Industries",10180
"204",16281,"Newton","MA",2001,91,"Newton",10,"Total, All Industries",48050
"205",16489,"Norfolk","MA",2001,367,"Norfolk",10,"Total, All Industries",3190
"206",16552,"North Adams","MA",2001,331,"North Adams",10,"Total, All Industries",6158
"207",16655,"North Andover","MA",2001,234,"North Andover",10,"Total, All Industries",18328
"208",16784,"North Attleborough","MA",2001,24,"North Attleborough",10,"Total, All Industries",12233
"209",16918,"North Brookfield","MA",2001,512,"North Brookfield",10,"Total, All Industries",1171
"210",16953,"North Reading","MA",2001,493,"North Reading",10,"Total, All Industries",6794
"211",17050,"Northampton","MA",2001,341,"Northampton",10,"Total, All Industries",17729
"212",17213,"Northborough","MA",2001,269,"Northborough",10,"Total, All Industries",6606
"213",17330,"Northbridge","MA",2001,292,"Northbridge",10,"Total, All Industries",4401
"214",17404,"Northfield","MA",2001,197,"Northfield",10,"Total, All Industries",1183
"215",17418,"Norton","MA",2001,25,"Norton",10,"Total, All Industries",6058
"216",17498,"Norwell","MA",2001,407,"Norwell",10,"Total, All Industries",8615
"217",17601,"Norwood","MA",2001,361,"Norwood",10,"Total, All Industries",25059
"218",17773,"Oak Bluffs","MA",2001,314,"Oak Bluffs",10,"Total, All Industries",1873
"219",17818,"Oakham","MA",2001,513,"Oakham",10,"Total, All Industries",150
"220",17825,"Orange","MA",2001,6,"Orange",10,"Total, All Industries",2071
"221",17888,"Orleans","MA",2001,40,"Orleans",10,"Total, All Industries",4362
"222",17991,"Otis","MA",2001,387,"Otis",10,"Total, All Industries",294
"223",18012,"Oxford","MA",2001,485,"Oxford",10,"Total, All Industries",3287
"224",18089,"Palmer","MA",2001,445,"Palmer",10,"Total, All Industries",5429
"225",18191,"Paxton","MA",2001,514,"Paxton",10,"Total, All Industries",707
"226",18219,"Peabody","MA",2001,420,"Peabody",10,"Total, All Industries",26877
"227",18404,"Pelham","MA",2001,355,"Pelham",10,"Total, All Industries",151
"228",18414,"Pembroke","MA",2001,127,"Pembroke",10,"Total, All Industries",5223
"229",18526,"Pepperell","MA",2001,174,"Pepperell",10,"Total, All Industries",1582
"230",18587,"Petersham","MA",2001,7,"Petersham",10,"Total, All Industries",140
"231",18597,"Phillipston","MA",2001,8,"Phillipston",10,"Total, All Industries",178
"232",18604,"Pittsfield","MA",2001,371,"Pittsfield",10,"Total, All Industries",26652
"233",18793,"Plainfield","MA",2001,356,"Plainfield",10,"Total, All Industries",125
"234",18798,"Plainville","MA",2001,26,"Plainville",10,"Total, All Industries",2961
