,Municipal,County,State,Region,Year,Unemployment Rate Avg,No Unemployed Avg,No Employed Avg,No Labor Avg
2410,Florida,Berkshire County,MA,Florida,1993,8.3,35,386,421
2411,Florida,Berkshire County,MA,Florida,1994,5.6,22,374,396
2412,Florida,Berkshire County,MA,Florida,1995,5,18,345,363
2413,Florida,Berkshire County,MA,Florida,1996,5.4,20,351,371
2414,Florida,Berkshire County,MA,Florida,1997,7.5,29,357,386
2415,Florida,Berkshire County,MA,Florida,1998,5.2,19,349,368
2416,Florida,Berkshire County,MA,Florida,1999,4.6,17,351,368
2417,Florida,Berkshire County,MA,Florida,2000,3.7,14,367,381
2418,Florida,Berkshire County,MA,Florida,2001,5.4,21,369,390
2419,Florida,Berkshire County,MA,Florida,2002,6.6,26,367,393
2420,Florida,Berkshire County,MA,Florida,2003,9.3,37,363,400
2421,Florida,Berkshire County,MA,Florida,2004,7.9,31,360,391
2422,Florida,Berkshire County,MA,Florida,2005,6.9,27,366,393
2423,Florida,Berkshire County,MA,Florida,2006,6.7,27,377,404
2424,Florida,Berkshire County,MA,Florida,2007,7.3,30,383,413
2425,Florida,Berkshire County,MA,Florida,2008,5.5,22,381,403
2426,Florida,Berkshire County,MA,Florida,2009,9.9,41,373,414
2427,Florida,Berkshire County,MA,Florida,2010,9.1,41,410,451
2428,Florida,Berkshire County,MA,Florida,2011,8.1,36,409,445
2429,Florida,Berkshire County,MA,Florida,2012,7.1,31,404,435
2430,Foxborough,Norfolk County,MA,Foxborough,1990,5.3,443,7965,8408
2431,Foxborough,Norfolk County,MA,Foxborough,1991,7.8,655,7717,8372
2432,Foxborough,Norfolk County,MA,Foxborough,1992,8.3,697,7748,8445
2433,Foxborough,Norfolk County,MA,Foxborough,1993,6.3,534,7877,8411
2434,Foxborough,Norfolk County,MA,Foxborough,1994,5.1,444,8275,8719
2435,Foxborough,Norfolk County,MA,Foxborough,1995,4.5,403,8462,8865
2436,Foxborough,Norfolk County,MA,Foxborough,1996,3.5,317,8755,9072
2437,Foxborough,Norfolk County,MA,Foxborough,1997,3.4,316,9077,9393
2438,Foxborough,Norfolk County,MA,Foxborough,1998,2.4,229,9255,9484
2439,Foxborough,Norfolk County,MA,Foxborough,1999,2.6,250,9375,9625
2440,Foxborough,Norfolk County,MA,Foxborough,2000,2.2,202,8959,9161
2441,Foxborough,Norfolk County,MA,Foxborough,2001,3.1,285,8965,9250
2442,Foxborough,Norfolk County,MA,Foxborough,2002,4.8,441,8810,9251
2443,Foxborough,Norfolk County,MA,Foxborough,2003,5.2,472,8682,9154
2444,Foxborough,Norfolk County,MA,Foxborough,2004,4.6,423,8677,9100
2445,Foxborough,Norfolk County,MA,Foxborough,2005,4.2,388,8744,9132
2446,Foxborough,Norfolk County,MA,Foxborough,2006,4,357,8599,8956
2447,Foxborough,Norfolk County,MA,Foxborough,2007,4,361,8714,9075
2448,Foxborough,Norfolk County,MA,Foxborough,2008,4.9,451,8737,9188
2449,Foxborough,Norfolk County,MA,Foxborough,2009,7.4,695,8754,9449
2450,Foxborough,Norfolk County,MA,Foxborough,2010,7.3,694,8755,9449
2451,Foxborough,Norfolk County,MA,Foxborough,2011,6.4,607,8854,9461
2452,Foxborough,Norfolk County,MA,Foxborough,2012,5.6,535,8951,9486
2453,Framingham,Middlesex County,MA,Framingham,1990,5.2,2015,36371,38386
2454,Framingham,Middlesex County,MA,Framingham,1991,7.1,2658,34988,37646
2455,Framingham,Middlesex County,MA,Framingham,1992,7.5,2772,34347,37119
2456,Framingham,Middlesex County,MA,Framingham,1993,5.8,2107,34528,36635
2457,Framingham,Middlesex County,MA,Framingham,1994,5,1832,34899,36731
2458,Framingham,Middlesex County,MA,Framingham,1995,4.2,1569,35810,37379
2459,Framingham,Middlesex County,MA,Framingham,1996,3.5,1313,36477,37790
2460,Framingham,Middlesex County,MA,Framingham,1997,2.7,1037,37339,38376
2461,Framingham,Middlesex County,MA,Framingham,1998,2.2,859,38051,38910
2462,Framingham,Middlesex County,MA,Framingham,1999,2.4,950,38317,39267
2463,Framingham,Middlesex County,MA,Framingham,2000,2.2,841,36987,37828
2464,Framingham,Middlesex County,MA,Framingham,2001,3,1137,36791,37928
2465,Framingham,Middlesex County,MA,Framingham,2002,4.6,1713,35759,37472
2466,Framingham,Middlesex County,MA,Framingham,2003,4.9,1787,34961,36748
2467,Framingham,Middlesex County,MA,Framingham,2004,4.2,1527,34925,36452
2468,Framingham,Middlesex County,MA,Framingham,2005,3.6,1331,35185,36516
2469,Framingham,Middlesex County,MA,Framingham,2006,3.7,1355,35225,36580
2470,Framingham,Middlesex County,MA,Framingham,2007,3.4,1237,35670,36907
2471,Framingham,Middlesex County,MA,Framingham,2008,4,1504,36050,37554
2472,Framingham,Middlesex County,MA,Framingham,2009,6.2,2352,35600,37952
2473,Framingham,Middlesex County,MA,Framingham,2010,6.2,2375,35828,38203
2474,Framingham,Middlesex County,MA,Framingham,2011,5.3,2041,36157,38198
2475,Framingham,Middlesex County,MA,Framingham,2012,5,1903,36488,38391
2476,Franklin,Norfolk County,MA,Franklin,1990,6,750,11764,12514
2477,Franklin,Norfolk County,MA,Franklin,1991,8,1019,11771,12790
2478,Franklin,Norfolk County,MA,Franklin,1992,7.4,971,12159,13130
2479,Franklin,Norfolk County,MA,Franklin,1993,6,811,12677,13488
2480,Franklin,Norfolk County,MA,Franklin,1994,4.7,653,13369,14022
2481,Franklin,Norfolk County,MA,Franklin,1995,4.6,654,13525,14179
2482,Franklin,Norfolk County,MA,Franklin,1996,3.5,514,14170,14684
2483,Franklin,Norfolk County,MA,Franklin,1997,3,458,14937,15395
2484,Franklin,Norfolk County,MA,Franklin,1998,2.4,373,15445,15818
2485,Franklin,Norfolk County,MA,Franklin,1999,2.3,383,16007,16390
2486,Franklin,Norfolk County,MA,Franklin,2000,2.1,335,15521,15856
2487,Franklin,Norfolk County,MA,Franklin,2001,3.1,496,15559,16055
2488,Franklin,Norfolk County,MA,Franklin,2002,4.6,744,15339,16083
2489,Franklin,Norfolk County,MA,Franklin,2003,5.1,814,15250,16064
2490,Franklin,Norfolk County,MA,Franklin,2004,4.4,696,15246,15942
2491,Franklin,Norfolk County,MA,Franklin,2005,3.9,635,15756,16391
2492,Franklin,Norfolk County,MA,Franklin,2006,3.9,629,15590,16219
2493,Franklin,Norfolk County,MA,Franklin,2007,3.9,636,15807,16443
2494,Franklin,Norfolk County,MA,Franklin,2008,4.6,759,15892,16651
2495,Franklin,Norfolk County,MA,Franklin,2009,7.4,1245,15606,16851
2496,Franklin,Norfolk County,MA,Franklin,2010,7.3,1238,15628,16866
2497,Franklin,Norfolk County,MA,Franklin,2011,6.3,1059,15802,16861
2498,Franklin,Norfolk County,MA,Franklin,2012,5.6,954,15975,16929
2522,Freetown,Bristol County,MA,Freetown,1990,7.2,332,4295,4627
2523,Freetown,Bristol County,MA,Freetown,1991,10.7,494,4110,4604
2524,Freetown,Bristol County,MA,Freetown,1992,11,510,4113,4623
2525,Freetown,Bristol County,MA,Freetown,1993,8.5,394,4225,4619
2526,Freetown,Bristol County,MA,Freetown,1994,7.9,368,4284,4652
2527,Freetown,Bristol County,MA,Freetown,1995,7.7,361,4316,4677
2528,Freetown,Bristol County,MA,Freetown,1996,6.7,310,4290,4600
2529,Freetown,Bristol County,MA,Freetown,1997,6.2,289,4404,4693
2530,Freetown,Bristol County,MA,Freetown,1998,5.3,249,4434,4683
2531,Freetown,Bristol County,MA,Freetown,1999,4.6,218,4499,4717
2532,Freetown,Bristol County,MA,Freetown,2000,3,154,5049,5203
2533,Freetown,Bristol County,MA,Freetown,2001,3.6,189,5052,5241
2534,Freetown,Bristol County,MA,Freetown,2002,4.7,250,5117,5367
2535,Freetown,Bristol County,MA,Freetown,2003,5.5,293,5068,5361
2536,Freetown,Bristol County,MA,Freetown,2004,5.2,283,5157,5440
2537,Freetown,Bristol County,MA,Freetown,2005,5.1,281,5246,5527
2538,Freetown,Bristol County,MA,Freetown,2006,4.7,264,5327,5591
2539,Freetown,Bristol County,MA,Freetown,2007,4.7,265,5325,5590
2540,Freetown,Bristol County,MA,Freetown,2008,5.9,330,5239,5569
2541,Freetown,Bristol County,MA,Freetown,2009,8.5,477,5118,5595
2542,Freetown,Bristol County,MA,Freetown,2010,9,491,4936,5427
2543,Freetown,Bristol County,MA,Freetown,2011,8.2,444,4987,5431
2544,Freetown,Bristol County,MA,Freetown,2012,7.3,398,5046,5444
2545,Gardner,Worcester County,MA,Gardner,1990,9.3,887,8664,9551
2546,Gardner,Worcester County,MA,Gardner,1991,12.2,1177,8497,9674
2547,Gardner,Worcester County,MA,Gardner,1992,10,957,8592,9549
2548,Gardner,Worcester County,MA,Gardner,1993,7.5,715,8810,9525
2549,Gardner,Worcester County,MA,Gardner,1994,7.4,705,8777,9482
2550,Gardner,Worcester County,MA,Gardner,1995,7,657,8699,9356
2551,Gardner,Worcester County,MA,Gardner,1996,6.1,563,8647,9210
2552,Gardner,Worcester County,MA,Gardner,1997,5.3,497,8803,9300
2553,Gardner,Worcester County,MA,Gardner,1998,4.2,387,8782,9169
2554,Gardner,Worcester County,MA,Gardner,1999,4.4,401,8764,9165
2555,Gardner,Worcester County,MA,Gardner,2000,3.3,330,9815,10145
2556,Gardner,Worcester County,MA,Gardner,2001,4.8,487,9672,10159
2557,Gardner,Worcester County,MA,Gardner,2002,6.4,651,9565,10216
2558,Gardner,Worcester County,MA,Gardner,2003,7,713,9468,10181
2559,Gardner,Worcester County,MA,Gardner,2004,6.7,673,9375,10048
2560,Gardner,Worcester County,MA,Gardner,2005,7.1,706,9246,9952
2561,Gardner,Worcester County,MA,Gardner,2006,6.2,614,9280,9894
2562,Gardner,Worcester County,MA,Gardner,2007,6,590,9233,9823
2563,Gardner,Worcester County,MA,Gardner,2008,7.7,758,9139,9897
2564,Gardner,Worcester County,MA,Gardner,2009,11.1,1094,8740,9834
2565,Gardner,Worcester County,MA,Gardner,2010,11.2,1092,8620,9712
2566,Gardner,Worcester County,MA,Gardner,2011,10.4,997,8614,9611
2567,Gardner,Worcester County,MA,Gardner,2012,9.4,888,8607,9495
2568,Georgetown,Essex County,MA,Georgetown,1990,5.2,184,3368,3552
2569,Georgetown,Essex County,MA,Georgetown,1991,7.4,267,3355,3622
2570,Georgetown,Essex County,MA,Georgetown,1992,7.6,283,3429,3712
2571,Georgetown,Essex County,MA,Georgetown,1993,5.1,192,3539,3731
2572,Georgetown,Essex County,MA,Georgetown,1994,5.1,203,3799,4002
2573,Georgetown,Essex County,MA,Georgetown,1995,4.3,167,3732,3899
2574,Georgetown,Essex County,MA,Georgetown,1996,3.2,129,3866,3995
2575,Georgetown,Essex County,MA,Georgetown,1997,3.2,130,3955,4085
2576,Georgetown,Essex County,MA,Georgetown,1998,2.6,113,4218,4331
2577,Georgetown,Essex County,MA,Georgetown,1999,2.4,107,4381,4488
2578,Georgetown,Essex County,MA,Georgetown,2000,2.2,89,4020,4109
2579,Georgetown,Essex County,MA,Georgetown,2001,3,127,4069,4196
2580,Georgetown,Essex County,MA,Georgetown,2002,4.2,176,3975,4151
2581,Georgetown,Essex County,MA,Georgetown,2003,4.6,191,3929,4120
2582,Georgetown,Essex County,MA,Georgetown,2004,4.3,177,3956,4133
2583,Georgetown,Essex County,MA,Georgetown,2005,4,170,4029,4199
2584,Georgetown,Essex County,MA,Georgetown,2006,3.6,153,4100,4253
2585,Georgetown,Essex County,MA,Georgetown,2007,3.7,158,4125,4283
2586,Georgetown,Essex County,MA,Georgetown,2008,4.3,195,4304,4499
2587,Georgetown,Essex County,MA,Georgetown,2009,6.9,312,4210,4522
2588,Georgetown,Essex County,MA,Georgetown,2010,6.7,291,4047,4338
2589,Georgetown,Essex County,MA,Georgetown,2011,5.9,256,4099,4355
2590,Georgetown,Essex County,MA,Georgetown,2012,5.1,223,4153,4376
2591,Gill,Franklin County,MA,Gill,1990,4.2,40,909,949
2592,Gill,Franklin County,MA,Gill,1991,6.6,64,907,971
2593,Gill,Franklin County,MA,Gill,1992,3.8,34,863,897
2594,Gill,Franklin County,MA,Gill,1993,3.8,34,867,901
2595,Gill,Franklin County,MA,Gill,1994,3.4,32,920,952
2596,Gill,Franklin County,MA,Gill,1995,3.1,29,917,946
2597,Gill,Franklin County,MA,Gill,1996,2.9,28,923,951
2598,Gill,Franklin County,MA,Gill,1997,2.6,25,947,972
2599,Gill,Franklin County,MA,Gill,1998,2,19,941,960
2600,Gill,Franklin County,MA,Gill,1999,1.9,19,968,987
2601,Gill,Franklin County,MA,Gill,2000,1.9,15,772,787
2602,Gill,Franklin County,MA,Gill,2001,2.2,17,770,787
2603,Gill,Franklin County,MA,Gill,2002,2.5,20,779,799
2604,Gill,Franklin County,MA,Gill,2003,3.5,28,782,810
2605,Gill,Franklin County,MA,Gill,2004,3.6,29,779,808
2606,Gill,Franklin County,MA,Gill,2005,3.7,30,778,808
2607,Gill,Franklin County,MA,Gill,2006,3.7,30,776,806
2608,Gill,Franklin County,MA,Gill,2007,3.3,26,770,796
2609,Gill,Franklin County,MA,Gill,2008,5.1,41,762,803
2610,Gill,Franklin County,MA,Gill,2009,7.8,63,745,808
2611,Gill,Franklin County,MA,Gill,2010,7.4,65,815,880
2612,Gill,Franklin County,MA,Gill,2011,6.5,57,816,873
2613,Gill,Franklin County,MA,Gill,2012,5.2,45,818,863
2614,Gloucester,Essex County,MA,Gloucester,1990,10.8,1742,14409,16151
2615,Gloucester,Essex County,MA,Gloucester,1991,13.4,2152,13958,16110
2616,Gloucester,Essex County,MA,Gloucester,1992,14.7,2387,13873,16260
2617,Gloucester,Essex County,MA,Gloucester,1993,12.2,1954,14023,15977
2618,Gloucester,Essex County,MA,Gloucester,1994,9.9,1579,14314,15893
2619,Gloucester,Essex County,MA,Gloucester,1995,8.5,1343,14488,15831
2620,Gloucester,Essex County,MA,Gloucester,1996,6.5,1030,14776,15806
2621,Gloucester,Essex County,MA,Gloucester,1997,5.8,938,15217,16155
2622,Gloucester,Essex County,MA,Gloucester,1998,5.4,884,15518,16402
2623,Gloucester,Essex County,MA,Gloucester,1999,4.5,733,15662,16395
2624,Gloucester,Essex County,MA,Gloucester,2000,3.7,601,15844,16445
2625,Gloucester,Essex County,MA,Gloucester,2001,4.9,815,15900,16715
2626,Gloucester,Essex County,MA,Gloucester,2002,6.3,1059,15710,16769
2627,Gloucester,Essex County,MA,Gloucester,2003,6.9,1150,15509,16659
2628,Gloucester,Essex County,MA,Gloucester,2004,6.3,1048,15484,16532
2629,Gloucester,Essex County,MA,Gloucester,2005,5.9,987,15608,16595
2630,Gloucester,Essex County,MA,Gloucester,2006,5.9,959,15164,16123
2631,Gloucester,Essex County,MA,Gloucester,2007,5.4,877,15250,16127
2632,Gloucester,Essex County,MA,Gloucester,2008,6.6,1079,15264,16343
2633,Gloucester,Essex County,MA,Gloucester,2009,9.7,1589,14804,16393
2634,Gloucester,Essex County,MA,Gloucester,2010,10,1575,14170,15745
2635,Gloucester,Essex County,MA,Gloucester,2011,8.7,1360,14342,15702
2636,Gloucester,Essex County,MA,Gloucester,2012,7.8,1232,14499,15731
2637,Goshen,Hampshire County,MA,Goshen,1990,5,26,493,519
2638,Goshen,Hampshire County,MA,Goshen,1991,5.5,28,478,506
2639,Goshen,Hampshire County,MA,Goshen,1992,5.4,29,511,540
2640,Goshen,Hampshire County,MA,Goshen,1993,4.1,23,532,555
2641,Goshen,Hampshire County,MA,Goshen,1994,4.5,27,567,594
2642,Goshen,Hampshire County,MA,Goshen,1995,2.5,15,587,602
2643,Goshen,Hampshire County,MA,Goshen,1996,1.9,11,573,584
2644,Goshen,Hampshire County,MA,Goshen,1997,3,18,577,595
2645,Goshen,Hampshire County,MA,Goshen,1998,1.9,11,557,568
2646,Goshen,Hampshire County,MA,Goshen,1999,1.8,11,604,615
2647,Goshen,Hampshire County,MA,Goshen,2000,1.4,8,564,572
2648,Goshen,Hampshire County,MA,Goshen,2001,1.7,10,569,579
2649,Goshen,Hampshire County,MA,Goshen,2002,2.4,14,570,584
2650,Goshen,Hampshire County,MA,Goshen,2003,3.7,22,572,594
2651,Goshen,Hampshire County,MA,Goshen,2004,3.4,20,573,593
2652,Goshen,Hampshire County,MA,Goshen,2005,2.5,15,574,589
2653,Goshen,Hampshire County,MA,Goshen,2006,3.3,20,580,600
2654,Goshen,Hampshire County,MA,Goshen,2007,2.7,16,580,596
2655,Goshen,Hampshire County,MA,Goshen,2008,4.7,29,585,614
2656,Goshen,Hampshire County,MA,Goshen,2009,6.4,38,560,598
2657,Goshen,Hampshire County,MA,Goshen,2010,5.6,36,606,642
2658,Goshen,Hampshire County,MA,Goshen,2011,4.5,28,599,627
2659,Goshen,Hampshire County,MA,Goshen,2012,5.1,32,599,631
2660,Gosnold,Dukes County,MA,Gosnold,1990,0,0,89,89
2661,Gosnold,Dukes County,MA,Gosnold,1991,0,0,86,86
2662,Gosnold,Dukes County,MA,Gosnold,1992,0,0,73,73
2663,Gosnold,Dukes County,MA,Gosnold,1993,2.3,2,84,86
2664,Gosnold,Dukes County,MA,Gosnold,1994,0,0,87,87
2665,Gosnold,Dukes County,MA,Gosnold,1995,0,0,88,88
2666,Gosnold,Dukes County,MA,Gosnold,1996,0,0,90,90
2667,Gosnold,Dukes County,MA,Gosnold,1997,1.1,1,90,91
2668,Gosnold,Dukes County,MA,Gosnold,1998,0,0,90,90
2669,Gosnold,Dukes County,MA,Gosnold,1999,0,0,89,89
2670,Gosnold,Dukes County,MA,Gosnold,2000,5.4,2,35,37
2671,Gosnold,Dukes County,MA,Gosnold,2001,0,0,35,35
2672,Gosnold,Dukes County,MA,Gosnold,2002,2.8,1,35,36
2673,Gosnold,Dukes County,MA,Gosnold,2003,2.9,1,34,35
2674,Gosnold,Dukes County,MA,Gosnold,2004,2.9,1,34,35
2675,Gosnold,Dukes County,MA,Gosnold,2005,2.8,1,35,36
2676,Gosnold,Dukes County,MA,Gosnold,2006,2.8,1,35,36
2677,Gosnold,Dukes County,MA,Gosnold,2007,5.6,2,34,36
2678,Gosnold,Dukes County,MA,Gosnold,2008,2.9,1,33,34
2679,Gosnold,Dukes County,MA,Gosnold,2009,2.9,1,33,34
2680,Gosnold,Dukes County,MA,Gosnold,2010,12.1,4,29,33
2681,Gosnold,Dukes County,MA,Gosnold,2011,6.5,2,29,31
2682,Gosnold,Dukes County,MA,Gosnold,2012,6.3,2,30,32
2683,Grafton,Worcester County,MA,Grafton,1990,5.7,410,6752,7162
2684,Grafton,Worcester County,MA,Grafton,1991,10.1,732,6532,7264
2685,Grafton,Worcester County,MA,Grafton,1992,8.2,586,6570,7156
2686,Grafton,Worcester County,MA,Grafton,1993,6.3,455,6821,7276
2687,Grafton,Worcester County,MA,Grafton,1994,4.6,333,6898,7231
2688,Grafton,Worcester County,MA,Grafton,1995,4.7,332,6771,7103
2689,Grafton,Worcester County,MA,Grafton,1996,3.9,279,6915,7194
2690,Grafton,Worcester County,MA,Grafton,1997,3.3,244,7166,7410
2691,Grafton,Worcester County,MA,Grafton,1998,3,221,7217,7438
2692,Grafton,Worcester County,MA,Grafton,1999,2.9,223,7343,7566
2693,Grafton,Worcester County,MA,Grafton,2000,2.5,206,8184,8390
2694,Grafton,Worcester County,MA,Grafton,2001,3.2,271,8293,8564
2695,Grafton,Worcester County,MA,Grafton,2002,4.9,433,8414,8847
2696,Grafton,Worcester County,MA,Grafton,2003,5.5,488,8464,8952
2697,Grafton,Worcester County,MA,Grafton,2004,4.9,440,8609,9049
2698,Grafton,Worcester County,MA,Grafton,2005,4.3,402,8896,9298
2699,Grafton,Worcester County,MA,Grafton,2006,4.1,395,9211,9606
2700,Grafton,Worcester County,MA,Grafton,2007,4.4,426,9341,9767
2701,Grafton,Worcester County,MA,Grafton,2008,4.9,478,9182,9660
2702,Grafton,Worcester County,MA,Grafton,2009,8.2,802,8942,9744
2703,Grafton,Worcester County,MA,Grafton,2010,7.6,733,8956,9689
2704,Grafton,Worcester County,MA,Grafton,2011,6.2,593,9036,9629
2705,Grafton,Worcester County,MA,Grafton,2012,6.2,602,9033,9635
2706,Granby,Hampshire County,MA,Granby,1990,6,187,2949,3136
2707,Granby,Hampshire County,MA,Granby,1991,8.4,264,2895,3159
2708,Granby,Hampshire County,MA,Granby,1992,8.3,265,2942,3207
2709,Granby,Hampshire County,MA,Granby,1993,7.3,233,2958,3191
2710,Granby,Hampshire County,MA,Granby,1994,6.4,209,3069,3278
2711,Granby,Hampshire County,MA,Granby,1995,5.2,162,2972,3134
2712,Granby,Hampshire County,MA,Granby,1996,4.9,157,3038,3195
2713,Granby,Hampshire County,MA,Granby,1997,4.7,152,3114,3266
2714,Granby,Hampshire County,MA,Granby,1998,4,132,3150,3282
2715,Granby,Hampshire County,MA,Granby,1999,3,99,3190,3289
2716,Granby,Hampshire County,MA,Granby,2000,2.6,90,3384,3474
2717,Granby,Hampshire County,MA,Granby,2001,3.1,109,3403,3512
2718,Granby,Hampshire County,MA,Granby,2002,4.4,157,3402,3559
2719,Granby,Hampshire County,MA,Granby,2003,4.8,172,3396,3568
2720,Granby,Hampshire County,MA,Granby,2004,4.7,168,3418,3586
2721,Granby,Hampshire County,MA,Granby,2005,4.2,151,3440,3591
2722,Granby,Hampshire County,MA,Granby,2006,4.3,157,3464,3621
2723,Granby,Hampshire County,MA,Granby,2007,4.5,163,3440,3603
2724,Granby,Hampshire County,MA,Granby,2008,5,178,3408,3586
2725,Granby,Hampshire County,MA,Granby,2009,7.8,274,3251,3525
2726,Granby,Hampshire County,MA,Granby,2010,7.3,255,3239,3494
2727,Granby,Hampshire County,MA,Granby,2011,6.8,232,3198,3430
2728,Granby,Hampshire County,MA,Granby,2012,6.8,234,3200,3434
2729,Granville,Hampden County,MA,Granville,1990,3.8,29,734,763
2730,Granville,Hampden County,MA,Granville,1991,7.6,59,718,777
2731,Granville,Hampden County,MA,Granville,1992,6.5,57,819,876
2732,Granville,Hampden County,MA,Granville,1993,6.8,62,845,907
2733,Granville,Hampden County,MA,Granville,1994,6.1,59,904,963
2734,Granville,Hampden County,MA,Granville,1995,5.7,51,849,900
2735,Granville,Hampden County,MA,Granville,1996,5.1,45,831,876
2736,Granville,Hampden County,MA,Granville,1997,3.8,33,841,874
2737,Granville,Hampden County,MA,Granville,1998,3.1,28,887,915
2738,Granville,Hampden County,MA,Granville,1999,2.9,29,967,996
2739,Granville,Hampden County,MA,Granville,2000,2.3,20,850,870
2740,Granville,Hampden County,MA,Granville,2001,2.4,21,861,882
2741,Granville,Hampden County,MA,Granville,2002,3.6,32,869,901
2742,Granville,Hampden County,MA,Granville,2003,3.5,32,873,905
2743,Granville,Hampden County,MA,Granville,2004,3.2,29,887,916
2744,Granville,Hampden County,MA,Granville,2005,3.4,32,902,934
2745,Granville,Hampden County,MA,Granville,2006,3.3,31,920,951
2746,Granville,Hampden County,MA,Granville,2007,3.3,32,927,959
2747,Granville,Hampden County,MA,Granville,2008,4.5,44,924,968
2748,Granville,Hampden County,MA,Granville,2009,8.1,76,861,937
2749,Granville,Hampden County,MA,Granville,2010,9.2,83,821,904
2750,Granville,Hampden County,MA,Granville,2011,7.8,69,813,882
2751,Granville,Hampden County,MA,Granville,2012,7.3,64,814,878
2752,Great Barrington,Berkshire County,MA,Great Barrington,1990,6.1,241,3704,3945
2753,Great Barrington,Berkshire County,MA,Great Barrington,1991,8.4,327,3588,3915
2754,Great Barrington,Berkshire County,MA,Great Barrington,1992,8.5,331,3572,3903
2755,Great Barrington,Berkshire County,MA,Great Barrington,1993,7.3,291,3699,3990
2756,Great Barrington,Berkshire County,MA,Great Barrington,1994,6.1,241,3682,3923
2757,Great Barrington,Berkshire County,MA,Great Barrington,1995,5,211,3985,4196
2758,Great Barrington,Berkshire County,MA,Great Barrington,1996,3.9,163,4070,4233
2759,Great Barrington,Berkshire County,MA,Great Barrington,1997,3.5,151,4160,4311
2760,Great Barrington,Berkshire County,MA,Great Barrington,1998,2.8,120,4212,4332
2761,Great Barrington,Berkshire County,MA,Great Barrington,1999,2.7,115,4195,4310
2762,Great Barrington,Berkshire County,MA,Great Barrington,2000,2.5,103,3984,4087
2763,Great Barrington,Berkshire County,MA,Great Barrington,2001,2.9,121,4118,4239
2764,Great Barrington,Berkshire County,MA,Great Barrington,2002,3.5,153,4230,4383
2765,Great Barrington,Berkshire County,MA,Great Barrington,2003,4.1,179,4212,4391
2766,Great Barrington,Berkshire County,MA,Great Barrington,2004,3.7,163,4185,4348
2767,Great Barrington,Berkshire County,MA,Great Barrington,2005,3.5,153,4272,4425
2768,Great Barrington,Berkshire County,MA,Great Barrington,2006,3.5,156,4304,4460
2769,Great Barrington,Berkshire County,MA,Great Barrington,2007,3.7,164,4210,4374
2770,Great Barrington,Berkshire County,MA,Great Barrington,2008,4.7,206,4224,4430
2771,Great Barrington,Berkshire County,MA,Great Barrington,2009,6.8,300,4093,4393
2772,Great Barrington,Berkshire County,MA,Great Barrington,2010,7,299,3987,4286
2773,Great Barrington,Berkshire County,MA,Great Barrington,2011,6.2,267,4010,4277
2774,Great Barrington,Berkshire County,MA,Great Barrington,2012,5.8,247,3977,4224
2775,Greenfield,Franklin County,MA,Greenfield,1990,5,463,8768,9231
2776,Greenfield,Franklin County,MA,Greenfield,1991,8.2,768,8652,9420
2777,Greenfield,Franklin County,MA,Greenfield,1992,8.7,789,8314,9103
2778,Greenfield,Franklin County,MA,Greenfield,1993,6.8,600,8265,8865
2779,Greenfield,Franklin County,MA,Greenfield,1994,5.5,491,8389,8880
2780,Greenfield,Franklin County,MA,Greenfield,1995,5.1,471,8805,9276
2781,Greenfield,Franklin County,MA,Greenfield,1996,4.2,385,8804,9189
2782,Greenfield,Franklin County,MA,Greenfield,1997,3.8,354,8955,9309
2783,Greenfield,Franklin County,MA,Greenfield,1998,3.6,334,9063,9397
2784,Greenfield,Franklin County,MA,Greenfield,1999,3.3,318,9182,9500
2785,Greenfield,Franklin County,MA,Greenfield,2000,2.7,248,8975,9223
2786,Greenfield,Franklin County,MA,Greenfield,2001,3.5,321,8905,9226
2787,Greenfield,Franklin County,MA,Greenfield,2002,4.5,423,8979,9402
2788,Greenfield,Franklin County,MA,Greenfield,2003,5,468,8954,9422
2789,Greenfield,Franklin County,MA,Greenfield,2004,4.6,425,8762,9187
2790,Greenfield,Franklin County,MA,Greenfield,2005,4.9,447,8701,9148
2791,Greenfield,Franklin County,MA,Greenfield,2006,4.7,431,8683,9114
2792,Greenfield,Franklin County,MA,Greenfield,2007,4.7,428,8636,9064
2793,Greenfield,Franklin County,MA,Greenfield,2008,5.6,508,8559,9067
2794,Greenfield,Franklin County,MA,Greenfield,2009,8.3,759,8336,9095
2795,Greenfield,Franklin County,MA,Greenfield,2010,8.2,741,8290,9031
2796,Greenfield,Franklin County,MA,Greenfield,2011,7.1,632,8301,8933
2797,Greenfield,Franklin County,MA,Greenfield,2012,7,629,8324,8953
2798,Groton,Middlesex County,MA,Groton,1990,4.5,200,4214,4414
2799,Groton,Middlesex County,MA,Groton,1991,7,312,4169,4481
2800,Groton,Middlesex County,MA,Groton,1992,6.8,319,4360,4679
2801,Groton,Middlesex County,MA,Groton,1993,5.1,237,4449,4686
2802,Groton,Middlesex County,MA,Groton,1994,4.8,232,4612,4844
2803,Groton,Middlesex County,MA,Groton,1995,3.9,184,4578,4762
2804,Groton,Middlesex County,MA,Groton,1996,2.9,145,4821,4966
2805,Groton,Middlesex County,MA,Groton,1997,2.8,145,5087,5232
2806,Groton,Middlesex County,MA,Groton,1998,2.6,140,5302,5442
2807,Groton,Middlesex County,MA,Groton,1999,2.4,138,5584,5722
2808,Groton,Middlesex County,MA,Groton,2000,2,105,5050,5155
2809,Groton,Middlesex County,MA,Groton,2001,3.3,174,5139,5313
