"","Region","Five_Year_Range","Population","Never_Married","Never_Married_Pct","Now_Married","Now_Married_Pct","Separated","Separated_Pct","Widowed","Widowed_Pct","Divorced","Divorced_Pct","Gender"
"966","Somerville",2012,32544,18902,58.1,11033,33.9,414,1.3,546,1.7,1649,5.1,"Male"
"967","Stoneham",2012,8526,2795,32.8,4552,53.4,110,1.3,260,3,809,9.5,"Male"
"968","Stow",2012,2406,485,20.2,1652,68.7,45,1.9,88,3.7,136,5.7,"Male"
"969","Sudbury",2012,6453,1448,22.4,4678,72.5,48,0.7,144,2.2,135,2.1,"Male"
"970","Tewksbury",2012,11302,3253,28.8,7067,62.5,36,0.3,333,2.9,613,5.4,"Male"
"971","Townsend",2012,3438,903,26.3,2139,62.2,33,1,44,1.3,319,9.3,"Male"
"972","Tyngsborough",2012,4729,1500,31.7,2688,56.8,37,0.8,103,2.2,401,8.5,"Male"
"973","Wakefield",2012,10011,2983,29.8,5566,55.6,195,1.9,269,2.7,998,10,"Male"
"974","Waltham",2012,26443,12940,48.9,11094,42,336,1.3,376,1.4,1697,6.4,"Male"
"975","Watertown",2012,12965,5052,39,6514,50.2,83,0.6,271,2.1,1045,8.1,"Male"
"976","Wayland",2012,4904,1117,22.8,3423,69.8,29,0.6,122,2.5,213,4.3,"Male"
"977","Westford",2012,8359,1963,23.5,5737,68.6,89,1.1,150,1.8,420,5,"Male"
"978","Weston",2012,4121,1086,26.4,2832,68.7,0,0,55,1.3,148,3.6,"Male"
"979","Wilmington",2012,8427,2323,27.6,5476,65,62,0.7,177,2.1,389,4.6,"Male"
"980","Winchester",2012,7639,1601,21,5389,70.5,31,0.4,163,2.1,455,6,"Male"
"981","Woburn",2012,15568,5841,37.5,8015,51.5,154,1,480,3.1,1078,6.9,"Male"
"982","Nantucket",2012,4308,1566,36.4,2298,53.3,25,0.6,130,3,289,6.7,"Male"
"983","Avon",2012,1722,602,35,883,51.3,0,0,58,3.4,179,10.4,"Male"
"984","Bellingham",2012,6346,1924,30.3,3626,57.1,129,2,184,2.9,483,7.6,"Male"
"985","Braintree",2012,13507,4417,32.7,7622,56.4,111,0.8,533,3.9,824,6.1,"Male"
"986","Brookline",2012,21324,8519,40,11408,53.5,164,0.8,355,1.7,878,4.1,"Male"
"987","Canton",2012,7982,2372,29.7,4878,61.1,183,2.3,279,3.5,270,3.4,"Male"
"988","Cohasset",2012,2981,753,25.3,1945,65.2,0,0,88,3,195,6.5,"Male"
"989","Dedham",2012,9999,3190,31.9,5701,57,152,1.5,298,3,658,6.6,"Male"
"990","Dover",2012,2220,583,26.3,1513,68.2,37,1.7,45,2,42,1.9,"Male"
"991","Foxborough",2012,6354,1887,29.7,3675,57.8,67,1.1,223,3.5,502,7.9,"Male"
"992","Franklin",2012,11719,3399,29,7470,63.7,169,1.4,137,1.2,544,4.6,"Male"
"993","Holbrook",2012,4279,1286,30.1,2292,53.6,158,3.7,77,1.8,466,10.9,"Male"
"994","Medfield",2012,4655,1209,26,3125,67.1,3,0.1,41,0.9,277,6,"Male"
"995","Medway",2012,4810,1236,25.7,3089,64.2,12,0.2,176,3.7,297,6.2,"Male"
"996","Millis",2012,3075,658,21.4,1951,63.4,46,1.5,54,1.8,366,11.9,"Male"
"997","Milton",2012,10004,3684,36.8,5628,56.3,115,1.1,116,1.2,461,4.6,"Male"
"998","Needham",2012,10667,2758,25.9,6989,65.5,73,0.7,325,3,522,4.9,"Male"
"999","Norfolk",2012,5880,2416,41.1,2794,47.5,44,0.7,92,1.6,534,9.1,"Male"
"1000","Norwood",2012,11728,4264,36.4,5984,51,144,1.2,486,4.1,850,7.2,"Male"
"1001","Plainville",2012,2972,908,30.6,1706,57.4,13,0.4,91,3.1,254,8.5,"Male"
"1002","Quincy",2012,38384,16366,42.6,17874,46.6,600,1.6,1029,2.7,2515,6.6,"Male"
"1003","Randolph",2012,12082,4573,37.8,6250,51.7,235,1.9,449,3.7,575,4.8,"Male"
"1004","Sharon",2012,6308,1273,20.2,4492,71.2,52,0.8,97,1.5,394,6.2,"Male"
"1005","Stoughton",2012,10688,3421,32,5975,55.9,113,1.1,334,3.1,845,7.9,"Male"
"1006","Walpole",2012,9339,2721,29.1,5592,59.9,61,0.7,243,2.6,722,7.7,"Male"
"1007","Wellesley",2012,8918,2223,24.9,6034,67.7,42,0.5,217,2.4,402,4.5,"Male"
"1008","Westwood",2012,5157,1106,21.4,3605,69.9,40,0.8,162,3.1,244,4.7,"Male"
"1009","Weymouth",2012,20993,7393,35.2,10898,51.9,164,0.8,721,3.4,1817,8.7,"Male"
"1010","Wrentham",2012,4338,1342,30.9,2582,59.5,22,0.5,46,1.1,346,8,"Male"
"1011","Abington",2012,6023,1728,28.7,3555,59,33,0.5,129,2.1,578,9.6,"Male"
"1012","Bridgewater",2012,11202,4556,40.7,5149,46,123,1.1,254,2.3,1120,10,"Male"
"1013","Brockton",2012,35086,15733,44.8,13907,39.6,1120,3.2,925,2.6,3401,9.7,"Male"
"1014","Carver",2012,4280,1177,27.5,2609,61,47,1.1,175,4.1,272,6.4,"Male"
"1015","Duxbury",2012,5218,994,19,3737,71.6,0,0,141,2.7,346,6.6,"Male"
"1016","East Bridgewater",2012,5359,1627,30.4,3127,58.4,19,0.4,165,3.1,421,7.9,"Male"
"1017","Halifax",2012,3087,1128,36.5,1580,51.2,45,1.5,52,1.7,282,9.1,"Male"
"1018","Hanover",2012,5481,1750,31.9,3158,57.6,102,1.9,186,3.4,285,5.2,"Male"
"1019","Hanson",2012,3998,1250,31.3,2318,58,81,2,72,1.8,277,6.9,"Male"
"1020","Hingham",2012,7791,1890,24.3,5296,68,60,0.8,234,3,311,4,"Male"
"1021","Hull",2012,3857,1265,32.8,2067,53.6,47,1.2,63,1.6,415,10.8,"Male"
"1022","Kingston",2012,4946,1624,32.8,2770,56,0,0,127,2.6,425,8.6,"Male"
"1023","Lakeville",2012,4043,953,23.6,2669,66,34,0.8,89,2.2,298,7.4,"Male"
"1024","Marion",2012,2088,721,34.5,1112,53.3,0,0,51,2.4,204,9.8,"Male"
"1025","Marshfield",2012,9747,2577,26.4,6097,62.6,82,0.8,176,1.8,815,8.4,"Male"
"1026","Mattapoisett",2012,2491,630,25.3,1547,62.1,84,3.4,60,2.4,170,6.8,"Male"
"1027","Middleborough",2012,8636,2598,30.1,4824,55.9,192,2.2,260,3,762,8.8,"Male"
"1028","Norwell",2012,3999,1105,27.6,2565,64.1,88,2.2,141,3.5,100,2.5,"Male"
"1029","Pembroke",2012,6712,1825,27.2,4255,63.4,41,0.6,101,1.5,490,7.3,"Male"
"1030","Plymouth",2012,23344,7400,31.7,13066,56,364,1.6,616,2.6,1898,8.1,"Male"
"1031","Plympton",2012,1086,185,17,748,68.9,8,0.7,21,1.9,124,11.4,"Male"
"1032","Rochester",2012,2112,639,30.3,1214,57.5,28,1.3,36,1.7,195,9.2,"Male"
"1033","Rockland",2012,6891,2205,32,3520,51.1,220,3.2,180,2.6,766,11.1,"Male"
"1034","Scituate",2012,6737,1739,25.8,4129,61.3,35,0.5,252,3.7,582,8.6,"Male"
"1035","Wareham",2012,8563,2919,34.1,4313,50.4,173,2,371,4.3,787,9.2,"Male"
"1036","West Bridgewater",2012,2766,888,32.1,1398,50.5,19,0.7,80,2.9,381,13.8,"Male"
"1037","Whitman",2012,5684,2018,35.5,3148,55.4,71,1.2,186,3.3,261,4.6,"Male"
"1038","Boston",2012,252429,146915,58.2,79053,31.3,6166,2.4,4695,1.9,15600,6.2,"Male"
"1039","Chelsea",2012,13656,7294,53.4,4579,33.5,341,2.5,358,2.6,1084,7.9,"Male"
"1040","Revere",2012,21817,8872,40.7,9459,43.4,635,2.9,590,2.7,2261,10.4,"Male"
"1041","Winthrop",2012,7073,2474,35,3481,49.2,153,2.2,200,2.8,765,10.8,"Male"
"1042","Ashburnham",2012,2470,765,31,1465,59.3,0,0,48,1.9,192,7.8,"Male"
"1043","Athol",2012,4611,1510,32.7,2191,47.5,115,2.5,192,4.2,603,13.1,"Male"
"1044","Auburn",2012,6102,1866,30.6,3552,58.2,17,0.3,235,3.9,432,7.1,"Male"
"1045","Barre",2012,2215,803,36.3,1136,51.3,8,0.4,31,1.4,237,10.7,"Male"
"1046","Berlin",2012,1218,346,28.4,676,55.5,19,1.6,73,6,104,8.5,"Male"
"1047","Blackstone",2012,3651,1291,35.4,1917,52.5,62,1.7,75,2.1,306,8.4,"Male"
"1048","Bolton",2012,1777,402,22.6,1213,68.3,37,2.1,53,3,72,4.1,"Male"
"1049","Boylston",2012,1795,611,34,1050,58.5,0,0,43,2.4,91,5.1,"Male"
"1050","Brookfield",2012,1295,311,24,823,63.6,18,1.4,26,2,117,9,"Male"
"1051","Charlton",2012,5007,1169,23.3,3163,63.2,85,1.7,173,3.5,417,8.3,"Male"
"1052","Clinton",2012,5549,2086,37.6,2523,45.5,131,2.4,151,2.7,658,11.9,"Male"
"1053","Douglas",2012,3447,928,26.9,2127,61.7,17,0.5,53,1.5,322,9.3,"Male"
"1054","Dudley",2012,4680,1913,40.9,2245,48,63,1.3,111,2.4,348,7.4,"Male"
"1055","East Brookfield",2012,862,247,28.7,498,57.8,17,2,19,2.2,81,9.4,"Male"
"1056","Fitchburg",2012,16739,7403,44.2,6660,39.8,323,1.9,474,2.8,1879,11.2,"Male"
"1057","Gardner",2012,8513,3287,38.6,3870,45.5,173,2,245,2.9,938,11,"Male"
"1058","Grafton",2012,6632,2084,31.4,3785,57.1,67,1,185,2.8,511,7.7,"Male"
"1059","Hardwick",2012,1273,490,38.5,657,51.6,13,1,57,4.5,56,4.4,"Male"
"1060","Harvard",2012,3276,1012,30.9,1640,50.1,29,0.9,31,0.9,564,17.2,"Male"
"1061","Holden",2012,6619,1694,25.6,4321,65.3,32,0.5,171,2.6,401,6.1,"Male"
"1062","Hopedale",2012,2357,844,35.8,1272,54,0,0,74,3.1,167,7.1,"Male"
"1063","Hubbardston",2012,1875,599,31.9,1110,59.2,28,1.5,26,1.4,112,6,"Male"
"1064","Lancaster",2012,3947,1800,45.6,1791,45.4,49,1.2,38,1,269,6.8,"Male"
