"","Region","Five_Year_Range","Population","Never_Married","Never_Married_Pct","Now_Married","Now_Married_Pct","Separated","Separated_Pct","Widowed","Widowed_Pct","Divorced","Divorced_Pct","Gender"
"1128","Provincetown",2010,1253,493,39.3,336,26.8,6,0.5,221,17.6,197,15.7,"Female"
"1129","Sandwich",2010,8431,1551,18.4,5221,61.9,117,1.4,587,7,955,11.3,"Female"
"1130","Truro",2010,802,207,25.8,410,51.1,31,3.9,88,11,66,8.2,"Female"
"1131","Wellfleet",2010,1652,455,27.5,766,46.4,23,1.4,167,10.1,241,14.6,"Female"
"1132","Yarmouth",2010,11083,1902,17.2,5487,49.5,210,1.9,1873,16.9,1611,14.5,"Female"
"1133","Adams",2010,3764,1082,28.7,1535,40.8,70,1.9,506,13.4,571,15.2,"Female"
"1134","Alford",2010,218,41,18.8,122,56,0,0,35,16.1,20,9.2,"Female"
"1135","Becket",2010,705,123,17.4,375,53.2,46,6.5,67,9.5,94,13.3,"Female"
"1136","Cheshire",2010,1374,311,22.6,768,55.9,33,2.4,93,6.8,169,12.3,"Female"
"1137","Clarksburg",2010,788,156,19.8,449,57,20,2.5,119,15.1,44,5.6,"Female"
"1138","Dalton",2010,2881,605,21,1598,55.5,62,2.2,305,10.6,311,10.8,"Female"
"1139","Egremont",2010,598,120,20.1,313,52.3,5,0.8,70,11.7,90,15.1,"Female"
"1140","Florida",2010,285,70,24.6,172,60.4,0,0,7,2.5,36,12.6,"Female"
"1141","Great Barrington",2010,3378,880,26.1,1325,39.2,170,5,455,13.5,548,16.2,"Female"
"1142","Hancock",2010,274,46,16.8,176,64.2,0,0,25,9.1,27,9.9,"Female"
"1143","Hinsdale",2010,931,229,24.6,528,56.7,15,1.6,88,9.5,71,7.6,"Female"
"1144","Lanesborough",2010,1259,222,17.6,705,56,0,0,121,9.6,211,16.8,"Female"
"1145","Lee",2010,2604,678,26,1206,46.3,0,0,255,9.8,465,17.9,"Female"
"1146","Lenox",2010,2179,621,28.5,1057,48.5,0,0,340,15.6,161,7.4,"Female"
"1147","Monterey",2010,278,36,12.9,173,62.2,14,5,4,1.4,51,18.3,"Female"
"1148","Mount Washington",2010,63,16,25.4,37,58.7,0,0,7,11.1,3,4.8,"Female"
"1149","New Ashford",2010,89,6,6.7,59,66.3,0,0,13,14.6,11,12.4,"Female"
"1150","New Marlborough",2010,654,169,25.8,339,51.8,20,3.1,75,11.5,51,7.8,"Female"
"1151","North Adams",2010,6158,2454,39.9,2127,34.5,146,2.4,745,12.1,686,11.1,"Female"
"1152","Otis",2010,518,101,19.5,333,64.3,21,4.1,23,4.4,40,7.7,"Female"
"1153","Peru",2010,317,60,18.9,203,64,0,0,15,4.7,39,12.3,"Female"
"1154","Pittsfield",2010,20112,6007,29.9,7818,38.9,497,2.5,2754,13.7,3036,15.1,"Female"
"1155","Richmond",2010,742,121,16.3,468,63.1,19,2.6,62,8.4,72,9.7,"Female"
"1156","Sandisfield",2010,342,53,15.5,236,69,0,0,33,9.6,20,5.8,"Female"
"1157","Savoy",2010,286,48,16.8,184,64.3,0,0,23,8,31,10.8,"Female"
"1158","Sheffield",2010,1404,339,24.1,629,44.8,20,1.4,137,9.8,279,19.9,"Female"
"1159","Stockbridge",2010,778,239,30.7,314,40.4,19,2.4,99,12.7,107,13.8,"Female"
"1160","Tyringham",2010,209,64,30.6,110,52.6,10,4.8,11,5.3,14,6.7,"Female"
"1161","Washington",2010,250,37,14.8,173,69.2,4,1.6,15,6,21,8.4,"Female"
"1162","West Stockbridge",2010,733,167,22.8,339,46.2,30,4.1,91,12.4,106,14.5,"Female"
"1163","Williamstown",2010,3506,1082,30.9,1456,41.5,14,0.4,555,15.8,399,11.4,"Female"
"1164","Windsor",2010,435,110,25.3,251,57.7,0,0,49,11.3,25,5.7,"Female"
"1165","Acushnet",2010,4414,1024,23.2,2374,53.8,79,1.8,454,10.3,483,10.9,"Female"
"1166","Attleboro",2010,17874,5163,28.9,8540,47.8,242,1.4,1680,9.4,2249,12.6,"Female"
"1167","Berkley",2010,2501,586,23.4,1515,60.6,21,0.8,127,5.1,252,10.1,"Female"
"1168","Dartmouth",2010,14458,4338,30,6990,48.3,207,1.4,1513,10.5,1410,9.8,"Female"
"1169","Dighton",2010,3030,833,27.5,1590,52.5,27,0.9,335,11.1,245,8.1,"Female"
"1170","Easton",2010,10046,3528,35.1,4853,48.3,124,1.2,655,6.5,886,8.8,"Female"
"1171","Fairhaven",2010,7433,1999,26.9,3261,43.9,151,2,1002,13.5,1020,13.7,"Female"
"1172","Fall River",2010,39209,12660,32.3,14659,37.4,1537,3.9,5453,13.9,4900,12.5,"Female"
"1173","Freetown",2010,3527,783,22.2,2280,64.6,63,1.8,106,3,295,8.4,"Female"
"1174","Mansfield",2010,8587,2073,24.1,4773,55.6,184,2.1,688,8,869,10.1,"Female"
"1175","New Bedford",2010,40784,14545,35.7,14344,35.2,1904,4.7,4998,12.3,4993,12.2,"Female"
"1176","North Attleborough",2010,11031,2505,22.7,6209,56.3,213,1.9,744,6.7,1360,12.3,"Female"
"1177","Norton",2010,7905,2137,27,3816,48.3,146,1.8,835,10.6,971,12.3,"Female"
"1178","Raynham",2010,5369,1339,24.9,2881,53.7,68,1.3,466,8.7,615,11.5,"Female"
"1179","Rehoboth",2010,4592,775,16.9,2950,64.2,68,1.5,353,7.7,446,9.7,"Female"
"1180","Seekonk",2010,5822,1496,25.7,3179,54.6,105,1.8,514,8.8,528,9.1,"Female"
"1181","Somerset",2010,8421,1768,21,4088,48.5,63,0.7,1525,18.1,977,11.6,"Female"
"1182","Swansea",2010,6771,1239,18.3,4079,60.2,44,0.6,757,11.2,652,9.6,"Female"
"1183","Taunton",2010,23716,7456,31.4,10710,45.2,550,2.3,2340,9.9,2660,11.2,"Female"
"1184","Westport",2010,6872,1548,22.5,3744,54.5,152,2.2,857,12.5,571,8.3,"Female"
"1185","Aquinnah",2010,169,52,30.8,103,60.9,0,0,11,6.5,3,1.8,"Female"
"1186","Chilmark",2010,395,71,18,268,67.8,0,0,13,3.3,43,10.9,"Female"
"1187","Edgartown",2010,1516,465,30.7,695,45.8,73,4.8,169,11.1,114,7.5,"Female"
"1188","Gosnold",2010,94,11,11.7,54,57.4,0,0,29,30.9,0,0,"Female"
"1189","Oak Bluffs",2010,2023,630,31.1,847,41.9,12,0.6,233,11.5,301,14.9,"Female"
"1190","Tisbury",2010,1732,483,27.9,817,47.2,22,1.3,169,9.8,241,13.9,"Female"
"1191","West Tisbury",2010,1029,291,28.3,513,49.9,10,1,54,5.2,161,15.6,"Female"
"1192","Amesbury",2010,6877,1817,26.4,3430,49.9,79,1.1,653,9.5,898,13.1,"Female"
"1193","Andover",2010,13497,2707,20.1,8054,59.7,141,1,1263,9.4,1332,9.9,"Female"
"1194","Beverly",2010,17900,5532,30.9,8249,46.1,383,2.1,1893,10.6,1843,10.3,"Female"
"1195","Boxford",2010,3015,729,24.2,1943,64.4,18,0.6,154,5.1,171,5.7,"Female"
"1196","Danvers",2010,11540,2691,23.3,6031,52.3,196,1.7,1258,10.9,1364,11.8,"Female"
"1197","Essex",2010,1461,376,25.7,878,60.1,19,1.3,81,5.5,107,7.3,"Female"
"1198","Georgetown",2010,2970,664,22.4,1909,64.3,9,0.3,146,4.9,242,8.1,"Female"
"1199","Gloucester",2010,13029,3266,25.1,6620,50.8,431,3.3,1292,9.9,1420,10.9,"Female"
"1200","Groveland",2010,2641,513,19.4,1549,58.7,24,0.9,313,11.9,242,9.2,"Female"
"1201","Hamilton",2010,3022,593,19.6,1880,62.2,53,1.8,244,8.1,252,8.3,"Female"
"1202","Haverhill",2010,25049,7420,29.6,11392,45.5,553,2.2,2227,8.9,3457,13.8,"Female"
"1203","Ipswich",2010,5642,1242,22,2909,51.6,79,1.4,625,11.1,787,13.9,"Female"
"1204","Lawrence",2010,29652,12520,42.2,9565,32.3,1842,6.2,2300,7.8,3425,11.6,"Female"
"1205","Lynn",2010,37998,14844,39.1,13421,35.3,1991,5.2,3667,9.7,4075,10.7,"Female"
"1206","Lynnfield",2010,4929,1156,23.5,2930,59.4,144,2.9,500,10.1,199,4,"Female"
"1207","Manchester-by-the-Sea",2010,2049,360,17.6,1263,61.6,29,1.4,161,7.9,236,11.5,"Female"
"1208","Marblehead",2010,8241,1721,20.9,5014,60.8,63,0.8,613,7.4,830,10.1,"Female"
"1209","Merrimac",2010,2590,556,21.5,1344,51.9,80,3.1,257,9.9,353,13.6,"Female"
"1210","Methuen",2010,19673,5615,28.5,9364,47.6,310,1.6,2253,11.5,2131,10.8,"Female"
"1211","Middleton",2010,3010,575,19.1,1788,59.4,41,1.4,340,11.3,266,8.8,"Female"
"1212","Nahant",2010,1539,471,30.6,703,45.7,10,0.6,194,12.6,161,10.5,"Female"
"1213","Newbury",2010,2684,496,18.5,1675,62.4,14,0.5,165,6.1,334,12.4,"Female"
"1214","Newburyport",2010,7721,1888,24.5,3928,50.9,66,0.9,743,9.6,1096,14.2,"Female"
"1215","North Andover",2010,11516,3227,28,6148,53.4,50,0.4,969,8.4,1122,9.7,"Female"
"1216","Peabody",2010,22938,5679,24.8,10871,47.4,566,2.5,3232,14.1,2590,11.3,"Female"
"1217","Rockport",2010,3254,489,15,1817,55.8,45,1.4,329,10.1,574,17.6,"Female"
"1218","Rowley",2010,2369,487,20.6,1403,59.2,65,2.7,165,7,249,10.5,"Female"
"1219","Salem",2010,18423,7005,38,6278,34.1,507,2.8,1886,10.2,2747,14.9,"Female"
"1220","Salisbury",2010,3756,1094,29.1,1546,41.2,97,2.6,419,11.2,600,16,"Female"
"1221","Saugus",2010,11666,2865,24.6,5677,48.7,232,2,1449,12.4,1443,12.4,"Female"
"1222","Swampscott",2010,6631,1592,24,3262,49.2,96,1.4,899,13.6,782,11.8,"Female"
"1223","Topsfield",2010,2465,452,18.3,1599,64.9,15,0.6,298,12.1,101,4.1,"Female"
"1224","Wenham",2010,2179,954,43.8,908,41.7,21,1,133,6.1,163,7.5,"Female"
"1225","West Newbury",2010,1633,344,21.1,1069,65.5,15,0.9,102,6.2,103,6.3,"Female"
"1226","Ashfield",2010,795,197,24.8,395,49.7,18,2.3,65,8.2,120,15.1,"Female"
"1227","Bernardston",2010,887,193,21.8,462,52.1,7,0.8,111,12.5,114,12.9,"Female"
"1228","Buckland",2010,855,167,19.5,512,59.9,0,0,79,9.2,97,11.3,"Female"
"1229","Charlemont",2010,548,95,17.3,300,54.7,27,4.9,62,11.3,64,11.7,"Female"
"1230","Colrain",2010,681,182,26.7,387,56.8,12,1.8,51,7.5,49,7.2,"Female"
"1231","Conway",2010,799,188,23.5,467,58.4,18,2.3,37,4.6,89,11.1,"Female"
"1232","Deerfield",2010,2203,522,23.7,1155,52.4,36,1.6,262,11.9,228,10.3,"Female"
"1233","Erving",2010,738,194,26.3,355,48.1,10,1.4,67,9.1,112,15.2,"Female"
"1234","Gill",2010,581,98,16.9,349,60.1,6,1,62,10.7,66,11.4,"Female"
"1235","Greenfield",2010,7677,2327,30.3,2983,38.9,323,4.2,759,9.9,1285,16.7,"Female"
"1236","Hawley",2010,160,40,25,91,56.9,5,3.1,11,6.9,13,8.1,"Female"
"1237","Heath",2010,208,38,18.3,133,63.9,3,1.4,21,10.1,13,6.3,"Female"
"1238","Leverett",2010,808,224,27.7,389,48.1,17,2.1,85,10.5,93,11.5,"Female"
"1239","Leyden",2010,293,64,21.8,169,57.7,0,0,12,4.1,48,16.4,"Female"
"1240","Monroe",2010,54,16,29.6,12,22.2,0,0,23,42.6,3,5.6,"Female"
"1241","Montague",2010,3711,1126,30.3,1524,41.1,122,3.3,345,9.3,594,16,"Female"
"1242","New Salem",2010,405,85,21,205,50.6,10,2.5,51,12.6,54,13.3,"Female"
"1243","Northfield",2010,1261,243,19.3,779,61.8,9,0.7,163,12.9,67,5.3,"Female"
"1244","Orange",2010,3415,827,24.2,1597,46.8,72,2.1,322,9.4,597,17.5,"Female"
"1245","Rowe",2010,177,32,18.1,99,55.9,0,0,21,11.9,25,14.1,"Female"
"1246","Shelburne",2010,972,202,20.8,516,53.1,6,0.6,96,9.9,152,15.6,"Female"
"1247","Shutesbury",2010,810,208,25.7,388,47.9,20,2.5,38,4.7,156,19.3,"Female"
"1248","Sunderland",2010,1625,735,45.2,578,35.6,13,0.8,141,8.7,158,9.7,"Female"
"1249","Warwick",2010,257,53,20.6,153,59.5,3,1.2,11,4.3,37,14.4,"Female"
"1250","Wendell",2010,430,151,35.1,210,48.8,0,0,4,0.9,65,15.1,"Female"
"1251","Whately",2010,624,124,19.9,366,58.7,3,0.5,61,9.8,70,11.2,"Female"
"1252","Agawam",2010,12401,2912,23.5,6054,48.8,270,2.2,1571,12.7,1594,12.9,"Female"
"1253","Blandford",2010,484,109,22.5,280,57.9,16,3.3,16,3.3,63,13,"Female"
"1254","Brimfield",2010,1473,267,18.1,843,57.2,38,2.6,124,8.4,201,13.6,"Female"
"1255","Chester",2010,580,114,19.7,307,52.9,6,1,82,14.1,71,12.2,"Female"
"1256","Chicopee",2010,24189,7682,31.8,9836,40.7,440,1.8,2987,12.3,3244,13.4,"Female"
"1257","East Longmeadow",2010,6604,1179,17.9,3849,58.3,131,2,902,13.7,543,8.2,"Female"
"1258","Granville",2010,658,114,17.3,382,58.1,0,0,69,10.5,93,14.1,"Female"
"1259","Hampden",2010,2137,319,14.9,1280,59.9,31,1.5,254,11.9,253,11.8,"Female"
"1260","Holland",2010,1000,163,16.3,615,61.5,32,3.2,51,5.1,139,13.9,"Female"
"1261","Holyoke",2010,16863,6897,40.9,5288,31.4,760,4.5,1911,11.3,2007,11.9,"Female"
"1262","Longmeadow",2010,6765,1634,24.2,3756,55.5,64,0.9,638,9.4,673,9.9,"Female"
"1263","Ludlow",2010,8894,2143,24.1,4438,49.9,179,2,1019,11.5,1115,12.5,"Female"
"1264","Monson",2010,3493,936,26.8,1815,52,63,1.8,187,5.4,492,14.1,"Female"
"1265","Montgomery",2010,278,30,10.8,220,79.1,0,0,8,2.9,20,7.2,"Female"
"1266","Palmer",2010,5218,1212,23.2,2678,51.3,167,3.2,706,13.5,455,8.7,"Female"
"1267","Russell",2010,696,158,22.7,399,57.3,7,1,51,7.3,81,11.6,"Female"
"1268","Southwick",2010,3833,747,19.5,2291,59.8,108,2.8,446,11.6,241,6.3,"Female"
"1269","Springfield",2010,63840,27073,42.4,19689,30.8,3303,5.2,5719,9,8056,12.6,"Female"
"1270","Tolland",2010,185,18,9.7,125,67.6,0,0,12,6.5,30,16.2,"Female"
"1271","Wales",2010,744,127,17.1,443,59.5,3,0.4,53,7.1,118,15.9,"Female"
"1272","Westfield",2010,17593,5651,32.1,7860,44.7,548,3.1,1827,10.4,1707,9.7,"Female"
"1273","West Springfield",2010,12123,3533,29.1,5426,44.8,315,2.6,1302,10.7,1547,12.8,"Female"
"1274","Wilbraham",2010,6142,1175,19.1,3640,59.3,46,0.7,658,10.7,623,10.1,"Female"
"1275","Amherst",2010,17204,11912,69.2,3572,20.8,120,0.7,510,3,1090,6.3,"Female"
"1276","Belchertown",2010,5935,1398,23.6,3456,58.2,14,0.2,487,8.2,580,9.8,"Female"
"1277","Chesterfield",2010,429,71,16.6,272,63.4,14,3.3,15,3.5,57,13.3,"Female"
"1278","Cummington",2010,460,149,32.4,203,44.1,3,0.7,30,6.5,75,16.3,"Female"
"1279","Easthampton",2010,7022,1898,27,3129,44.6,116,1.7,898,12.8,981,14,"Female"
"1280","Goshen",2010,474,95,20,249,52.5,2,0.4,32,6.8,96,20.3,"Female"
"1281","Granby",2010,2824,585,20.7,1483,52.5,31,1.1,376,13.3,349,12.4,"Female"
"1282","Hadley",2010,2316,497,21.5,1113,48.1,15,0.6,461,19.9,230,9.9,"Female"
"1283","Hatfield",2010,1517,343,22.6,741,48.8,68,4.5,166,10.9,199,13.1,"Female"
"1284","Huntington",2010,919,229,24.9,485,52.8,6,0.7,72,7.8,127,13.8,"Female"
"1285","Middlefield",2010,178,30,16.9,120,67.4,0,0,16,9,12,6.7,"Female"
"1286","Northampton",2010,14695,7519,51.2,4294,29.2,278,1.9,953,6.5,1651,11.2,"Female"
"1287","Pelham",2010,579,121,20.9,314,54.2,14,2.4,47,8.1,83,14.3,"Female"
"1288","Plainfield",2010,268,46,17.2,160,59.7,0,0,42,15.7,20,7.5,"Female"
"1289","Southampton",2010,2343,371,15.8,1621,69.2,47,2,140,6,164,7,"Female"
"1290","South Hadley",2010,8947,3680,41.1,3383,37.8,133,1.5,871,9.7,880,9.8,"Female"
"1291","Ware",2010,4424,1006,22.7,2092,47.3,115,2.6,643,14.5,568,12.8,"Female"
"1292","Westhampton",2010,713,164,23,420,58.9,11,1.5,25,3.5,93,13,"Female"
"1293","Williamsburg",2010,1169,249,21.3,678,58,25,2.1,67,5.7,150,12.8,"Female"
"1294","Worthington",2010,514,73,14.2,325,63.2,16,3.1,29,5.6,71,13.8,"Female"
"1295","Acton",2010,8320,1795,21.6,5161,62,104,1.3,613,7.4,647,7.8,"Female"
"1296","Arlington",2010,18955,6275,33.1,8984,47.4,194,1,1666,8.8,1836,9.7,"Female"
"1297","Ashby",2010,1231,257,20.9,734,59.6,8,0.6,92,7.5,140,11.4,"Female"
"1298","Ashland",2010,6302,1158,18.4,3663,58.1,65,1,671,10.6,745,11.8,"Female"
"1299","Ayer",2010,2999,916,30.5,1248,41.6,146,4.9,368,12.3,321,10.7,"Female"
"1300","Bedford",2010,5494,927,16.9,3289,59.9,56,1,526,9.6,696,12.7,"Female"
"1301","Belmont",2010,10753,2708,25.2,5966,55.5,105,1,1079,10,895,8.3,"Female"
"1302","Billerica",2010,16203,4053,25,9316,57.5,199,1.2,954,5.9,1681,10.4,"Female"
"1303","Boxborough",2010,1991,481,24.2,1208,60.7,20,1,109,5.5,173,8.7,"Female"
"1304","Burlington",2010,10098,2137,21.2,5852,58,207,2,1171,11.6,731,7.2,"Female"
"1305","Cambridge",2010,47283,22767,48.2,15784,33.4,1035,2.2,3036,6.4,4661,9.9,"Female"
"1306","Carlisle",2010,1747,245,14,1340,76.7,32,1.8,54,3.1,76,4.4,"Female"
"1307","Chelmsford",2010,14009,2872,20.5,8084,57.7,296,2.1,1516,10.8,1241,8.9,"Female"
"1308","Concord",2010,6656,1351,20.3,3867,58.1,40,0.6,767,11.5,631,9.5,"Female"
"1309","Dracut",2010,12231,2916,23.8,6769,55.3,118,1,1220,10,1208,9.9,"Female"
"1310","Dunstable",2010,1223,205,16.8,814,66.6,34,2.8,62,5.1,108,8.8,"Female"
"1311","Everett",2010,17010,5344,31.4,7217,42.4,605,3.6,1779,10.5,2065,12.1,"Female"
"1312","Framingham",2010,29220,9098,31.1,13768,47.1,792,2.7,2572,8.8,2990,10.2,"Female"
"1313","Groton",2010,3973,841,21.2,2474,62.3,97,2.4,251,6.3,310,7.8,"Female"
"1314","Holliston",2010,5226,868,16.6,3484,66.7,53,1,365,7,456,8.7,"Female"
"1315","Hopkinton",2010,5397,1022,18.9,3604,66.8,75,1.4,204,3.8,492,9.1,"Female"
"1316","Hudson",2010,7595,1944,25.6,4252,56,57,0.8,492,6.5,850,11.2,"Female"
"1317","Lexington",2010,13194,2626,19.9,8023,60.8,177,1.3,1203,9.1,1165,8.8,"Female"
"1318","Lincoln",2010,2516,449,17.8,1741,69.2,0,0,182,7.2,144,5.7,"Female"
"1319","Littleton",2010,3528,619,17.5,2170,61.5,29,0.8,431,12.2,279,7.9,"Female"
"1320","Lowell",2010,43668,16477,37.7,16138,37,1830,4.2,4237,9.7,4986,11.4,"Female"
"1321","Malden",2010,24834,8796,35.4,11065,44.6,658,2.6,2051,8.3,2264,9.1,"Female"
"1322","Marlborough",2010,15848,4330,27.3,8152,51.4,237,1.5,1436,9.1,1693,10.7,"Female"
"1323","Maynard",2010,4234,1224,28.9,2250,53.1,26,0.6,254,6,480,11.3,"Female"
"1324","Medford",2010,25949,9565,36.9,10927,42.1,552,2.1,2699,10.4,2206,8.5,"Female"
"1325","Melrose",2010,11328,2674,23.6,6167,54.4,204,1.8,1374,12.1,909,8,"Female"
"1326","Natick",2010,13322,2868,21.5,7749,58.2,173,1.3,1122,8.4,1410,10.6,"Female"
"1327","Newton",2010,37432,13473,36,17570,46.9,524,1.4,3034,8.1,2831,7.6,"Female"
"1328","North Reading",2010,5739,1216,21.2,3758,65.5,9,0.2,415,7.2,341,5.9,"Female"
"1329","Pepperell",2010,4619,1171,25.4,2642,57.2,17,0.4,242,5.2,547,11.8,"Female"
"1330","Reading",2010,9888,1931,19.5,5959,60.3,102,1,1083,11,813,8.2,"Female"
"1331","Sherborn",2010,1652,206,12.5,1123,68,12,0.7,126,7.6,185,11.2,"Female"
"1332","Shirley",2010,2501,432,17.3,1506,60.2,7,0.3,167,6.7,389,15.6,"Female"
"1333","Somerville",2010,35588,19090,53.6,10942,30.7,763,2.1,2242,6.3,2551,7.2,"Female"
"1334","Stoneham",2010,9384,2377,25.3,4639,49.4,144,1.5,1270,13.5,954,10.2,"Female"
"1335","Stow",2010,2455,431,17.6,1598,65.1,14,0.6,94,3.8,318,13,"Female"
"1336","Sudbury",2010,6608,1285,19.4,4402,66.6,33,0.5,466,7.1,422,6.4,"Female"
"1337","Tewksbury",2010,12543,2978,23.7,6869,54.8,161,1.3,1598,12.7,937,7.5,"Female"
"1338","Townsend",2010,3339,642,19.2,2113,63.3,21,0.6,225,6.7,338,10.1,"Female"
"1339","Tyngsborough",2010,4477,961,21.5,2565,57.3,98,2.2,418,9.3,435,9.7,"Female"
"1340","Wakefield",2010,10376,2501,24.1,5533,53.3,178,1.7,1182,11.4,982,9.5,"Female"
"1341","Waltham",2010,25822,10633,41.2,10522,40.7,528,2,1979,7.7,2160,8.4,"Female"
"1342","Watertown",2010,14846,5369,36.2,6560,44.2,146,1,1219,8.2,1552,10.5,"Female"
"1343","Wayland",2010,5194,907,17.5,3506,67.5,83,1.6,363,7,335,6.4,"Female"
"1344","Westford",2010,8222,1267,15.4,5709,69.4,43,0.5,583,7.1,620,7.5,"Female"
"1345","Weston",2010,4618,1286,27.8,2670,57.8,31,0.7,396,8.6,235,5.1,"Female"
"1346","Wilmington",2010,8973,2069,23.1,5553,61.9,52,0.6,672,7.5,627,7,"Female"
"1347","Winchester",2010,8720,1784,20.5,5108,58.6,82,0.9,1084,12.4,662,7.6,"Female"
"1348","Woburn",2010,16405,4569,27.9,8000,48.8,211,1.3,2140,13,1485,9.1,"Female"
"1349","Nantucket",2010,3957,1159,29.3,1954,49.4,35,0.9,446,11.3,363,9.2,"Female"
"1350","Avon",2010,1940,396,20.4,949,48.9,13,0.7,271,14,311,16,"Female"
"1351","Bellingham",2010,6599,1542,23.4,3565,54,50,0.8,465,7,977,14.8,"Female"
"1352","Braintree",2010,15720,4543,28.9,7570,48.2,273,1.7,1800,11.5,1534,9.8,"Female"
"1353","Brookline",2010,26882,11956,44.5,10987,40.9,308,1.1,1688,6.3,1943,7.2,"Female"
"1354","Canton",2010,9280,1893,20.4,5081,54.8,98,1.1,1436,15.5,772,8.3,"Female"
"1355","Cohasset",2010,2766,463,16.7,1900,68.7,0,0,264,9.5,139,5,"Female"
"1356","Dedham",2010,10392,2697,26,5541,53.3,143,1.4,1195,11.5,816,7.9,"Female"
"1357","Dover",2010,2123,414,19.5,1485,69.9,4,0.2,126,5.9,94,4.4,"Female"
"1358","Foxborough",2010,6942,1565,22.5,3958,57,59,0.8,564,8.1,796,11.5,"Female"
"1359","Franklin",2010,11816,2765,23.4,6890,58.3,192,1.6,742,6.3,1227,10.4,"Female"
"1360","Holbrook",2010,4353,1122,25.8,2346,53.9,124,2.8,455,10.5,306,7,"Female"
"1361","Medfield",2010,4737,1139,24,2974,62.8,15,0.3,363,7.7,246,5.2,"Female"
"1362","Medway",2010,5052,1166,23.1,3229,63.9,54,1.1,344,6.8,259,5.1,"Female"
"1363","Millis",2010,3274,893,27.3,1736,53,14,0.4,213,6.5,418,12.8,"Female"
"1364","Milton",2010,11342,3338,29.4,5879,51.8,208,1.8,1066,9.4,851,7.5,"Female"
"1365","Needham",2010,11724,2292,19.5,7103,60.6,82,0.7,1213,10.3,1034,8.8,"Female"
"1366","Norfolk",2010,3224,636,19.7,2171,67.3,14,0.4,220,6.8,183,5.7,"Female"
"1367","Norwood",2010,12116,3416,28.2,5780,47.7,299,2.5,1500,12.4,1121,9.3,"Female"
"1368","Plainville",2010,3800,1182,31.1,1707,44.9,0,0,482,12.7,429,11.3,"Female"
"1369","Quincy",2010,41224,15023,36.4,17311,42,728,1.8,4268,10.4,3894,9.4,"Female"
"1370","Randolph",2010,13932,4380,31.4,6581,47.2,485,3.5,1244,8.9,1242,8.9,"Female"
"1371","Sharon",2010,6997,1299,18.6,4623,66.1,46,0.7,494,7.1,535,7.6,"Female"
"1372","Stoughton",2010,11740,3190,27.2,5628,47.9,181,1.5,1456,12.4,1285,10.9,"Female"
"1373","Walpole",2010,9730,2261,23.2,5473,56.2,215,2.2,1009,10.4,772,7.9,"Female"
"1374","Wellesley",2010,12904,5392,41.8,5698,44.2,169,1.3,781,6.1,864,6.7,"Female"
"1375","Westwood",2010,5870,1119,19.1,3585,61.1,84,1.4,798,13.6,284,4.8,"Female"
"1376","Weymouth",2010,23386,6822,29.2,11211,47.9,371,1.6,2345,10,2637,11.3,"Female"
"1377","Wrentham",2010,4237,663,15.6,2676,63.2,67,1.6,323,7.6,508,12,"Female"
"1378","Abington",2010,6632,1734,26.1,3546,53.5,130,2,585,8.8,637,9.6,"Female"
"1379","Bridgewater",2010,9753,3652,37.4,4652,47.7,91,0.9,447,4.6,911,9.3,"Female"
"1380","Brockton",2010,39035,14301,36.6,14356,36.8,1849,4.7,3570,9.1,4959,12.7,"Female"
"1381","Carver",2010,4992,1039,20.8,2722,54.5,105,2.1,592,11.9,534,10.7,"Female"
"1382","Duxbury",2010,6077,1191,19.6,3704,61,160,2.6,535,8.8,487,8,"Female"
"1383","East Bridgewater",2010,6002,1862,31,2910,48.5,51,0.8,565,9.4,614,10.2,"Female"
"1384","Halifax",2010,3217,771,24,1625,50.5,15,0.5,385,12,421,13.1,"Female"
"1385","Hanover",2010,5336,1068,20,3297,61.8,99,1.9,366,6.9,506,9.5,"Female"
"1386","Hanson",2010,4091,1014,24.8,2362,57.7,42,1,217,5.3,456,11.1,"Female"
"1387","Hingham",2010,9175,1964,21.4,4941,53.9,53,0.6,1302,14.2,915,10,"Female"
"1388","Hull",2010,5028,1421,28.3,2108,41.9,140,2.8,519,10.3,840,16.7,"Female"
"1389","Kingston",2010,5055,1266,25,2668,52.8,12,0.2,752,14.9,357,7.1,"Female"
"1390","Lakeville",2010,4266,948,22.2,2657,62.3,0,0,336,7.9,325,7.6,"Female"
"1391","Marion",2010,2239,527,23.5,1150,51.4,25,1.1,341,15.2,196,8.8,"Female"
"1392","Marshfield",2010,9982,2095,21,5865,58.8,159,1.6,874,8.8,989,9.9,"Female"
"1393","Mattapoisett",2010,2649,536,20.2,1568,59.2,0,0,193,7.3,352,13.3,"Female"
"1394","Middleborough",2010,9146,2439,26.7,4436,48.5,109,1.2,1008,11,1154,12.6,"Female"
"1395","Norwell",2010,3996,652,16.3,2438,61,47,1.2,453,11.3,406,10.2,"Female"
"1396","Pembroke",2010,7169,1771,24.7,4177,58.3,36,0.5,443,6.2,742,10.4,"Female"
"1397","Plymouth",2010,23023,5050,21.9,12458,54.1,348,1.5,2249,9.8,2918,12.7,"Female"
"1398","Plympton",2010,1170,288,24.6,712,60.9,12,1,86,7.4,72,6.2,"Female"
"1399","Rochester",2010,2115,489,23.1,1265,59.8,55,2.6,175,8.3,131,6.2,"Female"
"1400","Rockland",2010,7706,2191,28.4,3749,48.7,99,1.3,705,9.1,962,12.5,"Female"
