"","Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct","Employment_difference","Establishment_difference","Average_Weekly_Wage_difference"
"1903","Monson","MA",2012,1328,750,190,51817934,784.015479498593,1.0286599535244,102.86599535244,1.03260869565217,103.260869565217,1.01188721100391,101.188721100391,2.86599535243997,3.26086956521738,1.18872110039125
"3676","Monson","MA",2013,1276,754,182,50054137,776.818374206399,0.988381099922541,98.8381099922541,0.989130434782609,98.9130434782609,1.00259828879274,100.259828879274,-1.16189000774594,-1.08695652173914,0.25982887927367
"4024","Monson","MA",2014,1292,767,185,51502624,777.597699547175,1.0007745933385,100.07745933385,1.0054347826087,100.54347826087,1.00360412269036,100.360412269036,0.0774593338497311,0.543478260869563,0.360412269036203
"4372","Monson","MA",2015,1313,795,190,54257219,805.029027453727,1.01704105344694,101.704105344694,1.03260869565217,103.260869565217,1.03900828321439,103.900828321439,1.70410534469403,3.26086956521738,3.90082832143949
"4722","Monson","MA",2016,1383,806,195,57951240,806,1.07126258714175,107.126258714175,1.05978260869565,105.978260869565,1.04026146599905,104.026146599905,7.12625871417505,5.9782608695652,4.02614659990486
"1904","Montague","MA",2003,2903,584,210,88091165,761.761347826087,1,100,1,100,1,100,0,0,0
"1905","Montague","MA",2004,2784,632,217,91544390,802.987951296983,0.959007922838443,95.9007922838443,1.03333333333333,103.333333333333,1.0541201041357,105.41201041357,-4.0992077161557,3.33333333333334,5.41201041356956
"1906","Montague","MA",2005,2821,650,217,95279300,798.794418842806,0.971753358594557,97.1753358594557,1.03333333333333,103.333333333333,1.0486150565691,104.86150565691,-2.82466414054426,3.33333333333334,4.86150565690997
"1907","Montague","MA",2006,2999,659,227,102797731,784.546691468254,1.03306923871857,103.306923871857,1.08095238095238,108.095238095238,1.02991139378126,102.991139378126,3.3069238718567,8.09523809523809,2.99113937812567
"1908","Montague","MA",2007,2855,685,223,101714291,792.916027625855,0.983465380640717,98.3465380640717,1.06190476190476,106.190476190476,1.04089821554832,104.089821554832,-1.65346193592835,6.19047619047619,4.0898215548317
"1909","Montague","MA",2008,2898,695,213,104766216,774.744731843031,0.998277643816741,99.8277643816741,1.01428571428571,101.428571428571,1.01704389971215,101.704389971215,-0.172235618325871,1.42857142857142,1.70438997121548
"1910","Montague","MA",2009,2816,702,231,102732227,785.341987629173,0.970031002411299,97.0031002411299,1.1,110,1.03095541650988,103.095541650988,-2.99689975887013,10,3.09554165098831
"1911","Montague","MA",2010,2690,729,246,101949167,802.386098066552,0.926627626593179,92.6627626593179,1.17142857142857,117.142857142857,1.05333002305302,105.333002305302,-7.33723734068205,17.1428571428572,5.333002305302
"1912","Montague","MA",2011,2728,735,243,104241966,784.235481619461,0.939717533585946,93.9717533585946,1.15714285714286,115.714285714286,1.02950285395487,102.950285395487,-6.02824664140545,15.7142857142857,2.95028539548652
"1913","Montague","MA",2012,2819,739,236,108261916,772.516585799281,0.971064416121254,97.1064416121254,1.12380952380952,112.380952380952,1.01411890745558,101.411890745558,-2.89355838787462,12.3809523809524,1.41189074555787
"3677","Montague","MA",2013,2762,744,235,106824041,766.515743248754,0.951429555632105,95.1429555632105,1.11904761904762,111.904761904762,1.00624131880179,100.624131880179,-4.85704443678952,11.9047619047619,0.624131880179419
"4025","Montague","MA",2014,2735,780,237,110926188,790.777321573398,0.942128832242508,94.2128832242508,1.12857142857143,112.857142857143,1.03809063538091,103.809063538091,-5.78711677574923,12.8571428571429,3.80906353809063
"4373","Montague","MA",2015,2864,805,237,119914636,815.155178742453,0.986565621770582,98.6565621770582,1.12857142857143,112.857142857143,1.07009259667577,107.009259667577,-1.34343782294178,12.8571428571429,7.00925966757717
"4723","Montague","MA",2016,2844,808,260,119478718,808,0.979676197037547,97.9676197037547,1.23809523809524,123.809523809524,1.06069965653399,106.069965653399,-2.03238029624526,23.8095238095238,6.06996565339904
"1914","Monterey","MA",2003,119,478,26,2948013,623.496445652174,1,100,1,100,1,100,0,0,0
"1915","Monterey","MA",2004,120,504,30,3154271,640.357480148227,1.00840336134454,100.840336134454,1.15384615384615,115.384615384615,1.02704271149199,102.704271149199,0.840336134453779,15.3846153846154,2.70427114919896
"1916","Monterey","MA",2005,134,525,31,3660934,645.180107526882,1.12605042016807,112.605042016807,1.19230769230769,119.230769230769,1.03477752283259,103.477752283259,12.6050420168067,19.2307692307692,3.47775228325908
"1917","Monterey","MA",2006,135,603,31,4230890,717.878080357143,1.13445378151261,113.44537815126,1.19230769230769,119.230769230769,1.15137477585176,115.137477585176,13.4453781512605,19.2307692307692,15.1374775851763
"1918","Monterey","MA",2007,132,614,34,4217636,710.730570747847,1.10924369747899,110.924369747899,1.30769230769231,130.769230769231,1.13991118266027,113.991118266027,10.9243697478992,30.7692307692308,13.9911182660274
"1919","Monterey","MA",2008,142,639,35,4716719,712.319257047045,1.19327731092437,119.327731092437,1.34615384615385,134.615384615385,1.14245921049632,114.245921049632,19.327731092437,34.6153846153846,14.2459210496322
"1920","Monterey","MA",2009,141,636,37,4660307,711.50641614267,1.18487394957983,118.487394957983,1.42307692307692,142.307692307692,1.14115552879927,114.115552879927,18.4873949579832,42.3076923076923,14.1155528799267
"1921","Monterey","MA",2010,143,587,33,4362024,646.091412297758,1.20168067226891,120.168067226891,1.26923076923077,126.923076923077,1.03623912662718,103.623912662718,20.1680672268908,26.9230769230769,3.6239126627178
"1922","Monterey","MA",2011,161,506,31,4233419,539.895447210133,1.35294117647059,135.294117647059,1.19230769230769,119.230769230769,0.865915837973069,86.591583797307,35.2941176470588,19.2307692307692,-13.408416202693
"1923","Monterey","MA",2012,159,485,30,4008352,506.996676742424,1.33613445378151,133.613445378151,1.15384615384615,115.384615384615,0.813150869227663,81.3150869227663,33.6134453781513,15.3846153846154,-18.6849130772337
"3678","Monterey","MA",2013,166,521,30,4499625,536.767072893281,1.39495798319328,139.495798319328,1.15384615384615,115.384615384615,0.860898368605494,86.0898368605494,39.4957983193277,15.3846153846154,-13.9101631394506
"4026","Monterey","MA",2014,159,533,28,4403271,540.364503075155,1.33613445378151,133.613445378151,1.07692307692308,107.692307692308,0.866668137153432,86.6668137153432,33.6134453781513,7.69230769230769,-13.3331862846568
"4374","Monterey","MA",2015,197,609,31,6239331,616.682613483421,1.65546218487395,165.546218487395,1.19230769230769,119.230769230769,0.989071578168139,98.9071578168139,65.546218487395,19.2307692307692,-1.09284218318609
"4724","Monterey","MA",2016,185,690,28,6636584,690,1.5546218487395,155.46218487395,1.07692307692308,107.692307692308,1.10666228301953,110.666228301953,55.4621848739496,7.69230769230769,10.6662283019535
"1924","Montgomery","MA",2003,68,397,11,1400303,517.841190217391,1,100,1,100,1,100,0,0,0
"1925","Montgomery","MA",2004,68,328,11,1149575,416.740582318687,1,100,1,100,0.804765225693495,80.4765225693495,0,0,-19.5234774306505
"1926","Montgomery","MA",2005,68,385,12,1360265,473.132078853047,1,100,1.09090909090909,109.090909090909,0.913662504626996,91.3662504626996,0,9.09090909090908,-8.63374953730039
"1927","Montgomery","MA",2006,53,471,11,1298933,560.730639880952,0.779411764705882,77.9411764705882,1,100,1.08282355763464,108.282355763464,-22.0588235294118,0,8.28235576346408
"1928","Montgomery","MA",2007,29,522,13,787628,604.236739300287,0.426470588235294,42.6470588235294,1.18181818181818,118.181818181818,1.16683792389444,116.683792389444,-57.3529411764706,18.1818181818182,16.683792389444
"1929","Montgomery","MA",2008,28,518,11,753972,577.435641862863,0.411764705882353,41.1764705882353,1,100,1.1150824862357,111.50824862357,-58.8235294117647,0,11.50824862357
"1930","Montgomery","MA",2009,26,377,10,509899,421.757734097149,0.382352941176471,38.2352941176471,0.909090909090909,90.9090909090909,0.814453817240945,81.4453817240945,-61.7647058823529,-9.09090909090909,-18.5546182759055
"1931","Montgomery","MA",2010,34,366,11,647268,402.844049235059,0.5,50,1,100,0.777929714447674,77.7929714447674,-50,0,-22.2070285552326
"1932","Montgomery","MA",2011,35,293,11,533220,312.627205597962,0.514705882352941,51.4705882352941,1,100,0.603712511680889,60.3712511680889,-48.5294117647059,0,-39.6287488319111
"1933","Montgomery","MA",2012,38,391,12,773346,408.733403311933,0.558823529411765,55.8823529411765,1.09090909090909,109.090909090909,0.789302610594468,78.9302610594468,-44.1176470588235,9.09090909090908,-21.0697389405532
"3679","Montgomery","MA",2013,41,524,12,1117933,539.857862180574,0.602941176470588,60.2941176470588,1.09090909090909,109.090909090909,1.0425162624741,104.25162624741,-39.7058823529412,9.09090909090908,4.25162624740997
"4027","Montgomery","MA",2014,36,481,11,899792,487.646014970262,0.529411764705882,52.9411764705882,1,100,0.941690279148221,94.1690279148221,-47.0588235294118,0,-5.8309720851779
"4375","Montgomery","MA",2015,39,503,13,1020720,509.345409822924,0.573529411764706,57.3529411764706,1.18181818181818,118.181818181818,0.98359384970728,98.359384970728,-42.6470588235294,18.1818181818182,-1.64061502927196
"4725","Montgomery","MA",2016,37,484,12,930428,484,0.544117647058823,54.4117647058823,1.09090909090909,109.090909090909,0.934649481623536,93.4649481623537,-45.5882352941177,9.09090909090908,-6.53505183764635
"1934","Mount Washington","MA",2003,11,518,6,307734,675.671880434783,1,100,1,100,1,100,0,0,0
"1935","Mount Washington","MA",2004,12,449,6,282332,570.477199576496,1.09090909090909,109.090909090909,1,100,0.844310997831379,84.4310997831379,9.09090909090908,0,-15.5689002168621
"1936","Mount Washington","MA",2005,15,487,6,380211,598.481356886841,1.36363636363636,136.363636363636,1,100,0.885757383453236,88.5757383453236,36.3636363636363,0,-11.4242616546764
"1937","Mount Washington","MA",2006,13,502,6,339353,597.636478174603,1.18181818181818,118.181818181818,1,100,0.884506955935527,88.4506955935527,18.1818181818182,0,-11.5493044064473
"1938","Mount Washington","MA",2007,12,505,6,315177,584.558531315411,1.09090909090909,109.090909090909,1,100,0.865151485865089,86.515148586509,9.09090909090908,0,-13.484851413491
"1939","Mount Washington","MA",2008,12,522,5,325830,581.89460434829,1.09090909090909,109.090909090909,0.833333333333333,83.3333333333333,0.861208851808147,86.1208851808147,9.09090909090908,-16.6666666666667,-13.8791148191853
"1940","Mount Washington","MA",2009,13,544,5,367944,608.584104373605,1.18181818181818,118.181818181818,0.833333333333333,83.3333333333333,0.900709533719224,90.0709533719224,18.1818181818182,-16.6666666666667,-9.92904662807757
"1941","Mount Washington","MA",2011,13,333,5,225094,355.306687590858,1.18181818181818,118.181818181818,0.833333333333333,83.3333333333333,0.52585685134954,52.585685134954,18.1818181818182,-16.6666666666667,-47.414314865046
"1942","Mount Washington","MA",2012,12,301,5,187944,314.651545772102,1.09090909090909,109.090909090909,0.833333333333333,83.3333333333333,0.465686903485801,46.5686903485801,9.09090909090908,-16.6666666666667,-53.4313096514199
"4376","Mount Washington","MA",2015,26,457,4,618039,462.765113894784,2.36363636363636,236.363636363636,0.666666666666667,66.6666666666667,0.684896215596545,68.4896215596545,136.363636363636,-33.3333333333333,-31.5103784403455
"4726","Mount Washington","MA",2016,24,433,4,540719,433,2.18181818181818,218.181818181818,0.666666666666667,66.6666666666667,0.640843599590636,64.0843599590636,118.181818181818,-33.3333333333333,-35.9156400409364
"1943","Nahant","MA",2003,418,531,70,11528614,692.62889673913,1,100,1,100,1,100,0,0,0
"1944","Nahant","MA",2004,420,549,73,11986886,697.532255161461,1.00478468899522,100.478468899522,1.04285714285714,104.285714285714,1.00707934428583,100.707934428583,0.478468899521516,4.28571428571429,0.707934428582945
"1945","Nahant","MA",2005,447,558,72,12980337,685.734285714286,1.06937799043062,106.937799043062,1.02857142857143,102.857142857143,0.990045735808447,99.0045735808447,6.9377990430622,2.85714285714285,-0.995426419155251
"1946","Nahant","MA",2006,430,615,69,13760915,732.164211309524,1.02870813397129,102.870813397129,0.985714285714286,98.5714285714286,1.05708008250381,105.708008250381,2.87081339712918,-1.42857142857142,5.70800825038114
"1947","Nahant","MA",2007,508,594,72,15691976,687.579737824464,1.21531100478469,121.531100478469,1.02857142857143,102.857142857143,0.992710152668423,99.2710152668423,21.5311004784689,2.85714285714285,-0.72898473315766
"1948","Nahant","MA",2008,480,632,71,15777411,704.516072697547,1.14832535885167,114.832535885167,1.01428571428571,101.428571428571,1.01716240257139,101.716240257139,14.8325358851675,1.42857142857142,1.7162402571393
"1949","Nahant","MA",2009,433,634,68,14267664,709.268974582473,1.03588516746411,103.588516746411,0.971428571428571,97.1428571428571,1.02402452153192,102.402452153192,3.58851674641147,-2.85714285714286,2.40245215319246
"1950","Nahant","MA",2010,450,626,77,14640055,689.017417544117,1.07655502392344,107.655502392344,1.1,110,0.994785838113287,99.4785838113287,7.65550239234449,10,-0.52141618867131
