"Municipal","County","State","Region","Year","Unemployment Rate Avg","No Unemployed Avg","No Employed Avg","No Labor Avg"
NA,"NA County",NA,"United States",1997,4.4,4985,107697,112682
NA,"NA County",NA,"United States",1998,3.8,4417,111568,115985
NA,"NA County",NA,"United States",1999,3.5,4264,117063,121327
NA,"NA County",NA,"United States",2000,2.7,3288,117462,120750
NA,"NA County",NA,"United States",2001,3.9,4782,117411,122193
NA,"NA County",NA,"United States",2002,5.8,7067,114905,121972
NA,"NA County",NA,"United States",2003,5.9,7015,112648,119663
NA,"NA County",NA,"United States",2004,5.3,6256,112332,118588
NA,"NA County",NA,"United States",2005,4.7,5615,113604,119219
NA,"NA County",NA,"United States",2006,4.4,5360,115277,120637
NA,"NA County",NA,"United States",2007,4.3,5191,116075,121266
NA,"NA County",NA,"United States",2008,5.2,6334,115628,121962
NA,"NA County",NA,"United States",2009,7.9,9702,113225,122927
NA,"NA County",NA,"United States",2010,7.7,9559,114572,124131
NA,"NA County",NA,"United States",2011,6.8,8487,115962,124449
NA,"NA County",NA,"United States",2012,6.5,8232,117486,125718
NA,"NA County",NA,"United States",1990,6.5,3979,57550,61529
NA,"NA County",NA,"United States",1991,8.8,5501,56717,62218
NA,"NA County",NA,"United States",1992,8.5,5370,57536,62906
NA,"NA County",NA,"United States",1993,7.5,4779,59041,63820
NA,"NA County",NA,"United States",1994,6.4,4162,60762,64924
NA,"NA County",NA,"United States",1995,5.4,3492,60956,64448
NA,"NA County",NA,"United States",1996,4.4,2937,63185,66122
NA,"NA County",NA,"United States",1997,4.4,2980,64538,67518
NA,"NA County",NA,"United States",1998,3.6,2523,67213,69736
NA,"NA County",NA,"United States",1999,3.4,2438,68898,71336
NA,"NA County",NA,"United States",2000,2.5,1780,70309,72089
NA,"NA County",NA,"United States",2001,3.7,2720,69978,72698
NA,"NA County",NA,"United States",2002,5.7,4090,68087,72177
NA,"NA County",NA,"United States",2003,5.9,4186,66911,71097
NA,"NA County",NA,"United States",2004,5.2,3669,66452,70121
NA,"NA County",NA,"United States",2005,4.8,3369,66985,70354
NA,"NA County",NA,"United States",2006,4.6,3258,67737,70995
NA,"NA County",NA,"United States",2007,4.3,3079,68002,71081
NA,"NA County",NA,"United States",2008,5.3,3789,68052,71841
NA,"NA County",NA,"United States",2009,8.3,5984,66523,72507
NA,"NA County",NA,"United States",2010,8.3,6018,66749,72767
NA,"NA County",NA,"United States",2011,7.1,5188,67604,72792
NA,"NA County",NA,"United States",2012,6.4,4721,68492,73213
NA,"NA County",NA,"United States",1990,9.6,6139,57718,63857
NA,"NA County",NA,"United States",1991,12.2,7724,55604,63328
NA,"NA County",NA,"United States",1992,12.6,7969,55364,63333
NA,"NA County",NA,"United States",1993,12,7598,55614,63212
NA,"NA County",NA,"United States",1994,10.4,6495,56085,62580
NA,"NA County",NA,"United States",1995,8.5,5466,59073,64539
NA,"NA County",NA,"United States",1996,7.9,5184,60696,65880
NA,"NA County",NA,"United States",1997,7.1,4698,61507,66205
NA,"NA County",NA,"United States",1998,6.7,4473,62618,67091
NA,"NA County",NA,"United States",1999,6.1,4294,66051,70345
NA,"NA County",NA,"United States",2000,4.4,2988,64454,67442
NA,"NA County",NA,"United States",2001,6.5,4530,64649,69179
NA,"NA County",NA,"United States",2002,9.4,6639,63918,70557
NA,"NA County",NA,"United States",2003,9.5,6664,63674,70338
NA,"NA County",NA,"United States",2004,8.5,5943,63895,69838
NA,"NA County",NA,"United States",2005,7.6,5295,64245,69540
NA,"NA County",NA,"United States",2006,7.2,4996,64768,69764
NA,"NA County",NA,"United States",2007,6.8,4744,65285,70029
NA,"NA County",NA,"United States",2008,8,5652,64951,70603
NA,"NA County",NA,"United States",2009,12,8640,63132,71772
NA,"NA County",NA,"United States",2010,12.2,8905,64116,73021
NA,"NA County",NA,"United States",2011,11.5,8473,65353,73826
NA,"NA County",NA,"United States",2012,11,8160,66251,74411
NA,"NA County",NA,"United States",1990,10.1,4831,43173,48004
NA,"NA County",NA,"United States",1991,13.1,6305,41772,48077
NA,"NA County",NA,"United States",1992,13,6187,41354,47541
NA,"NA County",NA,"United States",1993,12.2,5773,41372,47145
NA,"NA County",NA,"United States",1994,11.1,5174,41433,46607
NA,"NA County",NA,"United States",1995,9,4380,44176,48556
NA,"NA County",NA,"United States",1996,8.4,4122,45222,49344
NA,"NA County",NA,"United States",1997,7.7,3788,45722,49510
NA,"NA County",NA,"United States",1998,7.1,3560,46502,50062
NA,"NA County",NA,"United States",1999,6.8,3479,47642,51121
NA,"NA County",NA,"United States",2000,4.6,2315,48532,50847
NA,"NA County",NA,"United States",2001,7,3629,48550,52179
NA,"NA County",NA,"United States",2002,10.1,5391,47851,53242
NA,"NA County",NA,"United States",2003,10.2,5442,47741,53183
NA,"NA County",NA,"United States",2004,9.2,4827,47714,52541
NA,"NA County",NA,"United States",2005,8.3,4323,47830,52153
NA,"NA County",NA,"United States",2006,7.9,4143,48046,52189
NA,"NA County",NA,"United States",2007,7.4,3864,48276,52140
NA,"NA County",NA,"United States",2008,8.9,4688,48069,52757
NA,"NA County",NA,"United States",2009,13.4,7219,46760,53979
NA,"NA County",NA,"United States",2010,13.4,7517,48568,56085
NA,"NA County",NA,"United States",2011,12.7,7198,49524,56722
NA,"NA County",NA,"United States",2012,11.8,6737,50204,56941
NA,"NA County",NA,"United States",1990,8.3,5923,65491,71414
NA,"NA County",NA,"United States",1991,10.8,7656,63184,70840
NA,"NA County",NA,"United States",1992,9.5,6729,63812,70541
NA,"NA County",NA,"United States",1993,7.5,5277,64688,69965
NA,"NA County",NA,"United States",1994,6.9,4838,64819,69657
NA,"NA County",NA,"United States",1995,6.4,4512,66003,70515
NA,"NA County",NA,"United States",1996,5.7,4010,65950,69960
NA,"NA County",NA,"United States",1997,5.1,3601,67580,71181
NA,"NA County",NA,"United States",1998,4.1,2889,67510,70399
NA,"NA County",NA,"United States",1999,4.2,2977,67559,70536
NA,"NA County",NA,"United States",2000,3.2,2313,70426,72739
NA,"NA County",NA,"United States",2001,4.4,3222,69703,72925
NA,"NA County",NA,"United States",2002,6.5,4789,69316,74105
NA,"NA County",NA,"United States",2003,7,5208,68871,74079
NA,"NA County",NA,"United States",2004,6.5,4791,68529,73320
NA,"NA County",NA,"United States",2005,6.4,4626,67974,72600
NA,"NA County",NA,"United States",2006,6.1,4425,68560,72985
NA,"NA County",NA,"United States",2007,5.7,4168,68441,72609
NA,"NA County",NA,"United States",2008,6.8,4949,67727,72676
NA,"NA County",NA,"United States",2009,10.4,7634,65728,73362
NA,"NA County",NA,"United States",2010,10.7,7823,65240,73063
NA,"NA County",NA,"United States",2011,9.8,7121,65212,72333
NA,"NA County",NA,"United States",2012,9.1,6495,65165,71660
NA,"NA County",NA,"United States",1990,7.1,10664,138800,149464
NA,"NA County",NA,"United States",1991,9.9,14583,133433,148016
NA,"NA County",NA,"United States",1992,10.6,15674,132468,148142
NA,"NA County",NA,"United States",1993,8.8,12810,132403,145213
NA,"NA County",NA,"United States",1994,7.1,10181,133382,143563
NA,"NA County",NA,"United States",1995,5.8,8346,135976,144322
NA,"NA County",NA,"United States",1996,4.4,6523,140914,147437
NA,"NA County",NA,"United States",1997,4,6167,146928,153095
NA,"NA County",NA,"United States",1998,3.5,5421,150855,156276
NA,"NA County",NA,"United States",1999,3.4,5553,155548,161101
NA,"NA County",NA,"United States",2000,2.7,4012,147079,151091
NA,"NA County",NA,"United States",2001,4.1,6323,147843,154166
NA,"NA County",NA,"United States",2002,6.4,9874,145211,155085
NA,"NA County",NA,"United States",2003,6.7,10300,143064,153364
NA,"NA County",NA,"United States",2004,5.7,8652,142438,151090
NA,"NA County",NA,"United States",2005,5.1,7765,143367,151132
NA,"NA County",NA,"United States",2006,4.8,7352,144703,152055
NA,"NA County",NA,"United States",2007,4.6,7049,145909,152958
NA,"NA County",NA,"United States",2008,5.5,8419,145866,154285
NA,"NA County",NA,"United States",2009,8.7,13542,141736,155278
NA,"NA County",NA,"United States",2010,8.6,13336,142187,155523
NA,"NA County",NA,"United States",2011,7.5,11672,143658,155330
NA,"NA County",NA,"United States",2012,7,10965,145242,156207
NA,"NA County",NA,"United States",1990,7,10062,133377,143439
NA,"NA County",NA,"United States",1991,9.8,13936,128318,142254
NA,"NA County",NA,"United States",1992,10.5,14907,127379,142286
NA,"NA County",NA,"United States",1993,8.7,12118,127268,139386
NA,"NA County",NA,"United States",1994,7,9715,128164,137879
NA,"NA County",NA,"United States",1995,5.7,7947,130464,138411
NA,"NA County",NA,"United States",1996,4.4,6191,135141,141332
NA,"NA County",NA,"United States",1997,4,5866,140815,146681
NA,"NA County",NA,"United States",1998,3.4,5114,144491,149605
NA,"NA County",NA,"United States",1999,3.4,5233,149044,154277
NA,"NA County",NA,"United States",2000,2.6,3780,140988,144768
NA,"NA County",NA,"United States",2001,4.1,6012,141534,147546
NA,"NA County",NA,"United States",2002,6.3,9369,138843,148212
NA,"NA County",NA,"United States",2003,6.7,9820,136686,146506
NA,"NA County",NA,"United States",2004,5.7,8250,135919,144169
NA,"NA County",NA,"United States",2005,5.1,7387,136708,144095
NA,"NA County",NA,"United States",2006,4.8,7008,137996,145004
NA,"NA County",NA,"United States",2007,4.6,6699,139157,145856
NA,"NA County",NA,"United States",2008,5.5,8044,139091,147135
NA,"NA County",NA,"United States",2009,8.7,12942,135039,147981
NA,"NA County",NA,"United States",2010,8.6,12760,135340,148100
NA,"NA County",NA,"United States",2011,7.5,11139,136771,147910
NA,"NA County",NA,"United States",2012,7,10420,138280,148700
NA,"NA County",NA,"United States",1990,5.8,600,9780,10380
NA,"NA County",NA,"United States",1991,8.1,832,9463,10295
NA,"NA County",NA,"United States",1992,7.6,787,9588,10375
NA,"NA County",NA,"United States",1993,6.6,685,9745,10430
NA,"NA County",NA,"United States",1994,5.4,578,10046,10624
NA,"NA County",NA,"United States",1995,5,515,9855,10370
NA,"NA County",NA,"United States",1996,4,426,10212,10638
NA,"NA County",NA,"United States",1997,3.4,370,10648,11018
NA,"NA County",NA,"United States",1998,2.9,329,10978,11307
NA,"NA County",NA,"United States",1999,3,350,11270,11620
NA,"NA County",NA,"United States",2000,2.3,265,11108,11373
NA,"NA County",NA,"United States",2001,3.4,395,11088,11483
NA,"NA County",NA,"United States",2002,5.6,640,10832,11472
NA,"NA County",NA,"United States",2003,5.6,657,11030,11687
NA,"NA County",NA,"United States",2004,4.9,569,11129,11698
NA,"NA County",NA,"United States",2005,4.2,493,11237,11730
NA,"NA County",NA,"United States",2006,4,474,11261,11735
NA,"NA County",NA,"United States",2007,3.8,449,11298,11747
NA,"NA County",NA,"United States",2008,4.4,524,11252,11776
NA,"NA County",NA,"United States",2009,7.3,859,10969,11828
NA,"NA County",NA,"United States",2010,7.7,895,10745,11640
NA,"NA County",NA,"United States",2011,6.4,732,10780,11512
NA,"NA County",NA,"United States",2012,5.8,673,10872,11545
NA,"NA County",NA,"United States",1990,10.3,8533,74145,82678
NA,"NA County",NA,"United States",1991,13.9,11465,71289,82754
NA,"NA County",NA,"United States",1992,13.2,10755,70722,81477
NA,"NA County",NA,"United States",1993,11.4,9278,72251,81529
NA,"NA County",NA,"United States",1994,10.8,8848,73207,82055
NA,"NA County",NA,"United States",1995,10.2,8259,72809,81068
NA,"NA County",NA,"United States",1996,9.2,7283,72235,79518
NA,"NA County",NA,"United States",1997,7.9,6323,74011,80334
NA,"NA County",NA,"United States",1998,6.8,5410,74525,79935
NA,"NA County",NA,"United States",1999,6.1,4916,75134,80050
NA,"NA County",NA,"United States",2000,4.4,3653,78925,82578
NA,"NA County",NA,"United States",2001,5.4,4435,78032,82467
NA,"NA County",NA,"United States",2002,6.9,5791,78673,84464
