"Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"Amesbury","Essex County","MA","Amesbury",2004,5,438,8279,8717,-1.8
"Amesbury","Essex County","MA","Amesbury",2005,4.5,388,8300,8688,-2.1
"Amesbury","Essex County","MA","Amesbury",2006,4.7,407,8325,8732,-1.6
"Amesbury","Essex County","MA","Amesbury",2007,4.3,373,8280,8653,-2.5
"Amesbury","Essex County","MA","Amesbury",2008,5.2,452,8236,8688,-2.1
"Amesbury","Essex County","MA","Amesbury",2009,7.9,691,8025,8716,-1.8
"Amesbury","Essex County","MA","Amesbury",2010,8.1,706,8016,8722,-1.7
"Amesbury","Essex County","MA","Amesbury",2011,6.8,597,8119,8716,-1.8
"Amesbury","Essex County","MA","Amesbury",2012,6.1,535,8226,8761,-1.3
"Amherst","Hampshire County","MA","Amherst",2003,3.3,614,18094,18708,0
"Amherst","Hampshire County","MA","Amherst",2004,3.3,618,18153,18771,0.3
"Amherst","Hampshire County","MA","Amherst",2005,3.4,639,18087,18726,0.1
"Amherst","Hampshire County","MA","Amherst",2006,3.3,617,18307,18924,1.2
"Amherst","Hampshire County","MA","Amherst",2007,3.1,590,18514,19104,2.1
"Amherst","Hampshire County","MA","Amherst",2008,3.9,745,18538,19283,3.1
"Amherst","Hampshire County","MA","Amherst",2009,5.1,984,18287,19271,3
"Amherst","Hampshire County","MA","Amherst",2010,5.5,1077,18640,19717,5.4
"Amherst","Hampshire County","MA","Amherst",2011,4.8,955,18751,19706,5.3
"Amherst","Hampshire County","MA","Amherst",2012,4.5,896,18919,19815,5.9
"Andover","Essex County","MA","Andover",2003,5.2,865,15755,16620,0
"Andover","Essex County","MA","Andover",2004,4.5,740,15825,16565,-0.3
"Andover","Essex County","MA","Andover",2005,4,672,16088,16760,0.8
"Andover","Essex County","MA","Andover",2006,4.1,691,16039,16730,0.7
"Andover","Essex County","MA","Andover",2007,4.1,692,16100,16792,1
"Andover","Essex County","MA","Andover",2008,4.1,697,16144,16841,1.3
"Andover","Essex County","MA","Andover",2009,6.7,1119,15655,16774,0.9
"Andover","Essex County","MA","Andover",2010,6.4,1066,15657,16723,0.6
"Andover","Essex County","MA","Andover",2011,5.7,952,15845,16797,1.1
"Andover","Essex County","MA","Andover",2012,4.9,834,16018,16852,1.4
"Aquinnah","Dukes County","MA","Aquinnah",2003,6.6,17,242,259,0
"Aquinnah","Dukes County","MA","Aquinnah",2004,5.4,14,245,259,0
"Aquinnah","Dukes County","MA","Aquinnah",2005,5.1,13,240,253,-2.3
"Aquinnah","Dukes County","MA","Aquinnah",2006,4.7,12,242,254,-1.9
"Aquinnah","Dukes County","MA","Aquinnah",2007,3.9,10,246,256,-1.2
"Aquinnah","Dukes County","MA","Aquinnah",2008,5,13,248,261,0.8
"Aquinnah","Dukes County","MA","Aquinnah",2009,4.7,12,246,258,-0.4
"Aquinnah","Dukes County","MA","Aquinnah",2010,5.6,12,202,214,-17.4
"Aquinnah","Dukes County","MA","Aquinnah",2011,7.7,17,203,220,-15.1
"Aquinnah","Dukes County","MA","Aquinnah",2012,4.2,9,205,214,-17.4
"Arlington","Middlesex County","MA","Arlington",2003,4.8,1193,23524,24717,0
"Arlington","Middlesex County","MA","Arlington",2004,3.8,930,23393,24323,-1.6
"Arlington","Middlesex County","MA","Arlington",2005,3.5,850,23457,24307,-1.7
"Arlington","Middlesex County","MA","Arlington",2006,3.3,791,23094,23885,-3.4
"Arlington","Middlesex County","MA","Arlington",2007,3.1,756,23264,24020,-2.8
"Arlington","Middlesex County","MA","Arlington",2008,3.7,901,23244,24145,-2.3
"Arlington","Middlesex County","MA","Arlington",2009,6.1,1462,22652,24114,-2.4
"Arlington","Middlesex County","MA","Arlington",2010,5.7,1420,23613,25033,1.3
"Arlington","Middlesex County","MA","Arlington",2011,4.7,1173,23961,25134,1.7
"Arlington","Middlesex County","MA","Arlington",2012,4.2,1067,24224,25291,2.3
"Ashburnham","Worcester County","MA","Ashburnham",2003,6.4,200,2947,3147,0
"Ashburnham","Worcester County","MA","Ashburnham",2004,6.3,198,2952,3150,0.1
"Ashburnham","Worcester County","MA","Ashburnham",2005,5.7,179,2959,3138,-0.3
"Ashburnham","Worcester County","MA","Ashburnham",2006,5.7,180,2993,3173,0.8
"Ashburnham","Worcester County","MA","Ashburnham",2007,5.4,172,2987,3159,0.4
"Ashburnham","Worcester County","MA","Ashburnham",2008,6.2,195,2954,3149,0.1
"Ashburnham","Worcester County","MA","Ashburnham",2009,9.3,291,2830,3121,-0.8
"Ashburnham","Worcester County","MA","Ashburnham",2010,9.5,305,2899,3204,1.8
"Ashburnham","Worcester County","MA","Ashburnham",2011,8.8,279,2898,3177,1
"Ashburnham","Worcester County","MA","Ashburnham",2012,7.6,239,2896,3135,-0.4
"Ashby","Middlesex County","MA","Ashby",2003,6.1,99,1513,1612,0
"Ashby","Middlesex County","MA","Ashby",2004,6,96,1509,1605,-0.4
"Ashby","Middlesex County","MA","Ashby",2005,5.4,85,1494,1579,-2
"Ashby","Middlesex County","MA","Ashby",2006,5.5,88,1514,1602,-0.6
"Ashby","Middlesex County","MA","Ashby",2007,5.1,81,1522,1603,-0.6
"Ashby","Middlesex County","MA","Ashby",2008,5.9,94,1492,1586,-1.6
"Ashby","Middlesex County","MA","Ashby",2009,9.4,156,1502,1658,2.9
"Ashby","Middlesex County","MA","Ashby",2010,9.2,154,1511,1665,3.3
"Ashby","Middlesex County","MA","Ashby",2011,8.2,135,1520,1655,2.7
"Ashby","Middlesex County","MA","Ashby",2012,8.2,135,1519,1654,2.6
"Ashfield","Franklin County","MA","Ashfield",2003,3.9,43,1070,1113,0
"Ashfield","Franklin County","MA","Ashfield",2004,3.6,40,1072,1112,-0.1
"Ashfield","Franklin County","MA","Ashfield",2005,3.1,35,1079,1114,0.1
"Ashfield","Franklin County","MA","Ashfield",2006,3.7,42,1084,1126,1.2
"Ashfield","Franklin County","MA","Ashfield",2007,3.6,41,1083,1124,1
"Ashfield","Franklin County","MA","Ashfield",2008,3.8,43,1077,1120,0.6
"Ashfield","Franklin County","MA","Ashfield",2009,5.6,61,1029,1090,-2.1
"Ashfield","Franklin County","MA","Ashfield",2010,6.2,65,983,1048,-5.8
"Ashfield","Franklin County","MA","Ashfield",2011,4.8,49,975,1024,-8
"Ashfield","Franklin County","MA","Ashfield",2012,4.6,47,976,1023,-8.1
"Ashland","Middlesex County","MA","Ashland",2003,5,455,8659,9114,0
"Ashland","Middlesex County","MA","Ashland",2004,4.2,382,8762,9144,0.3
"Ashland","Middlesex County","MA","Ashland",2005,3.7,343,8914,9257,1.6
"Ashland","Middlesex County","MA","Ashland",2006,3.6,341,9039,9380,2.9
"Ashland","Middlesex County","MA","Ashland",2007,3.4,325,9218,9543,4.7
"Ashland","Middlesex County","MA","Ashland",2008,4.1,396,9309,9705,6.5
"Ashland","Middlesex County","MA","Ashland",2009,6.9,638,8638,9276,1.8
"Ashland","Middlesex County","MA","Ashland",2010,6,587,9223,9810,7.6
"Ashland","Middlesex County","MA","Ashland",2011,5,491,9315,9806,7.6
"Ashland","Middlesex County","MA","Ashland",2012,4.8,471,9400,9871,8.3
"Athol","Worcester County","MA","Athol",2003,7.1,391,5125,5516,0
"Athol","Worcester County","MA","Athol",2004,6.6,360,5061,5421,-1.7
"Athol","Worcester County","MA","Athol",2005,6.1,326,5022,5348,-3
"Athol","Worcester County","MA","Athol",2006,6.2,327,4982,5309,-3.8
"Athol","Worcester County","MA","Athol",2007,6.6,349,4931,5280,-4.3
"Athol","Worcester County","MA","Athol",2008,7.2,386,4973,5359,-2.8
"Athol","Worcester County","MA","Athol",2009,11,605,4880,5485,-0.6
"Athol","Worcester County","MA","Athol",2010,11.5,614,4720,5334,-3.3
"Athol","Worcester County","MA","Athol",2011,10.1,528,4711,5239,-5
"Athol","Worcester County","MA","Athol",2012,9.2,478,4727,5205,-5.6
"Attleboro","Bristol County","MA","Attleboro",2003,5.9,1454,23339,24793,0
"Attleboro","Bristol County","MA","Attleboro",2004,5.7,1406,23394,24800,0
"Attleboro","Bristol County","MA","Attleboro",2005,5.4,1328,23491,24819,0.1
"Attleboro","Bristol County","MA","Attleboro",2006,5.2,1290,23682,24972,0.7
"Attleboro","Bristol County","MA","Attleboro",2007,4.9,1220,23649,24869,0.3
"Attleboro","Bristol County","MA","Attleboro",2008,6.4,1588,23145,24733,-0.2
"Attleboro","Bristol County","MA","Attleboro",2009,10.4,2605,22453,25058,1.1
"Attleboro","Bristol County","MA","Attleboro",2010,10.1,2515,22387,24902,0.4
"Attleboro","Bristol County","MA","Attleboro",2011,9.3,2309,22551,24860,0.3
"Attleboro","Bristol County","MA","Attleboro",2012,8.9,2220,22586,24806,0.1
"Auburn","Worcester County","MA","Auburn",2003,5.4,481,8443,8924,0
"Auburn","Worcester County","MA","Auburn",2004,4.7,413,8427,8840,-0.9
"Auburn","Worcester County","MA","Auburn",2005,4.3,381,8411,8792,-1.5
"Auburn","Worcester County","MA","Auburn",2006,4.1,363,8454,8817,-1.2
"Auburn","Worcester County","MA","Auburn",2007,4.3,384,8456,8840,-0.9
"Auburn","Worcester County","MA","Auburn",2008,4.9,428,8289,8717,-2.3
"Auburn","Worcester County","MA","Auburn",2009,8,698,8058,8756,-1.9
"Auburn","Worcester County","MA","Auburn",2010,8.2,713,7947,8660,-3
"Auburn","Worcester County","MA","Auburn",2011,7,602,8017,8619,-3.4
"Auburn","Worcester County","MA","Auburn",2012,6.9,593,8015,8608,-3.5
"Avon","Norfolk County","MA","Avon",2003,6.3,146,2165,2311,0
"Avon","Norfolk County","MA","Avon",2004,5.9,134,2148,2282,-1.3
"Avon","Norfolk County","MA","Avon",2005,5.6,126,2133,2259,-2.3
"Avon","Norfolk County","MA","Avon",2006,5.4,124,2154,2278,-1.4
"Avon","Norfolk County","MA","Avon",2007,5.2,118,2172,2290,-0.9
"Avon","Norfolk County","MA","Avon",2008,6.1,139,2155,2294,-0.7
"Avon","Norfolk County","MA","Avon",2009,9.8,229,2119,2348,1.6
"Avon","Norfolk County","MA","Avon",2010,9.1,212,2107,2319,0.3
"Avon","Norfolk County","MA","Avon",2011,7.8,180,2131,2311,0
"Avon","Norfolk County","MA","Avon",2012,7,162,2149,2311,0
"Ayer","Middlesex County","MA","Ayer",2003,6.2,260,3913,4173,0
"Ayer","Middlesex County","MA","Ayer",2004,5.3,216,3895,4111,-1.5
"Ayer","Middlesex County","MA","Ayer",2005,5.1,213,3945,4158,-0.4
"Ayer","Middlesex County","MA","Ayer",2006,4.5,190,4018,4208,0.8
"Ayer","Middlesex County","MA","Ayer",2007,4.3,188,4140,4328,3.7
"Ayer","Middlesex County","MA","Ayer",2008,5.2,227,4174,4401,5.5
"Ayer","Middlesex County","MA","Ayer",2009,7.9,349,4091,4440,6.4
"Ayer","Middlesex County","MA","Ayer",2010,8.2,352,3926,4278,2.5
"Ayer","Middlesex County","MA","Ayer",2011,7.3,312,3982,4294,2.9
"Ayer","Middlesex County","MA","Ayer",2012,6.4,277,4026,4303,3.1
"Barnstable","Barnstable County","MA","Barnstable",2003,4.7,1265,25677,26942,0
"Barnstable","Barnstable County","MA","Barnstable",2004,4.5,1217,25854,27071,0.5
"Barnstable","Barnstable County","MA","Barnstable",2005,4.5,1204,25626,26830,-0.4
"Barnstable","Barnstable County","MA","Barnstable",2006,4.4,1190,25631,26821,-0.4
"Barnstable","Barnstable County","MA","Barnstable",2007,4.2,1125,25430,26555,-1.4
"Barnstable","Barnstable County","MA","Barnstable",2008,5.2,1370,25098,26468,-1.8
"Barnstable","Barnstable County","MA","Barnstable",2009,7.8,2070,24449,26519,-1.6
"Barnstable","Barnstable County","MA","Barnstable",2010,8.1,2126,24215,26341,-2.2
"Barnstable","Barnstable County","MA","Barnstable",2011,7.3,1907,24174,26081,-3.2
