"","Municipal","County","State","Region","C_year","Period","Unemployment Rate","Number of Unemployed","Number of Employed","Number in Labor Force"
"1","Abington","Plymouth","MA","N/A","1990","Annual Average",7.1,553,7229,7782
"14","Abington","Plymouth","MA","N/A","1991","Annual Average",10.5,818,6938,7756
"27","Abington","Plymouth","MA","N/A","1992","Annual Average",9.8,754,6935,7689
"40","Abington","Plymouth","MA","N/A","1993","Annual Average",7.6,589,7164,7753
"53","Abington","Plymouth","MA","N/A","1994","Annual Average",6.2,510,7690,8200
"66","Abington","Plymouth","MA","N/A","1995","Annual Average",5.6,458,7774,8232
"79","Abington","Plymouth","MA","N/A","1996","Annual Average",5,415,7868,8283
"92","Abington","Plymouth","MA","N/A","1997","Annual Average",4.4,371,8110,8481
"105","Abington","Plymouth","MA","N/A","1998","Annual Average",3.6,309,8163,8472
"118","Abington","Plymouth","MA","N/A","1999","Annual Average",3.1,265,8271,8536
"131","Abington","Plymouth","MA","N/A","2000","Annual Average",2.5,209,8207,8416
"144","Abington","Plymouth","MA","N/A","2001","Annual Average",3.1,269,8279,8548
"157","Abington","Plymouth","MA","N/A","2002","Annual Average",4.4,383,8283,8666
"170","Abington","Plymouth","MA","N/A","2003","Annual Average",5.2,464,8515,8979
"183","Abington","Plymouth","MA","N/A","2004","Annual Average",5.1,465,8602,9067
"196","Abington","Plymouth","MA","N/A","2005","Annual Average",4.8,441,8676,9117
"209","Abington","Plymouth","MA","N/A","2006","Annual Average",4.7,436,8803,9239
"222","Abington","Plymouth","MA","N/A","2007","Annual Average",4.6,430,8917,9347
"235","Abington","Plymouth","MA","N/A","2008","Annual Average",5.4,513,9030,9543
"248","Abington","Plymouth","MA","N/A","2009","Annual Average",8.6,821,8778,9599
"261","Abington","Plymouth","MA","N/A","2010","Annual Average",8.9,811,8349,9160
"274","Abington","Plymouth","MA","N/A","2011","Annual Average",7.8,708,8427,9135
"287","Abington","Plymouth","MA","N/A","2012","Annual Average",7,642,8502,9144
"308","Acton","Middlesex","MA","N/A","1990","Annual Average",3.1,322,10147,10469
"321","Acton","Middlesex","MA","N/A","1991","Annual Average",4.5,461,9727,10188
"334","Acton","Middlesex","MA","N/A","1992","Annual Average",5.1,523,9800,10323
"347","Acton","Middlesex","MA","N/A","1993","Annual Average",4.6,481,10056,10537
"360","Acton","Middlesex","MA","N/A","1994","Annual Average",3.7,389,10238,10627
"373","Acton","Middlesex","MA","N/A","1995","Annual Average",3.2,347,10469,10816
"386","Acton","Middlesex","MA","N/A","1996","Annual Average",2.1,230,10782,11012
"399","Acton","Middlesex","MA","N/A","1997","Annual Average",2,230,11118,11348
"412","Acton","Middlesex","MA","N/A","1998","Annual Average",1.7,193,11350,11543
"425","Acton","Middlesex","MA","N/A","1999","Annual Average",1.9,229,11531,11760
"438","Acton","Middlesex","MA","N/A","2000","Annual Average",1.6,185,11454,11639
"451","Acton","Middlesex","MA","N/A","2001","Annual Average",2.9,348,11559,11907
"464","Acton","Middlesex","MA","N/A","2002","Annual Average",4.9,590,11388,11978
"477","Acton","Middlesex","MA","N/A","2003","Annual Average",4.9,573,11213,11786
"490","Acton","Middlesex","MA","N/A","2004","Annual Average",3.7,435,11166,11601
"503","Acton","Middlesex","MA","N/A","2005","Annual Average",3.4,394,11231,11625
"516","Acton","Middlesex","MA","N/A","2006","Annual Average",3.4,388,11112,11500
"529","Acton","Middlesex","MA","N/A","2007","Annual Average",3,350,11255,11605
"542","Acton","Middlesex","MA","N/A","2008","Annual Average",3.5,414,11306,11720
"555","Acton","Middlesex","MA","N/A","2009","Annual Average",5.9,688,11066,11754
"568","Acton","Middlesex","MA","N/A","2010","Annual Average",5.6,683,11598,12281
"581","Acton","Middlesex","MA","N/A","2011","Annual Average",4.7,576,11769,12345
"594","Acton","Middlesex","MA","N/A","2012","Annual Average",4.3,535,11898,12433
"615","Acushnet","Bristol","MA","N/A","1990","Annual Average",8.1,426,4859,5285
"628","Acushnet","Bristol","MA","N/A","1991","Annual Average",12.1,654,4761,5415
"641","Acushnet","Bristol","MA","N/A","1992","Annual Average",10.5,571,4855,5426
"654","Acushnet","Bristol","MA","N/A","1993","Annual Average",9.5,523,4975,5498
"667","Acushnet","Bristol","MA","N/A","1994","Annual Average",8.9,492,5053,5545
"680","Acushnet","Bristol","MA","N/A","1995","Annual Average",8.8,470,4877,5347
"693","Acushnet","Bristol","MA","N/A","1996","Annual Average",7.5,395,4876,5271
"706","Acushnet","Bristol","MA","N/A","1997","Annual Average",6.4,347,5033,5380
"719","Acushnet","Bristol","MA","N/A","1998","Annual Average",5.1,285,5268,5553
"732","Acushnet","Bristol","MA","N/A","1999","Annual Average",4.3,241,5390,5631
"745","Acushnet","Bristol","MA","N/A","2000","Annual Average",3.4,189,5444,5633
"758","Acushnet","Bristol","MA","N/A","2001","Annual Average",4.1,234,5426,5660
"771","Acushnet","Bristol","MA","N/A","2002","Annual Average",5.6,325,5514,5839
"784","Acushnet","Bristol","MA","N/A","2003","Annual Average",6.4,374,5433,5807
"797","Acushnet","Bristol","MA","N/A","2004","Annual Average",5.5,321,5473,5794
"810","Acushnet","Bristol","MA","N/A","2005","Annual Average",5.8,341,5543,5884
"823","Acushnet","Bristol","MA","N/A","2006","Annual Average",5.7,343,5625,5968
"836","Acushnet","Bristol","MA","N/A","2007","Annual Average",5.4,322,5600,5922
"849","Acushnet","Bristol","MA","N/A","2008","Annual Average",6.4,373,5414,5787
"862","Acushnet","Bristol","MA","N/A","2009","Annual Average",9.9,579,5265,5844
"875","Acushnet","Bristol","MA","N/A","2010","Annual Average",10.7,617,5159,5776
"888","Acushnet","Bristol","MA","N/A","2011","Annual Average",9.3,533,5212,5745
"901","Acushnet","Bristol","MA","N/A","2012","Annual Average",8.2,471,5274,5745
"922","Adams","Berkshire","MA","N/A","1990","Annual Average",9.4,430,4158,4588
"935","Adams","Berkshire","MA","N/A","1991","Annual Average",16.2,761,3941,4702
"948","Adams","Berkshire","MA","N/A","1992","Annual Average",13.9,623,3853,4476
"961","Adams","Berkshire","MA","N/A","1993","Annual Average",12.4,543,3852,4395
"974","Adams","Berkshire","MA","N/A","1994","Annual Average",11.1,469,3763,4232
"987","Adams","Berkshire","MA","N/A","1995","Annual Average",8.2,335,3753,4088
"1000","Adams","Berkshire","MA","N/A","1996","Annual Average",7.8,323,3799,4122
"1013","Adams","Berkshire","MA","N/A","1997","Annual Average",7.2,295,3813,4108
"1026","Adams","Berkshire","MA","N/A","1998","Annual Average",5.9,239,3807,4046
"1039","Adams","Berkshire","MA","N/A","1999","Annual Average",5.7,232,3809,4041
"1052","Adams","Berkshire","MA","N/A","2000","Annual Average",4,178,4259,4437
"1065","Adams","Berkshire","MA","N/A","2001","Annual Average",5.2,233,4264,4497
"1078","Adams","Berkshire","MA","N/A","2002","Annual Average",6.8,306,4227,4533
"1091","Adams","Berkshire","MA","N/A","2003","Annual Average",7.8,351,4166,4517
"1104","Adams","Berkshire","MA","N/A","2004","Annual Average",6.7,297,4125,4422
"1117","Adams","Berkshire","MA","N/A","2005","Annual Average",6.1,269,4135,4404
"1130","Adams","Berkshire","MA","N/A","2006","Annual Average",6,267,4155,4422
"1143","Adams","Berkshire","MA","N/A","2007","Annual Average",6.4,284,4135,4419
"1156","Adams","Berkshire","MA","N/A","2008","Annual Average",6.9,310,4181,4491
"1169","Adams","Berkshire","MA","N/A","2009","Annual Average",10.2,462,4074,4536
"1182","Adams","Berkshire","MA","N/A","2010","Annual Average",10,455,4114,4569
"1195","Adams","Berkshire","MA","N/A","2011","Annual Average",9.1,411,4107,4518
"1208","Adams","Berkshire","MA","N/A","2012","Annual Average",8.9,394,4053,4447
"1229","Agawam","Hampden","MA","N/A","1990","Annual Average",4.9,744,14394,15138
"1242","Agawam","Hampden","MA","N/A","1991","Annual Average",7.6,1145,13969,15114
"1255","Agawam","Hampden","MA","N/A","1992","Annual Average",8.3,1260,13941,15201
"1268","Agawam","Hampden","MA","N/A","1993","Annual Average",7.4,1116,13913,15029
"1281","Agawam","Hampden","MA","N/A","1994","Annual Average",6.6,984,14016,15000
"1294","Agawam","Hampden","MA","N/A","1995","Annual Average",5.4,781,13670,14451
"1307","Agawam","Hampden","MA","N/A","1996","Annual Average",4.3,617,13845,14462
"1320","Agawam","Hampden","MA","N/A","1997","Annual Average",3.9,582,14190,14772
"1333","Agawam","Hampden","MA","N/A","1998","Annual Average",3.3,490,14242,14732
"1346","Agawam","Hampden","MA","N/A","1999","Annual Average",3,446,14323,14769
"1359","Agawam","Hampden","MA","N/A","2000","Annual Average",2.6,416,15295,15711
"1372","Agawam","Hampden","MA","N/A","2001","Annual Average",3.2,513,15357,15870
"1385","Agawam","Hampden","MA","N/A","2002","Annual Average",4.7,752,15309,16061
"1398","Agawam","Hampden","MA","N/A","2003","Annual Average",5.4,875,15187,16062
"1411","Agawam","Hampden","MA","N/A","2004","Annual Average",4.9,786,15228,16014
"1424","Agawam","Hampden","MA","N/A","2005","Annual Average",4.6,737,15279,16016
"1437","Agawam","Hampden","MA","N/A","2006","Annual Average",4.7,748,15335,16083
"1450","Agawam","Hampden","MA","N/A","2007","Annual Average",4.4,696,15283,15979
"1463","Agawam","Hampden","MA","N/A","2008","Annual Average",5.2,826,15017,15843
"1476","Agawam","Hampden","MA","N/A","2009","Annual Average",7.9,1241,14533,15774
"1489","Agawam","Hampden","MA","N/A","2010","Annual Average",8.1,1282,14546,15828
"1502","Agawam","Hampden","MA","N/A","2011","Annual Average",7,1080,14400,15480
"1515","Agawam","Hampden","MA","N/A","2012","Annual Average",6.4,990,14409,15399
"1536","Alford","Berkshire","MA","N/A","1990","Annual Average",2.9,6,199,205
"1549","Alford","Berkshire","MA","N/A","1991","Annual Average",3.5,7,192,199
"1562","Alford","Berkshire","MA","N/A","1992","Annual Average",3.1,6,188,194
"1575","Alford","Berkshire","MA","N/A","1993","Annual Average",4,8,193,201
"1588","Alford","Berkshire","MA","N/A","1994","Annual Average",2.5,5,192,197
"1601","Alford","Berkshire","MA","N/A","1995","Annual Average",1.4,3,214,217
"1614","Alford","Berkshire","MA","N/A","1996","Annual Average",1.8,4,219,223
"1627","Alford","Berkshire","MA","N/A","1997","Annual Average",2.6,6,223,229
"1640","Alford","Berkshire","MA","N/A","1998","Annual Average",2.2,5,220,225
"1653","Alford","Berkshire","MA","N/A","1999","Annual Average",2.3,5,217,222
"1666","Alford","Berkshire","MA","N/A","2000","Annual Average",1.9,4,211,215
"1679","Alford","Berkshire","MA","N/A","2001","Annual Average",2.2,5,218,223
"1692","Alford","Berkshire","MA","N/A","2002","Annual Average",3,7,223,230
"1705","Alford","Berkshire","MA","N/A","2003","Annual Average",4.7,11,224,235
"1718","Alford","Berkshire","MA","N/A","2004","Annual Average",3.1,7,221,228
"1731","Alford","Berkshire","MA","N/A","2005","Annual Average",4.2,10,229,239
"1744","Alford","Berkshire","MA","N/A","2006","Annual Average",4.1,10,231,241
"1757","Alford","Berkshire","MA","N/A","2007","Annual Average",3.4,8,226,234
"1770","Alford","Berkshire","MA","N/A","2008","Annual Average",3.4,8,225,233
"1783","Alford","Berkshire","MA","N/A","2009","Annual Average",3.5,8,219,227
"1796","Alford","Berkshire","MA","N/A","2010","Annual Average",4.5,13,277,290
"1809","Alford","Berkshire","MA","N/A","2011","Annual Average",4.1,12,278,290
"1822","Alford","Berkshire","MA","N/A","2012","Annual Average",3.2,9,276,285
"1843","Amesbury","Essex","MA","N/A","1990","Annual Average",7.1,563,7391,7954
"1856","Amesbury","Essex","MA","N/A","1991","Annual Average",8.7,674,7107,7781
"1869","Amesbury","Essex","MA","N/A","1992","Annual Average",8.4,655,7097,7752
"1882","Amesbury","Essex","MA","N/A","1993","Annual Average",7.5,601,7382,7983
"1895","Amesbury","Essex","MA","N/A","1994","Annual Average",5.4,442,7712,8154
"1908","Amesbury","Essex","MA","N/A","1995","Annual Average",4.8,383,7623,8006
"1921","Amesbury","Essex","MA","N/A","1996","Annual Average",4.3,353,7818,8171
"1934","Amesbury","Essex","MA","N/A","1997","Annual Average",4,338,8054,8392
"1947","Amesbury","Essex","MA","N/A","1998","Annual Average",3.4,286,8220,8506
"1960","Amesbury","Essex","MA","N/A","1999","Annual Average",3.2,274,8339,8613
"1973","Amesbury","Essex","MA","N/A","2000","Annual Average",2.3,208,8882,9090
"1986","Amesbury","Essex","MA","N/A","2001","Annual Average",3.5,323,8828,9151
"1999","Amesbury","Essex","MA","N/A","2002","Annual Average",5.2,471,8566,9037
"2012","Amesbury","Essex","MA","N/A","2003","Annual Average",5.7,505,8372,8877
"2025","Amesbury","Essex","MA","N/A","2004","Annual Average",5,438,8279,8717
"2038","Amesbury","Essex","MA","N/A","2005","Annual Average",4.5,388,8300,8688
"2051","Amesbury","Essex","MA","N/A","2006","Annual Average",4.7,407,8325,8732
"2064","Amesbury","Essex","MA","N/A","2007","Annual Average",4.3,373,8280,8653
"2077","Amesbury","Essex","MA","N/A","2008","Annual Average",5.2,452,8236,8688
"2090","Amesbury","Essex","MA","N/A","2009","Annual Average",7.9,691,8025,8716
"2103","Amesbury","Essex","MA","N/A","2010","Annual Average",8.1,706,8016,8722
"2116","Amesbury","Essex","MA","N/A","2011","Annual Average",6.8,597,8119,8716
"2129","Amesbury","Essex","MA","N/A","2012","Annual Average",6.1,535,8226,8761
"2150","Amherst","Hampshire","MA","N/A","1990","Annual Average",4.2,752,17229,17981
"2163","Amherst","Hampshire","MA","N/A","1991","Annual Average",4.4,744,16166,16910
"2176","Amherst","Hampshire","MA","N/A","1992","Annual Average",3.2,546,16309,16855
"2189","Amherst","Hampshire","MA","N/A","1993","Annual Average",2.7,455,16674,17129
"2202","Amherst","Hampshire","MA","N/A","1994","Annual Average",2.3,402,16869,17271
"2215","Amherst","Hampshire","MA","N/A","1995","Annual Average",2.2,382,16921,17303
"2228","Amherst","Hampshire","MA","N/A","1996","Annual Average",1.9,324,17187,17511
"2241","Amherst","Hampshire","MA","N/A","1997","Annual Average",1.7,301,17564,17865
"2254","Amherst","Hampshire","MA","N/A","1998","Annual Average",1.6,298,18224,18522
"2267","Amherst","Hampshire","MA","N/A","1999","Annual Average",1.5,279,18309,18588
"2280","Amherst","Hampshire","MA","N/A","2000","Annual Average",1.9,354,17926,18280
"2293","Amherst","Hampshire","MA","N/A","2001","Annual Average",2.2,401,17871,18272
"2306","Amherst","Hampshire","MA","N/A","2002","Annual Average",2.7,498,17884,18382
"2319","Amherst","Hampshire","MA","N/A","2003","Annual Average",3.3,614,18094,18708
"2332","Amherst","Hampshire","MA","N/A","2004","Annual Average",3.3,618,18153,18771
"2345","Amherst","Hampshire","MA","N/A","2005","Annual Average",3.4,639,18087,18726
"2358","Amherst","Hampshire","MA","N/A","2006","Annual Average",3.3,617,18307,18924
"2371","Amherst","Hampshire","MA","N/A","2007","Annual Average",3.1,590,18514,19104
"2384","Amherst","Hampshire","MA","N/A","2008","Annual Average",3.9,745,18538,19283
"2397","Amherst","Hampshire","MA","N/A","2009","Annual Average",5.1,984,18287,19271
"2410","Amherst","Hampshire","MA","N/A","2010","Annual Average",5.5,1077,18640,19717
"2423","Amherst","Hampshire","MA","N/A","2011","Annual Average",4.8,955,18751,19706
"2436","Amherst","Hampshire","MA","N/A","2012","Annual Average",4.5,896,18919,19815
"2457","Andover","Essex","MA","N/A","1990","Annual Average",4.5,685,14522,15207
"2470","Andover","Essex","MA","N/A","1991","Annual Average",6.5,997,14413,15410
"2483","Andover","Essex","MA","N/A","1992","Annual Average",6.3,997,14787,15784
"2496","Andover","Essex","MA","N/A","1993","Annual Average",5.1,823,15162,15985
"2509","Andover","Essex","MA","N/A","1994","Annual Average",4.9,807,15630,16437
"2522","Andover","Essex","MA","N/A","1995","Annual Average",3.8,612,15600,16212
"2535","Andover","Essex","MA","N/A","1996","Annual Average",3.2,527,16036,16563
"2548","Andover","Essex","MA","N/A","1997","Annual Average",3.1,520,16204,16724
"2561","Andover","Essex","MA","N/A","1998","Annual Average",2.4,414,16681,17095
"2574","Andover","Essex","MA","N/A","1999","Annual Average",2.5,437,17038,17475
"2587","Andover","Essex","MA","N/A","2000","Annual Average",2.1,337,16032,16369
"2600","Andover","Essex","MA","N/A","2001","Annual Average",3.1,521,16138,16659
"2613","Andover","Essex","MA","N/A","2002","Annual Average",5.1,862,15949,16811
"2626","Andover","Essex","MA","N/A","2003","Annual Average",5.2,865,15755,16620
"2639","Andover","Essex","MA","N/A","2004","Annual Average",4.5,740,15825,16565
"2652","Andover","Essex","MA","N/A","2005","Annual Average",4,672,16088,16760
"2665","Andover","Essex","MA","N/A","2006","Annual Average",4.1,691,16039,16730
"2678","Andover","Essex","MA","N/A","2007","Annual Average",4.1,692,16100,16792
"2691","Andover","Essex","MA","N/A","2008","Annual Average",4.1,697,16144,16841
"2704","Andover","Essex","MA","N/A","2009","Annual Average",6.7,1119,15655,16774
"2717","Andover","Essex","MA","N/A","2010","Annual Average",6.4,1066,15657,16723
"2730","Andover","Essex","MA","N/A","2011","Annual Average",5.7,952,15845,16797
"2743","Andover","Essex","MA","N/A","2012","Annual Average",4.9,834,16018,16852
"2764","Aquinnah","Dukes","MA","N/A","1990","Annual Average",8.8,8,83,91
"2777","Aquinnah","Dukes","MA","N/A","1991","Annual Average",20.6,21,81,102
"2790","Aquinnah","Dukes","MA","N/A","1992","Annual Average",17.4,16,76,92
"2803","Aquinnah","Dukes","MA","N/A","1993","Annual Average",17.6,18,84,102
"2816","Aquinnah","Dukes","MA","N/A","1994","Annual Average",11.3,12,94,106
"2829","Aquinnah","Dukes","MA","N/A","1995","Annual Average",10.1,11,98,109
"2842","Aquinnah","Dukes","MA","N/A","1996","Annual Average",12,14,103,117
"2855","Aquinnah","Dukes","MA","N/A","1997","Annual Average",13.7,17,107,124
"2868","Aquinnah","Dukes","MA","N/A","1998","Annual Average",8.1,9,102,111
"2881","Aquinnah","Dukes","MA","N/A","1999","Annual Average",7.1,8,105,113
"2894","Aquinnah","Dukes","MA","N/A","2000","Annual Average",2.2,5,225,230
"2907","Aquinnah","Dukes","MA","N/A","2001","Annual Average",2.6,6,225,231
"2920","Aquinnah","Dukes","MA","N/A","2002","Annual Average",4.1,10,235,245
"2933","Aquinnah","Dukes","MA","N/A","2003","Annual Average",6.6,17,242,259
"2946","Aquinnah","Dukes","MA","N/A","2004","Annual Average",5.4,14,245,259
"2959","Aquinnah","Dukes","MA","N/A","2005","Annual Average",5.1,13,240,253
"2972","Aquinnah","Dukes","MA","N/A","2006","Annual Average",4.7,12,242,254
"2985","Aquinnah","Dukes","MA","N/A","2007","Annual Average",3.9,10,246,256
"2998","Aquinnah","Dukes","MA","N/A","2008","Annual Average",5,13,248,261
"3011","Aquinnah","Dukes","MA","N/A","2009","Annual Average",4.7,12,246,258
"3024","Aquinnah","Dukes","MA","N/A","2010","Annual Average",5.6,12,202,214
"3037","Aquinnah","Dukes","MA","N/A","2011","Annual Average",7.7,17,203,220
"3050","Aquinnah","Dukes","MA","N/A","2012","Annual Average",4.2,9,205,214
"3071","Arlington","Middlesex","MA","N/A","1990","Annual Average",3.8,989,25245,26234
"3084","Arlington","Middlesex","MA","N/A","1991","Annual Average",5.2,1316,24087,25403
"3097","Arlington","Middlesex","MA","N/A","1992","Annual Average",5.6,1413,23857,25270
"3110","Arlington","Middlesex","MA","N/A","1993","Annual Average",4.9,1220,23929,25149
"3123","Arlington","Middlesex","MA","N/A","1994","Annual Average",3.9,981,24239,25220
"3136","Arlington","Middlesex","MA","N/A","1995","Annual Average",3.5,885,24496,25381
"3149","Arlington","Middlesex","MA","N/A","1996","Annual Average",2.6,671,24895,25566
"3162","Arlington","Middlesex","MA","N/A","1997","Annual Average",2.4,621,25406,26027
"3175","Arlington","Middlesex","MA","N/A","1998","Annual Average",1.9,504,25672,26176
"3188","Arlington","Middlesex","MA","N/A","1999","Annual Average",1.9,499,25752,26251
"3201","Arlington","Middlesex","MA","N/A","2000","Annual Average",2,508,24778,25286
"3214","Arlington","Middlesex","MA","N/A","2001","Annual Average",3,762,24594,25356
"3227","Arlington","Middlesex","MA","N/A","2002","Annual Average",4.7,1181,23996,25177
"3240","Arlington","Middlesex","MA","N/A","2003","Annual Average",4.8,1193,23524,24717
"3253","Arlington","Middlesex","MA","N/A","2004","Annual Average",3.8,930,23393,24323
"3266","Arlington","Middlesex","MA","N/A","2005","Annual Average",3.5,850,23457,24307
"3279","Arlington","Middlesex","MA","N/A","2006","Annual Average",3.3,791,23094,23885
"3292","Arlington","Middlesex","MA","N/A","2007","Annual Average",3.1,756,23264,24020
"3305","Arlington","Middlesex","MA","N/A","2008","Annual Average",3.7,901,23244,24145
"3318","Arlington","Middlesex","MA","N/A","2009","Annual Average",6.1,1462,22652,24114
"3331","Arlington","Middlesex","MA","N/A","2010","Annual Average",5.7,1420,23613,25033
"3344","Arlington","Middlesex","MA","N/A","2011","Annual Average",4.7,1173,23961,25134
"3357","Arlington","Middlesex","MA","N/A","2012","Annual Average",4.2,1067,24224,25291
"3378","Ashburnham","Worcester","MA","N/A","1990","Annual Average",8.6,255,2705,2960
"3391","Ashburnham","Worcester","MA","N/A","1991","Annual Average",10.5,316,2699,3015
"3404","Ashburnham","Worcester","MA","N/A","1992","Annual Average",8.6,256,2731,2987
"3417","Ashburnham","Worcester","MA","N/A","1993","Annual Average",6.9,211,2863,3074
"3430","Ashburnham","Worcester","MA","N/A","1994","Annual Average",6.2,188,2860,3048
"3443","Ashburnham","Worcester","MA","N/A","1995","Annual Average",6.2,177,2694,2871
"3456","Ashburnham","Worcester","MA","N/A","1996","Annual Average",5.7,164,2701,2865
"3469","Ashburnham","Worcester","MA","N/A","1997","Annual Average",5.2,152,2768,2920
"3482","Ashburnham","Worcester","MA","N/A","1998","Annual Average",3.6,105,2775,2880
"3495","Ashburnham","Worcester","MA","N/A","1999","Annual Average",3.8,110,2790,2900
"3508","Ashburnham","Worcester","MA","N/A","2000","Annual Average",2.7,82,2940,3022
"3521","Ashburnham","Worcester","MA","N/A","2001","Annual Average",4.1,126,2934,3060
"3534","Ashburnham","Worcester","MA","N/A","2002","Annual Average",5.9,183,2931,3114
"3547","Ashburnham","Worcester","MA","N/A","2003","Annual Average",6.4,200,2947,3147
"3560","Ashburnham","Worcester","MA","N/A","2004","Annual Average",6.3,198,2952,3150
"3573","Ashburnham","Worcester","MA","N/A","2005","Annual Average",5.7,179,2959,3138
"3586","Ashburnham","Worcester","MA","N/A","2006","Annual Average",5.7,180,2993,3173
"3599","Ashburnham","Worcester","MA","N/A","2007","Annual Average",5.4,172,2987,3159
"3612","Ashburnham","Worcester","MA","N/A","2008","Annual Average",6.2,195,2954,3149
"3625","Ashburnham","Worcester","MA","N/A","2009","Annual Average",9.3,291,2830,3121
"3638","Ashburnham","Worcester","MA","N/A","2010","Annual Average",9.5,305,2899,3204
"3651","Ashburnham","Worcester","MA","N/A","2011","Annual Average",8.8,279,2898,3177
"3664","Ashburnham","Worcester","MA","N/A","2012","Annual Average",7.6,239,2896,3135
"3685","Ashby","Middlesex","MA","N/A","1990","Annual Average",6.7,103,1425,1528
"3698","Ashby","Middlesex","MA","N/A","1991","Annual Average",9.9,156,1415,1571
"3711","Ashby","Middlesex","MA","N/A","1992","Annual Average",7.8,124,1458,1582
"3724","Ashby","Middlesex","MA","N/A","1993","Annual Average",4.8,76,1507,1583
"3737","Ashby","Middlesex","MA","N/A","1994","Annual Average",5,82,1557,1639
"3750","Ashby","Middlesex","MA","N/A","1995","Annual Average",4.8,75,1502,1577
"3763","Ashby","Middlesex","MA","N/A","1996","Annual Average",5.3,84,1516,1600
"3776","Ashby","Middlesex","MA","N/A","1997","Annual Average",4.3,70,1558,1628
"3789","Ashby","Middlesex","MA","N/A","1998","Annual Average",3.4,55,1564,1619
"3802","Ashby","Middlesex","MA","N/A","1999","Annual Average",4,65,1571,1636
"3815","Ashby","Middlesex","MA","N/A","2000","Annual Average",2.6,41,1552,1593
"3828","Ashby","Middlesex","MA","N/A","2001","Annual Average",3.5,56,1537,1593
"3841","Ashby","Middlesex","MA","N/A","2002","Annual Average",5.5,88,1521,1609
"3854","Ashby","Middlesex","MA","N/A","2003","Annual Average",6.1,99,1513,1612
"3867","Ashby","Middlesex","MA","N/A","2004","Annual Average",6,96,1509,1605
"3880","Ashby","Middlesex","MA","N/A","2005","Annual Average",5.4,85,1494,1579
"3893","Ashby","Middlesex","MA","N/A","2006","Annual Average",5.5,88,1514,1602
"3906","Ashby","Middlesex","MA","N/A","2007","Annual Average",5.1,81,1522,1603
"3919","Ashby","Middlesex","MA","N/A","2008","Annual Average",5.9,94,1492,1586
"3932","Ashby","Middlesex","MA","N/A","2009","Annual Average",9.4,156,1502,1658
"3945","Ashby","Middlesex","MA","N/A","2010","Annual Average",9.2,154,1511,1665
"3958","Ashby","Middlesex","MA","N/A","2011","Annual Average",8.2,135,1520,1655
"3971","Ashby","Middlesex","MA","N/A","2012","Annual Average",8.2,135,1519,1654
"3992","Ashfield","Franklin","MA","N/A","1990","Annual Average",5.1,52,963,1015
"4005","Ashfield","Franklin","MA","N/A","1991","Annual Average",7,72,955,1027
"4018","Ashfield","Franklin","MA","N/A","1992","Annual Average",6,58,911,969
"4031","Ashfield","Franklin","MA","N/A","1993","Annual Average",4.8,47,938,985
"4044","Ashfield","Franklin","MA","N/A","1994","Annual Average",4.3,43,965,1008
"4057","Ashfield","Franklin","MA","N/A","1995","Annual Average",3.4,34,979,1013
"4070","Ashfield","Franklin","MA","N/A","1996","Annual Average",3.8,39,984,1023
"4083","Ashfield","Franklin","MA","N/A","1997","Annual Average",3.3,34,1004,1038
"4096","Ashfield","Franklin","MA","N/A","1998","Annual Average",2.4,25,1024,1049
"4109","Ashfield","Franklin","MA","N/A","1999","Annual Average",2.2,23,1042,1065
"4122","Ashfield","Franklin","MA","N/A","2000","Annual Average",2,22,1080,1102
"4135","Ashfield","Franklin","MA","N/A","2001","Annual Average",2.4,26,1080,1106
"4148","Ashfield","Franklin","MA","N/A","2002","Annual Average",3.3,37,1079,1116
"4161","Ashfield","Franklin","MA","N/A","2003","Annual Average",3.9,43,1070,1113
"4174","Ashfield","Franklin","MA","N/A","2004","Annual Average",3.6,40,1072,1112
"4187","Ashfield","Franklin","MA","N/A","2005","Annual Average",3.1,35,1079,1114
"4200","Ashfield","Franklin","MA","N/A","2006","Annual Average",3.7,42,1084,1126
"4213","Ashfield","Franklin","MA","N/A","2007","Annual Average",3.6,41,1083,1124
"4226","Ashfield","Franklin","MA","N/A","2008","Annual Average",3.8,43,1077,1120
"4239","Ashfield","Franklin","MA","N/A","2009","Annual Average",5.6,61,1029,1090
"4252","Ashfield","Franklin","MA","N/A","2010","Annual Average",6.2,65,983,1048
"4265","Ashfield","Franklin","MA","N/A","2011","Annual Average",4.8,49,975,1024
"4278","Ashfield","Franklin","MA","N/A","2012","Annual Average",4.6,47,976,1023
"4299","Ashland","Middlesex","MA","N/A","1990","Annual Average",5.3,399,7188,7587
"4312","Ashland","Middlesex","MA","N/A","1991","Annual Average",7.5,572,7011,7583
"4325","Ashland","Middlesex","MA","N/A","1992","Annual Average",7.6,575,7029,7604
"4338","Ashland","Middlesex","MA","N/A","1993","Annual Average",6.1,468,7232,7700
"4351","Ashland","Middlesex","MA","N/A","1994","Annual Average",4.9,385,7505,7890
"4364","Ashland","Middlesex","MA","N/A","1995","Annual Average",4.2,324,7477,7801
"4377","Ashland","Middlesex","MA","N/A","1996","Annual Average",3.5,280,7734,8014
"4390","Ashland","Middlesex","MA","N/A","1997","Annual Average",2.9,240,8051,8291
"4403","Ashland","Middlesex","MA","N/A","1998","Annual Average",2.4,204,8371,8575
"4416","Ashland","Middlesex","MA","N/A","1999","Annual Average",2.4,215,8630,8845
