"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"Abington","Plymouth County","MA","Abington",1990,7.1,553,7229,7782
"Abington","Plymouth County","MA","Abington",1991,10.5,818,6938,7756
"Abington","Plymouth County","MA","Abington",1992,9.8,754,6935,7689
"Abington","Plymouth County","MA","Abington",1993,7.6,589,7164,7753
"Abington","Plymouth County","MA","Abington",1994,6.2,510,7690,8200
"Abington","Plymouth County","MA","Abington",1995,5.6,458,7774,8232
"Abington","Plymouth County","MA","Abington",1996,5,415,7868,8283
"Abington","Plymouth County","MA","Abington",1997,4.4,371,8110,8481
"Abington","Plymouth County","MA","Abington",1998,3.6,309,8163,8472
"Abington","Plymouth County","MA","Abington",1999,3.1,265,8271,8536
"Abington","Plymouth County","MA","Abington",2000,2.5,209,8207,8416
"Abington","Plymouth County","MA","Abington",2001,3.1,269,8279,8548
"Abington","Plymouth County","MA","Abington",2002,4.4,383,8283,8666
"Abington","Plymouth County","MA","Abington",2003,5.2,464,8515,8979
"Abington","Plymouth County","MA","Abington",2004,5.1,465,8602,9067
"Abington","Plymouth County","MA","Abington",2005,4.8,441,8676,9117
"Abington","Plymouth County","MA","Abington",2006,4.7,436,8803,9239
"Abington","Plymouth County","MA","Abington",2007,4.6,430,8917,9347
"Abington","Plymouth County","MA","Abington",2008,5.4,513,9030,9543
"Abington","Plymouth County","MA","Abington",2009,8.6,821,8778,9599
"Abington","Plymouth County","MA","Abington",2010,8.9,811,8349,9160
"Abington","Plymouth County","MA","Abington",2011,7.8,708,8427,9135
"Abington","Plymouth County","MA","Abington",2012,7,642,8502,9144
"Acton","Middlesex County","MA","Acton",1990,3.1,322,10147,10469
"Acton","Middlesex County","MA","Acton",1991,4.5,461,9727,10188
"Acton","Middlesex County","MA","Acton",1992,5.1,523,9800,10323
"Acton","Middlesex County","MA","Acton",1993,4.6,481,10056,10537
"Acton","Middlesex County","MA","Acton",1994,3.7,389,10238,10627
"Acton","Middlesex County","MA","Acton",1995,3.2,347,10469,10816
"Acton","Middlesex County","MA","Acton",1996,2.1,230,10782,11012
"Acton","Middlesex County","MA","Acton",1997,2,230,11118,11348
"Acton","Middlesex County","MA","Acton",1998,1.7,193,11350,11543
"Acton","Middlesex County","MA","Acton",1999,1.9,229,11531,11760
"Acton","Middlesex County","MA","Acton",2000,1.6,185,11454,11639
"Acton","Middlesex County","MA","Acton",2001,2.9,348,11559,11907
"Acton","Middlesex County","MA","Acton",2002,4.9,590,11388,11978
"Acton","Middlesex County","MA","Acton",2003,4.9,573,11213,11786
"Acton","Middlesex County","MA","Acton",2004,3.7,435,11166,11601
"Acton","Middlesex County","MA","Acton",2005,3.4,394,11231,11625
"Acton","Middlesex County","MA","Acton",2006,3.4,388,11112,11500
"Acton","Middlesex County","MA","Acton",2007,3,350,11255,11605
"Acton","Middlesex County","MA","Acton",2008,3.5,414,11306,11720
"Acton","Middlesex County","MA","Acton",2009,5.9,688,11066,11754
"Acton","Middlesex County","MA","Acton",2010,5.6,683,11598,12281
"Acton","Middlesex County","MA","Acton",2011,4.7,576,11769,12345
"Acton","Middlesex County","MA","Acton",2012,4.3,535,11898,12433
"Acushnet","Bristol County","MA","Acushnet",1990,8.1,426,4859,5285
"Acushnet","Bristol County","MA","Acushnet",1991,12.1,654,4761,5415
