"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"Wellfleet","Barnstable County","MA","Wellfleet",2006,6.8,114,1554,1668
"Wellfleet","Barnstable County","MA","Wellfleet",2007,6.3,103,1540,1643
"Wellfleet","Barnstable County","MA","Wellfleet",2008,7.8,129,1524,1653
"Wellfleet","Barnstable County","MA","Wellfleet",2009,11.4,199,1545,1744
"Wellfleet","Barnstable County","MA","Wellfleet",2010,11.6,199,1517,1716
"Wellfleet","Barnstable County","MA","Wellfleet",2011,12,206,1515,1721
"Wellfleet","Barnstable County","MA","Wellfleet",2012,10.7,184,1540,1724
"Wendell","Franklin County","MA","Wendell",1990,6,31,489,520
"Wendell","Franklin County","MA","Wendell",1991,9.1,50,497,547
"Wendell","Franklin County","MA","Wendell",1992,9.7,51,477,528
"Wendell","Franklin County","MA","Wendell",1993,7.2,37,479,516
"Wendell","Franklin County","MA","Wendell",1994,6.6,35,495,530
"Wendell","Franklin County","MA","Wendell",1995,3.7,20,520,540
"Wendell","Franklin County","MA","Wendell",1996,3.7,20,523,543
"Wendell","Franklin County","MA","Wendell",1997,3.4,19,536,555
"Wendell","Franklin County","MA","Wendell",1998,3.9,22,549,571
"Wendell","Franklin County","MA","Wendell",1999,2.6,15,563,578
"Wendell","Franklin County","MA","Wendell",2000,2,12,601,613
"Wendell","Franklin County","MA","Wendell",2001,3.3,20,592,612
"Wendell","Franklin County","MA","Wendell",2002,3.4,21,598,619
"Wendell","Franklin County","MA","Wendell",2003,3.6,22,592,614
"Wendell","Franklin County","MA","Wendell",2004,4.4,27,587,614
"Wendell","Franklin County","MA","Wendell",2005,3,18,586,604
"Wendell","Franklin County","MA","Wendell",2006,4.3,26,585,611
"Wendell","Franklin County","MA","Wendell",2007,3.4,20,561,581
"Wendell","Franklin County","MA","Wendell",2008,4.6,27,565,592
"Wendell","Franklin County","MA","Wendell",2009,6.9,40,542,582
"Wendell","Franklin County","MA","Wendell",2010,8.1,40,455,495
"Wendell","Franklin County","MA","Wendell",2011,7.2,35,454,489
"Wendell","Franklin County","MA","Wendell",2012,6.2,30,455,485
"Wenham","Essex County","MA","Wenham",1990,3.1,70,2225,2295
"Wenham","Essex County","MA","Wenham",1991,4.1,92,2151,2243
"Wenham","Essex County","MA","Wenham",1992,3.4,78,2183,2261
"Wenham","Essex County","MA","Wenham",1993,3.1,73,2251,2324
"Wenham","Essex County","MA","Wenham",1994,2.6,61,2289,2350
"Wenham","Essex County","MA","Wenham",1995,2.4,58,2310,2368
"Wenham","Essex County","MA","Wenham",1996,2.2,53,2352,2405
"Wenham","Essex County","MA","Wenham",1997,2.1,51,2419,2470
"Wenham","Essex County","MA","Wenham",1998,1.6,40,2504,2544
"Wenham","Essex County","MA","Wenham",1999,1.5,38,2539,2577
"Wenham","Essex County","MA","Wenham",2000,2.4,43,1771,1814
"Wenham","Essex County","MA","Wenham",2001,3.6,65,1758,1823
"Wenham","Essex County","MA","Wenham",2002,5.3,98,1734,1832
"Wenham","Essex County","MA","Wenham",2003,5.6,102,1709,1811
"Wenham","Essex County","MA","Wenham",2004,5,90,1703,1793
"Wenham","Essex County","MA","Wenham",2005,5,90,1715,1805
"Wenham","Essex County","MA","Wenham",2006,4.3,73,1636,1709
"Wenham","Essex County","MA","Wenham",2007,4,72,1733,1805
"Wenham","Essex County","MA","Wenham",2008,5.4,98,1727,1825
"Wenham","Essex County","MA","Wenham",2009,8.3,151,1671,1822
"Wenham","Essex County","MA","Wenham",2010,7.8,148,1742,1890
"Wenham","Essex County","MA","Wenham",2011,6.9,130,1759,1889
"Wenham","Essex County","MA","Wenham",2012,6.4,122,1778,1900
"West Boylston","Worcester County","MA","West Boylston",1990,5.4,172,2988,3160
"West Boylston","Worcester County","MA","West Boylston",1991,8,245,2834,3079
"West Boylston","Worcester County","MA","West Boylston",1992,8.2,254,2853,3107
"West Boylston","Worcester County","MA","West Boylston",1993,6.2,194,2937,3131
"West Boylston","Worcester County","MA","West Boylston",1994,5,157,2972,3129
"West Boylston","Worcester County","MA","West Boylston",1995,4.4,138,2969,3107
"West Boylston","Worcester County","MA","West Boylston",1996,3.1,95,3016,3111
"West Boylston","Worcester County","MA","West Boylston",1997,3,97,3105,3202
"West Boylston","Worcester County","MA","West Boylston",1998,2.4,78,3163,3241
"West Boylston","Worcester County","MA","West Boylston",1999,3,98,3148,3246
"West Boylston","Worcester County","MA","West Boylston",2000,2.7,87,3189,3276
"West Boylston","Worcester County","MA","West Boylston",2001,3.1,103,3194,3297
"West Boylston","Worcester County","MA","West Boylston",2002,4.8,158,3144,3302
"West Boylston","Worcester County","MA","West Boylston",2003,5.7,189,3150,3339
"West Boylston","Worcester County","MA","West Boylston",2004,5.1,170,3131,3301
"West Boylston","Worcester County","MA","West Boylston",2005,4.8,158,3155,3313
"West Boylston","Worcester County","MA","West Boylston",2006,5,174,3295,3469
"West Boylston","Worcester County","MA","West Boylston",2007,4.7,165,3347,3512
"West Boylston","Worcester County","MA","West Boylston",2008,5.5,189,3271,3460
"West Boylston","Worcester County","MA","West Boylston",2009,8.7,304,3173,3477
"West Boylston","Worcester County","MA","West Boylston",2010,9,298,3008,3306
"West Boylston","Worcester County","MA","West Boylston",2011,8.2,271,3033,3304
"West Boylston","Worcester County","MA","West Boylston",2012,7.3,239,3032,3271
"West Bridgewater","Plymouth County","MA","West Bridgewater",1990,6.3,225,3322,3547
"West Bridgewater","Plymouth County","MA","West Bridgewater",1991,9.4,329,3160,3489
"West Bridgewater","Plymouth County","MA","West Bridgewater",1992,10.2,355,3118,3473
"West Bridgewater","Plymouth County","MA","West Bridgewater",1993,8.3,297,3272,3569
"West Bridgewater","Plymouth County","MA","West Bridgewater",1994,6.4,234,3408,3642
"West Bridgewater","Plymouth County","MA","West Bridgewater",1995,5.5,204,3500,3704
"West Bridgewater","Plymouth County","MA","West Bridgewater",1996,4.8,180,3537,3717
"West Bridgewater","Plymouth County","MA","West Bridgewater",1997,4.3,164,3648,3812
"West Bridgewater","Plymouth County","MA","West Bridgewater",1998,3,113,3681,3794
"West Bridgewater","Plymouth County","MA","West Bridgewater",1999,2.7,104,3751,3855
"West Bridgewater","Plymouth County","MA","West Bridgewater",2000,2.6,91,3420,3511
"West Bridgewater","Plymouth County","MA","West Bridgewater",2001,3.3,118,3428,3546
"West Bridgewater","Plymouth County","MA","West Bridgewater",2002,5.1,184,3405,3589
"West Bridgewater","Plymouth County","MA","West Bridgewater",2003,5.5,193,3336,3529
"West Bridgewater","Plymouth County","MA","West Bridgewater",2004,5.2,181,3327,3508
"West Bridgewater","Plymouth County","MA","West Bridgewater",2005,5.1,178,3326,3504
"West Bridgewater","Plymouth County","MA","West Bridgewater",2006,4.8,167,3344,3511
"West Bridgewater","Plymouth County","MA","West Bridgewater",2007,4.7,165,3344,3509
"West Bridgewater","Plymouth County","MA","West Bridgewater",2008,5.6,198,3319,3517
"West Bridgewater","Plymouth County","MA","West Bridgewater",2009,8.6,301,3213,3514
"West Bridgewater","Plymouth County","MA","West Bridgewater",2010,8.4,304,3320,3624
"West Bridgewater","Plymouth County","MA","West Bridgewater",2011,7.7,279,3352,3631
"West Bridgewater","Plymouth County","MA","West Bridgewater",2012,7,254,3381,3635
"West Brookfield","Worcester County","MA","West Brookfield",1990,6.5,112,1622,1734
"West Brookfield","Worcester County","MA","West Brookfield",1991,8.8,153,1576,1729
"West Brookfield","Worcester County","MA","West Brookfield",1992,8.6,150,1595,1745
"West Brookfield","Worcester County","MA","West Brookfield",1993,6.6,117,1650,1767
"West Brookfield","Worcester County","MA","West Brookfield",1994,6.1,110,1683,1793
"West Brookfield","Worcester County","MA","West Brookfield",1995,5.6,97,1645,1742
"West Brookfield","Worcester County","MA","West Brookfield",1996,5.4,96,1678,1774
"West Brookfield","Worcester County","MA","West Brookfield",1997,4.5,82,1729,1811
"West Brookfield","Worcester County","MA","West Brookfield",1998,3.5,64,1776,1840
"West Brookfield","Worcester County","MA","West Brookfield",1999,2.9,54,1778,1832
"West Brookfield","Worcester County","MA","West Brookfield",2000,2.5,46,1828,1874
"West Brookfield","Worcester County","MA","West Brookfield",2001,3.4,65,1831,1896
"West Brookfield","Worcester County","MA","West Brookfield",2002,5.4,103,1819,1922
"West Brookfield","Worcester County","MA","West Brookfield",2003,6.1,118,1811,1929
"West Brookfield","Worcester County","MA","West Brookfield",2004,6.1,117,1806,1923
"West Brookfield","Worcester County","MA","West Brookfield",2005,5.4,102,1798,1900
"West Brookfield","Worcester County","MA","West Brookfield",2006,5.2,98,1799,1897
"West Brookfield","Worcester County","MA","West Brookfield",2007,5.1,97,1795,1892
"West Brookfield","Worcester County","MA","West Brookfield",2008,6.2,116,1753,1869
"West Brookfield","Worcester County","MA","West Brookfield",2009,9.5,179,1702,1881
"West Brookfield","Worcester County","MA","West Brookfield",2010,10.1,183,1636,1819
"West Brookfield","Worcester County","MA","West Brookfield",2011,9,163,1651,1814
"West Brookfield","Worcester County","MA","West Brookfield",2012,8,143,1650,1793
"West Newbury","Essex County","MA","West Newbury",1990,4.4,86,1878,1964
"West Newbury","Essex County","MA","West Newbury",1991,5.7,114,1886,2000
"West Newbury","Essex County","MA","West Newbury",1992,5.8,120,1959,2079
"West Newbury","Essex County","MA","West Newbury",1993,4.4,96,2106,2202
"West Newbury","Essex County","MA","West Newbury",1994,4.1,93,2157,2250
"West Newbury","Essex County","MA","West Newbury",1995,3.9,87,2121,2208
"West Newbury","Essex County","MA","West Newbury",1996,3,68,2211,2279
"West Newbury","Essex County","MA","West Newbury",1997,2.6,61,2256,2317
"West Newbury","Essex County","MA","West Newbury",1998,2.2,52,2318,2370
"West Newbury","Essex County","MA","West Newbury",1999,2.5,61,2391,2452
"West Newbury","Essex County","MA","West Newbury",2000,2.1,48,2281,2329
"West Newbury","Essex County","MA","West Newbury",2001,2.7,62,2271,2333
"West Newbury","Essex County","MA","West Newbury",2002,3.5,81,2218,2299
"West Newbury","Essex County","MA","West Newbury",2003,4.6,105,2175,2280
"West Newbury","Essex County","MA","West Newbury",2004,4,89,2164,2253
"West Newbury","Essex County","MA","West Newbury",2005,3.4,78,2186,2264
"West Newbury","Essex County","MA","West Newbury",2006,3.6,83,2197,2280
"West Newbury","Essex County","MA","West Newbury",2007,3.2,73,2191,2264
"West Newbury","Essex County","MA","West Newbury",2008,3.6,81,2159,2240
"West Newbury","Essex County","MA","West Newbury",2009,6.5,151,2159,2310
"West Newbury","Essex County","MA","West Newbury",2010,6.4,145,2123,2268
"West Newbury","Essex County","MA","West Newbury",2011,5.3,121,2150,2271
"West Newbury","Essex County","MA","West Newbury",2012,4.8,109,2178,2287
"West Springfield","Hampden County","MA","West Springfield",1990,6,897,14063,14960
"West Springfield","Hampden County","MA","West Springfield",1991,8.4,1238,13479,14717
"West Springfield","Hampden County","MA","West Springfield",1992,8.5,1245,13416,14661
"West Springfield","Hampden County","MA","West Springfield",1993,7.9,1143,13265,14408
"West Springfield","Hampden County","MA","West Springfield",1994,9.2,1338,13246,14584
"West Springfield","Hampden County","MA","West Springfield",1995,7.9,1127,13104,14231
"West Springfield","Hampden County","MA","West Springfield",1996,5.7,795,13202,13997
"West Springfield","Hampden County","MA","West Springfield",1997,5,714,13446,14160
"West Springfield","Hampden County","MA","West Springfield",1998,3.5,497,13522,14019
"West Springfield","Hampden County","MA","West Springfield",1999,3.5,497,13511,14008
"West Springfield","Hampden County","MA","West Springfield",2000,2.8,410,14043,14453
"West Springfield","Hampden County","MA","West Springfield",2001,3.9,563,14055,14618
"West Springfield","Hampden County","MA","West Springfield",2002,5,738,13992,14730
"West Springfield","Hampden County","MA","West Springfield",2003,5.7,839,13851,14690
"West Springfield","Hampden County","MA","West Springfield",2004,5.4,792,13836,14628
"West Springfield","Hampden County","MA","West Springfield",2005,5.3,779,13860,14639
"West Springfield","Hampden County","MA","West Springfield",2006,5,728,13885,14613
"West Springfield","Hampden County","MA","West Springfield",2007,4.9,706,13801,14507
"West Springfield","Hampden County","MA","West Springfield",2008,6.1,891,13606,14497
"West Springfield","Hampden County","MA","West Springfield",2009,8.8,1281,13306,14587
"West Springfield","Hampden County","MA","West Springfield",2010,9.2,1359,13461,14820
"West Springfield","Hampden County","MA","West Springfield",2011,8.1,1173,13327,14500
"West Springfield","Hampden County","MA","West Springfield",2012,7.6,1092,13335,14427
"West Stockbridge","Berkshire County","MA","West Stockbridge",1990,6.2,49,742,791
"West Stockbridge","Berkshire County","MA","West Stockbridge",1991,7.9,62,724,786
"West Stockbridge","Berkshire County","MA","West Stockbridge",1992,9.4,76,731,807
"West Stockbridge","Berkshire County","MA","West Stockbridge",1993,5,41,775,816
"West Stockbridge","Berkshire County","MA","West Stockbridge",1994,5.5,46,792,838
"West Stockbridge","Berkshire County","MA","West Stockbridge",1995,5,42,792,834
"West Stockbridge","Berkshire County","MA","West Stockbridge",1996,4.3,36,809,845
