JURISDICTIONCODE,NAME,Year,Total_Taxable_Property_Values,Total_Tax_Exempt_Values,Total,Taxable_as_a___of_Total,Tax_Exempt_as_a___of_Total
76,Dighton,2015,838630293,93001900,931632193,90.02,9.98
76,Dighton,2016,856225937,97891100,954117037,89.74,10.26
77,Douglas,2003,544739900,41616600,586356500,92.9,7.1
77,Douglas,2004,560942756,56608700,617551456,90.83,9.17
77,Douglas,2005,825231359,80318500,905549859,91.13,8.87
77,Douglas,2006,926213678,84133100,1010346778,91.67,8.33
77,Douglas,2007,1022193165,88908100,1111101265,92,8
77,Douglas,2008,1023591566,93443200,1117034766,91.63,8.37
77,Douglas,2009,988449373,93649800,1082099173,91.35,8.65
77,Douglas,2010,939198196,91697300,1030895496,91.11,8.89
77,Douglas,2011,850874293,81813400,932687693,91.23,8.77
77,Douglas,2012,846826192,78763300,925589492,91.49,8.51
77,Douglas,2013,854687630,78793300,933480930,91.56,8.44
77,Douglas,2014,857627091,77901800,935528891,91.67,8.33
77,Douglas,2015,876822085,88630600,965452685,90.82,9.18
77,Douglas,2016,884177063,90324800,974501863,90.73,9.27
78,Dover,2003,1718511428,219701646,1938213074,88.66,11.34
78,Dover,2004,1932183947,251308396,2183492343,88.49,11.51
78,Dover,2005,2212267999,292893961,2505161960,88.31,11.69
78,Dover,2006,2311929628,313496511,2625426139,88.06,11.94
78,Dover,2007,2369624586,315303311,2684927897,88.26,11.74
78,Dover,2008,2348365777,321803796,2670169573,87.95,12.05
78,Dover,2009,2415408671,326069500,2741478171,88.11,11.89
78,Dover,2010,2291620903,322903900,2614524803,87.65,12.35
78,Dover,2011,2203955637,314763100,2518718737,87.5,12.5
78,Dover,2012,2221504984,307915500,2529420484,87.83,12.17
78,Dover,2013,2137444532,303767900,2441212432,87.56,12.44
78,Dover,2014,2167270931,303223400,2470494331,87.73,12.27
78,Dover,2015,2317964289,313932500,2631896789,88.07,11.93
78,Dover,2016,2366676132,317070300,2683746432,88.19,11.81
79,Dracut,2003,2152614110,85947500,2238561610,96.16,3.84
79,Dracut,2004,2184136224,86713500,2270849724,96.18,3.82
79,Dracut,2005,2802799972,149587600,2952387572,94.93,5.07
79,Dracut,2006,3145784444,177272800,3323057244,94.67,5.33
79,Dracut,2007,3187413627,175609200,3363022827,94.78,5.22
79,Dracut,2008,3085904579,177385600,3263290179,94.56,5.44
79,Dracut,2009,3104532807,208847300,3313380107,93.7,6.3
79,Dracut,2010,2952877574,204321200,3157198774,93.53,6.47
79,Dracut,2011,2837174198,203513900,3040688098,93.31,6.69
79,Dracut,2012,2873936086,201696400,3075632486,93.44,6.56
79,Dracut,2013,2792540325,199680200,2992220525,93.33,6.67
79,Dracut,2014,2778391123,200767400,2979158523,93.26,6.74
79,Dracut,2015,2904745093,214351700,3119096793,93.13,6.87
79,Dracut,2016,3024231256,216790200,3241021456,93.31,6.69
80,Dudley,2003,572814032,56318300,629132332,91.05,8.95
80,Dudley,2004,630146363,66348400,696494763,90.47,9.53
80,Dudley,2005,872739632,75943600,948683232,91.99,8.01
80,Dudley,2006,946117973,77680900,1023798873,92.41,7.59
80,Dudley,2007,1009592489,77993200,1087585689,92.83,7.17
80,Dudley,2008,1055531508,78686700,1134218208,93.06,6.94
80,Dudley,2009,988187451,82016300,1070203751,92.34,7.66
80,Dudley,2010,907845917,82686200,990532117,91.65,8.35
80,Dudley,2011,859171651,77998700,937170351,91.68,8.32
80,Dudley,2012,834561656,101270200,935831856,89.18,10.82
80,Dudley,2013,811389272,101858900,913248172,88.85,11.15
80,Dudley,2014,826923189,102037000,928960189,89.02,10.98
80,Dudley,2015,851288128,109426250,960714378,88.61,11.39
80,Dudley,2016,880168520,110781250,990949770,88.82,11.18
81,Dunstable,2003,331589975,14004800,345594775,95.95,4.05
81,Dunstable,2004,368970772,16110400,385081172,95.82,4.18
81,Dunstable,2005,425650072,19242300,444892372,95.67,4.33
81,Dunstable,2006,471559052,23161900,494720952,95.32,4.68
81,Dunstable,2007,517564752,25828700,543393452,95.25,4.75
81,Dunstable,2008,535162772,27708400,562871172,95.08,4.92
81,Dunstable,2009,510867566,29015600,539883166,94.63,5.37
81,Dunstable,2010,493855899,28006900,521862799,94.63,5.37
81,Dunstable,2011,484785421,28109800,512895221,94.52,5.48
81,Dunstable,2012,459475441,25741800,485217241,94.69,5.31
81,Dunstable,2013,459895571,26740900,486636471,94.5,5.5
81,Dunstable,2014,456199952,25957700,482157652,94.62,5.38
81,Dunstable,2015,459074618,27168900,486243518,94.41,5.59
81,Dunstable,2016,478410464,30441200,508851664,94.02,5.98
82,Duxbury,2003,2575357610,291185900,2866543510,89.84,10.16
82,Duxbury,2004,2875209840,338928800,3214138640,89.46,10.54
82,Duxbury,2005,3297507320,401316300,3698823620,89.15,10.85
82,Duxbury,2006,3593172400,434822800,4027995200,89.2,10.8
82,Duxbury,2007,3668240970,437212000,4105452970,89.35,10.65
82,Duxbury,2008,3651481380,409630500,4061111880,89.91,10.09
82,Duxbury,2009,3734744800,374189000,4108933800,90.89,9.11
82,Duxbury,2010,3502291940,350092000,3852383940,90.91,9.09
82,Duxbury,2011,3352883200,337733100,3690616300,90.85,9.15
82,Duxbury,2012,3200635311,305104600,3505739911,91.3,8.7
82,Duxbury,2013,3214667680,323857700,3538525380,90.85,9.15
82,Duxbury,2014,3276537630,328718330,3605255960,90.88,9.12
82,Duxbury,2015,3506420685,453208007,3959628692,88.55,11.45
82,Duxbury,2016,3631924735,401172391,4033097126,90.05,9.95
83,East Bridgewater,2003,848029900,68523500,916553400,92.52,7.48
83,East Bridgewater,2004,1275229300,82860400,1358089700,93.9,6.1
83,East Bridgewater,2005,1386273290,83162800,1469436090,94.34,5.66
83,East Bridgewater,2006,1495351690,83820000,1579171690,94.69,5.31
83,East Bridgewater,2007,1683155430,114396500,1797551930,93.64,6.36
83,East Bridgewater,2008,1702423130,114751700,1817174830,93.69,6.31
83,East Bridgewater,2009,1662303660,115822400,1778126060,93.49,6.51
83,East Bridgewater,2010,1615344350,113955900,1729300250,93.41,6.59
83,East Bridgewater,2011,1571026880,114184800,1685211680,93.22,6.78
83,East Bridgewater,2012,1531786400,112723100,1644509500,93.15,6.85
83,East Bridgewater,2013,1552171830,112452500,1664624330,93.24,6.76
83,East Bridgewater,2014,1473372150,112313700,1585685850,92.92,7.08
83,East Bridgewater,2015,1503175130,114449400,1617624530,92.92,7.08
83,East Bridgewater,2016,1515180600,116207700,1631388300,92.88,7.12
84,East Brookfield,2003,130818788,13970300,144789088,90.35,9.65
84,East Brookfield,2004,134639642,13827500,148467142,90.69,9.31
84,East Brookfield,2005,206407321,16500000,222907321,92.6,7.4
84,East Brookfield,2006,243502911,16926200,260429111,93.5,6.5
84,East Brookfield,2007,250050602,16914900,266965502,93.66,6.34
84,East Brookfield,2008,248860227,17637200,266497427,93.38,6.62
84,East Brookfield,2009,253004706,26132100,279136806,90.64,9.36
84,East Brookfield,2010,234719181,24034250,258753431,90.71,9.29
84,East Brookfield,2011,221476942,21913000,243389942,91,9
84,East Brookfield,2012,222864941,21950000,244814941,91.03,8.97
84,East Brookfield,2013,222657289,22729300,245386589,90.74,9.26
84,East Brookfield,2014,195810169,19576900,215387069,90.91,9.09
84,East Brookfield,2015,197525245,19576900,217102145,90.98,9.02
84,East Brookfield,2016,198808023,19451500,218259523,91.09,8.91
85,East Longmeadow,2003,1152746426,98971600,1251718026,92.09,7.91
85,East Longmeadow,2004,1169679260,102841100,1272520360,91.92,8.08
85,East Longmeadow,2005,1454793188,126716400,1581509588,91.99,8.01
85,East Longmeadow,2006,1549430201,129241100,1678671301,92.3,7.7
85,East Longmeadow,2007,1707703906,132015300,1839719206,92.82,7.18
85,East Longmeadow,2008,1813614311,167134700,1980749011,91.56,8.44
85,East Longmeadow,2009,1852981080,168220000,2021201080,91.68,8.32
85,East Longmeadow,2010,1795002834,168701000,1963703834,91.41,8.59
85,East Longmeadow,2011,1787452775,172687300,1960140075,91.19,8.81
85,East Longmeadow,2012,1772969942,162874000,1935843942,91.59,8.41
85,East Longmeadow,2013,1774474733,162631000,1937105733,91.6,8.4
85,East Longmeadow,2014,1770777465,157801000,1928578465,91.82,8.18
85,East Longmeadow,2015,1804688796,165311800,1970000596,91.61,8.39
85,East Longmeadow,2016,1817660272,165716500,1983376772,91.64,8.36
86,Eastham,2003,1208911140,64020900,1272932040,94.97,5.03
86,Eastham,2004,2337607330,154808900,2492416230,93.79,6.21
86,Eastham,2005,2486527329,169451900,2655979229,93.62,6.38
86,Eastham,2006,2891126680,186317400,3077444080,93.95,6.05
86,Eastham,2007,3025125790,194542700,3219668490,93.96,6.04
86,Eastham,2008,3001638700,198556500,3200195200,93.8,6.2
86,Eastham,2009,2927099260,188482400,3115581660,93.95,6.05
86,Eastham,2010,2897862240,241519000,3139381240,92.31,7.69
86,Eastham,2011,2760251860,218356600,2978608460,92.67,7.33
86,Eastham,2012,2710948360,213597500,2924545860,92.7,7.3
86,Eastham,2013,2680491360,208963000,2889454360,92.77,7.23
86,Eastham,2014,2642790450,195442900,2838233350,93.11,6.89
86,Eastham,2015,2657994390,196446100,2854440490,93.12,6.88
86,Eastham,2016,2725537180,206845100,2932382280,92.95,7.05
87,Easthampton,2003,733850670,100349300,834199970,87.97,12.03
87,Easthampton,2004,955260620,129273600,1084534220,88.08,11.92
87,Easthampton,2005,1094631946,134137900,1228769846,89.08,10.92
87,Easthampton,2006,1233184576,134450800,1367635376,90.17,9.83
87,Easthampton,2007,1366394000,147434700,1513828700,90.26,9.74
87,Easthampton,2008,1386059330,148325400,1534384730,90.33,9.67
87,Easthampton,2009,1404767970,149181880,1553949850,90.4,9.6
87,Easthampton,2010,1391081830,148610980,1539692810,90.35,9.65
87,Easthampton,2011,1400908597,144521980,1545430577,90.65,9.35
87,Easthampton,2012,1401693688,142109380,1543803068,90.79,9.21
87,Easthampton,2013,1401028336,146186680,1547215016,90.55,9.45
87,Easthampton,2014,1418403303,152448825,1570852128,90.3,9.7
87,Easthampton,2015,1429489523,152367500,1581857023,90.37,9.63
87,Easthampton,2016,1435539281,151397100,1586936381,90.46,9.54
88,Easton,2003,1986755670,161516050,2148271720,92.48,7.52
88,Easton,2004,2386020110,174500150,2560520260,93.18,6.82
88,Easton,2005,2713292920,179308400,2892601320,93.8,6.2
88,Easton,2006,2935473220,184373150,3119846370,94.09,5.91
88,Easton,2007,3333237870,274072750,3607310620,92.4,7.6
88,Easton,2008,3276833080,273550550,3550383630,92.3,7.7
88,Easton,2009,3192976630,274426450,3467403080,92.09,7.91
88,Easton,2010,3058665160,281155050,3339820210,91.58,8.42
88,Easton,2011,2940547730,278147850,3218695580,91.36,8.64
88,Easton,2012,2947436892,283786400,3231223292,91.22,8.78
88,Easton,2013,2881173603,324480400,3205654003,89.88,10.12
88,Easton,2014,2828316107,342716100,3171032207,89.19,10.81
88,Easton,2015,2916678289,363898200,3280576489,88.91,11.09
88,Easton,2016,3134253346,345746100,3479999446,90.06,9.94
89,Edgartown,2003,3626944740,281494100,3908438840,92.8,7.2
89,Edgartown,2004,4345518930,303676100,4649195030,93.47,6.53
89,Edgartown,2005,5416132430,458250800,5874383230,92.2,7.8
89,Edgartown,2006,5949105140,533707800,6482812940,91.77,8.23
89,Edgartown,2007,6323809975,558304400,6882114375,91.89,8.11
89,Edgartown,2008,7009320115,668570290,7677890405,91.29,8.71
89,Edgartown,2009,6878503105,651144120,7529647225,91.35,8.65
89,Edgartown,2010,6748455465,651448020,7399903485,91.2,8.8
89,Edgartown,2011,6563959740,637637120,7201596860,91.15,8.85
89,Edgartown,2012,6666537995,687296220,7353834215,90.65,9.35
89,Edgartown,2013,6597990238,679012820,7277003058,90.67,9.33
89,Edgartown,2014,6613836438,674150920,7287987358,90.75,9.25
89,Edgartown,2015,7028192628,682526720,7710719348,91.15,8.85
89,Edgartown,2016,7276701078,680863000,7957564078,91.44,8.56
90,Egremont,2003,241853429,15689700,257543129,93.91,6.09
90,Egremont,2004,295216860,19090200,314307060,93.93,6.07
90,Egremont,2005,312527938,22986500,335514438,93.15,6.85
90,Egremont,2006,365935564,37500400,403435964,90.7,9.3
90,Egremont,2007,404882639,50924200,455806839,88.83,11.17
90,Egremont,2008,480619130,105029700,585648830,82.07,17.93
90,Egremont,2009,467988238,96616400,564604638,82.89,17.11
90,Egremont,2010,443037371,89023000,532060371,83.27,16.73
90,Egremont,2011,410058628,66440200,476498828,86.06,13.94
90,Egremont,2012,390053318,61553100,451606418,86.37,13.63
90,Egremont,2013,383017297,62046100,445063397,86.06,13.94
90,Egremont,2014,381368729,62368200,443736929,85.94,14.06
90,Egremont,2015,380904827,62628700,443533527,85.88,14.12
90,Egremont,2016,384010808,62714900,446725708,85.96,14.04
91,Erving,2003,586115424,19152500,605267924,96.84,3.16
91,Erving,2004,588966733,21118200,610084933,96.54,3.46
91,Erving,2005,602773284,24480300,627253584,96.1,3.9
91,Erving,2006,582718812,27823100,610541912,95.44,4.56
91,Erving,2007,596669202,27949200,624618402,95.53,4.47
91,Erving,2008,601233832,28248400,629482232,95.51,4.49
91,Erving,2009,619692606,28331000,648023606,95.63,4.37
91,Erving,2010,619262929,28379400,647642329,95.62,4.38
91,Erving,2011,626076819,28440000,654516819,95.65,4.35
91,Erving,2012,628752346,28509700,657262046,95.66,4.34
91,Erving,2013,648965177,32918800,681883977,95.17,4.83
91,Erving,2014,652199643,32616600,684816243,95.24,4.76
91,Erving,2015,652382315,32658200,685040515,95.23,4.77
91,Erving,2016,878569578,35310800,913880378,96.14,3.86
92,Essex,2003,493025930,32999800,526025730,93.73,6.27
92,Essex,2004,614703570,36877300,651580870,94.34,5.66
92,Essex,2005,664671190,37013200,701684390,94.73,5.27
92,Essex,2006,759944450,52437400,812381850,93.55,6.45
92,Essex,2007,815191000,51862900,867053900,94.02,5.98
92,Essex,2008,811316270,57770360,869086630,93.35,6.65
92,Essex,2009,819627810,61161900,880789710,93.06,6.94
92,Essex,2010,829856573,56098280,885954853,93.67,6.33
92,Essex,2011,777138722,51015200,828153922,93.84,6.16
92,Essex,2012,751324126,46493300,797817426,94.17,5.83
92,Essex,2013,755781684,47634600,803416284,94.07,5.93
92,Essex,2014,744678345,47644300,792322645,93.99,6.01
92,Essex,2015,747594356,50110500,797704856,93.72,6.28
92,Essex,2016,765565677,55683900,821249577,93.22,6.78
93,Everett,2003,3376849040,394239000,3771088040,89.55,10.45
93,Everett,2004,3306749745,403698600,3710448345,89.12,10.88
93,Everett,2005,3926642631,523564400,4450207031,88.24,11.76
93,Everett,2006,4560626366,593492600,5154118966,88.49,11.51
93,Everett,2007,4766973989,593435900,5360409889,88.93,11.07
93,Everett,2008,4835851102,596334100,5432185202,89.02,10.98
93,Everett,2009,4438380003,649204600,5087584603,87.24,12.76
93,Everett,2010,3707402590,599062400,4306464990,86.09,13.91
93,Everett,2011,3276697828,645690500,3922388328,83.54,16.46
93,Everett,2012,3535432288,585263540,4120695828,85.8,14.2
93,Everett,2013,3547990080,519431350,4067421430,87.23,12.77
93,Everett,2014,3615430470,537376050,4152806520,87.06,12.94
93,Everett,2015,4009259197,536429250,4545688447,88.2,11.8
93,Everett,2016,4314767780,539396750,4854164530,88.89,11.11
94,Fairhaven,2003,1269993573,113246100,1383239673,91.81,8.19
94,Fairhaven,2004,1397788849,114733900,1512522749,92.41,7.59
94,Fairhaven,2005,1841490449,165479695,2006970144,91.75,8.25
94,Fairhaven,2006,1986103212,172681563,2158784775,92,8
94,Fairhaven,2007,2134694778,180625388,2315320166,92.2,7.8
94,Fairhaven,2008,2243272232,189491345,2432763577,92.21,7.79
94,Fairhaven,2009,2201936518,186617245,2388553763,92.19,7.81
94,Fairhaven,2010,2129465251,187149145,2316614396,91.92,8.08
94,Fairhaven,2011,2029963617,173752573,2203716190,92.12,7.88
94,Fairhaven,2012,1951014819,171749268,2122764087,91.91,8.09
94,Fairhaven,2013,1920946889,174785268,2095732157,91.66,8.34
94,Fairhaven,2014,1849070614,170340668,2019411282,91.56,8.44
94,Fairhaven,2015,1844247558,170706468,2014954026,91.53,8.47
94,Fairhaven,2016,1892927321,170106571,2063033892,91.75,8.25
95,Fall River,2003,3035551747,750923500,3786475247,80.17,19.83
95,Fall River,2004,4171271660,1108444000,5279715660,79.01,20.99
95,Fall River,2005,5003607986,1108444000,6112051986,81.86,18.14
95,Fall River,2006,5960047484,1060648500,7020695984,84.89,15.11
95,Fall River,2007,6558672565,984463100,7543135665,86.95,13.05
95,Fall River,2008,6716692362,1044537000,7761229362,86.54,13.46
95,Fall River,2009,6429439920,1024289300,7453729220,86.26,13.74
95,Fall River,2010,6117043325,979838704,7096882029,86.19,13.81
95,Fall River,2011,5746543529,1015229468,6761772997,84.99,15.01
95,Fall River,2012,5505625991,944068444,6449694435,85.36,14.64
95,Fall River,2013,5310575275,916636828,6227212103,85.28,14.72
95,Fall River,2014,5233861823,908051596,6141913419,85.22,14.78
95,Fall River,2015,5189075984,915837340,6104913324,85,15
95,Fall River,2016,5211516417,920716412,6132232829,84.99,15.01
96,Falmouth,2003,6780987057,520631100,7301618157,92.87,7.13
96,Falmouth,2004,7507947560,573296900,8081244460,92.91,7.09
96,Falmouth,2005,10264707235,906187700,11170894935,91.89,8.11
96,Falmouth,2006,11300454443,1044531400,12344985843,91.54,8.46
96,Falmouth,2007,12306390382,1112484900,13418875282,91.71,8.29
96,Falmouth,2008,12253538623,1040312279,13293850902,92.17,7.83
96,Falmouth,2009,11848159093,1003303000,12851462093,92.19,7.81
96,Falmouth,2010,11175752766,942638300,12118391066,92.22,7.78
96,Falmouth,2011,11045267377,931258728,11976526105,92.22,7.78
96,Falmouth,2012,10579861695,1083186091,11663047786,90.71,9.29
96,Falmouth,2013,10614941343,1139991991,11754933334,90.3,9.7
96,Falmouth,2014,10760779222,1154009291,11914788513,90.31,9.69
96,Falmouth,2015,11045497654,1140976258,12186473912,90.64,9.36
96,Falmouth,2016,11194449029,1150138290,12344587319,90.68,9.32
97,Fitchburg,2003,1592787823,501468200,2094256023,76.06,23.94
97,Fitchburg,2004,1878879332,547144700,2426024032,77.45,22.55
97,Fitchburg,2005,2145562649,571578000,2717140649,78.96,21.04
97,Fitchburg,2006,2424475656,586583200,3011058856,80.52,19.48
97,Fitchburg,2007,2691586276,661901100,3353487376,80.26,19.74
97,Fitchburg,2008,2774561406,665038696,3439600102,80.67,19.33
97,Fitchburg,2009,2673490274,668668696,3342158970,79.99,20.01
97,Fitchburg,2010,2443382008,644406096,3087788104,79.13,20.87
97,Fitchburg,2011,2275143403,640835096,2915978499,78.02,21.98
97,Fitchburg,2012,2168805671,533931600,2702737271,80.24,19.76
97,Fitchburg,2013,2076968585,536459000,2613427585,79.47,20.53
97,Fitchburg,2014,2065732586,561530400,2627262986,78.63,21.37
97,Fitchburg,2015,2093135075,578039700,2671174775,78.36,21.64
97,Fitchburg,2016,2124541595,657349400,2781890995,76.37,23.63
98,Florida,2003,97064000,4056700,101120700,95.99,4.01
98,Florida,2004,98031400,4033000,102064400,96.05,3.95
98,Florida,2005,98948175,3336900,102285075,96.74,3.26
98,Florida,2006,117215202,5300900,122516102,95.67,4.33
98,Florida,2007,123504949,5515900,129020849,95.72,4.28
98,Florida,2008,129191008,5747200,134938208,95.74,4.26
98,Florida,2009,132473467,6089300,138562767,95.61,4.39
98,Florida,2010,123288702,6596500,129885202,94.92,5.08
98,Florida,2011,121575325,6497700,128073025,94.93,5.07
98,Florida,2012,126385031,6517200,132902231,95.1,4.9
98,Florida,2013,119545425,6575500,126120925,94.79,5.21
98,Florida,2014,119887568,6479000,126366568,94.87,5.13
98,Florida,2015,125242645,7216100,132458745,94.55,5.45
98,Florida,2016,125126992,7441800,132568792,94.39,5.61
99,Foxborough,2003,1608167670,494679900,2102847570,76.48,23.52
99,Foxborough,2004,2123625390,530346604,2653971994,80.02,19.98
99,Foxborough,2005,2204719990,531234704,2735954694,80.58,19.42
99,Foxborough,2006,2512856522,539666304,3052522826,82.32,17.68
99,Foxborough,2007,2738599190,558212304,3296811494,83.07,16.93
99,Foxborough,2008,2681133380,558523900,3239657280,82.76,17.24
99,Foxborough,2009,2733832700,575335400,3309168100,82.61,17.39
99,Foxborough,2010,2789786250,730184600,3519970850,79.26,20.74
99,Foxborough,2011,2673488160,726744700,3400232860,78.63,21.37
99,Foxborough,2012,2596958660,713827500,3310786160,78.44,21.56
99,Foxborough,2013,2604132810,715421200,3319554010,78.45,21.55
99,Foxborough,2014,2558998750,759556800,3318555550,77.11,22.89
99,Foxborough,2015,2624494720,763355100,3387849820,77.47,22.53
99,Foxborough,2016,2798264830,711129200,3509394030,79.74,20.26
100,Framingham,2003,6806756950,708849600,7515606550,90.57,9.43
100,Framingham,2004,6869312590,766315700,7635628290,89.96,10.04
100,Framingham,2005,7762568967,829102500,8591671467,90.35,9.65
100,Framingham,2006,8591290114,1164244700,9755534814,88.07,11.93
100,Framingham,2007,8741437605,1176788600,9918226205,88.14,11.86
100,Framingham,2008,8801392729,1180141000,9981533729,88.18,11.82
100,Framingham,2009,8734450587,1022843800,9757294387,89.52,10.48
100,Framingham,2010,7934481314,1004629600,8939110914,88.76,11.24
100,Framingham,2011,7459613764,969230400,8428844164,88.5,11.5
100,Framingham,2012,7529736477,1007711490,8537447967,88.2,11.8
100,Framingham,2013,7268634368,985636292,8254270660,88.06,11.94
100,Framingham,2014,7241593787,989719737,8231313524,87.98,12.02
100,Framingham,2015,7609478571,990822150,8600300721,88.48,11.52
100,Framingham,2016,7945015743,989803500,8934819243,88.92,11.08
101,Franklin,2003,3359725043,383051200,3742776243,89.77,10.23
101,Franklin,2004,3471338018,258297200,3729635218,93.07,6.93
101,Franklin,2005,4384841417,285412400,4670253817,93.89,6.11
101,Franklin,2006,4715004021,296034300,5011038321,94.09,5.91
101,Franklin,2007,4991836869,312654200,5304491069,94.11,5.89
101,Franklin,2008,4751983617,292475100,5044458717,94.2,5.8
101,Franklin,2009,4524655832,357377400,4882033232,92.68,7.32
101,Franklin,2010,4354757148,350283700,4705040848,92.56,7.44
101,Franklin,2011,4192296244,374945400,4567241644,91.79,8.21
101,Franklin,2012,4108754893,372383400,4481138293,91.69,8.31
101,Franklin,2013,4078795875,367872000,4446667875,91.73,8.27
101,Franklin,2014,4256595007,374997200,4631592207,91.9,8.1
101,Franklin,2015,4433084163,381195000,4814279163,92.08,7.92
101,Franklin,2016,4666897901,386145200,5053043101,92.36,7.64
102,Freetown,2003,616828390,51240300,668068690,92.33,7.67
102,Freetown,2004,935911120,81641120,1017552240,91.98,8.02
102,Freetown,2005,1061095420,85558600,1146654020,92.54,7.46
102,Freetown,2006,1182366620,88230200,1270596820,93.06,6.94
102,Freetown,2007,1404758630,98212100,1502970730,93.47,6.53
102,Freetown,2008,1362045960,96304900,1458350860,93.4,6.6
102,Freetown,2009,1285818070,94327600,1380145670,93.17,6.83
102,Freetown,2010,1260402840,93930000,1354332840,93.06,6.94
102,Freetown,2011,1174458580,87318000,1261776580,93.08,6.92
102,Freetown,2012,1138270520,85015200,1223285720,93.05,6.95
102,Freetown,2013,1115773180,83233700,1199006880,93.06,6.94
102,Freetown,2014,1127065820,81327500,1208393320,93.27,6.73
102,Freetown,2015,1176489390,84002800,1260492190,93.34,6.66
102,Freetown,2016,1207543980,84103900,1291647880,93.49,6.51
103,Gardner,2003,753946326,181716400,935662726,80.58,19.42
103,Gardner,2004,767484204,181228100,948712304,80.9,19.1
103,Gardner,2005,1161056691,205528400,1366585091,84.96,15.04
103,Gardner,2006,1241424847,208495200,1449920047,85.62,14.38
103,Gardner,2007,1367293238,220369300,1587662538,86.12,13.88
103,Gardner,2008,1369562761,218144100,1587706861,86.26,13.74
103,Gardner,2009,1314109925,215135200,1529245125,85.93,14.07
103,Gardner,2010,1202156961,213690500,1415847461,84.91,15.09
103,Gardner,2011,1199552248,229833100,1429385348,83.92,16.08
103,Gardner,2012,1185079903,224140900,1409220803,84.09,15.91
103,Gardner,2013,1181385479,222820600,1404206079,84.13,15.87
103,Gardner,2014,1136149615,271453500,1407603115,80.72,19.28
103,Gardner,2015,1131686711,306260500,1437947211,78.7,21.3
103,Gardner,2016,1139021076,304147600,1443168676,78.93,21.07
104,Aquinnah,2003,412939183,30941500,443880683,93.03,6.97
104,Aquinnah,2004,411056199,38476300,449532499,91.44,8.56
104,Aquinnah,2005,555721126,52862900,608584026,91.31,8.69
104,Aquinnah,2006,561915016,52378200,614293216,91.47,8.53
104,Aquinnah,2007,565687496,53462100,619149596,91.37,8.63
104,Aquinnah,2008,732608899,84966700,817575599,89.61,10.39
104,Aquinnah,2009,717848401,84751000,802599401,89.44,10.56
104,Aquinnah,2010,709977649,85990600,795968249,89.2,10.8
104,Aquinnah,2011,716594632,85852900,802447532,89.3,10.7
104,Aquinnah,2012,717554731,72492800,790047531,90.82,9.18
104,Aquinnah,2013,723005048,72384200,795389248,90.9,9.1
104,Aquinnah,2014,732344872,77198400,809543272,90.46,9.54
104,Aquinnah,2015,702216122,75183600,777399722,90.33,9.67
104,Aquinnah,2016,699053296,80104700,779157996,89.72,10.28
105,Georgetown,2003,724026051,47886100,771912151,93.8,6.2
105,Georgetown,2004,985584866,73228400,1058813266,93.08,6.92
105,Georgetown,2005,1109606050,79079800,1188685850,93.35,6.65
105,Georgetown,2006,1212437847,79050300,1291488147,93.88,6.12
105,Georgetown,2007,1286613330,91086000,1377699330,93.39,6.61
105,Georgetown,2008,1308396403,93866600,1402263003,93.31,6.69
105,Georgetown,2009,1254652019,94591900,1349243919,92.99,7.01
105,Georgetown,2010,1229804525,84944400,1314748925,93.54,6.46
105,Georgetown,2011,1141434764,117351900,1258786664,90.68,9.32
105,Georgetown,2012,1141935424,97568100,1239503524,92.13,7.87
105,Georgetown,2013,1133292513,92942100,1226234613,92.42,7.58
105,Georgetown,2014,1128703635,92860000,1221563635,92.4,7.6
105,Georgetown,2015,1135603984,93578600,1229182584,92.39,7.61
105,Georgetown,2016,1177518482,94038000,1271556482,92.6,7.4
106,Gill,2003,83896321,50416600,134312921,62.46,37.54
106,Gill,2004,84750245,50374200,135124445,62.72,37.28
106,Gill,2005,112177575,56753300,168930875,66.4,33.6
106,Gill,2006,109620751,57738500,167359251,65.5,34.5
106,Gill,2007,119505709,59003200,178508909,66.95,33.05
106,Gill,2008,157280213,65642200,222922413,70.55,29.45
106,Gill,2009,146973132,65048300,212021432,69.32,30.68
106,Gill,2010,148862559,65045500,213908059,69.59,30.41
106,Gill,2011,152225205,65388900,217614105,69.95,30.05
106,Gill,2012,151905656,64900100,216805756,70.07,29.93
106,Gill,2013,149216042,64364900,213580942,69.86,30.14
106,Gill,2014,142105491,63876500,205981991,68.99,31.01
106,Gill,2015,143353073,65161200,208514273,68.75,31.25
106,Gill,2016,147336608,65367500,212704108,69.27,30.73
107,Gloucester,2003,3798079634,356249266,4154328900,91.42,8.58
107,Gloucester,2004,4511048769,386598325,4897647094,92.11,7.89
107,Gloucester,2005,5117741080,434918300,5552659380,92.17,7.83
107,Gloucester,2006,5567475330,440002700,6007478030,92.68,7.32
107,Gloucester,2007,5864518784,432679100,6297197884,93.13,6.87
107,Gloucester,2008,5766744290,400119900,6166864190,93.51,6.49
107,Gloucester,2009,5674893000,396083400,6070976400,93.48,6.52
107,Gloucester,2010,5381431000,388743200,5770174200,93.26,6.74
107,Gloucester,2011,5288079920,387674500,5675754420,93.17,6.83
107,Gloucester,2012,5135946590,408554700,5544501290,92.63,7.37
107,Gloucester,2013,5113775160,407296500,5521071660,92.62,7.38
107,Gloucester,2014,5164191030,433792400,5597983430,92.25,7.75
107,Gloucester,2015,5327860200,441123600,5768983800,92.35,7.65
107,Gloucester,2016,5536759220,450398600,5987157820,92.48,7.52
108,Goshen,2003,82048510,6367400,88415910,92.8,7.2
