"Municipal","F_year","Total Budget","Residential","Open Space","Commercial","Industrial","Personal Property","Total Levy"
"Palmer","2013",32886919.15,12741286,0,1136205,743242,744196,15364929
"Paxton","2003",7845600.87,5065414,72912,157510,45058,65439,5406333
"Paxton","2004",8376313.72,5491098,60024,144054,44044,61860,5801080
"Paxton","2005",9131845.86,5893764,79976,174359,48660,55417,6252176
"Paxton","2006",9728771.83,6089380,85465,179129,45474,56179,6455627
"Paxton","2007",9934227.05,6349869,0,168095,46393,44944,6609301
"Paxton","2008",10355741.3,6658357,0,175933,48461,60163,6942914
"Paxton","2009",10589696.49,6845155,0,187044,47191,76551,7155941
"Paxton","2010",11422228.92,7863265,0,179058,72000,76065,8190388
"Paxton","2011",11240508.33,7741188,0,183518,73449,144693,8142848
"Paxton","2012",11653864.22,7933618,0,193491,76893,180432,8384434
"Paxton","2013",11785584.2,8197518,0,205673,83665,165129,8651985
"Peabody","2003",121186964.92,35893317,0,16976349,5200828,1222217,59292711
"Peabody","2004",121723646.41,39439159,0,16198173,5558204,1028977,62224513
"Peabody","2005",124551413.91,41004772,0,17306191,5986187,1365260,65662410
"Peabody","2006",131557057.02,43370848,0,17552747,5789132,1365350,68078077
"Peabody","2007",142186700.87,46550066,0,17721450,5900467,1437459,71609442
"Peabody","2008",143564569.21,48407127,0,19490044,6404168,1751617,76052956
"Peabody","2009",146540026.4,49778122,0,20514207,6880863,2035902,79209094
"Peabody","2010",146957020.36,50866065,0,22549665,6926838,2348903,82691471
"Peabody","2011",148699190.76,53748658,0,23619724,6785833,2751974,86906189
"Peabody","2012",150520556.81,54701729,0,24936093,5744823,2899220,88281865
"Peabody","2013",151781283.52,56653072,0,25720454,5595009,2647922,90616457
"Pelham","2003",2975674.89,1994501,0,17292,14843,77637,2104273
"Pelham","2004",3198405.25,2185860,0,18603,16349,80579,2301391
"Pelham","2005",2902369.88,2067300,0,12658,14494,59032,2153484
"Pelham","2006",3819272.71,2765489,0,16138,19019,65425,2866071
"Pelham","2007",3782257.77,2741893,0,16932,18435,56989,2834249
"Pelham","2008",4061638.51,2797465,0,24459,14089,54990,2891003
"Pelham","2009",4550739.83,3066198,0,24419,15161,67208,3172986
"Pelham","2010",4852610.6,3135982,0,24701,15396,86418,3262497
"Pelham","2011",4943234.06,3106264,0,24622,15279,94589,3240754
"Pelham","2012",5204209.81,3159857,0,23789,15934,136325,3335905
"Pelham","2013",5562725.39,3221262,0,24952,16250,132138,3394602
"Pembroke","2003",40957845.82,18200637,0,1683538,658393,262745,20805313
"Pembroke","2004",42133085.66,19987418,0,1678792,664645,281725,22612580
"Pembroke","2005",42386516.19,20625773,0,1738555,611659,233916,23209903
"Pembroke","2006",45698537.41,22328289,0,1892762,623583,238782,25083416
"Pembroke","2007",49876327.41,24502797,0,1962820,618606,244765,27328988
"Pembroke","2008",51350415.6,25294424,0,2193146,686811,275345,28449726
"Pembroke","2009",53993248.46,25902646,0,2365519,760352,356568,29385085
"Pembroke","2010",54533751.69,26359496,0,2590352,827684,436894,30214426
"Pembroke","2011",54908438.4,26962235,0,2723211,894371,529331,31109148
"Pembroke","2012",56827292.08,27857219,0,2785156,926038,461991,32030404
"Pembroke","2013",57680412.04,28252660,0,2896612,972579,473300,32595151
"Pepperell","2003",17425568.31,10015395,0,281609,178868,297825,10773697
"Pepperell","2004",18360567.78,10319561,0,304847,190428,322042,11136878
"Pepperell","2005",19775605.42,11023308,0,293270,175037,156537,11648152
"Pepperell","2006",21147362.92,11643051,0,307913,191887,171339,12314190
"Pepperell","2007",20994120.43,12216475,0,301068,189124,156924,12863591
"Pepperell","2008",22492375.62,12554954,0,307424,250535,137179,13250092
"Pepperell","2009",22842894.18,12921585,0,322317,270156,172982,13687040
"Pepperell","2010",22909010.37,13864278,0,373714,336626,233765,14808383
"Pepperell","2011",22841606.45,14307348,0,363582,321929,243304,15236163
"Pepperell","2012",24300043.07,14753215,0,367193,335328,242187,15697923
"Pepperell","2013",24800343.77,15441429,0,396368,351771,263690,16453258
"Peru","2003",1205530.54,752673,0,42160,5706,24998,825537
"Peru","2004",1282600.29,836900,0,49553,6156,28982,921591
"Peru","2005",1411545.22,857036,0,52669,5656,25073,940434
"Peru","2006",1468994.74,1037384,0,73020,6246,26442,1143092
"Peru","2007",1700871.75,1062560,0,73170,6296,28108,1170134
"Peru","2008",1731966.47,1132174,0,69503,5589,25446,1232712
"Peru","2009",1860258.2,1143230,0,77177,5702,31825,1257934
"Peru","2010",1972463.46,1207090,0,61732,6032,38458,1313312
"Peru","2011",1925151.86,1295428,0,51350,5800,38665,1391243
"Peru","2012",1948004.28,1270416,0,53292,5886,42356,1371950
"Peru","2013",2099149.05,1330176,0,58550,7082,45506,1441314
"Petersham","2003",2772362.51,1476023,0,78807,7632,54076,1616538
"Petersham","2004",3109010.42,1570778,0,69251,2911,44875,1687815
"Petersham","2005",2879881.76,1674988,0,72796,3051,44686,1795521
"Petersham","2006",3038294.77,1359449,0,57676,2450,35222,1454797
"Petersham","2007",3169078.29,1581667,0,66236,2046,32231,1682180
"Petersham","2008",3370785.78,1712214,0,76975,2164,37887,1829240
"Petersham","2009",3591796.62,1810609,0,66484,2215,57412,1936720
"Petersham","2010",3560344.58,1926094,0,56889,2131,63446,2048560
"Petersham","2011",4080667.03,1979611,0,59261,2270,85184,2126326
"Petersham","2012",3855165.84,2033831,0,63143,2337,139164,2238475
"Petersham","2013",4296104.52,2107017,0,68240,2243,178507,2356007
"Phillipston","2003",2237935.63,1376188,6883,58451,4132,32352,1478006
"Phillipston","2004",2363631.37,1515432,6722,60210,3347,25581,1611292
