Region,All_Filings_Total,All_Filings_Chapter_7,All_Filings_Chapter_11,All_Filings_Chapter_12,All_Filings_Chapter_13,Business_Filings_Total,Business_Filings_Chapter_7,Business_Filings_Chapter_11,Business_Filings_Chapter_12,Business_Filings_Chapter_13,Personal_Filings_Total,Personal_Filings_Chapter_7,Personal_Filings_Chapter_11,Personal_Filings_Chapter_13,Year,Percentage_of_Chapter_7_in_Business_Filings,Percentage_of_Chapter_11_in_Business_Filings,Percentage_of_Chapter_12_in_Business_Filings,Percentage_of_Chapter_13_in_Business_Filings,Percentage_of_Chapter_7_in_Personal_Filings,Percentage_of_Chapter_11_in_Personal_Filings,Percentage_of_Chapter_13_in_Personal_Filings
Plymouth County,877,559,6,0,312,35,25,6,0,4,842,534,0,308,2015,71.4,17.1,0,11.4,63.4,0,36.6
Suffolk County,716,474,33,0,209,41,19,21,0,1,675,455,12,208,2015,46.3,51.2,0,2.4,67.4,1.8,30.8
Worcester County,1422,1069,7,0,346,44,33,7,0,4,1378,1036,0,342,2015,75,15.9,0,9.1,75.2,0,24.8
United States,794960,490365,7292,461,296655,24114,15033,6174,461,2259,770846,475332,1118,294396,2016,62.3,25.6,1.9,9.4,61.7,0.1,38.2
MA,8579,5776,128,12,2663,413,276,98,12,27,8166,5500,30,2636,2016,66.8,23.7,2.9,6.5,67.4,0.4,32.3
Barnstable County,415,234,8,0,173,22,15,7,0,0,393,219,1,173,2016,68.2,31.8,0,0,55.7,0.3,44
Berkshire County,146,118,0,0,28,8,7,0,0,1,138,111,0,27,2016,87.5,0,0,12.5,80.4,0,19.6
Bristol County,1076,735,11,9,321,47,22,11,9,5,1029,713,0,316,2016,46.8,23.4,19.1,10.6,69.3,0,30.7
Dukes County,10,5,0,0,5,0,NA,NA,NA,NA,10,5,0,5,2016,NA,NA,NA,NA,50,0,50
Essex County,1063,733,15,0,315,60,41,10,0,9,1003,692,5,306,2016,68.3,16.7,0,15,69,0.5,30.5
Franklin County,99,81,0,1,17,3,1,0,1,1,96,80,0,16,2016,33.3,0,33.3,33.3,83.3,0,16.7
Hampden County,725,561,2,0,162,21,19,2,0,0,704,542,0,162,2016,90.5,9.5,0,0,77,0,23
Hampshire County,174,144,0,0,30,9,9,0,0,0,165,135,0,30,2016,100,0,0,0,81.8,0,18.2
Middlesex County,1268,879,22,0,367,83,62,16,0,5,1185,817,6,362,2016,74.7,19.3,0,6,68.9,0.5,30.5
Nantucket County,7,3,0,0,4,0,NA,NA,NA,NA,7,3,0,4,2016,NA,NA,NA,NA,42.9,0,57.1
Norfolk County,764,447,21,0,296,49,31,16,0,2,715,416,5,294,2016,63.3,32.7,0,4.1,58.2,0.7,41.1
Plymouth County,915,517,8,1,389,23,15,6,1,1,892,502,2,388,2016,65.2,26.1,4.3,4.3,56.3,0.2,43.5
Suffolk County,659,433,27,0,199,44,25,18,0,1,615,408,9,198,2016,56.8,40.9,0,2.3,66.3,1.5,32.2
Worcester County,1236,873,14,1,348,43,28,12,1,2,1193,845,2,346,2016,65.1,27.9,2.3,4.7,70.8,0.2,29
United States,789020,486347,7442,501,294637,23157,14157,6350,501,2056,765863,472190,1092,292581,2017,61.1,27.4,2.2,8.9,61.7,0.1,38.2
MA,8517,5470,103,11,2932,337,227,69,11,29,8180,5243,34,2903,2017,67.4,20.5,3.3,8.6,64.1,0.4,35.5
Barnstable County,441,224,2,2,213,12,8,1,2,1,429,216,1,212,2017,66.7,8.3,16.7,8.3,50.3,0.2,49.4
Berkshire County,125,102,0,0,23,6,6,0,0,0,119,96,0,23,2017,100,0,0,0,80.7,0,19.3
Bristol County,1070,692,2,7,369,32,18,2,7,5,1038,674,0,364,2017,56.2,6.2,21.9,15.6,64.9,0,35.1
Dukes County,7,3,0,0,4,0,NA,NA,NA,NA,7,3,0,4,2017,NA,NA,NA,NA,42.9,0,57.1
Essex County,1042,691,5,0,346,33,27,2,0,4,1009,664,3,342,2017,81.8,6.1,0,12.1,65.8,0.3,33.9
Franklin County,110,92,0,1,17,3,1,0,1,1,107,91,0,16,2017,33.3,0,33.3,33.3,85,0,15
Hampden County,734,549,1,0,184,16,14,1,0,1,718,535,0,183,2017,87.5,6.2,0,6.2,74.5,0,25.5
Hampshire County,149,122,0,0,27,6,6,0,0,0,143,116,0,27,2017,100,0,0,0,81.1,0,18.9
Middlesex County,1317,877,27,0,413,70,50,14,0,6,1247,827,13,407,2017,71.4,20,0,8.6,66.3,1,32.6
Nantucket County,3,1,1,0,1,1,0,1,0,0,2,1,0,1,2017,0,100,0,0,50,0,50
Norfolk County,701,366,13,0,322,40,30,9,0,1,661,336,4,321,2017,75,22.5,0,2.5,50.8,0.6,48.6
Plymouth County,914,480,11,0,423,38,26,8,0,4,876,454,3,419,2017,68.4,21.1,0,10.5,51.8,0.3,47.8
Suffolk County,637,385,30,0,222,44,18,23,0,3,593,367,7,219,2017,40.9,52.3,0,6.8,61.9,1.2,36.9
Worcester County,1255,877,10,1,367,34,23,7,1,3,1221,854,3,364,2017,67.6,20.6,2.9,8.8,69.9,0.2,29.8
United States,773418,475575,7095,498,290146,22232,13678,6078,498,1874,751186,461897,1017,288272,2018,61.5,27.3,2.2,8.4,61.5,0.1,38.4
