"","Municipal","County","State","Region","Geography","Five_Year_Average","Estimate; Median household income in the past 12 months (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Lowest Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Second Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Third Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Fourth Quintile (inflation-adjusted dollars)","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars)","Estimate; Quintile Means: - Lowest Quintile","Estimate; Quintile Means: - Second Quintile","Estimate; Quintile Means: - Third Quintile","Estimate; Quintile Means: - Fourth Quintile","Estimate; Quintile Means: - Highest Quintile","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars).1"
"1","Barnstable","Barnstable County","MA","Barnstable","Barnstable Town city, Barnstable County, Massachusetts",2009,62671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bourne","Barnstable County","MA","Bourne","Bourne town, Barnstable County, Massachusetts",2009,61914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Brewster","Barnstable County","MA","Brewster","Brewster town, Barnstable County, Massachusetts",2009,57857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Chatham","Barnstable County","MA","Chatham","Chatham town, Barnstable County, Massachusetts",2009,64824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Dennis","Barnstable County","MA","Dennis","Dennis town, Barnstable County, Massachusetts",2009,50694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Eastham","Barnstable County","MA","Eastham","Eastham town, Barnstable County, Massachusetts",2009,55675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Falmouth","Barnstable County","MA","Falmouth","Falmouth town, Barnstable County, Massachusetts",2009,62686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Harwich","Barnstable County","MA","Harwich","Harwich town, Barnstable County, Massachusetts",2009,53607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Mashpee","Barnstable County","MA","Mashpee","Mashpee town, Barnstable County, Massachusetts",2009,59856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Barnstable County","MA","Barnstable County","Barnstable County, Massachusetts",2009,60096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Orleans","Barnstable County","MA","Orleans","Orleans town, Barnstable County, Massachusetts",2009,55919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Provincetown","Barnstable County","MA","Provincetown","Provincetown town, Barnstable County, Massachusetts",2009,43958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Sandwich","Barnstable County","MA","Sandwich","Sandwich town, Barnstable County, Massachusetts",2009,79369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Truro","Barnstable County","MA","Truro","Truro town, Barnstable County, Massachusetts",2009,57057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Wellfleet","Barnstable County","MA","Wellfleet","Wellfleet town, Barnstable County, Massachusetts",2009,63042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Yarmouth","Barnstable County","MA","Yarmouth","Yarmouth town, Barnstable County, Massachusetts",2009,50927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Adams","Berkshire County","MA","Adams","Adams town, Berkshire County, Massachusetts",2009,39768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Alford","Berkshire County","MA","Alford","Alford town, Berkshire County, Massachusetts",2009,80208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Becket","Berkshire County","MA","Becket","Becket town, Berkshire County, Massachusetts",2009,44135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Cheshire","Berkshire County","MA","Cheshire","Cheshire town, Berkshire County, Massachusetts",2009,57794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Clarksburg","Berkshire County","MA","Clarksburg","Clarksburg town, Berkshire County, Massachusetts",2009,57454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Dalton","Berkshire County","MA","Dalton","Dalton town, Berkshire County, Massachusetts",2009,54734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Egremont","Berkshire County","MA","Egremont","Egremont town, Berkshire County, Massachusetts",2009,54914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Florida","Berkshire County","MA","Florida","Florida town, Berkshire County, Massachusetts",2009,53850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Great Barrington","Berkshire County","MA","Great Barrington","Great Barrington town, Berkshire County, Massachusetts",2009,54489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Hancock","Berkshire County","MA","Hancock","Hancock town, Berkshire County, Massachusetts",2009,67386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Hinsdale","Berkshire County","MA","Hinsdale","Hinsdale town, Berkshire County, Massachusetts",2009,62917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Lanesborough","Berkshire County","MA","Lanesborough","Lanesborough town, Berkshire County, Massachusetts",2009,64054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Lee","Berkshire County","MA","Lee","Lee town, Berkshire County, Massachusetts",2009,48860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Lenox","Berkshire County","MA","Lenox","Lenox town, Berkshire County, Massachusetts",2009,59522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Monterey","Berkshire County","MA","Monterey","Monterey town, Berkshire County, Massachusetts",2009,39643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Mount Washington","Berkshire County","MA","Mount Washington","Mount Washington town, Berkshire County, Massachusetts",2009,66250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"Berkshire County","MA","Berkshire County","Berkshire County, Massachusetts",2009,49907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","New Ashford","Berkshire County","MA","New Ashford","New Ashford town, Berkshire County, Massachusetts",2009,61339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Marlborough","Berkshire County","MA","New Marlborough","New Marlborough town, Berkshire County, Massachusetts",2009,56250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","North Adams","Berkshire County","MA","North Adams","North Adams city, Berkshire County, Massachusetts",2009,35020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Otis","Berkshire County","MA","Otis","Otis town, Berkshire County, Massachusetts",2009,64219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Peru","Berkshire County","MA","Peru","Peru town, Berkshire County, Massachusetts",2009,66927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Pittsfield","Berkshire County","MA","Pittsfield","Pittsfield city, Berkshire County, Massachusetts",2009,43507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Richmond","Berkshire County","MA","Richmond","Richmond town, Berkshire County, Massachusetts",2009,86202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Sandisfield","Berkshire County","MA","Sandisfield","Sandisfield town, Berkshire County, Massachusetts",2009,65357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Savoy","Berkshire County","MA","Savoy","Savoy town, Berkshire County, Massachusetts",2009,57031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Sheffield","Berkshire County","MA","Sheffield","Sheffield town, Berkshire County, Massachusetts",2009,49922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Stockbridge","Berkshire County","MA","Stockbridge","Stockbridge town, Berkshire County, Massachusetts",2009,55433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Tyringham","Berkshire County","MA","Tyringham","Tyringham town, Berkshire County, Massachusetts",2009,90625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Washington","Berkshire County","MA","Washington","Washington town, Berkshire County, Massachusetts",2009,70104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","West Stockbridge","Berkshire County","MA","West Stockbridge","West Stockbridge town, Berkshire County, Massachusetts",2009,71200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Williamstown","Berkshire County","MA","Williamstown","Williamstown town, Berkshire County, Massachusetts",2009,61406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Windsor","Berkshire County","MA","Windsor","Windsor town, Berkshire County, Massachusetts",2009,84205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Acushnet","Bristol County","MA","Acushnet","Acushnet town, Bristol County, Massachusetts",2009,60911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Attleboro","Bristol County","MA","Attleboro","Attleboro city, Bristol County, Massachusetts",2009,65949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Berkley","Bristol County","MA","Berkley","Berkley town, Bristol County, Massachusetts",2009,84337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Dartmouth","Bristol County","MA","Dartmouth","Dartmouth town, Bristol County, Massachusetts",2009,69263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Dighton","Bristol County","MA","Dighton","Dighton town, Bristol County, Massachusetts",2009,83503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Easton","Bristol County","MA","Easton","Easton town, Bristol County, Massachusetts",2009,84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Fairhaven","Bristol County","MA","Fairhaven","Fairhaven town, Bristol County, Massachusetts",2009,55309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Fall River","Bristol County","MA","Fall River","Fall River city, Bristol County, Massachusetts",2009,35814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Freetown","Bristol County","MA","Freetown","Freetown town, Bristol County, Massachusetts",2009,87700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Mansfield","Bristol County","MA","Mansfield","Mansfield town, Bristol County, Massachusetts",2009,94329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"Bristol County","MA","Bristol County","Bristol County, Massachusetts",2009,55789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","New Bedford","Bristol County","MA","New Bedford","New Bedford city, Bristol County, Massachusetts",2009,36775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","North Attleborough","Bristol County","MA","North Attleborough","North Attleborough town, Bristol County, Massachusetts",2009,76165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Norton","Bristol County","MA","Norton","Norton town, Bristol County, Massachusetts",2009,75108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Raynham","Bristol County","MA","Raynham","Raynham town, Bristol County, Massachusetts",2009,77895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Rehoboth","Bristol County","MA","Rehoboth","Rehoboth town, Bristol County, Massachusetts",2009,84679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Seekonk","Bristol County","MA","Seekonk","Seekonk town, Bristol County, Massachusetts",2009,79127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Somerset","Bristol County","MA","Somerset","Somerset town, Bristol County, Massachusetts",2009,65171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Swansea","Bristol County","MA","Swansea","Swansea town, Bristol County, Massachusetts",2009,67595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Taunton","Bristol County","MA","Taunton","Taunton city, Bristol County, Massachusetts",2009,55090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Westport","Bristol County","MA","Westport","Westport town, Bristol County, Massachusetts",2009,62761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Aquinnah","Dukes County","MA","Aquinnah","Aquinnah town, Dukes County, Massachusetts",2009,44028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Chilmark","Dukes County","MA","Chilmark","Chilmark town, Dukes County, Massachusetts",2009,82813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Edgartown","Dukes County","MA","Edgartown","Edgartown town, Dukes County, Massachusetts",2009,69286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Gosnold","Dukes County","MA","Gosnold","Gosnold town, Dukes County, Massachusetts",2009,52500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,"Dukes County","MA","Dukes County","Dukes County, Massachusetts",2009,62472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Oak Bluffs","Dukes County","MA","Oak Bluffs","Oak Bluffs town, Dukes County, Massachusetts",2009,57442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Tisbury","Dukes County","MA","Tisbury","Tisbury town, Dukes County, Massachusetts",2009,55633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","West Tisbury","Dukes County","MA","West Tisbury","West Tisbury town, Dukes County, Massachusetts",2009,73791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Amesbury","Essex County","MA","Amesbury","Amesbury town, Essex County, Massachusetts",2009,70522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Andover","Essex County","MA","Andover","Andover town, Essex County, Massachusetts",2009,111851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Beverly","Essex County","MA","Beverly","Beverly city, Essex County, Massachusetts",2009,68407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Boxford","Essex County","MA","Boxford","Boxford town, Essex County, Massachusetts",2009,160691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Danvers","Essex County","MA","Danvers","Danvers town, Essex County, Massachusetts",2009,75774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Essex","Essex County","MA","Essex","Essex town, Essex County, Massachusetts",2009,76594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Georgetown","Essex County","MA","Georgetown","Georgetown town, Essex County, Massachusetts",2009,98884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Gloucester","Essex County","MA","Gloucester","Gloucester city, Essex County, Massachusetts",2009,63158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Groveland","Essex County","MA","Groveland","Groveland town, Essex County, Massachusetts",2009,84274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Hamilton","Essex County","MA","Hamilton","Hamilton town, Essex County, Massachusetts",2009,98525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Haverhill","Essex County","MA","Haverhill","Haverhill city, Essex County, Massachusetts",2009,60535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Ipswich","Essex County","MA","Ipswich","Ipswich town, Essex County, Massachusetts",2009,81651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Lawrence","Essex County","MA","Lawrence","Lawrence city, Essex County, Massachusetts",2009,32337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Lynn","Essex County","MA","Lynn","Lynn city, Essex County, Massachusetts",2009,41933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Lynnfield","Essex County","MA","Lynnfield","Lynnfield town, Essex County, Massachusetts",2009,87903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","Manchester-by-the-Sea town, Essex County, Massachusetts",2009,98319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Marblehead","Essex County","MA","Marblehead","Marblehead town, Essex County, Massachusetts",2009,93218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Merrimac","Essex County","MA","Merrimac","Merrimac town, Essex County, Massachusetts",2009,77400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Methuen","Essex County","MA","Methuen","Methuen city, Essex County, Massachusetts",2009,62387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Middleton","Essex County","MA","Middleton","Middleton town, Essex County, Massachusetts",2009,81463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,"Essex County","MA","Essex County","Essex County, Massachusetts",2009,64280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Nahant","Essex County","MA","Nahant","Nahant town, Essex County, Massachusetts",2009,81786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Newbury","Essex County","MA","Newbury","Newbury town, Essex County, Massachusetts",2009,80625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Newburyport","Essex County","MA","Newburyport","Newburyport city, Essex County, Massachusetts",2009,76148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","North Andover","Essex County","MA","North Andover","North Andover town, Essex County, Massachusetts",2009,94529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Peabody","Essex County","MA","Peabody","Peabody city, Essex County, Massachusetts",2009,65375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Rockport","Essex County","MA","Rockport","Rockport town, Essex County, Massachusetts",2009,64154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Rowley","Essex County","MA","Rowley","Rowley town, Essex County, Massachusetts",2009,72905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Salem","Essex County","MA","Salem","Salem city, Essex County, Massachusetts",2009,56782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Salisbury","Essex County","MA","Salisbury","Salisbury town, Essex County, Massachusetts",2009,54666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Saugus","Essex County","MA","Saugus","Saugus town, Essex County, Massachusetts",2009,68658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Swampscott","Essex County","MA","Swampscott","Swampscott town, Essex County, Massachusetts",2009,88261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Topsfield","Essex County","MA","Topsfield","Topsfield town, Essex County, Massachusetts",2009,115069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Wenham","Essex County","MA","Wenham","Wenham town, Essex County, Massachusetts",2009,130350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","West Newbury","Essex County","MA","West Newbury","West Newbury town, Essex County, Massachusetts",2009,116375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Ashfield","Franklin County","MA","Ashfield","Ashfield town, Franklin County, Massachusetts",2009,60375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Bernardston","Franklin County","MA","Bernardston","Bernardston town, Franklin County, Massachusetts",2009,59438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Buckland","Franklin County","MA","Buckland","Buckland town, Franklin County, Massachusetts",2009,50350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Charlemont","Franklin County","MA","Charlemont","Charlemont town, Franklin County, Massachusetts",2009,49792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Colrain","Franklin County","MA","Colrain","Colrain town, Franklin County, Massachusetts",2009,60028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Conway","Franklin County","MA","Conway","Conway town, Franklin County, Massachusetts",2009,78095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Deerfield","Franklin County","MA","Deerfield","Deerfield town, Franklin County, Massachusetts",2009,66703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Erving","Franklin County","MA","Erving","Erving town, Franklin County, Massachusetts",2009,49076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Gill","Franklin County","MA","Gill","Gill town, Franklin County, Massachusetts",2009,56066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Greenfield","Franklin County","MA","Greenfield","Greenfield town, Franklin County, Massachusetts",2009,45188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Hawley","Franklin County","MA","Hawley","Hawley town, Franklin County, Massachusetts",2009,76406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Heath","Franklin County","MA","Heath","Heath town, Franklin County, Massachusetts",2009,64531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Leverett","Franklin County","MA","Leverett","Leverett town, Franklin County, Massachusetts",2009,66630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Leyden","Franklin County","MA","Leyden","Leyden town, Franklin County, Massachusetts",2009,73523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Monroe","Franklin County","MA","Monroe","Monroe town, Franklin County, Massachusetts",2009,31071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Montague","Franklin County","MA","Montague","Montague town, Franklin County, Massachusetts",2009,41865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,"Franklin County","MA","Franklin County","Franklin County, Massachusetts",2009,52185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","New Salem","Franklin County","MA","New Salem","New Salem town, Franklin County, Massachusetts",2009,59267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Northfield","Franklin County","MA","Northfield","Northfield town, Franklin County, Massachusetts",2009,70064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Orange","Franklin County","MA","Orange","Orange town, Franklin County, Massachusetts",2009,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Rowe","Franklin County","MA","Rowe","Rowe town, Franklin County, Massachusetts",2009,51125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Shelburne","Franklin County","MA","Shelburne","Shelburne town, Franklin County, Massachusetts",2009,55197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Shutesbury","Franklin County","MA","Shutesbury","Shutesbury town, Franklin County, Massachusetts",2009,76250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Sunderland","Franklin County","MA","Sunderland","Sunderland town, Franklin County, Massachusetts",2009,49985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Warwick","Franklin County","MA","Warwick","Warwick town, Franklin County, Massachusetts",2009,66250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Wendell","Franklin County","MA","Wendell","Wendell town, Franklin County, Massachusetts",2009,65104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Whately","Franklin County","MA","Whately","Whately town, Franklin County, Massachusetts",2009,72868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Agawam","Hampden County","MA","Agawam","Agawam city, Hampden County, Massachusetts",2009,61944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Blandford","Hampden County","MA","Blandford","Blandford town, Hampden County, Massachusetts",2009,71042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Brimfield","Hampden County","MA","Brimfield","Brimfield town, Hampden County, Massachusetts",2009,74355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Chester","Hampden County","MA","Chester","Chester town, Hampden County, Massachusetts",2009,56125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Chicopee","Hampden County","MA","Chicopee","Chicopee city, Hampden County, Massachusetts",2009,42788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","East Longmeadow","Hampden County","MA","East Longmeadow","East Longmeadow town, Hampden County, Massachusetts",2009,78578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Granville","Hampden County","MA","Granville","Granville town, Hampden County, Massachusetts",2009,73571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Hampden","Hampden County","MA","Hampden","Hampden town, Hampden County, Massachusetts",2009,78659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Holland","Hampden County","MA","Holland","Holland town, Hampden County, Massachusetts",2009,73125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Holyoke","Hampden County","MA","Holyoke","Holyoke city, Hampden County, Massachusetts",2009,34496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Longmeadow","Hampden County","MA","Longmeadow","Longmeadow town, Hampden County, Massachusetts",2009,91132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Ludlow","Hampden County","MA","Ludlow","Ludlow town, Hampden County, Massachusetts",2009,61768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Monson","Hampden County","MA","Monson","Monson town, Hampden County, Massachusetts",2009,68661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Montgomery","Hampden County","MA","Montgomery","Montgomery town, Hampden County, Massachusetts",2009,61042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,"Hampden County","MA","Hampden County","Hampden County, Massachusetts",2009,47617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Palmer","Hampden County","MA","Palmer","Palmer town, Hampden County, Massachusetts",2009,51154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Russell","Hampden County","MA","Russell","Russell town, Hampden County, Massachusetts",2009,58917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Southwick","Hampden County","MA","Southwick","Southwick town, Hampden County, Massachusetts",2009,70423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Springfield","Hampden County","MA","Springfield","Springfield city, Hampden County, Massachusetts",2009,34113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Tolland","Hampden County","MA","Tolland","Tolland town, Hampden County, Massachusetts",2009,62788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Wales","Hampden County","MA","Wales","Wales town, Hampden County, Massachusetts",2009,60132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","West Springfield","Hampden County","MA","West Springfield","West Springfield city, Hampden County, Massachusetts",2009,51099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Westfield","Hampden County","MA","Westfield","Westfield city, Hampden County, Massachusetts",2009,52425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Wilbraham","Hampden County","MA","Wilbraham","Wilbraham town, Hampden County, Massachusetts",2009,90670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Amherst","Hampshire County","MA","Amherst","Amherst town, Hampshire County, Massachusetts",2009,44011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Belchertown","Hampshire County","MA","Belchertown","Belchertown town, Hampshire County, Massachusetts",2009,75068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Chesterfield","Hampshire County","MA","Chesterfield","Chesterfield town, Hampshire County, Massachusetts",2009,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
