FID,ORG_CODE,DISTRICT,MADISTTYPE,TOWN_REG,STARTGRADE,ENDGRADE,SHAPE
GISDATA.SCHOOLDISTRICTS_POLY_SV_ACA.272,06320000,Chesterfield-Goshen,Regional Academic,REGIONAL,PK,6,"MULTIPOLYGON (((88541.73250000179 915372.9345999993, 89099.51250000298 910428.3145999983, 86385.40250000358 910085.0645999983, 84425.28249999881 909825.4946000017, 85821.01250000298 899765.4345999993, 88302.11249999702 900084.694600001, 88413.43249999732 900098.1545999981, 88431.90250000358 900046.864599999, 88461.65250000358 900000.7045999989, 88513.97249999642 899980.1845999993, 88596.05250000209 899958.6345999986, 88648.36249999702 899966.8445999995, 88682.21249999851 899967.8746000007, 88722.2424999997 899965.8046000004, 88759.16250000149 899968.8946000002, 88781.7424999997 899977.1046000011, 88805.33250000328 899981.2045999989, 88826.87250000238 899985.3145999983, 88856.62250000238 899992.4946000017, 88890.48250000179 899989.4145999998, 88922.28249999881 899984.2846000008, 88967.43249999732 899967.8746000007, 88988.97249999642 899936.0745999999, 89000.25249999762 899915.5445999987, 89006.41250000149 899894.0045999996, 89032.26250000298 899776.3946000002, 89040.73250000179 899765.694600001, 89051.43249999732 899761.6845999993, 89063.91250000149 899767.4745999984, 89073.28249999881 899778.1746000014, 89090.22249999642 899824.5546000004, 89100.04249999672 899865.5846000016, 89111.6325000003 899907.0546000004, 89119.66250000149 899933.364599999, 89130.36249999702 899958.7745999992, 89151.7725000009 900010.944600001, 89159.78249999881 900045.2945999987, 89168.2725000009 900065.3546000011, 89176.30250000209 900086.3145999983, 89186.11249999702 900102.8245999999, 89201.71249999851 900120.6545999981, 89213.75249999762 900138.4846000001, 89228.91250000149 900153.6545999981, 89284.03249999881 900224.114599999, 89561.53249999881 900265.7446000017, 89573.62250000238 900246.8445999995, 89586.55250000209 900216.9745999984, 89590.5625 900183.0846000016, 89591.46249999851 900153.2045999989, 89592.34250000119 900124.6645999998, 89594.1325000003 900103.2745999992, 89599.93249999732 900074.7346000001, 89615.09250000119 900056.444600001, 89630.05250000209 900042.5645999983, 89650.3125 900027.4545999989, 89674.39249999821 900017.194600001, 89694.84250000119 900012.8145999983, 89720.7725000009 900010.5245999992, 89751.55250000209 900004.2646000013, 89776.5225000009 900004.2646000013, 89804.61249999702 900009.6246000007, 89831.36249999702 900014.0745999999, 89865.7025000006 900027.8946000002, 89886.6724999994 900042.1645999998, 89915.21249999851 900053.7545999996, 89937.94250000268 900057.3346000016, 89949.09250000119 900051.9745999984, 89965.15250000358 900037.7146000005, 89989.23250000179 900014.0745999999, 90011.5225000009 899992.2245999984, 90034.26250000298 899968.5945999995, 90059.23250000179 899940.944600001, 90080.73250000179 899918.944600001, 90097.59250000119 899903.9946000017, 90118.9924999997 899887.8845999986, 90124.5625 899887.0645999983, 90133.71249999851 899885.6446000002, 90150.2025000006 899890.114599999, 90175.62250000238 899898.1345999986, 90192.57249999791 899906.1645999998, 90214.87250000238 899912.8546000011, 90235.43249999732 899914.8746000007, 90264.12250000238 899922.6246000007, 90283.54249999672 899930.6845999993, 90309.40250000358 899934.2545999996, 90333.93249999732 899942.7245999984, 90358.01250000298 899943.614599999, 90378.08250000328 899932.9145999998, 90407.0625 899932.0245999992, 90433.82249999791 899933.8046000004, 90456.5625 899933.8046000004, 90484.21249999851 899938.2745999992, 90514.98250000179 899935.1446000002, 90535.9224999994 899939.1746000014, 90564.48250000179 899947.1845999993, 90586.32249999791 899953.444600001, 90612.19250000268 899958.7745999992, 90636.2725000009 899963.2446000017, 90657.23250000179 899958.7745999992, 90680.86249999702 899955.2146000005, 90706.72249999642 899946.2945999987, 90729.0225000009 899933.364599999, 90745.97249999642 899913.3046000004, 90751.32249999791 899898.5745999999, 90751.76250000298 899886.5346000008, 90746.86249999702 899866.9246000014, 90737.05250000209 899843.2846000008, 90724.12250000238 899828.5645999983, 90721.4525000006 899811.1845999993, 90733.93249999732 899792.9045999981, 90747.75249999762 899781.2945999987, 90765.05250000209 899773.3145999983, 90781.3125 899761.0045999996, 90803.50249999762 899753.2045999989, 90827.1325000003 899743.8346000016, 90840.51250000298 899731.3546000011, 90854.78249999881 899703.2646000013, 90870.82249999791 899672.4846000001, 90883.76250000298 899647.9646000005, 90902.05250000209 899617.2045999989, 90925.2424999997 899600.2646000013, 90939.9525000006 899596.2346000001, 90954.22249999642 899591.3346000016, 90958.2424999997 899583.7545999996, 90965.8125 899580.1845999993, 90973.40250000358 899583.7545999996, 90990.78249999881 899587.3145999983, 91011.30250000209 899588.6545999981, 91031.37250000238 899597.1246000007, 91049.65250000358 899610.9545999989, 91062.1325000003 899607.3845999986, 91094.28249999881 899566.8746000007, 91110.1325000003 899548.4646000005, 91119.78249999881 899536.3946000002, 91134.87250000238 899524.3245999999, 91134.53249999881 899536.2745999992, 91064.93249999732 901102.1246000007, 94790.6325000003 901648.194600001, 95159.75249999762 906450.9345999993, 95497.3825000003 911242.0146000013, 96530.9224999994 911358.1246000007, 96594.86249999702 912082.6845999993, 95867.7025000006 912012.0645999983, 95942.25249999762 912477.864599999, 96437.0225000009 912538.3746000007, 96511.93249999732 913030.0645999983, 96016.2424999997 912951.3746000007, 96063.83250000328 913340.444600001, 95260.29249999672 913560.7545999996, 95284.7424999997 913698.3145999983, 90519.47249999642 914906.0645999983, 90512.4525000006 914837.0546000004, 88541.73250000179 915372.9345999993)))"
GISDATA.SCHOOLDISTRICTS_POLY_SV_ACA.42,00680000,Conway,Local School,TOWN,PK,6,"MULTIPOLYGON (((103465.3524999991 923161.0445999987, 103437.3825000003 923156.6246000007, 103425.6724999994 923168.3245999999, 103403.4224999994 923195.2745999992, 103390.54249999672 923219.8546000011, 103372.98250000179 923244.4545999989, 103358.93249999732 923272.5546000004, 103344.87250000238 923293.6345999986, 103321.0225000009 923318.5945999995, 103309.82249999791 923335.8946000002, 103298.6325000003 923355.0846000016, 103288.66250000149 923365.0546000004, 103285.15250000358 923387.3145999983, 103266.80250000209 923396.1545999981, 103256.22249999642 923411.4646000005, 103243.75249999762 923429.4045999981, 103228.94250000268 923443.5146000013, 103213.72249999642 923458.7446000017, 103197.32249999791 923478.6446000002, 103187.96249999851 923500.9045999981, 103178.59250000119 923525.4846000001, 103166.8825000003 923558.2745999992, 103157.51250000298 923584.0346000008, 103147.05250000209 923612.2146000005, 103147.5225000009 923647.7745999992, 103142.29249999672 923668.3546000011, 103144.6325000003 923685.9246000014, 103145.80250000209 923708.1645999998, 103144.6325000003 923743.2945999987, 103139.94250000268 923785.4545999989, 103129.4224999994 923822.6446000002, 103125.90250000358 923867.4246000014, 103121.2025000006 923907.2346000001, 103124.72249999642 923945.8746000007, 103129.41250000149 923986.864599999, 103139.94250000268 924029.0245999992, 103146.98250000179 924077.0346000008, 103150.48250000179 924099.2745999992, 103150.48250000179 924122.7045999989, 103144.6325000003 924153.1446000002, 103134.55250000209 924175.5245999992, 103123.5625 924190.614599999, 103122.3825000003 924212.864599999, 103097.79249999672 924239.7945999987, 103067.3524999991 924255.0245999992, 103038.07249999791 924270.2446000017, 103008.80250000209 924272.5846000016, 102972.4924999997 924274.9246000014, 102936.39249999821 924263.7745999992, 102907.8125 924263.5245999992, 102875.30250000209 924257.364599999, 102848.36249999702 924251.5045999996, 102815.58250000328 924243.3145999983, 102785.1325000003 924240.9745999984, 102758.2025000006 924236.2846000008, 102730.09250000119 924233.944600001, 102703.1724999994 924231.6046000011, 102673.89249999821 924231.6046000011, 102644.62250000238 924232.7745999992, 102617.68249999732 924231.6046000011, 102588.41250000149 924236.2846000008, 102555.62250000238 924240.9745999984, 102525.16250000149 924249.1645999998, 102492.3825000003 924259.7045999989, 102423.33250000328 924291.9646000005, 102391.7424999997 924303.8445999995, 102360.22249999642 924318.8445999995, 102326.15250000358 924335.1446000002, 102299.7025000006 924350.0945999995, 102278.8125 924355.4646000005, 102261.7025000006 924365.1046000011, 102233.59250000119 924379.1545999981, 102200.80250000209 924392.0245999992, 102159.8125 924406.0846000016, 102128.4525000006 924408.1446000002, 102102.53249999881 924416.0846000016, 102081.65250000358 924418.8946000002, 102055.69250000268 924424.3346000016, 102022.1024999991 924428.5346000008, 102001.2025000006 924431.9646000005, 101973.28249999881 924432.3346000016, 101953.59250000119 924431.3346000016, 101934.9924999997 924430.6645999998, 101909.23250000179 924427.1545999981, 101881.12250000238 924424.8145999983, 101855.36249999702 924417.7945999987, 101835.4525000006 924413.1046000011, 101800.32249999791 924406.0846000016, 101753.48250000179 924392.0245999992, 101700.79249999672 924379.1545999981, 101653.94250000268 924367.444600001, 101608.28249999881 924356.8946000002, 101574.3125 924352.2146000005, 101542.7025000006 924347.5245999992, 101522.79249999672 924347.5245999992, 101498.2025000006 924340.5045999996, 101459.5625 924342.8445999995, 101427.94250000268 924347.5245999992, 101397.50249999762 924353.3946000002, 101370.57249999791 924362.7545999996, 101346.16250000149 924373.0945999995, 101327.21249999851 924381.0346000008, 101307.62250000238 924387.5846000016, 101288.6024999991 924393.194600001, 101257.82249999791 924412.9646000005, 101235.90250000358 924416.6246000007, 101213.65250000358 924428.3245999999, 101189.0625 924446.2146000005, 101167.6024999991 924454.1545999981, 101149.43249999732 924471.5245999992, 101127.54249999672 924497.2146000005, 101113.11249999702 924510.7146000005, 101094.9224999994 924527.4646000005, 101064.83250000328 924555.0846000016, 101052.40250000358 924576.8445999995, 101038.05250000209 924596.0945999995, 101021.82249999791 924617.2045999989, 101015.9924999997 924635.1246000007, 100999.76250000298 924665.4745999984, 100989.1724999994 924687.3546000011, 100979.28249999881 924714.8845999986, 100966.57249999791 924745.6746000014, 100953.1724999994 924766.4145999998, 100940.47249999642 924782.6446000002, 100929.89249999821 924803.8245999999, 100922.82249999791 924828.5245999992, 100917.8825000003 924856.0445999987, 100907.30250000209 924894.1645999998, 100900.2424999997 924935.1046000011, 100892.47249999642 924969.6845999993, 100885.4224999994 925012.0445999987, 100884.01250000298 925053.6746000014, 100880.47249999642 925084.0346000008, 100878.36249999702 925120.7346000001, 100876.2424999997 925182.8445999995, 100871.30250000209 925246.364599999, 100874.83250000328 925297.1845999993, 100883.28249999881 925309.1845999993, 100881.89249999821 925336.7146000005, 100886.12250000238 925384.0045999996, 100876.9525000006 925400.2346000001, 100872.00249999762 925499.0546000004, 100881.18249999732 925516.7045999989, 100875.53249999881 925533.6345999986, 100895.30250000209 925574.5745999999, 100896.71249999851 925609.1645999998, 100903.0625 925635.9846000001, 100902.37250000238 925650.8046000004, 100905.8825000003 925686.8046000004, 100905.8825000003 925743.9646000005, 100913.65250000358 925773.614599999, 100924.94250000268 925801.8445999995, 100923.53249999881 925820.194600001, 100910.12250000238 925857.6046000011, 100892.47249999642 925894.3046000004, 100870.59250000119 925911.2545999996, 100841.65250000358 925940.8946000002, 100795.07249999791 925968.4145999998, 100749.19250000268 925993.8245999999, 100695.55250000209 926004.4145999998, 100653.2025000006 926014.3046000004, 100610.8524999991 926027.0045999996, 100567.09250000119 926045.3546000011, 100528.2725000009 926069.3546000011, 100488.7424999997 926103.2346000001, 100459.80250000209 926115.2245999984, 100420.9924999997 926144.8746000007, 100374.40250000358 926180.1645999998, 100356.05250000209 926205.5745999999, 100333.46249999851 926214.0445999987, 100236.76250000298 926249.3445999995, 100223.3524999991 926272.6246000007, 100190.18249999732 926303.6845999993, 100159.12250000238 926338.9745999984, 100129.48250000179 926374.2745999992, 100110.09250000119 926413.3046000004, 100100.4924999997 926437.2846000008, 100086.91250000149 926466.864599999, 100070.9224999994 926509.2346000001, 100055.7424999997 926547.5945999995, 100042.94250000268 926588.364599999, 100036.55250000209 926626.7346000001, 100026.96249999851 926657.9145999998, 100014.97249999642 926696.2945999987, 99997.39249999821 926733.0546000004, 99981.40250000358 926764.2245999984, 99958.21249999851 926782.614599999, 99913.28249999881 926817.9745999984, 99720.8125 926798.2545999996, 98032.22249999642 926577.5945999995, 97736.96249999851 924492.7545999996, 97779.5625 924484.8946000002, 98746.50249999762 924306.5245999992, 96230.4224999994 913294.4246000014, 96063.83250000328 913340.444600001, 96016.2424999997 912951.3746000007, 96511.93249999732 913030.0645999983, 96437.0225000009 912538.3746000007, 95942.25249999762 912477.864599999, 95867.7025000006 912012.0645999983, 96594.86249999702 912082.6845999993, 96530.9224999994 911358.1246000007, 101220.82249999791 912072.3046000004, 104805.14249999821 912629.2646000013, 104947.90250000358 912946.364599999, 104818.69250000268 913476.6746000014, 104919.1325000003 913922.0645999983, 104380.00249999762 913843.944600001, 104546.2025000006 915039.1746000014, 105612.32249999791 920460.8245999999, 105623.7725000009 920510.5645999983, 105540.16250000149 920654.694600001, 105477.26250000298 920777.1545999981, 105391.78249999881 920921.1845999993, 105343.76250000298 921003.1545999981, 105315.66250000149 921083.9545999989, 105273.50249999762 921203.3946000002, 105259.4525000006 921250.2346000001, 105224.32249999791 921348.6046000011, 105086.4525000006 921707.6246000007, 105072.2725000009 921739.5045999996, 105061.6724999994 921756.1246000007, 105043.9924999997 921779.5245999992, 105021.6724999994 921802.3746000007, 104930.6724999994 921880.9345999993, 104864.79249999672 921940.7545999996, 104833.41250000149 921967.1845999993, 104756.21249999851 922032.9345999993, 104739.90250000358 922048.3046000004, 104717.3825000003 922074.6746000014, 104687.3125 922103.6246000007, 104654.75249999762 922138.9345999993, 104639.82249999791 922162.0045999996, 104626.25249999762 922193.1845999993, 104617.7424999997 922221.8746000007, 104608.5225000009 922244.1845999993, 104591.98250000179 922305.3046000004, 104582.62250000238 922329.9045999981, 104574.4224999994 922354.4946000017, 104560.37250000238 922381.4145999998, 104553.3524999991 922411.864599999, 104540.46249999851 922444.6545999981, 104525.25249999762 922475.0945999995, 104512.36249999702 922506.7245999984, 104505.33250000328 922523.114599999, 104498.76250000298 922543.1845999993, 104486.96249999851 922563.0645999983, 104478.39249999821 922587.3046000004, 104469.03249999881 922606.2545999996, 104458.50249999762 922629.6746000014, 104443.26250000298 922655.4345999993, 104428.05250000209 922678.8546000011, 104394.08250000328 922716.3245999999, 104342.5625 922749.114599999, 104272.30250000209 922780.7245999984, 104173.93249999732 922832.2545999996, 104114.22249999642 922872.0645999983, 104065.03249999881 922914.2245999984, 104033.4224999994 922936.4846000001, 103999.46249999851 922957.5546000004, 103973.69250000268 922979.8046000004, 103940.91250000149 922992.6845999993, 103888.2025000006 922991.5146000013, 103833.18249999732 922997.3746000007, 103789.54249999672 923003.9345999993, 103757.8524999991 923008.8046000004, 103713.7424999997 923013.7646000013, 103664.8524999991 923030.3145999983, 103636.4924999997 923045.8746000007, 103615.37250000238 923058.2545999996, 103581.40250000358 923074.6446000002, 103555.6325000003 923087.5245999992, 103526.36249999702 923106.2745999992, 103492.41250000149 923134.3746000007, 103465.3524999991 923161.0445999987)))"
