"","City/Town","Yes","No","Blank Votes","Total Votes Cast"
"327","W. Tisbury",400,1687,105,2192
"328","Westborough",2932,6501,343,9776
"329","Westfield",6666,11534,1106,19306
"330","Westford",4545,9070,456,14071
"331","Westhampton",304,811,21,1136
"332","Westminster",2055,2464,104,4623
"333","Weston",1473,4959,264,6696
"334","Westport",3942,4764,637,9343
"335","Westwood",2700,6395,399,9494
"336","Weymouth",13320,15296,1251,29867
"337","Whately",329,674,27,1030
"338","Whitman",4087,3702,272,8061
"339","Wilbraham",2200,5623,789,8612
"340","Williamsburg",312,1319,83,1714
"341","Williamstown",842,2565,216,3623
"342","Wilmington",5924,7044,627,13595
"343","Winchendon",2428,2011,179,4618
"344","Winchester",2973,9139,876,12988
"345","Windsor",204,319,13,536
"346","Winthrop",3636,5293,798,9727
"347","Woburn",8603,10640,1647,20890
"348","Worcester",27559,31616,7128,66303
"349","Worthington",162,583,18,763
"350","Wrentham",2333,4222,249,6804
"351","Yarmouth",5153,8313,821,14287
"352","TOTALS",1240877,1919893,218031,3378801
