"Municipal","County","Five.Year.Range","Median.Rent.2017.Dollar","Rent.Margin.of.Error.2017.Dollar"
"Plympton"," Plymouth ","2005-2009",891,1019
"Plympton"," Plymouth ","2006-2010",1241,1198
"Plympton"," Plymouth ","2007-2011",759,993
"Plympton"," Plymouth ","2008-2012",655,302
"Plympton"," Plymouth ","2009-2013",711,80
"Plympton"," Plymouth ","2010-2014",699,83
"Plympton"," Plymouth ","2011-2015",744,519
"Plympton"," Plymouth ","2012-2016",935,251
"Plympton"," Plymouth ","2013-2017",1120,198
"Rochester"," Plymouth ","2005-2009",793,950
"Rochester"," Plymouth ","2006-2010",777,1689
"Rochester"," Plymouth ","2007-2011",1905,1864
"Rochester"," Plymouth ","2008-2012",1595,749
"Rochester"," Plymouth ","2009-2013",977,864
"Rochester"," Plymouth ","2010-2014",988,605
"Rochester"," Plymouth ","2011-2015",1226,433
"Rochester"," Plymouth ","2012-2016",1299,319
"Rochester"," Plymouth ","2013-2017",1043,235
"Rockland"," Plymouth ","2005-2009",1170,148
"Rockland"," Plymouth ","2006-2010",1040,62
"Rockland"," Plymouth ","2007-2011",1101,69
"Rockland"," Plymouth ","2008-2012",1082,88
"Rockland"," Plymouth ","2009-2013",1127,73
"Rockland"," Plymouth ","2010-2014",1129,119
"Rockland"," Plymouth ","2011-2015",1146,104
"Rockland"," Plymouth ","2012-2016",1103,170
"Rockland"," Plymouth ","2013-2017",1124,141
"Scituate"," Plymouth ","2005-2009",1086,157
"Scituate"," Plymouth ","2006-2010",1119,226
"Scituate"," Plymouth ","2007-2011",1045,176
"Scituate"," Plymouth ","2008-2012",994,110
"Scituate"," Plymouth ","2009-2013",1007,272
"Scituate"," Plymouth ","2010-2014",1024,167
"Scituate"," Plymouth ","2011-2015",1047,246
"Scituate"," Plymouth ","2012-2016",1149,360
"Scituate"," Plymouth ","2013-2017",1131,199
"Wareham"," Plymouth ","2005-2009",916,58
"Wareham"," Plymouth ","2006-2010",946,106
"Wareham"," Plymouth ","2007-2011",1116,215
"Wareham"," Plymouth ","2008-2012",1014,146
"Wareham"," Plymouth ","2009-2013",1085,159
"Wareham"," Plymouth ","2010-2014",1034,132
"Wareham"," Plymouth ","2011-2015",1033,116
"Wareham"," Plymouth ","2012-2016",992,63
"Wareham"," Plymouth ","2013-2017",982,119
"West Bridgewater"," Plymouth ","2005-2009",916,132
"West Bridgewater"," Plymouth ","2006-2010",934,165
"West Bridgewater"," Plymouth ","2007-2011",923,73
"West Bridgewater"," Plymouth ","2008-2012",898,342
"West Bridgewater"," Plymouth ","2009-2013",897,227
"West Bridgewater"," Plymouth ","2010-2014",1141,361
"West Bridgewater"," Plymouth ","2011-2015",972,294
"West Bridgewater"," Plymouth ","2012-2016",1082,223
"West Bridgewater"," Plymouth ","2013-2017",1111,115
"Whitman"," Plymouth ","2005-2009",999,79
"Whitman"," Plymouth ","2006-2010",1083,106
"Whitman"," Plymouth ","2007-2011",1060,119
"Whitman"," Plymouth ","2008-2012",1021,94
"Whitman"," Plymouth ","2009-2013",1012,72
"Whitman"," Plymouth ","2010-2014",1056,97
"Whitman"," Plymouth ","2011-2015",959,64
"Whitman"," Plymouth ","2012-2016",931,46
"Whitman"," Plymouth ","2013-2017",978,118
"Boston"," Suffolk ","2005-2009",1293,19
"Boston"," Suffolk ","2006-2010",1305,15
"Boston"," Suffolk ","2007-2011",1309,14
"Boston"," Suffolk ","2008-2012",1297,13
"Boston"," Suffolk ","2009-2013",1316,11
"Boston"," Suffolk ","2010-2014",1315,10
"Boston"," Suffolk ","2011-2015",1292,13
"Boston"," Suffolk ","2012-2016",1315,17
"Boston"," Suffolk ","2013-2017",1368,17
"Chelsea"," Suffolk ","2005-2009",1051,70
"Chelsea"," Suffolk ","2006-2010",1078,45
"Chelsea"," Suffolk ","2007-2011",1116,47
"Chelsea"," Suffolk ","2008-2012",1123,42
"Chelsea"," Suffolk ","2009-2013",1157,41
"Chelsea"," Suffolk ","2010-2014",1176,30
"Chelsea"," Suffolk ","2011-2015",1161,31
"Chelsea"," Suffolk ","2012-2016",1139,32
"Chelsea"," Suffolk ","2013-2017",1191,32
"Revere"," Suffolk ","2005-2009",1166,44
"Revere"," Suffolk ","2006-2010",1212,41
"Revere"," Suffolk ","2007-2011",1216,41
"Revere"," Suffolk ","2008-2012",1194,41
"Revere"," Suffolk ","2009-2013",1210,48
"Revere"," Suffolk ","2010-2014",1222,31
"Revere"," Suffolk ","2011-2015",1186,31
"Revere"," Suffolk ","2012-2016",1187,34
"Revere"," Suffolk ","2013-2017",1234,41
"Winthrop"," Suffolk ","2005-2009",1333,58
"Winthrop"," Suffolk ","2006-2010",1323,77
"Winthrop"," Suffolk ","2007-2011",1309,65
"Winthrop"," Suffolk ","2008-2012",1298,63
"Winthrop"," Suffolk ","2009-2013",1285,55
"Winthrop"," Suffolk ","2010-2014",1281,53
"Winthrop"," Suffolk ","2011-2015",1256,56
"Winthrop"," Suffolk ","2012-2016",1263,48
"Winthrop"," Suffolk ","2013-2017",1264,49
"Ashburnham"," Worcester ","2005-2009",1049,425
"Ashburnham"," Worcester ","2006-2010",1070,435
"Ashburnham"," Worcester ","2007-2011",1166,339
"Ashburnham"," Worcester ","2008-2012",1248,319
"Ashburnham"," Worcester ","2009-2013",1149,572
"Ashburnham"," Worcester ","2010-2014",1058,154
"Ashburnham"," Worcester ","2011-2015",1007,201
"Ashburnham"," Worcester ","2012-2016",984,147
"Ashburnham"," Worcester ","2013-2017",1031,450
"Athol"," Worcester ","2005-2009",827,80
"Athol"," Worcester ","2006-2010",775,90
"Athol"," Worcester ","2007-2011",794,112
"Athol"," Worcester ","2008-2012",652,58
"Athol"," Worcester ","2009-2013",634,58
"Athol"," Worcester ","2010-2014",644,64
"Athol"," Worcester ","2011-2015",632,52
"Athol"," Worcester ","2012-2016",611,58
"Athol"," Worcester ","2013-2017",722,136
"Auburn"," Worcester ","2005-2009",917,51
"Auburn"," Worcester ","2006-2010",899,73
"Auburn"," Worcester ","2007-2011",888,86
"Auburn"," Worcester ","2008-2012",869,109
"Auburn"," Worcester ","2009-2013",941,40
"Auburn"," Worcester ","2010-2014",942,28
"Auburn"," Worcester ","2011-2015",899,32
"Auburn"," Worcester ","2012-2016",913,46
"Auburn"," Worcester ","2013-2017",869,56
"Barre"," Worcester ","2005-2009",941,146
"Barre"," Worcester ","2006-2010",897,215
"Barre"," Worcester ","2007-2011",852,195
"Barre"," Worcester ","2008-2012",727,113
"Barre"," Worcester ","2009-2013",869,168
"Barre"," Worcester ","2010-2014",868,103
"Barre"," Worcester ","2011-2015",854,50
"Barre"," Worcester ","2012-2016",823,38
"Barre"," Worcester ","2013-2017",814,31
"Berlin"," Worcester ","2005-2009",1073,79
"Berlin"," Worcester ","2006-2010",1048,79
"Berlin"," Worcester ","2007-2011",1029,78
"Berlin"," Worcester ","2008-2012",1052,156
"Berlin"," Worcester ","2009-2013",1157,321
"Berlin"," Worcester ","2010-2014",1124,365
"Berlin"," Worcester ","2011-2015",919,315
"Berlin"," Worcester ","2012-2016",896,333
"Berlin"," Worcester ","2013-2017",928,240
"Blackstone"," Worcester ","2005-2009",835,61
"Blackstone"," Worcester ","2006-2010",837,86
"Blackstone"," Worcester ","2007-2011",890,126
"Blackstone"," Worcester ","2008-2012",865,107
"Blackstone"," Worcester ","2009-2013",865,79
"Blackstone"," Worcester ","2010-2014",912,114
"Blackstone"," Worcester ","2011-2015",875,126
"Blackstone"," Worcester ","2012-2016",809,90
"Blackstone"," Worcester ","2013-2017",811,32
"Bolton"," Worcester ","2005-2009",1672,306
"Bolton"," Worcester ","2006-2010",1429,794
"Bolton"," Worcester ","2007-2011",1000,819
"Bolton"," Worcester ","2008-2012",1030,433
"Bolton"," Worcester ","2009-2013",1098,1184
"Bolton"," Worcester ","2010-2014",998,724
"Bolton"," Worcester ","2011-2015",1468,1094
"Bolton"," Worcester ","2012-2016",1038,496
"Bolton"," Worcester ","2013-2017",NA,NA
"Boylston"," Worcester ","2005-2009",611,147
"Boylston"," Worcester ","2006-2010",597,274
"Boylston"," Worcester ","2007-2011",565,131
"Boylston"," Worcester ","2008-2012",1031,807
"Boylston"," Worcester ","2009-2013",612,415
"Boylston"," Worcester ","2010-2014",1063,224
"Boylston"," Worcester ","2011-2015",996,243
"Boylston"," Worcester ","2012-2016",970,284
"Boylston"," Worcester ","2013-2017",855,205
"Brookfield"," Worcester ","2005-2009",641,94
"Brookfield"," Worcester ","2006-2010",627,63
"Brookfield"," Worcester ","2007-2011",645,79
"Brookfield"," Worcester ","2008-2012",652,97
"Brookfield"," Worcester ","2009-2013",634,91
"Brookfield"," Worcester ","2010-2014",782,200
"Brookfield"," Worcester ","2011-2015",741,97
"Brookfield"," Worcester ","2012-2016",855,195
"Brookfield"," Worcester ","2013-2017",746,210
"Charlton"," Worcester ","2005-2009",1044,80
"Charlton"," Worcester ","2006-2010",1012,109
"Charlton"," Worcester ","2007-2011",943,115
"Charlton"," Worcester ","2008-2012",857,171
"Charlton"," Worcester ","2009-2013",869,128
"Charlton"," Worcester ","2010-2014",855,73
"Charlton"," Worcester ","2011-2015",834,77
"Charlton"," Worcester ","2012-2016",820,56
"Charlton"," Worcester ","2013-2017",921,73
"Clinton"," Worcester ","2005-2009",940,82
"Clinton"," Worcester ","2006-2010",929,60
"Clinton"," Worcester ","2007-2011",929,61
"Clinton"," Worcester ","2008-2012",921,48
"Clinton"," Worcester ","2009-2013",937,51
"Clinton"," Worcester ","2010-2014",936,46
"Clinton"," Worcester ","2011-2015",911,53
"Clinton"," Worcester ","2012-2016",957,49
"Clinton"," Worcester ","2013-2017",997,43
"Douglas"," Worcester ","2005-2009",921,166
"Douglas"," Worcester ","2006-2010",883,49
"Douglas"," Worcester ","2007-2011",960,186
"Douglas"," Worcester ","2008-2012",969,179
"Douglas"," Worcester ","2009-2013",992,219
"Douglas"," Worcester ","2010-2014",1099,101
"Douglas"," Worcester ","2011-2015",1097,139
"Douglas"," Worcester ","2012-2016",983,168
"Douglas"," Worcester ","2013-2017",841,152
"Dudley"," Worcester ","2005-2009",791,85
"Dudley"," Worcester ","2006-2010",751,80
"Dudley"," Worcester ","2007-2011",809,128
"Dudley"," Worcester ","2008-2012",803,93
"Dudley"," Worcester ","2009-2013",842,50
"Dudley"," Worcester ","2010-2014",844,58
"Dudley"," Worcester ","2011-2015",805,37
"Dudley"," Worcester ","2012-2016",783,50
"Dudley"," Worcester ","2013-2017",830,89
"East Brookfield"," Worcester ","2005-2009",1086,95
"East Brookfield"," Worcester ","2006-2010",1026,52
"East Brookfield"," Worcester ","2007-2011",1169,100
"East Brookfield"," Worcester ","2008-2012",1052,265
"East Brookfield"," Worcester ","2009-2013",1069,247
"East Brookfield"," Worcester ","2010-2014",947,216
"East Brookfield"," Worcester ","2011-2015",962,141
"East Brookfield"," Worcester ","2012-2016",737,206
"East Brookfield"," Worcester ","2013-2017",894,105
"Fitchburg"," Worcester ","2005-2009",833,36
"Fitchburg"," Worcester ","2006-2010",822,33
"Fitchburg"," Worcester ","2007-2011",816,33
"Fitchburg"," Worcester ","2008-2012",780,30
"Fitchburg"," Worcester ","2009-2013",783,24
"Fitchburg"," Worcester ","2010-2014",786,27
"Fitchburg"," Worcester ","2011-2015",754,28
"Fitchburg"," Worcester ","2012-2016",774,20
"Fitchburg"," Worcester ","2013-2017",786,23
"Gardner"," Worcester ","2005-2009",793,30
"Gardner"," Worcester ","2006-2010",779,29
"Gardner"," Worcester ","2007-2011",773,34
"Gardner"," Worcester ","2008-2012",746,26
"Gardner"," Worcester ","2009-2013",750,25
"Gardner"," Worcester ","2010-2014",740,37
"Gardner"," Worcester ","2011-2015",705,24
"Gardner"," Worcester ","2012-2016",726,21
"Gardner"," Worcester ","2013-2017",720,19
"Grafton"," Worcester ","2005-2009",992,51
"Grafton"," Worcester ","2006-2010",963,61
"Grafton"," Worcester ","2007-2011",968,57
"Grafton"," Worcester ","2008-2012",954,41
"Grafton"," Worcester ","2009-2013",987,47
"Grafton"," Worcester ","2010-2014",1011,60
"Grafton"," Worcester ","2011-2015",1028,45
"Grafton"," Worcester ","2012-2016",1019,30
"Grafton"," Worcester ","2013-2017",1032,36
"Hardwick"," Worcester ","2005-2009",517,285
"Hardwick"," Worcester ","2006-2010",382,258
"Hardwick"," Worcester ","2007-2011",637,142
"Hardwick"," Worcester ","2008-2012",630,187
"Hardwick"," Worcester ","2009-2013",563,162
"Hardwick"," Worcester ","2010-2014",631,136
"Hardwick"," Worcester ","2011-2015",552,73
"Hardwick"," Worcester ","2012-2016",547,73
"Hardwick"," Worcester ","2013-2017",562,84
"Harvard"," Worcester ","2005-2009",1445,154
"Harvard"," Worcester ","2006-2010",1474,282
"Harvard"," Worcester ","2007-2011",1503,309
"Harvard"," Worcester ","2008-2012",1452,401
"Harvard"," Worcester ","2009-2013",1508,249
"Harvard"," Worcester ","2010-2014",1486,293
"Harvard"," Worcester ","2011-2015",1453,404
"Harvard"," Worcester ","2012-2016",1264,375
"Harvard"," Worcester ","2013-2017",1277,186
"Holden"," Worcester ","2005-2009",999,100
"Holden"," Worcester ","2006-2010",993,103
"Holden"," Worcester ","2007-2011",974,69
"Holden"," Worcester ","2008-2012",827,151
"Holden"," Worcester ","2009-2013",970,101
"Holden"," Worcester ","2010-2014",1027,64
"Holden"," Worcester ","2011-2015",1036,74
"Holden"," Worcester ","2012-2016",1037,79
"Holden"," Worcester ","2013-2017",1066,94
"Hopedale"," Worcester ","2005-2009",1097,260
"Hopedale"," Worcester ","2006-2010",1201,406
"Hopedale"," Worcester ","2007-2011",1164,182
"Hopedale"," Worcester ","2008-2012",1085,139
"Hopedale"," Worcester ","2009-2013",929,278
"Hopedale"," Worcester ","2010-2014",1089,183
"Hopedale"," Worcester ","2011-2015",1068,155
"Hopedale"," Worcester ","2012-2016",1070,209
"Hopedale"," Worcester ","2013-2017",950,262
"Hubbardston"," Worcester ","2005-2009",887,875
"Hubbardston"," Worcester ","2006-2010",871,743
"Hubbardston"," Worcester ","2007-2011",911,616
"Hubbardston"," Worcester ","2008-2012",902,285
"Hubbardston"," Worcester ","2009-2013",912,282
"Hubbardston"," Worcester ","2010-2014",984,399
"Hubbardston"," Worcester ","2011-2015",888,118
"Hubbardston"," Worcester ","2012-2016",923,259
"Hubbardston"," Worcester ","2013-2017",889,197
"Lancaster"," Worcester ","2005-2009",876,238
"Lancaster"," Worcester ","2006-2010",856,175
"Lancaster"," Worcester ","2007-2011",895,161
"Lancaster"," Worcester ","2008-2012",936,223
"Lancaster"," Worcester ","2009-2013",951,127
"Lancaster"," Worcester ","2010-2014",906,129
"Lancaster"," Worcester ","2011-2015",944,93
"Lancaster"," Worcester ","2012-2016",899,124
"Lancaster"," Worcester ","2013-2017",889,276
"Leicester"," Worcester ","2005-2009",803,124
"Leicester"," Worcester ","2006-2010",747,146
"Leicester"," Worcester ","2007-2011",648,158
"Leicester"," Worcester ","2008-2012",636,132
"Leicester"," Worcester ","2009-2013",689,210
"Leicester"," Worcester ","2010-2014",809,182
"Leicester"," Worcester ","2011-2015",824,95
"Leicester"," Worcester ","2012-2016",862,76
"Leicester"," Worcester ","2013-2017",854,70
"Leominster"," Worcester ","2005-2009",900,51
"Leominster"," Worcester ","2006-2010",900,41
"Leominster"," Worcester ","2007-2011",896,30
"Leominster"," Worcester ","2008-2012",878,19
"Leominster"," Worcester ","2009-2013",896,21
"Leominster"," Worcester ","2010-2014",878,26
"Leominster"," Worcester ","2011-2015",843,22
"Leominster"," Worcester ","2012-2016",824,21
"Leominster"," Worcester ","2013-2017",844,26
"Lunenburg"," Worcester ","2005-2009",806,344
"Lunenburg"," Worcester ","2006-2010",974,392
"Lunenburg"," Worcester ","2007-2011",890,280
"Lunenburg"," Worcester ","2008-2012",865,258
"Lunenburg"," Worcester ","2009-2013",1052,276
"Lunenburg"," Worcester ","2010-2014",1020,280
"Lunenburg"," Worcester ","2011-2015",1167,252
"Lunenburg"," Worcester ","2012-2016",1280,233
"Lunenburg"," Worcester ","2013-2017",1326,226
"Mendon"," Worcester ","2005-2009",1056,217
"Mendon"," Worcester ","2006-2010",900,446
"Mendon"," Worcester ","2007-2011",961,205
"Mendon"," Worcester ","2008-2012",844,397
"Mendon"," Worcester ","2009-2013",834,779
"Mendon"," Worcester ","2010-2014",1248,184
"Mendon"," Worcester ","2011-2015",1256,60
"Mendon"," Worcester ","2012-2016",1261,92
"Mendon"," Worcester ","2013-2017",1245,88
"Milford"," Worcester ","2005-2009",1088,60
"Milford"," Worcester ","2006-2010",1089,60
"Milford"," Worcester ","2007-2011",1108,72
"Milford"," Worcester ","2008-2012",1098,66
"Milford"," Worcester ","2009-2013",1104,61
"Milford"," Worcester ","2010-2014",1115,56
"Milford"," Worcester ","2011-2015",1036,56
"Milford"," Worcester ","2012-2016",982,50
"Milford"," Worcester ","2013-2017",991,46
"Millbury"," Worcester ","2005-2009",914,97
"Millbury"," Worcester ","2006-2010",918,111
"Millbury"," Worcester ","2007-2011",933,86
"Millbury"," Worcester ","2008-2012",915,76
"Millbury"," Worcester ","2009-2013",940,39
"Millbury"," Worcester ","2010-2014",933,33
"Millbury"," Worcester ","2011-2015",906,28
"Millbury"," Worcester ","2012-2016",895,28
"Millbury"," Worcester ","2013-2017",898,47
"Millville"," Worcester ","2005-2009",1015,117
"Millville"," Worcester ","2006-2010",1013,39
"Millville"," Worcester ","2007-2011",993,41
"Millville"," Worcester ","2008-2012",990,54
"Millville"," Worcester ","2009-2013",1023,98
"Millville"," Worcester ","2010-2014",1104,252
"Millville"," Worcester ","2011-2015",957,175
"Millville"," Worcester ","2012-2016",940,76
"Millville"," Worcester ","2013-2017",941,85
"New Braintree"," Worcester ","2005-2009",910,456
"New Braintree"," Worcester ","2006-2010",989,564
"New Braintree"," Worcester ","2007-2011",966,554
"New Braintree"," Worcester ","2008-2012",968,491
"New Braintree"," Worcester ","2009-2013",876,370
"New Braintree"," Worcester ","2010-2014",864,649
"New Braintree"," Worcester ","2011-2015",866,548
"New Braintree"," Worcester ","2012-2016",1014,386
"New Braintree"," Worcester ","2013-2017",793,152
"North Brookfield"," Worcester ","2005-2009",812,80
"North Brookfield"," Worcester ","2006-2010",799,57
"North Brookfield"," Worcester ","2007-2011",792,122
"North Brookfield"," Worcester ","2008-2012",748,222
"North Brookfield"," Worcester ","2009-2013",785,110
"North Brookfield"," Worcester ","2010-2014",704,137
"North Brookfield"," Worcester ","2011-2015",774,169
"North Brookfield"," Worcester ","2012-2016",800,68
"North Brookfield"," Worcester ","2013-2017",771,68
"Northborough"," Worcester ","2005-2009",999,114
"Northborough"," Worcester ","2006-2010",1013,140
"Northborough"," Worcester ","2007-2011",1081,142
"Northborough"," Worcester ","2008-2012",1116,90
"Northborough"," Worcester ","2009-2013",1240,94
"Northborough"," Worcester ","2010-2014",1295,78
"Northborough"," Worcester ","2011-2015",1237,63
"Northborough"," Worcester ","2012-2016",1222,85
"Northborough"," Worcester ","2013-2017",1263,108
"Northbridge"," Worcester ","2005-2009",939,89
"Northbridge"," Worcester ","2006-2010",874,51
"Northbridge"," Worcester ","2007-2011",846,43
"Northbridge"," Worcester ","2008-2012",840,65
"Northbridge"," Worcester ","2009-2013",874,90
"Northbridge"," Worcester ","2010-2014",836,82
"Northbridge"," Worcester ","2011-2015",864,80
"Northbridge"," Worcester ","2012-2016",824,60
"Northbridge"," Worcester ","2013-2017",833,64
"Oakham"," Worcester ","2005-2009",810,551
"Oakham"," Worcester ","2006-2010",767,423
"Oakham"," Worcester ","2007-2011",747,180
"Oakham"," Worcester ","2008-2012",698,409
"Oakham"," Worcester ","2009-2013",743,408
"Oakham"," Worcester ","2010-2014",871,410
"Oakham"," Worcester ","2011-2015",886,479
"Oakham"," Worcester ","2012-2016",1004,443
"Oakham"," Worcester ","2013-2017",1006,141
"Oxford"," Worcester ","2005-2009",815,40
"Oxford"," Worcester ","2006-2010",792,58
"Oxford"," Worcester ","2007-2011",813,63
"Oxford"," Worcester ","2008-2012",765,82
"Oxford"," Worcester ","2009-2013",783,85
"Oxford"," Worcester ","2010-2014",808,75
"Oxford"," Worcester ","2011-2015",819,106
"Oxford"," Worcester ","2012-2016",814,74
"Oxford"," Worcester ","2013-2017",850,64
"Paxton"," Worcester ","2005-2009",669,171
"Paxton"," Worcester ","2006-2010",714,266
"Paxton"," Worcester ","2007-2011",689,20
"Paxton"," Worcester ","2008-2012",889,2788
"Paxton"," Worcester ","2009-2013",NA,NA
"Paxton"," Worcester ","2010-2014",932,678
"Paxton"," Worcester ","2012-2016",800,580
"Paxton"," Worcester ","2013-2017",784,385
"Petersham"," Worcester ","2005-2009",684,295
"Petersham"," Worcester ","2006-2010",713,182
"Petersham"," Worcester ","2007-2011",818,205
"Petersham"," Worcester ","2008-2012",712,208
"Petersham"," Worcester ","2009-2013",780,289
"Petersham"," Worcester ","2010-2014",934,185
"Petersham"," Worcester ","2011-2015",724,183
"Petersham"," Worcester ","2012-2016",724,235
"Petersham"," Worcester ","2013-2017",725,256
"Phillipston"," Worcester ","2005-2009",864,497
"Phillipston"," Worcester ","2006-2010",867,421
"Phillipston"," Worcester ","2007-2011",798,163
"Phillipston"," Worcester ","2008-2012",768,126
"Phillipston"," Worcester ","2009-2013",NA,NA
"Phillipston"," Worcester ","2010-2014",925,55
"Phillipston"," Worcester ","2011-2015",987,89
"Phillipston"," Worcester ","2012-2016",961,90
"Phillipston"," Worcester ","2013-2017",938,87
"Princeton"," Worcester ","2005-2009",1084,50
"Princeton"," Worcester ","2006-2010",1182,686
"Princeton"," Worcester ","2007-2011",1121,218
"Princeton"," Worcester ","2008-2012",1022,85
"Princeton"," Worcester ","2009-2013",961,24
"Princeton"," Worcester ","2010-2014",945,27
"Princeton"," Worcester ","2011-2015",915,24
"Princeton"," Worcester ","2012-2016",898,32
"Princeton"," Worcester ","2013-2017",895,124
"Royalston"," Worcester ","2005-2009",933,40
"Royalston"," Worcester ","2006-2010",882,424
"Royalston"," Worcester ","2007-2011",634,44
"Royalston"," Worcester ","2008-2012",620,368
"Royalston"," Worcester ","2009-2013",880,226
"Royalston"," Worcester ","2010-2014",834,545
"Royalston"," Worcester ","2011-2015",949,118
"Royalston"," Worcester ","2012-2016",940,127
"Royalston"," Worcester ","2013-2017",902,162
"Rutland"," Worcester ","2005-2009",959,243
"Rutland"," Worcester ","2006-2010",976,116
"Rutland"," Worcester ","2007-2011",831,343
"Rutland"," Worcester ","2008-2012",693,245
"Rutland"," Worcester ","2009-2013",856,266
"Rutland"," Worcester ","2010-2014",902,194
"Rutland"," Worcester ","2011-2015",853,75
"Rutland"," Worcester ","2012-2016",863,146
"Rutland"," Worcester ","2013-2017",864,100
"Shrewsbury"," Worcester ","2005-2009",1276,74
"Shrewsbury"," Worcester ","2006-2010",1262,53
"Shrewsbury"," Worcester ","2007-2011",1221,58
"Shrewsbury"," Worcester ","2008-2012",1202,58
"Shrewsbury"," Worcester ","2009-2013",1193,74
"Shrewsbury"," Worcester ","2010-2014",1234,71
"Shrewsbury"," Worcester ","2011-2015",1167,73
"Shrewsbury"," Worcester ","2012-2016",1191,54
"Shrewsbury"," Worcester ","2013-2017",1210,52
"Southborough"," Worcester ","2005-2009",916,249
"Southborough"," Worcester ","2006-2010",1265,418
"Southborough"," Worcester ","2007-2011",1279,174
"Southborough"," Worcester ","2008-2012",1292,129
"Southborough"," Worcester ","2009-2013",1381,181
"Southborough"," Worcester ","2010-2014",1250,326
"Southborough"," Worcester ","2011-2015",1096,404
"Southborough"," Worcester ","2012-2016",1165,270
"Southborough"," Worcester ","2013-2017",931,308
"Southbridge"," Worcester ","2005-2009",808,30
"Southbridge"," Worcester ","2006-2010",829,55
"Southbridge"," Worcester ","2007-2011",829,40
"Southbridge"," Worcester ","2008-2012",803,30
"Southbridge"," Worcester ","2009-2013",820,25
"Southbridge"," Worcester ","2010-2014",805,30
"Southbridge"," Worcester ","2011-2015",784,22
"Southbridge"," Worcester ","2012-2016",785,17
"Southbridge"," Worcester ","2013-2017",769,17
"Spencer"," Worcester ","2005-2009",801,56
"Spencer"," Worcester ","2006-2010",824,35
"Spencer"," Worcester ","2007-2011",809,35
"Spencer"," Worcester ","2008-2012",776,43
"Spencer"," Worcester ","2009-2013",794,86
"Spencer"," Worcester ","2010-2014",794,82
"Spencer"," Worcester ","2011-2015",724,75
"Spencer"," Worcester ","2012-2016",695,70
"Spencer"," Worcester ","2013-2017",760,53
"Sterling"," Worcester ","2005-2009",1066,49
"Sterling"," Worcester ","2006-2010",1015,79
"Sterling"," Worcester ","2007-2011",1012,78
"Sterling"," Worcester ","2008-2012",1000,92
"Sterling"," Worcester ","2009-2013",1192,248
"Sterling"," Worcester ","2010-2014",1161,163
"Sterling"," Worcester ","2011-2015",1145,148
"Sterling"," Worcester ","2012-2016",1171,88
"Sterling"," Worcester ","2013-2017",1169,107
"Sturbridge"," Worcester ","2005-2009",725,560
"Sturbridge"," Worcester ","2006-2010",999,148
"Sturbridge"," Worcester ","2007-2011",752,484
"Sturbridge"," Worcester ","2008-2012",730,583
"Sturbridge"," Worcester ","2009-2013",799,480
"Sturbridge"," Worcester ","2010-2014",773,360
"Sturbridge"," Worcester ","2011-2015",725,158
"Sturbridge"," Worcester ","2012-2016",746,391
"Sturbridge"," Worcester ","2013-2017",879,314
"Sutton"," Worcester ","2005-2009",857,133
"Sutton"," Worcester ","2006-2010",883,51
"Sutton"," Worcester ","2007-2011",875,65
"Sutton"," Worcester ","2008-2012",880,118
"Sutton"," Worcester ","2009-2013",866,98
"Sutton"," Worcester ","2010-2014",846,93
"Sutton"," Worcester ","2011-2015",795,73
"Sutton"," Worcester ","2012-2016",769,70
"Sutton"," Worcester ","2013-2017",741,156
"Templeton"," Worcester ","2005-2009",748,295
"Templeton"," Worcester ","2006-2010",777,293
"Templeton"," Worcester ","2007-2011",861,286
"Templeton"," Worcester ","2008-2012",905,200
"Templeton"," Worcester ","2009-2013",900,129
"Templeton"," Worcester ","2010-2014",592,325
"Templeton"," Worcester ","2011-2015",845,375
"Templeton"," Worcester ","2012-2016",822,333
"Templeton"," Worcester ","2013-2017",817,92
"Upton"," Worcester ","2005-2009",1146,1058
"Upton"," Worcester ","2006-2010",1131,265
"Upton"," Worcester ","2007-2011",1057,148
"Upton"," Worcester ","2008-2012",1001,85
"Upton"," Worcester ","2009-2013",994,61
"Upton"," Worcester ","2010-2014",945,38
"Upton"," Worcester ","2011-2015",922,52
"Upton"," Worcester ","2012-2016",917,101
"Upton"," Worcester ","2013-2017",848,224
"Uxbridge"," Worcester ","2005-2009",968,74
"Uxbridge"," Worcester ","2006-2010",969,78
"Uxbridge"," Worcester ","2007-2011",990,95
"Uxbridge"," Worcester ","2008-2012",1031,145
"Uxbridge"," Worcester ","2009-2013",1066,81
"Uxbridge"," Worcester ","2010-2014",1075,90
"Uxbridge"," Worcester ","2011-2015",1037,78
"Uxbridge"," Worcester ","2012-2016",1036,72
"Uxbridge"," Worcester ","2013-2017",1000,48
"Warren"," Worcester ","2005-2009",703,50
"Warren"," Worcester ","2006-2010",687,36
"Warren"," Worcester ","2007-2011",690,71
"Warren"," Worcester ","2008-2012",681,110
"Warren"," Worcester ","2009-2013",708,189
"Warren"," Worcester ","2010-2014",688,166
"Warren"," Worcester ","2011-2015",659,210
"Warren"," Worcester ","2012-2016",603,188
"Warren"," Worcester ","2013-2017",633,219
"Webster"," Worcester ","2005-2009",820,30
"Webster"," Worcester ","2006-2010",804,28
"Webster"," Worcester ","2007-2011",789,21
"Webster"," Worcester ","2008-2012",770,31
"Webster"," Worcester ","2009-2013",819,27
"Webster"," Worcester ","2010-2014",795,36
"Webster"," Worcester ","2011-2015",772,38
"Webster"," Worcester ","2012-2016",770,36
